"alg-geom/9711031","Jim Bryan","Jim Bryan and Naichung Conan Leung","The enumerative geometry of K3 surfaces and modular forms","24 pages, LaTeX2e with eepic macros",,,,"alg-geom hep-th math.AG",,"  We prove the conjectures of Yau-Zaslow and Gottsche concerning the number
curves on K3 surfaces. Specifically, let X be a K3 surface and C be a
holomorphic curve in X representing a primitive homology class. We count the
number of curves of geometric genus g with n nodes passing through g generic
points in X in the linear system |C| for any g and n satisfying C^2=2g+2n-2.
  When g=0, this coincides with the enumerative problem studied by Yau and
Zaslow who obtained a conjectural generating function for the numbers.
Recently, Gottsche has generalized their conjecture to arbitrary g in terms of
quasi-modular forms. We prove these formulas using Gromov-Witten invariants for
families, a degeneration argument, and an obstruction bundle computation. Our
methods also apply to P^2 blown up at 9 points where we show that the ordinary
Gromov-Witten invariants of genus g constrained to g points are also given in
terms of quasi-modular forms.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 23:21:11 GMT""}]","2007-05-23"
"cond-mat/9711251","A. F. Volkov","A.F.Volkov and V.V.Pavlovskii","Method of quasiclassical Green's functions in the theory of transport
  phenomena in superconducting mesoscopic structures","17 pages, Report presented at Euroschool on Physics of Mesoscopic
  systems (Sienna, Italy,'97)",,"10.1063/1.55281",,"cond-mat.supr-con cond-mat.mes-hall",,"  A short introduction to the theory of matrix quasiclassical Green's functions
is given and possible applications of this theory to transport properties of
mesoscopic superconducting-normal metal (S/N) structures are considered. We
discuss a simplified version of these equations in the diffusive regime and in
the case of a weak proximity effect. These equations are used for the
calculation of the conductance of different S/N structures. Long-range,
phase-coherent effects are studied in a 4-terminal S/N/S structures under
conditions when the Josephson critical current is negligible. It is shown that
the Josephson effects may be observed in this system if an additional current
flows through the N electrode.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 18:43:04 GMT""}]","2009-10-30"
"cond-mat/9711252","Ming-Che Chang","Ming-Che Chang and Min-Fong Yang","Multi-band energy spectra of spin-1/2 electrons with two-dimensional
  magnetic modulations","12 pages, latex, 8 figures","Phys. Rev. B 57, 013002 (1998)","10.1103/PhysRevB.57.13002",,"cond-mat.mes-hall",,"  The energy spectra of spin-1/2 electrons under two-dimensional magnetic field
modulations are calculated beyond the one-band approximation. Our formulation
is generally applicable to a modulation field with a rectangular lattice
symmetry. The field distribution within a plaquette is otherwise arbitrary. The
spectra being obtained are qualitatively different from their electric
modulated counterparts. Peculiar features of the spectra are that, for an
electron with a g factor precisely being equal to two, no matter how strong the
modulation is, the zero-energy level seems to be unaffected by the modulation
and is separated from higher energy levels with a nonzero energy gap. Moreover,
there is a two-fold degenerancy for all states with positive energies with
respect to spin flip. These features agree with earlier analytical studies of
the periodically magnetic modulated systems.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 19:43:26 GMT""}]","2007-05-23"
"cond-mat/9711253","Gongwen Peng","Gongwen Peng, Jens-Uwe Sommer and Alexander Blumen","Random copolymers at a selective interface: many chains with excluded
  volume interactions","Latex, 14 pages, postscript figures",,,,"cond-mat.soft",,"  We investigate numerically, using the bond-fluctuation model, the adsorption
of many random AB--copolymers with excluded volume interactions at the
interface between two solvents. We find two regimes, controlled by the total
number of polymers. In the first (dilute) regime, the copolymers near the
interface extend parallel to it, while in the second regime they extend
perpendicular to it. The density at the interface and the density in the bulk
depend differently on the total number of copolymers: In the first regime the
density at the interface increases more rapidly then in the bulk, whereas the
opposite is true in the second regime.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 03:15:10 GMT""}]","2007-05-23"
"cond-mat/9711254","Masahisa Tsuchiizu","Masahisa Tsuchiizu, Hideo Yoshioka, and Yoshikazu Suzumura","Crossover between High and Low Energy-States in Two-Coupled Chains of
  Tomonaga Model","18 pages, 9 figures, to be published in Prog. Theor. Phys. 98 (1997)
  No.5","Prog. Theor. Phys. 98 (1997) 1045-1062","10.1143/PTP.98.1045",,"cond-mat.str-el",,"  By applying the renormalization group method to two-coupled chains in the
Tomonaga model, the role of interchain hopping has been studied in the entire
energy region. The energy for a crossover from the perturbational regime to the
relevant regime becomes smaller than that of the interchain hopping due to
one-dimensional fluctuations of the mutual interaction. From the calculation of
response functions for charge density waves and superconducting states, the
phase diagram of dominant and subdominant states has been obtained in the plane
of mutual interactions with fixed energy.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 07:24:56 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 1997 08:11:00 GMT""}]","2009-10-30"
"cond-mat/9711255","W. Z. Witt Wang","W. Z. Wang, A. R. Bishop, J. T. Gammel, and R. N. Silver (T-Div, LANL)","Quantum Breathers in Electron-phonon Systems","RevTex, 6 figures in one file",,"10.1103/PhysRevLett.80.3284",,"cond-mat.soft",,"  Quantum breathers are studied numerically in several electron-phonon coupled
finite chain systems, in which the coupling results in intrinsic nonlinearity
but with varying degrees of nonadiabaticity. As for quantum nonlinear lattice
systems, we find that quantum breathers can exist as eigenstates of the system
Hamiltonians. Optical responses are calculated as signatures of these coherent
nonlinear excitations. We propose a new type of quantum nonlinear excitation,
breather-excitons, which are bound states of breathers and excitons, whose
properties are clarified with a minimal exciton-phonon model.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 07:59:36 GMT""}]","2009-10-30"
"cond-mat/9711256","Andreas Jaster","Andreas Jaster","An improved Metropolis algorithm for hard core systems","9 pages, Latex, 3 figures, to appear in Physica A","Physica A 264 (1999) 134.",,,"cond-mat.stat-mech physics.comp-ph",,"  We present an improved Metropolis algorithm for arbitrary hard core systems
in any dimensions. In the new updating scheme the conventional Metropolis step
of a single particle is replaced by a collective step of a chain of particles.
For the two-dimensional hard sphere model we show that this algorithm
essentially reduces autocorrelation times in vicinity of the transition point.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 10:21:10 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jun 1998 09:39:04 GMT""}]","2007-05-23"
"cond-mat/9711257","Dr N. Mavromatos","G.A. Diamandis, B.C. Georgalas and N.E. Mavromatos","N=1 Supersymmetric Spin-Charge Separation in effective gauge theories of
  planar magnetic superconductors","19 pages LATEX (minor misprints in formula (43) corrected)","Mod.Phys.Lett. A13 (1998) 387-404","10.1142/S0217732398000449","OUTP-97-68P,UA-NPPS-8/97","cond-mat hep-th",,"  We present a N=1 Supersymmetric extension of a spin-charge separated
effective $SU(2)\times U_S(1)$ `particle-hole' gauge theory of excitations
about the nodes of the gap of a d-wave planar magnetic superconductor. The
supersymmetry is achieved without introducing extra degrees of freedom, as
compared to the non-supersymmetric models. The only exception, the introduction
of gaugino fieds, finds a natural physical interpretation as describing
interlayer coupling in the statistical model. The low-energy continuum theory
is described by a relativistic (2+1)-dimensional supersymmetric $CP^1$
$\sigma$-model with Gross-Neveu-Thirring-type four-fermion interactions. We
emphasize the crucial r\^ole of the $CP^1$ constraint in inducing a non-trivial
dynamical mass generation for fermions (and thus superconductivity), in a way
compatible with manifest N=1 supersymmetry. We also give a preliminary
discussion of non-perturbative effects. We argue that supersymmetry suppresses
the dangerous for superconductivity instanton contributions to the mass of the
perturbatively massless gauge boson of the unbroken U(1) subgroup of SU(2).
Finally, we point out the possibility of applying these ideas to effective
gauge models of spin-charge separation in one-space dimensional superconducting
chains of holons, which, for example, have recently been claimed to be
important in the stripe phase of underdoped cuprates.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 10:46:40 GMT""},{""version"":""v2"",""created"":""Fri, 28 Nov 1997 14:55:18 GMT""}]","2009-10-30"
"cond-mat/9711258","Erik Aurell","Erik Aurell","Torsion and electron motion in Quantum Dots with crystal lattice
  dislocations","In REVTeX, 24 pages, submitted to Phys. Rev. B",,,"EA-NS 1997-1","cond-mat.mes-hall chao-dyn nlin.CD quant-ph",,"  The motion of a conducting electron in a quantum dot with one or several
dislocations in the underlying crystal lattice is considered in the continuum
picture, where dislocations are represented by torsion of space. The possible
effects of torsion are investigated on the levels of classical motion,
non-relativistic quantum motion, and spin-torsion coupling terms derivable in
the non-relativistic limit of generalizations of the Dirac equation in a space
with torsion. Finally, phenomenological spin-torsion couplings analogous to
Pauli terms are considered in the non-relativistic equations. Different
prescriptions of classical and non-relativistic quantum motion in a space with
torsion are shown to give effects that should in principle be observable.
Semi-classical arguments are presented to show that torsion is not relevant for
the classical motion of the center of a wave packet. The correct semi-classical
limit can instead be described as classical trajectories in a Hamiltonian given
by the band energy. In the special case of a spherically symmetric band this
motion reduces to straight lines, independently of local crystal orientations.
By dimensional analysis the coupling constants of the possible spin-torsion
interactions are postulated to be proportional to a combination of the
effective mass of the electron, the lattice constant and $\hbar$. The
level-splitting is then very small with transition frequencies on the order of
1 kHz or smaller.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 11:00:42 GMT""}]","2007-05-23"
"cond-mat/9711259","Slava Yukalov","V. I. Yukalov","Nonlinear Spin Dynamics in Nuclear Magnets","1 file, 47 pages, LaTex","Phys. Rev. B 53 (1996) 9232-9250","10.1103/PhysRevB.53.9232",,"cond-mat.stat-mech",,"  A method is developed for solving nonlinear systems of differential, or
integrodifferential, equations with stochastic fields. The method makes it
possible to give an accurate solution for an interesting physical problem: What
are the peculiarities of nonlinear spin dynamics in nonequilibrium nuclear
magnets coupled with a resonator? Evolution equations for nuclear spins are
derived basing on a Hamiltonian with dipole interactions. The ensemble of spins
is coupled with a resonator electric circuit. Seven types of main relaxation
regimes are found: free induction, collective induction, free relaxation,
collective relaxation, weak superradiance, pure superradiance, and triggered
superradiance. The initial motion of spins can be originated by two reasons,
either by an imposed initial coherence or by local spin fluctuations due to
nonsecular dipole interactions. The relaxation regimes caused by the second
reason cannot be described by the Bloch equations. Numerical estimates show
good agreement with experiment.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 13:29:24 GMT""}]","2009-10-30"
"cond-mat/9711260","Xiaohui Wang","X. H. Wang, and K. A. Chao (Lund University)","Charging Ultrasmall Tunnel Junctions in Electromagnetic Environment","7 pages, 3 ps-figures","Phys. Rev. B 56, 12404 (1997)","10.1103/PhysRevB.56.12404",,"cond-mat.mes-hall",,"  We have investigated the quantum admittance of an ultrasmall tunnel junction
with arbitrary tunneling strength under an electromagnetic environment. Using
the functional integral approach a close analytical expression of the quantum
admittance is derived for a general electromagnetic environment. We then
consider a specific controllable environment where a resistance is connected in
series with the tunneling junction, for which we derived the dc quantum
conductance from the zero frequency limit of the imaginary part of the quantum
admittance. For such electromagnetic environment the dc conductance has been
investigated in recent experiments, and our numerical results agree
quantitatively very well with the measurements. Our complete numerical results
for the entire range of junction conductance and electromagnetic environmental
conductance confirmed the few existing theoretical conclusions.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 13:51:38 GMT""}]","2009-10-30"
"cond-mat/9711261","Ludger Santen","L. Santen, A. Schadschneider","Jamming Transition in CA Models for Traffic Flow","5 pages, 4 postscript figures, Proceedings of the conference ""Traffic
  and Granular Flow '97"", Duisburg, Germany, October 5-8, 1997",,,,"cond-mat.stat-mech",,"  The cellular automaton model for traffic flow exhibits a jamming transition
from a free-flow phase to a congested phase. In the deterministic case this
transition corresponds to a critical point with diverging correlation length.
We present data from numerical simulations which suggest the absence of
critical behavior in the presence of noise. The transition of the deterministic
case is smeared out and one only observes the remnants of the critical point.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 14:21:10 GMT""}]","2007-05-23"
"cond-mat/9711263","Juan Carlos Cuevas Rodriguez","J.C. Cuevas, A. Levy Yeyati, and A. Martin-Rodero","Microscopic origin of the conducting channels in metallic atomic-size
  contacts","11 pages, 4 ps-figures. Submitted to Phys. Rev. Lett","Phys. Rev. Lett. 80, 1066 (1998)","10.1103/PhysRevLett.80.1066",,"cond-mat.mes-hall",,"  We present a theoretical approach which allows to determine the number and
orbital character of the conducting channels in metallic atomic contacts. We
show how the conducting channels arise from the atomic orbitals having a
significant contribution to the bands around the Fermi level. Our theory
predicts that the number of conducting channels with non negligible
transmission is 3 for Al and 5 for Nb one-atom contacts, in agreement with
recent experiments. These results are shown to be robust with respect to
disorder. The experimental values of the channels transmissions lie within the
calculated distributions.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 14:54:44 GMT""}]","2009-10-30"
"cond-mat/9711264","Felix Naef","F. Naef and X. Zotos","Spin and energy correlations in the one dimensional spin 1/2 Heisenberg
  model","10 pages, 3 figures, gzipped postscript",,"10.1088/0953-8984/10/12/001",,"cond-mat.str-el",,"  In this paper, we study the spin and energy dynamic correlations of the one
dimensional spin 1/2 Heisenberg model, using mostly exact diagonalization
numerical techniques. In particular, observing that the uniform spin and energy
currents decay to finite values at long times, we argue for the absence of spin
and energy diffusion in the easy plane anisotropic Heisenberg model.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 15:33:41 GMT""}]","2009-10-30"
"cond-mat/9711265","Malte Henkel","Malte Henkel and Dragi Karevski","Lattice two-point functions and conformal invariance","5 pages, plain Tex with IOP macros, no figures","J.Phys.A31:2503,1998","10.1088/0305-4470/31/10/022",,"cond-mat.stat-mech hep-lat hep-th math-ph math.MP",,"  A new realization of the conformal algebra is studied which mimics the
behaviour of a statistical system on a discrete albeit infinite lattice. The
two-point function is found from the requirement that it transforms covariantly
under this realization. The result is in agreement with explicit lattice
calculations of the $(1+1)D$ Ising model and the $d-$dimensional spherical
model. A hard core is found which is not present in the continuum. For a
semi-infinite lattice, profiles are also obtained.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 15:59:07 GMT""}]","2008-11-26"
"funct-an/9711005","Yurii Neretin","Yurii A. Neretin","Boundary values of holomorphic functions and some spectral problems for
  unitary representations","LaTeX, 26 pages","Positivity in Lie theory, W.de Gruiter, 1998, 221-248","10.1515/9783110811186.221","Max-Plank-Institut-fur-Mathematik, 97-51","funct-an math.CV math.FA",,"  We consider hilbert spaces of holomorphic functions in Cartan domains (in
particular in ball and polydisk) and operator of restriction of holomorphic
function to a submanifold in Shilov boundary. We discuss conditions when this
operator exists.
  Using such 'trace theorems' it is possible to construct discrete increments
to spectra of some unitary representation and to catch singular unitary
representations in the spectra. We also discuss spectral problems related to
Berezin type kernels on riemann symmetric spaces.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 19:52:46 GMT""}]","2013-01-15"
"funct-an/9711006","Alexander Chebotarev","Alexander Chebotarev (Moscow State University) and Franco Fagnola
  (Universit\`a di Genova)","Sufficient Conditions for Conservativity of Minimal Quantum Dynamical
  Semigroups","22 pages, TeX",,,,"funct-an math.OA",,"  The conservativity of a minimal quantum dynamical semigroup is proved
whenever there exists a ``reference'' subharmonic operator bounded from below
by the dissipative part of the infinitesimal generator. We discuss applications
of this criteria in mathematical physics and quantum probability.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 09:10:09 GMT""}]","2007-05-23"
"gr-qc/9711072","Hideyuki Tagoshi","Hideyuki Tagoshi(1), Shuhei Mano(2), and Eiichi Takasugi(2)
  ((1)Nation. Astron. Obs. Japan, (2)Osaka Univ.)","Post-Newtonian Expansion of Gravitational Waves from a Particle in
  Circular Orbits around a Rotating Black Hole :Effects of Black Hole
  Absorption","22 pages, ptptex, no figures","Prog.Theor.Phys. 98 (1997) 829-850","10.1143/PTP.98.829","NAOJ-Th-Ap 1997 No.4","gr-qc",,"  When a particle moves around a Kerr black hole, it radiates gravitational
waves.Some of these waves are absorbed by the black hole. We calculate such
absorption of gravitational waves induced by a particle of mass mu in a
circular orbit on an equatorial plane around a Kerr black hole of mass M. We
assume that the velocity of the particle v is much smaller than the speed of
light c and calculate the energy absorption rate analytically. We adopt an
analytic technique for the Teukolsky equation developed by Mano, Suzuki and
Takasugi. We obtain the energy absorption rate to O((v/c)^8) compared to the
lowest order. We find that the black hole absorption occurs at O((v/c)^5)
beyond the Newtonian-quadrapole luminosity at infinity in the case when the
black hole is rotating, which is O((v/c)^3) lower than the non-rotating case.
Using the energy absorption rate, we investigate its effects on the orbital
evolution of coalescing compact binaries.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 09:31:45 GMT""}]","2009-10-30"
"gr-qc/9711073","Thomas Kloesch","T. Kloesch and T. Strobl","Complete Classification of 1+1 Gravity Solutions","3 pages, LaTeX, 1 figure, Talk presented at the Eighth Marcel
  Grossmann Meeting (MG8), Jerusalem, June 1997",,,"TUW-97-18, PITHA 97/41","gr-qc",,"  A classification of the maximally extended solutions for 1+1 gravity models
(comprising e.g. generalized dilaton gravity as well as models with non-trivial
torsion) is presented. No restrictions are placed on the topology of the
arising solutions, and indeed it is found that for generic models solutions on
non-compact surfaces of arbitrary genus with an arbitrary non-zero number of
holes can be obtained. The moduli space of classical solutions (solutions of
the field equations with fixed topology modulo gauge transformations) is
parametrized explicitly.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 12:01:41 GMT""}]","2007-05-23"
"hep-ex/9711017","George Ginther","Fermilab E706 Collaboration: L. Apanasevich, et al","Evidence for Parton kT Effects in High pT Particle Production","11 pages including 6 pages of figures with captions","Phys.Rev.Lett.81:2642-2645,1998","10.1103/PhysRevLett.81.2642","FERMILAB-Pub-97/351-E","hep-ex hep-ph",,"  Inclusive pizero and direct-photon cross sections in the kinematic range 3.5
< pT < 12 GeV/c with central rapidities are presented for 530 and 800 GeV/c
proton beams and a 515 GeV/c pi- beam incident on beryllium targets. Current
Next-to-Leading-Order perturbative QCD calculations fail to adequately describe
the data for conventional choices of scales. Kinematic distributions from these
hard scattering events provide evidence that the interacting partons carry
significant initial-state parton transverse momentum (kT). Incorporating these
kT effects phenomenologically greatly improves the agreement between
calculations and the measured cross sections.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 19:19:31 GMT""}]","2009-04-17"
"hep-ex/9711018","Peter Bussey","ZEUS Collaboration","Charged particles and neutral kaons in photoproduced jets at HERA","33 pages including 19 figures","Eur.Phys.J.C2:77-93,1998","10.1007/s100520050125","DESY-97-229","hep-ex",,"  Charged particles ($h^\pm$) and \kz mesons have been studied in photoproduced
events containing at least one jet of $E_T > 8$ GeV in a pseudorapidity
interval (--0.5, 0.5) in the ZEUS laboratory frame. Distributions are presented
in terms of transverse momentum, pseudorapidity and distance of the particle
from the axis of a jet. The properties of \hpm within the jet are described
well using the standard settings of PYTHIA, but the use of the multiparton
interaction option improves the description outside the jets. A reasonable
overall description of the \kz behaviour is possible with PYTHIA using a
reduced value of the strangeness suppression parameter. The numbers of $h^\pm$
and \kz within a jet as defined above are measured to be $3.25\pm0.02\pm0.28$
and $0.431\pm0.013\pm0.088$ respectively. Fragmentation functions are presented
for $h^\pm$ and \kz in photoproduced jets; agreement is found with calculations
of Binnewies et al. and, at higher momenta, with $p\bar p$ scattering and with
standard PYTHIA. Fragmentation functions in direct photoproduced events are
extracted, and at higher momenta give good agreement with data from related
processes in $e^+e^-$ annihilation and deep inelastic $ep$ scattering.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 12:45:59 GMT""}]","2012-08-27"
"hep-lat/9711049","Hugo Fort","J.M. Aroca (Universitat Politecnica de Catalunya), H. Fort and Gonzalo
  Alvarez-Campot (IFFC, Montevideo, Uruguay)","Finite Lattice Hamiltonian Computations in the P-Representation: the
  Schwinger Model","6 pages, 5 eps figures, espcrc2","Europhys.Lett.45:565-571,1999","10.1209/epl/i1999-00204-2",,"hep-lat",,"  The Schwinger model is studied in a finite lattice by means of the
P-representation. The vacuum energy, mass gap and chiral condensate are
evaluated showing good agreement with the expected values in the continuum
limit.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 22:48:09 GMT""}]","2010-12-17"
"hep-ph/9711442","Robert Peschanski","A.Bialas, H.Navelet and R.Peschanski","The QCD triple Pomeron coupling from string amplitudes","12 pages, 1 .eps figure, LaTeX","Phys.Rev.D57:6585-6589,1998","10.1103/PhysRevD.57.6585",,"hep-ph hep-th",,"  Using the recent solution of the triple Pomeron coupling in the QCD dipole
picture as a closed string amplitude with six legs, its analytical form in
terms of hypergeometric functions and numerical value are derived.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 17:05:14 GMT""}]","2008-11-26"
"hep-ph/9711443","Bernd Kniehl","Bernd A. Kniehl (MPI Munich)","Colour-Octet Contributions to J/psi Production via Fragmentation at HERA","3 pages (Latex), 2 figures (Postscript), to appear in the Proceedings
  of the International Europhysics Conference on High Energy Physics,
  Jerusalem, Israel, 19 - 26 August 1997",,,"MPI/PhT/97-076","hep-ph",,"  We study J/psi photoproduction via fragmentation at next-to-leading order in
the QCD-improved parton model, using the nonrelativistic factorization
formalism proposed by Bodwin, Braaten, and Lepage. We predict that measurements
of J/psi photoproduction at DESY HERA should show a distinctive excess over the
expectation based on the colour-singlet model at small values of the
inelasticity variable z.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 17:45:08 GMT""}]","2007-05-23"
"hep-ph/9711444",,"R. N. Mohapatra","Neutrino Physics in a Muon collider","Some parts of the text changed; major conclusions unchanged","AIP Conf.Proc.435:358-369,1998","10.1063/1.56199",,"hep-ph",,"  A muon collider is expected to produce a high intensity neutrino beam which
is an admixture of either $\nu_{\mu}+\bar{\nu_e}$ or $\bar{\nu}_{\mu} +\nu_e$
which can can be directed to underground detectors far away from the source. It
will not only allow a probe of the $\nu_e-\nu_{\mu}$ as well as
$\nu_{\mu}-\nu_{\tau}$ oscillations in a range of mixing angle and $\Delta m^2$
not probed heretofore but it will also provide information about the mixing
angle $\theta_{e\tau}$ for a wide range of $\Delta m^2_{\nu_e\nu_{\tau}}$ from
$10^{-4}$ eV$^2$ to $10^{-1}$ eV$^2$ which cannot be obtained from any other
existing or proposed machine. One can also search for violations of Lorentz
invariance and deviations from equivalence principle for neutrinos at a level
which is three to four orders of magnitude more sensitive than possible at the
moment. This will test for instance some unorthodox suggestions to understand
both solar and atmospheric neutrinos using a single mass difference -squared
between the $\nu_e$ and $\nu_{\mu}$. It can also test various proposed models
neutrino masses and mixings to understand existing neutrino data.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 18:00:24 GMT""},{""version"":""v2"",""created"":""Fri, 19 Dec 1997 14:58:52 GMT""}]","2011-07-19"
"hep-ph/9711445","Oscar Vives","J. Bernabeu (1), F.J. Botella (1 and 2), and O. Vives ((1) Dep. Fisica
  Teorica, U. de Valencia, (2) IFIC, Centre mixte U. de Valencia-CSIC)","P-odd observables at the $\Upsilon$ peak","29 pages + 3 figures. Submitted to Nucl. Phys B","Eur.Phys.J.C7:205-215,1999","10.1007/s100529801007","FTUV/97-58, IFIC/97-88","hep-ph",,"  We study the $\gamma$-Z interference in the process $e^+ e^-\to \Upsilon \to
\tau^+ \tau^-$ as a means to measure the neutral current coupling of the
b-quark. The helicity amplitudes are calculated from resonant and background
diagrams and the spin density matrix of the final state is discussed. The spin
analyzer of the $\tau$'s is illustrated with the decays $\pi \nu$ and $\rho \nu
\to (\pi \pi) \nu$. With $10^8 \Upsilon$ a sensitivity to $g_V^b$ of a few per
cent could be reachable.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 19:03:41 GMT""}]","2011-01-27"
"hep-ph/9711446","Concha Gonzalez-Garcia","M.C. Gonzalez-Garcia, S.M. Lietti and S.F. Novaes","Search for Non-standard Higgs Boson in Diphoton Events at p pbar
  Collisions","ReVTeX, 3 figures","Phys.Rev.D57:7045-7047,1998","10.1103/PhysRevD.57.7045","IFT--P.076/97,IFIC/97-86","hep-ph",,"  We estimate the attainable limits on the coupling of a non-standard Higgs
boson to two photons taking into account the data collected by the Fermilab
collaborations on diphoton events. We based our analysis on a general set of
dimension--6 effective operators that give rise to anomalous couplings in the
bosonic sector of the Standard Model. If the coefficients of all ``blind''
operators are of the same order of magnitude, bounds on the anomalous triple
vector-boson couplings can also be obtained.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 18:24:44 GMT""}]","2008-11-26"
"hep-ph/9711447","Morris L. Swartz","M. L. Swartz (SLAC)","A Complete Order-alpha**3 Calculation of the Cross Section for Polarized
  Compton Scattering","37 pages, RevTeX document, 7 figures. The FORTRAN code comrad.f is
  available in gzip-compressed form at
  ftp://ftp.slac.stanford.edu/users/morris/comrad.f.gz and
  /afs/slac.stanford.edu/public/users/morris/comrad.f.gz. Cosmetically updated
  draft (moves some detail into an appendix)","Phys. Rev. D 58, 014010 (1998)","10.1103/PhysRevD.58.014010","SLAC-PUB-7701","hep-ph hep-ex",,"  The construction of a computer code to calculate the cross sections for the
spin-polarized processes e-gamma=>e-gamma,e-gamma-gamma,e-e+e- to
order-alpha**3 is described. The code calculates cross sections for
circularly-polarized initial-state photons and arbitrarily polarized
initial-state electrons. The application of the code to the SLD Compton
polarimeter indicates that the order-alpha**3 corrections produce a fractional
shift in the SLC polarization scale of -0.1% which is too small and of the
wrong sign to account for the discrepancy in the Z-pole asymmetries measured by
the SLD Collaboration and the LEP Collaborations.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 20:30:50 GMT""},{""version"":""v2"",""created"":""Fri, 20 Mar 1998 20:09:25 GMT""}]","2016-08-25"
"hep-ph/9711448","Paul Frampton","Paul H. Frampton and Masayasu Harada","Constraints from Precision Electroweak Data on Leptoquarks and Bileptons","25 pages LaTeX including 7 figures. With improved comparison to
  experimental data and other updates","Phys.Rev. D58 (1998) 095013","10.1103/PhysRevD.58.095013","IFP-748-UNC","hep-ph",,"  Explicit expressions are derived for the oblique parameters $S$ and $T$ in
certain extensions of the standard model. In particular, we consider
leptoquarks and bileptons, and find phenomenological constraints on their
allowed masses. Leptoquarks suggested by the neutral and charged current
anomalies at HERA can give improved agreement with both $S$ and $T$. If
bileptons are the only new states, the singly-charged one must be heavier than
the directly-established lower limit. Finally, we study SU(15) grand
unification and show that there are regions of parameter space where the theory
is compatible with experimental data.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 22:03:36 GMT""},{""version"":""v2"",""created"":""Fri, 29 May 1998 17:40:16 GMT""}]","2009-10-30"
"hep-ph/9711449",,"M. Consoli and P. M. Stevenson","lambda Phi^4 Theory From a Particle-Gas Viewpoint","40 pages, no figures, LaTeX",,,"DE-FG05-92ER40717-46","hep-ph",,"  We discuss the physics of the 3+1 dimensional lambda Phi^4 quantum field
theory in terms of the statistical mechanics of a gas of particles (`atoms')
that interact via a -1/r^3-plus-hard-core potential. The hard-core potential,
delta^(3)(r), arises from the bare vertex diagram, while the attractive,
long-range -1/r^3 potential is due to exchange of a particle pair via the
t,u-channel ""fish"" diagram. (Higher-order diagrams preserve this form of the
interparticle potential.) For sufficiently small atom mass, the lowest-energy
state is not the `empty' state with no atoms, but a state with a non-zero
density of spontaneously created atoms, Bose-condensed in the zero-momentum
mode. This corresponds to the spontaneous-symmetry-breaking phase transition,
and the `phonon' excitations of the Bose condensate correspond to Higgs
particles. The important point is that the phase transition happens while the
atom's physical mass m is still positive: it does not wait until m^2 passes
through zero and becomes negative, contrary to the assumption of a second-order
transition, on which renormalization-group-improved perturbation theory is
based.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 22:08:41 GMT""}]","2007-05-23"
