"alg-geom/9711029","Terutake Abe","Terutake Abe (Johns Hopkins University)","Classification of Exceptional Complements: Elliptic Curve Case","LaTeX2e, 14 pages, with 24 postscript figures",,,,"alg-geom math.AG",,"  We classify the log del Pezzo surface (S,B) of rank 1 with no 1-,2-,3-,4-, or
6-complements with the additional condition that B has one irreducible
component C which is an elliptic curve, and that C has the coefficient b in B
with (1/n)floor((n+1)b)=1 for n=1,2,3,4, and 6.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 01:11:38 GMT""}]","2007-05-23"
"hep-th/9711175","Jose Daniel Edelstein","Jose D. Edelstein and Carlos Nunez","Supersymmetry and Bosonization in Three Dimensions","12 pages, LaTeX, no figures, to appear in Physics Letters B","Phys.Lett. B420 (1998) 300-306","10.1016/S0370-2693(97)01521-9","La Plata-Th 97/02","hep-th",,"  We discuss on the possible existence of a supersymmetric invariance in purely
fermionic planar systems and its relation to the fermion-boson mapping in
three-dimensional quantum field theory. We consider, as a very simple example,
the bosonization of free massive fermions and show that, under certain
conditions on the masses, this model displays a supersymmetric-like invariance
in the low energy regime. We construct the purely fermionic expression for the
supercurrent and the non-linear supersymmetry transformation laws. We argue
that the supersymmetry is absent in the limit of massless fermions where the
bosonized theory is non-local.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 10:42:47 GMT""}]","2009-10-30"
"hep-th/9711176","Wolfgang Lucha","Wolfgang Lucha and Michael Moser","Clifford algebras in finite quantum field theories II. Reducible Yukawa
  finiteness condition","14 pages, LaTeX",,,"HEPHY-PUB 654/96","hep-th hep-ph",,"  An arbitrary renormalizable quantum field theory is considered as finite if
its dimensionless couplings conspire to yield, at every order of its
perturbative expansion, no ultraviolet-divergent renormalizations of the
physical parameters of the theory. The ""finiteness conditions"" resulting from
these requirements form highly complicated, non-linear systems of relations. A
promising type of solution to the condition for one-loop finiteness of the
Yukawa couplings involves Yukawa couplings which are equivalent to the
generators of Clifford algebras with identity element. However, our attempt to
construct even one finite model based on such Clifford-like Yukawa couplings
fails: a Clifford structure of the Yukawa couplings spoils the finiteness of
the gauge couplings, at least for every simple gauge group of rank less than or
equal to 8.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 12:24:32 GMT""}]","2007-05-23"
"hep-th/9711177","Yuhsuke Yoshida","Yuhsuke Yoshida","Geometrical Analysis of Brane Creation via M-Theory","12 pages, 1 epsf figure, LaTeX","Prog.Theor.Phys. 99 (1998) 305-314","10.1143/PTP.99.305","OU-HET 283","hep-th",,"  A geometrical analysis is given of Dirichlet fourbrane creation, when
sixbrane crosses fivebrane in M-theory. A special property of the Taub-NUT
space leads to the consequence. When brane configurations are considered for
four dimensional N=2 field theories, sixbrane contributes to the beta-function
through the Dirac string of the Taub-NUT space.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 15:48:37 GMT""}]","2009-10-30"
"math/9711203",,"Vladimir Tolstykh","The automorphism tower of a free group",,,,"MAGNUS preprint #97-11-24A","math.GR",,"  We prove that the automorphism group of an arbitrary non-abelian free group
is complete. It generalizes the result by J.Dyer and E.Formanek (1975) stating
the completeness of automorphism group of finitely generated free groups. Using
the description of involutions in automorphism groups of free groups (J. Dyer,
P. Scott, 1975) we obtain a group-theoretic characterization of inner
automorphisms determined by primitive elements in the automorphism group of any
non-abelian free group F. It follows that the subgroup Inn(F) is characteristic
in Aut(F), and hence the latter one is complete.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 00:00:00 GMT""}]","2007-05-23"
"math/9711210",,"Fedor Nazarov, Sergei Treil, Alexander Volberg","Weak type estimates and Cotlar inequalities for Calder\'{o}n-Zygmund
  operators in nonhomogeneous spaces",,,,"MSRI 1997-104","math.FA",,"  In the paper we consider Calder\'{o}n-Zygmund operators in nonhomogeneous
spaces. We are going to prove the analogs of classical results for homogeneous
spaces. Namely, we prove that a Calder\'{o}n-Zygmund operator is of weak type
if it is bounded in $L^2$. We also prove several versions of Cotlar's
inequality for maximal singular operator. One version of Cotlar's inequality (a
simpler one) is proved in Euclidean setting, another one in a more abstract
setting when Besicovich covering lemma is not available. We obtain also the
weak type of maximal singular operator from these inequalities.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 00:00:00 GMT""}]","2016-09-07"
"math/9711211",,"Anthony Carbery, Steve Hofmann, James Wright","The Calder\'{o}n Commutator Along a Parabola",,,,"MSRI 1997-105","math.FA",,"  We introduce an analogue of Calder\'on's first commutator along a parabola,
and establish its $L^2$ boundedness under essentially sharp hypotheses.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 00:00:00 GMT""}]","2009-09-25"
"math/9711212",,"Stephen Wainger, James Wright, Sarah Ziesler","Singular Integrals Associated to Hypersurfaces: $L^2$ Theory",,,,"MSRI 1997-106","math.FA",,"  We consider singular integrals associated to a classical Calder\'on-Zygmund
kernel $K$ and a hypersurface given by the graph of $\varphi(\psi(t))$ where
$\varphi$ is an arbitrary $C^1$ function and $\psi$ is a smooth convex function
of finite type. We give a characterization of those Calder\'on-Zygmund kernels
$K$ and convex functions $\psi$ so that the associated singular integral
operator is bounded on $L^2$ for all $C^1$ functions $\varphi$.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 00:00:00 GMT""}]","2016-09-07"
"nucl-th/9711046","Wayne Polyzou","Wayne N. Polyzou","Nucleon-Nucleon Interactions and Observables","11 pages - ReVTeX","Phys.Rev.C58:91-95,1998","10.1103/PhysRevC.58.91",,"nucl-th",,"  A class of nucleon-nucleon interactions which are exactly phase equivalent to
a given realistic nucleon-nucleon interaction are exhibited. These interaction
have the property that the RMS radius of the deuteron can be made arbitrarily
large without changing any of the scattering or bound-state observables. With
this construction it is possible to find realistic interactions that do not
obey the linear relation between the RMS radius and the triplet scattering
length observed by Klarsfeld et. al. The interpretation of these examples is
discussed.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 04:36:36 GMT""}]","2008-11-26"
"nucl-th/9711047","P. K. Panda","P.K. Panda and R.Sahu","Field theoretic study of light hypernuclei","RevTex, no figures",,,,"nucl-th hep-ph",,"  A nonperturbative field theoretic calculation has been made for the $s$-shell
hypernuclei. Here we dress the $\Lambda$- and $\Sigma$- hypernuclei with
off-mass shell pion pairs. The analysis replaces the scalar isoscalar potential
by quantum coherent states. The binding energies of $^{4+n\Lambda}$He
$(n=0,1,2)$ agree quite well with the RMF result of Greiner. The experimental
binding energies of $^4$He and $^3$He are reasonably well reproduced in our
calculation. A satisfactory description of the relevant experimental $\Lambda$-
and $\Sigma$- separation energies has been obtained.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 15:52:33 GMT""}]","2007-05-23"
"quant-ph/9711055","Konrad Banaszek","Konrad Banaszek and Krzysztof Wodkiewicz (Uniwersytet Warszawski)","Photon counting sampling of phase space","3 pages LaTeX. A contribution to the Proceedings of the Fifth
  International Wigner Symposium (Wien, 25-29 August 1997)",,,,"quant-ph physics.optics",,"  The recently proposed scheme for direct sampling of the quantum phase space
by photon counting is discussed within the Wigner function formalism.
","[{""version"":""v1"",""created"":""Sun, 23 Nov 1997 16:00:32 GMT""}]","2007-05-23"
"quant-ph/9711056","Robert Alicki","Robert Alicki","A new stochastic interpretation of quantum mechanics","3 pages, revtex, no figures",,,,"quant-ph",,"  The reinterpretation of quantum mechanical formalism in terms of a classical
model with a continuous material ""$\Psi$-field"" acting upon a point-like
particle which is subjected to large friction and random forces is proposed.
This model gives a mechanism for sudden ""quantum jumps"" and provides a simple
explanation of ""Schr\""odinger Cat"" phenomena.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 13:02:53 GMT""}]","2007-05-23"
