"alg-geom/9711003","William L. Pardon","William Pardon and Mark Stern (Duke University)","Pure Hodge structure on the $L_2$-cohomology of varieties with isolated
  singularities","53 pages, amstex",,,,"alg-geom dg-ga math.AG math.DG",,"  Let $V$ be a complex projective variety with isolated singularities. Let the
smooth part be given the metric induced by a projective imbedding. Then we
develop the $L_2$ harmonic theory and construct a pure Hodge structure on the
$L_2$-cohomology of $V$. If the dimension of $V$ is two, we put a cohomological
Hodge structure on its complex of sheaves of $L_2$ forms.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 17:03:39 GMT""}]","2007-05-23"
"astro-ph/9711031","Elhanan Almoznino","N. Brosch (1), E. Almoznino (1), L. Hoffman (2) ((1) The Wise
  Observatory and the School of Physics and Astronomy, Raymond and Beverly
  Sackler Faculty of Exact Sciences, Tel Aviv University, (2) Dept. of Physics,
  Lafayette College, Easton PA)","VCC 144 - a star-bursting dwarf galaxy in the Virgo Cluster","13 pages, Latex (AA style), 11 postscript figures",,,,"astro-ph",,"  We describe results of a multi-spectral study of a blue compact dwarf galaxy
in Virgo. The object was observed with broad-band and H$\alpha$ imaging, UV
observations, and radio synthesis. Our data were combined with published
optical observations, with HI single-beam observation and with FIR data, and
were compared to results of evolutionary synthesis programs. The radio
observations revealed a compact source of HI coincident with the optical
galaxy, embedded in a diffuse, HI cloud which has no trace in the optical.
While the overall velocity dispersion and size of the HI structure suggests
that the total mass in stars and gas is not sufficient to gravitationally bind
the system, the HI clump coincident with the optical galaxy requires little or
no dark matter to be self-gravitating. The optical-UV data can be explained by
a single population of stars formed in a recent burst, indicating that this is
a genuine young galaxy. The efficiency of star formation is similar to that in
large disk galaxies. The IR emission indicates the presence of dust; this must
have been formed very recently, or was already present within the original HI
cloud from which the galaxy was formed. The round and smooth isophotes and HI
redshifts, and the lack of any suitable nearby galaxy, indicate that the
starburst was probably not triggered by an external interaction with a visible
galaxy. The distribution of HI fits better a blow-out scenario than an
accretion or collision with a companion. We point out features in common with
other actively star-forming dwarf galaxies and conclude that, at least in the
southern outskirts of the Virgo cluster, intensive star formation, perhaps for
the first time in some objects, takes place at present.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 13:57:55 GMT""},{""version"":""v2"",""created"":""Wed, 5 Nov 1997 14:18:08 GMT""}]","2007-05-23"
"astro-ph/9711032","Markus Boettcher","M. Boettcher (Rice Univ. Houston, TX), W. Collmar (MPE, Garching)","Spectral Variability in PKS 0528+134 at Gamma-Ray Energies","Accepted for publication as Letter in A&A; 4 pages, 4 figures; uses
  epsf.sty, rotate.sty",,,,"astro-ph",,"  We present model calculations to the observed spectral variability in the
gamma-ray spectrum of the ultraluminous blazar-type quasar PKS 0528+134. We
argue that the observed appearance of a spectral break between the COMPTEL and
the EGRET energy range can plausibly be explained by a variation of the Doppler
beaming factor in the framework of a relativistic jet model for AGNs, combining
the ERC and the SSC model. This may be an instructive example for the different
dependence of these two spectral components on the Doppler factor, as predicted
in earlier work.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 14:39:08 GMT""}]","2007-05-23"
"chao-dyn/9711007","Peter Schmelcher","P.Schmelcher and F.K.Diakonos","A general approach to the localization of unstable periodic orbits in
  chaotic dynamical systems","submitted to Physical Review E",,"10.1103/PhysRevE.57.2739",,"chao-dyn nlin.CD",,"  We present a method to detect the unstable periodic orbits of a
multidimensional chaotic dynamical system. Our approach allows us to locate in
an efficient way the unstable cycles of, in principle, arbitrary length with a
high accuracy. Based on a universal set of linear transformations the
originally unstable periodic orbits are transformed into stable ones and can
consequently be detected and analyzed easily. This method is applicable to
dynamical systems of any dimension and requires no preknowledges with respect
to the solutions of the original chaotic system. As an example of application
of our method we investigate the Ikeda attractor in some detail.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 15:28:21 GMT""}]","2009-10-30"
"cond-mat/9711010","Dan Stein","C.M. Newman (Courant Institute of Mathematical Sciences, New York
  University), D.L. Stein (Departments of Physics and Mathematics, University
  of Arizona)","Simplicity of State and Overlap Structure in Finite-Volume Realistic
  Spin Glasses","22 pages (LaTeX; needs revtex), 1 figure (PostScript); to appear in
  Physical Review E","Phys. Rev. E, 57 (1998) 1356","10.1103/PhysRevE.57.1356",,"cond-mat.dis-nn cond-mat.stat-mech",,"  We present a combination of heuristic and rigorous arguments indicating that
both the pure state structure and the overlap structure of realistic spin
glasses should be relatively simple: in a large finite volume with
coupling-independent boundary conditions, such as periodic, at most a pair of
flip-related (or the appropriate number of symmetry-related in the non-Ising
case) states appear, and the Parisi overlap distribution correspondingly
exhibits at most a pair of delta-functions at plus/minus the self-overlap. This
rules out the nonstandard SK picture introduced by us earlier, and when
combined with our previous elimination of more standard versions of the mean
field picture, argues against the possibility of even limited versions of mean
field ordering in realistic spin glasses. If broken spin flip symmetry should
occur, this leaves open two main possibilities for ordering in the spin glass
phase: the droplet/scaling two-state picture, and the chaotic pairs many-state
picture introduced by us earlier. We present scaling arguments which provide a
possible physical basis for the latter picture, and discuss possible reasons
behind numerical observations of more complicated overlap structures in finite
volumes.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 21:21:57 GMT""}]","2009-10-30"
"cond-mat/9711011","Richard P. Sear","Richard P.Sear","A coil-globule transition of a semiflexible polymer driven by the
  addition of spherical particles","12 pages, 4 figures","Phys.Rev. E58 (1998) 724-728","10.1103/PhysRevE.58.724",,"cond-mat.soft cond-mat.stat-mech",,"  The phase behaviour of a single large semiflexible polymer immersed in a
suspension of spherical particles is studied. All interactions are simple
excluded volume interactions and the diameter of the spherical particles is an
order of magnitude larger than the diameter of the polymer. The spherical
particles induce a quite long ranged depletion attraction between the segments
of the polymer and this induces a continuous coil-globule transition in the
polymer. This behaviour gives an indication of the condensing effect of
macromolecular crowding on DNA.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 18:54:06 GMT""}]","2009-10-30"
"cond-mat/9711012","Cristian F. Moukarzel","Cristian F. Moukarzel and Nestor Parga","Complex-Field Zeros of the random-energy model","10 pages plain TeX + 1 gif figure","J. Physique I (France) 2 (1992), 251","10.1051/jp1:1992141",,"cond-mat.dis-nn cond-mat.stat-mech",,"  The complex-field zeros of the Random Energy Model are analytically
determined. For T<T_c they are distributed in the whole complex plane with a
density that decays very fast with the real component of H. For T>T_c a region
is found which is free of zeros and is associated to the paramagnetic phase of
the system. This region is separated from the former by a line of zeros. The
real axis is found to be enclosed in a cloud of zeros in the whole frozen phase
of the system.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 18:43:28 GMT""}]","2009-10-30"
"cond-mat/9711013","Francesco M. Russo","Francesco M. Russo","Lattice Gas Analogue Of SK Model: A paradigm for the glass transition","33 Pages, LaTeX file; 15 Figures added, some grammatical corrections.
  To appear in Journal of Physics A","Journal of Physics A 31 (1998) 7249-7264","10.1088/0305-4470/31/35/006","ROM2F/97/44","cond-mat.stat-mech cond-mat.dis-nn",,"  We investigate the connection between the well known Sherrington-Kirkpatrick
Ising Spin Glass and the corresponding Lattice Gas model by analyzing the
relation between their thermodynamical functions. We present results of replica
approach in the Replica Symmetric approximation and discuss its stability as a
function of temperature and external source. Next we examine the effects of
first order Replica Symmetry Breaking at zero temperature. We finally compare
SK results with ours and suggest how the latter could be relevant to a
description of the structural glass transition.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 19:44:12 GMT""},{""version"":""v2"",""created"":""Sat, 28 Feb 1998 19:18:39 GMT""}]","2009-10-30"
"cond-mat/9711014","Subir Sachdev","Kedar Damle and Subir Sachdev (Yale University)","Spin dynamics and transport in gapped one-dimensional Heisenberg
  antiferromagnets at nonzero temperatures","REVTEX, 53 pages and 23 postscript figures; added additional
  reference and associated clarification","Physical Review B 57, 8307 (1998)","10.1103/PhysRevB.57.8307",,"cond-mat.str-el cond-mat.stat-mech",,"  We present the theory of nonzero temperature ($T$) spin dynamics and
transport in one-dimensional Heisenberg antiferromagnets with an energy gap
$\Delta$. For $T << \Delta$, we develop a semiclassical picture of thermally
excited particles. Multiple inelastic collisions between the particles are
crucial, and are described by a two-particle S-matrix which has a
super-universal form at low momenta. This is established by computations on the
O(3) $\sigma$-model, and strong and weak coupling expansions (the latter using
a Majorana fermion representation) for the two-leg S=1/2 Heisenberg
antiferromagnetic ladder. As an aside, we note that the strong-coupling
calculation reveals a S=1, two particle bound state which leads to the presence
of a second peak in the T=0 inelastic neutron scattering (INS) cross-section
for a range of values of momentum transfer. We obtain exact, or numerically
exact, universal expressions for the thermal broadening of the quasi-particle
peak in the INS cross-section, for the magnetization transport, and for the
field dependence of the NMR relaxation rate $1/T_1$ of the effective
semiclassical model: these are expected to be asymptotically exact for the
quantum antiferromagnets. The results for $1/T_1$ are compared with the
experimental findings of Takigawa et al and the agreement is quite good. In the
regime $\Delta < T < (a typical microscopic exchange)$ we argue that a
complementary description in terms of semiclassical waves applies, and give
some exact results for the thermodynamics and dynamics.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 02:37:49 GMT""},{""version"":""v2"",""created"":""Wed, 5 Nov 1997 21:08:17 GMT""},{""version"":""v3"",""created"":""Mon, 23 Feb 1998 17:12:38 GMT""}]","2007-05-23"
"cond-mat/9711015",,"P. Sen, G. Aggarwal and U. Tiwari","Dissipative structure formation in cold-rolled Fe and Ni during heavy
  ion irradiation","RevTex+ 7 Postscript figures; Fig 2 (topograph) available on demand
  to g_aggarwal@hotmail.com. To appear in Phys Rev Lett",,"10.1103/PhysRevLett.80.97",,"cond-mat",,"  We report 4-probe resistivity measurements of cold-rolled Ni and Fe during
100 MeV oxygen ion irradiation, at 300K. The resistivity shows increase and
saturation, marked by jumps. Employing 200 MeV silver ion irradiation of Fe and
Si(100) and topographically identifying strain at an artificial interface in
the latter, we assign the resistivity behavior to atomic rearrangements arising
from dissipation of incident ion energy at internal interfaces of Ni and Fe,
with positive feedback.}
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 05:41:41 GMT""}]","2009-10-30"
"cond-mat/9711017","Hiroshi Shimahara","Hiroshi Shimahara (Fac. of Science, Hiroshima Univ.)","Structure of the Fulde-Ferrell-Larkin-Ovchinnikov state in
  two-dimensional superconductors","11 pages (LaTeX, revtex.sty), 3 figures; added references","J. Phys. Soc. Jpn. Vol.67, No.3 (1998) pp.736-739 (Letters).","10.1143/JPSJ.67.736",,"cond-mat.supr-con",,"  Nonuniform superconducting state due to strong spin magnetism is studied in
two-dimensional type-II superconductors near the second order phase transition
line between the normal and the superconducting states. The optimum spatial
structure of the orderparameter is examined in systems with cylindrical
symmetric Fermi surfaces. It is found that states with two-dimensional
structures have lower free energies than the traditional one-dimensional
solutions, at low temperatures and high magnetic fields. For s-wave pairing,
triangular, square, hexagonal states are favored depending on the temperature,
while square states are favored at low temperatures for d-wave pairing. In
these states, orderparameters have two-dimensional structures such as square
and triangular lattices.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 10:06:51 GMT""},{""version"":""v2"",""created"":""Mon, 19 Jan 1998 07:50:20 GMT""}]","2009-10-30"
"cond-mat/9711018","Pannetier","Yu.I. Latishev, B. Pannetier, P. Monceau","Charge density wave transport in submicron antidot arrays in NbSe3","4 pages with 1 table and 10 figures. Submitted to European Physical
  Journal",,,,"cond-mat.mes-hall cond-mat.str-el",,"  We demonstrate for the first time that a periodic array of submicrometer
holes (antidots) can be patterned into thin single NbSe3 crystals. We report on
the study of charge density wave (CDW) transport of the network of mesoscopic
units between antidots. Size of the elementary unit can be as small as 0.5
micron along the chain axis and (0.2 micron) x (0.3 micron) in cross section.
We observe size effects for Ohmic residual resistance and in CDW transport
current-voltage characteristics in submicronic networks.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 12:03:59 GMT""},{""version"":""v2"",""created"":""Thu, 6 Nov 1997 12:07:18 GMT""}]","2007-05-23"
"cond-mat/9711019","Harald Kallabis","Harald Kallabis and Dietrich E. Wolf","Growth of Patterned Surfaces","4 pages, 4 figures, uses psfig; to appear in Phys. Rev. Lett","Phys. Rev. Lett. 79, 4854 (1997)","10.1103/PhysRevLett.79.4854",,"cond-mat.stat-mech cond-mat.mtrl-sci",,"  During epitaxial crystal growth a pattern that has initially been imprinted
on a surface approximately reproduces itself after the deposition of an integer
number of monolayers. Computer simulations of the one-dimensional case show
that the quality of reproduction decays exponentially with a characteristic
time which is linear in the activation energy of surface diffusion. We argue
that this life time of a pattern is optimized, if the characteristic feature
size of the pattern is larger than $(D/F)^{1/(d+2)}$, where $D$ is the surface
diffusion constant, $F$ the deposition rate and $d$ the surface dimension.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 12:25:38 GMT""}]","2009-10-30"
"cond-mat/9711020","Rosario Fazio","Rosario Fazio, Roberto Raimondi","Resonant Andreev Tunneling in Strongly Interacting Quantum Dots","13 pages Revtex, 3 figures .ps",,"10.1103/PhysRevLett.80.2913",,"cond-mat.mes-hall cond-mat.supr-con",,"  We study resonant Andreev tunneling through a strongly interacting quantum
dot connected to a normal and to a superconducting lead. We obtain a formula
for the Andreev current and apply it to discuss the linear and non-linear
transport in the nonperturbative regime, where the effects of the Kondo
resonance on the two particle tunneling arise. In particular we notice an
enhancement of the Kondo anomaly in the $I-V$ characteristics due to the
superconducting electrode.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 13:06:35 GMT""}]","2009-10-30"
"cond-mat/9711021","Michael Karbach","A. Fledderjohann, K.-H. M\""utter, M.-S. Yang and M. Karbach","From one to two dimensions in quantum spin systems","9 pages, ReVTeX with 8 figures, to be published in PRB",,"10.1103/PhysRevB.57.956",,"cond-mat",,"  We study the first derivative of the staggered magnetization squared
$dm^\dag(\theta)^2/d\theta$ and the second derivative
$d^2e_0(\theta)/d\theta^2$ of the ground state energy per site. The parameter
$\theta$ controls the anisotropy between horizontal and vertical couplings in a
two-dimensional (2D) spin-1/2 antiferromagnetic Heisenberg model. It is shown,
that both derivatives diverge at $\theta=1$, where the anisotropic 2D model
reduces to the 1D model.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 13:13:00 GMT""}]","2009-10-30"
"cond-mat/9711022","Beat Ammon","Beat Ammon, Hans Gerd Evertz, Naoki Kawashima, Matthias Troyer and
  Beat Frischmuth","Quantum Monte Carlo Loop Algorithm for the t-J Model","22 pages, including 12 figures. RevTex v3.0, uses psf.tex","Phys. Rev. B 58, 4304 (1998)","10.1103/PhysRevB.58.4304",,"cond-mat.str-el cond-mat.stat-mech",,"  We propose a generalization of the Quantum Monte Carlo loop algorithm to the
t-J model by a mapping to three coupled six-vertex models. The autocorrelation
times are reduced by orders of magnitude compared to the conventional local
algorithms. The method is completely ergodic and can be formulated directly in
continuous time. We introduce improved estimators for simulations with a local
sign problem. Some first results of finite temperature simulations are
presented for a t-J chain, a frustrated Heisenberg chain, and t-J ladder
models.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 13:59:33 GMT""}]","2007-05-23"
"cond-mat/9711023","Gabor Vattay","I.M. J\'anosi, G. Vattay and A. Harnos (E\""otv\""os University
  Budapest,Hungary)","Turbulent helium gas cell as a new paradigm of daily meteorological
  fluctuations?","10 pages Latex",,"10.1023/B:JOSS.0000033169.16298.0a","CMPLX-4","cond-mat.dis-nn",,"  We compare the spectral properties of long meteorological temperature records
with laboratory measurements in small convection cells. Surprisingly, the
atmospheric boundary layer sampled on a daily scale shares the statistical
properties of temperature fluctuations in small-scale experiments. This fact
can be explained by the hydrodynamical similarity between these seemingly very
different systems. The results suggest that the dynamics of daily temperature
fluctuations is determined by the soft turbulent state of the atmospheric
boundary layer in continental climate.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 14:01:19 GMT""}]","2009-10-30"
"cond-mat/9711025","Alban Fauchere","A. L. Fauchere (1), G. B. Lesovik (2), and G. Blatter (1), ((1)
  Theoretische Physik, Eidgenoessische Technische Hochschule, Zurich, (2)
  Institute of Solid State Physics, Chernogolovka)","Finite voltage shot noise in normal-metal - superconductor junctions","6 pages, Latex, 2 eps-figures, to be published in PRB, Appendix on
  Bogoliubov equations","Phys. Rev. B 58, 11177 (1997).","10.1103/PhysRevB.58.11177","ETH-TH/97-","cond-mat.mes-hall",,"  We express the low-frequency shot noise in a disordered normal-metal -
superconductor (NS) junction at finite (subgap) voltage in terms of the normal
scattering amplitudes and the Andreev reflection amplitude. In the multichannel
limit, the conductance exhibits resonances which are accompanied by an
enhancement of the (differential) shot noise. In the study of multichannel
single and double barrier junctions we discuss the noise properties of coherent
transport at low versus high voltage with respect to the Andreev level spacing.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 15:42:48 GMT""},{""version"":""v2"",""created"":""Mon, 7 Sep 1998 11:26:15 GMT""}]","2009-10-30"
"cond-mat/9711026",,"R. Baviera, M. Pasquini, M. Serva (Dip. di Fisica, Dip. di Matematica
  and I.N.F.M., Universit\`a dell'Aquila, Italy)","A variational approach to Ising spin glasses in finite dimensions","16 pages, Plain TeX, uses Harvmac.tex, 4 ps figures, submitted to J.
  Phys. A: Math. Gen",,"10.1088/0305-4470/31/18/005",,"cond-mat.dis-nn",,"  We introduce a hierarchical class of approximations of the random Ising spin
glass in $d$ dimensions. The attention is focused on finite clusters of spins
where the action of the rest of the system is properly taken into account. At
the lower level (cluster of a single spin) our approximation coincides with the
SK model while at the highest level it coincides with the true $d$-dimensional
system. The method is variational and it uses the replica approach to spin
glasses and the Parisi ansatz for the order parameter. As a result we have
rigorous bounds for the quenched free energy which become more and more precise
when larger and larger clusters are considered.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 15:54:51 GMT""}]","2009-10-30"
"gr-qc/9711002","Luis Herrera","L.Herrera, A.Di Prisco, J.L.Hernandez-Pastora (Area de Fisica Teorica,
  Universidad de Salamanca, Spain), N.O.Santos (Observatorio Nacional, Rio de
  Janeiro, Brasil)","On the role of density inhomogeneity and local anisotropy in the fate of
  spherical collapse","13 pages in Latex, to appear in Physics Letters A",,"10.1016/S0375-9601(97)00874-8",,"gr-qc",,"  We obtain an expression for the active gravitational mass of a collapsing
fluid distribution, which brings out the role of density inhomogeneity and
local anisotropy in the fate of spherical collapse.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 16:03:47 GMT""}]","2009-10-30"
"gr-qc/9711003","Robert Mann","H. Burton, R.B. Mann","Palatini Variational Principle for an Extended Einstein-Hilbert Action","14 pages, LaTeX","Phys.Rev. D57 (1998) 4754-4759","10.1103/PhysRevD.57.4754","WATPHYS TH-97/17","gr-qc",,"  We consider a Palatini variation on a generalized Einstein-Hilbert action. We
find that the Hilbert constraint, that the connection equals the Christoffel
symbol, arises only as a special case of this general action, while for
particular values of the coefficients of this generalized action, the
connection is completely unconstrained. We discuss the relationship between
this situation and that usually encountered in the Palatini formulation.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 18:15:40 GMT""}]","2009-10-30"
"gr-qc/9711004","Pierre Savaria","Pierre Savaria","Anisotropic Homogeneous Cosmology in the Nonsymmetric Theory of
  Gravitation","13 pages, TeX, no figure",,,"UTPT-97-22","gr-qc",,"  Solutions to the field equations of the Nonsymmetric Gravitational Theory
with $g_[i0] = 0$ are obtained for the homogeneous, plane-symmetric,
time-dependent case, both in vacuum and in the presence of a perfect fluid.
Cosmological consequences include a dependence of the speed of light on its
polarisation, as in a birefringent crystal.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 18:58:49 GMT""}]","2007-05-23"
"gr-qc/9711005","Samuel Rocha Oliveira","Marcelo E. Araujo, Patricio S. Letelier and Samuel R. Oliveira","Two Kerr black holes with axisymmetric spins: An improved Newtonian
  model for the head-on collision and gravitational radiation","8 pages, RevTeX, 2 figures, psbox macro included","Class.Quant.Grav. 15 (1998) 3051-3060","10.1088/0264-9381/15/10/011",,"gr-qc",,"  We present a semi-analytical approach to the interaction of two (originally)
Kerr black holes through a head-on collision process. An expression for the
rate of emission of gravitational radiation is derived from an exact solution
to the Einstein's field equations. The total amount of gravitational radiation
emitted in the process is calculated and compared to current numerical
investigations. We find that the spin-spin interaction increases the emission
of gravitational wave energy up to 0.2% of the total rest mass. We discuss also
the possibility of spin-exchange between the holes.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 19:07:25 GMT""}]","2009-10-30"
"gr-qc/9711006","Jeong Won Ho","Jeongwon Ho, Won Tae Kim, and Young-Jai Park","Duality of Quasilocal Black Hole Thermodynamics","19 pages, Latex, no figures, to be published in Class. Quantum Grav.
  Some minor changes, references added","Class.Quant.Grav. 15 (1998) 1437-1448","10.1088/0264-9381/15/6/003","SOGANG-HEP-224/97","gr-qc hep-th",,"  We consider T-duality of the quasilocal black hole thermodynamics for the
three-dimensional low energy effective string theory. Quasilocal thermodynamic
variables in the first law are explicitly calculated on a general axisymmetric
three-dimensional black hole solution and corresponding dual one. Physical
meaning of the dual invariance of the black hole entropy is considered in terms
of the Euclidean path integral formulation.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 07:21:38 GMT""},{""version"":""v2"",""created"":""Thu, 23 Apr 1998 13:44:43 GMT""}]","2009-10-30"
"gr-qc/9711007","Ilja Schmelzer","Ilja Schmelzer","Realism And Empirical Evidence","11 pages Latex, no figures",,,"WIAS preprint No. 373 (ISSN 0946-8633)","gr-qc",,"  We define realism using a slightly modified version of the EPR criterion of
reality. This version is strong enough to show that relativity is incomplete.
  We show that this definition of realism is nonetheless compatible with the
general principles of causality and canonical quantum theory as well as with
experimental evidence in the (special and general) relativistic domain.
  We show that the realistic theories we present here, compared with the
standard relativistic theories, have higher empirical content in the strong
sense defined by Popper's methodology.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 09:45:50 GMT""}]","2007-05-23"
"gr-qc/9711008","Carlos Lousto","Manuela Campanelli (U. of Utah) and Carlos O. Lousto (IAFE, Buenos
  Aires)","The imposition of Cauchy data to the Teukolsky equation I: The
  nonrotating case","9 pages, REVTEX. Misprints corrected in formulas (2.4)-(2.7). Final
  version to appear in PRD","Phys.Rev. D58 (1998) 024015","10.1103/PhysRevD.58.024015",,"gr-qc astro-ph hep-th",,"  Gravitational perturbations about a Kerr black hole in the Newman-Penrose
formalism are concisely described by the Teukolsky equation. New numerical
methods for studying the evolution of such perturbations require not only the
construction of appropriate initial data to describe the collision of two
orbiting black holes, but also to know how such new data must be imposed into
the Teukolsky equation. In this paper we show how Cauchy data can be
incorporated explicitly into the Teukolsky equation for non-rotating black
holes. The Teukolsky function $% \Psi $ and its first time derivative
$\partial_t \Psi $ can be written in terms of only the 3-geometry and the
extrinsic curvature in a gauge invariant way. Taking a Laplace transform of the
Teukolsky equation incorporates initial data as a source term. We show that for
astrophysical data the straightforward Green function method leads to divergent
integrals that can be regularized like for the case of a source generated by a
particle coming from infinity.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 15:33:30 GMT""},{""version"":""v2"",""created"":""Tue, 17 Feb 1998 16:05:57 GMT""},{""version"":""v3"",""created"":""Sat, 9 May 1998 15:55:34 GMT""}]","2009-10-30"
"hep-ph/9711213","Rudolf Baier","R. Baier, M. Dirks and K. Redlich","Photon and Dilepton Production from Hot Out-Off-Equilibrium Media","16 pages LaTeX, 11 figures using epsfig. To be published in the
  proceedings of the XXXVII-th Cracow School of Theoretical Physics, Dynamics
  of Strong Interactions, Zakopane, June 1997","Acta Phys.Polon.B28:2873-2895,1997",,,"hep-ph",,"  The electromagnetic emissivity from QCD media away from equilibrium is
studied in the framework of closed time path thermal field theory. For the
dilepton rate a nonequilibrium mesonic medium is considered applying finite
temperature perturbation theory for $\pi -\rho$ interactions. The dilepton rate
is derived up to the order $g_\rho^2$. For hard photon production a quark gluon
plasma is assumed and calculations are performed in leading order in the strong
coupling constant. These examples are chosen in order to investigate the role
of possible pinch terms in boson and in fermion propagators, respectively. The
implications of the results for phenomenology are also discussed.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 18:24:03 GMT""}]","2011-04-15"
"hep-ph/9711214","Juan Garcia-Bellido","Juan Garcia-Bellido (CERN), Jaume Garriga and Xavier Montes (IFAE)","Quasi-open inflation","24 pages, RevTeX, epsf, 5 figures (included in the text)","Phys. Rev. D 57, 4669 (1998)","10.1103/PhysRevD.57.4669","CERN-TH/97-296","hep-ph astro-ph gr-qc",,"  We show that a large class of two-field models of single-bubble open
inflation do not lead to infinite open universes, as it was previously thought,
but to an ensemble of very large but finite inflating `islands'. The reason is
that the quantum tunneling responsible for the nucleation of the bubble does
not occur simultaneously along both field directions and equal-time
hypersurfaces in the open universe are not synchronized with equal-density or
fixed-field hypersurfaces. The most probable tunneling trajectory corresponds
to a zero value of the inflaton field; large values, necessary for the second
period of inflation inside the bubble, only arise as localized fluctuations.
The interior of each nucleated bubble will contain an infinite number of such
inflating regions of comoving size of order $\gamma^{-1}$, where $\gamma$
depends on the parameters of the model. Each one of these islands will be a
quasi-open universe. Since the volume of the hyperboloid is infinite, inflating
islands with all possible values of the field at their center will be realized
inside of a single bubble. We may happen to live in one of those patches of
comoving size $d\lesssim \gamma^{-1}$, where the universe appears to be open.
In particular, we consider the ``supernatural'' model proposed by Linde and
Mezhlumian. There, an approximate U(1) symmetry is broken by a tunneling field
in a first order phase transition, and slow-roll inflation inside the nucleated
bubble is driven by the pseudo-Goldstone field. We find that the excitations of
the pseudo-Goldstone produced by the nucleation and subsequent expansion of the
bubble place severe constraints on this model. We also discuss the coupled and
uncoupled two-field models.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 18:36:50 GMT""}]","2016-08-25"
"hep-ph/9711215","Mihir P. Worah","Yosef Nir and Mihir P. Worah","Probing the Flavor and CP Structure of Supersymmetric Models with K -->
  pi nu nubar Decays","17 pgs Revtex, 1 fig. Uses epsf. Constraints in Table 1 and related
  text changed due to previously overlooked SU(2) relations; references
  updated; conclusions unchanged. Version to be published in PLB.","Phys.Lett. B423 (1998) 319-326","10.1016/S0370-2693(98)00098-7","SLAC-PUB-7690","hep-ph",,"  We study the implications of various supersymmetric models on the rare $K^+
\to \pi^+ \nu \bar\nu$ and $K_L \to \pi^0 \nu \bar\nu$ decays. Although large
effects are possible in generic supersymmetric models, most of the known
supersymmetric flavor models lead to negligible effects. Thus, it is likely
that one can get information about CKM matrix elements from these decays even
in the presence of supersymmetry. Moreover, the possibility of large
contributions to $K \to \pi \nu \bar\nu$ in generic supersymmetric models can
be constrained by improved bounds on $D-\bar D$ mixing. We show that it may be
possible to distinguish between different supersymmetric flavor models by
combining the information from the $K \to \pi \nu \bar\nu$ decays with that
from $B-\bar B$ and $D-\bar D$ mixing.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 20:00:20 GMT""},{""version"":""v2"",""created"":""Tue, 24 Feb 1998 21:59:43 GMT""}]","2009-10-30"
