"alg-geom/9711021","Gerard Laumon","G. Laumon and M. Rapoport","A geometric approach to the fundamental lemma for unitary groups","44 pages, Plain TeX",,,"Preprint Mathematisches Institut der Universitaet zu Koeln 11-97","alg-geom math.AG",,"  We consider from a geometric point of view the conjectural fundamental lemma
of Langlands and Shelstad for unitary groups over a local field of positive
characteristic. We introduce projective algebraic varieties over the finite
residue field $k$ and interpret the conjecture in this case as a remarkable
identity between the number of $k$-rational points of them. We prove the
corresponding identity for the numbers of $k_f$-rational points, for any
extension of even degree $f$ of $k$. The proof uses the local intersection
theory on a regular surface and Deligne's theory of intersection multiplicities
with weights. We also discuss a possible descent argument that uses $\ell$-adic
cohomology to treat extensions of odd degree as well.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 09:08:53 GMT""}]","2007-05-23"
"cond-mat/9711181","Alexandr Rozhkov","A.V. Rozhkov","The calculation of the impurity entropy for the exactly solvable
  two-channel Kondo model","4 pages, 1 figure, the title is changed, some changes in the paper
  text, two references are added","Int. J. Mod. Phys. B 12, (1998) 3457","10.1142/S0217979298002805",,"cond-mat",,"  In this paper the entropy of the two-channel Kondo impurity is calculated. We
demonstrate that the exactly solvable system of finite size can be described in
terms of free fermions. None of these fermions is Majorana fermion. This allows
us to find the impurity entropy $S(T, L)$ for arbitrary values of $T$ and $L$.
As found before, $S(T=0, L=\infty)$ equals to $(1/2)\ln 2$. For finite $L$ the
entropy shows a cross-over to the infinite-size behavior at $T>T_L=v_F/L$, in
agreement with results of other researchers.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 21:06:27 GMT""},{""version"":""v2"",""created"":""Fri, 24 Jul 1998 17:15:13 GMT""}]","2009-10-30"
"cond-mat/9711182","Ferenc Szalma","F. Igloi (1,2), P. Lajko (2), W. Selke (3), F. Szalma (2) ((1)
  Research Institute for Solid State Physics, Budapest, (2) Szeged University,
  (3) Technische Hochschule, Aachen)","Boundary critical behaviour of two-dimensional random Ising models","16 pages in ioplppt style, 7 ps figures, submitted to J. Phys. A","J. Phys. A, 31 (1998) 2801","10.1088/0305-4470/31/12/006",,"cond-mat.stat-mech",,"  Using Monte Carlo techniques and a star-triangle transformation, Ising models
with random, 'strong' and 'weak', nearest-neighbour ferromagnetic couplings on
a square lattice with a (1,1) surface are studied near the phase transition.
Both surface and bulk critical properties are investigated. In particular, the
critical exponents of the surface magnetization, 'beta_1', of the correlation
length, 'nu', and of the critical surface correlations, 'eta_{\parallel}', are
analysed.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 21:20:52 GMT""}]","2009-10-30"
"cond-mat/9711183","Vidvuds Ozolins","V. Ozolins, C. Wolverton, and Alex Zunger","Effects of anharmonic strain on phase stability of epitaxial films and
  superlattices: applications to noble metals","RevTeX galley format, 16 pages, includes 9 EPS figures, to appear in
  Physical Review B",,"10.1103/PhysRevB.57.4816",,"cond-mat.mtrl-sci",,"  Epitaxial strain energies of epitaxial films and bulk superlattices are
studied via first-principles total energy calculations using the local-density
approximation. Anharmonic effects due to large lattice mismatch, beyond the
reach of the harmonic elasticity theory, are found to be very important in
Cu/Au (lattice mismatch 12%), Cu/Ag (12%) and Ni/Au (15%). We find that <001>
is the elastically soft direction for biaxial expansion of Cu and Ni, but it is
<201> for large biaxial compression of Cu, Ag, and Au. The stability of
superlattices is discussed in terms of the coherency strain and interfacial
energies. We find that in phase-separating systems such as Cu-Ag the
superlattice formation energies decrease with superlattice period, and the
interfacial energy is positive. Superlattices are formed easiest on (001) and
hardest on (111) substrates. For ordering systems, such as Cu-Au and Ag-Au, the
formation energy of superlattices increases with period, and interfacial
energies are negative. These superlattices are formed easiest on (001) or (110)
and hardest on (111) substrates. For Ni-Au we find a hybrid behavior:
superlattices along <111> and <001> like in phase-separating systems, while for
<110> they behave like in ordering systems. Finally, recent experimental
results on epitaxial stabilization of disordered Ni-Au and Cu-Ag alloys,
immiscible in the bulk form, are explained in terms of destabilization of the
phase separated state due to lattice mismatch between the substrate and
constituents.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 23:13:12 GMT""}]","2009-10-30"
"cond-mat/9711184","Jamil Tahir-Kheli","Jason K. Perry and Jamil Tahir-Kheli","Electronic Structure of La1.85Sr0.15CuO4: Characterization of a Fermi
  Level Band Crossing","TeX file (16 pages) and PostScript figure file (3 pages)",,,"FPR-97-01","cond-mat.supr-con cond-mat.mtrl-sci",,"  We present the results of a new Hubbard model for optimally doped LaSrCuO.
This model uses parameters derived from BLYP calculations on the cluster CuO6.
It explicitly includes the Cu dx2-y2 and dz2 orbitals, the O psigma orbitals,
and the apical O pz orbitals. When correlation is properly included in the
Hubbard model, we find that there is a crossing of two bands in the vicinity of
the Fermi level for the optimally doped superconductor. This crossing
rigorously occurs along the (0,0)-(pi,pi) direction of the 2D Brillouin zone.
The crossing arises due to the overlap of a broad ""B1g"" band dominated by Cu
dx2-y2 character and a narrower ""A1g"" band dominated by Cu dz2 character. We
conclude that optimal doping of LaSrCuO and related materials is achieved when
the Fermi levels coincides with this crossing. At this point, formation of
Cooper pairs between the two bands (i.e. inter-band or IBP) leads to
superconductivity. Furthermore, using geometric considerations, we extend our
conclusions to YBaCuO and offer a simple explanation for the seemingly complex
behavior of Tc as a function of doping in this material. This behavior can be
understood on the basis of multiple band crossings.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 23:45:35 GMT""},{""version"":""v2"",""created"":""Wed, 19 Nov 1997 07:32:47 GMT""}]","2007-05-23"
"cond-mat/9711185","Anjan Kundu","Anjan Kundu","Exact solution of quasi two and three dimensional quantum spin models","Latex, no figure, 7 pages : 3d case added leading to change of Title,
  some change and addition of formulas and references.Figure removed",,,"TNP/SINP/97-19","cond-mat",,"  A class of quasi two and three dimensional quantum lattice spin models with
nearest and next nearest neighbour interactions is proposed. The basic idea of
construction is to introduce interactions in an array of
  XXZ spin chains through twisting transformation. The models belong to quantum
integrable systems allowing explicit R-matrix solution. The eigenvalue problem
can be solved exactly using some symmetry of the models.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 05:22:51 GMT""},{""version"":""v2"",""created"":""Thu, 4 Dec 1997 12:38:04 GMT""}]","2016-08-31"
"cond-mat/9711186","Andrei Manolescu","Andrei Manolescu, Vidar Gudmundsson","Collective modes and the far-infrared absorption of the two-dimensional
  electron gas in a periodic quantizing magnetic field","11 pages, 7 figures, to appear in Superlattices and Microstructures",,"10.1006/spmi.1997.0557","IC/97/104","cond-mat.mes-hall",,"  We investigate the far-infrared (FIR) absorption of a two-dimensional
electron gas in a periodically modulated quantizing magnetic field. The
magnetic field varies along only one spatial direction and the external
time-dependent electric field is linearly polarized along that axis. The mutual
Coulomb interaction of the electrons is treated self-consistently in the ground
state and in the absorption calculation within the Hartree approximation. The
effects of the magnetic material on top of the heterostructure as a grating
coupler is included in the time-dependent incident FIR electric field. We show
that similar to an electric modulation, the absorption can be directly
correlated to the underlying electronic energy bands. In addition, the magnetic
modulation leads to absorption spectra with a richer structure due to the quite
different static response of the electron density to the modulation.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 08:08:32 GMT""}]","2009-10-30"
"cond-mat/9711187","Fausto Rossi","Fausto Rossi, (INFM and Dipartimento di Fisica, Univ. of Modena,
  Italy)","Coherent phenomena in semiconductors","Topical review in Semiconductor Science and Technology (in press)
  (Some of the figures are not available in electronic form)",,"10.1088/0268-1242/13/2/001",,"cond-mat.mtrl-sci",,"  A review of coherent phenomena in photoexcited semiconductors is presented.
In particular, two classes of phenomena are considered: On the one hand the
role played by optically-induced phase coherence in the ultrafast spectroscopy
of semiconductors; On the other hand the Coulomb-induced effects on the
coherent optical response of low-dimensional structures.
  All the phenomena discussed in the paper are analyzed in terms of a
theoretical framework based on the density-matrix formalism. Due to its
generality, this quantum-kinetic approach allows a realistic description of
coherent as well as incoherent, i.e. phase-breaking, processes, thus providing
quantitative information on the coupled ---coherent vs. incoherent--- carrier
dynamics in photoexcited semiconductors.
  The primary goal of the paper is to discuss the concept of quantum-mechanical
phase coherence as well as its relevance and implications on semiconductor
physics and technology. In particular, we will discuss the dominant role played
by optically induced phase coherence on the process of carrier photogeneration
and relaxation in bulk systems. We will then review typical field-induced
coherent phenomena in semiconductor superlattices such as Bloch oscillations
and Wannier-Stark localization. Finally, we will discuss the dominant role
played by Coulomb correlation on the linear and non-linear optical spectra of
realistic quantum-wire structures.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 09:15:47 GMT""}]","2009-10-30"
"cond-mat/9711188","Fausto Rossi","Fausto Rossi, (INFM and Dipartimento di Fisica, Univ. of Modena,
  Italy)","Bloch oscillations and Wannier-Stark localization in semiconductor
  superlattices","To appear in ""Theory of Transport Properties of Semiconductor
  Nanostructures, edited by E. Schoell (Chapman&Hall, London, 1997) (Some of
  the figures are not available in electronic form)",,,,"cond-mat.mtrl-sci",,"  The theoretical analysis of the ultrafast energy relaxation and transport
phenomena in semiconductor superlattices is reviewed. In particular, we discuss
the two equivalent quantum-mechanical pictures of Bloch oscillations and
Wannier-Stark localization. A review of simulated experiments and their
comparison with available experimental investigations is also provided.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 09:35:15 GMT""}]","2007-05-23"
"cond-mat/9711189","Fausto Rossi","Fausto Rossi, Elisa Molinari (INFM and Dipartimento di Fisica, Univ.
  of Modena, Italy)","Coulomb-correlation effects on the non-linear optical properties of
  realistic quantum wires","Proc. HCIS-10, Berlin, 1997 (To appear in Phys. Stat. Sol. (b))",,"10.1002/1521-3951(199711)204:1<241::AID-PSSB241>3.0.CO",,"cond-mat.mtrl-sci",,"  We review recent results on the linear and non-linear optical response of
realistic quantum-wire structures. Our theoretical approach is based on a set
of generalized semiconductor Bloch equations, and allows a full
three-dimensional multisubband description of Coulomb correlation for any shape
of the confinement profile, thus permitting a direct comparison with
experiments for available state-of-the-art wire structures.
  Our results show that electron-hole Coulomb correlation removes the
one-dimensional band-edge singularities from the absorption spectra, whose
shape results to be heavily modified with respect to the ideal free-particle
case over the whole range of photoexcited carrier densities.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 10:07:01 GMT""}]","2009-10-30"
"cond-mat/9711190","Muktish Acharyya","Muktish Acharyya (Cologne University, Germany)","Nonequilibrium Phase Transition in the Kinetic Ising model: Absence of
  tricritical behaviour in presence of impurities","This paper is withdrawn due to some errors",,,,"cond-mat",,"  The nonequilibrium dynamic phase transition, in the two dimensional site
diluted kinetic Ising model in presence of an oscillating magnetic field, has
been studied by Monte Carlo simulation. The projections of dynamical phase
boundary (surface) are drawn in the planes formed by the dilution and field
amplitude and the plane formed by temperature and field amplitude. The
tricritical behaviour is found to be absent in this case.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 10:22:00 GMT""},{""version"":""v2"",""created"":""Sat, 19 Jan 2013 06:45:45 GMT""},{""version"":""v3"",""created"":""Thu, 14 Feb 2013 09:36:13 GMT""}]","2013-02-15"
"cond-mat/9711191","Muktish Acharyya","Muktish Acharyya (Cologne University, Germany)","Nonequlibrium phase transition in the kinetic Ising model: Dynamical
  symmetry breaking by randomly varying magnetic field","4 pages Revtex and 5 Latex figures; To appear in Phys. Rev. E",,"10.1103/PhysRevE.58.174",,"cond-mat.stat-mech",,"  The nonequilibrium dynamic phase transition, in the two dimensional kinetic
Ising model in presence of a randomly varying (in time but uniform in space)
magnetic field, has been studied both by Monte Carlo simulation and by solving
the mean field dynamic equation of motion for the average magnetisation. In
both the cases, the time averaged magnetisation vanishes from a nonzero value
depending upon the values of the width of randomly varying field and the
temperature. The phase boundary lines are drawn in the plane formed by the
width of the random field and the temperature.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 10:22:54 GMT""},{""version"":""v2"",""created"":""Thu, 2 Apr 1998 09:55:46 GMT""}]","2009-10-30"
"cond-mat/9711192","Olivier Parcollet","Olivier Parcollet, Antoine Georges, Gabriel Kotliar, Anirvan Sengupta","Overscreened multi-channel SU(N) Kondo model : large-N solution and
  Conformal Field Theory","39 pages, RevTeX, including 5 figures in encapsulated postscript
  format",,"10.1103/PhysRevB.58.3794","LPTENS-97-55","cond-mat.str-el",,"  The multichannel Kondo model with SU(N) spin symmetry and SU(K) channel
symmetry is considered. The impurity spin is chosen to transform as an
antisymmetric representation of SU(N), corresponding to a fixed number of
Abrikosov fermions $\sum_{\alpha}f_{\alpha}^{\dagger}f_{\alpha}=Q$. For more
than one channel (K>1), and all values of N and Q, the model displays non-Fermi
behaviour associated with the overscreening of the impurity spin. Universal
low-temperature thermodynamic and transport properties of this non-Fermi liquid
state are computed using conformal field theory methods. A large-N limit of the
model is then considered, in which K/N and Q/N are held fixed. Spectral
densities satisfy coupled integral equations in this limit, corresponding to a
(time-dependent) saddle-point. A low frequency, low-temperature analysis of
these equations reveals universal scaling properties in the variable
$\omega/T$, also predicted from conformal invariance. The universal scaling
form is obtained analytically and used to compute the low-temperature universal
properties of the model in the large-N limit, such as the T=0 residual entropy
and residual resistivity, and the critical exponents associated with the
specific heat and susceptibility. The connections with the ``non-crossing
approximation'' and the previous work of Cox and Ruckenstein are discussed.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 12:54:27 GMT""},{""version"":""v2"",""created"":""Tue, 9 Jun 1998 16:07:58 GMT""}]","2009-10-30"
"cond-mat/9711193","Paul M. Goldbart","Daniel E. Sheehy and Paul M. Goldbart (University of Illinois at
  Urbana-Champaign)","Intrinsic resistivity and the SO(5) theory of high-temperature
  superconductors","4 pages, including 1 figure (REVTEX); references added, minor
  corrections made",,"10.1103/PhysRevB.57.R8131","UIUC Preprint P-97-11-034-ii","cond-mat.supr-con",,"  The topological structure of the order parameter in Zhang's SO(5) theory of
superconductivity allows for an unusual type of dissipation mechanism via which
current-carrying states can decay. The resistivity due to this mechanism, which
involves orientation rather than amplitude order-parameter fluctuations, is
calculated for the case of a thin superconducting wire. The approach is a
suitably modified version of that pioneered by Langer and Ambegaokar for
conventional superconductors.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 13:04:27 GMT""},{""version"":""v2"",""created"":""Fri, 5 Dec 1997 21:59:25 GMT""}]","2009-10-30"
"cond-mat/9711194","Baruch Horovitz","Baruch Horovitz and T. Ruth Goldin (Ben-Gurion University, Israel)","Josephson glass and decoupling of flux lattices in layered
  superconductors","5 pages, 1 eps figure, Revtex, Phys. Rev. Lett. (submitted)","Phys. Rev. Lett. 80 (1998) 1734","10.1103/PhysRevLett.80.1734",,"cond-mat.supr-con",,"  Phase transitions of a flux lattice in layered superconductors with magnetic
field perpendicular to the layers and in presence of disorder are studied. We
find that the Josephson coupling between layers leads to a strongly pinned
Josephson glass (JG) phase at low temperatures and fields. The JG phase
undergoes either a decoupling transition with increasing field or a depinning
transition with increasing temperature. The resulting phases undergo further
depinning and decoupling transitions, respectively, resulting in a phase
diagram with a multicritical point where four phases meet. The phase diagram
accounts for unusual data on Bi_2Sr_2CaCu_2O_8 such as the ""second peak""
transition and the recently observed depinning transitions.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 14:43:13 GMT""}]","2009-10-30"
"dg-ga/9711013","Theodore Voronov","Theodore Voronov","Complex Generated by Variational Derivatives. Lagrangian Formalism of
  Infinite Order and a Generalized Stokes' Formula","LaTeX, 4 pages","Uspekhi Mat. Nauk 51 (6) (1996), 195-196",,,"dg-ga math.DG",,"  We prove that an analog of the exterior differential acts on the space of
arbitrary Lagrangians of multidimensional paths on any manifold or
supermanifold, thus making this space into a cochain complex. An analog of the
Stokes' formula holds. The construction and the proofs are purely geometrical,
in terms of the variation of corresponding actions.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 20:31:28 GMT""}]","2007-05-23"
"dg-ga/9711014","Miguel Abreu","Miguel Abreu","Kahler geometry of toric varieties and extremal metrics","12 pages, submitted to International Journal of Mathematics",,,"IST Preprint 10/97","dg-ga math.DG",,"  Recently Guillemin gave an explicit combinatorial way of constructing ""toric""
Kahler metrics on (symplectic) toric varieties, using only data on the moment
polytope. In this paper, differential geometric properties of these metrics are
investigated using Guillemin's construction. In particular, a nice
combinatorial formula for the scalar curvature is given, and the Euler-Lagrange
condition for such ""toric"" metrics being extremal (in the sense of Calabi) is
derived. A construction, due to Calabi, of a 1-parameter family of extremal
metrics of non-constant scalar curvature is recast very simply and explicitly.
Finally, a curious combinatorial formula for convex polytopes, that follows
from the relation between the total integral of the scalar curvature and the
wedge product of the first Chern class with a suitable power of the Kahler
class, is presented.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 10:57:02 GMT""}]","2007-05-23"
"funct-an/9711003","Fritz Gesztesy","Fritz Gesztesy, Konstantin A. Makarov, and Eduard Tsekanovskii","An Addendum to Krein's Formula","LaTeX",,,,"funct-an math.OA",,"  We provide additional results in connection with Krein's formula, which
describes the resolvent difference of two self-adjoint extensions A_1 and A_2
of a densely defined closed symmetric linear operator A with (possibly
infinite) equal deficiency indices. In particular, we explicitly derive the
linear fractional transformation relating the operator-valued Weyl-Titchmarsh
M-functions M_1(z) and M_2(z) corresponding to A_1 and A_2.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 20:25:41 GMT""}]","2007-05-23"
"gr-qc/9711056","Steven Weinstein","Steven Weinstein (Dept. of Philosophy, Northwestern University)","Time, Gauge, and the Superposition Principle in Quantum Gravity","3 pages, LaTeX. Requires mprocl.sty, available at
  ftp://shemesh.fiz.huji.ac.il/pub/mprocl.sty . To be published in the
  proceedings of the Eighth Marcel Grossmann Meeting on General Relativity.
  (Jerusalem, June, 1997)",,,,"gr-qc quant-ph",,"  The quantization of time-reparametrization invariant systems such as general
relativity is plagued by an ambiguity relating to the role of time in the
theory. If one parametrizes observables by the (unobservable) time, and then
relies on the existence of an approximate ""clock"" degree of freedom to give
physical meaning to the observables, one finds multiple quantum states that
yield the same predictions yet interfere with each other.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 16:28:57 GMT""}]","2007-05-23"
"gr-qc/9711057","Jelle Boersma","Jelle Boersma","Averaging in Cosmology","24 pages, Latex, accepted for publication in Phys. Rev. D","Phys.Rev. D57 (1998) 798-810","10.1103/PhysRevD.57.798",,"gr-qc",,"  In this paper we discuss the effect of local inhomogeneities on the global
expansion of nearly FLRW universes, in a perturbative setting. We derive a
generic linearized averaging operation for metric perturbations from basic
assumptions, and we explicify the issue of gauge invariance. We derive a gauge
invariant expression for the back-reaction of density inhomogeneities on the
global expansion of perturbed FLRW spacetimes, in terms of observable
quantities, and we calculate the effect quantitatively. Since we do not adopt a
comoving gauge, our result incorporates the back-reaction on the metric due to
scalar velocity and vorticity perturbations. The results are compared with the
results by other authors in this field.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 13:31:23 GMT""}]","2009-10-30"
"hep-lat/9711036","Xiang Qian Luo","Xiang-Qian Luo","Simulating the vacuum properties of QCD with dynamical quarks","3 pages, Latex. Talk given at Lattice 97: 15th International
  Symposium on Lattice Field Theory, Edinburgh, Scotland, 22-26 Jul 1997, to
  appear in Nucl. Phys. B(Proc. Suppl.)","Nucl.Phys.Proc.Suppl. 63 (1998) 835-837","10.1016/S0920-5632(97)00915-8",,"hep-lat",,"  The vacuum properties of lattice QCD with staggered quarks are investigated
by an efficient simulation method. I present data for the quark condensate with
flavor number $N_f=0, ~ 1, ~ 2, ~ 3, ~ 4$ and many quark masses, including the
vacuum energy in the chiral limit. Obvious sea quark effects are observed in
some parameter space. I also describe a mechanism to understand this and a
formula relating the chiral condensate and zero modes.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 17:46:32 GMT""}]","2009-10-30"
"hep-lat/9711037","Xiang Qian Luo","J. Liu, X.Q. Luo, X. Fang, S. Guo, H. Kroeger, D. Schuette, L. Lin","Method for Extracting the Glueball Wave Function","3 pages, Latex. Presented at Lattice 97: 15th International Symposium
  on Lattice Field Theory, Edinburgh, Scotland, 22-26 Jul 1997, to appear in
  Nucl. Phys. B(Proc. Suppl.)","Nucl.Phys.Proc.Suppl. 63 (1998) 257-259","10.1016/S0920-5632(97)00738-X",,"hep-lat",,"  We describe a nonperturbative method for calculating the QCD vacuum and
glueball wave functions, based on an eigenvalue equation approach to
Hamiltonian lattice gauge theory. Therefore, one can obtain more physical
information than the conventional simulation methods. For simplicity, we take
the 2+1 dimensional U(1) model as an example. The generalization of this method
to 3+1 dimensional QCD is straightforward.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 18:18:11 GMT""}]","2009-10-30"
"hep-lat/9711038","Jiri Jersak","W. Franzki, J. Jersak (Aachen)","Strongly coupled U(1) lattice gauge theory as a microscopic model of
  Yukawa theory","4 pages","Phys.Rev. D58 (1998) 034509","10.1103/PhysRevD.58.034509","PITHA 97/42, HLRZ1997\_65","hep-lat hep-th",,"  Dynamical chiral symmetry breaking in a strongly coupled U(1) lattice gauge
model with charged fermions and scalar is investigated by numerical simulation.
Several composite neutral states are observed, in particular a massive fermion.
In the vicinity of the tricritical point of this model we study the effective
Yukawa coupling between this fermion and the Goldstone boson. The perturbative
triviality bound of Yukawa models is nearly saturated. The theory is quite
similar to strongly coupled Yukawa models for sufficiently large coupling
except the occurrence of an additional state -- a gauge ball of mass about half
the mass of the fermion.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 08:43:06 GMT""},{""version"":""v2"",""created"":""Thu, 20 Nov 1997 09:04:42 GMT""}]","2009-10-30"
"hep-lat/9711039","Jiri Jersak","W. Franzki, J. Jersak (Aachen)","Dynamical fermion mass generation at a tricritical point in strongly
  coupled U(1) lattice gauge theory","21 pages","Phys.Rev. D58 (1998) 034508","10.1103/PhysRevD.58.034508","PITHA 97/43, HLRZ1997\_66","hep-lat cond-mat hep-th",,"  Fermion mass generation in the strongly coupled U(1) lattice gauge theory
with fermion and scalar fields of equal charge is investigated by means of
numerical simulation with dynamical fermions. Chiral symmetry of this model is
broken by the gauge interaction and restored by the light scalar. We present
evidence for the existence of a particular, tricritical point of the
corresponding phase boundary where the continuum limit might possibly be
constructed. It is of interest as a model for dynamical symmetry breaking and
mass generation due to a strong gauge interaction. In addition to the massive
and unconfined fermion F and Goldstone boson $\pi$, a gauge ball of mass $m_S
\simeq 1/2 m_F$ and some other states are found. Tricritical exponents appear
to be non-classical.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 08:13:38 GMT""},{""version"":""v2"",""created"":""Thu, 20 Nov 1997 09:16:42 GMT""}]","2009-10-30"
"hep-lat/9711040",,"A. Cucchieri, M. Masetti, T. Mendes and R. Petronzio (University of
  Rome Tor Vergata)","Non-Perturbatively Improved Quenched Hadron Spectroscopy","12 pages, including 5 postscript figures","Phys.Lett.B422:212-218,1998","10.1016/S0370-2693(98)00041-0",,"hep-lat",,"  We make a quenched lattice simulation of hadron spectroscopy at beta=6.2 with
the Wilson action non-perturbatively improved. With respect to the unimproved
case, the estimate of the lattice spacing is less influenced by the choice of
input hadron masses. We study also the effects of using an improved quark mass
in the fits to the dependence of hadron masses upon quark masses.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 11:32:23 GMT""}]","2008-11-26"
"hep-ph/9711369","Marco Stratmann","M. Gluck, E. Reya (Dortmund Univ.), M. Stratmann (Durham Univ.)","Mesonic Parton Densities Derived From Constituent Quark Model
  Constraints","16 pages, LaTeX, 6 figures, uses epsfig and amssymb styles","Eur.Phys.J.C2:159-163,1998","10.1007/s100520050130","DO-TH 97/23, DTP/97/96","hep-ph",,"  Using constituent quark model constraints we calculate the gluon and sea
content of pions solely in terms of their valence density and the known sea and
gluon densities of the nucleon. The resulting small-x predictions for
g^{pi}(x,Q^2) and \bar{q}^{pi}(x,Q^2) are unique and parameter free, being
entirely due to QCD dynamics. Similar ideas are applied for calculating the
gluon and sea content of kaons which, for our suggested choice of the kaon's
valence densities, turn out to be identical to the ones of the pion.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 16:20:56 GMT""}]","2011-09-13"
"hep-ph/9711370","Mcneil James A.","A. S. Johnson and J. A. McNeil (Colorado School of Mines), and J. R.
  Shepard (University of Colorado)","Renormalization Group Flow Equations for the Sigma Model","22 pages, 4 figures","Phys.Rev.D58:014001,1998","10.1103/PhysRevD.58.014001","CU-NPL-1153","hep-ph",,"  We present a nonperturbative renormalization group solution of the
Gell-Mann--Levy $\sigma$-model which was originally proposed as a
phenomenological description of the dynamics of nucleons and mesons. In our
version of the model the fermions are interpreted as quarks which interact via
the $\sigma$ and $\pi$ mesons. We derive and numerically solve renormalization
group (RG) flow equations to leading order in a derivative expansion to study
the behavior of the model as it evolves from high to low momentum scales. We
develop an expansion in chiral-symmetry-breaking which enables us to track this
symmetry breaking with the evolution of the scale. We use infrared observables
to constrain the phenomenology allowing predictions of other quantities such as
$\pi-\pi$ scattering lengths. The results show improvement over the tree level
calculation and are consistent with experiment and the results of alternate
theoretical approaches such as chiral perturbation theory and lattice gauge
theory.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 16:30:33 GMT""}]","2011-07-19"
"hep-ph/9711371","A. D. Martin","A.D. Martin and M.G. Ryskin","The effect of off-diagonal parton distributions in diffractive vector
  meson electroproduction","17 pages, latex, 5 ps figures included","Phys.Rev. D57 (1998) 6692-6700","10.1103/PhysRevD.57.6692","DTP/97/100","hep-ph",,"  We present a simple physical description of the off-diagonal gluon
distribution g (x,x^\prime,Q^2) and splitting function P_{gg}(x,x^\prime) which
enter the amplitude for diffractive vector meson production. We study the
off-diagonal effects both on the evolution in Q^2 and on the input
distribution. We predict the ratio $R$ of the off-diagonal to the diagonal
gluon density, x^\prime g(x,x^\prime,Q^2)/xg(x, Q^2), as a function of the
kinematic variables.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 17:07:47 GMT""}]","2009-10-30"
"hep-ph/9711372","Sunkun Oh","B.R. Kim (III. Phys. Inst. A, RWTH Aachen), G. Kreyerhoff (III. Phys.
  Inst. A, RWTH Aachen), and S.K. Oh (Department of Physics, Kon-Kuk
  University)","Detecting Scalar Higgs Bosons in the Next-to-Minimal Supersymmetric
  Standard Model at Future Linear Colliders","20 pages(8 figures are included)",,,"kkucc97","hep-ph",,"  We analyze the possibility of detecting one of the three scalar Higgs bosons
in the next-to-minimal supersymmetric model at the future $e^+e^-$ linear
collider, by examining their productions via the Higgsstrahlung process. The
production cross sections of the three scalar Higgs bosons in $e^+e^-$
collisions are evaluated for the proposed c.m. energies of the future $e^+e^-$
colliders, for the whole space of relevant parameters. We find that at least
one of the three production cross sections is not smaller than 16 fb, 4 fb, and
1 fb for ${\sqrt s} = 500$ GeV, 1000 GeV, and 2000 GeV, respectively. Those
numbers indicate that at least one of the three scalar Higgs bosons in the
next-to-minimal supersymmetric model may be detected at the future $e^+e^-$
linear colliders via the Higgsstrahlung process.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 18:17:02 GMT""}]","2007-05-23"
