"alg-geom/9711019",,"Victor V. Batyrev","Stringy Hodge numbers and Virasoro algebra","10 pages, AMSLaTeX",,,,"alg-geom hep-th math.AG",,"  Let $X$ be an arbitrary smooth $n$-dimensional projective variety. It was
discovered by Libgober and Wood that the product of the Chern classes
$c_1(X)c_{n-1}(X)$ depends only on the Hodge numbers of $X$. This result has
been used by Eguchi, Jinzenji and Xiong in their approach to the quantum
cohomology of $X$ via a representation of the Virasoro algebra with the central
charge $c_n(X)$. In this paper we define for singular varieties $X$ a rational
number $c_{st}^{1,n-1}(X)$ which is a stringy version of the number
$c_1c_{n-1}$ for smooth $n$-folds. We show that the number $c_{st}^{1,n-1}(X)$
can be expressed in the same way using the stringy Hodge numbers of $X$. Our
results provides an evidence for the existence of an approach to quantum
cohomology of singular varieties $X$ via a representation of the Virasoro
algebra whose central charge is the rational number $e_{st}(X)$ which equals
the stringy Euler number of $X$.
","[{""version"":""v1"",""created"":""Sun, 16 Nov 1997 22:03:30 GMT""}]","2007-05-23"
"hep-lat/9711030","Alessandro Papa","F. Farchioni and A. Papa","Instanton classical solutions of SU(3) fixed point actions on open
  lattices","23 pages, LaTeX, 4 eps figures, epsfig.sty; some comments added","Phys. Rev. D 58, 054502 (1998)","10.1103/PhysRevD.58.054502","BUTP-97/28","hep-lat",,"  We construct instanton-like classical solutions of the fixed point action of
a suitable renormalization group transformation for the SU(3) lattice gauge
theory. The problem of the non-existence of one-instantons on a lattice with
periodic boundary conditions is circumvented by working on open lattices. We
consider instanton solutions for values of the size (0.6-1.9 in lattice units)
which are relevant when studying the SU(3) topology on coarse lattices using
fixed point actions. We show how these instanton configurations on open
lattices can be taken into account when determining a few-couplings
parametrization of the fixed point action.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 08:44:55 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jun 1998 17:06:54 GMT""}]","2016-08-25"
"hep-lat/9711031",,"S. Hashimoto, K-I. Ishikawa, H. Matsufuru, T. Onogi, and N. Yamada","Lattice study of $B\to \pi$ semileptonic decay using nonrelativistic
  lattice QCD","42 pages, Revised March 1998, REVTeX, 30 eps figures, uses psfig.sty","Phys.Rev. D58 (1998) 014502","10.1103/PhysRevD.58.014502","HUPD-9720","hep-lat",,"  We present an exploratory lattice study of $B\to\pi$ semileptonic decay form
factors using the nonrelativistic lattice QCD for heavy quark with Wilson light
quark on a $16^3 \times 32$ quenched lattice at $\beta=5.8$. The matrix
elements are calculated at eight values of heavy quark mass in a range of
$1.5-8$ GeV and with three values of light quark mass. The $1/m_B$ corrections
to the matrix elements are found to be fairly small except for the spatial
component proportional to the $B$ meson momentum. We find that the $q^2$
dependence of the form factor $f^+(q^2)$ near $q_{max}^2$ becomes much stronger
for larger heavy quark mass, which may suggest the increase of a pole
contribution. We perform a model independent fit of the form factors and study
whether the $q^2$ dependence is consistent with the pole contribution. Although
the soft pion theorem predicts $f^0(q_{max}^2)=f_B/f_{\pi}$ in the chiral
limit, we observe a significant violation of this relation.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 09:12:20 GMT""},{""version"":""v2"",""created"":""Thu, 2 Apr 1998 14:21:26 GMT""}]","2009-10-30"
"hep-ph/9711344","Jean Letessier","Jean Letessier, Jan Rafelski, Ahmed Tounsi","Strange Particle Freeze-Out","The reference on front page of the first submission is wrong. 8
  pages, LaTeX, 3 postscript figures","Phys.Lett. B321 (1994) 394-399","10.1016/0370-2693(94)90265-8",,"hep-ph nucl-th",,"  We reconsider thermal conditions of the central fireball presumed to be the
source of abundantly produced strange (anti-)baryons in S -> W collisions at
200 GeV A. We show that it is possible to completely fix the freeze-out
temperature of strange particles in terms of the central rapidity kaon to
Lambda particle abundance ratio at fixed, high transverse mass using a
non-equilibrium hadronization model and the measured quark fugacities.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 10:11:21 GMT""},{""version"":""v2"",""created"":""Fri, 21 Nov 1997 15:20:47 GMT""}]","2009-10-30"
"hep-ph/9711345","Jean Letessier","Jean Letessier, Jan Rafelski, Ahmed Tounsi","Strange Particle Abundance in QGP Formed in 200 GeV A Nuclear Collisions","11 pages, LaTeX, 3 postscript figures, Phys. Lett. B 323 (1994) 393","Phys.Lett. B323 (1994) 393-400","10.1016/0370-2693(94)91237-8",,"hep-ph nucl-th",,"  We investigate here the relative abundance of strange particles produced in
nuclear collisions at the SPS energies (9 GeV A in CM frame) assuming that the
central reaction fireball consists of quark-gluon plasma. We show that the
total strangeness yield in S-S, S-Ag and S-W reactions is compatible with this
picture.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 11:31:02 GMT""}]","2009-10-30"
"hep-ph/9711346","Jean Letessier","Jean Letessier, Johann Rafelski, Ahmed Tounsi","Gluon production, cooling and entropy in nuclear collisions","Replaced for bad printing on US paper. 7 pages, LaTeX, 4 postscript
  figures","Phys.Rev.C50:406-409,1994","10.1103/PhysRevC.50.406",,"hep-ph nucl-th",,"  We study the cooling (heating) of a glue-parton gas due to production
(destruction) of particles and determine the associated production of entropy.
We incorporate sharing of the system energy among a changing number of
particles. We find that the entropy of an evolving glue-parton gas changes in
an insignificant range once the initial high temperature state has been formed,
despite a great change in particle number and temperature.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 11:31:43 GMT""},{""version"":""v2"",""created"":""Sat, 22 Nov 1997 17:59:39 GMT""}]","2008-11-26"
"hep-ph/9711347",,"Yu.S.Kalashnikova, A.V.Nefediev (ITEP)","QCD_2 in the modified Fock-Schwinger gauge","10 pages, LaTeX2e, one PS file included using epsf.sty; misprints
  corrected, references changed, notes added","Phys.Atom.Nucl. 62 (1999) 323-327; Yad.Fiz. 62 (1999) 359-363",,"ITEP-PH-10/97","hep-ph",,"  The system of light quark and heavy antiquark source is studied in 1+1 QCD in
the large N_C limit. The situation is demonstrated to be the two dimensional
analogue of the problem in 3+1 QCD corresponding to the essentially nonlocal
case of zero vacuum correlation length, which does not allow perturbative
treatment. The modified Fock-Schwinger gauge condition is employed to derive
the effective Dirac-type equation for the spectrum, which is proved to be
equivalent to the 't Hooft equation in the limit of one heavy mass. The chiral
condensate is shown to appear naturally in the given approach and to coincide
with the convenient value.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 11:56:58 GMT""},{""version"":""v2"",""created"":""Wed, 19 Nov 1997 10:13:31 GMT""}]","2007-05-23"
"hep-ph/9711348","Junji Hisano","J.Hisano, Daisuke Nomura, and T.Yanagida","Atmospheric Neutrino Oscillation and Large Lepton-Flavour Violation in
  the SUSY SU(5) GUT","13 pages, 4 figures","Phys.Lett. B437 (1998) 351-358","10.1016/S0370-2693(98)00929-0","KEK-TH-548, UT-799","hep-ph",,"  The atmospheric neutrino anomaly reported by the super-Kamiokande
collaboration suggests existence of a large flavour violating Yukawa coupling
in the lepton sector. We discuss lepton-flavour violation at low energies in
the framework of the supersymmetric SU(5)_{GUT} model with right-handed
neutrinos. We find that for a wide range of parameter space suggested from the
atmospheric neutrino anomaly, if the tau-neutrino Yukawa coupling is as large
as that of top quark, lower bounds of the branching ratios of mu -> e gamma,
tau -> mu gamma, and the mu-e conversion rate on $^{48}_{22}Ti$ become around
10^{-14}, 10^{-9}, and 10^{-16}, respectively. These reaction rates may be in
the region accessible by near future experiments.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 12:14:18 GMT""}]","2009-10-30"
"hep-ph/9711349","Jean Letessier","J. Letessier, A. Tounsi, U. Heinz, J. Sollfrank and J. Rafelski","Evidence for a high entropy phase in nuclear collisions","8 pages, LaTeX, 2 postscript figures, Phys. Lett. B328 (1994) 499","Phys.Rev.Lett.70:3530-3533,1993","10.1103/PhysRevLett.70.3530",,"hep-ph nucl-th",,"  We determine the entropy per baryon content of the central reaction region in
terms of the charged particle multiplicity. We study the consistency of our
findings with recent data on strange anti-baryon production at 200 GeV A in S
-> A collisions (A=200) assuming formation of a central fireball. Hadron gas
models which do not invoke strong medium modifications of hadron masses do not
provide enough entropy and are inconsistent with the combined experimental
results. In contrast the quark-gluon plasma hypothesis explains them naturally.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 13:53:30 GMT""}]","2009-10-09"
"hep-ph/9711352","Hubert Spiesberger","R. Rueckl (U. Wuerzburg, CERN) and H. Spiesberger (U. Bielefeld)","Leptoquarks and the HERA High-Q2 Events","18 pages, Latex, 5 postscript figures included, Talk presented by R.
  Rueckl at the Ringberg Workshop on Physics beyond the Standard Model, Beyond
  the Desert, June 8--14, 1997, Tegernsee, Germany",,,"BI-TP 97/50, CERN-TH/97-322, WUE-ITP-97-044","hep-ph",,"  The excess of high-Q2 events recently observed in deep-inelastic
positron-proton scattering at HERA has refuelled speculations on physics beyond
the standard model, in particular on low-mass leptoquark-type particles. We
review the theoretical framework for leptoquark interactions, and their
production and decay at HERA. Bounds on leptoquark masses and couplings, and
implications on other experiments are also discussed.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 14:40:49 GMT""}]","2007-05-23"
"hep-ph/9711353","Daniel De Florian","D. de Florian (CERN), G.M. Shore (Swansea), G. Veneziano (CERN)","Target Fragmentation at Polarized HERA: A Test of Universal Topological
  Charge Screening in QCD","Contribution to the proceedings of the 1997 Workshop on `Physics with
  Polarized Protons at HERA', DESY-Hamburg, DESY-Zeuthen and CERN,
  March-September 1997",,,"CERN-TH/97-297","hep-ph",,"  Topological charge screening has been proposed as the mechanism responsible
for the anomalous suppression in the first moment of the polarized proton
structure function -- the `proton spin' effect. An immediate consequence is
that this suppression should be target-independent, since the screening is a
fundamental property of the QCD vacuum. Here, we study the possibility of
testing the target-independent suppression in semi-inclusive target
fragmentation processes at polarized HERA.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 15:48:08 GMT""}]","2007-05-23"
"hep-th/9711110","Poul Henrik Damgaard","P.H. Damgaard","Dirac Operator Spectra from Finite-Volume Partition Functions","LaTeX, 6 pages","Phys.Lett. B424 (1998) 322-327","10.1016/S0370-2693(98)00207-X",,"hep-th",,"  Based on the relation to random matrix theory, exact expressions for all
microscopic spectral correlators of the Dirac operator can be computed from
finite-volume partition functions. This is illustrated for the case of
$SU(N_c)$ gauge theories with $N_c\geq 3$ and $N_f$ fermions in the fundamental
representation.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 15:46:20 GMT""},{""version"":""v2"",""created"":""Wed, 25 Feb 1998 10:52:56 GMT""}]","2009-10-30"
"hep-th/9711111","Konstantin Selivanov","K.Selivanov","Gravitationally dressed Parke-Taylor amplitudes","4 pages, Latex","Mod.Phys.Lett. A12 (1997) 3087-3090","10.1142/S0217732397003204","ITEP-TH-97-64","hep-th gr-qc hep-ph",,"  A generating function for the Parke-Taylor amplitudes with any number of
positive helicity gravitons in addition to the positive helicity gluons is
obtained using the recently constructed self-dual classical solution of the
type of perturbiner in Yang-Mills theory interacting with gravity.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 11:32:40 GMT""}]","2009-10-30"
"hep-th/9711112","Igor Klebanov","S. Gukov, I.R. Klebanov and A.M. Polyakov","Dynamics of (n, 1) Strings","10 pages, latex; minor corrections, references added","Phys.Lett.B423:64-70,1998","10.1016/S0370-2693(98)00090-2","PUPT-1744","hep-th",,"  An $(n, 1)$ string is a bound state of a D-string and $n$ fundamental
strings. It may be described by a D-string with a world volume electric field
turned on. As the electric field approaches its critical value, $n$ becomes
large. We calculate the 4-point function for transverse oscillations of an $(n,
1)$ string, and the two-point function for massless closed strings scattering
off an $(n, 1)$ string. In both cases we find a set of poles that becomes dense
in the large $n$ limit. The effective tension that governs the spacing of these
poles is the fundamental string tension divided by $1+(n\lambda)^2$, where
$\lambda$ is the closed string coupling. We associate this effective tension
with the open strings attached to the $(n, 1)$ string, thereby governing its
dynamics. We also argue that the effective coupling strenth of these open
strings is reduced by the electric field and approaches zero in the large $n$
limit.
","[{""version"":""v1"",""created"":""Sun, 16 Nov 1997 16:46:04 GMT""},{""version"":""v2"",""created"":""Mon, 24 Nov 1997 22:35:46 GMT""}]","2008-11-26"
"hep-th/9711114","Louise Dolan","L. Dolan and M. Langham","Partition Functions, Duality, and the Tube Metric","24 pages, TEX","Nucl.Phys.B525:235-256,1998","10.1016/S0550-3213(98)00214-4",,"hep-th",,"  The partition function of type IIA and B strings on R^6xK3, in the T^4/Z_2
orbifold limit, is explicitly computed as a modular invariant sum over spin
strutures required by perturbative unitarity in order to extend the analysis to
include type II strings on R^6 x W4, where W4 is associated with the tube
metric conformal field theory, given by the degrees of freedom transverse to
the Neveu-Schwarz fivebrane solution. This generates partition functions and
perturbative spectra of string theories in six space-time dimensions,
associated with the modular invariants of the level k affine SU(2) Kac-Moody
algebra. These theories provide a conformal field theory (i.e. perturbative)
probe of non-perturbative (fivebrane) vacua. We contrast them with theories
whose N=(4,4) sigma-model action contains n_H=k+2 hypermultiplets as well as
vector supermultiplets, and where k is the level just mentioned. In Appendix B
we also give a D=6, N=(1,1) `free fermion' string model which has a different
moduli space of vacua from the 81 parameter space relevant to the above
examples.
","[{""version"":""v1"",""created"":""Sun, 16 Nov 1997 18:30:47 GMT""}]","2010-11-15"
"hep-th/9711115","Jerzy Plebanski","H. Garcia-Compean, O. Obregon, J.F.Plebanski, C. Ramirez","Towards a Gravitational Analog to S-duality in Non-abelian Gauge
  Theories","LaTeX, 14 pages, no figures, minor corrections","Phys.Rev. D57 (1998) 7501-7506","10.1103/PhysRevD.57.7501","CINVESTAV-FIS-40/97, IFUG-35/97, FCFM-18/97","hep-th gr-qc",,"  For non-abelian non-supersymmetric gauge theories, generic dual theories have
been constructed. In these theories the couplings appear inverted. However,
they do not possess a Yang-Mills structure but rather are a kind of non-linear
sigma model. It is shown that for a topological gravitational model an analog
to this duality exists.
","[{""version"":""v1"",""created"":""Sun, 16 Nov 1997 18:15:31 GMT""},{""version"":""v2"",""created"":""Sun, 23 Nov 1997 18:57:00 GMT""},{""version"":""v3"",""created"":""Thu, 25 Dec 1997 23:02:36 GMT""}]","2016-09-06"
"hep-th/9711116","Massimo Porrati","S. Ferrara, M. Porrati","Central Extensions of Supersymmetry in Four and Three Dimensions","11 pages. Sections 2 and 4 expanded, misprints corrected, references
  added","Phys.Lett.B423:255-260,1998","10.1016/S0370-2693(97)01586-4","NYU-TH-97/11/01, CERN-TH/97-318, UCLA/97/TEP/24","hep-th",,"  We consider the maximal central extension of the supertranslation algebra in
d=4 and 3, which includes tensor central charges associated to topological
defects such as domain walls (membranes) and strings. We show that for all
N-extended superalgebras these charges are related to nontrivial configurations
on the scalar moduli space. For N=2 theories obtained from compactification on
Calabi-Yau threefolds, we give an explicit realization of the moduli-dependent
charges in terms of wrapped branes.
","[{""version"":""v1"",""created"":""Sun, 16 Nov 1997 21:21:03 GMT""},{""version"":""v2"",""created"":""Fri, 28 Nov 1997 19:37:18 GMT""}]","2010-11-19"
"hep-th/9711117","Takashi Yokono","Toshio Nakatsu, Kazutoshi Ohta, Takashi Yokono and Yuhsuke Yoshida","A Proof of Brane Creation via M theory","LaTeX, 11 pages, 2 figures. Some references are added. Typo errors
  are corrected","Mod.Phys.Lett. A13 (1998) 293-302","10.1142/S0217732398000358","OU-HET 282","hep-th",,"  We study configurations of a single $M$ fivebrane in the geometry ${\bf R}^7
\times Q$ where $Q$ is the Taub-NUT space. Taking the IIA limit at each value
of their modulus, two possibilities of the IIA configuration are revealed. One
consists of a NS fivebrane and a D sixbrane while the other consists of a NS
fivebrane, a D sixbrane and a D fourbrane. In the latter case the fourbrane is
shown to be suspended by the fivebrane and the sixbrane. This appearance of
fourbrane can be interpreted in Type IIA picture as the result of the crossing
of the fivebrane and the sixbrane
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 11:13:03 GMT""},{""version"":""v2"",""created"":""Tue, 25 Nov 1997 13:36:13 GMT""}]","2009-10-30"
"hep-th/9711118","Christian Grosche","C.Grosche","Integrability, Coordinate Systems, and Separation of Variables in Path
  Integrals","12 pages, Latex; Contribution to the Proceedings of the VIII.
  International Conference on Symmetry Methods in Physics, July 28, 1997 --
  August 2, 1997, Dubna, Russia","Phys.Atom.Nucl. 61 (1998) 1726-1731; Yad.Fiz. 61 (1998) 1840-1845",,"DESY 97--197, October 1997","hep-th",,"  In this contribution I summarize the achievements of separation of variables
in integrable quantum systems from the point of view of path integrals. This
includes the free motion on homogeneous spaces, and motion subject to a
potential force, and I would like to propose systematic investigations of
parametric coordinate systems on homogeneous spaces.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 11:41:29 GMT""}]","2007-05-23"
"hep-th/9711119","Christian Grosche","C.Grosche","Alternative Solution of the Path Integral for the Radial Coulomb Problem","7 pages, Latex","Phys.Scripta 57 (1998) 609-611","10.1088/0031-8949/57/6/001","DESY 97-221, November 1997","hep-th",,"  In this Letter I present an alternative solution of the path integral for the
radial Coulomb problem which is based on a two-dimensional singular version of
the Levi-Civita transformation.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 12:10:13 GMT""}]","2009-10-30"
"hep-th/9711121","Alexei Mishchenko","Yurii Sitenko, Alexei Mishchenko (Bogolyubov Institute for Theoretical
  Physics)","Aharonov-Bohm effect in curved space and cosmic strings","A shortened version of the paper published in JETP {\bf 81} (5),
  831-850, (1995), 8 pages, LaTeX209, added acknowledgments","J.Exp.Theor.Phys. 81 (1995) 831-850; Zh.Eksp.Teor.Fiz. 108 (1995)
  1516-1553",,,"hep-th gr-qc math-ph math.MP",,"  A quantum theory is developed for the scattering of a nonrelativistic
particle in the field of a cosmic string regarded as a combination of a
magnetic and gravitational strings. Allowance is made for the effects due to
the finite transverse dimensions of the string under fairly general assumptions
about the distribution of the magnetic field and spatial curvature in the
string. It is shown that in a definite range of angles the differential cross
section at all absolute values of the wave vector of the incident particle
depends strongly on the magnetic flux of the string.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 15:19:54 GMT""},{""version"":""v2"",""created"":""Mon, 18 Jan 1999 09:41:04 GMT""}]","2007-05-23"
"nucl-ex/9711005",,"Sl. Cavallaro, et al. (Universita di Catania, INFN Catania and
  Laboratorio del Sud, Catania, Italia); R. Dayras, et al. (DAPNIA Saclay,
  Gif-sur-Yvette, France); C. Beck, et al. (IReS Strasbourg and Louis Pasteur
  University, Strasbourg, France); S. J. Sanders (Department of Physics and
  Astronomy, The University of Kansas, Lawrence, USA)","Fusion and Binary-Decay Mechanisms in the $^{35}$Cl+$^{24}$Mg System at
  E/A $\approx$ 8 MeV/Nucleon","41 pages standard REVTeX file, 14 Figures available upon request --","Phys.Rev.C57:731-742,1998","10.1103/PhysRevC.57.731",,"nucl-ex",,"  Compound-nucleus fusion and binary-reaction mechanisms have been investigated
for the $^{35}$Cl+$^{24}$Mg system at an incident beam energy of E$_{Lab}$= 282
MeV. Charge distributions, inclusive energy spectra, and angular distributions
have been obtained for the evaporation residues and the binary fragments.
Angle-integrated cross sections have been determined for evaporation residues
from both the complete and incomplete fusion mechanisms. Energy spectra for
binary fragment channels near to the entrance-channel mass partition are
characterized by an inelastic contribution that is in addition to a fully
energy damped component. The fully damped component which is observed in all
the binary mass channels can be associated with decay times that are comparable
to, or longer than the rotation period. The observed mass-dependent cross
sections for the fully damped component are well reproduced by the fission
transition-state model, suggesting a fusion followed by fission origin. The
present data cannot, however, rule out the possibility that a long-lived
orbiting mechanism accounts for part or all of this yield.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 10:59:25 GMT""}]","2008-11-26"
"quant-ph/9711024","Adrian Kent","Adrian Kent","Unconditionally Secure Multi-Party Computation","Withdrawn on 20.11.97",,,,"quant-ph",,"  This paper was withdrawn on 20.11.97.
","[{""version"":""v1"",""created"":""Sun, 16 Nov 1997 17:56:28 GMT""},{""version"":""v2"",""created"":""Thu, 20 Nov 1997 19:43:23 GMT""},{""version"":""v3"",""created"":""Mon, 28 Feb 2005 20:42:39 GMT""}]","2007-05-23"
"quant-ph/9711025","Adrian Kent","Adrian Kent","Unconditionally Secure All-Or-Nothing Disclosure of Secrets","Withdrawn on 20.11.97",,,,"quant-ph",,"  This paper was withdrawn on 20.11.97.
","[{""version"":""v1"",""created"":""Sun, 16 Nov 1997 18:46:07 GMT""},{""version"":""v2"",""created"":""Thu, 20 Nov 1997 20:38:48 GMT""},{""version"":""v3"",""created"":""Mon, 28 Feb 2005 20:43:23 GMT""}]","2007-05-23"
"quant-ph/9711026","Adrian Kent","Adrian Kent","Secure Multi-Party Addition via Quantum States","Withdrawn on 20.11.97",,,,"quant-ph",,"  This paper was withdrawn on 20.11.97.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 02:19:45 GMT""},{""version"":""v2"",""created"":""Thu, 20 Nov 1997 19:49:00 GMT""},{""version"":""v3"",""created"":""Mon, 28 Feb 2005 20:44:03 GMT""}]","2007-05-23"
"quant-ph/9711027",,"Keiji matsumoto","Uhlmann's parallelism in quantum estimation theory",,,,,"quant-ph",,"  Two important classes of the quantum statistical model, the locally
quasi-classical model and the quasi-classical model, are introduced from the
estimation theoretical viewpoint, and they are characterized geometrically by
the vanishing conditions of the relative phase factor (RPF), implying the close
tie between Uhlmann parallel transport and the quantum estimation theory.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 09:39:59 GMT""}]","2007-05-23"
"quant-ph/9711028","Bengt Nagel","Bengt Nagel (Royal Institute of Technology, Stockholm, Sweden)","Higher power squeezed states, Jacobi matrices, and the Hamburger moment
  problem","8 p. LaTex. Corrections in eqns (5) and (7)",,,,"quant-ph",,"  k:th power (amplitude-)squeezed states are defined as the normalized states
giving equality in the Schroedinger-Robertson uncertainty relation for the real
and imaginary parts of the k:th power of the one-mode annihilation operator.
Equivalently they are the set of normalized eigenstates (for all possible
complex eigenvalues) of the Bogolubov transformed ""k:th power annihilation
operators"". Expressed in the number representation the eigenvalue equation
leads to a three term recursion relation for the expansion coefficients, which
can be explicitly solved in the cases k = 1, 2. The solutions are essentially
Hermite and Pollaczek polynomials, respectively. k = 1 gives the ordinary
squeezed states, i.e. displaced squeezed vacua. For k equal to or larger than
three, where no explicit solution has been found, the recursion relation for
the symmetric operator given by the real part of the k:th power of the
annihilation operator defines a Jacobi matrix corresponding to a classical
Hamburger moment problem, which is undetermined. This implies that the operator
has an infinity of self-adjoint extensions, all with disjoint discrete spectra.
The corresponding squeezed states are well-defined, however.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 09:44:43 GMT""},{""version"":""v2"",""created"":""Tue, 2 Dec 1997 07:21:36 GMT""}]","2007-05-23"
"quant-ph/9711029","Trevor Marshall","Trevor W. Marshall (Mathematics Dept., Manchester Univ., UK)","Do we need photons in parametric down conversion?","Submitted to Phys. Rev. Letters See also
  http://xxx.lanl.gov/abs/quant-ph/9712001
  http://xxx.lanl.gov/abs/quant-ph/9711046 http://www.keyinnov.demon.co.uk",,,"MUM-97-11","quant-ph",,"  The phenomenon of parametric down conversion from the vacuum may be
understood as a process in classical electrodynamics, in which a nonlinear
crystal couples the modes of the pumping field with those of the zeropoint, or
""vacuum"" field. This is an entirely local theory of the phenomenon, in contrast
with the presently accepted nonlocal theory. The new theory predicts a hitherto
unsuspected phenomenon - parametric up conversion from the vacuum.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 10:44:17 GMT""},{""version"":""v2"",""created"":""Tue, 2 Dec 1997 15:00:43 GMT""}]","2007-05-23"
"quant-ph/9711030","Trevor Marshall","Trevor W. Marshall (Mathematics Dept., Manchester Univ., UK)","A local realist theory of parametric down conversion","Submitted to Phys. Rev. A See also
  http://xxx.lanl.gov/abs/quant-ph/9711029
  http://xxx.lanl.gov/abs/quant-ph/9712001 http://www.keyinnov.demon.co.uk",,,"MUM-97-12","quant-ph",,"  In a series of articles we have shown that all parametric-down- conversion
processes, both of type-I and type-II, may be described by a positive Wigner
density. These results, together with our description of how light detectors
subtract the zeropoint radiation, indicated the possibility of a completely
local realist theory of all these processes. In the present article we show how
the down-converted fields may be described as retarded fields, generated by
currents inside the nonlinear crystal, thereby achieving such a theory. Most of
its predictions coincide with the standard nonlocal theory. However, the
intensities of the down converted signals do not correspond exactly with the
photon pairs of the nonlocal theory. For example, in a blue- red down
conversion we would find 1.03 red ""photons"" for every blue one. The theory also
predicts a new phenomenon, namely parametric up conversion from the vacuum.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 15:36:09 GMT""},{""version"":""v2"",""created"":""Tue, 2 Dec 1997 15:20:40 GMT""}]","2007-05-23"
