"alg-geom/9711010","Gerard van der Geer","Gerard van der Geer and Marcel van der Vlugt","Constructing curves over finite fields with many points by solving
  linear equations","Plain Tex, 6 pages",,,,"alg-geom math.AG",,"  In this note is we exhibit an elementary method to construct explicitly
curves over finite fields with many points. Despite its elementary character
the method is very efficient and can be regarded as a partial substitute for
the use of class field theory.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 13:57:29 GMT""}]","2007-05-23"
"gr-qc/9711030","Larry Ford","L.H. Ford, Michael J. Pfenning and Thomas A. Roman","Quantum Inequalities and Singular Energy Densities","18 pages, LaTex, 2 figures, uses epsf","Phys. Rev. D 57, 4839 (1998)","10.1103/PhysRevD.57.4839","TUTP-97-11","gr-qc hep-th quant-ph",,"  There has been much recent work on quantum inequalities to constrain negative
energy. These are uncertainty principle-type restrictions on the magnitude and
duration of negative energy densities or fluxes. We consider several examples
of apparent failures of the quantum inequalities, which involve passage of an
observer through regions where the negative energy density becomes singular. We
argue that this type of situation requires one to formulate quantum
inequalities using sampling functions with compact support. We discuss such
inequalities, and argue that they remain valid even in the presence of singular
energy densities.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 00:20:31 GMT""}]","2016-08-25"
"gr-qc/9711032","Lior M. Burko","Lior M. Burko and Amos Ori","Analytic study of the null singularity inside spherical charged black
  holes","5 pages, RevTeX, no figures","Phys.Rev.D57:7084-7088,1998","10.1103/PhysRevD.57.7084",,"gr-qc",,"  We study analytically the features of the Cauchy horizon (CH) singularity
inside a spherically-symmetric charged black hole, nonlinearly perturbed by a
self-gravitating massless scalar field. We derive exact expressions for the
divergence rate of the blue-shift factors, namely the derivatives in the
outgoing direction of the scalar field $\Phi$ and the area coordinate $r$. Both
derivatives are found to grow along the contracting CH exactly like $1/r$. Our
results are valid everywhere along the CH singularity, up to the point of full
focusing. These exact analytic expressions are verified numerically.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 12:59:23 GMT""}]","2009-12-30"
"gr-qc/9711033","Vladimir Dzhunushaliev","V.D. Dzhunushaliev","Multidimensional Gravity on the Principal Bundles","REVTEX, 13pages, 2 EPS figures","Gen.Rel.Grav. 30 (1998) 583","10.1023/A:1018818224423",,"gr-qc",,"  The multidimensional gravity on the total space of principal bundle is
considered. In this theory the gauge fields arise as nondiagonal components of
multidimensional metric. The spherically symmetric and cosmology solutions for
gravity on SU(2) principal bundle are obtained. The static spherically
symmetric solution is wormhole-like solution located between two null surfaces,
in contrast to 4D Einstein-Yang-Mills theory where corresponding solution
(black hole) located outside of event horizon. Cosmology solution (at least
locally) has the bouncing off effect for spatial dimensions. In spirit of
Einstein these solutions are vacuum solutions without matter.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 09:51:02 GMT""}]","2015-06-25"
"gr-qc/9711034","Ori Amos","Amos Ori","Transmission and reflection coefficients for a scalar field inside a
  charged black hole","7 pages, RevTeX, no figures. Accepted to Phys. Rev. D (Brief Report)","Phys.Rev. D57 (1998) 2621-2623","10.1103/PhysRevD.57.2621",,"gr-qc",,"  Using the late-time expansion we calculate the leading-order coefficients
describing the evolution of a massless scalar field inside a Reissner-Nordstrom
black hole. These coefficients may be interpreted as the reflection and
transmission coefficients for scalar-field modes propagating from the event
horizon to the Cauchy horizon. Our results agree with those obtained previously
by Gursel et al by a different method.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 11:44:11 GMT""}]","2009-10-30"
"hep-lat/9711014","Yoshinobu Kuramashi","JLQCD Collaboration: S.Aoki, M.Fukugita, S.Hashimoto, N.Ishizuka,
  Y.Iwasaki, K.Kanaya, Y.Kuramashi, M.Okawa, A.Ukawa, T.Yoshi\'e","The Kaon B-parameter with the Wilson Quark Action using Chiral Ward
  Identities","10 pages, latex source-file, 10 figures as epsf-file, uses
  espcrc2.sty. Talk given at International Workshop on Lattice QCD on Parallel
  Computers, 10-15 Mar 1997, Tsukuba, Japan","Nucl.Phys.Proc.Suppl. 60A (1998) 67-76","10.1016/S0920-5632(97)00468-4","KEK-CP-60","hep-lat",,"  We present a detailed description of the method and results of our
calculation of the kaon B parameter using the Wilson quark action in quenched
QCD at $\beta=5.9-6.5$. The mixing problem of the $\Delta s=2$ four-quark
operators is solved non-perturbatively with full use of chiral Ward identities.
We find $B_K(NDR, 2 GeV)=0.562(64)$ in the continuum limit, which agrees with
the value obtained with the Kogut-Susskind quark action.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 08:10:12 GMT""}]","2009-10-30"
"hep-lat/9711015","Yoshinobu Kuramashi","Yoshinobu Kuramashi","Nucleon Spin Structures from Lattice QCD: Flavor Singlet Axial and
  Tensor Charges","10 pages, latex source-file, 5 figures as epsf-file, uses
  espcrc1.sty. Invited talk at the International Conference on Quark Lepton
  Nuclear Physics, 20-23 May 1997, Osaka, Japan","Nucl.Phys. A629 (1998) 235c-244c","10.1016/S0375-9474(97)00693-3","KEK-CP-59","hep-lat",,"  The flavor singlet axial and tensor charges of the nucleon are calculated in
lattice QCD. We find $\Delta\Sigma=\Delta u+\Delta d+\Delta
s=+0.638(54)-0.347(46)-0.109(30) = +0.18(10)$ for the axial charge and
$\delta\Sigma=\delta u+\delta d+\delta s=+0.839(60)-0.231(55)-0.046(34) =
+0.562(88)$ for the tensor charge. The result for the axial charge shows
reasonable agreement with the experiment and that for the tensor charge is the
first prediction from lattice QCD before experimental measurements.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 08:11:11 GMT""}]","2009-10-30"
"hep-lat/9711016","Yoshinobu Kuramashi","JLQCD Collaboration: S.Aoki, M.Fukugita, S.Hashimoto, N.Ishizuka,
  Y.Iwasaki, K.Kanaya, Y.Kuramashi, M.Okawa, A.Ukawa, T.Yoshi\'e","The Light Quark Masses with the Wilson Quark Action using Chiral Ward
  Identities","3 pages, latex source-file, 2 figures as epsf-file, uses espcrc2.sty.
  Poster presented at Lattice 97: 15th International Symposium on Lattice Field
  Theory, Edinburgh, Scotland, 22-26 Jul 1997","Nucl.Phys.Proc.Suppl. 63 (1998) 275-277","10.1016/S0920-5632(97)00744-5","KEK-CP-68","hep-lat",,"  We present results for the light quark masses for the Wilson quark action
obtained with the PCAC relation for the one-link extended axial vector current
in quenched QCD at $\beta=5.9-6.5$. This method leads to a remarkable
improvement of scaling behavior of the light quark masses compared to the
conventional method. We obtain ${\bar m}_l=3.87(37)$MeV for the averaged up and
down quark mass and ${\bar m}_s=97(9)$MeV for the strange quark mass in the
${\barMS}$ scheme at $\mu=2$GeV.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 08:12:05 GMT""}]","2009-10-30"
"hep-ph/9711272","Yang Mao-Zhi","Dong-Sheng Du and Mao-Zhi Yang (BIHEP)","Momentum Spectrum of $\eta'$ Meson in the Inclusive Decay $B\to
  \eta'X_s$","7 pages, 1 figure in PS file(not changed), minor words corrections,
  to appear in Phys. Rev. D, Rapid Communications","Phys.Rev.D57:5332-5334,1998","10.1103/PhysRevD.57.5332","BIHEP-TH-97-17, Nov. 1997","hep-ph",,"  The momentum distribution for the $\eta'$ meson produced through the
inclusive decay $B\to \eta'X$ is investigated under two decay mechanisms,
$b\to\eta's$ and $b\to \eta' s g$. Although all these two mechanisms can
explain the recently observed decay rate of $B\to \eta'X$, the momentum
spectrums for $\eta'$ meson predicted by them are strongly different. Thus
detailed experiment is proposed to distinguish the two cases.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 09:28:46 GMT""},{""version"":""v2"",""created"":""Tue, 11 Nov 1997 05:44:19 GMT""},{""version"":""v3"",""created"":""Tue, 31 Mar 1998 08:08:39 GMT""}]","2009-12-30"
"hep-ph/9711273","Carlos Bertulani","C.A. Bertulani and G. Baur","Antihydrogen production and accuracy of the equivalent photon
  approximation","12 pages, 9 postscript figures, submitted to Phys. Rev. D","Phys.Rev. D58 (1998) 034005","10.1103/PhysRevD.58.034005",,"hep-ph",,"  The production of antihydrogen in flight in antiproton-nucleus collisions is
calculated theoretically in the Plane Wave Born Approximation (which is
equivalent to the straight line semiclassical approximation). Antihydrogen has
been produced in this way at LEAR/CERN and is presently studied at FERMILAB at
various antiproton energies. Dirac wave functions for the leptons are used,
taking first order (Z.alpha) corrections into account. Analytical results are
obtained for differential cross-sections. Total cross sections are obtained by
numerical integration. The dependence on the transverse momentum transfer is
studied and the accuracy of the equivalent photon approximation and a recent
variant by Munger, Brodsky,and Schmidt is discussed as a function of beam
energy.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 11:00:15 GMT""},{""version"":""v2"",""created"":""Thu, 13 Nov 1997 19:14:21 GMT""}]","2009-10-30"
"hep-ph/9711274","Nikolai Kochelev","N.I.Kochelev","Instantons and Single Spin Asymmetries","7 pages, Latex, 2 figures. To appear in Proc. Workshop ``Physics with
  Polarized Protons at HERA'' August 1997,DESY-Zeuthen",,,,"hep-ph",,"  A new mechanism for single spin asymmetries in strong interaction is
proposed. It is based on instanton-induced nonperturbative chromomagnetic
quark-gluon interaction. We estimate the contribution of this interaction to
single spin asymmetry in quark-quark scattering. It is shown, that interference
between quark spin-flip amplitude induced by instantons and spin-nonflip
amplitude, which is related to nonperturbative two gluon exchange, gives a
large value for a single spin asymmetry. Due to strong increasing of the
instanton-induced spin-flip amplitude with energy, this asymmetry does not
vanish at high energies.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 12:13:42 GMT""}]","2007-05-23"
"hep-ph/9711275",,"S. Kullander, H. Cal\'en, K. Fransson, A.Kup\'s\'c, B. Martemyanov, B.
  Morozov, R.J.M.Y. Ruber, V. Sopov, J. Stepaniak, V. Tchernychev","Rare decays of \eta-meson: the background of \rho- and \omega- mesons","5 pages, 1 figure",,,"ITEP-TH 9/97","hep-ph",,"  The problem of $\rho$- and $\omega$- mesons contributions to the background
for $\eta \to \pi^0 e^+e^-$ decay and to the asymmetries in the decays $\eta
\to \pi^+\pi^-\pi^0$ and $\eta \to \pi^+\pi^-\gamma$ is considered.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 12:44:45 GMT""}]","2019-08-17"
"hep-ph/9711276","Arakelyan G.","G.H.Arakelyan","Charmed sea contribution to the inclusive hadroproduction of the mesons
  with open charm in the Quark -- Gluon String Model","Latex, 11 pages, 12 figs. tar, gzip Submitted to Phys. At. Nucl","Phys.Atom.Nucl. 61 (1998) 1570-1576; Yad.Fiz. 61 (1998) 1682-1688",,"JINR preprint E2-97-325","hep-ph",,"  The hadroproduction of charmed mesons is discussed within the framework of
the modified Quark-Gluon String model (QGSM) taking into account the decays of
corresponding $S$--wave resonances like $D^*$. It is shown that the estimate of
the $c\bar{c}$--pair contribution to the quark sea of colliding hadrons
strongly depends on the parametrization of the function of the leading light
quark fragmentation into charmed mesons. A description of the existing
experimental data on inclusive spectra and asymmetries of leading and
nonleading $D$ - and $D^*$ - meson production in $ \pi p$ -, $p p$ - and
$\Sigma p$ - collisions is obtained. The predictions for leading/nonleading
asymmetry in $\Sigma^- p$-- and $\Xi^-p$-- collisions are also given.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 13:27:30 GMT""}]","2007-05-23"
"hep-ph/9711277","Gregory Korchemsky","G.P.Korchemsky","Conformal bootstrap for the BFKL Pomeron","23 pages, LaTeX style, 2 figures embedded with epsf.sty","Nucl.Phys. B550 (1999) 397-423","10.1016/S0550-3213(99)00185-6","LPTHE-Orsay-97-62","hep-ph hep-th",,"  We calculate the interaction vertex of three BFKL states including the bare
triple BFKL Pomeron coupling and discuss its relation with the correlation
functions in two-dimensional conformal field theory. We construct the operator
algebra of the fields interpolating the BFKL states and show that in the
multi-color limit the vertex satisfies the constraints imposed by the conformal
bootstrap on the structure constants of the operator product expansion in
conformal field theory.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 13:34:02 GMT""},{""version"":""v2"",""created"":""Fri, 14 Nov 1997 16:36:19 GMT""}]","2009-10-30"
"hep-ph/9711278","Jose Goity","Longzhe Zhang and J. L. Goity","The Decays K_L -> l^+ l^- l'^+ l'^- Revisited","6 pages, RevTex, one table","Phys.Rev.D57:7031-7033,1998","10.1103/PhysRevD.57.7031","JLAB-THY-97-43","hep-ph",,"  The double lepton pair decay modes of the K_L meson are analyzed including
all contributions of order p^6 in Chiral Perturbation Theory. The
experimentally established e^+ e^- e^+ e^- mode and the recently observed e^+
e^- mu^+ mu^- mode are discussed in detail.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 15:53:02 GMT""}]","2014-11-17"
"hep-th/9711056","R. P. Malik","R. P. Malik (Bose Centre, Calcutta)","Dual BRST symmetry for QED","12 pages, LaTeX, no figures, journal ref. given","Mod.Phys.Lett.A16:477-488,2001","10.1142/S0217732301003668",,"hep-th",,"  We show the existence of a co(dual)-BRST symmetry for the usual BRST
invariant Lagrangian density of an Abelian gauge theory in two dimensions of
space-time where a U(1) gauge field is coupled to the Noether conserved current
(constructed by the Dirac fields). Under this new symmetry, it is the
gauge-fixing term that remains invariant and the symmetry transformations on
the Dirac fields are analogous to the chiral transformations. This interacting
theory is shown to provide a tractable field theoretical model for the Hodge
theory. The Hodge dual operation is shown to correspond to a discrete symmetry
in the theory and the extended BRST algebra for the generators of the
underlying symmetries turns out to be reminiscent of the algebra obeyed by the
de Rham cohomology operators of differential geometry.
","[{""version"":""v1"",""created"":""Sun, 9 Nov 1997 18:36:05 GMT""},{""version"":""v2"",""created"":""Tue, 7 Nov 2000 15:14:57 GMT""},{""version"":""v3"",""created"":""Sun, 18 Mar 2001 11:43:15 GMT""},{""version"":""v4"",""created"":""Fri, 20 Apr 2001 16:12:22 GMT""}]","2011-07-19"
"hep-th/9711057","Tilo Wettig","T. Wilke, T. Guhr, and T. Wettig","The microscopic spectrum of the QCD Dirac operator with finite quark
  masses","11 pages, RevTeX, 2 figures (included), minor typos corrected and
  discussion extended, version to appear in Phys. Rev. D","Phys.Rev. D57 (1998) 6486-6495","10.1103/PhysRevD.57.6486",,"hep-th",,"  We compute the microscopic spectrum of the QCD Dirac operator in the presence
of dynamical fermions in the framework of random-matrix theory for the chiral
Gaussian unitary ensemble. We obtain results for the microscopic spectral
correlators, the microscopic spectral density, and the distribution of the
smallest eigenvalue for an arbitrary number of flavors, arbitrary quark masses,
and arbitrary topological charge.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 14:59:13 GMT""},{""version"":""v2"",""created"":""Thu, 30 Apr 1998 16:16:25 GMT""}]","2009-10-30"
"hep-th/9711058","Kanehisa Takasaki","Kanehisa Takasaki (Kyoto University)","Gaudin Model, KZ Equation, and Isomonodromic Problem on Torus","15 pages, latex, no figures; Etingof's paper on the elliptic KZ
  equation is added; the setting for twisted de Rham cohomologies is corrected;
  some other minor changes have been made","Lett.Math.Phys. 44 (1998) 143-156",,"KUCP-0111","hep-th math.QA nlin.SI q-alg solv-int",,"  This paper presents a construction of isospectral problems on the torus. The
construction starts from an SU(n) version of the XYZ Gaudin model recently
studied by Kuroki and Takebe in the context of a twisted WZW model. In the
classical limit, the quantum Hamiltonians of the generalized Gaudin model turn
into classical Hamiltonians with a natural $r$-matrix structure. These
Hamiltonians are used to build a non-autonomous multi-time Hamiltonian system,
which is eventually shown to be an isomonodromic problem on the torus. This
isomonodromic problem can also be reproduced from an elliptic analogue of the
KZ equation for the twisted WZW model. Finally, a geometric interpretation of
this isomonodromic problem is discussed in the language of a moduli space of
meromorphic connections.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 14:33:46 GMT""},{""version"":""v2"",""created"":""Tue, 11 Nov 1997 01:25:53 GMT""},{""version"":""v3"",""created"":""Thu, 13 Nov 1997 13:27:15 GMT""},{""version"":""v4"",""created"":""Fri, 14 Nov 1997 01:08:26 GMT""},{""version"":""v5"",""created"":""Fri, 5 Dec 1997 05:39:03 GMT""}]","2007-05-23"
"hep-th/9711059","A. Sagnotti","S. Ferrara (CERN), F. Riccioni and A. Sagnotti (U. Roma ""Tor Vergata"")","Tensor and Vector Multiplets in Six-Dimensional Supergravity","31 pages, LateX","Nucl.Phys. B519 (1998) 115-140","10.1016/S0550-3213(97)00837-7","CERN-TH/97-306, UCLA/97/TEP/24, ROM2F-97/37","hep-th",,"  We construct the complete coupling of $(1,0)$ supergravity in six dimensions
to $n$ tensor multiplets, extending previous results to all orders in the fermi
fields. We then add couplings to vector multiplets, as dictated by the
generalized Green-Schwarz mechanism. The resulting theory embodies factorized
gauge and supersymmetry anomalies, to be disposed of by fermion loops, and is
determined by corresponding Wess-Zumino consistency conditions, aside from a
quartic coupling for the gaugini. The supersymmetry algebra contains a
corresponding extension that plays a crucial role for the consistency of the
construction. We leave aside gravitational and mixed anomalies, that would only
contribute to higher-derivative couplings.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 11:03:18 GMT""}]","2009-10-30"
"hep-th/9711060","Minoru Hirayama","Minoru Hirayama, Takeshi Hamada and Masafumi Hasegawa","Non-Abelian Gauge Configuration with a Magnetic Field Concentrated at a
  Point","LaTex,6Pages","Prog.Theor.Phys. 98 (1997) 1391-1395","10.1143/PTP.98.1391","Toyama-98","hep-th",,"  A specific SU(2) gauge configuration yielding a magnetic field concentrated
at a point is investigated. Its relation to the Aharonov-Bohm gauge potential
and its cohomological meaning in a three dimensional space are clarified.
Quantum mechanics of a spinning particle in such a gauge configuration is
briefly discussed.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 11:15:48 GMT""}]","2009-10-30"
"hep-th/9711061","Janos Polonyi","Hanae El Hattab, Janos Polonyi","Renormalization Group Transformation for the Wave Function","Final version to appear in Ann. Phys","Annals Phys. 268 (1998) 246-272","10.1006/aphy.1998.5827",,"hep-th cond-mat.mes-hall quant-ph",,"  The problem considered here is the determination of the hamiltonian of a
first quantized nonrelativistic particle by the help of some measurements of
the location with a finite resolution. The resulting hamiltonian depends on the
resolution of the measuring device. This dependence is reproduced by the help
of a blocking transformation on the wave function. The systems with quadratic
hamiltonian are studied in details. The representation of the renormalization
group in the space of observables is identified.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 12:10:25 GMT""},{""version"":""v2"",""created"":""Thu, 26 Mar 1998 18:24:55 GMT""}]","2009-10-30"
"hep-th/9711062","Anton V. Galajinskyj","A.A. Deriglazov, A.V. Galajinsky and D.M. Gitman","Massless Wess-Zumino model as first quantized Siegel superparticle","12 pages, LaTeX",,,,"hep-th",,"  It is shown that canonical quantization of the $4d$ Siegel superparticle
yields massless Wess-Zumino model as an effective field theory. Quantum states
of the superparticle are realized in terms of the real scalar superfields which
prove to be decomposed into the sum of on-shell chiral and antichiral
superfields.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 12:43:30 GMT""}]","2007-05-23"
"hep-th/9711064","Juan Carlos Perez Bueno","J. A. de Azcarraga, A. J. Macfarlane and J. C. Perez Bueno","Effective actions, relative cohomology and Chern Simons forms","11 pages. Latex2e file. Published version","Phys.Lett. B419 (1998) 186-194","10.1016/S0370-2693(97)01434-2","DAMTP/97-113, FTUV/97-46, IFIC/97-76","hep-th math-ph math.MP math.QA q-alg",,"  The explicit expression of all the WZW effective actions for a simple group G
broken down to a subgroup H is established in a simple and direct way, and the
formal similarity of these actions to the Chern-Simons forms is explained.
Applications are also discussed.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 13:31:11 GMT""},{""version"":""v2"",""created"":""Fri, 28 Nov 1997 17:27:48 GMT""},{""version"":""v3"",""created"":""Thu, 19 Feb 1998 17:30:05 GMT""}]","2009-10-30"
"hep-th/9711066","Andrzej Herdegen","Andrzej Herdegen","Semidirect product of CCR and CAR algebras and asymptotic states in
  quantum electrodynamics","42 pages, LaTeX; minor corrections, a reference added","J.Math.Phys. 39 (1998) 1788-1817","10.1063/1.532264",,"hep-th",,"  A C*-algebra containing the CCR and CAR algebras as its subalgebras and
naturally described as the semidirect product of these algebras is discussed. A
particular example of this structure is considered as a model for the algebra
of asymptotic fields in quantum electrodynamics, in which Gauss' law is
respected. The appearence in this algebra of a phase variable related to
electromagnetic potential leads to the universal charge quantization.
Translationally covariant representations of this algebra with energy-momentum
spectrum in the future lightcone are investigated. It is shown that vacuum
representations are necessarily nonregular with respect to total
electromagnetic field. However, a class of translationally covariant,
irreducible representations is constructed excplicitly, which remain as close
as possible to the vacuum, but are regular at the same time. The spectrum of
energy-momentum fills the whole future lightcone, but there are no vectors with
energy-momentum lying on a mass hyperboloid or in the origin.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 14:08:21 GMT""},{""version"":""v2"",""created"":""Fri, 31 Jul 1998 08:36:48 GMT""}]","2009-10-30"
"hep-th/9711067","Cumrun Vafa","Cumrun Vafa","Black Holes and Calabi-Yau Threefolds","11 pages, reference added","Adv.Theor.Math.Phys.2:207-218,1998",,"HUTP-97/A066","hep-th",,"  We compute the microscopic entropy of certain 4 and 5 dimensional extermal
black holes which arise for compactification of M-theory and type IIA on
Calabi-Yau 3-folds. The results agree with macroscopic predictions, including
some subleading terms. The macroscopic entropy in the 5 dimensional case
predicts a surprising growth in the cohomology of moduli space of holomorphic
curves in Calabi-Yau threefolds which we verify in the case of elliptic
threefolds.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 14:29:01 GMT""},{""version"":""v2"",""created"":""Fri, 2 Jan 1998 21:20:37 GMT""}]","2008-11-26"
"hep-th/9711068","Norma Sanchez Demirm","N. Sanchez (Observatoire de Paris-DEMIRM, Paris, France)","The Black Hole: Scatterer, Absorber and Emitter of Particles","19 pages Latex, 4 ps Figures, uses epsfig and psfrag",,"10.1142/9789814528689_0017",,"hep-th astro-ph gr-qc hep-ph",,"  Accurate and powerful computational methods developed by the author for the
wave scattering by black holes allow to obtain the highly non trivial total
absorption spectrum of the Black Hole. As well as partial wave phase shifts and
cross sections (elastic and inelastic), the angular distribution of absorbed
and scattered waves, and the Hawking emission rates. The exact total absorption
spectrum of waves by the Black Hole has as a function of frequency a remarkable
oscillatory behaviour characteristic of a diffraction pattern. This is an
unique distinctive feature of the black hole absorption, and due to its r = 0
singularity. Ordinary absorptive bodies and optical models do not present these
features. The unitarity optical theorem is generalized to the Black Hole case
explicitly showing that absorption ocurrs only at the origin. All these results
allow to understand and reproduce the Black Hole absorption spectrum in terms
of Fresnel-Kirchoff diffraction theory: by the interference of the absorbed
rays arriving at the origin through different optical paths. These fundamental
features of the Black Hole Absorption will be present for generic higher
dimensional Black Hole backgrounds, and whatever the low energy effective
theory they arise from. In recent and increasing litterature devoted to compute
absorption cross sections (grey body factors) of black holes (whatever
ordinary, stringy, D-braned), the fundamental remarkable features of the Black
Hole Absorption spectrum are overlooked.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 14:31:25 GMT""}]","2017-08-23"
"hep-th/9711069",,"Massimo Bianchi, Yassen S. Stanev (Universita` di Roma ``Tor
  Vergata'')","Open Strings on the Neveu-Schwarz Pentabrane","22 pages, LaTex","Nucl.Phys.B523:193-210,1998","10.1016/S0550-3213(98)00281-8","ROM2F-97/32","hep-th",,"  We analyze the propagation of open and unoriented strings on the
Neveu-Schwarz pentabrane (N5-brane) along the lines of a similar analysis for
the SU(2) WZNW models. We discuss the two classes of open descendants of the
diagonal models and a series of Z_2 projected models which exist only for even
values of the level k and correspond to branes at D-type orbifold
singularities. The resulting configurations of branes and planes are T-dual to
those relevant to the study of dualities in super Yang-Mills theories. The
association of Chan-Paton factors to D-brane multiplicities is possible in the
semi-classical limit k -> infinity, but due to strong curvature effects is
unclear for finite k. We show that the introduction of a magnetic field implies
a twist of the SU(2) current algebra in the open-string sector leading to
spacetime supersymmetry breaking.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 15:24:00 GMT""}]","2014-11-18"
"math/9711206",,"Sean M. Bates, William B. Johnson, Joram Lindenstrauss, D. Preiss,
  Gideon Schechtman","Nonlinear quotients",,,,"Banach Archive 11/10/97","math.FA",,"  New concepts related to approximating a Lipschitz function between Banach
spaces by affine functions are introduced. Results which clarify when such
approximations are possible are proved and in some cases a complete
characterization of the spaces $X$, $Y$ for which any Lipschitz function from
$X$ to $Y$ can be so approximated is obtained. This is applied to the study of
Lipschitz and uniform quotient mappings between Banach spaces. It is proved, in
particular, that any Banach space which is a uniform quotient of $L_p$,
$1<p<\infty$, is already isomorphic to a linear quotient of $L_p$.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 00:00:00 GMT""},{""version"":""v2"",""created"":""Thu, 16 Apr 1998 00:01:35 GMT""}]","2007-05-23"
"nucl-th/9711019","Stephen Wong","S.M.H. Wong","Strong Coupling Improved Equilibration In High Energy Nuclear Collisions","latex file, hep97 style, 4 embedded PS figures, talk presented at the
  International Europhysics Conference on High Energy Physics, Jerusalem,
  Israel, August 97, to appear in the proceedings","HEP97 Proceedings, Springer-Verlag, edited by D. Lellouch et al,
  p.631.",,"WU-B 97/30","nucl-th",,"  In high energy nuclear collisions, most calculations on the early
equilibration of the parton plasma showed that the system does not come close
to full equilibrium, especially for the fermion components. However, since the
system is constantly evolving, the cooling effect due to expansion will lead to
a decrease of the average parton energies. So the interactions should be
enhanced by a corresponding increase of the running coupling. We show that this
leads to a faster and improved equilibration. This improvement is more
important for the fermions compensating partially for their weaker interactions
and slower equilibration.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 11:31:46 GMT""}]","2007-05-23"
"nucl-th/9711020",,"Valeriya Gadiyak, Vladimir Dmitriev (Budker Institute of Nuclear
  Physics, Novosibirsk)","Nuclear Response in Electron Scattering at High Momentum Transfer","21 pages, LaTeX, 8 figures (uses epsf-style), submitted to Nucl.
  Phys. A","Nucl.Phys. A639 (1998) 685-704","10.1016/S0375-9474(98)00242-5","BudkerINP 97-88","nucl-th",,"  The nuclear response functions for high energy electron scattering were
calculated in the wide region of excitation energy. The three typical regions
were studied: the quasi-elastic region, the $\Delta$-excitation region and the
intermediate region where the meson-exchange currents give significant
contribution. In the quasi-elastic and the $\Delta$ regions the response
functions were found for finite size nucleus with account of relativistic
kinematics. The contribution of the meson-exchange currents was calculated in
the relativistic Fermi-gas model. The results were compared with the electron
scattering data at high momentum transfer from $^{12}C$ and $^{16}O$.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 11:34:23 GMT""}]","2009-10-30"
"physics/9711006","Michael Jon Coleman","Michael J. Coleman and Andy Ruina","An Uncontrolled Toy That Can Walk But Cannot Stand Still","4 pages, 2 Encapsulated Postscript figures, uses epsf.tex,
  revtex.sty, amsfonts.sty, aps.sty, aps10.sty, prabib.sty; Submitted to Phys.
  Rev. Let.,6/14/97, revised and re-submitted 11/11/97 ; information about Andy
  Ruina's lab and the authors' other publications can be found at:
  http://tam.cornell.edu/programs/humanpower/humanpower.html",,,,"physics.class-ph physics.med-ph",,"  We built a simple two-leg toy that can walk stably with no control system. It
walks downhill powered only by gravity. It seems to be the first McGeer-like
passive-dynamic walker that is statically unstable in all standing positions,
yet is stable in motion. It is one of few known mechanical devices that are
stable near a statically unstable configuration but do not depend on spinning
parts. Its design is loosely based on simulations which do not predict its
observed stability. Its motion highlights the possible role of uncontrolled
nonholonomic mechanics in balance.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 06:29:18 GMT""},{""version"":""v2"",""created"":""Tue, 18 Nov 1997 00:49:23 GMT""},{""version"":""v3"",""created"":""Tue, 18 Nov 1997 09:26:37 GMT""}]","2007-05-23"
