"alg-geom/9710032","Sergey Barannikov","Sergey Barannikov, Maxim Kontsevich","Frobenius Manifolds and Formality of Lie Algebras of Polyvector Fields","12 pages, AMS-TeX; typos and a sign corrected, appendix added.
  Submitted to IMRN","International Mathematics Research Notices, Volume 1998, Issue 4,
  Pages 201-215","10.1155/S1073792898000166",,"alg-geom hep-th math.AG",,"  We construct a generalization of the variations of Hodge structures on
Calabi-Yau manifolds. It gives a Mirror partner for the theory of genus=0
Gromov-Witten invariants
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 23:19:11 GMT""},{""version"":""v2"",""created"":""Wed, 7 Jan 1998 18:12:18 GMT""}]","2023-02-21"
"cond-mat/9710300","Asok K. Sen Asso Prof","Asok K. Sen","Amplification or Reduction of Backscattering in a Coherently Amplifying
  or Absorbing Disordered Chain","11 LaTeX pages plus 14 EPS figures",,"10.1016/S0378-4371(98)00330-6","ICTP Preprint No. IC/97/130","cond-mat.dis-nn cond-mat.mes-hall",,"  We study localization properties of a one-dimensional disordered system
characterized by a random non-hermitean hamiltonian where both the randomness
and the non-hermiticity arises in the local site-potential; its real part being
random, and a constant imaginary part implying the presence of either a
coherent absorption or amplification at each site. While the two-probe
transport properties behave seemingly very differently for the amplifying and
the absorbing chains, the logarithmic resistance $u$ = ln$(1+R_4)$ where $R_4$
is the 4-probe resistance gives a unified description of both the cases. It is
found that the ensemble-averaged $<u>$ increases linearly with length
indicating exponential growth of resistance. While in contrast to the case of
Anderson localization (random hermitean matrix), the variance of $u$ could be
orders of magnitude smaller in the non-hermitean case, the distribution of $u$
still remains non-Gaussian even in the large length limit.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 16:28:31 GMT""}]","2015-06-25"
"cond-mat/9710301","Shirish M. Chitanvis","Shirish M. Chitanvis","The onset of self-assembly","20 pages, accepted for publication in Phys. Rev. E",,,"LA-UR-97-1058","cond-mat.soft hep-th",,"  We have formulated a theory of self-assembly based on the notion of local
gauge invariance at the mesoscale. Local gauge invariance at the mesoscale
generates the required long- range entropic forces responsible for
self-assembly in binary systems. Our theory was applied to study the onset of
mesostructure formation above a critical temperature in estane, a diblock
copolymer. We used diagrammatic methods to transcend the Gaussian approximation
and obtain a correlation length zeta ~ (c-c*)^-gamma, where c* is the minimum
concentration below which self-assembly is impossible, c is the current
concentration, and gamma was found numerically to be close to 2/3. The
renormalized diffusion constant vanishes as the c* is approached, indicating
the occurrence of critical slowing down, while the correlation function remains
finite at the transition point.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 17:38:41 GMT""}]","2007-05-23"
"cond-mat/9710302","Stewart E. Barnes","S. E. Barnes","Field-induced quasi-particle coherence effects in certain small magnets","4 pages, 3 figures as separate eps files",,,"th97.1","cond-mat",,"  Small ferromagnets and anti-ferromagnets with an easy-plane anisotropy have a
ground to first excited state (tunnel) splitting which is quasi-periodic in the
magnitude of a field applied perpendicular to a principal anisotropy axis. The
associated oscillations in thermodynamic quantities might be used to prove the
existence of a coherent ground state even when the tunnel splitting itself
cannot be directly detected.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 22:22:25 GMT""}]","2007-05-23"
"cond-mat/9710303","Mikito Koga","Mikito Koga, Wenjian Liu, Michael Dolg and Peter Fulde (MPI-PKS
  Dresden)","Orbital Localization and Delocalization Effects in the U 5f^2
  Configuration: Impurity Problem","4 pages, REVTeX, email to mkoga@rumi.ucdavis.edu",,"10.1103/PhysRevB.57.10648",,"cond-mat.str-el",,"  Anderson models, based on quantum chemical studies of the molecule of
U(C_8H_8)_2, are applied to investigate the problem of an U impurity in a
metal. The special point here is that the U 5f-orbitals are divided into two
subsets: an almost completely localized set and a considerably delocalized one.
Due to the crystal field, both localized and delocalized U 5f-orbitals affect
the low-energy physics. A numerical renormalization group study shows that
every fixed point is characterized by a residual local spin and a phase shift.
The latter changes between 0 and \pi/2, which indicates the competition between
two different fixed points. Such a competition between the different local
spins at the fixed points reflects itself in the impurity magnetic
susceptibility at high temperatures. These different features cannot be
obtained if the special characters of U 5f-orbitals are neglected.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 22:41:23 GMT""}]","2009-10-30"
"cond-mat/9710304","Craig Pryor","Craig Pryor (Lund University)","Eight-band calculations of strained InAs/GaAs quantum dots compared with
  one, four, and six-band approximations","8 pages, 7 figures, revtex, epsf",,"10.1103/PhysRevB.57.7190",,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  The electronic structure of pyramidal shaped InAs/GaAs quantum dots is
calculated using an eight-band strain dependent $\bf k\cdot p$ Hamiltonian. The
influence of strain on band energies and the conduction-band effective mass are
examined. Single particle bound-state energies and exciton binding energies are
computed as functions of island size. The eight-band results are compared with
those for one, four and six bands, and with results from a one-band
approximation in which m(r) is determined by the local value of the strain. The
eight-band model predicts a lower ground state energy and a larger number of
excited states than the other approximations.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 00:22:16 GMT""}]","2009-10-30"
"cond-mat/9710305","Chetan Nayak","C. Nayak (ITP), Matthew P.A. Fisher (ITP), A.W.W. Ludwig (ITP,UCSB),
  H.-H. Lin (UCSB)","Resonant Multi-Lead Point-Contact Tunneling","18 pages, LaTeX, 5 figures, psfig",,,"NSF-ITP-97-135","cond-mat.mes-hall",,"  We analyze a model of resonant point-contact tunneling between multiple
Luttinger liquid leads. The model is a variant of the multi-channel Kondo model
and can be related to the quantum Brownian motion of a particle on lattices
with $\pi$-flux through each plaquette (in the 3-lead case, it is a honeycomb
lattice with $\pi$-flux). By comparing the perturbative and instanton gas
expansions, we find a duality property of the model. At the boundary, this
duality exchanges Neumann and Dirichlet boundary conditions on the
Tomonaga-Luttinger bosons which describe the leads; in the bulk, it exchanges
the `momentum' and `winding' modes of these bosons. Over a certain range of
Luttinger liquid parameter, $g$, a novel non-trivial intermediate coupling
fixed point controls the low-energy physics. The finite conductance at this
fixed point can be exactly computed for two special values of $g$. For larger
values of $g$, there is a stable fixed point at strong coupling which has
enhanced conductance resulting from an analogue of Andreev reflection at the
point contact.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 01:39:15 GMT""}]","2007-05-23"
"cond-mat/9710306","Ulrich Hansmann","Ulrich H.E. Hansmann (IMS) and Yuko Okamoto (IMS)","Generalized-ensemble Monte carlo method for systems with rough energy
  landscape","Latex; ps-files included","Phys. Rev. E 56 (1997) 2228 - 2233","10.1103/PhysRevE.56.2228",,"cond-mat physics.chem-ph",,"  We present a novel Monte Carlo algorithm which enhances equilibrization of
low-temperature simulations and allows sampling of configurations over a large
range of energies. The method is based on a non-Boltzmann probability weight
factor and is another version of the so-called generalized-ensemble techniques.
The effectiveness of the new approach is demonstrated for the system of a small
peptide, an example of the frustrated system with a rugged energy landscape.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 05:19:21 GMT""}]","2009-10-30"
"cond-mat/9710307","Mats Jonson","M. Jonson, I. V. Krive, P. Sandstr\""om, and R. I. Shekhter","Nonlinear conductance of nanowires - A signature of Luttinger liquid
  effects?","13 pages, latex with supplied stylefile, 3 figures in eps format,
  submitted to Superlattices and Microstructures",,"10.1006/spmi.1997.0556","G\""oteborg preprint APR 97-22","cond-mat",,"  We analyze recent measurements of the room temperature current-voltage
characteristics of gold nanowires, whose zero current conductance is quantized
in units of $2e^2/h$. A faster than linear increase of current with voltage was
observed at low voltages beginning from $V_c=0.1$V. We analyze the nonlinear
behavior in terms of a dynamic Coulomb blockade of conducting modes and show
that it may be explained as a Luttinger-liquid effect.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 08:28:22 GMT""}]","2016-08-15"
"cond-mat/9710308","Matteo Beccaria","Matteo Beccaria, Giulio Soliani","Algebraic methods in the study of systems of the reaction-diffusion type","39 pages, REVTEX, 8 PostScript figures",,,"ULDF-TH-2/10/97","cond-mat.stat-mech",,"  Nonlinear systems of the reaction-diffusion type, including Gierer-Meinhardt
models of autocatalysis, are studied by using Lie algebras coming from the
prolongation structure. The consequences of this analytical approach, as the
determination of special exact solutions, are compared with the corresponding
results obtained via numerical simulations.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 08:55:41 GMT""}]","2007-05-23"
"cond-mat/9710309","Mahito Kohmoto","J. Shiraishi, Y.Avishai and M. Kohmoto","Charge and current oscillations in Fractional quantum Hall systems with
  edges","16 pages, 6 figures Revtex",,"10.1103/PhysRevB.57.13061",,"cond-mat.mes-hall",,"  Stationary solutions of the Chern-Simons effective field theory for the
fractional quantum Hall systems with edges are presented for Hall bar, disk and
annulus. In the infinitely long Hall bar geometry (non compact case), the
charge density is shown to be monotonic inside the sample. In sharp contrast,
spatial oscillatory modes of charge density are found for the two circular
geometries, which indicate that in systems with compact geometry, charge and
current exist also far from the edges.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 08:58:11 GMT""}]","2009-10-30"
"cond-mat/9710310",,"J.Dukelsky, M.A. Martin-Delgado, T. Nishino and G. Sierra","Equivalence of the Variational Matrix Product Method and the Density
  Matrix Renormalization Group applied to Spin Chains","REVTEX file, 4 pages, NO figures inserted in text. 2 Tables",,"10.1209/epl/i1998-00381-x",,"cond-mat.str-el cond-mat.supr-con",,"  We present a rotationally invariant matrix product method (MPM) of isotropic
spin chains. This allows us to deal with a larger number of variational MPM
parameters than those considered earlier by other authors. We also show the
relation between the MPM and the DMRG method of White. In our approach the
eigenstates of the density matrix associated with the MPM are used as
variational parameters together with the standard MPM parameters. We compute
the ground state energy density and the spin correlation length of the spin 1
Heisenberg chain.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 12:08:47 GMT""}]","2009-10-30"
"cond-mat/9710311","Vyacheslav Yukalov","V. I. Yukalov","Relaxation Regimes of Spin Maser","1 file, 10 pages, LaTex, no figures","Laser Phys. 7 (1997) 58-62",,,"cond-mat.stat-mech",,"  Spin relaxation in a microscopic model of spin maser is studied
theoretically. Seven qualitatively different regimes are found: free induction,
collective induction, free relaxation, collective relaxation, weak
superradiance, pure superradiance, and triggered superradiance. The initiation
of relaxation can be originated either by an imposed initial coherence or by
local spin fluctuations due to nonsecular dipole interactions. The Nyquist
noise of resonator does not influence processes in macroscopic samples. The
relaxation regimes not initiated by an imposed coherence cannot be described by
the standard Bloch equations.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 12:46:43 GMT""}]","2007-05-23"
"cond-mat/9710312","Marc-Andre Lewis","Marc-Andre Lewis","Higher moments of spin-spin correlation functions for the ferromagnetic
  random bond Potts model","6 pages, LaTeX (needs revtex); typos corrected (alpha->-alpha in
  final formula)","Eurphys. Lett. 43(2) pp.189-194 (1998)","10.1209/epl/i1998-00564-y","PAR-LPTHE 97/44","cond-mat.dis-nn cond-mat.stat-mech",,"  Using CFT techniques, we compute the disorder-averaged p-th power of the
spin-spin correlation function for the ferromagnetic random bonds Potts model.
We thus generalize the calculation of Dotsenko, Dotsenko and Picco, where the
case p=2 was considered. Perturbative calculations are made up to the second
order in epsilon (epsilon being proportional to the central charge deviation of
the pure model from the Ising model value). The explicit dependence of the
correlation function on $p$ gives an upper bound for the validity of the
expansion, which seems to be valid, in the three-states case, only if p<=4.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 15:04:19 GMT""},{""version"":""v2"",""created"":""Thu, 27 Nov 1997 09:33:24 GMT""},{""version"":""v3"",""created"":""Wed, 10 Jun 1998 09:00:40 GMT""},{""version"":""v4"",""created"":""Thu, 27 May 1999 07:42:03 GMT""}]","2009-10-30"
"cond-mat/9710313","S. Fujimoto","Satoshi Fujimoto(Kyoto University, University of Oxford), Norio
  Kawakami(Osaka University)","Exact Drude weight for the one-dimensional Hubbard model at finite
  temperatures","9 pages, RevTex, To appear in J. Phys. A",,"10.1088/0305-4470/31/2/008",,"cond-mat.str-el",,"  The Drude weight for the one-dimensional Hubbard model is investigated at
finite temperatures by using the Bethe ansatz solution. Evaluating finite-size
corrections to the thermodynamic Bethe ansatz equations, we obtain the formula
for the Drude weight as the response of the system to an external gauge
potential. We perform low-temperature expansions of the Drude weight in the
case of half-filling as well as away from half-filling, which clearly
distinguish the Mott-insulating state from the metallic state.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 14:39:10 GMT""}]","2009-10-30"
"cond-mat/9710314","Stuart Burnett","Stuart S.C. Burnett (Manitoba)","Additive renormalization of the specific heat of O(n) symmetric systems
  in three-loop order","9 pages RevTeX, 1 figure",,,,"cond-mat.stat-mech hep-th",,"  We present three-loop formulas for the additive renormalization constant
A(u,epsilon) and associated renormalization group function B(u) for the
specific heat of the O(n) symmetric phi^4 model. Using this result, we obtain
also the amplitude function above Tc within the minimally renormalied theory at
fixed d=3. At the fixed point, the three-loop correction to B(u) turns out to
be small (about 3% for n=2). We note that a correction of this size may become
important at the level of accuracy expected in future experiments.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 14:47:17 GMT""}]","2007-05-23"
"cond-mat/9710315","Sean Washburn","S Washburn, D Popovic, KP Li and AB Fowler (The University of North
  Carolina at Chapel Hill, National High Magnetic Field Laboratory)","Absence of Localization in Certain Field Effect Transistors","8 pages, LaTeX, figure label changed",,"10.1006/spmi.1997.0526","SW-108","cond-mat.str-el cond-mat.dis-nn cond-mat.mes-hall",,"  We review some experimental and theoretical results on the metal-to-insulator
transition (MIT) observed at zero magnetic field (B=0) in several
two-dimensional electron systems (2DES). Scaling of the conductance and
magnetic field dependence of the conductance provide convincing evidence that
the MIT is driven by Coulomb interactions among the carriers and is
dramatically sensitive to spin polarization of the carriers.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 14:51:44 GMT""},{""version"":""v2"",""created"":""Sat, 1 Nov 1997 01:26:07 GMT""}]","2019-08-17"
"cond-mat/9710316","Ludger Santen","N. Rajewsky, L. Santen, A. Schadschneider, M. Schreckenberg","The asymmetric exclusion process: Comparison of update procedures","47 pages (11 PostScript figures included), LATEX, Two misprints in
  equations corrected",,,,"cond-mat.stat-mech",,"  The asymmetric exclusion process (ASEP) has attracted a lot of interest not
only because its many applications, e.g. in the context of the kinetics of
biopolymerization and traffic flow theory, but also because it is a
paradigmatic model for nonequilibrium systems. Here we study the ASEP for
different types of updates, namely random-sequential, sequential,
sublattice-parallel and parallel. In order to compare the effects of the
different update procedures on the properties of the stationary state, we use
large-scale Monte Carlo simulations and analytical methods, especially the
so-called matrix-product Ansatz (MPA). We present in detail the exact solution
for the model with sublattice-parallel and sequential updates using the MPA.
For the case of parallel update, which is important for applications like
traffic flow theory, we determine the phase diagram, the current, and density
profiles based on Monte Carlo simulations. We furthermore suggest a MPA for
that case and derive the corresponding matrix algebra.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 14:58:09 GMT""},{""version"":""v2"",""created"":""Fri, 31 Oct 1997 17:50:48 GMT""}]","2007-05-23"
"cond-mat/9710317","Oshanin","J.De Coninck(1), G.Oshanin(1,2) and M.Moreau(2) ((1) CRMM, Universite
  de Mons-Hainaut, Belgium; (2) LPTL, Universite Paris VI, France)","Dynamics of a driven probe molecule in a liquid monolayer","Latex, 7 pages, 1 figure","Europhys. Lett. 38 (7), 527 (1997)","10.1209/epl/i1997-00278-2",,"cond-mat.soft",,"  We study dynamics of a probe molecule, driven by an external constant force
in a liquid monolayer on top of solid surface. In terms of a microscopic,
mean-field-type approach, we calculate the terminal velocity of the probe
molecule. This allows us to establish the analog of the Stokes formula, in
which the friction coefficient is interpreted in terms of the microscopic
parameters characterizing the system. We also determine the distribution of the
monolayer particles as seen from the stationary moving probe molecule and
estimate the self-diffusion coefficient for diffusion in a liquid monolayer.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 15:24:42 GMT""}]","2015-06-25"
"dg-ga/9710030","Ping Xu","Kirill Mackenzie and Ping Xu","Classical lifting processes and multiplicative vector fields","Latex, 27 pages, Quarterly J. Math. (Oxford), to appear",,,,"dg-ga math.DG",,"  We extend the calculus of multiplicative vector fields and differential forms
and their intrinsic derivatives from Lie groups to Lie groupoids; this
generalization turns out to include also the classical process of complete
lifting from arbitrary manifolds to tangent and cotangent bundles. Using this
calculus we give a new description of the Lie bialgebroid structure associated
with a Poisson groupoid.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 21:22:45 GMT""}]","2007-05-23"
"gr-qc/9710119","Roland Steinbauer","Roland Steinbauer","Geodesics and geodesic deviation for impulsive gravitational waves","final version, minor grammatical changes","J.Math.Phys. 39 (1998) 2201-2212","10.1063/1.532283",,"gr-qc math-ph math.MP",,"  The geometry of impulsive pp-waves is explored via the analysis of the
geodesic and geodesic deviation equation using the distributional form of the
metric. The geodesic equation involves formally ill-defined products of
distributions due to the nonlinearity of the equations and the presence of the
Dirac $\de$-distribution in the space time metric. Thus, strictly speaking, it
cannot be treated within Schwartz's linear theory of distributions. To cope
with this difficulty we proceed by first regularizing the
$\de$-singularity,then solving the regularized equation within classical smooth
functions and, finally, obtaining a distributional limit as solution to the
original problem. Furthermore it is shown that this limit is independent of the
regularization without requiring any additional condition, thereby confirming
earlier results in a mathematical rigorous fashion. We also treat the Jacobi
equation which, despite being linear in the deviation vector field, involves
even more delicate singular expressions, like the ``square'' of the Dirac
$\de$-distribution. Again the same regularization procedure provides us with a
perfectly well behaved smooth regularization and a regularization-independent
distributional limit. Hence it is concluded that the geometry of impulsive
pp-waves can be described consistently using distributions as long as careful
regularization procedures are used to handle the ill-defined products.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 16:14:15 GMT""},{""version"":""v2"",""created"":""Fri, 27 Mar 1998 12:09:29 GMT""}]","2015-06-25"
"gr-qc/9710122","Samuel Rocha Oliveira","Patricio. S. Letelier and Samuel R. Oliveira","Superposition of Weyl solutions: The equilibrium forces","31 pages, 7 figures, psbox macro. Submitted to Classical and Quantum
  Gravity","Class.Quant.Grav. 15 (1998) 421-433","10.1088/0264-9381/15/2/015",,"gr-qc",,"  Solutions to the Einstein equation that represent the superposition of static
isolated bodies with axially symmetry are presented. The equations nonlinearity
yields singular structures (strut and membranes) to equilibrate the bodies. The
force on the strut like singularities is computed for a variety of situations.
The superposition of a ring and a particle is studied in some detail
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 16:05:42 GMT""}]","2009-10-30"
"gr-qc/9710123","Vanzo Luciano","D. Klemm, V. Moretti and L. Vanzo","Rotating Topological Black Holes","25 pages, LateX, five ps figures added, minor errors corrected,
  addition of new references, improved discussion of the conserved charges","Phys.Rev.D57:6127-6137,1998; Erratum-ibid.D60:109902,1999","10.1103/PhysRevD.57.6127 10.1103/PhysRevD.60.109902","preprint UTF 408","gr-qc",,"  A class of metrics solving Einstein's equations with negative cosmological
constant and representing rotating, topological black holes is presented. All
such solutions are in the Petrov type-$D$ class, and can be obtained from the
most general metric known in this class by acting with suitably chosen discrete
groups of isometries. First, by analytical continuation of the Kerr-de Sitter
metric, a solution describing uncharged, rotating black holes whose event
horizon is a Riemann surface of arbitrary genus $g > 1$, is obtained. Then a
solution representing a rotating, uncharged toroidal black hole is also
presented. The higher genus black holes appear to be quite exotic objects, they
lack global axial symmetry and have an intricate causal structure. The toroidal
blackholes appear to be simpler, they have rotational symmetry and the amount
of rotation they can have is bounded by some power of the mass.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 16:44:30 GMT""},{""version"":""v2"",""created"":""Thu, 11 Dec 1997 14:20:23 GMT""}]","2014-11-17"
"gr-qc/9710124","Jose Wadih Maluf","J. W. Maluf (Universidade de Brasilia)","Sparling two-forms, the conformal factor and the gravitational energy
  density of the teleparallel equivalent of general relativity","12 pages, Latex file, no figures, to be published in Gen. Rel. Grav","Gen.Rel.Grav. 30 (1998) 413-423","10.1023/A:1018806825254",,"gr-qc",,"  It has been shown recently that within the framework of the teleparallel
equivalent of general relativity (TEGR) it is possible to define the energy
density of the gravitational field. The TEGR amounts to an alternative
formulation of Einstein's general relativity, not to an alternative gravity
theory. The localizability of the gravitational energy has been investigated in
a number of space-times with distinct topologies, and the outcome of these
analises agree with previously known results regarding the exact expression of
the gravitational energy, and/or with the specific properties of the space-time
manifold. In this article we establish a relationship between the expression
for the gravitational energy density of the TEGR and the Sparling two-forms,
which are known to be closely connected with the gravitational energy. We also
show that our expression of energy yields the correct value of gravitational
mass contained in the conformal factor of the metric field.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 17:16:07 GMT""}]","2015-06-25"
"gr-qc/9710125","Justino Martinez","L. Herrera, J. Martinez","Gravitational collapse: A case for thermal relaxation","33 pages, LaTex 2.09, 11 Postscript figures. To be published in
  General Relativity and Gravitation","Gen.Rel.Grav. 30 (1998) 445-471","10.1023/A:1018862910233",,"gr-qc astro-ph",,"  Two relativistic models for collapsing spheres at different stages of
evolution, which include pre-relaxation processes, are presented. The influence
of relaxation time on the outcome of evolution in both cases is exhibited and
established. It is shown that relaxation processes can drastically change the
final state of the collapsing system. In particular, there are cases in which
the value of the relaxation time determines the bounce or the collapse of the
sphere.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 21:04:21 GMT""}]","2015-06-25"
"gr-qc/9710126","Christiane Lechner","Peter C. Aichelburg, Christiane Lechner","Sigma Model on de Sitter Space","11 pages, latex2e, 1 figure","Phys.Rev. D57 (1998) 6176-6180","10.1103/PhysRevD.57.6176","UWThPh-1997-41","gr-qc",,"  We discuss spherically symmetric, static solutions to the SU(2) sigma model
on a de Sitter background. Despite of its simplicity this model reflects many
of the features exhibited by systems of non-linear matter coupled to gravity
e.g. there exists a countable set of regular solutions with finite energy; all
of the solutions show linear instability with the number of unstable modes
increasing with energy.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 12:08:22 GMT""}]","2009-10-30"
"gr-qc/9710127","Linux User Rhs","Orfeu Bertolami","Baryogenesis motivated on String CPT Violation","3 pages, plain Latex (requires mproc.sty available at
  http://shemesh.fiz.huji.ac.il/MG8/submition.html). Talk delivered at the
  Early Universe session at the 8th Marcel Grossmann Meeting",,,,"gr-qc",,"  We discuss a mechanism for generating the baryon asymetry of the Universe
that involves a putative violation of CPT symmetry arising from string
interactions.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 14:56:37 GMT""}]","2007-05-23"
"hep-ex/9710030","Siggi Bethke","Siegfried Bethke (RWTH Aachen)","QCD Tests at $e^+e^-$ Colliders","Revised version: some references added and corrected; world summary
  of $\alpha_s$ extended by result from polarized structure functions. 9 pages,
  15 EPS figures; contribution to the CQD Euroconference 97 (Montpellier 1997)","Nucl.Phys.Proc.Suppl. 64 (1998) 54-62","10.1016/S0920-5632(97)01036-0","PITHA 97/37","hep-ex hep-ph",,"  A short review of the history and a 'slide-show' of QCD tests in $e^+e^-$
annihilation is given. The world summary of measurements of $\alpha_s$ is
updated.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 10:51:30 GMT""},{""version"":""v2"",""created"":""Wed, 5 Nov 1997 16:57:17 GMT""}]","2009-10-30"
"hep-lat/9710094","Pilar Hernandez","P. Hernandez, Ph. Boucaud","A Wilson-Yukawa model with a chiral spectrum in 2D","3 pages, LaTeX, uses espcrc2.sty. To appear in proceedings of Lattice
  97, Edinbugh, Scotland","Nucl.Phys.Proc.Suppl.63:608-610,1998","10.1016/S0920-5632(97)00847-5","CERN-TH/97-300","hep-lat",,"  We summarize our recent study of the fermion spectrum in a fermion-scalar 2D
model with a chiral $U(1)_L \times U(1)_R$ global symmetry. This model is
obtained from a two-cutoff lattice formulation of a 2D U(1) chiral gauge
theory, in the limit of zero gauge coupling. The massless fermion spectrum
found deep in the vortex phase is undoubled and chiral.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 11:19:59 GMT""}]","2010-03-19"
"hep-ph/9710497",,"J.I. Illana (Institut f\""ur Theoretische Physik, Karlsruhe)","One-loop weak dipole moments of heavy fermions in the MSSM","5 pages, 1 ps figure, LaTeX using appb.sty (included) and epsf.sty.
  Contribution to the XXI School of Theoretical Physics ``Recent Progress in
  theory and phenomenology of fundamental interactions"", Ustron, Poland,
  September 1997. The complete ps-file is also available via WWW at
  http://www-itp.physik.uni-karlsruhe.de/prep/prep.html","Acta Phys.Polon.B28:2389-2394,1997",,"KA-TP-17-1997","hep-ph",,"  The MSSM predictions at the one-loop level for the weak dipole moments of the
\tau lepton and the b quark are presented. The imaginary part of the AWMDM is
of the order of the SM contribution whereas the real part may be a factor 5
(20) larger for the \tau (b) in the high \tan\beta scenario, still a factor
five below the QCD contribution in the b case. More interestingly, a
contribution up to twelve orders of magnitude larger than in the SM may be
obtained, already at the one-loop level, for the WEDM in a MSSM with complex
parameters.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 18:48:01 GMT""}]","2011-03-02"
"hep-ph/9710510","Robert Kaminski","Chueng-Ryong Ji, Robert Kaminski, Leonard Lesniak, Adam Szczepaniak,
  Robert Williams","Coupled Channel Analysis of S-Wave Pion-Pion and Kaon-Kaon
  Photoproduction","40 pages including 18 figures, minor modifications","Phys.Rev.C58:1205-1217,1998","10.1103/PhysRevC.58.1205","INP-1769/PH, Cracow, Poland","hep-ph",,"  We present a coupled channel partial wave analysis of nondiffractive S-wave
pi+ pi- and K+ K- photoproduction focusing on the KK threshold. Final state
interactions are included. We calculate total cross sections, angular and
effective mass distributions in both pion-pion and kaon-antikaon channels. Our
results indicate that these processes are experimentally measurable and
valuable information on the f0(980) resonance structure can be obtained.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 16:12:37 GMT""},{""version"":""v2"",""created"":""Wed, 29 Oct 1997 11:00:25 GMT""},{""version"":""v3"",""created"":""Wed, 3 Feb 1999 11:00:24 GMT""}]","2008-11-26"
"hep-ph/9710511","Dietmar Ebert","D.Ebert (Humboldt University, Berlin)","Bosonization in Particle Physics","12 pages, LaTeX, uses lamuphys.sty, 5 LaTeX figures, talk given at
  the Workshop ""Field Theoretical Tools in Polymer and Particle Physics"",
  University Wuppertal, June 17-19, 1997",,"10.1007/BFb0106879","HUB-EP-97/79","hep-ph",,"  Path integral techniques in collective fields are shown to be a useful
analytical tool to reformulate a field theory defined in terms of microscopic
quark (gluon) degrees of freedom as an effective theory of collective boson
(meson) fields. For illustrations, the path integral bosonization approach is
applied to derive a (non)linear sigma model from a Nambu-Jona-Lasinio (NJL)
quark model. The method can be extended to include higher order derivative
terms in meson fields or heavy-quark symmetries. It is also approximately
applicable to QCD.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 16:36:11 GMT""}]","2009-10-30"
