"alg-geom/9710027","Mikhail Kapranov","M. Kapranov","Injective resolutions of BG and derived moduli spaces of local systems","12 pages, plain TEX",,,,"alg-geom math.AG",,"  It was suggested on several occasions by Deligne, Drinfeld and Kontsevich
that all the moduli spaces arising in the classical problems of deformation
theory should be extended to natural ""derived"" moduli spaces which are always
smooth in an appropriate sense and whose tangent spaces involve the entire
cohomology of the sheaf of infinitesimal automorphisms, not just H^1. In this
note we give an algebraic construction of such an extension for the simplest
class of moduli spaces, namely for moduli of local systems (representations of
the fundamental group).
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 22:22:03 GMT""}]","2007-05-23"
"hep-ph/9710467","Marc Kamionkowski","Marc Kamionkowski","WIMP and Axion Dark Matter","18 pages, LaTeX, introductory lectures given at the 1997 ICTP Summer
  School on High Energy Physics and Cosmology, Trieste, Italy, June 2--July 4,
  1997",,,"CU-TP-866, CAL-648","hep-ph astro-ph",,"  There is almost universal agreement among cosmologists that most of the
matter in the Universe is dark, and there are very good reasons to believe that
most of this dark matter must be nonbaryonic. The two leading candidates for
this dark matter are axions and weakly-interacting massive particles (WIMPs),
such as the neutralino in supersymmetric extensions of the standard model. I
discuss the arguments for these two dark-matter candidates and review
techniques for discovery of these dark-matter particles.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 21:21:22 GMT""}]","2007-05-23"
"hep-ph/9710468","Maarten Golterman","Maarten Golterman (Washington Univ.)","Connections Between Lattice Gauge Theory and Chiral Perturbation Theory","16 pages, latex, uses lamuphys.sty, 6 figures (postscript), talk
  given at the Workshop on Chiral Dynamics, Mainz, 1997. One reference
  corrected",,"10.1007/BFb0104897","Wash. U. HEP/97-69","hep-ph hep-lat",,"  In this talk, I address the comparison between results from lattice QCD
computations and Chiral Perturbation Theory (ChPT). I briefly discuss how ChPT
can be adapted to the much-used quenched approximation and what it tells us
about the special role of the $\eta'$ in the quenched theory. I then review
lattice results for some quantities (the pion mass, pion scattering lengths and
the $K^+\to\pi^+\pi^0$ matrix element) and what quenched ChPT has to say about
them.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 22:32:20 GMT""},{""version"":""v2"",""created"":""Wed, 12 Nov 1997 16:05:51 GMT""}]","2009-10-30"
"hep-ph/9710469","Hideyuki Abe","Hideyuki Abe","Attractive Central Potential in the SU(3) Skyrme Model","16 pages, 9 embedded PS figures, ReVTeX, to appear in Phys. Rev. C","Phys.Rev.C56:3320-3325,1997","10.1103/PhysRevC.56.3320",,"hep-ph",,"  The interaction between the hyperon and the nucleon is investigated in the
SU(3) Skyrme model. The static potential, which is expanded in terms of the
modified SU(3) rotation matrices, is obtained for several orientations with the
Atiyah-Manton ansatz. The interaction is calculated for the NN, \LambdaN, and
\SigmaN systems. The medium-range attraction of the central potential between
\Lambda and N is obtained by considering the \Lambda-\Sigma mixing through the
intermediate state.
","[{""version"":""v1"",""created"":""Sat, 25 Oct 1997 01:24:55 GMT""}]","2008-11-26"
"hep-ph/9710471",,"A.N.Ivanov and N.I.Troitskaya (Vienna Techn.Univ.)","On the D*D$\pi$ and B*B$\pi$ coupling constants in the effective quark
  model with chiral symmetry","7 pages, Latex, no figures","Nuovo Cim.A111:59-65,1998","10.1007/BF03185572",,"hep-ph",,"  The coupling constants of D*D$\pi$ and B*B$\pi$ strong interactions are
computed in the effective quark model with chiral symmetry incorporating Heavy
quark effective theory (HQET) and Chiral perturbation theory at the quark level
with linear realization of chiral U(3)XU(3) symmetry. We predict g(D*D$\pi$) =
5.2 and g(B*B$\pi$) = 14.3. The corrections of large heavy quark mass expansion
to the constants g(D*D$\pi$) and g(B*B$\pi$) are calculated and make up less
than 1 per cent.
","[{""version"":""v1"",""created"":""Sat, 25 Oct 1997 11:21:14 GMT""}]","2022-03-02"
"hep-ph/9710472",,"A.N.Ivanov and N.I.Troitskaya (Vienna Techn.Univ.)","On the $D^+_s \to \pi^+ \pi^+ \pi^-$ - nonresonant decay in the
  effective quark model with chiral symmetry","11 pages, Latex, no figures","Nuovo Cim. A111 (1998) 85-94","10.1007/BF03185575",,"hep-ph",,"  The partial widths of the decays $D^+_s \to \phi \pi^+$ and $D^+_s \to \pi^+
\pi^+ \pi^-$ - nonresonant are computed within the effective quark model with
chiral symmetry involving Heavy quark effective theory (HQET) and Chiral
perturbation theory at the quark level (CHPT)$_q$ with linear realization of
chiral U(3) x U(3) symmetry. It is shown that for the explanation of the
experimental probability of the $D^+_s \to \pi^+ \pi^+ \pi^-$ - nonresonant
decay one does not need to use unnaturally heavy light current quarks as has
been suggested in Ref.[1]. The life time of the $D^+_s$ - meson $\tau_{D^+_s} =
(0.59\pm 0.19) x 10^(-12) s$ is computed in good agreement with the
experimental one.
","[{""version"":""v1"",""created"":""Sat, 25 Oct 1997 11:29:27 GMT""},{""version"":""v2"",""created"":""Tue, 9 Dec 1997 18:14:26 GMT""}]","2022-03-02"
"hep-th/9710188","Carlo Ungarelli","A. Buonanno, K. Meissner, C. Ungarelli, G. Veneziano","Quantum Inhomogeneities in String Cosmology","30 pages, RevteX, epsfig, 5 figures","JHEP 9801 (1998) 004","10.1088/1126-6708/1998/01/004",,"hep-th gr-qc",,"  Within two specific string cosmology scenarios --differing in the way the
pre- and post-big bang phases are joined-- we compute the size and spectral
slope of various types of cosmologically amplified quantum fluctuations that
arise in generic compactifications of heterotic string theory. By further
imposing that these perturbations become the dominant source of energy at the
onset of the radiation era, we obtain physical bounds on the background's
moduli, and discuss the conditions under which both a (quasi-) scale-invariant
spectrum of axionic perturbations and sufficiently large seeds for the galactic
magnetic fields are generated. We also point out a potential problem with
achieving the exit to the radiation era when the string coupling is near its
present value.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 16:34:12 GMT""}]","2009-10-30"
"hep-th/9710190",,"M. Faber, A. N.Ivanov and N.I.Troitskaya (Vienna Techn. Univ.)","Nambu-Jona-Lasinio approach to realization of confining medium","15 pages, Latex, no figures","NuovoCim.A111:513-526,1998","10.1007/BF03185585",,"hep-th",,"  The mechanism of a confining medium is investigated within the
Nambu-Jona-Lasinio (NJL) approach. It is shown that a confining medium can be
realized in the bosonized phase of the NJL model due to vacuum fluctuations of
both fermion and Higgs (scalar fermion-antifermion collective excitation)
fields. In such an approach there is no need to introduce Dirac strings.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 17:39:49 GMT""},{""version"":""v2"",""created"":""Wed, 28 Jan 1998 20:39:35 GMT""}]","2022-03-02"
"hep-th/9710191","Lee Smolin","Lee Smolin","Covariant quantization of membrane dynamics","Latex, 21 pages, no figures","Phys. Rev. D 57, 6216 (1998)","10.1103/PhysRevD.57.6216",,"hep-th gr-qc",,"  A Lorentz covariant quantization of membrane dynamics is defined, which also
leaves unbroken the full three dimensional diffeomorphism invariance of the
membrane. Among the applications studied are the reduction to string theory,
which may be understood in terms of the phase space and constraints, and the
interpretation of physical,zero-energy states. A matrix regularization is
defined as in the light cone gauged fixed theory but there are difficulties
implementing all the gauge symmetries. The problem involves the
non-area-preserving diffeomorphisms which are realized non-linearly in the
classical theory. In the quantum theory they do not seem to have a consistent
implementation for finite N. Finally, an approach to a genuinely background
independent formulation of matrix dynamics is briefly described.
","[{""version"":""v1"",""created"":""Sat, 25 Oct 1997 03:25:05 GMT""}]","2016-08-25"
"quant-ph/9710057","Paul Slater","Paul B. Slater (University of California, Santa Barbara)","Bayesian Thermostatistical Analyses of Two-Level Complex and
  Quaternionic Systems","6 pages, LaTeX, 6 postscript figures. This paper was submitted (in a
  non-LaTeX form) for publication in Dec., 1995, but not accepted. I have
  recast it into LaTeX for wider availability, primarily because it appears to
  have anticipated the recently-presented ""quantum canonical ensemble"" of Brody
  and Hughston (quant-ph/9709048)",,,,"quant-ph",,"  The three and five-dimensional convex sets of two-level complex and
quaternionic quantum systems are studied in the Bayesian thermostatistical
framework introduced by Lavenda. Associated with a given parameterization of
each such set is a quantum Fisher (Helstrom) information matrix. The square
root of its determinant (adopting an ansatz of Harold Jeffreys) provides a
reparameterization-invariant prior measure over the set. Both such measures can
be properly normalized and their univariate marginal probability distributions
(which serve as structure functions) obtained. Gibbs (posterior) probability
distributions can then be found, using Poisson's integral representation of the
modified spherical Bessel functions. The square roots of the (classical) Fisher
information of these Gibbs distributions yield (unnormalized) priors over the
inverse temperature parameters.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 16:46:39 GMT""}]","2007-05-23"
"quant-ph/9710058","Boris F. Samsonov","Boris F. Samsonov","Distortion of a Phase Space Under the Darboux Transformation","To be published in J. Math. Phys. 1998, v. 39, No 1 or No 2",,"10.1063/1.532364",,"quant-ph",,"  The Darboux transformation operator technique is applied to construct exactly
solvable anharmonic singular oscillator potentials and to study their coherent
states. Classical system corresponding to a transformed quantum system is
constructed with the help of the coherent states technique. It is shown that at
classical level the Darboux transformation may be treated as a transformation
of K\""ahler potential which leads to a distortion of the initial phase space.
","[{""version"":""v1"",""created"":""Sat, 25 Oct 1997 09:37:48 GMT""}]","2009-10-30"
"solv-int/9710021","Nalini Joshi","Clio Cresswell and Nalini Joshi","The Discrete Painlev\'e I Hierarchy","9 pages in LaTeX. To appear in Proceedings of SIDEII, Kent, UK 1996,
  (eds) P.A.Clarkson and F.Nijhoff",,,,"solv-int nlin.SI",,"  The discrete Painlev\'e I equation (dP$\rm_I$) is an integrable difference
equation which has the classical first Painlev\'e equation (P$\rm_I$) as a
continuum limit. dP$\rm_I$ is believed to be integrable because it is the
discrete isomonodromy condition for an associated (single-valued) linear
problem. In this paper, we derive higher-order difference equations as
isomonodromy conditions that are associated to the same linear deformation
problem. These form a hierarchy that may be compared to hierarchies of
integrable ordinary differential equations (ODEs). We strengthen this
comparison by continuum limit calculations that lead to equations in the
P$\rm_I$ hierarchy. We propose that our difference equations are discrete
versions of higher-order Painlev\'e equations.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 21:05:35 GMT""}]","2007-05-23"
"solv-int/9710022","Nalini Joshi","Nalini Joshi","The Second Painlev\'e Equation in the Large-Parameter Limit I: Local
  Asymptotic Analysis","30 pages in LaTeX2e. Submitted",,,,"solv-int nlin.SI",,"  In this paper, we find all possible asymptotic behaviours of the solutions of
the second Painlev\'e equation $y''=2y^3+xy +\alpha$ as the parameter
$\alpha\to\infty$ in the local region $x\ll\alpha^{2/3}$. We prove that these
are asymptotic behaviours by finding explicit error bounds. Moreover, we show
that they are connected and complete in the sense that they correspond to all
possible values of initial data given at a point in the local region.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 21:18:43 GMT""}]","2007-05-23"
"solv-int/9710023","Nalini Joshi","Martin D.Kruskal, Nalini Joshi, and Rod Halburd","Analytic and Asymptotic Methods for Nonlinear Singularity Analysis: a
  Review and Extensions of Tests for the Painlev\'e Property","40 pages in LaTeX2e. To appear in the Proceedings of the CIMPA Summer
  School on ""Nonlinear Systems,"" Pondicherry, India, January 1996, (eds) B.
  Grammaticos and K. Tamizhmani",,"10.1007/BFb0113696",,"solv-int nlin.SI",,"  The integrability (solvability via an associated single-valued linear
problem) of a differential equation is closely related to the singularity
structure of its solutions. In particular, there is strong evidence that all
integrable equations have the Painlev\'e property, that is, all solutions are
single-valued around all movable singularities. In this expository article, we
review methods for analysing such singularity structure. In particular, we
describe well known techniques of nonlinear regular-singular-type analysis,
i.e. the Painlev\'e tests for ordinary and partial differential equations. Then
we discuss methods of obtaining sufficiency conditions for the Painlev\'e
property. Recently, extensions of \textit{irregular} singularity analysis to
nonlinear equations have been achieved. Also, new asymptotic limits of
differential equations preserving the Painlev\'e property have been found. We
discuss these also.
","[{""version"":""v1"",""created"":""Sat, 25 Oct 1997 08:28:00 GMT""}]","2009-10-30"
