"alg-geom/9710030","Enrique Arrondo","Enrique Arrondo","The universal rank-(n-1) bundle on G(1,n) restricted to subvarieties","11 pages, plain tex",,,,"alg-geom math.AG",,"  We classify those smooth (n-1)-folds in G(1,n) for which the restriction of
the rank-(n-1) universal bundle has more than n+1 independent sections. As an
aplication, we classify also those (n-1)-folds for which that bundle splits.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 18:54:41 GMT""}]","2007-05-23"
"hep-lat/9710089","Herbert Neuberger","Herbert Neuberger (Rutgers)","Vector like gauge theories with almost massless fermions on the lattice","35 pages, TeX, 4 figures using epsf","Phys.Rev. D57 (1998) 5417-5433","10.1103/PhysRevD.57.5417","RU-97-84","hep-lat hep-ph",,"  A truncation of the overlap (domain wall fermions) is studied and a criterion
for reliability of the approximation is obtained by comparison to the exact
overlap formula describing massless quarks. We also present a truncated version
of regularized, pure gauge, supersymmetric models. The mechanism for generating
almost masslessness is shown to be a generalized see-saw which can also be
viewed as a version of Froggatt-Nielsen's method for obtaining natural large
mass hierarchies. Viewed in this way the mechanism preserving the mass
hierarchy naturally avoids preserving even approximately axial U(1). The new
insights into the source of the mass hierarchy suggest ways to increase the
efficiency of numerical simulations of QCD employing the truncated overlap.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 17:28:24 GMT""}]","2009-10-30"
"hep-lat/9710090","Rajan Gupta","Rajan Gupta","B-parameters of 4-fermion operators from lattice QCD","3 pages. Package submitted in uufiles format: unpack and latex
  paper.tex. Talk presented at LATTICE97 (Light Hadron Phenomenology)","Nucl.Phys.Proc.Suppl. 63 (1998) 278-280","10.1016/S0920-5632(97)00745-7","LAUR-97-4154","hep-lat hep-ph",,"  This talk summarizes the status of the calculations of $B_K$, $B_7$, $B_8$,
and $B_s$, done in collaboration with T. Bhattacharya, G. Kilcup, and S.
Sharpe. Results for staggered, Wilson, and Clover fermions are presented.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 00:57:16 GMT""}]","2009-10-30"
"hep-lat/9710091","Alessandro Papa","A. Papa","SU(3) surface tension from the lattice with the fixed point action","9 pages, LaTeX, 3 eps figures, uses epsfig.sty; added some comments","Phys.Lett. B420 (1998) 91-96","10.1016/S0370-2693(97)01568-2","BUTP-97/30","hep-lat",,"  The surface tension at the deconfinement transition of SU(3) is determined
with a parametrized version of the fixed point action of a renormalization
group transformation on lattices with temporal extent $N_\tau=3$ and 4 and
spatial extent $N_\sigma/N_\tau=3$ and 4. A considerable cut-off dependence can
be seen in comparison with earlier determinations from tree level Symanzik and
tadpole improved actions.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 08:52:40 GMT""},{""version"":""v2"",""created"":""Wed, 10 Dec 1997 14:53:41 GMT""}]","2009-10-30"
"hep-lat/9710092",,"P. Butera and M. Comi (Phys. Dept. of Milano Univ.)","Perturbative renormalization group, exact results and high temperature
  series to order 21 for the N-vector spin models on the square lattice","31 pages, Latex; abridged version without figures, the printed
  version contains 5 figures","Phys.Rev. B54 (1996) 15828-15848","10.1103/PhysRevB.54.15828","IFUM 531/FT","hep-lat cond-mat",,"  High temperature expansions for the susceptibility and the second correlation
moment of the classical N-vector model (also known as the O(N) symmetric
Heisenberg classical spin model or the as the lattice O(N) nonlinear sigma
model) on the square lattice are extended from order beta^{14} to beta^{21} for
arbitrary N. For the second field derivative of the susceptibility the series
expansion is extended from order beta^{14} to beta^{17}. For -2 < N < 2, a
numerical analysis of the series is performed in order to compare the critical
exponents gamma(N), nu(N) and Delta(N) to exact (though nonrigorous) formulas
and to compute the ""dimensionless four point coupling constant"" g_r(N). For N >
2, we present a study of the analiticity properties of chi, xi etc. in the
complex beta-plane and describe a method to estimate the parameters which
characterize their low-temperature behaviors. We compare our series estimates
to the predictions of the perturbative renormalization group theory, to exact
(but nonrigorous or conjectured) formulas and to the results of the 1/N
expansion, always finding a good agreement.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 11:30:32 GMT""}]","2009-10-30"
"hep-lat/9710093","Nikolai V. Zverev","A.A. Slavnov and N.V. Zverev","Nonlocal lattice fermion models on the 2d torus","16 pages, LaTeX, 5 eps figures, uses epsf.sty, rotate.sty","Theor.Math.Phys.115:448-457,1998; Teor.Mat.Fiz.115:93-105,1998","10.1007/BF02575503",,"hep-lat",,"  Abelian fermion models described by the SLAC action are considered on a
finite 2d lattice. It is shown that modification of these models by introducing
additional Pauli - Villars regularization supresses nonlocal effects and
provides agreement with the continuum results in vectorial U(1) models. In the
case of chiral fermions the phase of the determinant differs from the continuum
one.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 14:35:25 GMT""},{""version"":""v2"",""created"":""Mon, 24 Nov 1997 14:37:23 GMT""}]","2008-11-26"
"hep-ph/9710484","Johannes Franzkowski","L. Br\""ucher, J. Franzkowski, D. Kreimer (Univ. Mainz, Germany)","XLOOPS -- A Program Package calculating One- and Two-Loop Feynman
  Diagrams","84 pages, Postscript, program package and this manual also available
  at http://wwwthep.physik.uni-mainz.de/~xloops/, minor changes and bug fixes
  are included now",,"10.1016/S0168-9002(97)00119-8","MZ-TH/97-35","hep-ph hep-th physics.comp-ph",,"  The aim of XLOOPS is to calculate one-particle irreducible Feynman diagrams
with one or two closed loops for arbitrary processes in the Standard model of
particles and related theories. Up to now this aim is realized for all one-loop
diagrams with at most three external lines and for two-loop diagrams with two
external lines.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 16:41:38 GMT""},{""version"":""v2"",""created"":""Mon, 17 Nov 1997 09:15:33 GMT""}]","2009-10-30"
"hep-ph/9710485","Dan-Di Wu","Dan-Di Wu (Prairie View A&M University)","Exploring inconsistencies with the Cabibbo-Kobayashi-Maskawa model","Latex file, 12 pages, 2 tables. Added footnote 2 and minor
  typo/wording corrections",,,"Prairie View A&M, HEP-7-97","hep-ph",,"  A small upper-bound is obtained for the CP phase $\delta$ in a CKM matrix,
$|\sin\delta| \le 0.44$ based on CP independent data on $|V_{ub}/V_{cb}|$
alone. Potential inconsistencies with the CKM model in existing data which need
a theory beyond the standard model to overcome emerge in the analysis using
this CKM matrix. In addition, all CP asymmetry measurables for the $B_d- \bar
B_d$ system are expressed solely by the CP phases in the decay amplitudes.
Remarkably the CP asymmetry of the bench mark process $B_d\to \psi K_S$ equals
sin$2\delta$. This will soon be measured by BaBar and Belle to confront the
above upper-bound.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 17:32:12 GMT""},{""version"":""v2"",""created"":""Wed, 29 Oct 1997 17:30:08 GMT""},{""version"":""v3"",""created"":""Mon, 8 Dec 1997 17:10:09 GMT""},{""version"":""v4"",""created"":""Tue, 9 Dec 1997 19:26:12 GMT""}]","2007-05-23"
"hep-ph/9710486","Alexander Ilyichev","I. V. Akushevich, A. N. Ilyichev and N. M. Shumeiko","Electroweak Radiative Effects in Deep Inelastic Interaction of Polarized
  Leptons and Nucleons","11 pages, 1 figure","Proceedings of the XVIII Workshop on High Energy Physics and Field
  Theory. Protvino, Russia, June 26-30,1995. Protvino, 1996, p. 195-204",,,"hep-ph",,"  The results for one-loop correction to deep inelastic scattering of
longitudinal polarized leptons on longitudinal polarized hadrons are obtained
withing the framework of the standard theory of electroweak interactions and
ordinary quark-parton model. The on-shell renormalization scheme in
t'Hooft-Feynman gauge is applied.
  The numerical analysis is carried out under conditions of modern particle
physics experiments.Particular emphasis is laid on contributions usually
ignored at RC procedure --- electroweak corrections to electromagnetic
asymmetry and RC to hadronic current. The structure of RC contribution to
polarized asymmetries within the framework of QED and electroweak theory is
also discused
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 17:29:15 GMT""},{""version"":""v2"",""created"":""Thu, 30 Oct 1997 11:28:57 GMT""}]","2007-05-23"
"hep-ph/9710487","R. Akhoury","R. Akhoury and V. I. Zakharov","On Non Perturbative Corrections to the Potential for Heavy Quarks","13 pages, latex, 2 figures, uses epsf","Phys.Lett.B438:165-172,1998","10.1016/S0370-2693(98)00932-0","UM-TH/97-18","hep-ph",,"  We discuss non perturbative corrections to the Coulomb-like potential of
heavy quarks at short distances. We consider both the standard framework
provided by infrared renormalons and the assumption that confinement does not
allow weak fields to penetrate the vacuum. In the former case the leading
correction at short distances turns out to be quadratic in r for static quarks.
In the latter case we find a potential which is proportional to r as r
rightarrow 0. We point out that similar effects arise due to a new kind of non
perturbative correction proportional to 1/Q^2, which is unaccounted for by the
operator product expansion and which was recently discussed within a different
framework.
  Phenomenological implications of the linear correction to the potential are
briefly reviewed.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 23:06:52 GMT""}]","2014-11-17"
"hep-ph/9710488",,"M. Napsuciale (Univ. of Califronia, San Diego)","Inclusive J/psi production in Upsilon decay via color-octet mechanisms","Minor changes, corrected typos, version to be published in PRD","Phys.Rev.D57:5711-5716,1998","10.1103/PhysRevD.57.5711",,"hep-ph",,"  Calculations for inclusive J/psi production in Upsilon decay through the
color-octet mechanisms b\bar b[^3S_1, 1] -> c \bar c[^{2s+1}L_J, 8] + g are
presented. It is shown that these O(alpha^5_sv^4_c) contributions compete with
other color-octet mechanisms considered in the literature. A critical numerical
analysis of the color-octet contributions to Upsilon -> J/psi + X shows that
further work in this channel, both theoretical and experimental, is necessary
in order to clearly understand the significance of the color-octet component of
the c \bar c component inside the J/psi system.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 20:46:13 GMT""},{""version"":""v2"",""created"":""Tue, 28 Oct 1997 01:10:22 GMT""},{""version"":""v3"",""created"":""Wed, 18 Mar 1998 18:07:04 GMT""}]","2009-09-24"
"hep-ph/9710489","Richard Lebed","Richard F. Lebed and Karl Schilcher","Consistency constraints on m_s from QCD dispersion relations and chiral
  perturbation theory in K_{l3} decays","10 pages, latex (revtex)","Phys.Lett.B430:341-348,1998","10.1016/S0370-2693(98)00529-2","UCSD/PTH 97-28 and JLAB-THY-97-44","hep-ph",,"  We use both old and new theoretical developments in QCD dispersion relation
constraints on the scalar form factor in the decay K --> \pi l \nu_l to obtain
constraints on the strange quark mass. The perturbative QCD side of the
calculation incorporates up to four-loop corrections, while the hadronic side
uses a recently developed parameterization constructed explicitly to satisfy
the dispersive constraints. Using chiral perturbation theory (\chiPT) as a
model for soon-to-be measured data, we find a series of lower bounds on m_s
increasing with the accuracy to which one believes \chiPT to represent the full
QCD result.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 22:04:23 GMT""}]","2014-11-17"
"hep-ph/9710490","Lyndon Alvero","L. Alvero, J. C. Collins, M. Strikman and J. J. Whitmore (Penn. State
  University, U.S.A.)","Probing small-x parton densities in proton- proton (-nucleus) collisions
  in the very forward direction","14 pages, LaTeX, 12 figures, uses revtex.sty","Phys. Rev. D 57, 4063 (1998)","10.1103/PhysRevD.57.4063","PSU/TH/190","hep-ph",,"  We present calculations of several pp scattering cross sections with
potential applications at the LHC. Significantly large rates for momentum
fraction, x, as low as 10^-7 are obtained, allowing for possible extraction of
quark and gluon densities in the proton and nuclei down to these small x values
provided a detector with good acceptance at maximal rapidities is used.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 22:19:47 GMT""}]","2016-08-25"
"hep-ph/9710491","John N. Bahcall","John N. Bahcall","Gallium Solar Neutrino Experiments: Absorption Cross sections, Neutrino
  spectra, and Predicted Event Rates","57 pages, ReVTeX file. Accepted for publication in Phys. Rev. C.
  Viewgraphs and numerical tables of neutrino spectra and cross sections at
  http://www.sns.ias.edu/~jnb","Phys.Rev.C56:3391-3409,1997","10.1103/PhysRevC.56.3391","IASSNS-AST 97/59","hep-ph astro-ph nucl-ex nucl-th",,"  Neutrino absorption cross sections for 71Ga are calculated for all solar
neutrino sources with standard energy spectra, and for laboratory sources of
51Cr and 37Ar; the calculations include, where appropriate, the thermal energy
of fusing solar ions and use improved nuclear and atomic data. The ratio, R, of
measured (in GALLEX and SAGE) to calculated 51Cr capture rate is R = 0.95 +/-
0.07 (exp)} + ^{+0.04}_{-0.03} (theory). Cross sections are also calculated for
specific neutrino energies chosen so that a spline fit determines accurately
the event rates in a gallium detector even if new physics changes the energy
spectrum of solar neutrinos. Theoretical uncertainties are estimated for cross
sections at specific energies and for standard neutrino energy spectra.
Standard energy spectra are presented for pp and CNO neutrino sources in the
appendices. Neutrino fluxes predicted by standard solar models, corrected for
diffusion, have been in the range 120 SNU to 141 SNU since 1968.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 02:09:15 GMT""}]","2008-11-26"
"hep-ph/9710492","Scott Willenbrock","J. Lykken, T. Montroy, and S. Willenbrock","Group-Theoretic Evidence for SO(10) Grand Unification","6 pages, LateX","Phys.Lett. B418 (1998) 141-144","10.1016/S0370-2693(97)01416-0",,"hep-ph",,"  The hypercharges of the fermions are not uniquely determined in SO(10) grand
unification, but rather depend upon which linear combination of the two U(1)
subgroups of SO(10) > SU(3) X SU(2) X U(1) X U(1) remains unbroken. We show
that, in general, a given hypercharge assignment can be obtained only with very
high-dimensional Higgs representations. The observation that the standard model
is obtained with low-dimensional Higgs representations can therefore be
regarded as further evidence for SO(10) grand unification. This evidence is
independent of the fact that SO(10) > SU(5).
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 03:43:56 GMT""}]","2009-10-30"
"hep-ph/9710493","Aleksander I. Milstein","R.N. Lee, A.I. Milstein, V.M. Strakhovenko","Large Coulomb corrections in high-energy photon splitting","12 pages, latex, 9 figures",,,"Budker INP 97-85","hep-ph",,"  The Coulomb corrections to the helicity amplitudes of high-energy photon
splitting are examined. The consideration is based on the amplitudes obtained
exactly in the parameter Z\alpha within the quasiclassical approach valid for
small angles between all photon momenta. We consider the case when the
transverse momenta of both final photons are much larger than the electron
mass. It is shown that at Z\alpha \sim 1 the Coulomb corrections essentially
change the result for the cross section as compared to the Born approximation.
The effect of screening is also taken into account.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 06:42:02 GMT""}]","2007-05-23"
"hep-ph/9710494","Guillermo Contreras","J. G. Contreras","Fast simulation of a HERA--like detector","4 pages, Latex with a41.sty (included). To appear in the Proceedings
  of the 1997 Workshop on physics with polarized protons at HERA",,,,"hep-ph",,"  A set of FORTRAN routines to perform a fast simulation of a HERA--like
detector including the smearing of the $z$ coordinate of the interaction
vertex, the simulation of a tracker system, of an electromagnetic and of a
hadronic calorimeter is presented.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 09:58:15 GMT""}]","2007-05-23"
"hep-ph/9710495",,"Andreas Blumhofer, Richard Dawid and Johannes Manus","Higher Dimensional Operators in Top Condensation from a Renormalization
  Group Point of View","21 pages, latex2e, axodraw.sty, epsfig.sty, 4 postscript figures.
  Some of the discussions extended and clarified","Phys.Rev. D58 (1998) 035009","10.1103/PhysRevD.58.035009","LMU-12/97, UWTHPH-1997-36, TUM-HEP-294/97","hep-ph",,"  The predictive power of top-condensation models strongly depends on the
behaviour of higher dimensional operators. These are analyzed in this paper by
an extension of the standard renormalization group (RG) arguments which turns
out to be a surprisingly powerful tool. Top-condensation models intermediated
by underlying scalar exchange can be shown to be mere reparametrizations of the
standard model. Further on, RG-arguments show that dynamical vector states
cannot be lowered in top-condensation models. Finally we give a general
argument concerning the size of higher dimensional operators of heavy vector
exchange.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 10:28:46 GMT""},{""version"":""v2"",""created"":""Tue, 28 Apr 1998 14:10:59 GMT""}]","2009-10-30"
"hep-ph/9710496","Rainer Jakob","R. Jakob, P.J. Mulders, J. Rodrigues","Estimates for non-leading distribution functions","LaTeX, 10 pages, 14 ps figures included with epsfig.sty. Proceedings
  of the DESY workshop, ""Deep inelastic scattering off polarized targets:
  Theory meets experiment"", DESY-Zeuthen, September 1-5, 1997",,,"FNT/T-97/13, NIKHEF 97-043, VUTH 97-18","hep-ph",,"  Estimates for leading and non-leading `twist' distribution functions are
obtained within the framework of a diquark spectator model using a non-local
operator representation.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 10:37:27 GMT""}]","2007-05-23"
"hep-ph/9710498","Piet Mulders","P.J. Mulders","Intrinsic transverse momentum in hard processes","11 pages with 11 figures, LaTex, uses a4.sty and epsfig.sty. Invited
  talk at the Symposium ""Deep inelastic scattering off polarized targets:
  theory meets experiment"", Sep. 1-5, 1997, Zeuthen",,,"NIKHEF 97-044, VUTH 97-19","hep-ph",,"  In this contribution I discuss transverse momentum dependent quark
distributions and their operator structure. Some of the experimental
signatures, in particular in Drell-Yan scattering, are given.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 10:51:27 GMT""}]","2007-05-23"
"hep-ph/9710499","Thomas Gehrmann","S.P.Baranov (Lebedev Institute, Moscov), M.G.Ryskin (PNPI,
  St.Petersburg), T.Gehrmann (DESY)","Vector Meson Production at a Polarized HERA Collider","8 pages, LaTeX, 6 figures included, Contribution to the Proceedings
  of the ""Workshop on Physics with Polarized Protons at HERA"", DESY,
  March-September 1997",,,,"hep-ph",,"  A successful interpretation of the cross sections for elastic and inelastic
vector meson production can be made if one assumes the underlying dynamics to
be governed by hard partonic subprocesses. Extending these partonic approaches
to longitudinally polarized electron-proton collisions, we estimate the
expected production asymmetries at the HERA collider. The anticipated
statistical errors on these asymmetries mostly turn out to be larger than the
asymmetries themselves, such that an experimental observation of these
asymmetries at HERA looks not feasible.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 11:19:43 GMT""}]","2007-05-23"
"hep-ph/9710500","Carlo Ewerz","J. Bartels, A. De Roeck, C. Ewerz, H. Lotter","The gamma* gamma* Total Cross Section and the BFKL Pomeron at the 500
  GeV e+e- Collider","11 pages, Latex, 4 figures included using epsfig; to appear in
  ""ECFA/DESY Study on Physics and Detectors for a Linear Collider"", ed. R.
  Settles, DESY 97-123E (to be published)",,,,"hep-ph",,"  We present a numerical estimate of the $\gamma^* \gamma^*$ total cross
section at the designed 500 GeV $e^+e^-$ Linear Collider, based upon the BFKL
Pomeron. We find that the event rate is substantial provided electrons
scattered under small angles can be detected, and a measurement of this cross
section provides an excellent test of the BFKL Pomeron.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 11:20:41 GMT""}]","2007-05-23"
"hep-ph/9710501","Thomas Gehrmann","T.Gehrmann (DESY)","QCD Corrections to the Polarized Drell-Yan Process","7 pages, LaTeX, 3 figures included, Invited Talk given at the
  Workshop ""Deep Inelastic Scattering off Polarized Targets: Theory meets
  Experiment"", Zeuthen, September 1997",,,,"hep-ph",,"  The results of a recent calculation of the QCD corrections to the
longitudinally polarized Drell-Yan process are summarized. In addition to the
parity conserving double spin asymmetry which is already accessible in the
Drell-Yan production of lepton pairs at fixed target energies, we consider
parity violating single spin asymmetries appearing only in the production of
massive vector bosons at polarized hadron colliders. The prospects for
extracting polarized quark distributions from asymmetries in vector boson
production at RHIC are briefly discussed.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 11:33:35 GMT""}]","2007-05-23"
"hep-ph/9710502","Chris Michael","Chris Michael","Hadron Spectroscopy from the Lattice","to appear in Proceedings of HADRON97, BNL, August 1997, edited S.-U.
  Chung, AIP press; 12 pages, Latex, uses aipproc.sty, 5 postscript figures","AIPConf.Proc.432:657-668,1998","10.1063/1.55976","LTH 415","hep-ph hep-lat",,"  Lattice QCD determinations appropriate to hadron spectroscopy are reviewed
with emphasis on the glueball and hybrid meson states in the quenched
approximation. Hybrids are discussed for heavy and for light quarks. The
effects of sea quarks (unquenching) are explored. Heavy-light systems are
presented - particularly excited B mesons.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 12:03:01 GMT""}]","2009-10-30"
"hep-ph/9710503","Nicolas Pott","N. Pott (Technical University Munich)","Anomalous dimensions of four-quark operators in the large N_f limit","17 pages, LaTex, two figures",,,"TUM-HEP-298/97","hep-ph",,"  The anomalous dimensions of four-quark operators $(\bar q_i q_j)_{V-A} (\bar
q_k q_l)_{V-A}$ are calculated in the large $N_f$ limit. As expected, the
result is a convergent series without renormalon ambiguities. Using the
approximation of ""Naive Nonabelianization"", an additional all-order
contribution to the anomalous dimension matrix is obtained which is somewhat
larger than the exact NLO correction itself. Possible phenomenological
applications in nonleptonic B decays and $B^0 - \bar B^0$ mixing are briefly
considered.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 14:03:38 GMT""}]","2007-05-23"
"hep-ph/9710504","V. O. Galkin","D. Ebert, R.N. Faustov, V.O. Galkin","Relativistic quark model approach to weak hadronic decays of B mesons","5 pages, LaTeX, talk given at the IV International Workshop on
  Progress in Heavy Quark Physics,Rostock, 20-22 September 1997",,,"HUB-EP-97/82","hep-ph",,"  The energetic exclusive two-body nonleptonic decays of B mesons are
investigated in the framework of the relativistic quark model within the
factorization approximation.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 14:12:38 GMT""}]","2007-05-23"
"hep-ph/9710505","Christoph Burgard","M. Anselmino, M. Bertini, C. Burgard, F. Caruso, P. Quintairos","Quark fragmentation into vector and pseudoscalar mesons at LEP","5 pages, no figures","Phys.Lett. B427 (1998) 356-360","10.1016/S0370-2693(98)00351-7","CERN-PPE/97-136","hep-ph",,"  Some data on the ratio of vector to vector + pseudoscalar mesons, V/(V+P),
and the probability of helicity zero vector states, rho_00, are now available
from LEP. A possible relation between these two quantities and their
interpretation in terms of polarized fragmentation functions are discussed;
numerical estimates are given for the relative occupancies of K and K*, D and
D*, B and B* states.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 14:39:48 GMT""}]","2021-10-19"
"hep-ph/9710506","Gerhard Schuler","Gerhard A. Schuler (CERN)","Two-photon physics with GALUGA 2.0","Latex, 32 pages, 7 figures, uses 12pt.sty, epsfig.sty, amsbsy.sty","Comput.Phys.Commun. 108 (1998) 279-303","10.1016/S0010-4655(97)00127-6","CERN-TH/97-265","hep-ph",,"  An extended version of the Monte Carlo program GALUGA is presented for the
computation of two-photon production in $\e^+\e^-$ collisions. Functions
implemented for the five $\gamma^\star\gamma^\star$ structure functions now
include several ans\""atze of the total hadronic cross section based on the
BFKL--Pomeron and various Regge-like models. In addition, structure functions
for resonance formation are included with full dependence on the two photon
virtualities $Q_1^2$ and $Q_2^2$ as given in the constituent-quark model. The
six lowest-lying resonances of each of the C-even mesons with $J^{P}= 0^-$,
$0^+$, $1^+$, $2^+$ and $2^-$ are provided. The program can also be used to
calculate with exact kinematics the effective two-photon luminosity function.
Special emphasis is put on a numerically stable evaluation of all variables
over the full $Q_i^2$ range while keeping all dependences on the electron mass
and $Q_i^2$.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 14:51:41 GMT""}]","2009-10-30"
"hep-ph/9710507","Dietmar Ebert","D.Ebert (Humboldt-University, Berlin)","Hadronization in Particle Physics","7 pages, LaTeX, uses lamuphys.sty, 2 LaTeX figures, talk given at the
  Workshop ""Field Theoretical Tools in Polymer and Particle Physics"",
  University Wuppertal, June 17-19, 1997",,"10.1007/BFb0106880","HUB-EP-97/80","hep-ph",,"  The method of path integral hadronization is applied to a local quark-diquark
toy model in order to derive an effective chiral meson-baryon Lagrangian.
Further generalizations to models including both scalar and axial-vector
diquarks as well as nonlocal interactions are discussed.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 15:07:44 GMT""}]","2009-10-30"
"hep-ph/9710508","Thomas Gehrmann","T.Gehrmann (DESY)","QCD Corrections to Double and Single Spin Asymmetries in Vector Boson
  Production at Polarized Hadron Colliders","17 pages, LaTeX, 4 figures included","Nucl.Phys. B534 (1998) 21-39","10.1016/S0550-3213(98)00541-0","DESY-97-205","hep-ph",,"  The production of $W^{\pm}$ and $Z^0$ bosons in collisions of longitudinally
polarized protons allows to access various combinations of the polarized quark
distributions from the study of double and single spin asymmetries. We compute
the ${\cal O}(\alpha_s)$ corrections to these asymmetries as function of the
vector boson rapidity $y$ in the hadron-hadron centre-of-mass frame. Detailed
studies of the numerical impact of the next-to-leading order corrections are
presented. The theoretical uncertainties of an extraction of polarized quark
distributions from future vector boson production data are investigated in
detail.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 15:18:35 GMT""}]","2009-10-30"
"hep-ph/9710509","Mohammad Ahmady","M. R. Ahmady (RIKEN), E. Kou and A. Sugamoto (Ochanomizu University)","Non-spectator contribution: A mechanism for inclusive B-> X_s eta' and
  exclusive B-> K(*) eta' decays","13 pages, LaTex, 2 figures (included)","Phys.Rev. D58 (1998) 014015","10.1103/PhysRevD.58.014015","RIKEN-AF-NP-274, OCHA-PP-105","hep-ph",,"  We propose a mechanism which can explain the large BR(B-> X_s eta')~ 10^(-3)
observed by CLEO. In this mechanism, eta' is produced by the fusion of two
gluons, one from QCD penguin b->sg and the other one emitted by the light quark
inside the B meson. The inclusive decay rate which is calculated via using the
factorization assumption, can easily account for the observed branching ratio.
We also estimate the exclusive branching ratio BR(B->K eta')=7.0X10^(-5) which
is in good agreement with the experimental data and present our prediction for
K* mode BR(B->K* eta')=3.4X10^(-5).
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 15:24:32 GMT""}]","2009-10-30"
"hep-th/9710192","Rey Soojong","N. Kim and Soo-Jong Rey","Non-Orientable M(atrix) Theory","Latex, 22 pages, no figure",,,"SNUTP 97-140","hep-th",,"  M(atrix) theory description is investigated for M-theory compactified on
non-orientable manifolds. Relevant M(atrix) theory is obtained by Fourier
transformation in a way consistent with T-duality. For nine-dimensional
compactification on Klein bottle and M\""obius strip, we show that M(atrix)
theory is (2+1)-dimensional ${\cal N} = 8$ supersymmetric U(N) gauge theory
defined on dual Klein bottle and dual Moebius strip parameter space
respectively. The latter requires a twisted sector consisting of sixteen chiral
fermions localized parallel to the boundary of dual Moebius strip and defines
Narain moduli space of Chaudhuri-Hockney-Lykken heterotic string. For
six-dimensional CHL compactification on S1/Z2*T4 we show that low-energy
dynamics of M(atrix) theory is described by (5+1)-dimensional ${\cal N} = 8$
supersymmetric U(N)$\times$U(N) gauge theory defined on dual orbifold parameter
space of S1*K3/Z2. Spacetime spectrum is deduced from BPS gauge field
configurations consistent with respective involutions and is shown to agree
with results from M-theory analysis.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 23:58:39 GMT""},{""version"":""v2"",""created"":""Tue, 28 Oct 1997 04:17:46 GMT""}]","2007-05-23"
"hep-th/9710199",,"Clovis Wotzasek","Destructive Interference of Dualities","11 pages, Latex, new abstract and introduction clarify role of some
  references and put them in their proper chronological order. Final version to
  appear in Phys. Rev. D","Phys.Rev. D57 (1998) 4990-4994","10.1103/PhysRevD.57.4990",,"hep-th",,"  The soldering mechanism has been shown to represent the quantum interference
effect between self and anti-self dual aspects of a given symmetry. This
mechanism was used to show that the massive mode of the 2D Schwinger model
results from the constructive interference between the right and the left
massless modes of chiral Schwinger models. Similarly, the topologically massive
modes resulting from the bosonization of 3D massive Thirring models of opposite
mass signatures, are fused into the two massive modes of the 3D Proca model,
thanks to the interference of dualities characteristic of the soldering
mechanism. In this work, we show that the field theoretical analog of
destructive quantum mechanical interference may also be represented by the
soldering mechanism. This phenomenon is illustrated by the fusion of two
(diffeomorphism) invariant self-dual scalars described by right and left
chiral-WZW actions, producing a Hull non-mover field. After fusion, right and
left moving modes disappear from the spectrum, displaying the claimed
(destructive) interference of dualities.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 22:40:10 GMT""},{""version"":""v2"",""created"":""Mon, 10 Nov 1997 19:28:26 GMT""},{""version"":""v3"",""created"":""Mon, 19 Jan 1998 14:34:14 GMT""}]","2009-10-30"
