"alg-geom/9710016","Gerard van der Geer","Gerard van der Geer and Marcel van der Vlugt","Generalized Reed-Muller codes and curves with many points","Plain Tex, 11 pages",,,,"alg-geom math.AG",,"  The weight hierarchy of generalized Reed-Muller codes over arbitrary finite
fields was determined by Heijnen and Pellikaan. In this paper we produce curves
over finite fields with many points which are closely related to this weight
hierarchy.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 13:09:44 GMT""}]","2007-05-23"
"hep-lat/9710051","Tom Blum","T. Blum and A. Soni Brookhaven National Lab","Lattice QCD with domain wall quarks and applications to weak matrix
  elements","Contribution to Lattice '97. 3 pages, 2 epsf figures","Nucl.Phys.Proc.Suppl. 63 (1998) 287-289","10.1016/S0920-5632(97)00748-2",,"hep-lat",,"  Using domain wall fermions, we estimate $B_K(\mu\approx 2 GeV)=0.628(47)$ in
quenched QCD which is consistent with previous calculations. At $\gbeta=6.0$
and 5.85 we find the ratio $f_K/m_\rho$ in agreement with the experimental
value, within errors. These results support expectations that $O(a)$ errors are
exponentially suppressed in low energy ($E\ll a^{-1}$) observables, and
indicate that domain wall fermions have good scaling behavior at relatively
strong couplings. We also demonstrate that the axial current numerically
satisfies the lattice analog of the usual continuum axial Ward identity.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 15:08:26 GMT""}]","2009-10-30"
"hep-lat/9710052","Harald Oelrich","M. Goeckeler, R. Horsley, H. Oelrich, H. Perlt, P. E. L. Rakow, G.
  Schierholz and A. Schiller","Lattice Renormalization of Quark Operators","3 pages, Latex, 6 figures. epsf.sty and espcrc2.sty needed. Talk
  given at Lattice97","Nucl.Phys.Proc.Suppl.63:868-870,1998","10.1016/S0920-5632(97)00924-9","DESY 97-203, HUB-EP-97/72","hep-lat",,"  We have technically improved the non-perturbative renormalization method,
proposed by Martinelli et al., by using quark momentum sources and sinks.
Composite two-fermion operators up to three derivatives have been measured for
Wilson fermions and Sheikholeslami-Wohlert improved fermions in the quenched
approximation. The calculations are performed in the Landau gauge on 16^3x32
lattices at beta = 6.0 for 3 kappa values in each case. The improved sources
greatly decrease the statistical noise. We extract and discuss here
renormalization factors for local operators and moments of the structure
functions for Wilson fermions.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 15:10:07 GMT""}]","2008-11-26"
"hep-lat/9710053","Claudio Parrinello","B. Alles, H. Panagopoulos, C. Parrinello, C. Pittori and D. G.
  Richards","Status of alpha_s determinations from the non-perturbatively
  renormalised three-gluon vertex","3 pages, LaTeX, 2 PostScript pictures and style file included. To
  appear in the proceedings of LAT97","Nucl.Phys.Proc.Suppl. 63 (1998) 245-247","10.1016/S0920-5632(97)00734-2","IFUM 586/FT (Milan), 97/25 (Edinburgh), LTH 413 (Liverpool)","hep-lat hep-ph",,"  We demonstrate the feasibility of computing alpha_s from the lattice
three-gluon vertex in the Landau gauge. Data from 16^4 and 24^4 quenched
lattices at beta=6.0 are presented. Our main result is that 2-loop asymptotic
scaling is observed for momenta in the range 1.8-2.3 Gev, where lattice
artifacts appear to be under control.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 15:22:35 GMT""}]","2009-10-30"
"hep-ph/9710321","Tashiro","T. Tashiro, H. Noda, S. Nakariki, K. Ishii and K. Kinoshita","Charmed Hadron Production in \pi p and Kp Collisions and Leading
  Particle Effect by Constituent Quark-Diquark Cascade Model","11 pages, Latex, 9 figures in ps, submitted to Zeitschrift fur Phys.
  C","Eur.Phys.J.C2:733-740,1998","10.1007/s100520050177",,"hep-ph",,"  We investigate the meson, baryon and anti-baryon productions in \pi p and Kp
collisions in terms of a constituent cascade model which includes charm
flavour. The constituent diquark in an incident baryon has a tendency to get a
large momentum fraction, resulting in considerable difference of subenergies
for particle productions from quark-diquark and quark-antiquark chains in a
meson-baryon collision. As a consequence, the leading particle effects on D
meson productions are expected to be quite different in \pi+ and \pi- beams at
present accelerator energies.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 04:40:13 GMT""},{""version"":""v2"",""created"":""Tue, 14 Oct 1997 01:01:03 GMT""}]","2011-09-13"
"hep-ph/9710322","Oleg Kalashnikov","O.K. Kalashnikov","Collective Excitations of Massive Dirac Particles in Hot and Dense
  Medium","7 pages, latex, no figures","JETP Lett. 67 (1998) 1-7","10.1134/1.567619",,"hep-ph",,"  The one-loop dispersion equation which defines the collective excitations of
the massive Dirac particles in hot and dense quark-gluon medium is obtained in
the high temperature limit for the case $m<<T$ and solved explicitly for all
$|\q|$ when $\mu=0$. Four well-separated spectrum branches (quasi-particle and
quasi-hole excitations) are found and their behaviors for the small and large
$|\q|$ are investigated. All calculations are performed using the temperature
Green function technique and fixing the Feynman gauge. The gauge dependency of
the spectra found are briefly discussed.
","[{""version"":""v1"",""created"":""Sun, 12 Oct 1997 17:16:32 GMT""}]","2016-09-06"
"hep-ph/9710323",,"C.Q. Geng, C.C. Lih, and Wei-Min Zhang","Radiative Leptonic B Decays in the Light Front Model","13 pages, 5 Figures, LaTex file","Phys.Rev. D57 (1998) 5697-5702","10.1103/PhysRevD.57.5697",,"hep-ph",,"  Within the light front framework, we calculate the form factors for
$B\to\gamma$ transitions directly in the entire physical range of momentum
transfer. Using these form factors, we study the radiative decays of $B\to
l\nu_l\gamma$ and $B_{s(d)}\to\nu\bar{\nu}\gamma$. We show that the decay rates
of $B\to l\nu_l\gamma (l=e,\mu)$ and $B\to\nu\bar{\nu}\gamma$ are larger than
that of the corresponding purely leptonic modes. Explicitly, in the standard
model, we find that the branching ratios of $B\to \mu\nu_{\mu}\gamma$ and
$B_s\to\nu\bar{\nu}\gamma$ are $3.7\times 10^{-6}$ and $5.0\times 10^{-8}$, in
contrast with $3\times 10^{-7}$ and 0 for $B\to\mu\nu_{\mu}$ and
$B\to\nu\bar{\nu}$, respectively.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 02:04:24 GMT""}]","2009-10-30"
"hep-ph/9710324","Howard Georgi","Dean Lee and Howard Georgi (Harvard University)","Sum-rule for large-$N_c$ QCD and application to heavy quarkonia","14 pages, Latex, Pictex --- revised version corrects minor typos in
  formulas and includes minor changes in exposition","Phys.Lett.B426:367-374,1998","10.1016/S0370-2693(98)00287-1","HUTP-97/A057","hep-ph",,"  We introduce a new sum-rule for large-$N_c$ QCD which relates the density of
heavy quarkonium states, the state-averaged square of the wavefunction at the
origin, and the heavy quark current-current correlator. Focusing on the region
of energy just above perturbative threshold, we calculate the correlator by
incorporating arbitrarily high orders in the QCD coupling $\alpha_s$. We use
the sum-rule to determine the bottomonium potential using experimentally
measured s-wave leptonic widths and compare the result with the potential
obtained by direct calculation from the measured s-wave spectrum. We discuss
the utility of the sum-rule method for accurate determination of the confining
potential.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 03:36:49 GMT""},{""version"":""v2"",""created"":""Mon, 3 Nov 1997 17:02:52 GMT""}]","2009-09-11"
"hep-ph/9710325","Deb Sankar","Debsankar Mukhopadhyay, WA98 Collaboration (Variable Energy Cyclotron
  Centre, Calcutta, INDIA)","Experimental search for DCCs using Robust Observables","5 Pages, Talk presented at the 3rd International Conference on
  Physics and Astrophysics of Quark-Gluon Plasma, March 17-21, Jaipur, India",,,"VECC - NEX / 97003","hep-ph",,"  We have analyzed the joint charged particle to photon density correlations in
WA98 experiment at CERN-SPS in order to study the formation of the chirally
disoriented vacuum in Pb + Pb collisions at 158 AGeV. The method of analysis is
based on the event-by-event estimation of a set of robust observables which are
the ratios of normalized bivariate factorial moments corrected for many
efficiency factors. This is found to be a very powerful technique in
identifying, within the limits of the detector resolution, the events with the
localized charged particle to photon density fluctuations.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 06:31:58 GMT""}]","2007-05-23"
"hep-ph/9710326","Ellwanger","Ulrich Ellwanger","Confinement, Monopoles and Wilsonian Effective Action","25 pages, LaTex, 2 figures","Nucl.Phys. B531 (1998) 593-612","10.1016/S0550-3213(98)00542-2","LPTHE Orsay 97-44","hep-ph hep-th",,"  An effective low energy action for Yang-Mills theories is proposed, which
invokes an additional auxiliary field $H_{\mu \nu}$ for the field strength
$F_{\mu \nu}$. For a particular relation between the parameters of this action
a gluon propagator with a $1/p^4$ behaviour for $p^2 \to 0$ in the Landau gauge
is obtained. The abelian subsector of this action admits a duality
transformation, where the dual action contains a Goldstone boson $\varphi$ as
the dual of $H_{\mu \nu}$, and corresponds to an abelian Higgs model in the
broken phase describing the condensation of magnetic charges. The Wilsonian
renormalization group equations for the parameters of the original action are
integrated in some approximation, and we find that the relation among the
parameters associated with confinement appears as an infrared attractive fixed
point.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 07:02:32 GMT""}]","2009-10-30"
"hep-ph/9710327","Hubert Spiesberger","R. Rueckl, H. Spiesberger","Theoretical Interpretations of the HERA High-Q2 Events","14 pages, Latex, 5 postscript figures included. Talk presented by R.
  Rueckl at the Ringberg Workshop 'New Trends in HERA Physics', May 25-30,
  1997, Tegernsee, Germany",,,"BI-TP 97/40, MPI-PhT/97-63, WUE-ITP-97-040","hep-ph",,"  Theoretical interpretations of the high-Q^2 events recently observed in
deep-inelastic positron-proton scattering at HERA are reviewed. We discuss
leptoquarks, squarks with R-parity violating couplings, and contact
interactions. Bounds from and implications on other experiments are taken into
consideration.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 11:58:31 GMT""}]","2007-05-23"
"hep-ph/9710328","Parida Mina K.","M.K.Parida(Phys.Dept.,NEHU,Shillong,India) and N.Nimai
  Singh(Phys.Dept.,Gauhati Univ.,India)","Low-energy formulas for neutrino masses with $\tan \beta$-dependent
  hierarchy","10 pages,REVTEX, no figures,typographical errors rectified","Phys.Rev.D59:032002,1999","10.1103/PhysRevD.59.032002",,"hep-ph",,"  Using radiative correction and seesaw mechanism,we derive analytic formulas
for neutrino masses in SUSY unified theories exhibiting, for the first time, a
new hierarchial relation among them.The new hierarchy is found to be quite
significant especially for smaller values of $\tan\beta$.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 13:42:30 GMT""},{""version"":""v2"",""created"":""Tue, 21 Oct 1997 17:44:11 GMT""},{""version"":""v3"",""created"":""Sun, 9 Nov 1997 09:18:59 GMT""}]","2009-08-25"
"hep-ph/9710329",,"Antonio Riotto","D-Term Inflation: The Good, the Bad and the Ugly","6 pages, LaTeX file, uses sprocl.sty. Based on the invited plenary
  talk given at the COSMO97 Conference, Ambleside, England, September 15-19
  1997 and on the talk given at the Phenomenological Aspects of Superstring
  Theories (PAST97) Conference, ICTP Trieste, Italy, October 2-4 1997. To
  appear in the Proceedings",,"10.1142/9789814447263_0037","OUTP-97-55-P","hep-ph astro-ph",,"  An inflationary stage dominated by a D-term avoids the slow-roll problem of
inflation in supergravity and can naturally emerge in theories with a
non-anomalous or anomalous U(1) gauge symmetry. In this talk different aspects
of D-term inflation are discussed.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 13:44:46 GMT""}]","2016-10-26"
"hep-ph/9710330","Anselmino Mauro","Mauro Anselmino (University of Torino)","Single spin asymmetries in $\ell p^\uparrow \to hX$ and $e^-e^+ \to
  q\bar q \to h^\uparrow X$","13 pages, no figure; talk delivered at the Workshop on ""Deep
  Inelastic Scattering off Polarized Targets: Theory Meets Experiment"",
  DESY-Zeuthen, August 31 - September 5, 1997",,,"DFTT/63/97","hep-ph",,"  Spin observables may reveal much deeper properties of non perturbative
hadronic physics than unpolarized quantities. We discuss here possible origins
of single spin asymmetries in DIS, absent in the elementary lepton-quark
interactions, and suggest strategies to isolate and understand some non
perturbative spin dependence of distribution and fragmentation functions. We
also discuss the polarization of hadrons produced in $e^+e^-$ annihilation at
LEP and show how final state $\qq$ interactions may give origin to non zero
values of the off-diagonal element $\rho_{1,-1}$ of the helicity density matrix
of vector mesons: some predictions are given for $K^{*0}, \phi$ and $D^*$ in
agreement with recent OPAL data. Possible analogous effects in DIS and other
processes are suggested.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 14:13:59 GMT""}]","2016-09-06"
"hep-ph/9710331","Robert Fleischer","Robert Fleischer (CERN)","Towards Extractions of the CKM Angle $\gamma$ from $B_{u,d}\to\pi K$ and
  Untagged $B_s\to K\bar{K}$ Decays","34 pages, LaTeX, 12 figures, extended version including a detailed
  discussion of rescattering and electroweak penguin effects","Phys.Rev.D58:093001,1998","10.1103/PhysRevD.58.093001","CERN-TH/97-281","hep-ph",,"  The decays $B_d\to\pi^\mp K^\pm$ and $B^\pm\to\pi^\pm K$ provide interesting
constraints on the angle $\gamma$ of the unitarity triangle of the CKM matrix.
It is shown that bounds on $\gamma$ can also be obtained from the time
evolution of untagged $B_s\to K^+K^-$ and $B_s\to K^0\bar{K^0}$ decays,
provided the $B_s$ system exhibits a sizeable width difference
$\Delta\Gamma_s$. A detailed discussion of rescattering processes and
electroweak penguin effects, which limit the theoretical accuracy of these
constraints, and of methods to control them through experimental data is given.
Moreover, strategies are pointed out to go beyond these bounds by relating the
$B_{u,d}\to\pi K$ and untagged $B_s\to K\bar{K}$ decays through the SU(3)
flavour symmetry of strong interactions. If a tagged, time-dependent
measurement of the $B_s\to K^+K^-$ and $B_s\to K^0\bar{K^0}$ modes should
become possible, $\gamma$ could be determined from the corresponding
observables in a way that makes use of only the SU(2) isospin symmetry and
takes into account rescattering effects ``automatically''. The impact of
new-physics contributions to $B^0_s - \bar{B^0_s}$ mixing is also analysed, and
interesting features arising in such a scenario of physics beyond the Standard
Model are pointed out.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 14:17:36 GMT""},{""version"":""v2"",""created"":""Wed, 29 Apr 1998 13:39:07 GMT""}]","2014-11-17"
"hep-ph/9710332","Arthur Lue","Arthur Lue (Columbia U.)","Quantum Effects on Higgs Winding Configurations","6 pages REVTEX, no figures. To be published in the proceedings of A
  CRM-Fields-CAP Summer Workshop in Theoretical Physics: Solitons, Properties,
  Dynamics, Interactions and Applications, Kingston, Ontario, Canada, 20-26 Jul
  1997",,,"CU-TP-865","hep-ph",,"  We examine the quantum corrections to the static energy for Higgs winding
configurations. We evaluate the effective action for such configurations in
Weinberg-Salam theory without U(1)-gauge fields or fermions. For a
configuration whose size is much smaller than the inverse W-mass, quantum
contributions to the energy are comparable to the classical energy. Moreover,
it is insufficient to consider only one-loop corrections, even as hbar --> 0.
Indeed, all loop orders contribute equally to the static energy. Nevertheless,
quantum fluctuations do not stabilize winding configurations.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 14:29:56 GMT""}]","2007-05-23"
"hep-ph/9710334","Markus Ringner","Bo Andersson and Markus Ringner (Lund University)","Transverse and Longitudinal Bose-Einstein Correlations","8 pages","Phys.Lett. B421 (1998) 283-288","10.1016/S0370-2693(97)01593-1","LU TP 97-28","hep-ph",,"  We show how a difference in the correlation length longitudinally and
transversely, with respect to the jet axis in e+e- annihilation, arises
naturally in a model for Bose-Einstein correlations based on the Lund string
model. In genuine three-particle correlations the difference is even more
apparent and they provide therefore a good probe for the longitudinal
stretching of the string field. The correlation length between pion pairs is
found to be rather independent of the pion multiplicity and the kaon content of
the final state.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 15:55:40 GMT""}]","2009-10-30"
"hep-th/9710098",,"Christophe Fraser and David Tong","Instantons, Three Dimensional Gauge Theories and Monopole Moduli Spaces","26 pages, Latex, 1 eps. file. Asymptotic metric on monopole moduli
  space rewritten. Typos corrected","Phys. Rev. D 58, 085001 (1998)","10.1103/PhysRevD.58.085001",,"hep-th",,"  We calculate instanton corrections to three dimensional gauge theories with
N=4 and N=8 supersymmetry and SU(n) gauge groups. The N=4 results give new
information about the moduli space of n BPS SU(2) monopoles, including the
leading order non-pairwise interaction terms. A few comments are made on the
relationship of the N=8 results to membrane scattering in matrix theory.
","[{""version"":""v1"",""created"":""Sun, 12 Oct 1997 18:57:50 GMT""},{""version"":""v2"",""created"":""Fri, 12 Dec 1997 17:22:00 GMT""}]","2016-08-25"
"hep-th/9710100","Petr Lavrov","P.M. Lavrov and P.Yu. Moshin","Quantization of Two-Dimensional Gravity with Dynamical Torsion","12 pages, LaTeX","Class.Quant.Grav.16:2247-2258,1999","10.1088/0264-9381/16/7/307",,"hep-th",,"  We consider two-dimensional gravity with dynamical torsion in the Batalin -
Vilkovisky and Batalin - Lavrov - Tyutin formalisms of gauge theories
quantization as well as in the background field method.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 07:04:11 GMT""}]","2014-11-18"
"hep-th/9710101","Vladimir Nesterenko","I. H. Brevik, V. V. Nesterenko, and I. G. Pirozhenko","Direct mode summation for the Casimir energy of a solid ball","REVTeX, 7 pages, no figures and tables, treatment of a dilute
  dielectric ball is revised, new references are added","J.Phys.A31:8661-8668,1998","10.1088/0305-4470/31/43/009","JINR E2-97-307","hep-th",,"  The Casimir energy of a solid ball placed in an infinite medium is calculated
by a direct frequency summation using the contour integration. It is assumed
that the permittivity and permeability of the ball and medium satisfy the
condition $\epsilon_1 \mu_1=\epsilon_2\mu_2$. Upon deriving the general
expression for the Casimir energy, a dilute compact ball is considered
$(\epsilon_1 -\epsilon_2)^2/(\epsilon_1+\epsilon_2)^2\ll 1$. In this case the
calculations are carried out which are of the first order in $\xi ^2$ and take
account of the five terms in the Debye expansion of the Bessel functions
involved. The implication of the obtained results to the attempts of explaining
the sonoluminescence via the Casimir effect is shortly discussed.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 13:32:22 GMT""},{""version"":""v2"",""created"":""Mon, 27 Apr 1998 14:07:17 GMT""}]","2008-11-26"
"hep-th/9710102","Constantin Bachas","C. Bachas (Ecole Polytechnique)","Heterotic versus Type I","7 pages, Latex, one figure, uses espcrc2.sty, Talk at STRINGS'97
  (Amsterdam, June 16-21) and HEP-97 (Jerusalem, August 19-26). A misprint in
  an equation was corrected","Nucl.Phys.Proc.Suppl. 68 (1998) 348-354","10.1016/S0920-5632(98)00169-8",,"hep-th",,"  I compare the calculations of special $F^4$ and $R^4$ terms in the
(toroidally-compactified) heterotic and type-I effective actions. Besides
checking duality, this elucidates the quantitative rules of D-brane calculus. I
explain in particular (a) why D-branes do not run in loops, and (b) how their
instanton contributions arise from orbifold fixed points of their moduli space.
The instanton sum has a simple representation as a sum of the elliptic genera
of matrix models.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 13:57:50 GMT""},{""version"":""v2"",""created"":""Tue, 21 Oct 1997 14:12:43 GMT""}]","2009-10-30"
"math/9710219","Petr E. Pushkar","Petr E. Pushkar (Moscow State University)","Generalization of the Chekanov theorem: diameters of immersed manifolds
  and wave fronts",,,,"FI-ST1997-011","math.DG",,"  The Chekanov theorem generalizes the classic Lyusternik-Shnirel'man and Morse
theorems concerning critical points of a smooth function on a closed manifold.
A Legendrian submanifold \Lambda of space of 1-jets of the functions on a
manifold M defines a multi-valued function whose graph is the projection of
\Lambda in J^0 M = M x R. The Chekanov theorem asserts that if \Lambda is
homotopic to the 1-jet of a smooth function in the class of embedded Legendrian
manifolds, then such a graph of a multi-valued function must have a lot of
points (their number is determined by the topology of M) at which the tangent
plane to the graph is parallel to M \times 0.
  In the present paper a similar estimate is proved for a wider class of
Legendrian manifolds. We consider Legendrian manifolds homotopic (in the class
of embedded Legendrian manifolds) to Legendrian manifolds specified by
generating families.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 00:00:00 GMT""}]","2016-09-07"
"math/9710223","Marcin Mazur","Marcin Mazur","Remarks on normal bases",,,,"ANT-0081","math.NT",,"  We prove that any Galois extension of commutative rings with normal basis and
abelian Galois group of odd order has a self dual normal basis. Also we show
that if S/R is an unramified extension of number rings with Galois group of odd
order and $R$ is totally real then the normal basis does not exist for S/R.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 00:00:00 GMT""}]","2007-05-23"
"nucl-th/9710028","Makito Oi","Makito Oi, Naoki Onishi, Naoki Tajima and Takatoshi Horibata","Signature and Angular Momentum in 3d-Cranked HFB states","10 pages, 2 figures","Phys.Lett. B418 (1998) 1-6","10.1016/S0370-2693(97)01451-2",,"nucl-th",,"  In terms of the exaxt angular momentum projection, properties of the three
dimensional cranked HFB (3d-CHFB) states are analyzed quantitatively in the
context of the relation between the signature of an intrinsic symmetry and the
parity of angular momentum, (-1)^I. We found that the tilted states have
favorable features to describe states involved with high-K quantum number
and/or odd total angular momentum. This implies that 3d-CHFB can describe
properly the backbending phenomena like a ""t-band and g-band"" crossing, which
is suggested in N=106 isotopes.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 08:27:13 GMT""}]","2009-10-30"
"nucl-th/9710029","Gaston Krein","D. Drechsel, G. Krein and O. Hanstein","Dispersion relations and the spin polarizabilities of the nucleon","14 pages Latex, 1 ps figure","Phys.Lett. B420 (1998) 248-254","10.1016/S0370-2693(97)01536-0","MKPH-T-97-30","nucl-th",,"  A forward dispersion calculation is implemented for the spin polarizabilities
$\gamma_1, ... ,\gamma_4$ of the proton and the neutron. These polarizabilities
are related to the spin structure of the nucleon at low energies and are
structure-constants of the Compton scattering amplitude at ${\cal
O}(\omega^3)$. In the absence of a direct experimental measurement of these
quantities, a dispersion calculation serves the purpose of constraining the
model building, and of comparing with recent calculations in heavy baryon
chiral perturbation theory.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 13:17:54 GMT""}]","2009-10-30"
"nucl-th/9710030","Guy Chanfray","G. Chanfray, P. Schuck","Influence of pion-delta-hole configuration on the rho meson mass
  spectrum in dense hadronic matter","5 pages and 3 figures, Latex","Phys.Rev.C57:1522-1524,1998","10.1103/PhysRevC.57.1522",,"nucl-th",,"  We discuss medium modification of the rho meson originating from its coupling
to in medium quasi-pions and delta-hole states. This medium effect leads to a
marked structure of the rho meson strength function in the $500 MeV$ invariant
mass region. We suggest that this effect may provide an explanation of the
structure observed by the DLS collaboration in the $Ca+Ca/C+C$ ratio at $1
GeV/u$.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 09:10:30 GMT""}]","2008-11-26"
"nucl-th/9710031","Rashid Nazmitdinov","R.G. Nazmitdinov and W.D. Heiss","Shell Effects in Mesoscopic Systems","9 pages, latex Invited talk at the International Conference ""Nuclear
  Structure and Related Topics"", Dubna, Russia, September 9-14, 1997",,,,"nucl-th cond-mat",,"  The main aim of the results presented here is to demonstrate and analyse the
importance of shell effects in nuclei, metallic clusters and quantum dots.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 12:46:33 GMT""}]","2007-05-23"
"quant-ph/9710033","Wolfgang Luecke","W. Luecke","Gisin Nonlocality of the Doebner-Goldin 2-Particle Equation","7 pages, LaTeX, minor corrections and additions",,,"ASI-TPA/14/97","quant-ph",,"  Gisin's argument against deterministic nonlinear Schroedinger equations is
shown to be valid for every (formally) nonlinearizable case of the general
Doebner-Goldin 2-particle equation in the following form:
  The time-dependence of the position probability distribution of a particle
`behind the moon' may be instantaneously changed by an arbitrarily small
instantaneous change of the potential `inside the laboratory'.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 07:41:00 GMT""},{""version"":""v2"",""created"":""Tue, 2 Dec 1997 10:32:05 GMT""}]","2007-05-23"
"quant-ph/9710034","Giovanna Morigi","G. Morigi, J.I. Cirac, K. Ellinger and P. Zoller","Laser cooling of single trapped atoms to the ground state: a dark state
  in position space","6 pages, 5 figures","Phys.Rev.A57:2909-2914,1998","10.1103/PhysRevA.57.2909",,"quant-ph",,"  We propose a scheme that allows to laser cool trapped atoms to the ground
state of a one-dimensional confining potential. The scheme is based on the
creation of a dark state by designing the laser profile, so that the hottest
atoms are coherently pumped to another internal level, and then repumped back.
The scheme works beyond the Lamb-Dicke limit. We present results of a full
quantum treatment for a one-dimensional model.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 11:31:35 GMT""}]","2014-11-18"
"solv-int/9710007",,"E. Alfinito, V. Grassi, R. A. Leo, G. Profilo and G. Soliani","Equations of the reaction-diffusion type with a loop algebra structure","16 pages, LaTex. submitted to Inverse Problems","Inv. Prob. 14, 1387-1401 (1998)","10.1088/0266-5611/14/6/003",,"solv-int cond-mat hep-th math-ph math.MP nlin.SI",,"  A system of equations of the reaction-diffusion type is studied in the
framework of both the direct and the inverse prolongation structure. We find
that this system allows an incomplete prolongation Lie algebra, which is used
to find the spectral problem and a whole class of nonlinear field equations
containing the original ones as a special case.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 15:04:21 GMT""}]","2009-10-30"
