"alg-geom/9710017","Martin Deschamps Mireille","Robin Hartshorne, Mireille Martin-Deschamps, Daniel Perrin","Un th\'eor\`eme de Rao pour les familles de courbes gauches","22 pages, TeX",,,,"alg-geom math.AG",,"  The aim of this paper is to prove a generalization of a theorem of Rao for
families of space curves, which caracterizes the biliaison classes of curves.
First we introduce the concept of pseudo-isomorphism of coherent sheaves, which
generalizes the concept of stable isomorphism. An N-type resolution for a
family of curves $C$ over the local ring $A$, defined by an ideal $J$, is an
exact sequence $0\to P\to N\to J\to 0$ where $N$ is a locally free sheaf on
$P^3_A$ and $P$ is a direct sum of invertible sheaves $O_P(-n_i)$. We prove the
two following results, when the residual field of $A$ is infinite : 1. Let $C$
and $C'$ be two flat families of space curves over the local ring $A$. Then $C$
and $C'$ are in the same biliaison class if and only if their ideals $J$ and
$J'$ are pseudo-isomorphic, up to a shift. 2. Let $C$ and $C'$ be two flat
families of space curves over the local ring $A$, with N-type resolutions,
involving sheaves $N$ and $N'$. Then $C$ and $C'$ are in the same biliaison
class if and only if $N$ and $N'$ are pseudo-isomorphic, up to a shift.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 10:48:55 GMT""}]","2007-05-23"
"astro-ph/9710161","Pascal Fouque","Wolfgang P. Gieren, Pascal Fouque, and Matias Gomez","Cepheid Period-Radius and Period-Luminosity Relations and the Distance
  to the LMC","LaTeX, AASTeX style, 9 Figures, 10 Tables, The Astrophysical Journal
  in press (accepted Oct. 14, 1997). Fig. 3 replaced","Astrophys.J.496:17-30,1998","10.1086/305374","ESO-PS-1300/97","astro-ph",,"  We have used the infrared Barnes-Evans surface brightness technique to derive
the radii and distances of 34 Galactic Cepheid variables. Radius and distance
results obtained from both versions of the technique are in excellent
agreement. The radii of 28 variables are used to determine the period-radius
relation. This relation is found to have a smaller dispersion than in previous
studies, and is identical to the period-radius relation found by Laney & Stobie
from a completely independent method, a fact which provides persuasive evidence
that the Cepheid period-radius relation is now determined at a very high
confidence level. We use the accurate infrared distances to determine
period-luminosity relations in the V, I, J, H and K passbands from the Galactic
sample of Cepheids. We derive improved slopes of these relations from updated
LMC Cepheid samples and adopt these slopes to obtain accurate absolute
calibrations of the PL relation. By comparing these relations to the ones
defined by the LMC Cepheids, we derive strikingly consistent and precise values
for the LMC distance modulus in each of the passbands which yield a mean value
of DM (LMC) = 18.46 +- 0.02.
  Our results show that the infrared Barnes-Evans technique is very insensitive
to both Cepheid metallicity and adopted reddening, and therefore a very
powerful tool to derive accurate distances to nearby galaxies by a direct
application of the technique to their Cepheid variables, rather than by
comparing PL relations of different galaxies, which introduces much more
sensitivity to metallicity and absorption corrections which are usually
difficult to determine.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 14:17:34 GMT""}]","2014-10-13"
"astro-ph/9710162","David M. Meyer","David M. Meyer (Northwestern Univ.), Jason A. Cardelli, and Ulysses J.
  Sofia (Villanova Univ.)","The Abundance of Interstellar Nitrogen","14 pages, LaTeX, 2 Postscript figures; ApJ Letters, in press",,"10.1086/311023",,"astro-ph",,"  Using the HST Goddard High Resolution Spectrograph (GHRS), we have obtained
high S/N echelle observations of the weak interstellar N I 1160, 1161 A
absorption doublet toward the stars Gamma Cas, Lambda Ori, Iota Ori, Kappa Ori,
Delta Sco, and Kappa Sco. In combination with a previous GHRS measurement of N
I toward Zeta Oph, these new observations yield a mean interstellar gas phase
nitrogen abundance (per 10$^6$ H atoms) of 10$^6$ N/H = 75 +/- 4. There are no
statistically significant variations in the measured N abundances from
sightline to sightline and no evidence of density-dependent depletion from the
gas-phase. Since N is not expected to be depleted much into dust grains in
these diffuse sightlines, its gas-phase abundance should reflect the total
interstellar abundance. Consequently, the GHRS observations imply that the
abundance of interstellar nitrogen (gas plus grains) in the local Milky Way is
about 80% of the solar system value of 10$^6$ N/H = 93 +/- 16. Although this
interstellar abundance deficit is somewhat less than that recently found for
oxygen and krypton with GHRS, the solar N abundance and the N I oscillator
strengths are too uncertain to definitively rule out either a solar ISM N
abundance or a 2/3 solar ISM N abundance similar to that of O and Kr.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 14:23:03 GMT""}]","2009-10-30"
"astro-ph/9710163","David M. Meyer","David M. Meyer (Northwestern Univ.), M. Jura (UCLA), and Jason A.
  Cardelli (Villanova Univ.)","The Definitive Abundance of Interstellar Oxygen","23 pages, LaTeX, 5 Postscript figures; ApJ, in press","Astrophys.J. 493 (1998) 222","10.1086/305128",,"astro-ph",,"  Using the Goddard High Resolution Spectrograph (GHRS) onboard HST, we have
obtained high S/N echelle observations of the weak interstellar O I 1356 A
absorption toward the stars Gamma Cas, Epsilon Per, Delta Ori, Epsilon Ori, 15
Mon, Tau CMa, and Gamma Ara. In combination with previous GHRS measurements in
six other sightlines (Zeta Per, Xi Per, Lambda Ori, Iota Ori, Kappa Ori, and
Zeta Oph), these new observations yield a mean interstellar gas-phase oxygen
abundance (per 10$^6$ H atoms) of 10$^6$ O/H = 319 +/- 14. The largest
deviation from the mean is less than 18%, and there are no statistically
significant variations in the measured O abundances from sightline to sightline
and no evidence of density-dependent oxygen depletion from the gas phase.
Assuming various mixtures of silicates and oxides, the abundance of
interstellar oxygen tied up in dust grains is unlikely to surpass 10$^6$ O/H
$\approx$ 180. Consequently, the GHRS observations imply that the total
abundance of interstellar oxygen (gas plus grains) is homogeneous in the
vicinity of the Sun and about 2/3 of the solar value of 10$^6$ O/H = 741 +/-
130. This oxygen deficit is consistent with that observed in nearby B stars and
similar to that recently found for interstellar krypton with GHRS. Possible
explanations for this deficit include: (1) early solar system enrichment by a
local supernova, (2) a recent infall of metal-poor gas in the local Milky Way,
or (3) an outward diffusion of the Sun from a smaller galactocentric distance.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 14:58:05 GMT""}]","2009-10-30"
"chao-dyn/9710010","Yosef Ashkenazy","Y. Ashkenazy, C. Goren and L. P. Horwitz","Chaos of the Relativistic Parametrically Forced van der Pol Oscillator","8 Latex pages including 12 figures. To be published in Phys. Lett. A","Phys. Lett. A 243 (1998) 195-204","10.1016/S0375-9601(98)00240-0","TAUP 2463-97","chao-dyn hep-th nlin.CD",,"  A manifestly relativistically covariant form of the van der Pol oscillator in
1+1 dimensions is studied. We show that the driven relativistic equations, for
which $x$ and $t$ are coupled, relax very quickly to a pair of identical
decoupled equations, due to a rapid vanishing of the ``angular momentum'' (the
boost in 1+1 dimensions). A similar effect occurs in the damped driven
covariant Duffing oscillator previously treated. This effect is an example of
entrainment, or synchronization (phase locking), of coupled chaotic systems.
The Lyapunov exponents are calculated using the very efficient method of Habib
and Ryne. We show a Poincar\'e map that demonstrates this effect and maintains
remarkable stability in spite of the inevitable accumulation of computer error
in the chaotic region. For our choice of parameters, the positive Lyapunov
exponent is about 0.242 almost independently of the integration method.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 08:13:30 GMT""},{""version"":""v2"",""created"":""Thu, 2 Apr 1998 11:33:42 GMT""}]","2009-10-30"
"cmp-lg/9710004","Michael T. Hammond","Michael Hammond (University of Arizona)","Parsing syllables: modeling OT computationally","22pp, postscript",,,,"cmp-lg cs.CL",,"  In this paper, I propose to implement syllabification in OT as a parser. I
propose several innovations that result in a finite and small candidate set.
The candidate set problem is handled with several moves: i) MAX and DEP
violations are not hypothesized by the parser, ii) candidates are encoded
locally, and iii) EVAL is applied constraint by constraint.
  The parser I propose is implemented in Prolog. It has a number of desirable
consequences. First, it runs and thus provides an existence proof that
syllabification can be implemented in OT. There are a number of other desirable
consequences as well. First, constraints are implemented as finite-state
transducers. Second, the parser makes several interesting claims about the
phonological properties of so-called nonrecoverable insertions and deletions.
Third, the implementation suggests some particular reformulations of some of
the benchmark constraints in the OT arsenal, e.g. *COMPLEX, PARSE, ONSET, and
NOCODA.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 19:40:45 GMT""}]","2007-05-23"
"cond-mat/9710133","Hans Fogedby","Hans C. Fogedby (Institute of Physics and Astronomy, Aarhus, and
  NORDITA, Copenhagen, Denmark)","Soliton approach to the noisy Burgers equation: Steepest descent method","30 pages, Revtex file, 14 figures, to be submitted to Phys. Rev. E",,"10.1103/PhysRevE.57.4943",,"cond-mat.stat-mech chao-dyn cond-mat.soft hep-th nlin.CD",,"  The noisy Burgers equation in one spatial dimension is analyzed by means of
the Martin-Siggia-Rose technique in functional form. In a canonical formulation
the morphology and scaling behavior are accessed by mean of a principle of
least action in the asymptotic non-perturbative weak noise limit. The ensuing
coupled saddle point field equations for the local slope and noise fields,
replacing the noisy Burgers equation, are solved yielding nonlinear localized
soliton solutions and extended linear diffusive mode solutions, describing the
morphology of a growing interface. The canonical formalism and the principle of
least action also associate momentum, energy, and action with a
soliton-diffusive mode configuration and thus provides a selection criterion
for the noise-induced fluctuations. In a ``quantum mechanical'' representation
of the path integral the noise fluctuations, corresponding to different paths
in the path integral, are interpreted as ``quantum fluctuations'' and the
growth morphology represented by a Landau-type quasi-particle gas of ``quantum
solitons'' with gapless dispersion and ``quantum diffusive modes'' with a gap
in the spectrum. Finally, the scaling properties are dicussed from a heuristic
point of view in terms of a``quantum spectral representation'' for the slope
correlations. The dynamic eponent z=3/2 is given by the gapless soliton
dispersion law, whereas the roughness exponent zeta =1/2 follows from a
regularity property of the form factor in the spectral representation. A
heuristic expression for the scaling function is given by spectral
representation and has a form similar to the probability distribution for Levy
flights with index $z$.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 20:23:19 GMT""}]","2009-10-30"
"cond-mat/9710134","Durga P. Choudhury","Durga P. Choudhury, H. Srikanth and S. Sridhar (Physics Department,
  Northeastern University); P. C. Canfield (Ames Laboratory, Iowa State
  University)","Magneto-electrodynamics at high frequencies in the antiferromagnetic and
  superconducting states of DyNi_2B_2C","9 pages, Latex, Uses REVTeX, This and related publications also
  available at http://sagar.physics.neu.edu/ Submitted to Phys. Rev. B",,"10.1103/PhysRevB.58.14490",,"cond-mat",,"  We report the observation of novel behaviour in the radio frequency (rf) and
microwave response of DyNi_2B_2C over a wide range of temperature (T) and
magnetic field (H) in the antiferromagnetic (AFM) and superconducting (SC)
states. At microwave frequencies of 10 GHz, the T dependence of the surface
impedance Z_s=R_s+iX_s was measured which yields the T dependence of the
complex conductivity \sigma_1-i\sigma_2 in the SC and AFM states. At radio
frequencies (4 MHz), the H and T dependence of the penetration depth
\lambda(T,H) were measured. The establishment of antiferromagnetic order at
T_N=10.3 K results in a marked decrease in the scattering of charge carriers,
leading to sharp decreases in R_s and X_s. However, R_s and X_s differ from
each other in the AFM state. We show that the results are consistent with
conductivity relaxation whence the scattering rate becomes comparable to the
microwave frequency. The rf measurements yield a rich dependence of the
scattering on the magnetic field near and below T_N. Anomalous decrease of
scattering at moderate applied fields is observed at temperatures near and
above T_N, and arises due to a crossover from a negative magnetoresistance
state, possibly associated with a loss of spin disorder scattering at low
fields, to a positive magnetoresistance state associated with the metallic
nature. The normal state magnetoresistance is positive at all temperatures for
\mu_0H>2T and at all fields for T>15K. Several characteristic field and
temperature scales associated with metamagnetic transitions (H_M1(T), H_M2(T))
and onset of spin disorder H_D(T), in addition to T_c, T_N and H_c2(T) are
observed in the rf measurements.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 16:33:00 GMT""}]","2009-10-30"
"cond-mat/9710135","Dmitry Polyakov","A. D. Mirlin, D. G. Polyakov, and P. Woelfle","Composite fermions in a long-range random magnetic field: Quantum Hall
  effect versus Shubnikov-de Haas oscillations","4 pages, RevTeX","Phys. Rev. Lett., 80 (1998) 2429","10.1103/PhysRevLett.80.2429",,"cond-mat.mes-hall",,"  We study transport in a smooth random magnetic field, with emphasis on
composite fermions (CF) near half-filling of the Landau level. When either the
amplitude of the magnetic field fluctuations or its mean value $\bar B$ is
large enough, the transport is of percolating nature. While at $\bar{B}=0$ the
percolation effects enhance the conductivity $\sigma_{xx}$, increasing $\bar B$
(which corresponds to moving away from half-filling for the CF problem) leads
to a sharp falloff of $\sigma_{xx}$ and, consequently, to the quantum
localization of CFs. We demonstrate that the localization is a crucial factor
in the interplay between the Shubnikov-de Haas and quantum Hall oscillations,
and point out that the latter are dominant in the CF metal.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 16:41:19 GMT""}]","2009-10-30"
"cond-mat/9710136","A. Niki Tahvildar-Zadeh","A.N.Tahvildar-Zadeh, M.Jarrell, J.K.Freericks","Low-temperature coherence in the periodic Anderson model: Predictions
  for photoemission of heavy Fermions","4 pages, 3 figures",,"10.1103/PhysRevLett.80.5168",,"cond-mat.str-el",,"  We present numerically exact predictions of the periodic and single-impurity
Anderson models to address photoemission experiments on heavy Fermion systems.
Unlike the single impurity model the lattice model is able to account for the
enhanced intensity, dispersion, and apparent weak temperature dependence of the
Kondo resonant peak seen in recent controversial photoemission experiments. We
present a consistent interpretation of these results as a crossover from the
impurity regime to an effective Hubbard model regime described by Nozieres.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 17:58:25 GMT""}]","2009-10-30"
"cond-mat/9710137","Dmitri Khveshchenko","D.V. Khveshchenko","Quantum point contact in a compressible Quantum Hall liquid","Latex, 13 pages",,,,"cond-mat",,"  We consider electron transport through a quantum point contact between
compressible Quantum Hall liquids and derive the contact's impedance function
for both diffusive and ballistic regimes of the bulk electron motion. In either
regime, the tunneling current deviates from a power-law behavior $I\sim
V^{1/\nu}$ expected on the basis of the single-mode chiral Luttinger liquid
phenomenology.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 18:28:47 GMT""},{""version"":""v2"",""created"":""Wed, 15 Oct 1997 11:13:41 GMT""},{""version"":""v3"",""created"":""Sun, 6 Dec 1998 16:34:57 GMT""}]","2007-05-23"
"cond-mat/9710138","F. Babalievski","A. Losev (BAS), F. Babalievski (BAS,ICA1)","Rigidity percolation on aperiodic lattices","9 LaTeX pages, 3 PostScript figures included via epsf.sty","Physica A vol.252 (1998) p.1","10.1016/S0378-4371(97)00664-X",,"cond-mat.stat-mech cond-mat.mtrl-sci cond-mat.soft",,"  We studied the rigidity percolation (RP) model for aperiodic (quasi-crystal)
lattices. The RP thresholds (for bond dilution) were obtained for several
aperiodic lattices via computer simulation using the ""pebble game"" algorithm.
It was found that the (two rhombi) Penrose lattice is always floppy in view of
the RP model. The same was found for the Ammann's octagonal tiling and the
Socolar's dodecagonal tiling. In order to impose the percolation transition we
used so c. ""ferro"" modification of these aperiodic tilings. We studied as well
the ""pinwheel"" tiling which has ""infinitely-fold"" orientational symmetry. The
obtained estimates for the modified Penrose, Ammann and Socolar lattices are
respectively: $p_{cP} =0.836\pm 0.002$, $p_{cA} = 0.769\pm0.002$, $p_{cS} =
0.938\pm0.001$. The bond RP threshold of the pinwheel tiling was estimated to
$p_c = 0.69\pm0.01$. It was found that these results are very close to the
Maxwell (the mean-field like) approximation for them.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 19:12:11 GMT""}]","2015-06-25"
"cond-mat/9710139","Eugene A. Demler","Eugene Demler, Hiroshi Kohno, and Shou-Cheng Zhang","Pi excitation of the t-J model","33 pages, LATEX, 14 eps figs","Phys. Rev. B 58, 5719 (1998)","10.1103/PhysRevB.58.5719","SU-ITP 97/41","cond-mat.supr-con",,"  In this paper, we present analytical and numerical calculations of the pi
resonance in the t-J model. We show in detail how the pi resonance in the
particle-particle channel couples to and appears in the dynamical spin
correlation function in a superconducting state. The contribution of the pi
resonance to the spin excitation spectrum can be estimated from general
model-independent sum rules, and it agrees with our detailed calculations. The
results are in overall agreement with the exact diagonalization studies of the
t-J model. Earlier calculations predicted the correct doping dependence of the
neutron resonance peak in the YBCO superconductor, and in this paper detailed
energy and momentum dependence of the spin correlation function is presented.
The microscopic equations of motion obtained within current formalism agree
with that of the SO(5) nonlinear sigma model, where the pi resonance is
interpreted as a pseudo Goldstone mode of the spontaneous SO(5) symmetry
breaking.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 20:05:22 GMT""}]","2009-10-30"
"cond-mat/9710140","Yong-Jihn Kim","Mi-Ae Park, M. H. Lee, and Yong-Jihn Kim","Compensation of Magnetic Impurity Effect in Superconductors by Radiation
  Damage","12 pages including 1 figure, Revtex, For more information, please see
  http://taesan.kaist.ac.kr/~yjkim",,"10.1016/S0921-4534(98)00335-9",,"cond-mat.supr-con",,"  Compensation of the reduction of $T_{c}$ caused by magnetic impurities has
been observed as a consequence of radiation damage. Using the recent theory by
Kim and Overhauser (KO) we consider the effect of radiation damage on the
$T_{c}$ of superconductors having magnetic impurities. We find a good fitting
to the experimental data. It is also pointed out that Gor'kov's formalism with
the pairing constraint derived from the Anomalous Green's function leads to KO
theory.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 03:20:49 GMT""}]","2009-10-30"
"cond-mat/9710141","Yao-Zhong Zhang","Anthony J. Bracken, Xiang-Yu Ge, Yao-Zhong Zhang and Huan-Qiang Zhou","Integrable open-boundary conditions for the $q$-deformed supersymmetric
  $U$ model of strongly correlated electrons","some typos correctedand refs updated; to appear in Nucl. Phys. B","Nucl. Phys. B516 (1998) 588--602","10.1016/S0550-3213(98)00067-4","University of Queensland preprint","cond-mat.str-el cond-mat.stat-mech",,"  A general graded reflection equation algebra is proposed and the
corresponding boundary quantum inverse scattering method is formulated. The
formalism is applicable to all boundary lattice systems where an invertible
R-matrix exists. As an application, the integrable open-boundary conditions for
the $q$-deformed supersymmetric $U$ model of strongly correlated electrons are
investigated. The diagonal boundary K-matrices are found and a class of
integrable boundary terms are determined. The boundary system is solved by
means of the coordinate space Bethe ansatz technique and the Bethe ansatz
equations are derived. As a sideline, it is shown that all R-matrices
associated with a quantum affine superalgebra enjoy the crossing-unitarity
property.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 04:55:59 GMT""},{""version"":""v2"",""created"":""Sun, 18 Jan 1998 01:49:25 GMT""}]","2009-10-30"
"cond-mat/9710142","Haye Hinrichsen","Uri Alon, Martin Evans, Haye Hinrichsen, and David Mukamel","Smooth Phases, Roughening Transitions and Novel Exponents in
  One-dimensional Growth Models","RevTeX, 18 pages, 15 postscript figures","Phys. Rev. E 57, 4997-5012 (1998)","10.1103/PhysRevE.57.4997",,"cond-mat.stat-mech",,"  A class of solid-on-solid growth models with short range interactions and
sequential updates is studied. The models exhibit both smooth and rough phases
in dimension d=1. Some of the features of the roughening transition which takes
place in these models are related to contact processes or directed percolation
type problems. The models are analyzed using a mean field approximation,
scaling arguments and numerical simulations. In the smooth phase the symmetry
of the underlying dynamics is spontaneously broken. A family of order
parameters which are not conserved by the dynamics is defined as well as
conjugate fields which couple to these order parameters. The corresponding
critical behavior is studied and novel exponents identified and measured. We
also show how continuous symmetries can be broken in one dimension. A field
theory appropriate for studying the roughening transition is introduced and
discussed.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 05:52:58 GMT""}]","2009-10-30"
"cond-mat/9710143","Olle Gunnarsson","O. Gunnarsson (Max-Planck-Institut fur Festkorperforschung, Stuttgart,
  Germany)","Effects of nonstoichiometry in A3C60 (A= K, Rb)","7 pages, latex2e, 1 epsi figure, additional material avalable at
  http://www.mpi-stuttgart.mpg.de/docs/ANDERSEN/fullerene/","Electrochemical Society Proceedings 97-42 (1997) 488",,,"cond-mat.mtrl-sci",,"  We perform self-consistent Hartree calculations for a model of A_{3-x}C_{60}
(A= K, Rb) to study the effects of the presence of vacancies. We find that the
strong vacancy potential is very efficiently screened and that the density of
states is only weakly influenced by the presence of vacancies.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 07:38:00 GMT""}]","2007-05-23"
"cond-mat/9710144","Enrico Carlon","Enrico Carlon (1) and Ferenc Igloi (2,3) ((1) KU Leuven, Belgium, (2)
  Research Institute for Solid State Physics, Budapest (3) University of
  Szeged)","Density Profiles, Casimir Amplitudes and Critical Exponents in the Two
  Dimensional Potts Model: A Density Matrix Renormalization Study","12 pages, RevTeX, 14 PostScript figures included","Phys. Rev. B 57, 7877 (1998)","10.1103/PhysRevB.57.7877","KUL-TF-97/25","cond-mat",,"  We use the density matrix renormalization group (DMRG) to perform a detailed
study of the critical properties of the two dimensional Q state Potts model,
including the magnetization and energy-density profiles, bulk and surface
critical exponents and the Casimir amplitudes. We apply symmetry breaking
boundary conditions to a $L \times \infty$ strip and diagonalize the
corresponding transfer matrix for a series of moderately large systems ($L \le
64$) by the DMRG method. The numerically very accurate finite lattice results
are then extrapolated by efficient sequence extrapolation techniques. The
critical density profiles and the Casimir amplitudes are found to follow
precisely the conformal predictions for Q=2 and 3. Similarly, the bulk and
surface critical exponents of the models are in very good agreement with the
conformal and exact values: their accuracy has reached or even exceeded the
accuracy of other available numerical methods. For the Q=4 model both the
profiles and the critical exponents show strong logarithmic corrections, which
are also studied.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 07:36:46 GMT""}]","2009-10-30"
"cond-mat/9710145","Ted Wang","T.C. Wang","Analogy Between Periodically Driven Josephson ac Effect and Quantum Hall
  Effect","4 pages, RevTeX, 2 ps figures, revised version. Statements have been
  corrected, unnecessary mathematical works have been cut. Recollection is
  strongly recommended",,,,"cond-mat.mes-hall chao-dyn cond-mat.supr-con nlin.CD",,"  The hydrodynamical phase-slippage geometry and a semi-classical
Josephson-RCSJ formulism are combined to make an analogy between the
periodically driven Josephson ac effect and the quantum Hall effect. Both of
these two macroscopic quantum effects are postulated to be originated from the
one-dimensional linear vortex-electron relative motion. The mechanisms of the
quantized Hall resistance of IQHE and FQHE are unified under the phase-locking
dynamics of a Josephson-like oscillation which is periodically driven by the
electron wave of the coherent Hall current, with the time-averaged frequency
ratio playing the role of the filling factor reciprocal.
  Supporting experimental evidences for this scenario as well as necessary
future investigations are remarked.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 10:51:05 GMT""},{""version"":""v2"",""created"":""Thu, 23 Oct 1997 14:59:46 GMT""},{""version"":""v3"",""created"":""Fri, 16 Jan 1998 21:48:31 GMT""}]","2007-05-23"
"cond-mat/9710146","T. Klotz","T.Klotz, S.Schubert, K.H.Hoffmann","The state space of short-range Ising spin glasses: the density of states","18 pages (including 6 figures); submitted to Z.f.Physik B",,"10.1007/s100510050254",,"cond-mat.dis-nn",,"  The state space of finite square and cubic Ising spin glass models is
analysed in terms of the global and the local density of states. Systems with
uniform and gaussian probability distribution of interactions are compared.
Different measures for the local state density are presented and discussed. In
particular the question whether the local density of states grows exponentially
or not is considered. The direct comparison of global and local densities leads
to consequences for the structure of the state space.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 11:29:55 GMT""}]","2009-10-30"
"cond-mat/9710147","Pedro L. de Andres","U. Hohenester, P. Kocevar, P.L. de Andres, F. Flores","A k-space transport analysis of the BEEM spectroscopy of Au/Si Schottky
  barriers","7 pages, Latex-APS, 2 postscript figures,
  http://www.icmm.csic.es/Pandres/pedro.htm, Proc. 10th Conf. on Microscopy of
  Sem. Mat. (Oxford, April 1997), E. T. Cullis, in print",,,,"cond-mat.mtrl-sci",,"  We address the question of the spatial resolution of ballistic electron
emission microscopy (BEEM) of Shottky barriers in Au(111)/Si(100) and
Au(111)/Si(111) interfaces. A novel combination of Green-function and k-space
Ensemble-Monte-Carlo techniques is used to obtain new insights into the spatial
and energetic evolution of the STM-tip-induced electrons during their passage
through the metallic layer before reaching the metal-semiconductor interface.
In particular, it is shown how the effect of band-structure-induced directional
focusing of the electrons enforces a reinterpretation of existing experimental
data.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 11:57:11 GMT""}]","2007-05-23"
"cond-mat/9710148","Jose A. Verges","J. A. Verges (Instituto de Ciencia de Materiales, Madrid, Spain)","Localization length in a random magnetic field","12 two-column pages including 10 figures (epsfig), revtex, to appear
  in PRB","Phys. Rev. B 57, 870-878 (1998)","10.1103/PhysRevB.57.870",,"cond-mat.dis-nn",,"  Kubo formula is used to get the d.c conductance of a statistical ensemble of
two dimensional clusters of the square lattice in the presence of random
magnetic fluxes. Fluxes traversing lattice plaquettes are distributed uniformly
between minus one half and plus one half of the flux quantum. The localization
length is obtained from the exponential decay of the averaged conductance as a
function of the cluster side. Standard results are recovered when this
numerical approach is applied to Anderson model of diagonal disorder. The
localization length of the complex non-diagonal model of disorder remains well
below 10 000 (in units of the lattice constant) in the main part of the band in
spite of its exponential increase near the band edges.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 11:59:27 GMT""}]","2009-10-30"
"cond-mat/9710149","Masashi Yamashiro","Masashi Yamashiro, Nobukatsu Yoshida, Yukio Tanaka, and Satoshi
  Kashiwaya","Theoretical study of the Josephson current through a junction including
  ferromagnetic insulator","3 pages Latex, 4 eps figures",,,,"cond-mat.supr-con",,"  The properties of Josephson junction including a ferromagnetic insulating
layer are studied theoretically. The calculated current shows the anomalous
dependence on the magnitude of the exchange interaction at the interface. The
Josephson junction changes from 0-junction to $\pi$-junction with the increase
of the magnitude of the exchange interaction.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 12:16:32 GMT""}]","2007-05-23"
"cond-mat/9710150","Cristian G. Sanchez","C. Sanchez, E. P. M. Leiva (Unidad de Mat. y Fis., Fac. Cs. Quim.,
  Universidad Nacional de Cordoba, Cordoba, Argentina)","First principles calculations of monolayer compressibilities","16 pages, LaTeX2e, 12 included EPS figures, submitted to
  Electrochimica Acta",,,,"cond-mat",,"  We perform high quality, first principles calculations of the properties of
Pb and Tl isolated monolayers. Among these, we consider the equilibrium lattice
constant, the two dimensional compressibilities and the electronic density.
Comparison is made with previous results obtained using more simplified models.
The present results represent an improvement concerning the calculated
compressibilities; these remaining still lower than the measured values. We
speculate that the latter could be due to some corrugation of the monolayer,
not considered in the present modeling.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 13:09:39 GMT""}]","2007-05-23"
"cond-mat/9710151","Pedro L. de Andres","U. Hohenester, P. Kocevar, P.L. de Andres, F. Flores","A Transport Analysis of the BEEM Spectroscopy of Au/Si Schottky Barriers","5 pages, Latex-APS, 1 postscript figure,
  http://www.icmm.csic.es/Pandres/pedro.htm. Phys. Stat. Sol. (b) (to appear),
  HCIS-10 Conf, Berlin 1997","phys. stat. sol. (b) {\bf 204}, 397 (1997)","10.1002/1521-3951(199711)204:1<397::AID-PSSB397>3.0.CO",,"cond-mat.mtrl-sci",,"  A systematic transport study of the ballistic electron emission microscopy
(BEEM) of Au/Si(100) and Au/Si(111) Schottky barriers for different thicknesses
of the metal layer and different temperatures is presented. It is shown that
the existing experimental data are compatible with a recently predicted
bandstructure-induced non-forward electron propagation through the Au(111)
layer.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 12:42:32 GMT""}]","2009-10-30"
"cond-mat/9710152","Sergei Maslov","Matteo Marsili, Paolo De Los Rios, and Sergei Maslov","Expansion Around the Mean-Field Solution of the Bak-Sneppen Model","5 pages, 2 ps-figures icluded","Phys. Rev. Lett. 80, 1457 (1998).","10.1103/PhysRevLett.80.1457",,"cond-mat.stat-mech cond-mat.soft",,"  We study a recently proposed equation for the avalanche distribution in the
Bak-Sneppen model. We demonstrate that this equation indirectly relates
$\tau$,the exponent for the power law distribution of avalanche sizes, to $D$,
the fractal dimension of an avalanche cluster.We compute this relation
numerically and approximate it analytically up to the second order of expansion
around the mean field exponents. Our results are consistent with Monte Carlo
simulations of Bak-Sneppen model in one and two dimensions.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 14:37:23 GMT""}]","2009-10-30"
