"astro-ph/9710181","Gilles Gerbier","G. Gerbier (1), J. Mallet (1), L. Mosca (1), C. Tao (2) (1 CEA Saclay,
  2 LPCC Paris)","Note on a 'hint' for an annual modulation signature of a 60 GeV WIMP","LaTex, 4 pages, 2 figures",,,"DAPNIA-97-23","astro-ph hep-ph",,"  In a recent presentation at the TAUP97 conference about the analysis of data
from a NaI(Tl) 100 kg underground detector run at the Gran Sasso Laboratory by
the DAMA/NaI group, the speaker concluded there was a hint for a WIMP of mass
60 GeV with a cross section on proton of 10-5 pb (Spin Independent coupling)
(see also ROM2F/97/33). Even if no claim of any definite signal is made, such a
statement is strong enough to deserve a critical look. The present note puts
forward a few arguments which point towards a largely overestimated statistical
significance of the effect, an inconsistency in the energy distribution and
several experimental effects which could easily mimic the observed excess. The
conclusion is that, in no way, the presented result can be considered as a hint
of a WIMP annual modulation.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 16:13:42 GMT""}]","2007-05-23"
"cond-mat/9710175","Enrico Milani","A.A.Varlamov(1), G.Balestrino(2), E.Milani(2), D.V.Livanov(1) ((1)
  Department of Theoretical Physics, Moscow Institute for Steel and Alloys,
  Moscow, Russia, (2) INFM, Dipartimento di Scienze e Tecnologie Fisiche ed
  Energetiche,Universita di Roma ``Tor Vergata"", Roma, Italy)","The Role of Density of States Fluctuations in the Normal State
  Properties of High Tc Superconductors","In press in Advances in Physics, 175 pages, LaTeX, for figures (41)
  e-mail your request to Dr. Milani : milani@uniroma2.it","Advances in Physics Vol. 48 (1999) 655-783","10.1016/S0921-4534(97)00233-5",,"cond-mat.supr-con",,"  HTS show many puzzling anomalies in their normal state properties. Among them
are:
  - the presence of a peak in the c-axis resistance and its growth in external
magnetic field
  - the anomalous negative magnetoresistance observed above Tc
  - the deviation from the Korringa law in the temperature dependence of the
NMR relaxation rate
  - the opening of a large pseudo-gap in the c-axis optical conductivity well
above Tc
  - the gap-like tunneling anomalies observed above Tc
  - the anomalies in the thermoelectric power above Tc
  We show how all these effects can be explained by the enhanced role played in
quasi-2D systems by the fluctuation decrease of the one-electron density of
states (DOS) at the Fermi level, and its competition with other fluctuation
contributions (AL, MT). The full fluctuation theory in HTS is reviewed and its
resuls compared with experimental data.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 12:10:46 GMT""},{""version"":""v2"",""created"":""Thu, 3 Sep 1998 11:52:59 GMT""}]","2016-08-31"
"cond-mat/9710176","Varga Imre","Imre Varga (1 and 2), Etienne Hofstetter (3), Janos Pipek (1) ((1)
  Department of Theoretical Physics, Institute of Physics, Technical University
  of Budapest, Hungary, (2) Fachbereich Physik, Philipps-Universitaet Marburg,
  Germany (3) Imperial College, London, U.K.)","One-parameter Superscaling at the Metal-Insulator Transition in Three
  Dimensions","4 pages in PS including 3 figures","Phys. Rev. Lett 82, 4683 (1999)","10.1103/PhysRevLett.82.4683",,"cond-mat.dis-nn",,"  Based on the spectral statistics obtained in numerical simulations on three
dimensional disordered systems within the tight--binding approximation, a new
superuniversal scaling relation is presented that allows us to collapse data
for the orthogonal, unitary and symplectic symmetry ($\beta=1,2,4$) onto a
single scaling curve. This relation provides a strong evidence for
one-parameter scaling existing in these systems which exhibit a second order
phase transition. As a result a possible one-parameter family of spacing
distribution functions, $P_g(s)$, is given for each symmetry class $\beta$,
where $g$ is the dimensionless conductance.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 12:22:21 GMT""},{""version"":""v2"",""created"":""Tue, 20 Apr 1999 15:40:01 GMT""}]","2009-10-30"
"cond-mat/9710177","Konstantin Khromov","M. I. Katsnelson, I. I. Naumov, A. V. Trefilov, M. N. Khlopkin and K.
  Yu. Khromov","Peculiarities of phonon spectra and lattice heat capacity in Ir and Rh","15 pages, LaTeX2e, 12 figures in postscript","Phil. Mag. 75 (1997) 389-406","10.1080/13642819708202326",,"cond-mat",,"  A simple pseudopotential model is proposed, which allows the phonon spectra
and temperature dependence of the lattice heat capacity of Ir and Rh be
described with a high enough accuracy. A careful comparison of the calculated
and experimental values of the lattice heat capacity is carried out, with the
procedure of the identification of the phonon contribution to the heat capacity
and determination of the characteristics (momenta) of the phonon density of
states from the experimental values of the total heat capacity of metal at a
constant pressure being described in detail. The results of the theoretical
calculations explain, in particular, such peculiar feature of Ir and Rh,
unusual for cubic metals, as a sharp (more than by a factor of 1.5) decrease in
the effective Debye temperature with increasing termperature. The temperature
dependence of the mean square amplitude of atomic displacements in Ir and Rh
has been calculated. Basing on the band calculations the manifestation of the
Kohn singularities in the phonon spectra of Ir are discussed.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 13:33:03 GMT""}]","2015-06-25"
"cond-mat/9710178","Martin Schroeder","M. Schroeder and R. Urbanczik","Comment on ""Finite size scaling in Neural Networks""","LaTeX with 1 postscript figure, using REVTeX",,"10.1103/PhysRevLett.80.4109","WUE-ITP-97-041","cond-mat.dis-nn",,"  We use a binary search tree and the simplex algorithm to measure the fraction
of patterns that can be stored by an Ising perceptron. The algorithm is much
faster than exhaustive search and allows us to obtain accurate statistics up to
a system size of N=42. The results show that the finite size scaling ansatz
Nadler and Fink suggest in [1] cannot be applied to estimate accurately the
storage capacity from small systems.
  [1] W.Nadler and W.Fink: Phys.Rev.Lett. 78, 555 (1997)
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 13:38:52 GMT""},{""version"":""v2"",""created"":""Thu, 11 Dec 1997 11:21:19 GMT""}]","2009-10-30"
"cond-mat/9710179","Fedor G. Pikus","F. G. Pikus and G. E. Pikus","Weak Localization in Semiconductor Multi-Quantum Well Structures","7 pages, 6 PostScript figures. Uses epsf.sty",,,,"cond-mat",,"  We have studied the phenomenon of weak localization in multi-quantum-well
(MQW) structures in the regime of weak tunneling, when superlattice minibands
are not formed. We have calculated the effect of weak localization on
conductivity, which in this situation is described by a system of coupled Dyson
equations. The tunneling across the MQW structure is found, in general, to
suppress the weak localization effect on conductivity.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 13:50:36 GMT""}]","2007-05-23"
"cond-mat/9710180","Max Petersen","Alexander Kley, Paolo Ruggerone, and Matthias Scheffler","Novel diffusion mechanism on the GaAs(001) surface: the role of
  adatom-dimer interaction","4 pages, 2 figures, Phys. Rev. Lett. 79 (1997). Other related
  publications can be found at http://www.rz-berlin.mpg.de/th/paper.html",,"10.1103/PhysRevLett.79.5278",,"cond-mat.mtrl-sci",,"  Employing first principles total energy calculations we have studied the
behavior of Ga and Al adatoms on the GaAs(001)-beta2 surface. The adsorption
site and two relevant diffusion channels are identified. The channels are
characterized by different adatom-surface dimer interaction. Both affect in a
novel way the adatom migration: in one channel the diffusing adatom jumps
across the surface dimers and leaves the dimer bonds intact, in the other one
the surface dimer bonds are broken. The two channels are taken into account to
derive effective adatom diffusion barriers. From the diffusion barriers we
conclude a strong diffusion anisotropy for both Al and Ga adatoms with the
direction of fastest diffusion parallel to the surface dimers. In agreement
with experimental observations we find higher diffusion barriers for Al than
for Ga.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 13:46:12 GMT""}]","2009-10-30"
"cond-mat/9710181","Stephen Hayden","S.M. Hayden, G. Aeppli, P. Dai, H.A. Mook, T.G. Perring, S.-W. Cheong,
  Z. Fisk, F. Dogan, T.E. Mason","Absolute measurements of the high-frequency magnetic dynamics in high-Tc
  superconductors","9 pages, 7 figures (To be published in Physica B). Typos corrected","Physica B, vols. 241-243, p765 (1998)","10.1016/S0921-4526(97)00714-X",,"cond-mat.supr-con cond-mat.str-el",,"  We review recent measurements of the high-frequency dynamic magnetic
susceptibility in the high-$T_c$ superconducting systems
La$_{2-x}$Sr$_{x}$CuO$_4$ and YBa$_2$Cu$_3$O$_{6+x}$. Experiments were
performed using the chopper spectrometers HET and MARI at the ISIS spallation
source. We have placed our measurements on an absolute intensity scale, this
allows systematic trends to be seen and comparisons with theory to be made. We
find that the insulating S=1/2 antiferromagnetic parent compounds show a
dramatic renormalization of the spin wave intensity. The effect of doping on
the response is to cause broadenings in wave vector and large redistributions
of spectral weight in the frequency spectrum.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 14:40:59 GMT""},{""version"":""v2"",""created"":""Mon, 27 Oct 1997 17:45:04 GMT""},{""version"":""v3"",""created"":""Tue, 11 Nov 1997 10:09:37 GMT""},{""version"":""v4"",""created"":""Mon, 5 Jan 1998 17:56:24 GMT""},{""version"":""v5"",""created"":""Fri, 13 Feb 1998 18:07:07 GMT""}]","2019-08-17"
"cond-mat/9710182","Jakob Schiotz","J. Schiotz and A. E. Carlsson","The influence of surface stress on dislocation emission from sharp and
  blunt cracks in f.c.c. metals","LaTeX, 17 pages, 7 PostScript figures. Major revisions, discussion
  completely rewritten. Now includes effects of surf. stress on sharp cracks",,,,"cond-mat.mtrl-sci",,"  We use computer simulations to study the behavior of atomically sharp and
blunted cracks in various f.c.c. metals. The simulations use effective medium
potentials which contain many-body interactions. We find that when using
potentials representing platinum and gold a sharp crack is stable with respect
to the emission of a dislocation from the crack tip, whereas for all other
metals studied the sharp crack is unstable. This result cannot be explained by
existing criteria for the intrinsic ductile/brittle behavior of crack tips, but
is probably caused by surface stresses. When the crack is no longer atomically
sharp dislocation emission becomes easier in all the studied metals. The effect
is relatively strong; the critical stress intensity factor for emission to
occur is reduced by up to 20%. This behavior appears to be caused by the
surface stress near the crack tip. The surface stress is a consequence of the
many-body nature of the interatomic interactions. The enhanced dislocation
emission can cause an order-of-magnitude increase in the fracture toughness of
certain materials, in which a sharp crack would propagate by cleavage.
Collisions with already existing dislocations will blunt the crack, if this
prevents further propagation of the crack the toughness of the material is
dramatically increased.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 15:38:10 GMT""},{""version"":""v2"",""created"":""Tue, 16 Feb 1999 15:23:19 GMT""}]","2007-05-23"
"dg-ga/9710015","Kotaro Yamada","Wayne Rossman (Kyushu Univ.), Masaaki Umehara (Osaka Univ.) and Kotaro
  Yamada (Kumamoto Univ.)","A new flux for mean curvature 1 surfaces in hyperbolic 3-space, and
  applications","9 pages, LaTeX 2.09","Proc. A.M.S. 127(7) (1999), 2147-2154",,,"dg-ga math.DG",,"  Using the Bryant representation, we define a new flux on homology classes of
CMC-1 surfaces in hyperbolic 3-space, satisfying a balancing formula which is
useful to show nonexistencd of certain kinds of complete CMC-1 surfaces.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 06:52:27 GMT""}]","2009-08-22"
"dg-ga/9710016","Jonathan Marcus Woolf","Jonathan Woolf","Intersection Cohomology of Symplectic Quotients","Withdrawn - lemma 4.1 is false. Fairly major reworking required!",,,,"dg-ga math.DG",,"  Paper withdrawn - lemma 4.1 was false. Quite a lot of changes need to be
made!
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 10:28:17 GMT""},{""version"":""v2"",""created"":""Mon, 20 Oct 1997 12:01:10 GMT""},{""version"":""v3"",""created"":""Thu, 23 Oct 1997 09:58:16 GMT""}]","2007-05-23"
"funct-an/9710001","Ralf Meyer","Ralf Meyer","Finite dimensional quotients of commutative operator algebras","47 pages, LaTeX2e",,,,"funct-an math.OA",,"  The matrix normed structure of the unitization of a (non-selfadjoint)
operator algebra is determined by that of the original operator algebra. This
yields a classification up to completely isometric isomorphism of
two-dimensional unital operator algebras. This allows to define invariant
distances on the spectrum of commutative operator algebras analogous to the
Caratheodory distance for complex manifolds. Moreover, unitizations of
two-dimensional operator algebras with zero multiplication provide a rich class
of counterexamples. Especially, several badly behaved quotients of function
algebras are exhibited. Recently, Arveson has developed a model theory for
d-contractions. Quotients of the operator algebra of the d-shift are much more
well-behaved than quotients of function algebras. Completely isometric
representations of these quotients are obtained explicitly. This provides a
generalization of Nevanlinna-Pick theory. An important property of quotients of
the d-shift algebra is that their quotients of finite dimension r have
completely isometric representations by rxr-matrices. Finally, the class of
commutative operator algebras with this property is investigated.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 10:23:52 GMT""}]","2007-05-23"
"gr-qc/9710083","Sanjay Jhingan","S. Jhingan","The Structure of Singularity in Gravitational Collapse","3 pages, latex file, requires mprocl.sty, no figures. To appear in
  the proceedings of the Eighth Marcel Grossmann Conference on General
  Relativity (Jerusalem, Israel, 22-27 June 1997)",,,,"gr-qc",,"  We will describe here the structure of singularity forming in gravitational
collapse of spherically symmetric inhomogeneous dust. Such a collapse is
described by the Tolman-Bondi-Lema{\^i}tre metric. The main new result here
relates, in a general way, the formation of black holes and naked
shell-focusing singularities resulting as the final fate of such a collapse to
the generic form of regular initial data. Such a data is characterized in terms
of the density and velocity profiles of the matter, specified on an initial
time slice from which the collapse commences. We show that given any generic
density profile at the initial time slice, there exists a corresponding
velocity profile which gives rise to a strong curvature naked singularity. This
establishes that strong naked singularities arise for a generic density
profile. We also establish here that similar results hold for black hole
formation as well. Keeping the model to be spherically symmetric we also
consider more general form of matter fields, i.e. equation of state $p =
k\rho$. We will analyse here the nature of non-central singularity forming due
to collapse of spherically symmetric perfect fluid subject to weak energy
condition.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 05:19:03 GMT""}]","2007-05-23"
"gr-qc/9710084","Jose Acacio de Barros","J. Acacio de Barros (UFJF/Brazil), N. Pinto-Neto (CBPF/Brazil), M. A.
  Sagioro-Leal (UFJF/Brazil)","The Causal Interpretation of Dust and Radiation Fluids Non-Singular
  Quantum Cosmologies","10 pages, LaTeX, 5 figures in postscript, requires epsf","Phys.Lett. A241 (1998) 229-239","10.1016/S0375-9601(98)00169-8",,"gr-qc quant-ph",,"  We apply the causal interpretation of quantum mechanics to homogeneous and
isotropic quantum cosmology where the sources of the gravitational field are
either dust or radiation perfect fluids. We find non-singular quantum
trajectories which tends to the classical one when the scale factor becomes
much larger then the Planck length. In this situation, the quantum potential
becomes negligible. There are no horizons. As radiation is a good approximation
for the matter content of the early universe, this result suggests that the
universe can be eternal due to quantum effects.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 14:07:17 GMT""}]","2009-10-30"
"hep-ex/9710014","Felix Sefkow","F.Sefkow","Heavy Quark and Jet Production by Real and Virtual Photons","19 pages, latex, 15 figures",,,,"hep-ex",,"  Recent results from the H1 and ZEUS collaborations on hard QCD processes in
ep interactions are reviewed. The topics cover jet shapes, the structure of
real and virtual photons, and the production of J/Psi mesons and open charm.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 08:36:52 GMT""}]","2007-05-23"
"hep-ex/9710015","Peter Steinberg","The WA98 Collaboration, M.M. Aggarwal et al","Search for Disoriented Chiral Condensates in 158 AGeV Pb+Pb Collisions","20 Pages, LaTeX, uses elsart.cls, 8 eps figures included, submitted
  to Physics Letters B","Phys.Lett.B420:169-179,1998","10.1016/S0370-2693(97)01528-1",,"hep-ex",,"  The restoration of chiral symmetry and its subsequent breaking through a
phase transition has been predicted to create regions of Disoriented Chiral
Condensates (DCC). This phenomenon has been predicted to cause anomalous
fluctuations in the relative production of charged and neutral pions in
high-energy hadronic and nuclear collisions. The WA98 experiment has been used
to measure charged and photon multiplicities in the central region of 158 AGeV
Pb+Pb collisions at the CERN SPS. In a sample of 212646 events, no clear DCC
signal can be distinguished. Using a simple DCC model, we have set a 90% C.L.
upper limit on the maximum DCC production allowed by the data.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 15:57:11 GMT""}]","2011-07-19"
"hep-lat/9710062","Tamas Kovacs","Tamas G. Kovacs (University of Colorado), Zsolt Schram (Kossuth Lajos
  University, Debrecen, Hungary)","Some remarks on Abelian dominance","3 pages, LaTeX, 1 figure, uses espcrc2.sty, Talk given at LATTICE97","Nucl.Phys.Proc.Suppl. 63 (1998) 531-533","10.1016/S0920-5632(97)00824-4","COLO-HEP-390","hep-lat",,"  We use a renormalisation group based smoothing to address two questions
related to Abelian dominance. Smoothing enables us to extract the Abelian
heavy-quark potential from time-like Wilson loops on Polyakov gauge projected
configurations. We obtained a very small string tension which is inconsistent
with the string tension extracted from Polyakov loop correlators. This shows
that the Polyakov gauge projected Abelian configurations do not have a
consistent physical meaning. We also apply the smoothing on SU(2)
configurations to test how sensitive Abelian dominance in the maximal Abelian
gauge is to the short distance fluctuations. We find that on smoothed SU(2)
configurations the Abelian string tension was about 30% smaller than the SU(2)
string tension which was unaffected by smoothing. This suggests that the
approximate Abelian dominance found with the Wilson action is probably an
accident and it has no fundamental physical relevance.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 17:24:17 GMT""}]","2009-10-30"
"hep-lat/9710063","Bob Sugar","The MILC Collaboration: C. Bernard, T. Blum, T.A. DeGrand, C. DeTar,
  S. Gottlieb, U.M. Heller, J. Hetrick, C. McNeile, K. Rummukainen, R. Sugar,
  D. Toussaint","Update on the hadron spectrum with two flavors of staggered quarks","3 pages, LaTex with espcrc2 and epsf, 5 postscript figures included,
  Lattice '97 Proceedings","Nucl.Phys.Proc.Suppl.63:215-217,1998","10.1016/S0920-5632(97)00726-3",,"hep-lat",,"  We present an update on the MILC Collaboration's light hadron spectrum
calculation with two flavors of dynamical, staggered quarks. We present
extrapolations of the nucleon to rho mass ratio to the continuum limit for
fixed values of the pi to rho mass ratio including the physical one.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 15:46:42 GMT""}]","2008-11-26"
"hep-ph/9710382",,"E.P. Venugopal and Barry R. Holstein","Chiral Anomaly and Eta-Eta' Mixing","12 page standard Latex file, three figures, added comments","Phys.Rev. D57 (1998) 4397-4402","10.1103/PhysRevD.57.4397",,"hep-ph",,"  We determine the $\eta-\eta'$ mixing angle via a procedure relatively
independent of theoretical assumptions by simultaneously fitting $\eta- eta'$
reactions involving the anomaly--$\eta,\eta'\to\gamma\gamma, \pi^+\pi^-\gamma$.
We extract reasonably precise renormalized values of the octet and singlet
pseudoscalar decay constants $F_8,F_0$ as well as the mixing angle $\theta$.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 18:56:18 GMT""},{""version"":""v2"",""created"":""Wed, 29 Oct 1997 19:28:29 GMT""},{""version"":""v3"",""created"":""Wed, 17 Dec 1997 16:11:22 GMT""}]","2009-10-30"
"hep-ph/9710383","Tao Zi-Jian","Xue-Qian Li and Zhijian Tao","Cosmological Relics of the High Energy Cold Dark Matter Particle in the
  Universe","11 Latex pages, no figures","Commun.Theor.Phys. 34 (2000) 123-128",,,"hep-ph",,"  We demonstrate that if the universe is dominated by the massive cold dark
matter, then besides the generally believed thermal distribution of the dark
matter relics, there may exist some very energetic non-thermal relics of the
dark matter particles in the universe from some unknown sources, such as from
decay of supermassive X particle released from topological defect collapse or
annihilation. Very interesting, we point out that these high energy dark matter
particles may be observable in the current and future cosmic ray experiments.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 03:08:07 GMT""}]","2007-05-23"
"hep-ph/9710384","Igor Dremin","I.M. Dremin","Sudakov Form Factors in Leptoproduction of Vector Mesons","9 pages, LATEX, no Figs.; to be published in Mod. Phys. Lett. A","Mod.Phys.Lett. A12 (1997) 2717-2724","10.1142/S0217732397002855",,"hep-ph",,"  It is shown that Sudakov form factors for a colour dipole in a QCD-inspired
model of leptoproduction of vector mesons reduce the value of the cross section
of the process by an order of magnitude. They suppress the large size quark-
antiquark pairs and unequal sharing of energy among the components of the
dipole. Some freedom in the choice of the model parameters is also discussed.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 07:17:57 GMT""}]","2009-10-30"
"hep-ph/9710385","Thorsten Feldmann","Thorsten Feldmann","The eta(c)-gamma Transition Form Factor","4 pages, incl. 3 figures, Contribution to 4th International Workshop
  on Progress in Heavy Quark Physics, Rostock, September 20-22,1997",,,"WU-B 97/29","hep-ph",,"  The eta(c)-gamma transition form factor is calculated within a perturbative
approach. It is shown that the Q^2 dependence of the form factor is well
determined in the region where experimental data is expected in the near
future.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 09:40:09 GMT""}]","2007-05-23"
"hep-ph/9710386","Ilya Royzen","I. Royzen (Lebedev Physical Institute of RAN, Moscow, Russia)","Parton Distribution within Virtual Photon and Diffractive
  Photoproduction in DIS","8 pages, LATEX, 2 fugures","Phys.Atom.Nucl. 61 (1998) 1566-1569; Yad.Fiz. 61 (1998) 1678-1681",,,"hep-ph",,"  A simple relativistic model is suggested that elucidates qualitatively the
quark-antiquark distribution within virtual photon. The diffractive
hadroproduction in DIS initiated by highly virtual photon $\gamma ^{*}(Q^2)$ is
discussed in more detail. The main result is that the contribution of large
transverse scale $q\bar q$-fluctuations of the photon is just sufficient to
produce the cross section of its hadron-like strong interaction (in particular,
its diffraction into hadrons) of the same $Q^2$-dependence as the total cross
section of $\gamma ^{*}p$-interaction. It is why observed in DIS fraction of
photon diffractive hadroproduction in $\gamma^{*}p$\enspace interaction is
quite large and does not vary with $Q^2$.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 10:27:12 GMT""}]","2016-09-06"
"hep-ph/9710387","Sergei Chekanov","S.V.Chekanov","Local Properties of Local Multiplicity Distributions","LaTeX, 12 pages, 4 eps figures, Presented at the International
  School-Seminar ""The actual problems of particle physics"" (NCPHEP-Dubna)
  Gomel, Belarus, August 8-17, 1997",,,,"hep-ph",,"  Some aspects of applications of bunching parameters are discussed. It is
investigated to what extent Monte-Carlo models, which have been tuned to
reproduce global event-shape variables and single-particle inclusive
distributions, agree with each other.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 12:43:51 GMT""}]","2007-05-23"
"hep-ph/9710388","Carlos Munoz","C. Munoz","""Soft"" Phenomenology","5 pages, LaTeX, based on a talk given at ""International Europhysics
  Conference on High-Energy Physics"", Jerusalem, August 1997",,,"FTUAM 97/14, KAIST-TH 97/18","hep-ph hep-th",,"  A review of the soft supersymmetry-breaking parameters and the $\mu$ term
arising in superstring models is performed paying special attention to their
phenomenological implications. In particular, the violation of the scalar mass
universality which may lead to dangerous flavor changing neutral current
phenomena and the existence of charge and color breaking minima are discussed.
Finally, quadratically-divergent loop effects by pure supergravity interactions
on soft parameters and the $\mu$ term are also reviewed and applied to
superstring models. They provide several new sources of the $\mu$ term,
naturally of order the weak scale, but also may lead to non--universal soft
terms.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 13:31:11 GMT""}]","2007-05-23"
"hep-ph/9710389","Martti Raidal","M. Raidal and A. Santamaria","\mu-e conversion in nuclei versus \mu-->e \gamma : an effective field
  theory point of view","A few references added, to appear in PLB","Phys.Lett. B421 (1998) 250-258","10.1016/S0370-2693(98)00020-3","FTUV/97-56","hep-ph",,"  Using an effective lagrangian description we analyze possible new physics
contributions to the most relevant muon number violating processes: $\mu \to e
\gamma$ and $\mu$--$e$ conversion in nuclei. We identify a general class of
models in which those processes are generated at one loop level and in which
$\mu$--$e$ conversion is enhanced with respect to $\mu \to e \gamma$ by a large
$\ln(m^2_\mu/\Lambda^2),$ where $\Lambda$ is the scale responsible for the new
physics. For this wide class of models bounds on $\mu$--$e$ conversion
constrain the scale of new physics more stringently than $\mu \to e \gamma$
already at present and, with the expected improvements in $\mu$--$e$ conversion
experiments, will push it upwards by about one order of magnitude more. To
illustrate this general result we give an explicit model containing a doubly
charged scalar and derive new bounds on its couplings to the leptons.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 13:18:45 GMT""},{""version"":""v2"",""created"":""Fri, 9 Jan 1998 16:04:35 GMT""}]","2009-10-30"
"hep-ph/9710390","Thomas Jurke","Dietmar Ebert, Thomas Jurke","Effective Chiral Meson-Baryon Lagrangian from Path Integral
  Hadronization of a Quark-Diquark Model","7 pages, submitted for publication","Phys.Rev.D58:034001,1998","10.1103/PhysRevD.58.034001",,"hep-ph",,"  The approach of path integral hadronization, applied to a quark-diquark toy
model, is used to derive an effective chiral meson-baryon Lagrangian. In this
approach the Goldberger-Treiman relation, found at the quark-meson level, is
re-established at the composite hadron level. For illu- strations,
electromagnetic low energy characteristics of composite nucleons are estimated.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 14:05:08 GMT""}]","2008-11-26"
"hep-ph/9710391","Colin Froggatt","C. D. Froggatt and H. B. Nielsen","Fermion and Higgs Masses and the AGUT Model","6 page LaTeX file plus 1 postscript figure and aipproc style file,
  uses epsfig.sty; to appear in the Proceedings of Beyond the Standard Model V,
  Balholm, Norway, 29 April - 4 May 1997",,"10.1063/1.54492","GUTPA/97/10/2","hep-ph",,"  We present two rather differently based predictions for the quark and lepton
spectrum: One provides a rather successful fit to the mass suppressions---the
well known fermion mass hierarchy---interpreted as due to most mass terms
needing to violate approximately conserved quantum numbers corresponding to the
AGUT group $ SMG^3\times U(1)_f$. This is actually, under certain conditions,
the maximal group transforming the known 45 Weyl components of the quark and
leptons into each other. From the fit to the fermion spectrum, we get a picture
of the series of Higgs fields causing the breakdown (presumably at the Planck
scale) of this AGUT to the Standard Model and, thus, providing the small masses
of all quarks and leptons except for the top quark. We separately predict the
top quark mass to be $173 \pm 5$ GeV and the Higgs mass to be $135 \pm 9$ GeV,
from the assumption that there be two degenerate minima in the effective
potential for the Weinberg Salam Higgs field with the second one at the Planck
field strength.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 14:19:25 GMT""}]","2009-10-30"
"hep-th/9710133","Wellington da Cruz","Wellington da Cruz","Functional integral over velocities for a spinning particle with and
  without anomalous magnetic moment in a constant electromagnetic field","latex, 19 pages","J.Phys.A30:5225-5238,1997","10.1088/0305-4470/30/14/029",,"hep-th",,"  The technique of functional integration over velocities is applied to the
calculation of the propagator of a spinning particle with and without anomalous
magnetic moment. A representation for the spin factor is obtained in this
context for the particle in a constant electromagnetic field. As a by-product,
we also obtain a Schwinger representation for the first case.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 20:57:56 GMT""}]","2009-09-25"
"hep-th/9710135","Frank Wilczek","Frank Wilczek","Some Examples in the Realization of Symmetry","LaTeX, 7 Pages","Nucl.Phys.Proc.Suppl. 68 (1998) 367-373","10.1016/S0920-5632(98)00171-6","IASSNS-HEP 97-116","hep-th cond-mat",,"  I briefly discuss three phenomena arising in recent work where the
realization of symmetries in quantum mechanics is unusual. The first of these
is, I believe, the very simplest realization of non-trivial confinement by a
mechanism of charge-flux frustration. It arises in models having several
coupled abelian Chern-Simons gauge symmetries, which closely resemble effective
theories used for the quantum Hall effect. The second is symmetry obstruction
by non-abelian flux, which has implications for 2+1 dimensional supergravity.
Third is the possibility of new varieties of quantum statistics: non-abelian
and projective.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 18:41:56 GMT""}]","2009-10-30"
"hep-th/9710136","Adel Bilal","Adel Bilal (ENS Paris)","M(atrix) Theory : a Pedagogical Introduction","20 pages in double-column format, Latex, uses espcrc2.tex, 2 figures","Fortsch.Phys.47:5-28,1999","10.1002/(SICI)1521-3978(199901)47:1/3<5::AID-PROP5>3.0.CO;2-B","LPTENS-97/43","hep-th",,"  I attempt to give a pedagogical introduction to the matrix model of M-theory
as developed by Banks, Fischler, Shenker and Susskind (BFSS). In the first
lecture, I introduce and review the relevant aspects of D-branes with the
emergence of the matrix model action. The second lecture deals with the
appearance of eleven-dimensional supergravity and M-theory in strongly coupled
type IIA superstring theory. The third lecture combines the material of the two
previous ones to arrive at the BFSS conjecture and explains the evidence
presented by these authors. The emphasis is not on most recent developments but
on a hopefully pedagogical presentation.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 20:23:02 GMT""}]","2015-06-26"
