"astro-ph/9710029",,"D.Fargion, B.Mele and A.Salis","Ultrahigh energy neutrino scattering onto relic light neutrinos in
  galactic halo as a possible source of highest energy extragalactic cosmic
  rays","25 pages, 1 figure minor corrections, updated references. In press in
  APJ","Astrophys.J. 517 (1999) 725-733","10.1086/307203","ROME1-1179/97","astro-ph hep-ex hep-ph",,"  The diffuse relic neutrinos with light mass are transparent to Ultrahigh
energy (UHE) neutrinos at thousands EeV, born by photoproduction of pions by
UHE protons on relic 2.73 K BBR radiation and originated in AGNs at cosmic
distances. However these UHE $\nu$s may interact with those (mainly heaviest
$\nu_{\mu_r}$, $\nu_{\tau_r}$ and respective antineutrinos) clustered into HDM
galactic halos. UHE photons or protons, secondaries of $\nu\nu_r$ scattering,
might be the final observed signature of such high-energy chain reactions and
may be responsible of the highest extragalactic cosmic-ray (CR) events. The
chain-reactions conversion efficiency, ramifications and energetics are
considered for the October 1991 CR event at 320 EeV observed by the Fly's Eye
detector in Utah. These quantities seem compatible with the distance, direction
and power (observed at MeV gamma energies) of the Seyfert galaxy MCG 8-11-11.
The $\nu\nu_r$ interaction probability is favoured by at least three order of
magnitude with respect to a direct $\nu$ scattering onto the Earth atmosphere.
Therefore, it may better explain the extragalactic origin of the puzzling 320
EeV event, while offering indirect evidence of a hot dark galactic halo of
light (i.e., $m_\nu\sim$ tens eV) neutrinos, probably of tau flavour.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 16:51:47 GMT""},{""version"":""v2"",""created"":""Wed, 30 Dec 1998 10:47:20 GMT""}]","2009-10-30"
"gr-qc/9710013","Chris Chambers","Chris M. Chambers, William A. Hiscock and Brett E. Taylor (Montana
  State University)","The `Ups' and `Downs' of a Spinning Black Hole","3 pages (including 3 postscript figures), Latex. Uses mprocl.sty
  (included). To appear in the proceedings of `The Eighth Marcel Grossmann
  Meeting on General Relativity', 22-27 June 1997, The Hebrew University,
  Jerusalem, Israel",,,"MSUPHY9723","gr-qc",,"  We report and comment upon the principal results of an investigation into the
evolution of rotating black holes emitting massless scalar radiation via the
Hawking process. It is demonstrated that a Kerr black hole evaporating by the
emission of scalar radiation will evolve towards a state with $a \approx
0.555M$. If the initial specific angular momentum is larger than this value the
hole will spin down to this value; if it is less it will spin up to this value.
The addition of higher spin fields to the picture strongly suggests the final
asymptotic state of a realistic evaporation process will be characterized by an
$a/M = 0$.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 18:04:02 GMT""}]","2007-05-23"
"gr-qc/9710014","Chris Chambers","Chris M. Chambers (Montana State), Patrick R. Brady (CalTech) and
  Sergio M.C.V. Goncalves (Newcastle)","A Critical Look At Massive Scalar Field Collapse","3 pages (including 2 postscript figures), Latex. Uses mprocl.sty
  (included). To appear in the proceedings of `The Eighth Marcel Grossmann
  Meeting on General Relativity', 22-27 June 1997, The Hebrew University,
  Jerusalem, Israel",,,"MSUPHY9718","gr-qc",,"  We present the findings of an investigation of critical behavior in the
collapse of spherically symmetric distributions of massive scalar field. Two
distinct types of phase transition are observed at the verge of black hole
formation and a criterion for determining when each type of transition will
occur is given.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 18:24:59 GMT""}]","2007-05-23"
"gr-qc/9710015","Chris Chambers","Chris M. Chambers (Montana State), Patrick R. Brady (CalTech), William
  Krivan (Utah) and Pablo Laguna (Penn. State)","Some Cosmological Tails of Collapse","3 pages (including 2 postscript figures), Latex. Uses mprocl.sty
  (included). To appear in the proceedings of `The Eight Marcel Grossmann
  Meeting on General Relativity', 22-27 June 1997, The Hebrew University,
  Jerusalem, Israel",,,"MSUPHY9720","gr-qc",,"  We summarize the results of an investigation into the late time behavior of
massless scalar fields propagating on spherically symmetric black hole
spacetimes with a non-zero cosmological constant. The compatibility of these
results with the `minimal requirement' of Brady and Poisson is commented upon.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 18:37:27 GMT""}]","2007-05-23"
"gr-qc/9710016","Don Marolf","Jerzy Lewandowski and Donald Marolf","Loop constraints: A habitat and their algebra","30 pages RevTex, 2 figures included","Int.J.Mod.Phys. D7 (1998) 299-330","10.1142/S0218271898000231","SU-GP-97/10-1","gr-qc hep-th",,"  This work introduces a new space $\T'_*$ of `vertex-smooth' states for use in
the loop approach to quantum gravity. Such states provide a natural domain for
Euclidean Hamiltonian constraint operators of the type introduced by Thiemann
(and using certain ideas of Rovelli and Smolin). In particular, such operators
map $\T'_*$ into itself, and so are actual operators in this space. Their
commutator can be computed on $\T'_*$ and compared with the classical
hypersurface deformation algebra. Although the classical Poisson bracket of
Hamiltonian constraints yields an inverse metric times an infinitesimal
diffeomorphism generator, and despite the fact that the diffeomorphism
generator has a well-defined non-trivial action on $\T'_*$, the commutator of
quantum constraints vanishes identically for a large class of proposals.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 19:30:54 GMT""}]","2015-06-25"
"gr-qc/9710017","Hector F. Hernandez G.","L. Herrera, H.Hernandez, L. A. Nunez, U. Percoco","On the Eccentricity Behaviour of Radiating Slowly Rotating Bodies","13 Latex pages, 4 figures, Submitted to Classical and Quantum Gravity","Class.Quant.Grav.15:187-196,1998","10.1088/0264-9381/15/1/013",,"gr-qc",,"  We study different models of radiating slowly rotating bodies up to the first
order in the angular velocity. It is shown that up to this order the evolution
of the eccentricity is highly model-dependent even for very compact objects.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 19:46:30 GMT""}]","2011-07-19"
"gr-qc/9710018","Don Marolf","Rodolfo Gambini, Jerzy Lewandowski, Donald Marolf, and Jorge Pullin","On the consistency of the constraint algebra in spin network quantum
  gravity","13 pages, RevTex, 2 figures included","Int.J.Mod.Phys. D7 (1998) 97-109","10.1142/S0218271898000103","SU-GP-97/10-2","gr-qc hep-th",,"  We point out several features of the quantum Hamiltonian constraints recently
introduced by Thiemann for Euclidean gravity. In particular we discuss the
issue of the constraint algebra and of the quantum realization of the object
$q^{ab}V_b$, which is classically the Poisson Bracket of two Hamiltonians.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 19:50:49 GMT""}]","2009-10-30"
"gr-qc/9710019","Moffat","J. W. Moffat","Quantum Measurements, Nonlocality and the Arrow of Time","8 pages. Revtex. Revised version",,,"UTPT-97-05","gr-qc hep-th quant-ph",,"  A theory is developed which attempts to reconcile the measurements of
nonlocal quantum observables with special relativity and quantum mechanics. The
collapse of a wave function, which coincides with a nonlocal measurement by
some macroscopic measuring device, is associated with the triggering of an
absorber mechanism due to the interaction of the apparatus with the charges in
the rest of the universe. The standard retarded electromagnetic field plus
radiation damping is converted, for a short time during the collapse of the
wave function, to an advanced field plus radiation. The reversal of the arrow
of time during the wave function reduction permits communication in nonlocal
quantum experiments at the speed of light, resolving paradoxes associated with
measurements of correlated quantum states and special relativity. The absorber
mechanism and the advanced field solution are consistent with conventional
Friedmann-Robertson-Walker expanding universes.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 21:54:12 GMT""},{""version"":""v2"",""created"":""Tue, 22 Sep 1998 21:40:50 GMT""}]","2007-05-23"
"gr-qc/9710020","Matt Visser","Matt Visser (Washington University)","The reliability horizon","Three pages, uses mprocl.sty To appear in the proceedings of the
  Eighth Marcel Grossmann Conference on General Relativity. (Jerusalem, Israel,
  June 1997) [Minor typo fixed in references.]",,,,"gr-qc hep-th",,"  The ``reliability horizon'' for semi-classical quantum gravity quantifies the
extent to which we should trust semi-classical quantum gravity, and gives a
handle on just where the ``Planck regime'' resides. The key obstruction to
pushing semi-classical quantum gravity into the Planck regime is often the
existence of large metric fluctuations, rather than a large back-reaction.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 02:06:46 GMT""},{""version"":""v2"",""created"":""Wed, 15 Oct 1997 01:56:11 GMT""}]","2007-05-23"
"gr-qc/9710021","Frank Antonsen","Frank Antonsen","Deformation Quantisation of Constrained Systems","uses LaTeX2e (amssymb). Typing errors corrected, discussions
  elaborated and new references and results added",,,,"gr-qc hep-th math-ph math.MP quant-ph",,"  We study the deformation quantisation (Moyal quantisation) of general
constrained Hamiltonian systems. It is shown how second class constraints can
be turned into first class quantum constraints. This is illustrated by the O(N)
non-linear $\sigma$-model. Some new light is also shed on the Dirac bracket.
Furthermore, it is shown how classical constraints not in involution with the
classical Hamiltonian, can be turned into quantum constraints {\em in}
involution with respect to the Hamiltonian. Conditions on the existence of
anomalies are also derived, and it is shown how some kinds of anomalies can be
removed. The equations defining the set of physical states are also given. It
turns out that the deformation quantisation of pure Yang-Mills theory is
straightforward whereas gravity is anomalous. A formal solution to the
Yang-Mills quantum constraints is found. In the \small{ADM} formalism of
gravity the anomaly is very complicated and the equations picking out physical
states become infinite order functional differential equations, whereas the
Ashtekar variables remedy both of these problems -- the anomaly becoming simply
a central extension (Schwinger term) and the equations for physical states
become finite order. We finally elaborate on the underlying geometrical
structure and show the method to be compatible with BRST methods.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 09:21:09 GMT""},{""version"":""v2"",""created"":""Thu, 22 Jan 1998 15:18:57 GMT""},{""version"":""v3"",""created"":""Tue, 11 Aug 1998 09:27:34 GMT""}]","2007-05-23"
"gr-qc/9710022","Wieslaw Rudnicki","W. Rudnicki","Testing Cosmic Censorship in Kerr-like Collapse Situations","6 pages, LaTeX 2.09","Mod.Phys.Lett. A12 (1997) 2237-2242","10.1142/S0217732397002302",,"gr-qc",,"  According to the cosmic censorship hypothesis of Penrose, naked singularities
should never occur in realistic collapse situations. One of the major open
problems in this context is the existence of a naked singularity in the Kerr
solution with |a|>m; this singularity can be interpreted as the final product
of collapse of a rapidly rotating object. Assuming that certain very general
and physically reasonable conditions hold, we show here, using the global
techniques, that a realistic gravitational collapse of any rotating object,
which develops from a regular initial state, cannot lead to the formation of a
final state resembling the Kerr solution with a naked singularity. This result
supports the validity of the cosmic censorship hypothesis.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 11:25:24 GMT""}]","2009-10-30"
"gr-qc/9710023","Masaru Shibata","Masaru Shibata(Osaka University), Ken-ichi Oohara(Niigata University),
  and Takashi Nakamura(YITP)","Numerical study on the hydrodynamic instability of binary stars in the
  first post Newtonian approximation of general relativity","16 pages(11 figures). To appear in Prog. Theor. Phys. vol.98(1997)","Prog.Theor.Phys. 98 (1997) 1081-1098","10.1143/PTP.98.1081","OU-TAP 64, YITP-97-41","gr-qc",,"  We present numerical results on the hydrodynamic stability of coalescing
binary stars in the first post Newtonian(1PN) approximation of general
relativity. We pay particular attention to the hydrodynamical instability of
corotating binary stars in equilibrium states assuming the stiff polytropic
equation of state with the adiabatic constant $\Gamma=3$. In previous 1PN
numerical studies on corotating binary stars in equilibrium states, it was
found that along the sequence of binary stars as a function of the orbital
separation, they have the energy and/or angular momentum minima where the
secular instability sets in, and that with increase of the 1PN correction, the
orbital separation at these minima decreases while the angular velocity there
increases. In this paper, to know the location of the innermost stable circular
orbit(ISCO), we perform numerical simulations and find where the hydrodynamical
instability along the corotating sequences of binary sets in. From the
numerical results, we found that the dynamical stability limit seems to exist
near the energy and/or angular momentum minima not only in the Newtonian, but
also in the 1PN cases. This means that the 1PN effect of general relativity
increases the angular frequency of gravitational waves at the ISCO.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 12:49:54 GMT""}]","2009-10-30"
"gr-qc/9710024","Malcolm MacCallum","M.A.H. MacCallum","Hypersurface-orthogonal generators of an orthogonally transitive
  transitive $G_2I$, topological identifications, and axially and cylindrically
  symmetric spacetimes","16 pages, latex 2.09, no figures. Accepted for publication in General
  Relativity and Gravitation","Gen.Rel.Grav.30:131-150,1998","10.1023/A:1018833219068",,"gr-qc",,"  A criterion given by Castejon-Amenedo and MacCallum (1990) for the existence
of (locally) hypersurface-orthogonal generators of an orthogonally-transitive
two-parameter Abelian group of motions (a $G_2I$) in spacetime is re-expressed
as a test for linear dependence with constant coefficients between the three
components of the metric in the orbits in canonical coordinates. In general, it
is shown that such a relation implies that the metric is locally diagonalizable
in canonical coordinates, or has a null Killing vector, or can locally be
written in a generalized form of the `windmill' solutions characterized by
McIntosh. If the orbits of the $G_2I$ have cylindrical or toroidal topology and
a periodic coordinate is used, these metric forms cannot in general be realized
globally as they would conflict with the topological identification. The
geometry then has additional essential parameters, which specify the
topological identification. The physical significance of these parameters is
shown by their appearance in global holonomy and by examples of exterior
solutions where they have been related to characteristics of physical sources.
These results lead to some remarks about the definition of cylindrical
symmetry.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 13:46:58 GMT""}]","2008-11-26"
"gr-qc/9710025","James Hartle","Robert B. Griffiths (Carnegie-Mellon University) and James B. Hartle
  (University of California, Santa Barbara)","Comment on ``Consistent Sets Yield Contrary Inferences in Quantum
  Theory''","2pages, uses REVTEX 3.0","Phys.Rev.Lett. 81 (1998) 1981","10.1103/PhysRevLett.81.1981",,"gr-qc hep-th quant-ph",,"  In a recent paper Kent has pointed out that in consistent histories quantum
theory it is possible, given initial and final states, to construct two
different consistent families of histories, in each of which there is a
proposition that can be inferred with probability one, and such that the
projectors representing these two propositions are mutually orthogonal. In this
note we stress that, according to the rules of consistent history reasoning two
such propositions are not contrary in the usual logical sense namely, that one
can infer that if one is true then the other is false, and both could be false.
No single consistent family contains both propositions, together with the
initial and final states, and hence the propositions cannot be logically
compared. Consistent histories quantum theory is logically consistent,
consistent with experiment as far as is known, consistent with the usual
quantum predictions for measurements, and applicable to the most general
physical systems. It may not be the only theory with these properties, but in
our opinion, it is the most promising among present possibilities.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 15:26:13 GMT""}]","2009-10-30"
"hep-lat/9710014","Alun George","Alun George (U. Wales Swansea)","A Note on the Action in d>4 Dynamical Triangulations","3 page contribution to Lattice'97 proceedings","Nucl.Phys.Proc.Suppl. 63 (1998) 766-768","10.1016/S0920-5632(97)00898-0","SWAT/97/167","hep-lat",,"  For dynamical triangulations in dimensions d<=4 the most general action has
two couplings. We note that the most general action for d=5 has three
couplings. We explore this larger coupling space using Monte Carlo simulations.
Initial results indicate evidence for non-trivial phase structure.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 16:06:54 GMT""}]","2009-10-30"
"hep-lat/9710015","Howard D. Trottier","Howard D. Trottier and G. Peter Lepage","Perturbative coefficients for improved actions by Monte Carlo at large
  $\beta$","3 Pages, LaTeX (espcrc2.sty, uses \psfig), 3 Postscript figures, Talk
  presented at LATTICE'97, Edinburgh","Nucl.Phys.Proc.Suppl. 63 (1998) 865-867","10.1016/S0920-5632(97)00923-7",,"hep-lat",,"  Perturbative estimates of operator coefficients for improved lattice actions
are becoming increasingly important for precision simulations of many hadronic
observables. Following previous work by Dimm, Lepage, and Mackenzie, we
consider the feasibility of computing operator coefficients from numerical
simulations deep in the perturbative region of lattice theories. Here we
introduce a background field technique that may allow for the computation of
the coefficients of clover-field operators in a variety of theories. This
method is tested by calculations of the renormalized quark mass in lattice
NRQCD, and of the $O(\alpha_s)$ clover coefficient for Sheikholeslami-Wohlert
fermions. First results for the coefficient of the magnetic moment operator in
NRQCD are also presented.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 21:39:46 GMT""}]","2009-10-30"
"hep-lat/9710016","Yannick Meurice","J. J. Godina (1 and 3), Y. Meurice (1 and 2) and S. Niermann (1) ((1)
  Univ. of Iowa, (2) CERN, (3) CINVESTAV-IPN)","A Check of a D=4 Field-Theoretical Calculation Using the
  High-Temperature Expansion for Dyson's Hierarchical Model","Uses Revtex, 27 pages including 13 figures","Nucl.Phys. B519 (1998) 737-755","10.1016/S0550-3213(98)00173-4","U. of Iowa 97-2502; CERN 97-252","hep-lat cond-mat.stat-mech hep-th",,"  We calculate the high-temperature expansion of the 2-point function up to
order 800 in beta. We show that estimations of the critical exponent gamma
based on asymptotic analysis are not very accurate in presence of confluent
logarithmic singularities. Using a direct comparison between the actual series
and the series obtained from a parametrization of the form (beta_c
-beta)^(-gamma) (Ln(beta_c -beta))^p +r), we show that the errors are minimized
for gamma =0.9997 and p=0.3351, in very good agreement with field-theoretical
calculations. We briefly discuss the related questions of triviality and
hyperscaling
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 22:42:50 GMT""}]","2009-10-30"
"hep-lat/9710017","Izubuchi Taku","T. Hotta, T. Izubuchi, J. Nishimura","A new phase structure in three-dimensional dynamical triangulation model","3 pages, 3 EPS figures, uses espcrc2, talk presented at ""Lattice'97"",
  to appear in the proceedings","Nucl.Phys.Proc.Suppl. 63 (1998) 757-759","10.1016/S0920-5632(97)00895-5",,"hep-lat",,"  We investigate a new phase structure of the three-dimensional dynamical
triangulation model with an additional local term by Monte Carlo simulation. We
find that the first order phase transition observed for the naive
Einstein-Hilbert action terminates at a finite coefficient of the new term. The
phase transition turns into second order at the endpoint, beyond which it
becomes a crossover.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 01:00:26 GMT""}]","2009-10-30"
"hep-lat/9710018","Haris Panagopoulos","B. Alles, C. Christou, A. Feo, H. Panagopoulos and E. Vicari","Three-Loop Results in QCD with Wilson Fermions","3 pages, LaTeX (fleqn.sty, espcrc2.sty), contribution to Lattice'97.
  Table caption corrected. The longer write-ups are in hep-lat/9801007 (beta
  function) and hep-lat/9801003 (plaquette)","Nucl.Phys.Proc.Suppl. 63 (1998) 799-801","10.1016/S0920-5632(97)00904-3","IFUP-TH 46/97, UCY-PHY 6/97","hep-lat",,"  We calculate the third coefficient of the lattice beta function in QCD with
Wilson fermions, extending the pure gauge results of Luescher and Weisz; we
show how this coefficient modifies the scaling function on the lattice.
  We also calculate the three-loop average plaquette in the presence of Wilson
fermions. This allows us to compute the lattice scaling function both in the
standard and energy schemes.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 13:06:07 GMT""},{""version"":""v2"",""created"":""Mon, 12 Jan 1998 10:08:45 GMT""}]","2009-10-30"
"hep-lat/9710019",,"Stephan Elser and Burkhard Bunk (Humboldt-Universit\""at, Berlin)","Topological sectors and the pion mass","11 pages, 17 Postscript figures, uses a4, epsf",,,,"hep-lat",,"  We study quenched and dynamical pion correlators in the two-flavour Schwinger
model (2D QED) both within topological charge sectors and averaged. The results
show that a clean-cut definition of a pion mass is no longer possible if
tunneling between sectors does not occur.
  PACS numbers: 11.15.Ha, 12.20.-m, 11.10.Kk
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 13:31:56 GMT""}]","2007-05-23"
"hep-lat/9710020","Tony Duncan","W. Bardeen (Fermilab), A. Duncan (Univ. of Pittsburgh), E. Eichten
  (Fermilab), and H. Thacker (Univ. of Virginia)","QED2 as a testbed for interpolations between quenched and full QCD","Talk presented by A. Duncan at LATTICE97 (theoretical developments)","Nucl.Phys.Proc.Suppl. 63 (1998) 811-813","10.1016/S0920-5632(97)00908-0",,"hep-lat",,"  Lattice QED2 with the Wilson formulation of fermions is used as a convenient
model system to study artifacts of the quenched approximation on a finite
lattice. The quenched functional integral is shown to be ill-defined in this
system as a consequence of the appearance of exactly real modes for physical
values of the fermion mass.
  The location and frequency of such modes is studied as a function of lattice
spacing, lattice volume, topological charge and improved action parameters. The
efficacy of the recently proposed modified quenched approximation is examined,
as well as a new approach to the interpolation from the quenched to full
dynamical theory employing a truncated form of the fermion determinant.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 15:44:39 GMT""}]","2009-10-30"
"hep-ph/9710217","Graham Kribs","S. Ambrosanio, Graham D. Kribs, and Stephen P. Martin","Three-body decays of selectrons and smuons in low-energy supersymmetry
  breaking models","LaTeX, 16 pages. v3 corrects sign errors in eqs. (9) and (10)","Nucl.Phys.B516:55-69,1998","10.1016/S0550-3213(98)00041-8","UM-TH-97-25, SLAC-PUB-7668","hep-ph hep-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In models with low-energy supersymmetry breaking, it is well-known that
charged sleptons can be significantly lighter than the lightest neutralino,
with the gravitino and lighter stau being the lightest and next-to-lightest
supersymmetric particles respectively. We give analytical formulas for the
three-body decays of right-handed selectrons and smuons into final states
involving a tau, a stau, and an electron or muon, which are relevant in this
scenario. We find that the three-body decays dominate over much of the
parameter space, but the two-body decays into a lepton and a gravitino can
compete if the three-body phase space is small and the supersymmetry-breaking
scale (governing the two-body channel) is fairly low. We study this situation
quantitatively for typical gauge-mediated supersymmetry breaking model
parameters. The three-body decay lengths are possibly macroscopic, leading to
new unusual signals. We also analyze the final-state energy distributions, and
briefly assess the prospects for detecting these decays at CERN LEP2 and other
colliders.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 18:16:53 GMT""},{""version"":""v2"",""created"":""Thu, 16 Oct 1997 01:18:36 GMT""},{""version"":""v3"",""created"":""Mon, 28 Jul 2008 21:56:16 GMT""}]","2008-11-26"
"hep-ph/9710224","Claude Bourrely","C. Bourrely, J. Soffer and O.V. Teryaev","The $Q^2$ evolution of Soffer inequality","11 pages, LateX, eps sty, 3 eps figures","Phys.Lett.B420:375-381,1998","10.1016/S0370-2693(97)01538-4","CPT-97/P.3538","hep-ph",,"  DGLAP evolution equations may be presented in a form completely analogous to
the Boltzmann equation. This provides a natural proof of the positivity of the
spin-dependent parton distributions, provided the initial distributions at
$Q^2_0$ are also positive. In addition, the evolution to $Q^2 < Q^2_0$ may
violate positivity, providing therefore a 'time arrow'. The positivity
condition is just $|\Delta P_{ij} (z)| \leq P_{ij} (z) $ for $z < 1$ for all
types of partons, while the $'+'$prescription and terms containing
$\delta(1-z)$ do not affect positivity. This method allows one to complete
immediately the existing proof of Soffer inequality at leading and
next-to-leading order.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 16:00:35 GMT""}]","2014-11-17"
"hep-ph/9710225","Thomas Gajdosik","Ekaterina Christova and Dimitar Draganov","On the top-quark polarization and how to measure it","9 pages, LaTex, 3 ps.figures","Phys.Lett. B434 (1998) 373-378","10.1016/S0370-2693(98)00630-3","INRNE-TH-97/08","hep-ph",,"  The top quark is expected to decay as a free particle with definite momentum
and polarization. Here we consider the possibilities to obtain information
about its polarization through the energy and angular distributions of the
b-quarks from the decay of the top-quarks produced in $e^+e^-$ annihilation.
Analytic expressions and numerical estimates for different beam polarizations
are derived.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 17:08:44 GMT""}]","2009-10-30"
"hep-ph/9710226","Joao Pacheco B. C. de Melo","H. W. L. Naus (Institute for Theoretical Physics, University of
  Hannover), J. P. B. C de Melo (Instituto de Fisica da Universidade de Sao
  Paulo) and T. Frederico (Departamento de Fisica,ITA, Centro Tecnico
  Aeroespacial)","Ward-Takahashi Identidy on the Ligth-Front","11 pages,include two figures (fig1.eps and fig2.eps), use latex,epsf
  e-mail: naus@itp.uni-hannover.de, pacheco@axpfep1.if.usp.br and
  tobias@fis.ita.cta.br Submitted to Few-Body Systems (1997)","Few Body Syst. 24 (1998) 99-107","10.1007/s006010050080",,"hep-ph",,"  The Ward-Takahashi identity, reflecting local gauge invariance, is
perturbatively verified for a boson model in light front field theory. A
careful integration over the light front energy, corresponding to exactly
taking into account pair terms, which are the contributions of the zero
longitudinal momentum mode, is crucial to obtain this result. Furthermore, the
one-loop boson form factors are calculated for arbitrary off-shell momenta.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 17:14:42 GMT""}]","2009-10-30"
"hep-ph/9710227","Gerhard Schuler","G.A. Schuler (CERN) and M. V\""anttinen (TU M\""unchen)","$\chi_{c J}$ production in $e^+e^-$ annihilation","11 pages, Revtex, 2 figures","Phys.Rev. D58 (1998) 017502","10.1103/PhysRevD.58.017502","CERN-TH/97-261","hep-ph",,"  Inclusive production of $\chi_{c J}$ in $e^+e^-$ annihilation is an excellent
probe of the role of higher Fock states in the production of heavy quarkonia.
Within the non-relativistic QCD approach, contributions from the short-distance
production of colour-octet $c\bar{c}$ pairs are significantly larger than those
from colour-singlet production. At the same time, $\chi_{c J}$ production rates
are significantly smaller than expected in the colour evaporation approach.
Measurements of $\chi_{\c J}$ production at CLEO and future B-factories will
thus constitute a major test of theoretical approaches to the production of
heavy quarkonia.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 17:31:46 GMT""}]","2009-10-30"
"hep-ph/9710228","Joao Pacheco B. C. de Melo","J. P.B. C. de Melo (Instituto de Fisica da Universidade de Sao Paulo),
  H. W. L. Naus (Institute for Theoretical Physics, University of Hannover),
  and T. Frederico (Departamento de Fisica,ITA, Centro Tecnico Aeroespacial)","Pion Eletromagnetic Current in the Ligth-Cone Formalism","11 pages,include figure (pion.eps), use latex,epsf e-mail:
  nau@itp.uni-hannover.de, pacheco@axpfep1.if.usp.br and tobias@fis.ita.cta.br
  Submitted to Phys.Letters. B (1997)","Phys.Rev. C59 (1999) 2278-2281","10.1103/PhysRevC.59.2278",,"hep-ph",,"  The electromagnetic form factor of the pion is calculated in a pseudoscalar
field theoretical model which constituent quarks. We extract the form factor
using the ""+"" component of the electromagnetic current in the light-cone
formalism. For comparison, we also compute the form factor in the covariant
framework and we obtain perfect agreement. It is shown that the pair terms do
not contribute in this pseudoscalar model. This explains why a naive light-cone
calculation, i.e., omitting pair terms from the onset, also yields the same
results.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 20:24:18 GMT""}]","2009-10-30"
"hep-ph/9710229","Thomas G. Rizzo","Thomas.G. Rizzo","Z' Investigations at Future Lepton Colliders","11 pages, 7 figs. uses mprocl.sty. To appear in the Proceedings of
  the 2nd International Workshop on e^-e^- Interactions at TeV Energies","Int.J.Mod.Phys.A13:2245-2254,1998","10.1142/S0217751X98001049","SLAC-PUB-7663","hep-ph",,"  In this talk I summarize the capability of future lepton colliders to
indirectly discover a new $Z'$ and to determine its couplings to the fermions
of the Standard Model. The physics associated with sitting on the $Z'$-pole is
also briefly discussed. This analysis is based on the results presented in the
Snowmass 1996 New Gauge Boson Working Group report.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 20:48:19 GMT""}]","2011-01-25"
"hep-ph/9710230","Tomohiro Matsuda","Tomohiro Matsuda","Domain wall solution for vector like model","9 pages, Latex, Final version to appear in Physics Letter B","Phys.Lett. B423 (1998) 40-44","10.1016/S0370-2693(98)00097-5","KEK-TH-546","hep-ph hep-th",,"  Domain wall solution for $N_{c}=N_{f}$ supersymmetric QCD is constructed.
Astrophysical implications of the domain wall configuration is also discussed.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 04:46:05 GMT""},{""version"":""v2"",""created"":""Wed, 19 Nov 1997 06:08:54 GMT""}]","2009-10-30"
"hep-ph/9710231","Sei Umisedo Quark-Nuclear Group Research","S. Umisedo, H. Suganuma and H. Toki (Research Center for Nuclear
  Physics, Osaka Univ.)","Correlation between Confinement and Chiral-Symmetry Breaking in the Dual
  Higgs Theory","13pages,LaTeX,8figures","Phys.Rev. D57 (1998) 1605-1614","10.1103/PhysRevD.57.1605",,"hep-ph",,"  We study the correlation between confinement and dynamical chiral-symmetry
breaking (D$\chi$SB) in the dual Ginzburg-Landau (DGL) theory using the
effective potential formalism. The DGL theory is an infrared effective theory
based on the dual Higgs mechanism, and provides the nonperturbative gluon
propagator, which leads to the linear quark potential. The screening effect for
the confining potential can be obtained by introducing the infrared cutoff
corresponding to the hadron size. We formulate the effective potential for
D$\chi$SB in the DGL theory, and find the vacuum instability against quark
condensation. To extract confinement effect, we separate the effective
potential into the confinement part and others by dividing the confinement term
from other terms in the gluon propagator in the DGL theory. The confinement
part provides the dominant contribution to D$\chi$SB, which is regarded as
monopole dominance for D$\chi$SB. The relevant energy for D$\chi$SB is found to
be the infrared region below 1GeV. Monopole dominance for the DGL propagator is
also found in the intermediate region, 0.2fm $\simle r \simle$ 1fm.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 07:54:09 GMT""}]","2009-10-30"
