"alg-geom/9710011","Andrew Kresch","Andrew Kresch","Canonical rational equivalence of intersections of divisors","LaTeX2e, 14 pages; expanded intro; new first section fixes some
  errors",,,,"alg-geom math.AG",,"  We consider the operation of intersecting with a locally principal Cartier
divisor (i.e., a Cartier divisor which is principal on some neighborhood of its
support). We describe this operation explicitly on the level of cycles and
rational equivalences and as a corollary obtain a formula for rational
equivalence between intersections of two locally principal Cartier divisors.
Such canonical rational equivalence applies quite naturally to the setting of
algebraic stacks. We present two applications: (i) a simplification of the
development of Fulton-MacPherson-style intersection theory on Deligne-Mumford
stacks, and (ii) invariance of a key rational equivalence under a certain group
action (which is used in developing the theory of virtual fundamental classes
via intrinsic normal cones).
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 00:28:31 GMT""},{""version"":""v2"",""created"":""Thu, 4 Dec 1997 18:47:17 GMT""}]","2016-08-30"
"cond-mat/9710087","Peter Swain","A.O. Parry, P.S. Swain","Coupled Hamiltonians and Three Dimensional Short-Range Wetting
  Transitions","34 pages, RevTex, 8 eps figures. To appear in Physica A",,"10.1016/S0378-4371(97)00525-6",,"cond-mat.soft cond-mat.stat-mech",,"  We address three problems faced by effective interfacial Hamiltonian models
of wetting based on a single collective coordinate \ell representing the
position of the unbinding fluid interface. Problems (P1) and (P2) refer to the
predictions of non-universality at the upper critical dimension d=3 at critical
and complete wetting respectively which are not borne out by Ising model
simulation studies. (P3) relates to mean-field correlation function structure
in the underlying continuum Landau model. We investigate the hypothesis that
these concerns arise due to the coupling of order parameter fluctuations near
the unbinding interface and wall. For quite general choices of collective
coordinates X_i we show that arbitrary two-field models H[X_1,X_2] can recover
the required anomalous structure of mean-field correlation functions (P3). To
go beyond mean-field theory we introduce a set of Hamiltonians based on proper
collective coordinates s near the wall which have both interfacial and
spin-like components. We argue that an optimum model H[s,\ell] in which the
degree of coupling is controlled by an angle-like variable, best describes the
non-universality of the Ising model and investigate its critical behaviour. For
critical wetting the appropriate Ginzburg criterion shows that the true
asymptotic critical regime for the local susceptibility \chi_1 is dramatically
reduced consistent with observations of mean-field behaviour in simulations
(P1). For complete wetting the model yields a precise expression for the
temperature dependence of the renormalized critical amplitude \theta in good
agreement with simulations (P2). We highlight the importance of a new wetting
parameter which describes the physics that emerges due to the coupling effects.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 14:09:15 GMT""}]","2015-06-25"
"cond-mat/9710088","Henry Krakauer","H. Krakauer, R. Yu, C.-Z. Wang (College of William and Mary), and K.
  M. Rabe, U. V. Waghmare (Yale University)","Dynamic Local Distortions in Ferroelectrics","4 pages, REVTeX, three eps figures",,,,"cond-mat.mtrl-sci",,"  Molecular-dynamics simulations of KNbO$_3$ reveal preformed dynamic
chain-like structures, present even in the paraelectric phase, that are related
to the softening of phonon branches over large regions of the Brillouin zone.
The phase sequence of ferroelectric transitions is correctly reproduced,
showing that the first-principles effective Hamiltonian used in the simulations
captures the essential behavior of the microscopic fluctuations driving the
transitions. Real space chains provide a framework for understanding both the
displacive and order-disorder characteristics of these phase transitions.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 15:08:26 GMT""}]","2007-05-23"
"cond-mat/9710089","Joshua E. S. Socolar","Joshua E. S. Socolar","Average stresses and force fluctuations in non-cohesive granular
  materials","18 pages, 10 figures. Uses aps,epsfig,graphicx,floats,revtex",,"10.1103/PhysRevE.57.3204",,"cond-mat",,"  A lattice model is presented for investigating the fluctuations in static
granular materials under gravitationally induced stress. The model is similar
in spirit to the scalar q-model of Coppersmith et al., but ensures balance of
all components of forces and torques at each site. The geometric randomness in
real granular materials is modeled by choosing random variables at each site,
consistent with the assumption of cohesionless grains. Configurations of the
model can be generated rapidly, allowing the statistical study of relatively
large systems. For a 2D system with rough walls, the model generates
configurations consistent with continuum theories for the average stresses
(unlike the q-model) without requiring the assumption of a constitutive
relation. For a 2D system with periodic boundary conditions, the model
generates single-grain force distributions similar to those obtained from the
q-model with a singular distribution of q's.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 15:27:11 GMT""}]","2009-10-30"
"cond-mat/9710090","Frank Zimmerschied","J.-Q. Liang, Y.-B. Zhang, H.J.W. Mueller-Kirsten, Jian-Ge Zhou, F.
  Zimmerschied, F.-C. Pu","Enhancement of Quantum Tunneling for Excited States in Ferromagnetic
  Particles","18 pages, LaTex, 1 figure",,"10.1103/PhysRevB.57.529",,"cond-mat hep-th",,"  A formula suitable for a quantitative evaluation of the tunneling effect in a
ferromagnetic particle is derived with the help of the instanton method. The
tunneling between n-th degenerate states of neighboring wells is dominated by a
periodic pseudoparticle configuration. The low-lying level-splitting previously
obtained with the LSZ method in field theory in which the tunneling is viewed
as the transition of n bosons induced by the usual (vacuum) instanton is
recovered. The observation made with our new result is that the tunneling
effect increases at excited states. The results should be useful in analyzing
results of experimental tests of macroscopic quantum coherence in ferromagnetic
particles.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 15:32:49 GMT""}]","2016-08-31"
"cond-mat/9710091","Pedro L. de Andres","P.L. de Andres, K. Reuter, F.J. Garcia-Vidal, D. Sestovic and F.
  Flores","A theoretical analysis of Ballistic Electron Emission Microscopy:
  k-space distributions and spectroscopy","17 pages, 5 figures (postscript), Latex, APS,
  http://www.icmm.csic.es/Pandres/pedro.htm. Appl. Surf. Sci. (in press)","Appl. Surf. Sci. {\bf 123}, 199 (1998)","10.1016/S0169-4332(97)00428-5",,"cond-mat.mtrl-sci",,"  We analyze BEEM experiments. At low temperatures and low voltages, near the
threshold value of the Schottky barrier, the BEEM current is dominated by the
elastic component. Elastic scattering by the lattice results in the formation
of focused beams and narrow lines in real space. To obtain the current injected
in the semiconductor, we compute the current distribution in reciprocal space
and, assuming energy and $k_{\parallel}$ conservation. Our results show an
important focalization of the injected electron beam and explain the similarity
between BEEM currents for Au/Si(111) and Au/Si(100).
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 15:35:28 GMT""}]","2015-06-25"
"gr-qc/9710051","Robert Jantzen","Robert T Jantzen, Donato Bini, Paolo Carini","The Inertial Forces / Test Particle Motion Game","References corrected and updated, one equation (9) corrected, 22
  pages, latex, 3 included pictex figures, needs World Scientific proceedings
  style file mprocl.sty, and prepictex.tex, pictex.tex, postpictex.tex (all
  available at http://xxx.lanl.gov), to appear in the Proceedings of the Eighth
  Marcel Grossmann Meeting on General Relativity (Tsvi Piran, Ed.), World
  Scientific, 1998","Proceedings of the Eighth Marcel Grossmann Meeting on General
  Relativity, Tsvi Piran, Editor, World Scientific, Singapore, 1998, Vol. A,
  pp. 376-397",,,"gr-qc",,"  The somewhat fragmented body of current literature analyzing the properties
of test particle motion in static and stationary spacetimes and in general
spacetimes is pulled together and clarified using the framework of
gravitoelectromagnetism.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 16:10:35 GMT""},{""version"":""v2"",""created"":""Tue, 4 Aug 1998 19:39:18 GMT""}]","2007-05-23"
"gr-qc/9710052","Max","Maximo Banados","Black Holes of Constant Curvature","3 pages, latex [mprocl], no figures. To appear in Proceedings of MG8.
  Misprints corrected and some sentences added to clarify the nature of the
  black hole horizon",,,,"gr-qc",,"  Black holes of constant curvature are constructed by identifying points in
anti-de Sitter space. In n dimensions the resulting topology is R^{n-1} * S_1,
as opposed to the usual R^2 * S_{n-2} Schwarzschild black hole.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 00:00:27 GMT""},{""version"":""v2"",""created"":""Tue, 4 Nov 1997 03:14:14 GMT""}]","2007-05-23"
"gr-qc/9710053","Alan Rendall","James Isenberg, Alan D. Rendall","Cosmological spacetimes not covered by a constant mean curvature slicing","11 pages","Class.Quant.Grav. 15 (1998) 3679-3688","10.1088/0264-9381/15/11/025",,"gr-qc",,"  We show that there exist maximal globally hyperbolic solutions of the
Einstein-dust equations which admit a constant mean curvature Cauchy surface,
but are not covered by a constant mean curvature foliation.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 11:30:41 GMT""}]","2009-10-30"
"hep-ex/9710006","Andrew Kirk","A. Belogianni et al (The WA91 Collaboratio)","Confirmation of a soft photon signal in excess of Q.E.D. expectations in
  pi p interactions at 280 GeV/c","11 pages, Latex, 3 Figures plus layout figure","Phys.Lett. B408 (1997) 487-492","10.1016/S0370-2693(97)00762-4",,"hep-ex",,"  Photons produced in pi p interactions at 280 GeV/c were detected by
reconstructing the e+e- pairs produced via the materialisation of the photons
in a 1 mm thick lead sheet placed in front of the MWPCs of the OMEGA
spectrometer at CERN. A soft photon signal 7.8 +/- 1.5 times the Q.E.D. inner
bremsstrahlung prediction was observed confirming the results of a previous
experiment.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 08:19:26 GMT""}]","2009-10-30"
"hep-lat/9710035","Victor Martin Mayor","J. L. Alonso, Ph. Boucaud, V. Martin-Mayor, A. J. van der Sijs","A lattice field theoretical model for high-$T_c$ superconductivity","talk presented in the Lattice 97 conference","Nucl.Phys.Proc.Suppl.63:658-660,1998","10.1016/S0920-5632(97)00863-3",,"hep-lat",,"  We present a 2+1-dimensional lattice model for the copper oxide
superconductors and their parent compounds, in which both the charge and spin
degrees of freedom are treated dynamically. The spin-charge coupling parameter
is associated to the doping fraction in the cuprates. The model is able to
account for the various phases of the cuprates and their properties, not only
at low and intermediate doping but also for (highly) over-doped compounds. We
acquire a qualitative understanding of high-$T_c$ superconductivity as a
Bose-Einstein condensation of bound charge pairs.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 10:07:16 GMT""}]","2010-03-19"
"hep-lat/9710036","Peter Boyle","P. Boyle, UKQCD Collaboration","Heavy Meson Spectroscopy at Beta=6.0","Contribution to Lattice 97 proceedings: 3 pages, 7 postscript
  figures, LaTeX2e, uses espcrc2.sty","Nucl.Phys.Proc.Suppl. 63 (1998) 314-316","10.1016/S0920-5632(97)00755-X","Edinburgh 97/23","hep-lat",,"  We present results of a quenched calculation of the heavy-light and
quarkonium spectrum using the tadpole improved clover action. We resolve
completely the triplet chi P-states in quarkonium systems, and obtain evidence
for fine structure of the heavy-light P-states. Approximate scaling of the
hyperfine splittings is observed, producing results that are significantly
below experiment.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 14:36:43 GMT""}]","2009-10-30"
"hep-lat/9710037","Gerrit Schierholz","C. Best, M. G\""ockeler, R. Horsley, H. Perlt, P. Rakow, A. Sch\""afer,
  G. Schierholz, A. Schiller and S. Schramm","The Deep-Inelastic Structure Functions of $\pi$ and $\rho$ Mesons","Contribution to Lattice 1997; to appear in Nucl. Phys. B (Proc.
  Suppl.)","Nucl.Phys.Proc.Suppl.63:236-238,1998","10.1016/S0920-5632(97)00731-7",,"hep-lat",,"  We compute the lower moments of the structure functions of $\pi$ and $\rho$.
Of particular interest are the spin-dependent structure functions of the $\rho$
as they give new information about quark binding effects.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 15:34:55 GMT""}]","2008-11-26"
"hep-ph/9710284","Subhendra Mohanty","Subhendra Mohanty","Source lifetime dependence of neutrino oscillations - a simple
  wave-function derivation","12 pages latex, 3 ps figure files",,,,"hep-ph",,"  When neutrinos are produced from long lived particles the life-time of the
source particle affects the flavour conversion probability formula. Due to this
source dependence experiments (like LSND) which use muon decay neutrinos are
two orders of magnitude more sensitive to lower values of mass square
difference compared to other experiments where the sources are pions or kaons.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 19:11:14 GMT""}]","2007-05-23"
"hep-ph/9710288","Sharon Jensen","S. J. Brodsky","Light-Cone Quantized QCD and Novel Hadron Phenomenology","LaTex, 64 pages, submitted to NuSS'97, Seoul, Korea (June 1997)
  additional references added",,,"SLAC-PUB-7645","hep-ph hep-th",,"  I review progress made in solving gauge theories such as collinear quantum
chromodynamics using light-cone Hamiltonian methods. I also show how the
light-cone Fock expansion for hadron wavefunctions can be used to compute
operator matrix elements such as decay amplitudes, form factors, distribution
amplitudes, and structure functions, and how it provides a tool for exploring
novel features of QCD. I also review commensurate scale relations,
leading-twist identities which relate physical observables to each other, thus
eliminating renormalization scale and scheme ambiguities in perturbative QCD
predictions.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 20:55:45 GMT""},{""version"":""v2"",""created"":""Mon, 13 Oct 1997 23:19:11 GMT""}]","2007-05-23"
"hep-ph/9710289","Ken Kiers","Ken Kiers and Nathan Weiss","Neutrino oscillations in a model with a source and detector","30 pages, 6 figures, Latex","Phys.Rev.D57:3091-3105,1998","10.1103/PhysRevD.57.3091",,"hep-ph",,"  We study the oscillations of neutrinos in a model in which the neutrino is
coupled to a localized, idealized source and detector. By varying the spatial
and temporal resolution of the source and detector we are able to model the
full range of source and detector types ranging from coherent to incoherent. We
find that this approach is useful in understanding the interface between the
Quantum Mechanical nature of neutrino oscillations on the one hand and the
production and detection systems on the other hand. This method can easily be
extended to study the oscillations of other particles such as the neutral K and
B mesons. We find that this approach gives a reliable way to treat the various
ambiguities which arise when one examines the oscillations from a wave packet
point of view. We demonstrate that the conventional oscillation formula is
correct in the relativistic limit and that several recent claims of an extra
factor of 2 in the oscillation length are incorrect. We also demonstrate
explicitly that the oscillations of neutrinos which have separated spatially
may be ""revived"" by a long coherent measurement.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 16:37:24 GMT""}]","2014-11-17"
"hep-ph/9710290","Xiangdong Ji","Xiangdong Ji","Lorentz Symmetry and the Internal Structure of the Nucleon","6 pages, no figure","Phys.Rev. D58 (1998) 056003","10.1103/PhysRevD.58.056003","U. Md PP# 98-042, DOE/ER/40762-133","hep-ph",,"  To investigate the internal structure of the nucleon, it is useful to
introduce quantities that do not transform properly under Lorentz symmetry,
such as the four-momentum of the quarks in the nucleon, the amount of the
nucleon spin contributed by quark spin, etc. In this paper, we discuss to what
extent these quantities do provide Lorentz-invariant descriptions of the
nucleon structure.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 19:40:01 GMT""}]","2009-10-30"
"hep-ph/9710291","Ivan Maksymyk","Ivan Maksymyk (TRIUMF Theory Group)","Comment Concerning Relativistic Corrections in NRQCD","11 pages, Revtex",,,"TRI-PP-97-32","hep-ph",,"  We examine the subtle differences between two possible frameworks for the
calculation of quarkonium production. The differences between the two methods
are not a concern when one calculates only to leading order in the relativistic
expansion, but when relativistic corrections are included, the two formulations
seem at first to be at variance with one another. They can be reconciled
however via a relativistically corrected mass relation relating the boundstate
mass and the quark mass.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 00:29:07 GMT""}]","2007-05-23"
"hep-ph/9710293","Guest Account","S.V.Goloskokov","Spin Effects In Diffractive Processes at HERA","3 pages, latex, 2 PS figures, talk at the lp DESY Working Group
  meeting during the 2nd Topical Workshop Deep Inelastic Scattering off
  Polarized Target: Theory Meets Experiment, DESY Zeuthen, September 1-5, 1997",,,,"hep-ph",,"  It is shown that the $A_{ll}$ asymmetry in diffractive $Q \bar Q$
leptoproduction is not small at HERA energies and dependent on the structure of
the pomeron couplings and on the masses of produced quarks. The connection of
this asymmetry with the non-forward gluon distribution in the proton is
discussed.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 09:38:12 GMT""}]","2007-05-23"
"hep-ph/9710294",,"M.Arneodo, S.Maselli, C.Peroni","A Spectrometer to Study Elastic and Diffractive Physics at LHC","26 pages, 13 figures, Latex, submitted in International Journal of
  Modern Physics A","Int.J.Mod.Phys. A13 (1998) 3993-4010","10.1142/S0217751X98001864",,"hep-ph",,"  The possibility to study elastic and diffractive physics in pp collisions at
LHC is investigated. For this purpose we have considered detectors close to the
beam in conjunction with the magnetic elements of the accelerator to provide a
high precision spectrometer for very forward final state protons. The
geometrical acceptance is given and momentum resolution is calculated for
different spatial resolution detectors.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 13:09:20 GMT""},{""version"":""v2"",""created"":""Thu, 20 Nov 1997 11:15:51 GMT""},{""version"":""v3"",""created"":""Fri, 21 Nov 1997 15:10:14 GMT""}]","2009-10-30"
"hep-ph/9710295","Nicolao Fornengo","A. Bottino (1), F. Donato (1), N. Fornengo (1) and S. Scopel (2) ((1)
  Universita' di Torino and INFN - Sezione di Torino, Italy, (2) Universidad de
  Zaragoza, Spain)","Extending a previous analysis on a possible modulation effect in WIMP
  direct search","7 pages, ReVTeX, 7 figures (high resolution figures are available at
  ftp://ftp.to.infn.it/pub/fornengo/_dftt61_97.uu",,,"DFTT 61/97","hep-ph astro-ph",,"  In this note we present an extension of our previous analysis of some
preliminary experimental results of the DAMA/NaI Collaboration which might be
indicative of a yearly modulation effect. Here we present a direct way for
obtaining from the experimental data the relevant cosmological implications for
relic neutralinos. We find that some of the configurations singled out by the
DAMA/NaI results would have cosmological properties compatible with a
neutralino as a dominant component of cold dark matter (on the average in the
Universe and in our galactic halo).
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 14:05:06 GMT""}]","2007-05-23"
"hep-ph/9710296","Arthur Hebecker","A Hebecker and P V Landshoff","Gauge Invariance and Factorisation in Exclusive Meson Production","11 pages LaTeX, 4 figures included, uses epsf","Phys.Lett.B419:393-399,1998","10.1016/S0370-2693(97)01413-5","DAMTP-97-102","hep-ph",,"  The structure of the nonperturbative vector meson vertex function complicates
the proof of the factorisation theorem for the reaction $\gamma^*p\to Vp$. It
leads to additional contributions but, in a simple model for the vertex
function, gauge invariance ensures that they cancel and factorisation is
preserved.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 14:49:18 GMT""}]","2009-02-20"
"hep-ph/9710297","Pham Q. Hung","P. Q. Hung","Minimal SU(5) Resuscitated by Higgs Coupling Fixed Points","13 pages, RevTex, 1 ps Figure (missing figure now included)",,,,"hep-ph",,"  The issue of gauge unification in the (non-supersymmetric) Standard Model is
reinvestigated. It is found that with just an additional fourth generation of
quarks and leptons, $SU(3) \otimes SU(2) \otimes U(1)$ gauge couplings converge
to a common point $\sim 2.65 \times 10^{15}$ GeV ($\tau_p \sim 10^{34 \pm 1}$
years) provided the Higgs boson has a mass of at least 210 GeV. The presence of
ultraviolet fixed points for the Yukawa and Higgs quartic couplings is found to
be the origin of such unification.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 15:06:37 GMT""},{""version"":""v2"",""created"":""Fri, 10 Oct 1997 15:36:07 GMT""}]","2007-05-23"
"hep-ph/9710298",,"V. Mor\'enas, A. Le Yaouanc, L. Oliver, O. P\`ene, J.-C. Raynal","Decay constants in the heavy quark limit in models \`a la Bakamjian and
  Thomas","21 pages, 2 figures, LaTeX2e, amsbsy (from the AMS-LaTeX package),
  epsf","Phys.Rev. D58 (1998) 114019","10.1103/PhysRevD.58.114019","LPTHE-Orsay 97/23, PCCF RI 9708","hep-ph",,"  In quark models \`a la Bakamjian and Thomas, that yield covariance and
Isgur-Wise scaling of form factors in the heavy quark limit, we compute the
decay constants $f^{(n)}$ and $f^{(n)}_{1/2}$ of S-wave and P-wave mesons
composed of heavy and light quarks. Heavy quark limit scaling $\sqrt{M} f =
Cst$ is obtained, and it is shown that this class of models satisfies the sum
rules involving decay constants and Isgur-Wise functions recently formulated by
us in the heavy quark limit of QCD. Moreover, the model also satisfies the
selection rules of the type $f^{(n)}_{3/2} = 0$ that must hold in this limit.
We discuss different Ans\""atze for the dynamics of the mass operator at rest.
For non-relativistic kinetic energies ${p^2 \over 2m}$ the decay constants are
finite even if the potential $V(r)$ has a Coulomb part. For the relativistic
form $\sqrt{p^2 + m^2}$, the S-wave decay constants diverge if there is a
Coulomb singularity. Using phenomenological models of the spectrum with
relativistic kinetic energy and regularized short distance part (Godfrey-Isgur
model or Richardson potential of Colangelo et al.), that yield $\rho^2 \simeq
1$ for the elastic Isgur-Wise function, we compute the decay constants in the
heavy quark limit, and obtain $f_B \simeq$ 300 MeV, of the same order although
slightly smaller than in the static limit of lattice QCD. We find the decay
constants of $D^{**}$ with $j =1/2$ of the same order of magnitude. The
convergence of the heavy quark limit sum rules is also studied.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 15:33:15 GMT""}]","2009-10-30"
"hep-ph/9710299","Steve Godfrey","Michael A. Doncheski, Stephen Godfrey and K. Andrew Peterson","Single W Boson Production in High Energy e-gamma Collisions","Latex file uses revtex version 3, epsfig, and rotate, 13 postscript
  figures are attached",,,"OCIP/C-97-06","hep-ph",,"  We studied single $W$ boson production in high energy $e\gamma$ collisions
and the sensitivity of various observables to the $WW\gamma$ gauge boson
coupling by evaluating the helicity amplitudes of all Feynman diagrams which
contribute to the final state being studied, including the $W$ decay to final
state fermions. We examined $W$ production at 500 GeV and 1 TeV $e^+e^-$
colliders, comparing results for photon spectra obtained from a backscattered
laser and from beamstrahlung radiation. Here we found that the couplings could
best be measured using the backscattered laser photons with
$|\delta\kappa_\gamma|\leq 0.07$ and $|\lambda_\gamma| \leq 0.05$ at a 500 GeV
collider and $|\delta\kappa_\gamma|\leq 0.07$ and $|\lambda_\gamma| \leq 0.02$
at a 1 TeV collider, all at 95% C.L.. The measurement of $\kappa_\gamma$ is at
the threshold of being able to measure loop contributions to the trilinear
gauge boson vertex. For completeness we include the limits achievable using
single $W$ production at a 200 GeV $e^+e^-$ collider in the Weizacker-Williams
approximation. This process can measure $\kappa_\gamma$ to $\pm 0.15$ at 95%
C.L. which is comparable to the $W$ pair production process.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 15:30:49 GMT""}]","2007-05-23"
"hep-th/9710071","Andrea Cappelli","Andrea Cappelli and Filippo Colomo","Solving the Frustrated Spherical Model with q-Polynomials","Latex, 14 pages, 2 eps figures","J.Phys.A31:3141-3151,1998","10.1088/0305-4470/31/14/004","preprint DFF 289/9/97","hep-th cond-mat",,"  We analyse the Spherical Model with frustration induced by an external gauge
field. In infinite dimensions, this has been recently mapped onto a problem of
q-deformed oscillators, whose real parameter q measures the frustration. We
find the analytic solution of this model by suitably representing the
q-oscillator algebra with q-Hermite polynomials. We also present a related
Matrix Model which possesses the same diagrammatic expansion in the planar
approximation. Its interaction potential is oscillating at infinity with period
log(q), and may lead to interesting metastability phenomena beyond the planar
approximation. The Spherical Model is similarly q-periodic, but does not
exhibit such phenomena: actually its low-temperature phase is not glassy and
depends smoothly on q.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 17:14:41 GMT""}]","2008-11-26"
"hep-th/9710074","Jiannis Pachos","Jiannis Pachos and Antonios Tsapalis","Static Colored SU(2) Sources in (1+1)-Dimensions - An Analytic Solution
  in the Electric Representation","10 pages, 4 figs, REVTEX","Mod.Phys.Lett. A13 (1998) 1371-1382","10.1142/S0217732398001431","MIT-CTP-2681","hep-th",,"  Within the Schroedinger Electric Representation we analytically calculate the
complete wave functional obeying Gauss' law with static SU(2) sources in
(1+1)-dimensions. The effective potential is found to be linear in the distance
between the sources as expected.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 23:01:11 GMT""},{""version"":""v2"",""created"":""Mon, 26 Jan 1998 22:58:33 GMT""}]","2009-10-30"
"hep-th/9710075","Steven Corley","Steven Corley","Computing the spectrum of black hole radiation in the presence of high
  frequency dispersion: an analytical approach","26 pages, plain latex, 6 figures included using psfig","Phys.Rev.D57:6280-6291,1998","10.1103/PhysRevD.57.6280","UMDGR-97-38","hep-th gr-qc",,"  We present a method for computing the spectrum of black hole radiation of a
scalar field satisfying a wave equation with high frequency dispersion. The
method involves a combination of Laplace transform and WKB techniques for
finding approximate solutions to ordinary differential equations. The modified
wave equation is obtained by adding a higher order derivative term suppressed
by powers of a fundamental momentum scale $k_0$ to the ordinary wave equation.
Depending on the sign of this new term, high frequency modes propagate either
superluminally or subluminally. We show that the resulting spectrum of created
particles is thermal at the Hawking temperature, and further that the out-state
is a thermal state at the Hawking temperature, to leading order in $k_0$, for
either modification.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 18:35:40 GMT""}]","2008-11-26"
"hep-th/9710076","Kimball A. Milton","Carl M. Bender and Kimball A. Milton","Model of supersymmetric quantum field theory with broken parity symmetry","20 pages, REVTeX, 11 postscript figures","Phys.Rev. D57 (1998) 3595-3608","10.1103/PhysRevD.57.3595","WUHEP/97-15","hep-th",,"  Recently, it was observed that self-interacting scalar quantum field theories
having a non-Hermitian interaction term of the form $g(i\phi)^{2+\delta}$,
where $\delta$ is a real positive parameter, are physically acceptable in the
sense that the energy spectrum is real and bounded below. Such theories possess
PT invariance, but they are not symmetric under parity reflection or time
reversal separately. This broken parity symmetry is manifested in a nonzero
value for $<\phi>$, even if $\delta$ is an even integer. This paper extends
this idea to a two-dimensional supersymmetric quantum field theory whose
superpotential is ${\cal S}(\phi)=-ig(i\phi)^{1+\delta}$. The resulting quantum
field theory exhibits a broken parity symmetry for all $\delta>0$. However,
supersymmetry remains unbroken, which is verified by showing that the
ground-state energy density vanishes and that the fermion-boson mass ratio is
unity.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 19:21:49 GMT""}]","2009-10-30"
"hep-th/9710077","Sharon Jensen","H. Pierre Noyes and E. D. Jones","Solution of a Relativistic Three-Body Problem","The second revision of this paper is minor, pointing out that the
  theory presented here is not Hamiltonian quantum mechanics but has instead
  the dispersion-theoretic foundation discussed extensively in HPN, Phys. Rev.
  C26, 1858-1877 (1982)","Few Body Syst. 27 (1999) 123-139","10.1007/s006010050126","SLAC-PUB-7609(rev2)","hep-th",,"  Starting from a relativistic s-wave scattering length model for the two
particle input we construct an unambiguous, unitary solution of the
relativistic three body problem given only the masses $m_a,m_b,m_c$ and the
masses of the two body bound states $\mu_{bc},\mu_{ca},\mu_{ab}$.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 20:10:35 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jun 1998 23:01:31 GMT""},{""version"":""v3"",""created"":""Mon, 21 Jun 1999 23:39:54 GMT""}]","2009-10-30"
"hep-th/9710078","Boris Pioline","B.Pioline and E.Kiritsis","U-duality and D-brane Combinatorics","17 pages, LaTeX2e, intro. shortened and minor typos corrected, final
  version","Phys.Lett. B418 (1998) 61-69","10.1016/S0370-2693(97)01398-1","CERN-TH/97-272, CPTH-S563.1097","hep-th",,"  We investigate D-brane instanton contributions to R^4 couplings in any
toroidal compactification of type II theories. Starting from the 11D
supergravity one-loop four-graviton amplitude computed by Green, Gutperle and
Vanhove, we derive the non-perturbative O(e^{-1/\lambda}) corrections to R^4
couplings by a sequence of T-dualities, and interpret them as precise
configurations of bound states of D-branes wrapping cycles of the
compactification torus. Dp-branes explicitely appear as fluxes on
D(p+2)-branes, and as gauge instantons on D(p+4)-branes. Specific rules for
weighting these contributions are obtained, which should carry over to more
general situations. Furthermore, it is shown that U-duality in D<=6 relates
these D-brane configurations to O(e^{-1/\lambda^2}) instantons for which a
geometric interpretation is still lacking.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 22:17:40 GMT""},{""version"":""v2"",""created"":""Tue, 9 Dec 1997 07:44:32 GMT""}]","2009-10-30"
