"alg-geom/9704021","Vincent Mercat","Vincent Mercat","Le probleme de Brill-Noether pour des fibres stables de petites pentes","48 pages, Plain tex, 6 postscript figures",,,,"alg-geom math.AG",,"  We deal with the Brill-Noether problem for stable vector bundles of slope
between one and two.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 17:34:01 GMT""}]","2008-02-03"
"gr-qc/9704070","N. K. Dadhich","Naresh Dadhich and K. Narayan","On the third law of black hole dynamics","9 pages, LaTeX version, Accepted in Physics Letters A","Phys.Lett. A231 (1997) 335-338","10.1016/S0375-9601(97)00337-X","IUCAA-31/97","gr-qc",,"  The third law of black hole dynamics states that the surface gravity
(temperature) of black hole cannot be reduced to zero in finite sequence of
physical interactions. We argue that the same is true when surface gravity is
replaced by gravitational charge. We demonstrate that the prescribed window for
infalling energy and radiation pinches off as extremality ($M^2 = a^2 + Q^2 $)
is approached.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 13:30:46 GMT""}]","2009-10-30"
"gr-qc/9704071","David Brown","David Brown","Boundary States and Black Hole Entropy","4 pages, Revtex","Phys.Rev. D57 (1998) 2624-2627","10.1103/PhysRevD.57.2624",,"gr-qc",,"  Black hole entropy is derived from a sum over boundary states. The boundary
states are labeled by energy and momentum surface densities, and parametrized
by the boundary metric. The sum over state labels is expressed as a functional
integral with measure determined by the density of states. The sum over metrics
is expressed as a functional integral with measure determined by the universal
expression for the inverse temperature gradient at the horizon. The analysis
applies to any stationary, nonextreme black hole in any theory of gravitational
and matter fields.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 14:51:33 GMT""}]","2009-10-30"
"hep-ex/9704013","Keneth Long","ZEUS Collaboration","Measurement of Elastic $J/\psi$ Photoproduction at HERA","Replacement has an updated author list. 32 pages, 5 figures, Latex,
  Submitted to Z. Phys. C","Z.Phys.C75:215-228,1997","10.1007/s002880050464","DESY-97-060","hep-ex",,"  The reaction gamma p -> J/Psi p has been studied in ep interactions using the
ZEUS detector at HERA. The cross section for elastic J/Psi photoproduction has
been measured as a function of the photon-proton centre of mass energy W in the
range 40 < W < 140 GeV at a median photon virtuality Q^2 of 5*10^{-5} GeV^2.
The photoproduction cross section, sigma_{gamma p -> J/Psi p}, is observed to
rise steeply with W. A fit to the data presented in this paper to determine the
parameter $\delta$ in the form sigma_{gamma p -> J/Psi p} \propto W^{\delta}
yields the value \delta = 0.92 \pm 0.14 \pm 0.10. The differential cross
section dsigma/d|t| is presented over the range |t| < 1.0 GeV^2 where t is the
square of the four-momentum exchanged at the proton vertex. d\sigma/d|t| falls
exponentially with a slope parameter of 4.6 \pm 0.4 (+0.4-0.6) GeV^{-2}. The
measured decay angular distributions are consistent with s-channel helicity
conservation.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 14:11:17 GMT""},{""version"":""v2"",""created"":""Fri, 23 May 1997 14:59:03 GMT""}]","2012-08-27"
"hep-lat/9704015","Shailesh Chandrasekharan","W. Bietenholz, R. Brower, S. Chandrasekharan and U.-J. Wiese","Perfect Lattice Topology: The Quantum Rotor as a Test Case","12 pages, including two figures. ordinary LaTeX, requires fps.sty;
  Submitted to Phys. Lett. B","Phys.Lett. B407 (1997) 283-289","10.1016/S0370-2693(97)00742-9","MIT-CTP-2583, HLRZ 01/97","hep-lat",,"  Lattice actions and topological charges that are classically and quantum
mechanically perfect (i.e. free of lattice artifacts) are constructed
analytically for the quantum rotor. It is demonstrated that the Manton action
is classically perfect while the Villain action is quantum perfect. The
geometric construction for the topological charge is only perfect at the
classical level. The quantum perfect lattice topology associates a topological
charge distribution, not just a single charge, with each lattice field
configuration. For the quantum rotor with the classically perfect action and
topological charge, the remaining cut-off effects are exponentially suppressed.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 22:26:58 GMT""}]","2009-10-30"
"hep-ph/9704395","Hung Hsiang Liu","Hung Hsiang Liu (Inst. of Phys, Academia Sinica)","Double parton scattering of hadron-hadron interaction and its gluonic
  contribution","21 pages of Latex, including 6 postscript figures",,,"IP-ASTP-3-97","hep-ph",,"  We propose a formalism for calculating the event cross-section of parton
interactions. In this formalism, we use the light-front bound-state wave
function to expand scattering initial state. This leads to an expression of the
cross-section in terms of square of wave functions which can be used to define
the parton distribution functions. The probability interpretation of the
partonic interactions among hadron-hadron scattering is naturally achieved. We
apply this formalism to calculate the 4-particle final state cross-section for
single parton, double parton and gluon splitting interactions. We compare the
behaviors of these cross sections and propose a method for experiments to
differentiate these interactions.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 01:41:31 GMT""}]","2007-05-23"
"hep-ph/9704400","Concha Gonzalez-Garcia","O.J.P. Eboli, M.C. Gonzalez-Garcia, and S.F. Novaes","Limits on Anomalous Top Couplings from Z Pole Physics","expanded version, 14 pages, 1 figures added","Phys.Lett. B415 (1997) 75-82","10.1016/S0370-2693(97)01230-6","IFT-P.034/97, IFUSP 1264, IFIC/97-20","hep-ph",,"  We obtain constraints on possible anomalous interactions of the top quark
with the electroweak vector bosons arising from the precision measurements at
the Z pole. In the framework of $SU(2)_L \otimes U(1)_Y$ chiral Lagrangians, we
examine all effective CP-conserving operators of dimension five which induce
fermionic currents involving the top quark. We constrain the magnitudes of
these anomalous interactions by evaluating their one-loop contributions to the
Z pole physics. Our analysis shows that the operators that contribute to the
LEP observables get bounds close to the theoretical expectation for their
anomalous couplings. We also show that those which break the $SU(2)_C$
custodial symmetry are more strongly bounded.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 16:29:35 GMT""},{""version"":""v2"",""created"":""Thu, 16 Oct 1997 11:37:46 GMT""}]","2009-10-30"
"hep-ph/9704403","Chung Kao","V. Barger and Chung Kao (University of Wisconsin)","Relic Density of Neutralino Dark Matter in Supergravity Models","REVTEX, 27 pages, 15 eps figures, to be published in Physical Review
  D","Phys.Rev.D57:3131-3139,1998","10.1103/PhysRevD.57.3131","MADPH--97--992","hep-ph",,"  We calculate the relic density ($\Omega_{\chi^0_1} h^2$) of neutralino dark
matter in supergravity models with radiative electroweak symmetry breaking, for
values of the Higgs sector parameter $\tan\beta \equiv v_2/v_1$ between the two
infrared fixed points of the top quark Yukawa coupling, $\tan\beta \simeq 1.8$
and $\tan\beta \simeq 56$. For $\tan\beta \alt 10$, the CP-odd Higgs
pseudoscalar ($A^0$) and the heavier CP-even Higgs scalar ($H^0$) are much
heavier than the lightest neutralino ($\chi^0_1$), and the annihilation cross
section of $\chi^0_1$ pairs is significantly enhanced only in the vicinity of
the lighter CP-even Higgs boson ($h^0$) and the $Z$ boson poles. For $\tan\beta
\agt 40$, $m_A$ and $m_H$ become comparable to $2m_{\chi^0_1}$, and the
neutralino annihilation cross section can be significantly enhanced by the
poles of the $H^0$ and the $A^0$ as well. For a cosmologically interesting
relic density, $0.1 \alt \Omega_{\chi^0_1} h^2 \alt 0.5$, we find that the
supergravity parameter space is tightly constrained. The mass spectra for
supersymmetric particles are presented for unification mass parameters in the
cosmologically interesting region.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 21:37:34 GMT""},{""version"":""v2"",""created"":""Fri, 25 Apr 1997 00:16:25 GMT""},{""version"":""v3"",""created"":""Tue, 17 Jun 1997 18:43:37 GMT""},{""version"":""v4"",""created"":""Sat, 29 Nov 1997 03:50:32 GMT""}]","2016-09-06"
"hep-ph/9704404","E. Martynov","P.Desgrolard, A.I.Lengyel, E.S.Martynov","Nonlinearities and Pomeron Nonfactorizability in Conventional
  Diffraction","Plain TeX, 24 pages, 6 eps figures, to be published in Nuovo Cimento","Nuovo Cim. A110 (1997) 251-266",,"LYCEN RI9640","hep-ph",,"  Alternatives for describing the nonlinear behavior of the first diffraction
cone in differential $pp$ and $\bar pp$ elastic cross-section are investigated.
High quality fits to the data are presented. We show that the presence in the
Pomeron amplitude of two terms with different $t$ dependences is strongly
suggested by the data, hinting at a non-factorizable Pomeron even in the field
of purely hadronic reactions. The available data, however, do no allow to
choose among a nonlinearity in the residues or in the Pomeron trajectory or in
both. In all cases, we find an effective slope of the trajectory larger than
the one currently used. A nonlinear trajectory with the fitted parameters is
used for predicting the mass and the width of the 2$^{++}$ glueball. An
excellent agreement is found with the X(1900) candidate from the WA91
experiment.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 00:57:28 GMT""}]","2016-09-06"
"hep-ph/9704405","Changhao Jin","Changhao Jin and Emmanuel A. Paschos","Radiatively Corrected Semileptonic Spectra in B Meson Decays","20 pages, LaTex, 6 eps figures included","Eur.Phys.J.C1:523-529,1998","10.1007/s100520050101","DO-TH 96/22, LMU 03/97","hep-ph",,"  We show how radiative QCD corrections calculated in terms of quarks can be
incorporated at the hadron level in inclusive semileptonic B-meson decays. The
bound state effects are described by a momentum distribution function of the
$b$ quark. The summation over the final states and the averaging over the
momentum distribution of the decaying quark render the radiative corrections
finite. With this coherent formalism we investigate the shape of the electron
spectra for $b\to u$ and $b\to c$ decays as a function of the parameters of the
theory. The resultant $b\to c$ electron energy spectrum is in agreement with
the experimental data.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 06:32:47 GMT""}]","2011-09-13"
"hep-th/9704171","Sho Tsujimaru","S. Tsujimaru (MPI Heidelberg), K. Yamawaki (Nagoya)","Zero Mode and Symmetry Breaking on the Light Front","60 pages, the final section has been expanded. A few minor
  corrections; version to be published in Phys. Rev. D","Phys.Rev. D57 (1998) 4942-4964","10.1103/PhysRevD.57.4942",,"hep-th hep-ph",,"  We study the zero mode and the spontaneous symmetry breaking on the light
front (LF). We use the discretized light-cone quantization (DLCQ) of
Maskawa-Yamawaki to treat the zero mode in a clean separation from all other
modes. It is then shown that the Nambu-Goldstone (NG) phase can be realized on
the trivial LF vacuum only when an explicit symmetry-breaking mass of the NG
boson $m_{\pi}$ is introduced. The NG-boson zero mode integrated over the LF
must exhibit singular behavior $ \sim 1/m_{\pi}^2$ in the symmetric limit
$m_{\pi}\to 0$, which implies that current conservation is violated at zero
mode, or equivalently the LF charge is not conserved even in the symmetric
limit. We demonstrate this peculiarity in a concrete model, the linear sigma
model, where the role of zero-mode constraint is clarified. We further compare
our result with the continuum theory. It is shown that in the continuum theory
it is difficult to remove the zero mode which is not a single mode with measure
zero but the accumulating point causing uncontrollable infrared singularity. A
possible way out within the continuum theory is also suggested based on the
``$\nu$ theory''. We finally discuss another problem of the zero mode in the
continuum theory, i.e., no-go theorem of Nakanishi-Yamawaki on the
non-existence of LF quantum field theory within the framework of Wightman
axioms, which remains to be a challenge for DLCQ, ``$\nu$ theory'' or any other
framework of LF theory.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 16:25:27 GMT""},{""version"":""v2"",""created"":""Thu, 1 May 1997 11:45:25 GMT""},{""version"":""v3"",""created"":""Sun, 12 Oct 1997 15:58:31 GMT""},{""version"":""v4"",""created"":""Wed, 17 Dec 1997 20:39:26 GMT""},{""version"":""v5"",""created"":""Sun, 15 Feb 1998 19:33:38 GMT""}]","2009-10-30"
"hep-th/9704172","Marika M. Taylor-Robinson","Marika Taylor-Robinson (DAMTP, University of Cambridge)","Absorption of fixed scalars","12 pages, ReVTeX",,,,"hep-th",,"  We calculate the absorption rates of fixed scalars by near extremal five
dimensional black holes carrying general one-brane and five-brane charges by
semi-classical and D-brane methods. We find that the absorption cross-sections
do not in general agree for either fixed scalar and we discuss possible
explanations of the discrepancy.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 16:33:47 GMT""}]","2007-05-23"
"hep-th/9704173","Miguel Angel Vazquez Mozo","A. Feinstein, Ruth Lazkoz and M.A. Vazquez-Mozo","Closed Inhomogeneous String Cosmologies","14 pages, TeX harvmac. Some misprints corrected and one reference
  added","Phys. Rev. D56 (1997) 5166","10.1103/PhysRevD.56.5166","EHU-FT/9703","hep-th gr-qc",,"  We present a general algorithm which permits to construct solutions in string
cosmology for heterotic and type-IIB superstrings in four dimensions. Using a
chain of transformations applied in sequence: conformal, T-duality and SL(2,R)
rotations, along with the usual generating techniques associated to Geroch
transformations in Einstein frame, we obtain solutions with all relevant
low-energy remnants of the string theory. To exemplify our algorithm we present
an inhomogeneous string cosmology with S^3 topology of spatial sections,
discuss some properties of the solution and point out some subtleties involved
in the concept of homogeneity and isotropy in string cosmology.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 17:36:19 GMT""},{""version"":""v2"",""created"":""Thu, 8 May 1997 14:15:53 GMT""}]","2009-10-30"
"hep-th/9704174","Joao Nunes","Jose M. Isidro, Avijit Mukherjee, Joao P. Nunes, Howard J. Schnitzer","On the Picard-Fuchs Equations for Massive N=2 Seiberg-Witten Theories","29 pages, uses phyzzx.tex","Nucl.Phys. B502 (1997) 363-382","10.1016/S0550-3213(97)00459-8",,"hep-th",,"  A new method to obtain the Picard-Fuchs equations of effective, N=2
supersymmetric gauge theories with massive matter hypermultiplets in the
fundamental representation is presented. It generalises a previously described
method to derive the Picard-Fuchs equations of both pure super Yang-Mills and
supersymmetric gauge theories with massless matter hypermultiplets. The
techniques developed are well suited to symbolic computer calculations.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 17:48:39 GMT""}]","2009-10-30"
"hep-th/9704175","Sukanta Bose","Sukanta Bose (Inter-University Centre for Astronomy and Astrophysics,
  Pune, India)","Solving the Graceful Exit Problem in Superstring Cosmology","8 pages, RevTex. Based on talk given at Conference on Big Bang and
  Alternative Cosmologies: A Critical Appraisal, Bangalore, India, January,
  1997",,"10.1007/BF02709329","IUCAA-26/97","hep-th gr-qc",,"  We briefly review the status of the ``graceful exit'' problem in superstring
cosmology and present a possible resolution. It is shown that there exists a
solution to this problem in two-dimensional dilaton gravity provided quantum
corrections are incorporated. This is similar to the recently proposed solution
of Rey. However, unlike in his case, in our one-loop corrected model the
graceful exit problem is solved for any finite number of massless scalar matter
fields present in the theory.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 18:40:21 GMT""}]","2009-10-30"
"hep-th/9704176","Elcio Abdalla","E. Abdalla and R. Banerjee","Screening in three-dimensional QED","7 pages, one figure, latex file, version to appear in Physical Review
  Letters","Phys.Rev.Lett. 80 (1998) 238-240","10.1103/PhysRevLett.80.238",,"hep-th",,"  We compute the quark-antiquark potential in three dimensional massive Quantum
Electrodynamics. The result indicates that screening prevails for large quark
masses, contrary to the classical expectations. The classical result is
reproduced for small separation of the quarks.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 18:16:18 GMT""},{""version"":""v2"",""created"":""Wed, 12 Nov 1997 20:23:46 GMT""}]","2009-10-30"
"hep-th/9704177","Christophe Grojean","E. Dudas and C. Grojean","Four-dimensional M-theory and supersymmetry breaking","23 pages, LaTex, 1 figure","Nucl.Phys.B507:553-570,1997","10.1016/S0550-3213(97)00590-7","CERN-TH/97-79, LPTHE_ORSAY 97/17, Saclay T97/038","hep-th hep-ph",,"  We investigate compactifications of M-theory from $11\to 5\to 4$ dimensions
and discuss geometrical properties of 4-d moduli fields related to the
structure of 5-d theory. We study supersymmetry breaking by compactification of
the fifth dimension and find that an universal superpotential is generated for
the axion-dilaton superfield $S$. The resulting theory has a vacuum with
$<S>=1$, zero cosmological constant and a gravitino mass depending on the fifth
radius as $m_{3/2} \sim R_5^{-2}/M_{Pl}$. We discuss phenomenological aspects
of this scenario, mainly the string unification and the decompactification
problem.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 21:32:37 GMT""}]","2014-11-18"
"hep-th/9704178","Andre Lukas","Andre Lukas and Burt A. Ovrut","U-Duality Symmetries from the Membrane Worldvolume","33 pages, Latex","Nucl.Phys.B502:191-223,1997","10.1016/S0550-3213(97)00458-6","UPR-747T, IASSNS-HEP-97/42","hep-th",,"  We study U-duality symmetries of toroidally compactified M theory from the
membrane worldvolume point of view. This is done taking the most general set of
bosonic background fields into account. Upon restriction to pure moduli
backgrounds, we are able to find the correct U-duality groups and moduli coset
parameterizations for dimensions D>6 as symmetries of the membrane worldvolume
theory. In particular, we derive the D=8 U-duality group SL(2)xSL(3). For
general background fields, we concentrate on the case D=8. Though the SL(2)
part of the symmetry appears to be obstructed by certain terms in the equations
of motion, we are able to read off the transformation properties for the
background fields. These transformations are verified by comparison with
11-dimensional supergravity dimensionally reduced to D=8.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 23:32:04 GMT""}]","2010-11-19"
"hep-th/9704179","Andrzej Z. Gorski","Andrzej Z. Gorski and Pawel O. Mazur","The Quantum Black Hole Specific Heat is Positive","4 pages, LaTeX, minor corrections included",,,,"hep-th gr-qc",,"  We suggest in this Letter that the Bekenstein-Hawking black hole entropy
accounts for the degrees of freedom which are excited at low temperatures only
and hence it leads to the negative specific heat. Taking into account the
physical degrees of freedom which are excited at high temperatures, the
existence of which we postulate, we compute the total specific heat of the
quantum black hole that appears to be positive. This is done in analogy to the
Planck's treatment of the black body radiation problem. Other thermodynamic
functions are computed as well. Our results and the success of the
thermodynamic description of the quantum black hole suggest an underlying
atomic (discrete) structure of gravitation. The basic properties of these
gravitational atoms are found.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 01:59:58 GMT""},{""version"":""v2"",""created"":""Fri, 16 May 1997 13:20:26 GMT""}]","2009-10-19"
"hep-th/9704180",,"H. Fujisaki (Rikkyo Univ.)","Thermofield Dynamics of the Heterotic String - Physical Aspects of the
  Thermal Duality -","8 pages, LaTeX, Minor corrections","Europhys.Lett. 39 (1997) 479-483","10.1209/epl/i1997-00380-5","RUP-97-5","hep-th",,"  The thermofield dynamics of the D = 10 heterotic thermal string theory is
described in proper reference to the thermal duality symmetry as well as the
thermal stability of modular invariance in association with the global phase
structure of the D = 10 heterotic thermal string ensemble.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 06:34:01 GMT""},{""version"":""v2"",""created"":""Fri, 2 May 1997 09:28:04 GMT""}]","2009-10-30"
"hep-th/9704181","Alexander Stepanenko","K.N.Ilinski, G.V.Kalinin and A.S.Stepanenko","q-Functional Wick's theorems for particles with exotic statistics","15 pages, LaTeX, submitted to J.Phys.A","J.Phys.A30:5299-5310,1997","10.1088/0305-4470/30/15/016",,"hep-th cond-mat.stat-mech math-ph math.MP math.QA q-alg quant-ph",,"  In the paper we begin a description of functional methods of quantum field
theory for systems of interacting q-particles. These particles obey exotic
statistics and are the q-generalization of the colored particles which appear
in many problems of condensed matter physics, magnetism and quantum optics.
Motivated by the general ideas of standard field theory we prove the
q-functional analogues of Hori's formulation of Wick's theorems for the
different ordered q-particle creation and annihilation operators. The formulae
have the same formal expressions as fermionic and bosonic ones but differ by a
nature of fields. This allows us to derive the perturbation series for the
theory and develop analogues of standard quantum field theory constructions in
q-functional form.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 08:12:34 GMT""}]","2016-09-06"
"hep-th/9704182","Armen Nersessian","A.Nersessian","On the Geometry of Relativistic Anyon","8 pages, LaTeX","Mod.Phys.Lett. A12 (1997) 1783","10.1142/S0217732397001813",,"hep-th",,"  A twistor model is proposed for the free relativistic anyon.
  The Hamiltonian reduction of this model by the action of the spin generator
leads to the minimal covariant model; whereas that by the action of spin and
mass generators, to the anyon model with free phase space that is a cotangent
bundle of the Lobachevsky plane with twisted symplectic structure. Quantum
mechanics of that model is described by irreducible representations of the
(2+1)-dimensional Poincare' group.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 09:45:54 GMT""},{""version"":""v2"",""created"":""Mon, 28 Apr 1997 15:08:59 GMT""},{""version"":""v3"",""created"":""Wed, 30 Apr 1997 07:57:07 GMT""}]","2016-09-06"
"hep-th/9704183","Khazret Nirov","Khazret S. Nirov","The Ostrogradsky prescription for BFV formalism","LaTeX, 13 pages","Mod.Phys.Lett. A12 (1997) 1991-2004","10.1142/S0217732397002041","TUM-HEP-264/96","hep-th",,"  Gauge-invariant systems of a general form with higher order derivatives of
gauge parameters are investigated within the framework of the BFV formalism.
Higher order terms of the BRST charge and BRST-invariant Hamiltonian are
obtained. It is shown that the identification rules for Lagrangian and
Hamiltonian ghost variables depend on the choice of the extension of
constraints from the primary constraint surface.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 10:07:31 GMT""}]","2009-10-30"
"hep-th/9704184","Gennaro Miele","F. Lizzi, G. Mangano, G. Miele and G. Sparano","Mirror Fermions in Noncommutative Geometry","7 pages, LaTeX","Mod.Phys.Lett. A13 (1998) 231-238","10.1142/S0217732398000292","DSF-18/97, OUTP-97-17-P","hep-th",,"  In a recent paper we pointed out the presence of extra fermionic degrees of
freedom in a chiral gauge theory based on Connes Noncommutative Geometry. Here
we propose a mechanism which provides a high mass to these mirror states, so
that they decouple from low energy physics.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 10:12:13 GMT""}]","2009-10-30"
"math/9701201","Salah Baouendi","M. S. Baouendi, P. Ebenfelt, and Linda Preiss Rothschild","Parametrization of local biholomorphisms of real analytic hypersurfaces",,,,,"math.CV",,"  Let $M$ be a real analytic hypersurface in $\bC^N$ which is finitely
nondegenerate, a notion that can be viewed as a generalization of Levi
nondegenerate, at $p_0\in M$. We show that if $M'$ is another such hypersurface
and $p'_0\in M'$, then the set of germs at $p_0$ of biholomorphisms $H$ with
$H(M)\subset M'$ and $H(p_0)=p'_0$, equipped with its natural topology, can be
naturally embedded as a real analytic submanifold in the complex jet group of
$\bC^N$ of the appropriate order. We also show that this submanifold is defined
by equations that can be explicitly computed from defining equations of $M$ and
$M'$. Thus, $(M,p_0)$ and $(M',p'_0)$ are biholomorphically equivalent if and
only if this (infinite) set of equations in the complex jet group has a
solution.
  Another result obtained in this paper is that any invertible formal map $H$
that transforms $(M,p_0)$ to $(M',p'_0)$ is convergent. As a consequence,
$(M,p_0)$ and $(M',p'_0)$ are biholomorphically equivalent if and only if they
are formally equivalent.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 15:13:30 GMT""}]","2016-09-07"
"math/9704233","Frank Wagner","Frank Wagner (Mathematical Institute, Oxford University)","Groups in simple theories",,,,"FI-MT1997-006","math.GR math.LO",,"  Groups definable in simple theories retain the chain conditions and
decomposition properties known from stable groups, up to commensurability. In
the small case, if a generic type of G is not foreign to some type q, there is
a q-internal quotient. In the supersimple case, the Berline-Lascar
decomposition works. One-based simple groups are finite-by-abelian-by-finite.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 00:00:00 GMT""}]","2008-02-03"
"nucl-th/9704057","Helmut Haberzettl","Helmut Haberzettl (George Washington University)","Gauge-invariant theory of pion photoproduction with dressed hadrons","33 pages, RevTeX; includes 8 postscript figures (requires psfig.sty).
  This version corrects some minor errors, etc.; contains updated references.
  Accepted for publication in Phys. Rev. C56 (Oct. 97)","Phys.Rev.C56:2041-2058,1997","10.1103/PhysRevC.56.2041",,"nucl-th",,"  Based on an effective field theory of hadrons in which quantum chromodynamics
is assumed to provide the necessary bare cutoff functions, a gauge-invariant
theory of pion photoproduction with fully dressed nucleons is developed. The
formalism provides consistent dynamical descriptions of pi-N --> pi-N
scattering and Gamma-N --> pi-N production mechanisms in terms of nonlinear
integral equations for fully dressed hadrons. Defining electromagnetic currents
via the gauging of hadronic n-point Green's functions, dynamically detailed
currents for dressed nucleons are introduced. The dressed hadron currents and
the pion photoproduction current are explicitly shown to satisfy gauge
invariance in a self-consistent manner. Approximations are discussed that make
the nonlinear formalism manageable in practice and yet preserve gauge
invariance. This is achieved by recasting the gauge conditions for all
contributing interaction currents as continuity equations with ``surface''
terms for the individual particle legs coming into or going out of the hadronic
interaction region. General procedures are given that approximate any type of
(global) interaction current in a gauge-invariance preserving manner as a sum
of single-particle ``surface'' currents. It is argued that these prescriptions
carry over to other reactions, irrespective of the number or type of
contributing hadrons or hadronic systems.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 17:53:48 GMT""},{""version"":""v2"",""created"":""Mon, 18 Aug 1997 19:01:34 GMT""}]","2008-11-26"
"nucl-th/9704058","William Gibbs","W. R. Gibbs, Li Ai (New Mexico State University) and W. B. Kaufmann
  (Arizona State University)","Low-energy Pion-nucleon Scattering","30 pages, 11 figures, LaTeX","Phys.Rev.C57:784-797,1998","10.1103/PhysRevC.57.784",,"nucl-th",,"  This paper contains the results of an analysis of recent low-energy
pion-nucleon scattering experiments. Obtained are phase shifts, the
pion-nucleon coupling constant and an estimate of the Sigma term.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 21:30:27 GMT""}]","2008-11-26"
"nucl-th/9704059",,"W. C. Haxton (INT, University of Washington)","Perspective: Atomic Parity Violation and the Nuclear Anapole Moment","6 pages, no figures","Science 275 (1997) 1753-1754",,,"nucl-th hep-ph",,"  I discuss in qualitative terms the implications of the recent measurement by
C. S. Wood et al. of the hyperfine dependence of atomic parity violation in
133Cs. The derived anapole moment constrains the strength of hadronic parity
violation.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 21:59:16 GMT""}]","2007-05-23"
"nucl-th/9704060",,"W. C. Haxton (INT, University of Washington)","Symposium Summary and Outlook: Twenty Years of Meson Factory Physics","9 pages, 1 figures",,,,"nucl-th hep-ph",,"  The opening of the meson factories twenty years ago provided nuclear physics
with new beams, higher momentum transfers, and new opportunities for precision
measurements. The resulting changes in nuclear physics were substantial,
altering not only the range of physics issues identified with the field but
also the manner and size of the collaborations that do nuclear physics.
Inspired by the talks of this symposium, I discuss some of the accomplishments
as well as some of the goals not yet reached.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 23:35:44 GMT""}]","2007-05-23"
"nucl-th/9704061","Krzysztof Pomorski","Klaus Dietrich and Krzysztof Pomorski (TU-Muenchen, Germany)","Stability of bubble nuclei through Shell-Effects","9 pages and 9 figures in the eps format included","Phys.Rev.Lett.80:37-40,1998","10.1103/PhysRevLett.80.37",,"nucl-th",,"  We investigate the shell structure of bubble nuclei in simple
phenomenological shell models and study their binding energy as a function of
the radii and of the number of neutron and protons using Strutinsky's method.
Shell effects come about, on the one hand, by the high degeneracy of levels
with large angular momentum and, on the other, by the big energy gaps between
states with a different number of radial nodes. Shell energies down to -40 MeV
are shown to occur for certain magic nuclei. Estimates demonstrate that the
calculated shell effects for certain magic numbers of constituents are probably
large enough to produce stability against fission, alpha-, and beta-decay. No
bubble solutions are found for mass number A < 450.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 12:41:32 GMT""}]","2009-01-23"
"quant-ph/9704042","Eric Rains","Eric M. Rains","Polynomial invariants of quantum codes","10 pages, AMSTeX",,,,"quant-ph",,"  The weight enumerators (quant-ph/9610040) of a quantum code are quite
powerful tools for exploring its structure. As the weight enumerators are
quadratic invariants of the code, this suggests the consideration of
higher-degree polynomial invariants. We show that the space of degree k
invariants of a code of length n is spanned by a set of basic invariants in
one-to-one correspondence with S_k^n. We then present a number of equations and
inequalities in these invariants; in particular, we give a higher-order
generalization of the shadow enumerator of a code, and prove that its
coefficients are nonnegative. We also prove that the quartic invariants of a
((4,4,2)) are uniquely determined, an important step in a proof that any
((4,4,2)) is additive ([2]).
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 21:16:43 GMT""}]","2007-05-23"
