"alg-geom/9704023","Ugo Bruzzo","Claudio Bartocci, Ugo Bruzzo, Daniel Hernandez Ruiperez and Jose' M.
  Mu~noz Porras","Mirror symmetry on K3 surfaces via Fourier-Mukai transform","15 pages, AMS-LaTeX v1.2. Final version to appear in Commun. Math.
  Phys","Commun. Math. Phys. 195 (1998) 79-93.","10.1007/s002200050380","SISSA Ref. 61/97/fm/geo","alg-geom hep-th math.AG",,"  We use a relative Fourier-Mukai transform on elliptic K3 surfaces $X$ to
describe mirror symmetry. The action of this Fourier-Mukai transform on the
cohomology ring of $X$ reproduces relative T-duality and provides an
infinitesimal isometry of the moduli space of algebraic structures on $X$
which, in view of the triviality of the quantum cohomology of K3 surfaces, can
be interpreted as mirror symmetry.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 18:31:43 GMT""},{""version"":""v2"",""created"":""Sat, 9 Aug 1997 18:01:36 GMT""},{""version"":""v3"",""created"":""Wed, 17 Dec 1997 09:59:15 GMT""}]","2009-10-30"
"hep-ex/9704018","Bruce Straub, Desy","ZEUS Collaboration, M.Derrick et al","Search for Lepton Flavor Violation in ep Collisions at 300 GeV Center of
  Mass Energy","37 pages, 9 figures, LaTex","Z.Phys.C73:613-628,1997","10.1007/s002880050352","DESY-96-161","hep-ex",,"  Using the ZEUS detector at the HERA electron-proton collider, we have
searched for lepton flavor violation in ep collisions at a center-of-mass
energy s^1/2 of 300 GeV. Events of the type e + p -> lepton + X with a
final-state lepton (mu or tau) of high transverse momentum, were sought. No
evidence was found for lepton flavor violation in the combined 1993 and 1994
data samples, for which the integrated luminosities were 0.84 pb^-1 for e- p
collisions and 2.94 pb^-1 for e+ p collisions. Limits on coupling vs. mass are
provided for leptoquarks and R-parity violating squarks. For flavor violating
couplings of electromagnetic strength, we set 95% confidence level lower limits
on leptoquark masses between 207 GeV and 272 GeV, depending on the leptoquark
species and final-state lepton. For leptoquark masses larger than 300 GeV,
limits on flavor-changing couplings are determined, many of which supersede
prior limits from rare decay processes.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 18:42:54 GMT""}]","2008-11-26"
"hep-ex/9704019","D. Glenzinski","D. Glenzinski","Recent LEP 2 Results from OPAL","26 pages, 15 figures, Latex, appb.sty included; Proceedings from the
  Cracow Epiphany Conference, 4-6 January 1997, Cracow, Poland; to be published
  in Acta Physica Polonica B","Acta Phys.Polon.B28:1327-1348,1997",,"OPAL-CR303","hep-ex",,"  In 1996, after another set of upgrades, LEP began running for the first time
at center-of-mass energies above the W-pair production threshold. This new
energy regime is rich in physics and offers new tests of the Standard Model,
increased sensitivity for search physics, and precision W physics. We summarize
the recent results from OPAL using 9.9 pb^-1 of data collected at \sqrt s =
161.3 GeV from June to August 1996.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 12:28:18 GMT""}]","2011-04-20"
"hep-lat/9704020","Desmond Johnston","D. A. Johnston and P. Plechac","Potts Models on Feynman Diagrams","10 pages, latex, + 6 postscript figures","J.Phys.A30:7349-7363,1997","10.1088/0305-4470/30/21/011","HWM97-11","hep-lat cond-mat.stat-mech hep-th",,"  We investigate numerically and analytically Potts models on ``thin'' random
graphs -- generic Feynman diagrams, using the idea that such models may be
expressed as the N --> 1 limit of a matrix model. The thin random graphs in
this limit are locally tree-like, in distinction to the ``fat'' random graphs
that appear in the planar Feynman diagram limit, more familiar from discretized
models of two dimensional gravity.
  The interest of the thin graphs is that they give mean field theory behaviour
for spin models living on them without infinite range interactions or the
boundary problems of genuine tree-like structures such as the Bethe lattice.
q-state Potts models display a first order transition in the mean field for
q>2, so the thin graph Potts models provide a useful test case for exploring
discontinuous transitions in mean field theories in which many quantities can
be calculated explicitly in the saddle point approximation.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 11:00:24 GMT""}]","2008-11-26"
"hep-lat/9704021",,"M.N.Chernodub, F.V.Gubarev and M.I.Polikarpov","Aharonov-Bohm Effect in Lattice Abelian Higgs Theory","9 pages, LaTeX, 1 figure, uses epsf.sty; misprints are corrected,
  discussion on numerical results is extended, to appear in Phys.Lett.B","Phys.Lett.B416:379-384,1998","10.1016/S0370-2693(97)01354-3","KANAZAWA-97-08","hep-lat cond-mat hep-ph hep-th",,"  We study a field-theoretical analogue of the Aharonov-Bohm effect in two-,
three- and four-dimensional Abelian Higgs models; the corresponding topological
interaction is proportional to the linking number of the Abrikosov vortex and
the particle world trajectories. We show that the Aharonov-Bohm effect gives
rise to a nontrivial interaction of charged test particles. The numerical
calculations in the three-dimensional model confirm this fact.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 13:37:45 GMT""},{""version"":""v2"",""created"":""Wed, 12 Nov 1997 17:16:34 GMT""}]","2010-05-27"
"hep-ph/9704432","Leonid Burakovsky","L. Burakovsky, T. Goldman and L.P. Horwitz","New Mass Relation for Meson 25-plet","11 pages, LaTeX","J.Phys.G24:771-778,1998","10.1088/0954-3899/24/4/009",,"hep-ph",,"  By assuming the existence of (quasi)-linear Regge trajectories for 25-plet
mesons in the low energy region, we derive a new, 14th power, meson mass
relation. This relation may be reduced to a quadratic Gell-Mann-Okubo type
formula by fitting the values of the Regge slopes of these (quasi)-linear
trajectories. Such a formula holds with an accuracy of ~2% for vector mesons,
and also suggests that the quantum number I(J^P)=1/2(2^{+}) should be assigned
to the both B_J(5732) and B_{sJ}(5850) mesons discovered recently. We also
discuss reasons for the failure of group theory to produce correct mass
relations for heavy quarkonia.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 18:34:01 GMT""}]","2008-11-26"
"hep-ph/9704438","Samya Belarmino de Paiva Macedo","Y. Hama, T. Kodama and Samya Paiva","Fluctuations in Hadronic and Nuclear Collisions","22 pages, RevTex, 8 figures (included); Invited paper to the special
  issue of Foundation of Physics dedicated to Mikio Namiki's 70th. birthday","Found.Phys. 27 (1997) 1601-1621","10.1007/BF02551503",,"hep-ph",,"  We investigate several fluctuation effects in high-energy hadronic and
nuclear collisions through the analysis of different observables. To introduce
fluctuations in the initial stage of collisions, we use the Interacting Gluon
Model (IGM) modified by the inclusion of the impact parameter. The inelasticity
and leading-particle distributions follow directly from this model. The
fluctuation effects on rapidity distributions are then studied by using
Landau's Hydrodynamic Model in one dimension. To investigate further the
effects of the multiplicity fluctuation, we use the Longitudinal Phase-Space
Model, with the multiplicity distribution calculated within the hydrodynamic
model, and the initial conditions given by the IGM. Forward-backward
correlation is obtained in this way.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 17:22:49 GMT""}]","2016-09-06"
"hep-ph/9704439",,"T. Li, J. Lopez, D. Nanopoulos","New (g-2)_{\mu} Constraints on Light-Gravitino Models","6 pages, LaTex",,,"CTP-TAMU-23/97, DOE/ER/40717-43","hep-ph",,"  We show that the gravitino contribution to (g-2)_{\mu} is finite in many
popular supergravity models, including no-scale supergravity and string and
M-theory models. This contribution is greatly enhanced for very light gravitino
masses, and leads to new upper bounds on the ratio of the smuon to the
gravitino mass.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 17:58:43 GMT""}]","2007-05-23"
"hep-ph/9704440","Leonid Burakovsky","L. Burakovsky, T. Goldman and L.P. Horwitz","New Mass Relations for Heavy Quarkonia","10 pages, LaTeX","Phys.Rev.D56:7119-7123,1997","10.1103/PhysRevD.56.7119","LA-UR-97-1494","hep-ph",,"  By assuming the existence of (quasi)-linear Regge trajectories for heavy
quarkonia in the low energy region, we derive a new, sixth power, meson mass
relation which shows good agreement with experiment for both charmed and beauty
mesons. This relation may be reduced to a quadratic Gell-Mann-Okubo type
formula by fitting the values of the Regge slopes of these (quasi)-linear
trajectories. For charmed mesons, such a formula holds with an accuracy of
$\sim 1$%, and is in qualitative agreement with the relation obtained
previously by the application of the linear spectrum to a meson hexadecuplet.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 18:21:45 GMT""}]","2008-11-26"
"hep-ph/9704442","D. P. Roy","D.P. Roy","Constraints on the charged Higgs sector from the CDF Top quark data","Latex file (4 pages) including 3 ps files containing 3 figures;
  presented at the 32nd Rencontres de Moriond on C QCD and High Energy Hadronic
  Interactions, March 22 - 29, 1997",,,"TIFR/TH/97-18","hep-ph",,"  The top quark data in the lepton plus $\tau$ channel offers a viable probe
for the charged Higgs boson signal. We have analysed the recent Collider
Detector at Fermilab (CDF) data in this channel to obtain a significant limit
on the $H^\pm$ mass in the large $\tan\beta$ region.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 11:08:04 GMT""}]","2007-05-23"
"hep-ph/9704443",,"M. Caffo, H. Czyz, E. Remiddi","BHAGEN95: a Monte Carlo program for Bhabha scattering at LEP1/SLC and
  LEP2 energies","24 pages, Latex, 4 composite Postscript figures, uses epsfig.sty","Nuovo Cim. A110 (1997) 515-536","10.1007/BF03035898","DFUB 96-21, TP-USL/96/12","hep-ph",,"  We present the Monte Carlo program BHAGEN95, for calculating the
cross-section of the Bhabha scattering process at LEP1/SLC and LEP2 energies,
usable with continuity from small to large-angle configurations. We discuss
some improvements in the event generator BHAGEN94, which is now part of the new
code. In particular the weak and QCD corrections are implemented up to two
loops for the relevant contributions, and the emission of one hard photon is
treated exactly. We have included all the radiative corrections which are
necessary to obtain, for a typical experimental event selection, a precision of
0.1-0.2% at small-angle. At large-angle we estimate a precision of 0.5%, with
the exception of the region where the beam energy is a few GeV above the Z
boson resonance, where it is up to 1%. A detailed comparison with other codes
for both small-angle and large-angle Bhabha scattering is performed.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 07:55:08 GMT""}]","2009-10-30"
"hep-ph/9704444","Francesc Ferrer","F. Ferrer and J.A. Grifols","Constraints on the mass of the superlight gravitino from the muon
  anomaly","7 pages, REVTeX with 5 figures. Uses epsfig","Phys.Rev. D56 (1997) 7466-7468","10.1103/PhysRevD.56.7466",,"hep-ph",,"  We reexamine the limits on the gravitino mass supplied by the muon anomaly in
the frame of supergravity models with a superlight gravitino and a superlight
scalar S and a superlight pseudoscalar P.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 08:35:43 GMT""}]","2016-09-06"
"hep-ph/9704445","Blazenka Melic","B. Guberina and B. Melic","Inclusive Charmed-Baryon Decays and Lifetimes","13 pages, Latex, 3 figures included, shortened version, to appear in
  Z.Phys.C","Eur.Phys.J.C2:697-703,1998","10.1007/s100520050173","IRB-TH 1/97","hep-ph",,"  We have quantitatively reanalyzed the inclusive charmed-baryon decays. New
ingredients are the Voloshin preasymptotic effects in semileptonic decays and
the Cabibbo-subleading contributions to both semileptonic and nonleptonic
decays. It has been found that the Cabbibo-subleading Voloshin contribution
essentially improves the theoretical semileptonic branching ratio of
$\Lambda_c^{+}$, in agreement with experiment. The semileptonic branching
ratios for $\Xi_c^{+}$ and $\Omega_c^{0}$ are found to be large, i.e., of the
order of 20%. The lifetimes hierarchy is in a good qualitative and even
quantitative agreement with experiment except for the $\Xi_c^{+}$ lifetime,
which is somewhat smaller than the experimental value. Future measurements,
especially measurements of the semileptonic branching ratios for
$\Omega_c^{0}$, $\Xi_c^{+}$ and $\Xi_c^{0}$ should be decisive for the check of
this approach.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 10:43:39 GMT""},{""version"":""v2"",""created"":""Fri, 11 Jul 1997 16:13:05 GMT""}]","2011-09-13"
"hep-ph/9704446",,"She-Sheng Xue","Fine-tuning the low-energy physics","13 pages LaTex","Mod.Phys.Lett. A15 (2000) 1089-1098","10.1142/S021773230000133X",,"hep-ph",,"  In this article we discuss the problem of the extreme fine-tuning necessary
to achieve the top quark mass scale $m_t$ within the dynamical symmetry
breaking of the phenomenological $t \bar t$ condensate model. Inspired by the
vector-like phenomenon of chiral gauge theories at short distances, we
postulate that the $W^\pm$-gauge bosons possess a vector-like gauge coupling
and contribute to the gap-equations of quark self-energy functions in the
high-energy region. We find that the gap-equations of different charge sectors
are coupled, and as a result the unnatural fine-tuning is overcome and the
ratio of the top and bottom masses is related to the electric charge:
$({m_b\over m_t})^2\simeq {\alpha\over3\pi}$, provided the quadratic divergence
is removed by setting the four-fermion coupling $G=4+o({m_b^2\over m_t^2})$.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 10:07:17 GMT""}]","2016-09-06"
"hep-ph/9704447","Fontannaz","L.Bourhis, M.Fontannaz, J.Ph.Guillet","Quarks and Gluon Fragmentation Functions into Photons","20 pages,latex,11 figures","Eur.Phys.J.C2:529-537,1998","10.1007/s100520050158","LPTHE-ORSAY 96/103, ENSLAPP-A-631/96","hep-ph",,"  The fragmentation functions of quarks and gluons into photons are studied
beyond the Leading Logarithm approximation. We address the nature of the
initial conditions of the evolution equation solutions and study problems
related to factorization scheme invariance. The possibility of measuring these
distributions in LEP experiments is discussed, and a comparison with existing
data is made.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 15:46:56 GMT""}]","2010-04-06"
"hep-ph/9704448","Jan Kalinowski","A. Djouadi, J. Kalinowski and M. Spira","HDECAY: a Program for Higgs Boson Decays in the Standard Model and its
  Supersymmetric Extension","LaTeX, 26 pages, 3 ps figures included","Comput.Phys.Commun.108:56-74,1998","10.1016/S0010-4655(97)00123-9","IFT-96-29, PM-97/04","hep-ph",,"  We describe the Fortran code HDECAY which calculates the decay widths and the
branching ratios of the Standard Model Higgs boson, and of the neutral and
charged Higgs particles of the Minimal Supersymmetric extension of the Standard
Model. The program is self-contained (with all subroutines included), easy to
run, fast and calculates the decay widths and branching ratios according to the
current theoretical knowledge.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 15:36:55 GMT""}]","2009-07-09"
"hep-ph/9704453","Antonio Pich","A. Pich","Tau Physics","40 pages, latex, 10 Postscript figures. To appear in Heavy Flavours
  II, eds. A.J. Buras and M. Lindner (World Scientific, 1997)",,"10.1142/9789812812667_0007","FTUV/97-22, IFIC/97-22","hep-ph hep-ex",,"  The pure leptonic or semileptonic character of tau decays makes them a good
laboratory to test the structure of the weak currents and the universality of
their couplings to the gauge bosons. The hadronic tau decay modes constitute an
ideal tool for studying low-energy effects of the strong interactions in very
clean conditions; a well-known example is the precise determination of the QCD
coupling from tau-decay data. New physics phenomena, such as a non-zero
tau-neutrino mass or violations of (flavour / CP) conservation laws can also be
searched for with tau decays.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 15:55:23 GMT""}]","2016-11-03"
"hep-th/9704198",,"Radu Tatar","Dualities in 4D Theories with Product Gauge Groups from Brane
  Configurations","13 pages, Latex, version to appear in Physics Letters B","Phys.Lett. B419 (1998) 99-106","10.1016/S0370-2693(97)01439-1","UM-TG-193","hep-th",,"  We study brane configurations which correspond to N=1 field theories in four
dimensions. By inverting the order of the NS 5-branes and D6-branes, a check on
dualities in four dimensional theories can be made.
  We consider a brane configuration which yields electric/magnetic duality for
gauge theories with $SO(N_{c1})\times Sp(N_{c2})$ product gauge group.
  We also discuss the possible extension to any alternating product of SO and
Sp groups. The new features arising from the intersection of the NS 5-branes on
the orientifold play a crucial role in our construction.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 00:33:16 GMT""},{""version"":""v2"",""created"":""Wed, 30 Jul 1997 21:48:00 GMT""},{""version"":""v3"",""created"":""Tue, 14 Oct 1997 18:31:03 GMT""}]","2016-09-06"
"hep-th/9704202","Tim Morris","Tim R. Morris and Michael D. Turner","Derivative expansion of the renormalization group in O(N) scalar field
  theory","29 pages including 4 eps figures, uses LaTeX, epsfig, and latexsym","Nucl.Phys. B509 (1998) 637-661","10.1016/S0550-3213(97)00640-8",,"hep-th cond-mat hep-lat hep-ph",,"  We apply a derivative expansion to the Legendre effective action flow
equations of O(N) symmetric scalar field theory, making no other approximation.
We calculate the critical exponents eta, nu, and omega at the both the leading
and second order of the expansion, associated to the three dimensional
Wilson-Fisher fixed points, at various values of N. In addition, we show how
the derivative expansion reproduces exactly known results, at special values
N=infinity,-2,-4, ... .
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 16:52:12 GMT""}]","2009-10-30"
"hep-th/9704203","A. I. Pashnev","A. Pashnev","Nonlinear realizations of the (super)diffeomorphism groups, geometrical
  objects and integral invariants in the superspace","LaTeX",,,"JINR E2-97-122","hep-th",,"  It is shown that vielbeins and connections of any (super)space are naturally
described in terms of nonlinear realizations of infinite - dimensional
diffeomorphism groups of the corresponding (super)space. The method of
construction of integral invariants from the invariant Cartan's differential
$\Omega$ - forms is generalized to the case of superspace.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 17:49:59 GMT""}]","2007-05-23"
"hep-th/9704204","Roberto Emparan","Roberto Emparan","Black Holes as Fundamental Strings: Comparing the Absorption of Scalars","20 pages, LaTeX. Few minor changes. Version to appear in PRD","Phys. Rev. D 56, 3591 (1997)","10.1103/PhysRevD.56.3591","UCSBTH-97-07","hep-th gr-qc",,"  The recently proposed ``correspondence principle'' of Horowitz and Polchinski
provides a concrete means to relate (among others) black holes with electric
NS-NS charges to fundamental strings and correctly match their entropies. We
test further this correspondence by examining the greybody factors in the
absorption rates of neutral, minimally coupled scalars by a near extremal black
hole. Perhaps surprisingly, the results disagree in general with the absorption
by weakly coupled strings. Though this does not disprove the correspondence, it
indicates that it might not be simple in this region of the black hole
parameter space.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 18:05:04 GMT""},{""version"":""v2"",""created"":""Fri, 2 May 1997 18:05:35 GMT""},{""version"":""v3"",""created"":""Wed, 16 Jul 1997 21:16:48 GMT""}]","2016-08-25"
"hep-th/9704206","Ricardo Schiappa","Ricardo Schiappa","Supersymmetric Yang-Mills Theory and Riemannian Geometry","21 pages, LaTex, Added discussions and references, Final version for
  Nuclear Physics B","Nucl.Phys. B517 (1998) 462-484","10.1016/S0550-3213(98)00013-3","CTP#2629","hep-th hep-ph",,"  We introduce new local gauge invariant variables for N=1 supersymmetric
Yang-Mills theory, explicitly parameterizing the physical Hilbert space of the
theory. We show that these gauge invariant variables have a geometrical
interpretation, and can be constructed such that the emergent geometry is that
of N=1 supergravity: a Riemannian geometry with vector-spinor generated
torsion. Full geometrization of supersymmetric Yang-Mills theory is carried
out, and geometry independent divergences associated to the inversion of a
differential operator with zero modes -- that were encountered in the
non-supersymmetric case -- do not arise in this situation.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 00:22:05 GMT""},{""version"":""v2"",""created"":""Mon, 12 Jan 1998 19:18:06 GMT""}]","2009-10-30"
"hep-th/9704207","Dita Petre","Petre Di\c{t}\u{a}","Quantization of the Particle Motion on the $n$-Dimensional Sphere","Latex, 5 pages, revtex, no figures",,,,"hep-th",,"  We develop here a simple formalism that converts the second-class constraints
into first-class ones for a particle moving on the $n$-dimensional sphere. The
Poisson algebra generated by the Hamiltonian and the constraints closes and by
quantization transforms into a Lie algebra. The observable of the theory is
given by the Casimir operator of this algebra and coincides with the square of
the angular momentum.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 08:00:58 GMT""}]","2007-05-23"
"hep-th/9704208",,"G. K\""albermann (Faculty of Agriculture and Racah Institute of
  Physics, Hebrew University, Jerusalem, Israel)","Soliton tunneling","Latex source, 5 postscipt figures. Accepted for publication in
  Physical Review E, rapid communications",,,,"hep-th hep-ph",,"  We present a numerical simulation of the scattering of a topological soliton
off finite size attractive impurities, repulsive impurities and a combination
of both. The attractive and attractive-repulsive cases show similar features to
those found for $\delta$ function type of impurities. For the repulsive case,
corresponding to a finite width barrier, the soliton behaves completely
classically. No tunneling occurs for sub-barrier kinetic energies despite the
extended nature of the soliton.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 11:02:00 GMT""},{""version"":""v2"",""created"":""Sun, 1 Jun 1997 10:35:00 GMT""}]","2008-02-03"
"hep-th/9704209","Robert Marnelius","Igor Batalin, Robert Marnelius","Antisymplectic Gauge Theories","13 pages,Latexfile,New introduction","Nucl.Phys. B511 (1998) 495-509","10.1016/S0550-3213(97)00663-9","ITP-Goteborg 97-03","hep-th",,"  A general field-antifield BV formalism for antisymplectic first class
constraints is proposed. It is as general as the corresponding symplectic
BFV-BRST formulation and it is demonstrated to be consistent with a previously
proposed formalism for antisymplectic second class constraints through a
generalized conversion to corresponding first class constraints. Thereby the
basic concept of gauge symmetry is extended to apply to quite a new class of
gauge theories potentially possible to exist.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 11:08:33 GMT""},{""version"":""v2"",""created"":""Mon, 5 May 1997 11:46:33 GMT""},{""version"":""v3"",""created"":""Wed, 21 May 1997 12:49:39 GMT""},{""version"":""v4"",""created"":""Wed, 20 Aug 1997 22:36:32 GMT""}]","2019-08-17"
"hep-th/9704210","Brandon Carter","Brandon Carter","Electromagnetic self interaction in strings","10 pages Latex, to appear in Phys. Lett. B","Phys.Lett. B404 (1997) 246-252","10.1016/S0370-2693(97)00561-3","OBSPM 97005","hep-th",,"  To facilitate the treatment of electromagnetic effects in applications such
as dynamically perturbed vortons, this work employs a covariantly formulated
string-source Green measure to obtain a coherent relativistic scheme for
describing the self interaction of electromagnetic currents in string models of
a very general kind, at leading order in the relevant field gradients, using a
regularised gradient operator given by $\hat\nabla_\nu=$ $\bar\nabla_\nu
+{1\over 2} K_\nu$ where $\bar\nabla_\nu$ is the usual tangential gradient
operator and $K_\nu$ is the extrinsic curvature vector.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 13:06:14 GMT""}]","2016-09-06"
"hep-th/9704211","Simon Dalley","S. Dalley","Collinear QCD Models","6 pages, LaTeX, uses boxedeps.tex (included). Invited talk at `New
  Non-Perturbative Methods and Quantisation on the Light-Cone', Les Houches 24
  Feb - 4 Mar 1997. (To appear in proceedings). Replaced version has a (sign)
  typo corrected in very last sentence",,,"CERN-TH/97-87","hep-th",,"  The small momentum fraction x behaviour of quarks in mesons is analysed in
the 1+1-dimensional reduced model of large-N QCD by light-cone quantisation.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 14:22:44 GMT""},{""version"":""v2"",""created"":""Sat, 21 Jun 1997 15:48:24 GMT""}]","2008-02-03"
"hep-th/9704215","Uwe Trittmann","Uwe Trittmann, Hans-Christian Pauli (Max-Planck-Institut fuer
  Kernphysik, Heidelberg)","Quantum Electrodynamics at strong Couplings","151 pp., LaTeX, high quality graphics of the wavefunctions available
  on request from first author",,,"MPI H-V4-1997","hep-th",,"  Front form dynamics is not a manifestly rotational invariant formalism. In
particular, the requirement of an invariance under rotations around the
transverse axes is difficult to fulfill.In the present work it is investigated,
to which extent rotational invariance is restored in the solution of a
light-cone quantized field theory. The positronium spectrum in full (3+1)
dimensions is calculated at an unphysically large coupling of alpha=0.3 to be
sensitive for terms breaking rotational invariance and to accustomize the
theory to future QCD applications. The numerical accuracy of the formalism is
improved to allow for the calculation of mass eigenvalues for arbitrary
components J_z of the total angular momentum. We find numerically degenerate
eigenvalues as expected from rotationally invariant formalisms and the right
multiplet structures up to large principal quantum numbers. The results
indicate that rotational invariance is unproblematic even in front form
dynamics. Another focus of the work relies on the inclusion of the annihilation
channel. This enlargement of the model is non-trivial and a consistency check
of the underlying theory of effective interactions. The correct numerical
eigenvalue shifts, and especially the right hyperfine splitting are obtained.
Moreover, the cutoff dependence of the eigenvalues is improved drastically by
the annihilation channel for the triplet states. The implications of the
applied effective Hamiltonian approach are discussed in detail.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 14:44:27 GMT""}]","2009-09-25"
"math/9704228","Andrei Zelevinsky","Andrei Zelevinsky","Littlewood-Richardson semigroups",,,,"MSRI 1997-044","math.CO",,"  This note is an extended abstract of my talk at the workshop on
Representation Theory and Symmetric Functions, MSRI, April 14, 1997. We discuss
the problem of finding an explicit description of the semigroup $LR_r$ of
triples of partitions of length $\leq r$ such that the corresponding
Littlewood-Richardson coefficient is non-zero. After discussing the history of
the problem and previously known results, we suggest a new approach based on
the ``polyhedral'' combinatorial expressions for the Littlewood-Richardson
coefficients.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 00:00:00 GMT""}]","2016-09-07"
"nucl-th/9704064","Germar Knoechlein","D. Drechsel (1), G. Knoechlein (1), A. Yu. Korchin (2,3), A. Metz (1),
  S. Scherer (1) ((1) Institut fuer Kernphysik, Univ. Mainz, (2) Kernfysisch
  Versneller Instituut, Groningen, (3) National Science Center, Kharkov)","Structure analysis of the virtual Compton scattering amplitude at low
  energies","19 pages, LaTeX2e/RevTeX, no figures, original sections IV.-VI.
  removed, to be discussed in a separate publication, none of the conclusions
  changed","Phys.Rev.C57:941-952,1998","10.1103/PhysRevC.57.941","MKPH-T-97-11","nucl-th hep-ph",,"  We analyze virtual Compton scattering off the nucleon at low energies in a
covariant, model-independent formalism.
  We define a set of invariant functions which, once the irregular nucleon pole
terms have been subtracted in a gauge-invariant fashion, is free of poles and
kinematical zeros.
  The covariant treatment naturally allows one to implement the constraints due
to Lorentz and gauge invariance, crossing symmetry, and the discrete
symmetries.
  In particular, when applied to the $ep\to e'p'\gamma$ reaction,
charge-conjugation symmetry in combination with nucleon crossing generates four
relations among the ten originally proposed generalized polarizabilities of the
nucleon.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 09:03:14 GMT""},{""version"":""v2"",""created"":""Sun, 26 Apr 1998 12:48:40 GMT""}]","2008-11-26"
"nucl-th/9704065","Marcus Bleicher","M. Bleicher, S.A. Bass, M. Belkacem, J. Brachmann, M. Brandstetter, C.
  Ernst, L. Gerland, J. Konopka, S. Soff, C. Spieles, H. Weber, H. St\""ocker,
  W. Greiner (Institut f\""ur Theoretische Physik der J.W.Goethe Universit\""at,
  Frankfurt a.M., Germany)","Microscopic Analysis of Thermodynamic Parameters from 160 MeV/n - 160
  GeV/n","13 pages, Latex, 8 postscript figures, Proceedings of the Winter
  Meeting in Nuclear Physics (1997), Bormio (Italy)",,,,"nucl-th",,"  Microscopic calculations of central collisions between heavy nuclei are used
to study fragment production and the creation of collective flow. It is shown
that the final phase space distributions are compatible with the expectations
from a thermally equilibrated source, which in addition exhibits a collective
transverse expansion. However, the microscopic analyses of the transient states
in the reaction stages of highest density and during the expansion show that
the system does not reach global equilibrium. Even if a considerable amount of
equilibration is assumed, the connection of the measurable final state to the
macroscopic parameters, e.g. the temperature, of the transient ''equilibrium''
state remains ambiguous.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 10:32:53 GMT""}]","2007-05-23"
"patt-sol/9705001","Giambattista Giacomin","G. Giacomin and J.L. Lebowitz","Phase Segregation Dynamics In Particle Systems with Long Range
  Interactions II: Interface motion","amstex with macros for numbering the formulas, tex twice, 24 pages",,,,"patt-sol nlin.PS",,"  We study properties of the solutions of a family of second order
integro-differential equations, which describe the large scale dynamics of a
class of microscopic phase segregation models with particle conserving
dynamics. We first establish existence and uniqueness as well as some
properties of the instantonic solutions. Then we concentrate on formal
asymptotic (sharp interface) limits. We argue that the obtained interface
evolution laws (a Stefan-like problem and the Mullins-Sekerka solidification
model) coincide with the ones which can be obtained in the analogous limits
from the Cahn-Hilliard equation, the fourth order PDE which is the standard
macroscopic model for phase segregation with one conservation law.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 19:24:24 GMT""}]","2008-02-03"
