"alg-geom/9704001","Maxim Braverman","Alexander Braverman and Maxim Braverman","Tempered currents and the cohomology of the remote fiber of a real
  polynomial map","LaTeX 2e",,,,"alg-geom math.AG",,"  Let $p:R^n\to R$ be a polynomial map. Consider the complex
$S'\Omega^*(\RR^n)$ of tempered currents on $R^n$ with the twisted differential
$d_p=d-dp$ where $d$ is the usual exterior differential and $dp$ stands for the
exterior multiplication by $dp$. Let $t\in R$ and let $F_t=p^{-1}(t)$. In this
paper we prove that the reduced cohomology $\tilda H^k(F_t;C)$ of $F_t$ is
isomorphic to $H^{k+1}(S'\Omega^*(\RR^n),d_p)$ in the case when $p$ is
homogeneous and $t$ is any positive real number. We conjecture that this
isomorphism holds for any polynomial $p$, for $t$ large enough (we call the
$F_t$ for $t >> 0$ the remote fiber of $p$) and we prove this conjecture for
polynomials that satisfy certain technical condition. The result is analogous
to that of A. Dimca and M. Saito, who give a similar (algebraic) way to compute
the reduced cohomology of the generic fiber of a complex polynomial.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 23:36:53 GMT""}]","2008-02-03"
"cond-mat/9704024",,"R. Bulla, A. C. Hewson and G.-M. Zhang (Imperial College, London,
  U.K.)","Low energy fixed points of the sigma-tau and the O(3) symmetric Anderson
  models","23 pages, LaTeX, 11 figures includes as eps-files, submitted to Phys.
  Rev. B","Phys. Rev. B 56 (1997) 11721","10.1103/PhysRevB.56.11721",,"cond-mat.str-el",,"  We study the single channel (compactified) models, the sigma-tau model and
the O(3) symmetric Anderson model, which were introduced by Coleman et al., and
Coleman and Schofield, as a simplified way to understand the low energy
behaviour of the isotropic and anisotropic two channel Kondo systems. These
models display both Fermi liquid and marginal Fermi liquid behaviour and an
understanding of the nature of their low energy fixed points may give some
general insights into the low energy behaviour of other strongly correlated
systems. We calculate the excitation spectrum at the non-Fermi liquid fixed
point of the sigma-tau model using conformal field theory, and show that the
results are in agreement with those obtained in recent numerical
renormalization group (NRG) calculations. For the O(3) Anderson model we find
further logarithmic corrections in the weak coupling perturbation expansion to
those obtained in earlier calculations, such that the renormalized interaction
term now becomes marginally stable rather than marginally unstable. We derive a
Ward identity and a renormalized form of the perturbation theory that
encompasses both the weak and strong coupling regimes and show that the
chi/gamma ratio is 8/3 (chi is the total susceptibility, spin plus isospin),
independent of the interaction U and in agreement with the NRG calculations.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 10:07:33 GMT""}]","2009-10-30"
"cond-mat/9704025","Serguei Artemenko","S.N. Artemenko and A.G. Kobelkov (Institute for Radioengineering and
  Electronics of Russian Academy of Sciences, Moscow, Russia)","Intrinsic Josephson Effect and Violation of the Josephson Relation in
  Layered Superconductors","11 pages, no figures, revtex, to be published in Phys. Rev. Lett",,"10.1103/PhysRevLett.78.3551",,"cond-mat.supr-con",,"  Equations describing the resistive state of a layered superconductor with
anisotropic pairing are derived. The similarity with a stack of Josephson
junctions is found at small voltages only, when current density in the
direction perpendicular to the layers can be interpreted as a sum of the
Josephson superconducting, the Ohmic dissipative and the interference currents.
In the spatially uniform state differential conductivity at higher voltages
becomes negative. Nonuniformity of the current distribution generates the
branch imbalance and violates the Josephson relation between frequency and
voltage.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 13:06:33 GMT""}]","2009-10-30"
"cond-mat/9704027","Rudolf Roemer","Ramesh V. Pai, Alexander Punnoose, and Rudolf A. R\""omer","The Mott-Anderson transition in the disordered one-dimensional Hubbard
  model","4 RevTeX pages with 6 EPSF figures included via psfig",,,"Sfb393/97-12","cond-mat.str-el cond-mat.dis-nn",,"  We use the density matrix renormalization group to study the quantum
transitions that occur in the half-filled one-dimensional fermionic Hubbard
model with onsite potential disorder. We find a transition from the gapped Mott
phase with algebraic spin correlations to a gapless spin-disordered phase
beyond a critical strength of the disorder $\Delta_c \approx U/2$. Both the
transitions in the charge and spin sectors are shown to be coincident. We also
establish the finite-size corrections to the charge gap and the spin-spin
correlation length in the presence of disorder and using a finite-size-scaling
analysis we obtain the zero temperature phase diagram of the various quantum
phase transitions that occur in the disorder-interaction plane.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 13:32:41 GMT""}]","2016-08-15"
"gr-qc/9704006","Diego Torres","Diego F. Torres","Boson Stars in General Scalar-Tensor Gravitation: Equilibrium
  Configurations","19 pages in latex, 3 figures -postscript- may be sent via e-mail upon
  request","Phys.Rev.D56:3478-3484,1997","10.1103/PhysRevD.56.3478",,"gr-qc",,"  We study equilibrium configurations of boson stars in the framework of
general scalar-tensor theories of gravitation. We analyse several possible
couplings, with acceptable weak field limit and, when known, nucleosynthesis
bounds, in order to work in the cosmologically more realistic cases of this
kind of theories. We found that for general scalar-tensor gravitation, the
range of masses boson stars might have is comparable with the general
relativistic case. We also analyse the possible formation of boson stars along
different eras of cosmic evolution, allowing for the effective gravitational
constant far out form the star to deviate from its current value. In these
cases, we found that the boson stars masses are sensitive to this kind of
variations, within a typical few percent. We also study cases in which the
coupling is implicitly defined, through the dependence on the radial
coordinate, allowing it to have significant variations in the radius of the
structure.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 16:15:02 GMT""}]","2011-09-09"
"gr-qc/9704007","B. Linet","B. Linet","Static, massive fields and vacuum polarization potential in Rindler
  space","11 pages, latex, no figures","Int.J.Mod.Phys. D7 (1998) 61-72","10.1142/S0218271898000061",,"gr-qc",,"  In Rindler space, we determine in terms of special functions the expression
of the static, massive scalar or vector field generated by a point source. We
find also an explicit integral expression of the induced electrostatic
potential resulting from the vacuum polarization due to an electric charge at
rest in the Rindler coordinates. For a weak acceleration, we give then an
approximate expression in the Fermi coordinates associated with the uniformly
accelerated observer.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 07:25:51 GMT""}]","2016-08-31"
"hep-ex/9704001","JOhn Ellison","John Ellison","W Boson Physics at the Fermilab Tevatron","15 pages, Latex, appb.sty included. Talk given at the Cracow Epiphany
  Conference on the W Boson, 4-6 January 1997, Krakow, Poland. To be published
  in Acta Physica Polonica B","Acta Phys.Polon. B28 (1997) 1271-1286",,"Fermilab-Pub-97/079-E, D0-Conf-97-6, UCR/D0/97-07","hep-ex hep-ph",,"  We present electroweak physics results from the D0 and CDF experiments using
data from p \bar p collisions at \sqrt s = 1.8 TeV. Measurements of the cross
sections times branching ratios for W and Z production, the inclusive width of
the W boson and the W boson mass are presented. Direct tests of the WW\gamma
and WWZ trilinear gauge boson couplings are also presented based on studies of
diboson production.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 22:06:54 GMT""}]","2007-05-23"
"hep-ph/9704208","Yuval Grossman","Yuval Grossman","The $K_L \to \pi^0 \nu \bar\nu$ Decay Beyond the Standard Model","3 pages, latex, no figures. Talk given at the first symposium of
  FCNC, February 19-21, 1997, Santa Monica, CA",,,"SLAC-PUB-7443","hep-ph",,"  The $K_L \to \pi^0 \nu \bar\nu$ decay is analyzed in a model independent way.
When lepton flavor is conserved, this decay mode is a manifestation of CP
violating interference between mixing and decay. Consequently, a theoretically
clean relation between the measured rate and electroweak parameters holds in
any given model.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 00:08:49 GMT""}]","2007-05-23"
"hep-ph/9704215","Tao Han","Tao Han","Strong WW Scattering Physics: A Comparative Study for the LHC, NLC and a
  Muon Collider","Invited talk at the Ringberg Workshop, 11 pages, postscript file
  available via anonymous ftp://ucdhep.ucdavis.edu/han/sews/ringberg.ps",,,"Fermilab-Conf-97/080-T, UCD-97-08","hep-ph",,"  We discuss the model independent parameterization for a strongly interacting
electroweak sector. Phenomenological studies are made to probe such a sector
for future colliders such as the LHC, $e^+e^-$ Linear collider and a muon
collider.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 17:34:40 GMT""}]","2007-05-23"
"hep-ph/9704217","Michael E. Peskin","T. L. Barklow, G. Burdman, R. S. Chivukula, B. A. Dobrescu, P. S.
  Drell, N. Hadley, W. B. Kilgore, M. E. Peskin, J. Terning, and D. R. Wood","Strong Coupling Electroweak Symmetry Breaking","27 pages, LaTex2e + 17 eps figures","ECONF C960625:STC118,1996",,"CLNS 97/1473, SLAC-PUB-7397","hep-ph hep-ex",,"  We review models of electroweak symmetry breaking due to new strong
interactions at the TeV energy scale and discuss the prospects for their
experimental tests. We emphasize the direct observation of the new interactions
through high-energy scattering of vector bosons. We also discuss indirect
probes of the new interactions and exotic particles predicted by specific
theoretical models. [Working group summary report from the Snowmass `96 summer
study, to appear in the proceedings.]
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 00:10:47 GMT""}]","2011-01-13"
"hep-ph/9704218","Myriam Mondragon","J. Kubo (Kanazawa Univ, Japan), M. Mondragon (IF-UNAM, Mexico), G.
  Zoupanos (Nat. Tech. Univ., Athens)","Reduction of Couplings and Finiteness in Realistic Supersymmetric GUTs","25 pages, 1 figure. To appear in the proceedings of the Buckow
  Symposium 1996","Nucl.Phys.Proc.Suppl. 56B (1997) 281-293","10.1016/S0920-5632(97)00337-X","NTUA-59/96, IFUNAM-FT97-4","hep-ph",,"  Reduction of couplings in supersymmetric GUTs is achieved by searching for
renormalization group invariant (RGI) relations among couplings which hold
beyond the unification scale. Finiteness is due to the fact that there exist
RGI relations among couplings that guarantee the vanishing of the
beta-functions of a N=1 supersymmetric GUT even to all orders in perturbation
theory. Of particular interest are the relations among gauge and Yukawa
couplings which lead to very interesting predictions of the top quark mass
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 01:18:46 GMT""}]","2009-10-30"
"hep-ph/9704220","Ilya F. Ginzburg","I. F. Ginzburg, I. P. Ivanov","Higgs Boson Search At Photon Collider For $M_H=140-190$ GeV","6 pages, Latex, 3 postscript figures, references added, minor changes
  in text","Phys.Lett. B408 (1997) 325-330","10.1016/S0370-2693(97)00774-0",,"hep-ph",,"  A Higgs boson within the mass range $M_H=140-190$ GeV can be discovered at a
photon collider in the reaction $\gamma\gamma\to WW$ (with real or virtual W)
with the luminosity integral about 1 fb$^{-1}$. The reasonable resolution in
the effective mass of the WW system is required.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 21:46:30 GMT""},{""version"":""v2"",""created"":""Sat, 5 Apr 1997 21:03:36 GMT""},{""version"":""v3"",""created"":""Sun, 6 Apr 1997 18:17:54 GMT""},{""version"":""v4"",""created"":""Fri, 25 Apr 1997 03:57:45 GMT""}]","2009-10-30"
"hep-ph/9704221","Tadashi Kon","T. Kon and T. Kobayashi","Stops in R-parity Breaking Model for High-$Q^2$ Events at HERA","9 pages, LaTeX, 3 figures","Phys.Lett. B409 (1997) 265-270","10.1016/S0370-2693(97)00922-2","ITP-SU-97/02","hep-ph",,"  We investigate an event excess in the reaction $e^+p \to e^+ X$ with large
$x$ and high $Q^2$ observed at HERA and show that the events could naturally be
interpreted as a signature of the production of the scalar top quarks (stops)
in a supersymmetric model with $R$-parity breaking interactions. The HERA
events are characterized by the broad mass distribution and in fact it can be
simulated by our specific scenario if we consider almost degenerate two mass
eigenstates $\tilde{t_1}$ and $\tilde{t_2}$ of the stops.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 15:35:55 GMT""}]","2009-10-30"
"hep-ph/9704222","Matthias Steinhauser","K.G. Chetyrkin, R. Harlander, J.H. Kuehn, M. Steinhauser","Mass Corrections to the Vector Current Correlator","16 pages, LaTeX, 11 postscript figures. The complete paper, including
  figures, is also available via anonymous ftp at
  ftp://ttpux2.physik.uni-karlsruhe.de/ , or via www at
  http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/","Nucl.Phys. B503 (1997) 339-353","10.1016/S0550-3213(97)00383-0","MPI/PhT/97-012, TTP97-11","hep-ph",,"  Three-loop QCD corrections to the vector current correlator are considered.
The large momentum procedure is applied in order to evaluate mass corrections
up to order $(m^2/q^2)^6$. The inclusion of the first seven terms to the ratio
$R=\sigma(e^+e^- \to hadrons)/\sigma(e^+e^- \to \mu^+\mu^-)$ leads to reliable
predictions from the high energy region down to relatively close to threshold.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 12:33:55 GMT""}]","2009-10-30"
"hep-ph/9704223","Y. Shimizu","Yasuhiro Okada (KEK), Yasuhiro Shimizu (KEK, Tohoku Univ.), Minoru
  Tanaka (Osaka Univ.)","$b \to s \ell\overline{\ell}$ process and multi-Higgs doublet model","10 pages, 3 figures, also available via anonymous ftp at
  ftp://ftp.kek.jp/kek/preprints/TH/TH-484","Phys.Lett. B405 (1997) 297-304","10.1016/S0370-2693(97)00617-5","KEK-TH-484, KEK Preprint 97-3, OU-HET-261, TU-519","hep-ph",,"  Rare $b$ decay processes are analyzed in the multi-Higgs doublet model.
Taking account of the constraint from the $b\to s \gamma$ process, the
branching ratio and the forward-backward asymmetry of the final leptons for the
$b\to s \ell^+ \ell^-$ process are calculated. It is shown that the branching
ratio can be a few times larger than the standard model prediction and the
asymmetry can be significantly different from that in the standard model.
Combining these observable quantities it is possible to determine complex
coupling constants associated with the charged Higgs mixing matrix. The CP
violating charge asymmetry in the $b\to s \ell^+ \ell^-$ process and the
branching ratio of the $b\to s \nu\bar{\nu}$ process are also calculated.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 12:43:19 GMT""}]","2009-10-30"
"hep-th/9704013","Stefan Foerste","Klaus Behrndt, Stefan Forste and Stefan Schwager","Instanton effects in string cosmology","23 pages, Latex, psfig.sty, 5 figures, comment and reference added,
  final version to appear in Nucl. Phys. B","Nucl.Phys. B508 (1997) 391-408","10.1016/S0550-3213(97)00611-1","HUB-EP-97/21, LMU-HEP-97-5, SFB-375/164","hep-th gr-qc",,"  We consider the gauge dyonic string solution of the K3 compactified heterotic
string theory in a four dimensional cosmological context. Since for this
solution Green-Schwarz as well as Chern-Simons corrections have been taken into
account it contains both world sheet and string loop corrections. The
cosmological picture is obtained by rotating the world volume of the gauge
dyonic string into two space like dimensions and compactifying those dimensions
on a two torus. We compare the result with gauge neutral extreme and
non-extreme cosmologies and find that the non-trivial Yang Mills background
leads to a solution without any singularities whereas for trivial Yang-Mills
backgrounds some of the fields become always singular at the big bang.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 19:32:01 GMT""},{""version"":""v2"",""created"":""Mon, 15 Sep 1997 09:21:44 GMT""}]","2009-10-30"
"hep-th/9704018","H. L. Verlinde","R. Dijkgraaf, E. Verlinde, H. Verlinde","5D Black Holes and Matrix Strings","25 pages, latex, 1 figure, extended discussion of non-extremal
  entropy","Nucl.Phys. B506 (1997) 121-142","10.1016/S0550-3213(97)00478-1","CERN-TH/97-49, UTFA-97/07","hep-th",,"  We derive the world-volume theory, the (non)-extremal entropy and background
geometry of black holes and black strings constructed out of the NS IIA
fivebrane within the framework of matrix theory. The CFT description of strings
propagating in the black hole geometry arises as an effective field theory.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 16:49:48 GMT""},{""version"":""v2"",""created"":""Thu, 10 Apr 1997 15:14:33 GMT""}]","2016-09-06"
"hep-th/9704019",,"N.P.Chitaia, S.A.Gogilidze and Yu.S.Surovtsev","Constrained Dynamical Systems: Separation of Constraints into First and
  Second Classes","12 pages, LaTex; Preprint of Joint Institute for Nuclear Research
  E2-96-227, Dubna, 1996; to be published in Physical Review D",,,,"hep-th",,"  In the Dirac approach to the generalized Hamiltonian formalism, dynamical
systems with first- and second-class constraints are investigated. The
classification and separation of constraints into the first- and second-class
ones are presented with the help of passing to an equivalent canonical set of
constraints. The general structure of second-class constraints is clarified.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 16:20:50 GMT""}]","2007-05-23"
"hep-th/9704020","Hugo Christiansen","Hugo R. Christiansen (CBPF-DCP, Rio de Janeiro, Brazil)","Chiral condensates and QCD vacuum in two dimensions","13 pages, Latex","Phys. Rev. D55 (1997) 4920.","10.1103/PhysRevD.55.4920","CBPF-NF-024/97","hep-th hep-ph",,"  We analyze the chiral symmetries of flavored quantum chromodynamics in two
dimensions and show the existence of chiral condensates within the
path-integral approach. The massless and massive cases are discussed as well,
for arbitrary finite and infinite number of colors. Our results put forward the
question of topological issues when matter is in the fundamental representation
of the gauge group.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 20:51:48 GMT""}]","2015-06-26"
"hep-th/9704021","M. Abouzeid","M. Abou Zeid and C. M. Hull","Intrinsic Geometry of D-Branes","10 pages, LaTeX, no figures. Minor correction; version to appear in
  Physics Letters B","Phys.Lett. B404 (1997) 264-270","10.1016/S0370-2693(97)00570-4","QMW-PH-97-12","hep-th",,"  We obtain forms of Born-Infeld and D-brane actions that are quadratic in
derivatives of $X$ and linear in $F_{\mu \nu}$ by introducing an auxiliary
`metric' which has both symmetric and anti-symmetric parts, generalising the
simplification of the Nambu-Goto action for $p$-branes using a symmetric
metric. The abelian gauge field appears as a Lagrange multiplier, and solving
the constraint gives the dual form of the $n$ dimensional action with an $n-3$
form gauge field instead of a vector gauge field. We construct the dual action
explicitly, including cases which could not be covered previously. The
generalisation to supersymmetric D-brane actions with local fermionic symmetry
is also discussed.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 21:01:25 GMT""},{""version"":""v2"",""created"":""Thu, 10 Apr 1997 19:58:12 GMT""},{""version"":""v3"",""created"":""Tue, 20 May 1997 16:05:53 GMT""}]","2009-10-30"
"hep-th/9704022","Cornwall John","John M. Cornwall (UCLA)","Speculations on Primordial Magnetic Helicity","Latex, 23 pages","Phys.Rev. D56 (1997) 6146-6154","10.1103/PhysRevD.56.6146","UCLA/97/TEP/7","hep-th astro-ph",,"  We speculate that above or just below the electroweak phase transition
magnetic fields are generated which have a net helicity (otherwise said, a
Chern-Simons term) of order of magnitude $N_B + N_L$, where $N_{B,L}$ is the
baryon or lepton number today. (To be more precise requires much more knowledge
of B,L-generating mechanisms than we currently have.) Electromagnetic helicity
generation is associated (indirectly) with the generation of electroweak
Chern-Simons number through B+L anomalies. This helicity, which in the early
universe is some 30 orders of magnitude greater than what would be expected
from fluctuations alone in the absence of B+L violation, should be reasonably
well-conserved through the evolution of the universe to around the times of
matter dominance and decoupling, because the early universe is an excellent
conductor. Possible consequences include early structure formation; macroscopic
manifestations of CP violation in the cosmic magnetic field (measurable at
least in principle, if not in practice); and an inverse-cascade dynamo
mechanism in which magnetic fields and helicity are unstable to transfer to
larger and larger spatial scales. We give a quasi-linear treatment of the
general-relativistic MHD inverse cascade instability, finding substantial
growth for helicity of the assumed magnitude out to scales $\sim
l_M\epsilon^{-1}$, where $\epsilon$ is roughly the B+L to photon ratio and
$l_M$ is the magnetic correlation length. We also elaborate further on an
earlier proposal of the author for generation of magnetic fields above the EW
phase transition.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 00:32:01 GMT""}]","2009-10-30"
"hep-th/9704023","Henneaux M.","Marc Henneaux","Anomalies and Renormalization of BFYM Theory",,"Phys.Lett. B406 (1997) 66-69","10.1016/S0370-2693(97)00653-9",,"hep-th",,"  The (perturbative) renormalization properties of the BF formulation of
Yang-Mills gauge models are shown to be identical to those of the usual, second
order formulation. This result holds in any number of spacetime dimensions and
is a direct consequence of cohomological theorems established by G. Barnich, F.
Brandt and the author (Commun.Math.Phys., 174 (1995) 57).
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 09:56:53 GMT""}]","2009-10-30"
"hep-th/9704025","Ikuo Okouchi","Hideaki Aoyama, Toshiyuki Harano, Hisashi Kikuchi, Ikuo Okouchi,
  Masatoshi Sato and Shinya Wada","Recent Developments in the Theory of Tunneling","100 pages, LaTeX, PTPTeX.sty, 36 eps figures, To be published in
  Progress of Theoretical Physics Suppliment","Prog.Theor.Phys.Suppl.127:1-92,1997","10.1143/PTPS.127.1","KUCP-0104, KUNS 1435, HE(TH)97/02, OHU-PH 9702, YITP-97-12","hep-th",,"  Path-integral approach in imaginary and complex time has been proven
successful in treating the tunneling phenomena in quantum mechanics and quantum
field theories. Latest developments in this field, the proper valley method in
imaginary time, its application to various quantum systems, complex time
formalism, asympton theory for the large order analysis of the perturbation
theory, are reviewed in a self-contained manner.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 12:04:03 GMT""}]","2008-11-26"
"nucl-ex/9704001","Walter F. J. Mueller","C. Schwarz (GSI, Darmstadt), ALADIN collaboration","Source Temperatures and Sizes in Central Collisions","9 pages, TeX with 6 included figures; To appear in the proceedings of
  the 35th International Winter Meeting on Nuclear Physics, Bormio, Italy,
  January 26 - February 1, 1997; also available from
  http://www-kp3.gsi.de/www/kp3/aladin_publications.html",,,,"nucl-ex",,"  For midrapidity fragments from central 50-200 AMeV Au+Au collisions
temperatures from double ratios of isotopic yields were compared with
temperatures from particle unbound states. Temperatures from particle unbound
states with T = 4-5 MeV show with increasing beam energy an increasing
difference to temperatures from double ratios of isotopic yields, which
increase from T = 5MeV to T = 12MeV. The lower temperatures extracted from
particle unstable states can be explained by increasing cooling of the decaying
system due to expansion. This expansion is driven by the radial flow, and
freeze out of particle unstable states might depend on the dynamics of the
expanding system. Source sizes from pp-correlation functions were found to be 9
to 11 fm.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 15:50:00 GMT""}]","2007-05-23"
"nucl-th/9704001","Andreas Nogga","A. Nogga, D. Hueber, H. Kamada and W. Gloeckle","Benchmark Calculations for the Triton Binding Energy for Modern NN
  Forces and the pi-pi Exchange Three-Nucleon Force","18 pages REVTeX, 3 figures","Phys.Lett.B409:19-25,1997","10.1016/S0370-2693(97)00841-1",,"nucl-th",,"  We present high precision benchmark calculations for the triton binding
energy using the most recent, phase equivalent realistic nucleon-nucleon (NN)
potentials and the Tuscon-Melbourne pi-pi three-nucleon force (3NF). That 3NF
is included with partial waves up to a total two-body angular momentum of
j_max=6. It is shown that the inclusion of the 3NF slows down the convergence
in the partial waves and j_max=5 is needed in order to achieve converged
results within a few keV. We adjust the cut-off parameter Lambda in the form
factors of the Tuscon-Melbourne 3NF separately for the different NN potentials
to the triton binding energy. This provides a set of phenomenological
three-nucleon Hamiltonians which can be tested in three-nucleon scattering and
systems with A>3. A connection between the probability to find two nucleons at
short distances in the triton and the effect of that 3NF on the triton binding
energy is pointed out.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 09:03:01 GMT""}]","2009-10-30"
"nucl-th/9704003","Toru Sato","T. Sato(Osaka University), T.-S. H. Lee(Argonne National Laboratory),
  F. Myhrer(University of South Carolina), K. Kubodera(University of South
  Carolina)","Chiral Perturbation Theory and the pp -> pp pi0 Reaction Near Threshold","25 pages,REVTEX, 5 ps figures","Phys.Rev.C56:1246-1255,1997","10.1103/PhysRevC.56.1246","USC(NT)-97-01","nucl-th",,"  A chiral-perturbative consideration of the near-threshold pp -> pp pi0
reaction indicates that the pion-rescattering term has a substantial energy and
momentum dependence. The existing calculations that incorporate this dependence
give pion rescattering contributions significantly larger than those of the
conventional treatment, and this enhanced rescattering term interferes
destructively with the one-body impulse term, leading to theoretical cross
sections that are much smaller than the observed values. However, since the
existing calculations are based on coordinate-space representation, they
involve a number of simplifying assumptions about the energy-momentum flow in
the rescattering diagram, even though the delicate interplay between the
one-body and two-body terms makes it desirable to avoid these kinematical
assumptions. We carry out here a momentum-space calculation that retains the
energy-momentum dependence of the vertices as predicted by chiral perturbation
theory. Our improved treatment increases the rescattering amplitude by a factor
of 3 over the value obtained in the r-space calculations. The pp -> pp pi0
transition amplitude, which is now dominated by the rescattering term, leads to
the cross section much larger than what was reported in the approximate r-space
calculations. Thus, the extremely small cross sections obtained in the previous
chiral perturbative treatments of this reaction should be considered as an
accidental consequence of the approximations employed rather than a general
feature.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 03:11:48 GMT""}]","2008-11-26"
"nucl-th/9704004",,"H. Q. Wang (Dept. of Cosmic and Subatomic Physics, Lund University)","A General Signal of a Phase Transition from Single-Particle Momentum
  Distributions","5 pages, 2 Postscript figures","Phys.Rev.C55:2159-2162,1997","10.1103/PhysRevC.55.R2159",,"nucl-th",,"  A two-particle space correlation function is derived from the single-particle
momentum distribution of the emission source. A signal of a first order phase
transition is obtained from this correlation function if density fluctuations
are large.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 13:12:29 GMT""}]","2008-11-26"
"physics/9704001","V. Varadarajan","V. S. Varadarajan","Remarks on Some Applications of Skorokhod Space in Quantum Mechanics","Plain TeX",,,,"math-ph math.MP",,"  This paper discusses the role of the Skorokhod space and the convergence of
probability measures on it in some recent studies of the foundations of quantum
mechanics, both in the conventional setting over the real number field and in
the more speculative one of nonarchimedean local fields.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 18:41:29 GMT""}]","2008-11-06"
"q-alg/9704003","Xu Feng","Feng Xu","Jones-Wassermann Subfactors for Disconnected Intervals","40 pages, Amstex",,,,"q-alg funct-an math.FA math.QA",,"  We show that the Jones-Wassermann subfactors for disconnected intervals,
which are constructed from the representations of loop groups of type $A$, are
finite-depth subfactors. The index value and the dual principal graphs of these
subfactors are completely determined. The square root of the index value in the
case of two disjoint intervals for vacuum representation is the same as the
Quantum 3-manifold invariant of type $A$ evaluated on $S^1\times S^2$.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 19:18:00 GMT""}]","2008-02-03"
"q-alg/9704004","Wolfgang Eholzer","Wolfgang Eholzer and Nils-Peter Skoruppa","SL(2,Z)-Invariant Spaces Spanned by Modular Units","20 pages, LaTeX2e (+amsfonts, amsopn, amsthm, amsmath)",,,"DAMTP-96-62","q-alg hep-th math.QA",,"  Characters of rational vertex operator algebras (RVOAs) arising in
2-dimensional conformal field theories often belong (after suitable
normalization) to the (multiplicative) semigroup E^+ of modular units whose
Fourier expansions are in 1+q Z_{>=0}[[q]], up to a fractional power of q. If
even all characters of a RVOA share this property then we have an example of
what we call modular sets, i.e. finite subsets of E^+ whose elements
(additively) span a vector space which is invariant under the usual action of
SL(2,Z). The classification of modular sets and RVOAs seem to be closely
related. In this article we give an explicit description of the group of
modular units generated by E^+, we prove a certain finiteness result for
modular sets contained in a natural semi-subgroup E_* of E^+, and we discuss
consequences.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 11:42:28 GMT""},{""version"":""v2"",""created"":""Fri, 2 Sep 2005 05:30:25 GMT""}]","2008-02-03"
"q-alg/9704005","Giovanni Felder","Giovanni Felder (ETH Zuerich), Alexander Varchenko (UNC Chapel Hill)","Elliptic quantum groups and Ruijsenaars models","15 pages, latex",,"10.1007/BF02764216",,"q-alg hep-th math.QA",,"  We construct symmetric and exterior powers of the vector representation of
the elliptic quantum groups $E_{\tau,\eta}(gl_N)$. The corresponding transfer
matrices give rise to various integrable difference equations which could be
solved in principle by the nested Bethe ansatz method. In special cases we
recover the Ruijsenaars systems of commuting difference operators.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 12:23:20 GMT""}]","2009-10-30"
"quant-ph/9704004","Olavo Leopoldino Da Silva Filho","L.S.F. Olavo","Quantum Mechanics as a Classical Theory XVI: Positive-Definite Densities","Plain Latex, 3 figures",,,"UnB-016","quant-ph",,"  In this paper we will turn our attention to the problem of obtaining
phase-space probability density functions. We will show that it is possible to
obtain functions which assume only positive values over all its domain of
definition.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 18:50:24 GMT""}]","2007-05-23"
