"alg-geom/9704008","Antonella Grassi","A. Grassi","Divisors on elliptic Calabi-Yau 4-folds and the superpotential in
  F-theory, I","Reference added; 34 pages with 7 figures AmS-TeX version 2.1",,"10.1016/S0393-0440(98)00004-7",,"alg-geom hep-th math.AG",,"  Each smooth elliptic Calabi-Yau 4-fold determines both a three-dimensional
physical theory (a compactification of ``M-theory'') and a four-dimensional
physical theory (using the ``F-theory'' construction). A key issue in both
theories is the calculation of the ``superpotential''of the theory. We propose
a systematic approach to identify these divisors, and derive some criteria to
determine whether a given divisor indeed contributes. We then apply our
techniques in explicit examples, in particular, when the base B of the elliptic
fibration is a toric variety or a Fano 3-fold. When B is Fano, we show how
divisors contributing to the superpotential are always ""exceptional"" (in some
sense) for the Calabi-Yau 4-fold X. This naturally leads to certain transitions
of X, that is birational transformations to a singular model (where the image
of D no longer contributes) as well as certain smoothings of the singular
model. If a smoothing exists, then the Hodge numbers change. We speculate that
divisors contributing to the superpotential are always ""exceptional"" (in some
sense) for X, also in M-theory. In fact we show that this is a consequence of
the (log)-minimal model algorithm in dimension 4, which is still conjectural in
its generality, but it has been worked out in various cases, among which toric
varieties.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 18:12:16 GMT""},{""version"":""v2"",""created"":""Sun, 13 Apr 1997 15:03:51 GMT""},{""version"":""v3"",""created"":""Mon, 16 Feb 1998 20:54:17 GMT""}]","2009-10-30"
"chao-dyn/9704014","Detlef Lohse","Siegfried Grossmann, Detlef Lohse, and Achim Reeh (Fachbereich Physik
  der Universit\""at Marburg, Germany)","Different intermittency for longitudinal and transversal turbulent
  fluctuations","20 pages, 10 eps-figures, to appear in Physics of Fluids, December
  1997",,"10.1063/1.869516","Preprint 1997-3, Marburg","chao-dyn nlin.CD",,"  Scaling exponents of the longitudinal and transversal velocity structure
functions in numerical Navier-Stokes turbulence simulations with
Taylor-Reynolds numbers up to $\rel = 110$ are determined by the extended self
similarity method. We find significant differences in the degree of
intermittency: For the sixth moments the scaling corrections to the classical
Kolmogorov expectations are $\delta\xi_6^L= -0.21 \pm 0.01$ and $\dx_6^T= -0.43
\pm 0.01$, respectively, independent of $\rel$. Also the generalized extended
self similarity exponents $\rho_{p,q} = \dx_p/\dx_q$ differ significantly for
the longitudinal and transversal structure functions. Within the She-Leveque
model this means that longitudinal and transversal fluctuations obey different
types of hierarchies of the moments. Moreover, the She-Leveque model hierarchy
parameters $\beta^L $ and $\beta^T$ show small but significant dependences on
the order of the moment.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 07:36:12 GMT""},{""version"":""v2"",""created"":""Thu, 4 Sep 1997 20:25:38 GMT""}]","2009-10-30"
"chao-dyn/9704015","Detlef Lohse","Siegfried Grossmann, Detlef Lohse, and Achim Reeh (Fachbereich Physik
  der Universit\""at Marburg, Germany)","Application of extended self similarity in turbulence","12 pages, 7 eps-figures, replaces version from April 11th, 1997;
  paper now in press at Phys. Rev. E",,"10.1103/PhysRevE.56.5473","Preprint 1997-4, Marburg","chao-dyn nlin.CD",,"  From Navier-Stokes turbulence numerical simulations we show that for the
extended self similarity (ESS) method it is essential to take the third order
structure function taken with the modulus and called $D_3^*(r)$, rather than
the standard third order structure function $D_3(r)$ itself. If done so, we
find ESS towards scales larger than roughly 10 eta, where eta is the Kolmogorov
scale. If $D_3(r)$ is used, there is no ESS. We also analyze ESS within the
Batchelor parametrization of the second and third order longitudinal structure
function and focus on the scaling of the transversal structure function. The
Re-asymptotic inertial range scaling develops only beyond a Taylor-Reynolds
number of about 500.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 07:50:14 GMT""},{""version"":""v2"",""created"":""Tue, 5 Aug 1997 10:31:54 GMT""}]","2009-10-30"
"cond-mat/9704088","JCh Angles d'Auriac","J.-C. Angl\`es d'Auriac and N. Sourlas","The 3-d Random Field Ising Model at zero temperature","8 pages, 3 PostScript Figures",,"10.1209/epl/i1997-00379-x",,"cond-mat",,"  We study numerically the zero temperature Random Field Ising Model on cubic
lattices of various linear sizes $L$ in three dimensions. For each random field
configuration we vary the ferromagnetic coupling strength $J$. We find that in
the infinite volume limit the magnetization is discontinuous in $J$. The energy
and its first $J$ derivative are continuous. The approch to the thermodynamic
limit is slow, behaving like $L^{-p}$ with $p \sim .8$ for the gaussian
distribution of the random field. We also study the bimodal distribution $h_{i}
= \pm h$, and we find similar results for the magnetization but with a
different value of the exponent $p \sim .6 $. This raises the question of the
validity of universality for the random field problem.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 17:13:20 GMT""}]","2009-10-30"
"cond-mat/9704089","Desire Bolle","D. Boll\'e (1), G. Jongen (1) and G.M. Shim (2) ((1) Instituut voor
  Theoretische Fysica, K.U. Leuven, Belgium, (2) Department of Physics,
  Chungnam National University, R.O. Korea)","Parallel dynamics of fully connected Q-Ising neural networks","26 pages incl. figures, LaTeX, uses rotate.sty and epsfig.sty","J.Stat.Phys. 91 (1998), 125-154",,"KUL-TF-97/09","cond-mat.dis-nn",,"  Using a probabilistic approach we study the parallel dynamics of fully
connected Q-Ising neural networks for arbitrary Q. A Lyapunov function is shown
to exist at zero temperature. A recursive scheme is set up to determine the
time evolution of the order parameters through the evolution of the
distribution of the local field. As an illustrative example, an explicit
analysis is carried out for the first three time steps. For the case of the Q=3
model these theoretical results are compared with extensive numerical
simulations. Finally, equilibrium fixed-point equations are derived and
compared with the thermodynamic approach based upon the replica-symmetric
mean-field approximation.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 16:49:07 GMT""}]","2019-08-15"
"cond-mat/9704091","Vladimir Dobrosavljevic","V. Dobrosavljevic, Elihu Abrahams, E. Miranda, and Sudip Chakravarty","Scaling theory of two-dimensional metal-insulator transitions","4 pages, no figures, REVTEX. Minor corrections added",,"10.1103/PhysRevLett.79.455",,"cond-mat.dis-nn cond-mat.str-el",,"  We discuss the recently discovered two-dimensional metal-insulator transition
in zero magnetic field in the light of the scaling theory of localization. We
demonstrate that the observed symmetry relating conductivity and resistivity
follows directly from the quantum critical behavior associated with such a
transition. In addition, we show that very general scaling considerations imply
that any disordered two dimensional metal is a perfect metal, but most likely
not a Fermi liquid.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 18:21:24 GMT""},{""version"":""v2"",""created"":""Thu, 17 Apr 1997 19:07:50 GMT""}]","2009-10-30"
"cond-mat/9704092","Stephen Nagler","A.W. Garrett, S.E. Nagler, D.A. Tennant, B.C. Sales and T. Barnes","Magnetic Excitations in the S=1/2 Alternating Chain Compound
  (VO)_2P_2O_7","4 pages, postscript figures",,"10.1103/PhysRevLett.79.745",,"cond-mat",,"  Magnetic excitations in an array of (VO)_2P_2O_7 single crystals have been
measured using inelastic neutron scattering. Until now, (VO)_2P_2O_7 has been
thought of as a two-leg antiferromagnetic Heisenberg spin ladder with chains
running in the a-direction. The present results show unequivocally that
(VO)_2P_2O_7 is best described as an alternating spin-chain directed along the
crystallographic b-direction. In addition to the expected magnon with magnetic
zone-center energy gap \Delta = 3.1 meV, a second excitation is observed at an
energy just below 2\Delta. The higher mode may be a triplet two-magnon bound
state.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 19:34:14 GMT""}]","2016-08-31"
"cond-mat/9704093","Stephen Nagler","D.A.Tennant, S.E.Nagler, A.W.Garrett, T.Barnes, and C.C.Torardi","Excitation Spectrum and Superexchange Pathways in the Spin Dimer VODPO_4
  . 1/2 D_2O","4 pages, 4 postscript figures - identical to previous paper but
  figure 2 and 3 hopefully more compatible .ps",,"10.1103/PhysRevLett.78.4998",,"cond-mat",,"  Magnetic excitations have been investigated in the spin dimer material
VODPO_4 \cdot 1/2 D_2O using inelastic neutron scattering. A dispersionless
magnetic mode was observed at an energy of 7.81(4) meV. The wavevector
dependence of the scattering intensityfrom this mode is consistent with the
excitation of isolated V^{4+} spin dimers with a V-V separation of 4.43(7) \AA.
This result is unexpected since the V-V pair previously thought to constitute
themagnetic dimer has a separation of 3.09 \AA. We identify an alternative V-V
pair as the likely magnetic dimer, which involves superexchange pathways
through a covalently bonded PO_4 group. This surprising result casts doubt on
the interpretation of (VO)_2P_2O_7 as a spin ladder.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 20:43:18 GMT""},{""version"":""v2"",""created"":""Mon, 14 Apr 1997 20:28:42 GMT""}]","2016-08-31"
"cond-mat/9704094","Daniel P. Arovas","Jose A. Freire, Daniel P. Arovas, and Herbert Levine","Quantum Nucleation of Phase Slips in a 1d Model of a Superfluid","LaTeX, 4 pages, with 4 encapsulated PostScript figures",,"10.1103/PhysRevLett.79.5054",,"cond-mat.stat-mech cond-mat.supr-con",,"  We use a 1d model of a superfluid based on the Gross-Pitaevskii Lagrangian to
illustrate a general numerical method designed to find quantum tunneling rates
in extended bosonic systems. Specifically, we study flow past an obstacle and
directly solve the imaginary time dynamics to find the ``bounce'' solution
connected with the decay of the metastable laminar state via phase slip
nucleation. The action for the tunneling confuguration goes to zero at the
threshold (in superfluid velocity) for classical production of these slips.
Applications to other processes are briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 21:18:20 GMT""}]","2009-10-30"
"cond-mat/9704096","Wang Jian","Wei-Dong Sheng, Jian Wang, and Hong Guo","The second order nonlinear conductance of a two-dimensional mesoscopic
  conductor","LaTeX",,"10.1088/0953-8984/10/24/011",,"cond-mat.mes-hall",,"  We have investigated the weakly non-linear quantum transport properties of a
two-dimensional quantum conductor. We have developed a numerical scheme which
is very general for this purpose. The nonlinear conductance is computed by
explicitly evaluating the various partial density of states, the sensitivity
and the characteristic potential. Interesting spatial structure of these
quantities are revealed. We present detailed results concerning the crossover
behavior of the second order nonlinear conductance when the conductor changes
from geometrically symmetrical to asymmetrical. Other issues of interests such
as the gauge invariance are also discussed.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 04:26:47 GMT""}]","2009-10-30"
"cond-mat/9704097","Tobias Brandes","Tobias Brandes (Tokyo University)","Truncation method for Green's functions in time-dependent fields","to appear in Phys. Rev. B., 21 pages, 3 figures (ps-files)",,"10.1103/PhysRevB.56.1213",,"cond-mat.dis-nn cond-mat.mes-hall quant-ph",,"  We investigate the influence of a time dependent, homogeneous electric field
on scattering properties of non-interacting electrons in an arbitrary static
potential. We develop a method to calculate the (Keldysh) Green's function in
two complementary approaches. Starting from a plane wave basis, a formally
exact solution is given in terms of the inverse of a matrix containing
infinitely many 'photoblocks' which can be evaluated approximately by
truncation. In the exact eigenstate basis of the scattering potential, we
obtain a version of the Floquet state theory in the Green's functions language.
The formalism is checked for cases such as a simple model of a double barrier
in a strong electric field. Furthermore, an exact relation between the
inelastic scattering rate due to the microwave and the AC conductivity of the
system is derived which in particular holds near or at a metal-insulator
transition in disordered systems.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 07:09:40 GMT""}]","2009-10-30"
"cond-mat/9704098","Wolfgang Kinzel","Wolfgang Kinzel","Phase Transitions of Neural Networks","Plenary talk for MINERVA workshop on mesoscopics, fractals and neural
  networks, Eilat, March 1997 Postscript File",,"10.1080/13642819808205038","WUE-ITP-97-005","cond-mat.dis-nn q-bio",,"  The cooperative behaviour of interacting neurons and synapses is studied
using models and methods from statistical physics. The competition between
training error and entropy may lead to discontinuous properties of the neural
network. This is demonstrated for a few examples: Perceptron, associative
memory, learning from examples, generalization, multilayer networks, structure
recognition, Bayesian estimate, on-line training, noise estimation and time
series generation.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 09:26:38 GMT""}]","2017-02-08"
"cond-mat/9704099","Nigel Wilding","Nigel B. Wilding","Critical end point behaviour in a binary fluid mixture","17 pages Revtex, 11 epsf figures. To appear in Phys. Rev. E",,"10.1103/PhysRevE.55.6624","KOMA-96-47","cond-mat.stat-mech",,"  We consider the liquid-gas phase boundary in a binary fluid mixture near its
critical end point. Using general scaling arguments we show that the diameter
of the liquid-gas coexistence curve exhibits singular behaviour as the critical
end point is approached. This prediction is tested by means of extensive
Monte-Carlo simulations of a symmetrical Lennard-Jones binary mixture within
the grand canonical ensemble. The simulation results show clear evidence for
the proposed singularity, as well as confirming a previously predicted
singularity in the coexistence chemical potential [Fisher and Upton, Phys. Rev.
Lett. 65, 2402 (1990)]. The results suggest that the observed singularities,
particularly that in the coexistence diameter, should also be detectable
experimentally.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 11:17:30 GMT""}]","2016-08-31"
"cond-mat/9704100","Thomas Prellberg","Thomas Prellberg and Barbara Drossel","Winding angles for two-dimensional polymers with orientation dependent
  interactions","21 pages (incl 5 figures)",,"10.1103/PhysRevE.57.2045",,"cond-mat.stat-mech cond-mat.soft",,"  We study winding angles of oriented polymers with orientation-dependent
interaction in two dimensions. Using exact analytical calculations, computer
simulations, and phenomenological arguments, we succeed in finding the variance
of the winding angle for most of the phase diagram. Our results suggest that
the winding angle distribution is a universal quantity, and that the
$\theta$--point is the point where the three phase boundaries between the
swollen, the normal collapsed, and the spiral collapsed phase meet. The
transition between the normal collapsed phase and the spiral phase is shown to
be continuous.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 12:52:25 GMT""}]","2009-10-30"
"cond-mat/9704101","Bourges","Ph. Bourges, L.P. Regnault, Y. Sidis, J. Bossy, P. Burlet, C. Vettier,
  J.Y. Henry, and M. Couach","Shifting of the magnetic resonance peak to lower energy in the
  superconducting state of underdoped YBa_2Cu_3O_{6.8}","8 pages, 3 figures, accepted in Europhysics Letter","Europhys. Lett. 38 (4), 313-318 (1997)","10.1209/epl/i1997-00244-6",,"cond-mat.supr-con cond-mat.str-el",,"  Inelastic neutron scattering has been used to determine the dynamic spin
fluctuations in an underdoped high temperature superconductor YBCO_{6.8} single
crystal. The magnetic resonance, that occurs around 40 meV in overdoped
samples, is shifted to a lower energy, E_r= 34 meV. A constant ratio, $E_r/ k_B
T_C= 4.9 \pm 0.2$, almost independent of the doping level, is found. According
to numerous theoretical approaches, this finding supports the idea that the
resonance energy is proportional (approximately twice) to the superconducting
gap.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 15:55:41 GMT""}]","2016-08-31"
"gr-qc/9704030","Hyeong-Chan Kim","Hyeong-Chan Kim and Jae-Kwan Kim","Radiation from a uniformly accelerating harmonic oscillator","26 pages, 1 eps figure, RevTeX, minor correction in grammar, add a
  discussion","Phys.Rev. D56 (1997) 3537-3547","10.1103/PhysRevD.56.3537",,"gr-qc",,"  We consider a radiation from a uniformly accelerating harmonic oscillator
whose minimal coupling to the scalar field changes suddenly. The exact time
evolutions of the quantum operators are given in terms of a classical solution
of a forced harmonic oscillator. After the jumping of the coupling constant
there occurs a fast absorption of energy into the oscillator, and then a slow
emission follows. Here the absorbed energy is independent of the acceleration
and proportional to the log of a high momentum cutoff of the field. The emitted
energy depends on the acceleration and also proportional to the log of the
cutoff. Especially, if the coupling is comparable to the natural frequency of
the detector ($e^2/(4m) \sim \omega_0$) enormous energies are radiated away
from the oscillator.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 06:13:14 GMT""},{""version"":""v2"",""created"":""Mon, 28 Apr 1997 09:21:01 GMT""}]","2009-10-30"
"gr-qc/9704031","Stanislav Alexeyev","S.O. Alexeyev","Internal Structure of a Gauss-Bonnet Black Hole","4 pages, LaTeX, gc-97.sty (included), 7 LaTeX figures (included)","Grav.Cosmol.3:161-164,1997",,,"gr-qc",,"  Black holes are studied in the frames of superstring theory using a
non-trivial numerical integration method. A low energy string action containing
graviton, dilaton, Gauss-Bonnet and Maxwell contributions is considered.
Four-dimensional black hole solutions are studied inside and outside the event
horizon. The internal part of the solutions is shown to have a non-trivial
topology.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 14:55:40 GMT""}]","2014-11-17"
"hep-ex/9704006","Guenter Wolf","Guenter Wolf","The Kinematics of Deep Inelastic Scattering in the Presence of Initial
  State Radiation","26 pages including 16 figures",,,"DESY-97-047","hep-ex",,"  Initial state radiation (ISR) in deep inelastic scattering of charged leptons
on nucleons can lead to substantial shifts in the reconstruction of $Q^2$ and
the scaling variables $x$ and $y$. By measuring at least three out of the four
variables: energy and production angle of the lepton and the hadron system, the
energy of the ISR photon emitted under zero degrees can be determined. The ISR
effect is illustrated for experimentation at HERA with different methods of
kinematic reconstruction.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 13:49:22 GMT""}]","2007-05-23"
"hep-ph/9704284","Lokhtin","I. P. Lokhtin, A. M. Snigirev","Radiative energy loss of hard parton jet in expanding quark-gluon fluid","11 pages, LaTeX + 2 figures, epsfig.sty",,,"NPI MSU 97-10/46","hep-ph",,"  The gluon radiation induced by multiple scattering of a hard parton in
expanding quark-gluon plasma is investigated. The radiative energy loss of hard
parton jet is shown to decrease considerably when angular size of extracted jet
goes up, but the fraction of loss survives even for the reasonable wide cone of
angles due to the coherent effects taking into account the rescattering of the
radiated gluons in the QCD medium. The possible application to the jet
quenching phenomenon in heavy ion collisions at LHC energies is discussed.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 16:09:14 GMT""},{""version"":""v2"",""created"":""Fri, 11 Apr 1997 06:10:44 GMT""}]","2016-09-06"
"hep-ph/9704285","Zhang Yang","C. Boros, Meng Ta-chung, R. Rittel and Zhang Yang","Self-organized criticality and interacting soft gluons in deep-inelastic
  electron-proton scattering","28 pages, 7 Postscript figures",,,"FUB-HEP/97-2","hep-ph",,"  It is suggested that the colorless systems of interacting soft-gluons in
large-rapidity-gap events are open dynamical complex systems in which
self-organized criticality and BTW-clusters play an important role. Theoretical
arguments and experimental evidences supporting such a statistical approach to
deep-inelastic scattering are presented.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 18:10:10 GMT""},{""version"":""v2"",""created"":""Fri, 11 Apr 1997 09:22:19 GMT""},{""version"":""v3"",""created"":""Wed, 9 Jul 1997 16:48:13 GMT""},{""version"":""v4"",""created"":""Fri, 28 Nov 1997 19:51:14 GMT""}]","2008-02-03"
"hep-ph/9704286","Subir Sarkar","Jennifer A. Adams (Uppsala), Graham G. Ross (Oxford) and Subir Sarkar
  (Oxford)","Multiple inflation","20 pages (revtex) including 2 figures (epsf); submitted to Nucl.
  Phys. B; Postscript also available from
  ftp://ftp.physics.ox.ac.uk/pub/local/users/sarkar/MultiInfl.ps.gz","Nucl.Phys.B503:405-425,1997","10.1016/S0550-3213(97)00431-8","OUTP-96-58P, UUITP-5-97","hep-ph astro-ph",,"  Attempts at building an unified description of the strong, weak and
electromagnetic interactions usually involve several stages of spontaneous
symmetry breaking. We consider the effects of such symmetry breaking during an
era of primordial inflation in supergravity models. In cases that these occur
along flat directions at intermediate scales there will be a succession of
short bursts of inflation which leave a distinctive signature in the spectrum
of the generated scalar density perturbation. Thus measurements of the spectral
index can directly probe the structure of unified theories at very high energy
scales. An observed feature in the power spectrum of galaxy clustering from the
APM survey may well be associated with such structure. If so, this implies a
characteristic suppression of the secondary Doppler peaks in the angular power
spectrum of temperature fluctuations in the cosmic microwave background.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 17:03:30 GMT""}]","2011-02-16"
"hep-ph/9704287","Yuval Grossman","Yuval Grossman, Yosef Nir and Mihir P. Worah","A Model Independent Construction of the Unitarity Triangle","14 pages, harvmac, 2 figures uses epsf","Phys.Lett.B407:307-313,1997","10.1016/S0370-2693(97)00675-8","SLAC-PUB-7450, WIS-97/10/Apr-PH","hep-ph",,"  In a large class of models, the only significant new physics effect on the CP
asymmetries in $B \to \psi K_S$ and $B \to \pi\pi$ decays is a new contribution
to the $B-\bar B$ mixing amplitude. This allows a model independent
construction of the CKM Unitarity Triangle (up to hadronic uncertainties).
Furthermore, the contributions to the mixing from the Standard Model and from
the new physics can be disentangled. A serious obstacle to this analysis is an
eightfold discrete ambiguity in solving for the angles of the triangle. Several
ways to reduce the ambiguity either by making further measurements, or by
making further assumptions about the nature of the new physics are described.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 17:42:24 GMT""}]","2010-11-23"
"hep-ph/9704288","Francisco Larios","F. Larios, Ehab Malkawi, and C.-P. Yuan","Probing the Electroweak Symmetry Breaking Sector with the Top Quark","71 pages, LaTeX, 26 eps figures, uses psfig.tex. Based on the
  Lectures given by C.-P. Yuan at the CCAST Workshop on "" Physics at TeV Energy
  Scale "", July 15-26, 1996, Beijing, China. An extended version of a previous
  work: hep-ph/9609482",,,"MSUHEP-70410","hep-ph",,"  A study on the effective anomalous interactions, up to dimension 5, of the
top quark with the electroweak gauge bosons is made in the non-linear Chiral
Lagrangian approach. Bounds on the anomalous dimension four terms are obtained
from their contribution to low energy data. Also, the potential contribution to
the production of top quarks at hadron colliders (the Tevatron and the LHC) and
the electron Linear Collider from both dimension 4 and 5 operators is analyzed.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 19:25:32 GMT""}]","2007-05-23"
"hep-ph/9704289","Hsin-Chia Cheng","Hsin-Chia Cheng (Fermilab)","Supersymmetric Lepton Flavor Violation at the NLC","5 pages, LaTeX, 1 figure, Talk presented at the 1st Symposium on
  Flavor-Changing Neutral Currents, Feb.19-21, 1997, Santa Monica, California",,,"Fermilab-CONF-97/089-T","hep-ph",,"  Supersymmetric theories generally have new flavor violation sources in the
squark and slepton mass matrices. If significant lepton flavor violation
exists, selectron and smuon should be nearly degenerate. This leads to the
phenomenon of slepton oscillations, which is analogous to neutrino
oscillations, if sleptons are produced at the Next Linear Collider. The direct
slepton production at the Next Linear Collider provides a much more powerful
probe of lepton flavor violation than the current bounds from rare processes,
such as $\mu \to e\gamma$.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 20:53:37 GMT""}]","2007-05-23"
"hep-ph/9704290","Ed Stoeffhaas","V. Barger, M. S. Berger, J. F. Gunion, and T. Han","The Physics Capabilities of mu^+ mu^- Colliders","Talk presented by V. Barger at the symposium ""New Ideas for Particle
  Accelerators"", Inst. for Theor. Physics, Santa Barbara, California, Oct.
  1996. Latex 2.09 with aipproc.sty and epsf.sty, 11 embedded postscript
  figures. Postscript version of the complete paper is also available at
  http://phenom.physics.wisc.edu/pub/preprints/1997/madph-97-989.ps.Z or at
  ftp://phenom.physics.wisc.edu/pub/preprints/1997/madph-97-989.ps.Z","AIP Conf.Proc.397:219-233,1997","10.1063/1.52995","MADPH-97-989","hep-ph",,"  We summarize the potential of muon colliders to probe fundamental physics.
$W^+W^-$, \bar tt, and $Zh$ threshold measurements could determine masses to
precisions $\Delta M_W = 6$ MeV, $\Delta m_t = 70$ MeV, and $\Delta m_h = 45$
MeV, to test electroweak radiative corrections. With $s$-channel Higgs
production, unique to a muon collider, the Higgs mass could be pinpointed
($\Delta m_h < 1$ MeV) and its width measured. The other Higgs bosons of
supersymmetry can be produced and studied by three methods. If instead the $WW$
sector turns out to be strongly interacting, a 4 TeV muon collider is ideally
suited to its study.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 21:29:30 GMT""}]","2009-10-30"
"hep-ph/9704291",,"Stephen Godfrey, JoAnne L. Hewett, and Lawrence E. Price","Discovery Potential for New Phenomena","18 pages, LaTex2e",,,"SLAC-PUB-7440, OCIP/C 97-03","hep-ph",,"  We examine the ability of future facilities to discover and interpret
non-supersymmetric new phenomena. We first explore explicit manifestations of
new physics, including extended gauge sectors, leptoquarks, exotic fermions,
and technicolor models. We then take a more general approach where new physics
only reveals itself through the existence of effective interactions at lower
energy scales. [Summary Report of the New Phenomena Working Group. To appear in
the Proceedings of the 1996 DPF/DPB Summer Study on New Directions for High
Energy Physics - Snowmass96, Snowmass, CO, 25 June - 12 July 1996.]
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 22:38:51 GMT""}]","2016-09-06"
"hep-ph/9704292",,"J.L. Hewett","Signatures of Extended Gauge Sectors in $e^+e^-\to \nu\bar\nu\gamma$","4 pages, LaTex2e","ECONF C960625:NEW139,1996",,"SLAC-PUB-7441","hep-ph",,"  The ability of high energy $e^+e^-$ colliders to indirectly probe the
existence of heavy new charged gauge bosons via their exchange in the reaction
$e^+e^-\to \nu\bar\nu\gamma$ is investigated. It is shown that examination of
the resulting photon energy spectrum with polarized beams can extend the $W'$
search reach above the center of mass energy. [ To appear in the Proceedings of
the 1996 DPF/DPB Summer Study on New Directions for High Energy Physics -
Snowmass96, Snowmass, CO, 25 June - 12 July 1996.]
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 22:41:25 GMT""}]","2011-04-15"
"hep-ph/9704293","Alexander F. Krutov","A.F.Krutov, V.E.Troitsky","Electroweak properties of light mesons in relativistic hamiltonian
  dynamics","6 pages, LATEX, 1 postscript figure. Talk at XIII International
  Seminar on High Energy Physics Problems, 2-7 September, 1996, Dubna, Russia",,,,"hep-ph",,"  The calculation of lepton decay constants and electromagnetic form factors of
pion and kaon is performed in the framework of relativistic hamiltonian
dynamics. The different model wave function is used. Wave function parameters
are fixed from fit of mean square radius of meson. The internal quark structure
is taken into account by electromagnetic quark form factor and quark anomalous
magnetic moment. The pion and kaon form factors depend only weakly on model
wave function. Strong dependence of these values on quark anomalous magnetic
moment is obtained in the transfer momentum region of CEBAF experiments.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 07:09:44 GMT""}]","2007-05-23"
"hep-ph/9704294",,"C.S.Lim (Kobe univ)","Quaternionic Mass Matrices and CP Symmetry","10 pages, LaTex","Mod.Phys.Lett. A12 (1997) 2829-2836","10.1142/S0217732397002958","KOBE-TH-95-06","hep-ph",,"  A viable formulation of gauge theory with extra generations in terms of
quaternionic fields is presented. For the theory to be acceptable, the number
of generations should be equal to or greater than 4. The quark-lepton mass
matrices are generalized into quaternionic matrices.It is concluded that
explicit CP violation automatically disappears in both strong- and
weak-interaction sectors.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 08:21:29 GMT""}]","2009-10-30"
"hep-ph/9704295",,"B. L. Ioffe","The $Q^2$ Dependence of the Sum Rules for Structure Functions of
  Polarized $e(\mu)N$ Scattering","Talk presented at the Workshop on High Energy Polarization Phenomena,
  Ringberg, Germany, February 24-28, 1997, to appear in Phys.At.Nucl., 16
  pages, LaTex, figures can be received by request from author","Phys.Atom.Nucl.60:1707-1714,1997; Yad.Fiz.60N10:1866-1873,1997",,,"hep-ph",,"  The nonperturbative $Q^2$- dependence of the sum rules for the structure
functions of polarized $e(\mu)N$ scattering is discussed. The determination of
twist-4 corrections to the structure functions at high $Q^2$ by QCD sum rules
is reviewed and critically analyzed. It is found that in the case of the
Bjorken sum rule the twist-4 correction is small at $Q^2 > 5 GeV^2$ and does
not influence the value of $\alpha_s$ determined from this sum rule. However,
the accuracy of the today experimental data is insufficient to reliably
determine $\alpha_s$ from the Bjorken sum rule. For the singlet sum rule --
$p+n$ -- the QCD sum rule gives only the order of magnitude of twist-4
correction. At low and intermediate $Q^2$ the model is presented which realizes
a smooth connection of the Gerasimov-Drell-Hearn sum rules at $Q^2 = 0$ with
the sum rules for $\Gamma_{p,n}(Q^2)$ at high $Q^2$. The model is in a good
agreement with the experiment.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 12:33:25 GMT""}]","2011-04-15"
