"adap-org/9702001","Mark Newman","M. E. J. Newman, Simon M. Fraser, Kim Sneppen, and William A. Tozier
  (Santa Fe Institute)","Comment on ""Self-organized criticality in living systems"" by C. Adami","5 pages, no figures, typeset in LaTeX2e using the Elsevier macro
  package elsart.cls","Phys. Lett. A 228, 202 (1997)","10.1016/S0375-9601(97)00108-4",,"adap-org cond-mat.soft nlin.AO",,"  Following extensive numerical experiments, it has been suggested that the
evolution of competing computer programs in artificial life simulations shows
signs of being a self-organized critical process. The primary evidence for this
claim comes from the distribution of the lifetimes of species in the
simulations, which appears to follow a power law. We argue that, for a number
of reasons, it is unlikely that the system is in fact at a critical point and
suggest an alternative explanation for the power-law lifetime distribution.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 18:37:29 GMT""}]","2009-10-30"
"cond-mat/9702050","Max Petersen","C. Ratsch, P. Ruggerone, and M. Scheffler","Density-Functional Theory of Surface Diffusion and Epitaxial Growth of
  Metals","17 pages, 7 figures, In: ``Surface Diffusion: Atomistic and
  Collective Processes'', Ed. M. Tringides. Plenum Press, New York 1997",,,,"cond-mat.mtrl-sci",,"  This paper gives a summary of basic concepts of density-functional theory
(DFT) and its use in state-of-the-art computations of complex processes in
condensed matter physics and materials science. In particular we discuss how
microscopic growth parameters can be determined by DFT and how on this basis
macroscopic phenomena can be described. To reach the time and length scales of
realistic growth conditions, DFT results are complemented by kinetic Monte
Carlo simulations.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 13:12:41 GMT""}]","2008-02-03"
"cond-mat/9702051","Holger Fehske","J. Loos and H. Fehske","Effective one-band electron-phonon Hamiltonian for nickel perovskites","12 pages, LaTeX, submitted to Phys. Rev. B",,"10.1103/PhysRevB.56.3544",,"cond-mat",,"  Inspired by recent experiments on the Sr-doped nickelates,
$La_{2-x}Sr_xNiO_4$, we propose a minimal microscopic model capable to describe
the variety of the observed quasi-static charge/lattice modulations and the
resulting magnetic and electronic-transport anomalies. Analyzing the motion of
low-spin (s=1/2) holes in a high-spin (S=1) background as well as their their
coupling to the in-plane oxygen phonon modes, we construct a sort of
generalized Holstein t-J Hamiltonian for the $NiO_2$ planes, which contains
besides the rather complex ``composite-hole'' hopping part non-local spin-spin
and hole-phonon interaction terms.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 14:51:25 GMT""}]","2016-08-31"
"cond-mat/9702053","Joachim Stelzer","Joachim Stelzer and Henryk Arodz (Uniwersytet Jagiellonski, Krakow,
  Poland)","Dynamics of cylindrical domain walls in nematic liquid crystals","17 pages, 7 Postscript figures",,"10.1103/PhysRevE.56.1784",,"cond-mat.soft hep-th",,"  Analytical calculations of the dynamics of a curved domain wall in a nematic
liquid crystal are performed. The core of the wall is assumed to form a
cylinder, whose axis coincides with the direction of an external magnetic
field. The equation of motion for the nematic director field is solved in a
comoving coordinate frame by applying a polynomial expansion of the tilt angle
with respect to the radial distance from the wall core. Starting from a
cylindrical domain wall at rest as initial conditions, the shrinking of the
cylinder and the change of the wall width is analysed in detail. In particular,
we find that the Neel wall decays faster than the Bloch wall, in agreement with
energy considerations.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 15:56:51 GMT""}]","2009-10-30"
"funct-an/9702003","Maurice van Putten","Maurice H.P.M. van Putten","A Riemann sum upper bound in the Riemann-Lebesque theorem","LaTex, 2 pages, to appear in the Classroom Notes section in SIAM
  Review",,,,"funct-an math.FA",,"  The Riemann-Lebesque Theorem is commonly proved in a few strokes using the
theory of Lebesque integration. Here, the upper bound $2\pi|c_k(f)|\le
S_k(f)-s_k(f)$ for the Fourier coefficients $c_k$ is proved in terms of
majoring and minoring Riemann sums $S_k(f)$ and $s_f(k)$, respectively, for
Riemann integrable functions $f(x)$. This proof has been used in a course on
methods of applied mathematics.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 14:17:16 GMT""}]","2008-02-03"
"gr-qc/9702008","Omar Ortiz","Heinz Otto Kreiss (1), Gabriel B. Nagy (2), Omar E. Ortiz (2) and
  Oscar A. Reula (2) ((1) Department of Mathematics, UCLA, USA (2) FaMAF,
  Universidad Nacional de Cordoba, Argentina)","Global existence and exponential decay for hyperbolic dissipative
  relativistic fluid theories","10 pages, Latex","J.Math.Phys. 38 (1997) 5272-5279","10.1063/1.531940",,"gr-qc",,"  We consider dissipative relativistic fluid theories on a fixed flat, compact,
globally hyperbolic, Lorentzian manifold. We prove that for all initial data in
a small enough neighborhood of the equilibrium states (in an appropriate
Sobolev norm), the solutions evolve smoothly in time forever and decay
exponentially to some, in general undetermined, equilibrium state. To prove
this, three conditions are imposed on these theories. The first condition
requires the system of equations to be symmetric hyperbolic, a fundamental
requisite to have a well posed and physically consistent initial value
formulation. The second condition is a generic consequence of the entropy law,
and is imposed on the non principal part of the equations. The third condition
is imposed on the principal part of the equations and it implies that the
dissipation affects all the fields of the theory. With these requirements we
prove that all the eigenvalues of the symbol associated to the system of
equations of the fluid theory have strictly negative real parts, which in fact,
is an alternative characterization for the theory to be totally dissipative.
Once this result has been obtained, a straight forward application of a general
stability theorem due to Kreiss, Ortiz, and Reula, implies the results above
mentioned.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 18:02:33 GMT""}]","2009-10-30"
"gr-qc/9702010","Jorge Pullin","Jorge Pullin","Matters of Gravity, the newsletter of the APS TG on gravitation","25 pages LaTeX, uses html.sty, available (now also in html!) at
  http://vishnu.nirvana.phys.psu.edu/mog.html",,,"MOG-9","gr-qc",,"  Contents:
  News:
  April 1997 Joint APS/AAPT Meeting, by Beverly Berger
  TGG News, by Jim Isenberg
  Report from NSF, by David Berley
  We hear that..., by Jorge Pullin
  Research briefs:
  GR in GPS, by Neil Ashby
  What happens near the innermost stable circular orbit? by Doug Eardley
  Conference reports:
  Journees Relativistes 96, by D. Brill, M. Heusler, G. Lavrelashvili
  TAMA Workshop, by Peter Saulson
  Midwest gravity meeting, by Comer Duncan
  OMNI-1 Workshop by N.S. Magalhaes, W. F. Velloso Jr and O.D. Aguiar
  Chandra Symposium, by Robert Wald
  Penn State Meeting, by Lee Smolin
  Aspen Winter Conference, by Syd Meshkov
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 03:43:40 GMT""}]","2016-08-31"
"hep-lat/9702003","Simon Hands","Simon Hands (University of Wales Swansea)","Monte Carlo Study of the 3D Thirring Model","7 pages LaTeX with 4 figures. Talk given at the International
  Workshop ""Perspectives of Strong Coupling Gauge Theories"", Nov. 1996, Nagoya,
  Japan",,,"SWAT/97/149","hep-lat",,"  I review three different non-perturbative approaches to the three dimensional
Thirring model: the 1/N_f expansion, Schwinger-Dyson equations, and Monte Carlo
simulation. Simulation results are presented to support the existence of a
non-perturbative fixed point at a chiral symmetry breaking phase transition for
N_f=2 and 4, but not for N_f=6. Spectrum calculations for $N_f=2$ reveal
conventional level ordering near the transition.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 11:07:11 GMT""}]","2007-05-23"
"hep-ph/9702247","Sacha Davidson","S. Davidson, J. Ellis","Flavour-Dependent and Basis Independent Measures of R Violation","20 pages, Latex, requires axodraw.sty","Phys.Rev.D56:4182-4193,1997","10.1103/PhysRevD.56.4182","CERN-TH/97-14, MPI-PhT-97-004","hep-ph",,"  We construct lepton flavour-dependent and basis-independent measures of
R-parity violation in the minimal supersymmetric extension of the Standard
Model (MSSM). We work in the context of exact supersymmetry, neglecting the
effects of Higgs vacuum expectation values and soft supersymmetry-breaking
terms. We devote particular attention to appropriate choices of flavour
eigenstates, and to the counting and enumeration of R-violating invariants in
two- and three-generation models. We also make an indicative application of our
results to derive possible basis-independent cosmological upper bounds on
flavour-dependent violation of R parity.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 16:01:17 GMT""}]","2009-09-11"
"hep-ph/9702248","Matthias Burkardt","R.M. Davidson (NIKHEF & RPI) and M. Burkardt (NMSU)","An Estimate of Charge Symmetry Breaking in Nuclear Deep Inelastic
  Scattering","revtex, 9 pages","Phys.Lett. B403 (1997) 134-138","10.1016/S0370-2693(97)00443-7",,"hep-ph",,"  We estimate the magnitude of charge symmetry breaking effects in deep
inelastic scattering from nuclei. The resulting contribution to systematic
uncertainties in hadronic determinations of $sin^2\theta_W$ are found to be
less than the current experimental accuracy, but may be important in the
analyses of more precise future experiments. We expect the largest nuclear
charge symmetry breaking effects in the Paschos-Wolfenstein ratio $R^-$, where
the resulting uncertainty in the determination of $sin^2 \theta_W$ reaches
$10^{-3}$.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 16:07:33 GMT""}]","2009-10-30"
"hep-ph/9702249","Maciej Skrzypek","T. Ishikawa, Y. Kurihara, M. Skrzypek, Z. Was","Four-quark final state in W-pair production: Case of signal and
  background","26 pages, LaTeX","Eur.Phys.J.C4:75-84,1998","10.1007/s100520050186","CERN-TH/97-11, KEK-CP052, KEK preprint-166","hep-ph",,"  We discuss theoretical predictions for W-pair production and decay at LEP2
and higher energies in a form suitable for comparison with raw data. We present
a practical framework for calculating uncertainties of predictions given by the
KORALW and grc4f Monte Carlo programs. As an example we use observables in the
$s\bar s c\bar c$ decay channel: the total four-quark (four-jet) cross section
and two-quark/jet invariant-mass distribution and cross section, in the case
when the other two may escape detection. Effects of QED bremsstrahlung,
effective couplings, running W and Z widths, Coulomb interaction and the
complete tree level set of diagrams are discussed. We also revisit the question
of technical precision of the new version 1.21 of the KORALW Monte Carlo code
as well as of version 1.2(26) of the grc4f one.
  Finally we find predictions of the two programs to have an overall physical
uncertainty of 2%.
  As a side result we show, on the example of an $s\bar s$ invariant mass
distribution, the strong interplay of spin correlations and detector cut-offs
in the case of four-fermion final states.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 16:25:26 GMT""}]","2011-09-13"
"hep-ph/9702250","Bob Holdom","B. Holdom","Dynamical Nonsupersymmetry Breaking","13 pages, 2 figures, Talk given at the International Workshop on
  Perspectives of Strong Coupling Gauge Theories (SCGT96), November 1996,
  Nagoya, Japan",,,"UTPT-97-02","hep-ph",,"  We emphasize the role that anomalous power-law scaling of 4-fermion
operators, occurring in the presence of new strong interactions, could have in
the generation of quark and lepton masses.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 19:04:58 GMT""}]","2007-05-23"
"hep-ph/9702251","Cetin Savkli","Cetin Savkli, Frank Tabakin","Quark-Antiquark Bound States within a Dyson-Schwinger Bethe-Salpeter
  Formalism","Minor typographical corrections. Accepted for publication in Nucl.
  Phys. A","Nucl.Phys. A628 (1998) 645-668","10.1016/S0375-9474(97)00648-9","WM-97-103","hep-ph nucl-th",,"  Pion and kaon observables are calculated using a Dyson-Schwinger
Bethe-Salpeter formalism. It is shown that an infrared finite gluon propagator
can lead to quark confinement via generation of complex mass poles in quark
propagators. Observables, including electromagnetic form factors, are
calculated entirely in Euclidean metric for spacelike values of bound state
momentum and final results are extrapolated to the physical region.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 20:43:49 GMT""},{""version"":""v2"",""created"":""Tue, 4 Mar 1997 21:58:44 GMT""},{""version"":""v3"",""created"":""Wed, 3 Sep 1997 20:40:12 GMT""},{""version"":""v4"",""created"":""Fri, 21 Nov 1997 05:02:56 GMT""}]","2009-10-30"
"hep-ph/9702252","Sanghyeon Chang","Sanghyeon Chang, Claudio Coriano and R. D. Field","Spin Dependent Drell-Yan beyond Leading Order: Non-Singlet Virtual
  corrections to $O(\alpha_s^2)$","12 pages, 7 figures, one chapter added, change in figures","Phys.Lett.B403:344-352,1997","10.1016/S0370-2693(97)00542-X","UFIFT-HEP-97-3","hep-ph",,"  We present parton-level analytical results for the next-to-leading order
non-singlet virtual and real corrections to the Drell-Yan differential
cross-section. The dependence of the differential cross section on the helicity
of the initial state partons is shown explicitly (the spins of the final state
partons are summed). The calculation is implemented in dimensional
regularization within the $\bar{MS}$ scheme and with the t'Hooft Veltman
prescriptions for the n-dimensional $\gamma_5$. Both the polarized initial
state and the unpolarized cross sections can be obtained from our result. Our
unpolarized cross section agrees with the previous result of Ellis, Martinelli
and Petronzio in the non-singlet sector.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 20:56:33 GMT""},{""version"":""v2"",""created"":""Thu, 6 Feb 1997 17:27:20 GMT""},{""version"":""v3"",""created"":""Wed, 30 Apr 1997 21:26:05 GMT""}]","2014-11-17"
"hep-ph/9702254","Jose Rodriguez Quintero","J. Rodr\'iguez-Quintero, O. P\`ene and M. Lozano","CP-Violating Reflection of High Energy Fermions during a first order
  Phase Transition","33 pages, LaTeX","Annals Phys. 259 (1997) 65-95","10.1006/aphy.1997.5698","FANSE-96/19, LPTHE Orsay-96/108","hep-ph",,"  We study the high energy behaviour of fermions hitting a general wall caused
by a first-order phase transition. The wall profile is introduced through
general analytic and non-analytic functions. The reflection coefficient is
computed in the high energy limit and its connection with the analytic
properties of the wall profile function is shown. The high energy behaviour of
the fermions hitting the wall is determined either by the leading singularity,
i.e. the closest pole to the real axis, when the profile function is analytic,
or by the first non-continuous derivative on the real axis, in the non-analytic
case. CP-violating wall profiles are studied and it is shown that the
respective symmetry properties of the CP-conserving and CP-violating profile
functions plays an important role on the size of the CP asymmetry.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 11:07:03 GMT""}]","2016-08-15"
"hep-ph/9702255","Arttu K. Rajantie","Arttu Rajantie (University of Helsinki)","SU(5)+Adjoint Higgs Model at Finite Temperature","27 pages, latex2e, 5 figures. Discussion about interpreting the
  effective parameters in terms of physical ones is enlarged. Some other minor
  corrections are made","Nucl.Phys.B501:521-544,1997","10.1016/S0550-3213(97)00362-3",,"hep-ph",,"  A three-dimensional effective theory of the finite-temperature SU(5)+adjoint
Higgs model is constructed using the method of dimensional reduction. The
resulting theory can be used for computer simulations of the GUT phase
transition of the early universe. In this paper the transition is analyzed at
two-loop level in perturbation theory. The structure of the effective theory
does not essentially depend on the matter contents of the original
four-dimensional one. Therefore the analysis of this paper applies also to more
realistic theories.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 11:41:09 GMT""},{""version"":""v2"",""created"":""Thu, 8 May 1997 14:31:54 GMT""}]","2008-11-26"
"hep-ph/9702256","Javier Magnin","J.C. Anjos, G. Herrera, J. Magnin, F.R.A. Simao","Production and polarization of $\Lambda_c^+$ and the charm of the proton","references to figures corrected. Final version to appear in Physical
  Review D","Phys.Rev.D56:394-401,1997","10.1103/PhysRevD.56.394","CBPF-NF-011/97","hep-ph hep-ex",,"  We propose a two-component model involving the parton fusion mechanism and
recombination of a $ud$ valence diquark with a sea $c$-quark of the incident
proton to describe $\Lambda_c^+$ inclusive production in $pp$ collisions. We
also study the polarization of the produced $\Lambda_c^+$ in the framework of
the Thomas Precession Model for polarization. We show that a measurement of the
$\Lambda_c$ polarization is a sensitive test of its production mechanism. In
particular the intrinsic charm model predicts a positive polarization for the
$\Lambda_c$ within the framework of the Thomas Precession Model, while
according to the model presented here the $\Lambda_c$ polarization should be
negative. The measurement of the $\Lambda_c$ polarization provides a close
examination of intrinsic charm Fock states in the proton and give interesting
information about the hadroproduction of charm.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 11:51:47 GMT""},{""version"":""v2"",""created"":""Thu, 24 Apr 1997 13:24:05 GMT""}]","2010-11-19"
"hep-ph/9702257","Javier Magnin","J. dos Anjos, G. Herrera, J. Magnin and F.R.A. Sim\~ao","The Charm of the Proton and the $\Lambda _c^{+}$ Production","6 pages, LaTex, 2 figures included, aipproc.sty included. Talk
  presented at Simposio Latino Americano de Fisica de Altas Energias, Merida,
  Mexico, November 1996","AIPConf.Proc.400:231-236,1997","10.1063/1.53220","CBPF-NF-010/97","hep-ph",,"  We propose a two component model for charmed baryon production in $pp$
collisions consisting of the conventional parton fusion mechanism and
fragmentation plus quarks recombination in which a $ud$ valence diquark from
the proton recombines with a $c$-sea quark to produce a $\Lambda_c^+$. Our
two-component model is compared with the intrinsic charm two-component model
and experimental data.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 11:52:45 GMT""}]","2009-10-30"
"hep-ph/9702258","Javier Magnin","G. Herrera, J. Magnin, Luis M. Monta\~no and F.R.A. Sim\~ao","The $\Lambda_0$ Polarization and the Recombination Mechanism","4 pages, LaTex, 1 figures included, aipproc.sty included. Talk
  presented at Simposio Latino Americano de Fisica de Altas Energias, Merida,
  Mexico, November 1996",,"10.1063/1.53223","CBPF-NF-009/97","hep-ph hep-ex",,"  We use the recombination and the Thomas Precession Model to obtain a
prediction for the $\Lambda _0$ polarization in the $p+p \to \Lambda_0+X$
reaction. We study the effect of the recombination function on the $\Lambda_0$
polarization.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 11:53:23 GMT""}]","2016-09-06"
"hep-ph/9702259","Christian Tix","C. Tix","Lower bound for the ground state energy of the no-pair Hamiltonian","5 pages, 1 figure, 1 table, Latex2e (amssymb,amsmath,graphicx)","Phys.Lett. B405 (1997) 293-296","10.1016/S0370-2693(97)00622-9",,"hep-ph",,"  A lower bound for the ground state energy of a one particle relativistic
Hamiltonian - sometimes called no-pair operator - is provided.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 13:54:52 GMT""}]","2009-10-30"
"hep-ph/9702260","GLin","Wei-Shu Hou, Guey-Lin Lin, Chien-Yi Ma and C.-P. Yuan","Probing Flavor Changing Neutral Higgs Couplings at LHC","14 pages, REVTEX, 3 figures included","Phys.Lett. B409 (1997) 344-348","10.1016/S0370-2693(97)00921-0","NTUTH-97-01, NCTU-TH-97-01, MSUHEP-70122","hep-ph",,"  Uniquely heavy with mass at the weak scale, the top quark may have large
flavor changing couplings to Higgs bosons that are as yet unexplored. We show
that such couplings can be directly probed at the LHC through the parton
subprocess $c(\bar c)g \to t (\bar t)A^0$, where the pseudoscalar $A^0$
subsequently decays into $t \bar c$ or ${\bar t} c$, giving rise to the
intriguing final state of like sign top quark pairs. After demanding
$\ell^\pm\ell^\pm$, missing energy and two $b$-jets, the major background turns
out to be $q\bar q' \to Wt \bar t$, which can be partially suppressed by jet
counting. The signal can then manifest itself in the asymmetry of numbers of
$\ell^+\ell^+$ and $\ell^-\ell^-$ events. To further improve the signal over
background, efficient $t$ vs. $\bar t$ tagging methods should be developed.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 15:23:27 GMT""}]","2016-09-06"
"hep-ph/9702261","Elizabeth H. Simmons","E. H. Simmons","Testing Extended Technicolor with R_b and Single Top Quark Production","8 pages, 2 figures; Talk given at Ringberg Workshop on The Higgs
  Puzzle, 8-13 December 1996",,,"BUHEP-97-5","hep-ph hep-ex",,"  We review the connection between m_t and the $Zb\bar b$ vertex in ETC models
and discuss how data on R_b constrains ETC models. Theories in which the ETC
and weak gauge groups do not commute are consistent with electroweak data and
predict effects on single top production that will be visible at Fermilab.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 15:14:47 GMT""}]","2007-05-23"
"hep-ph/9702262","Andrej Arbuzov","A.B. Arbuzov (Dubna, JINR), G.V. Fedotovich (Novosibirsk, INP), E.A.
  Kuraev (Dubna, JINR), N.P. Merenkov (Kharkov, FTI), V.D. Rushai (Dubna,
  JINR), L. Trentadue (Parma U. & INFN, Parma)","Large angle QED processes at e^+e^- colliders at energies below 3 GeV","24 pages, LaTeX, 2 PS figures, numerical results for large-angle
  Bhabha are added","JHEP 9710 (1997) 001","10.1088/1126-6708/1997/10/001",,"hep-ph",,"  QED processes at electron-positron colliders are considerd. We present
differential cross-sections for large-angle Bhabha scattering, annihilation
into muons and photons. Radiative corrections in the first order are taken into
account exactly. Leading logarithmic contributions are calculated in all orders
by means of the structure-function method. An accuracy of the calculation can
be estimated about 0.2%.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 15:32:38 GMT""},{""version"":""v2"",""created"":""Thu, 15 May 1997 06:05:45 GMT""},{""version"":""v3"",""created"":""Sat, 27 Sep 1997 14:43:38 GMT""}]","2009-10-30"
"hep-ph/9702263","Thomas Gehrmann","T.Gehrmann (DESY)","QCD corrections to the longitudinally polarized Drell-Yan process","21 pages, LaTeX, 8 figures included","Nucl.Phys. B498 (1997) 245-266","10.1016/S0550-3213(97)00271-X","DESY-97-014","hep-ph",,"  In this paper we calculate the O($\alpha_s$) corrections to the $x_F$- and
$y$-distributions of lepton pairs produced in collisions of longitudinally
polarized hadrons. The numerical importance of these corrections is studied and
consequences for the extraction of the polarized sea quark distributions from a
measurement of the longitudinally polarized Drell-Yan cross section are
discussed.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 15:52:22 GMT""}]","2016-09-06"
"hep-th/9702028","Hamid Bougourzi","A. Abada, A.H. Bougourzi and B. Si-Lakhal","Exact four-spinon dynamical correlation function of the Heisenberg model","26 pages, Tex","Nucl.Phys. B497 (1997) 733-753","10.1016/S0550-3213(97)00285-X","ITP-SB-96-72, December 96","hep-th cond-mat math.QA q-alg",,"  In this paper we derive the exact expression of the four-spinon contribution
to the dynamical correlation function of the spin S= 1/2 anisotropic (XXZ)
Heisenberg model in the antiferromagnetic regime. We extensively study its
isotropic (XXX) limit and derive perturbatively the Ising one. Our method
relies on the quantum affine symmetry of the model, which allows for a
systematic diagonalization of the Hamiltonian in the thermodynamic limit and
for an exact calculation of matrix elements of local spin operators. In fact,
we argue that the familiar criticism of this method related to the complication
of these matrix elements is not justified. First, we give, in the form of
contour integrals, an exact expression for the n-spinon contribution. After we
compile recently found results concerning the two-spinon contribution, we
specialize the n-spinon formula to the new case n=4. Then we give an explicit
series representation of this contribution in the isotropic limit. Finally,
after we show that this representation is free of divergences, we discuss the
Ising limit in which a simple expression is found up to first order in the
anisotropy parameter.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 21:56:12 GMT""}]","2009-10-30"
"hep-th/9702030","Ti-Ming Chiang","Ti-Ming Chiang, Jacques Distler, Brian R. Greene","Some Features of (0,2) Moduli Space","32 pages, 2 eps figures, harvmac","Nucl.Phys. B496 (1997) 590-616","10.1016/S0550-3213(97)00237-X","CLNS 96/1456, UTTG--21--96, CU-TP-813","hep-th",,"  We discuss some aspects of perturbative $(0,2)$ Calabi-Yau moduli space. In
particular, we show how models with different $(0,2)$ data can meet along
various sub-loci in their moduli space. In the simplest examples, the models
differ by the choice of desingularization of a holomorphic V-bundle over the
same resolved Calabi-Yau base while in more complicated examples, even the
smooth Calabi-Yau base manifolds can be topologically distinct. These latter
examples extend and clarify a previous observation which was limited to
singular Calabi-Yau spaces and seem to indicate a multicritical structure in
moduli space. This should have a natural F-theory counterpart in terms of the
moduli space of Calabi-Yau four-folds.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 22:23:14 GMT""}]","2009-10-30"
"hep-th/9702038","Ken Intriligator","Kenneth Intriligator","RG Fixed Points in Six Dimensions via Branes at Orbifold Singularities","17 pages, harvmac. Added reference and footnote on ""vector structure""
  terminology","Nucl.Phys. B496 (1997) 177-190","10.1016/S0550-3213(97)00236-8","IASSNS-HEP-97/7","hep-th",,"  We discuss a set of generalized, necessary conditions for non-trivial,
interacting fixed points in six dimensional supersymmetric field theories. We
use string theory to argue for the existence of infinite families of
interacting RG fixed point theories. The theories are based on certain gauge
groups and matter content, which we identify, along with additional tensor
multiplets. They are conjectured to arise in the world-volume of Type I D5
branes at orbifold singularities.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 16:55:31 GMT""},{""version"":""v2"",""created"":""Wed, 12 Feb 1997 16:58:44 GMT""}]","2009-10-30"
"hep-th/9702040","Marcos Alvarez","Marcos Alvarez","Hamiltonian Reduction of Non-Linear Waves","15 pages, LaTeX","Annals Phys. 261 (1997) 163-179","10.1006/aphy.1997.5739","SWAT-147","hep-th",,"  The Faddeev-Jackiw Hamiltonian Reduction approach to constrained dynamics is
applied to the collective coordinates analysis of non-linear waves, and
compared with the alternative procedure known as symplectic formalism.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 18:15:46 GMT""},{""version"":""v2"",""created"":""Tue, 10 Jun 1997 16:36:03 GMT""}]","2009-10-30"
"hep-th/9702041","Indranil","Indranil Dasgupta (Boston University)","Vacuum Tunneling by Cosmic Strings","16 pages, Latex, two postscript figures, uses epsf","Nucl.Phys. B506 (1997) 421-435","10.1016/S0550-3213(97)00546-4","BUHEP-96-32","hep-th hep-ph",,"  We consider vacuum tunneling of a new kind where the false vacua are not
translationally invariant, but have topological defects that break some of
their translational symmetries. In the particular case where the topological
defects are cosmic strings, we show the existence of an O(2) \times O(2)
symmetric bounce configuration that allows a semi-classical estimate of the
rate of cosmic string induced tunneling. A method of reduction is then
suggested for simplifying the computation of the bounce action. Some
phenomenological applications are described.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 00:42:01 GMT""}]","2009-10-30"
"hep-th/9702042","Bernard Knaepen","Marc Henneaux, Bernard Knaepen and Christiane Schomblond","BRST cohomology of the Chapline-Manton model","Latex file, no figures, 15 pages","Lett.Math.Phys. 42 (1997) 337-348","10.1023/B:MATH.0000009704.06617.54","ULB-TH-97/02","hep-th",,"  We completely compute the local BRST cohomology $H(s|d)$ of the combined
Yang-Mills-2-form system coupled through the Yang-Mills Chern-Simons term
(""Chapline-Manton model""). We consider the case of a simple gauge group and
explicitely include in the analysis the sources for the BRST variations of the
fields (""antifields""). We show that there is an antifield independent
representative in each cohomological class of $H(s|d)$ at ghost number 0 or 1.
Accordingly, any counterterm may be assumed to preserve the gauge symmetries.
Similarly, there is no new candidate anomaly beside those already considered in
the literature, even when one takes the antifields into account. We then
characterize explicitly all the non-trivial solutions of the Wess-Zumino
consistency conditions. In particular, we provide a cohomological
interpretation of the Green-Schwarz anomaly cancellation mechanism.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 12:38:52 GMT""}]","2016-09-06"
"hep-th/9702043","Ramy Brustein","Ram Brustein, Richard Madden","Graceful Exit and Energy Conditions in String Cosmology","16 pages, 2 eps figures, Latex","Phys.Lett. B410 (1997) 110-118","10.1016/S0370-2693(97)00945-3","BGU-PH-97/06","hep-th gr-qc",,"  String cosmology solutions are examined in a generalized phase-space
including sources representing arbitrary corrections to lowest order
string-dilaton-gravity effective action. We find a set of necessary conditions
for a graceful exit transition from a dilaton-driven inflationary phase to a
radiation dominated era. We show that sources allowing such a transition have
to violate energy conditions similar to those appearing in singularity theorems
of general relativity. Since familiar classical sources, excepting spatial
curvature, obey these energy conditions we conclude that a generic graceful
exit in string cosmology requires a new effective phase of matter. Our results
clarify and generalize previous analyses and enable us to critically reexamine
proposed non-singular cosmologies.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 14:20:25 GMT""}]","2009-10-30"
"hep-th/9702044",,"Bj{\o}rn Jensen and Parviz H. Mani","On the Stability of the GPS Magnetic Monopole Solution","9 Pages, RevTex",,,"OSLO-TP 3-97, USITP 97-01","hep-th",,"  The question of the stability of the four dimensional Gross-Perry-Sorkin
Kaluza-Klein magnetic monopole solution is investigated within the framework of
a N=2, D=5 supergravity theory. We show that this solution does not support a
spin structure of the Killing type and is therefore, contrary to previous
expectations, not necessarily stable.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 15:27:12 GMT""}]","2007-05-23"
"math/9702210",,"Joram Lindenstrauss","Uniform embeddings, homeomorphisms and quotient maps between Banach
  spaces (A short survey)",,,,"Banach Archive 2/5/97","math.FA",,"  This is a survey of the area mentioned in the title.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 00:00:00 GMT""}]","2009-09-25"
