"alg-geom/9702001","Eduardo Cattani","Eduardo Cattani, Alicia Dickenstein, and Bernd Sturmfels","Residues and Resultants","Plain TeX, 22 pages",,,,"alg-geom math.AG",,"  Resultants, Jacobians and residues are basic invariants of multivariate
polynomial systems. We examine their interrelations in the context of toric
geometry. The global residue in the torus, studied by Khovanskii, is the sum
over local Grothendieck residues at the zeros of $n$ Laurent polynomials in $n$
variables. Cox introduced the related notion of the toric residue relative to
$n+1$ divisors on an $n$-dimensional toric variety. We establish denominator
formulas in terms of sparse resultants for both the toric residue and the
global residue in the torus. A byproduct is a determinantal formula for
resultants based on Jacobians.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 18:59:15 GMT""}]","2008-02-03"
"hep-th/9702005",,"Gernot Akemann","Universal correlators for multi-arc complex matrix models","25 pages, LaTex, minor changes, to appear in Nucl.Phys.B","Nucl.Phys. B507 (1997) 475-500","10.1016/S0550-3213(97)00552-X","CPT-97/P.3455","hep-th cond-mat",,"  The correlation functions of the multi-arc complex matrix model are shown to
be universal for any finite number of arcs. The universality classes are
characterized by the support of the eigenvalue density and are conjectured to
fall into the same classes as the ones recently found for the hermitian model.
This is explicitly shown to be true for the case of two arcs, apart from the
known result for one arc. The basic tool is the iterative solution of the loop
equation for the complex matrix model with multiple arcs, which provides all
multi-loop correlators up to an arbitrary genus. Explicit results for genus one
are given for any number of arcs. The two-arc solution is investigated in
detail, including the double-scaling limit. In addition universal expressions
for the string susceptibility are given for both the complex and hermitian
model.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 18:07:37 GMT""},{""version"":""v2"",""created"":""Fri, 15 Aug 1997 16:03:46 GMT""}]","2009-10-30"
"hep-th/9702006","David Lowe","David A. Lowe","Bound States of Type I' D-particles and Enhanced Gauge Symmetry","11 pages, harvmac (b mode), minor corrections","Nucl.Phys. B501 (1997) 134-142","10.1016/S0550-3213(97)00345-3","CALT-68-2096","hep-th",,"  Duality between the E_8 x E_8 heterotic string and Type I' theory predicts a
tower of D(irichlet)-particle bound states corresponding to perturbative
heterotic string states. In the limit of infinite Type I' coupling, some of
these bound states become massless, giving rise to enhanced E_8 x E_8 gauge
symmetry. By taking a different infinite coupling limit, one can recover the
E_8 x E_8 gauge bosons of M-theory, compactified on S^1/Z_2. In this paper we
use the matrix model description of the D-particle dynamics to study these
bound states. We find results consistent with the chain of dualities and
clarify a number of issues that arise in the application of the matrix
mechanics to this system.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 23:03:41 GMT""},{""version"":""v2"",""created"":""Mon, 10 Feb 1997 15:09:08 GMT""}]","2009-10-30"
"hep-th/9702007","Matt Visser","C. E. Carlson (Coll. William-Mary), C. Molina-Paris (Los Alamos), J.
  Perez-Mercader (LAEFF, Madrid), and Matt Visser (Washington University)","Casimir effect in dielectrics: Bulk Energy Contribution","20 pages in double-column format; uses ReV_TeX 3.0; 8 encapsulated
  postscript figures; uses epsf.sty","Phys.Rev. D56 (1997) 1262-1280","10.1103/PhysRevD.56.1262",,"hep-th",,"  In a recent series of papers, Schwinger discussed a process that he called
the Dynamical Casimir Effect. The key essence of this effect is the change in
zero-point energy associated with any change in a dielectric medium. (In
particular, if the change in the dielectric medium is taken to be the growth or
collapse of a bubble, this effect may have relevance to sonoluminescence.) The
kernel of Schwinger's result is that the change in Casimir energy is
proportional to the change in volume of the dielectric, plus finite-volume
corrections. Other papers have called into question this result, claiming that
the volume term should actually be discarded, and that the dominant term
remaining is proportional to the surface area of the dielectric. In this
communication, which is an expansion of an earlier letter on the same topic, we
present a careful and critical review of the relevant analyses. We find that
the Casimir energy, defined as the change in zero-point energy due to a change
in the medium, has at leading order a bulk volume dependence. This is in full
agreement with Schwinger's result, once the correct physical question is asked.
We have nothing new to say about sonoluminescence itself.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 23:14:07 GMT""}]","2009-10-30"
"hep-th/9702008","Ergin Sezgin","P.S. Howe, E. Sezgin, P.C. West","Covariant Field Equations of the M Theory Five-Brane","16 pages, latex, references added","Phys.Lett. B399 (1997) 49-59","10.1016/S0370-2693(97)00257-8",,"hep-th",,"  The component form of the equations of motion for the 5-brane in
eleven-dimensions is derived from the superspace equations. These equations are
fully covariant in six-dimensions. It is shown that double-dimensional
reduction of the bosonic equations gives the equations of motion for a 4-brane
in ten dimensions governed by the Born-Infeld action.
","[{""version"":""v1"",""created"":""Sat, 1 Feb 1997 02:40:56 GMT""},{""version"":""v2"",""created"":""Mon, 3 Feb 1997 01:59:38 GMT""},{""version"":""v3"",""created"":""Fri, 14 Feb 1997 01:46:04 GMT""}]","2009-10-30"
"math/9702232","I. Martin Isaacs","I. M. Isaacs, David Petrie Moulton","Real fields and repeated radical extensions",,,,"Wisconsin Math 97/IMI-2a","math.NT math.AC math.RA",,"  The main result of this paper is that if E is a field extension of finite odd
degree over a real field Q, and if E is a repeated radical extension of Q, then
every intermediate field is also a repeated radical extension of Q. This paper
also contains a number of other results about repeated radical extensions.
","[{""version"":""v1"",""created"":""Sat, 1 Feb 1997 00:00:00 GMT""}]","2008-02-03"
"math/9702233","I. Martin Isaacs","I. M. Isaacs, Greg Knutson","Irreducible character degrees and normal subgroups",,,,"Wisconsin Math 97/IMI-2b","math.GR",,"  Let N be a normal subgroup of a finite group G and consider the set cd(G|N)
of degrees of irreducible characters of G whose kernels do not contain N. A
number of theorems are proved relating the set cd(G|N) to the structure of N.
For example, if N is solvable, its derived length is bounded above by a
function of |cd(G|N)|. Also, if |cd(G|N)| is at most 2, then N is solvable and
its derived length is at most |cd(G|N)|. If G is solvable and |cd(G|N)| = 3,
then the derived length of N is at most 3.
","[{""version"":""v1"",""created"":""Sat, 1 Feb 1997 00:00:00 GMT""}]","2009-09-25"
"physics/9702001","Papp Zoltan","Z. Papp","Three-potential formalism for the atomic three-body problem","considerably revised, 9 pages, revtex, 1 ps figure",,"10.1007/s006010050089",,"physics.atom-ph",,"  Based on a three-potential formalism we propose mathematically well-behaved
Faddeev-type integral equations for the atomic three-body problem and descibe
their solutions in Coulomb-Sturmian space representation. Although the system
contains only long-range Coulomb interactions these equations allow us to reach
solution by approximating only some auxiliary short-range type potentials. We
outline the method for bound states and demonstrate its power in benchmark
calculations. We can report a fast convergence in angular momentum channels.
","[{""version"":""v1"",""created"":""Sat, 1 Feb 1997 03:49:32 GMT""},{""version"":""v2"",""created"":""Thu, 29 Jan 1998 08:09:54 GMT""}]","2009-10-30"
"quant-ph/9702002","Ignacio Cirac","J. I. Cirac (University of Innsbruck) and N. Gisin (University of
  Geneva)","Coherent eavesdropping strategies for the 4-state quantum cryptography
  protocol","6 pages of LaTeX and 3 eps figures. Submitted to Phys. Lett. A",,"10.1016/S0375-9601(97)00176-X",,"quant-ph",,"  An elementary derivation of best eavesdropping strategies for the 4 state
BB84 quantum cryptography protocol is presented, for both incoherent and
two--qubit coherent attacks. While coherent attacks do not help Eve to obtain
more information, they are more powerful to reveal the whole message sent by
Alice. Our results are based on symmetric eavesdropping strategies, which we
show to be sufficient to analyze these kind of problems.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 17:41:33 GMT""}]","2009-10-30"
"quant-ph/9702003","Dr N. Mavromatos","N.E. Mavromatos and D.V. Nanopoulos","Microtubules: The neuronic system of the neurons?","20 pages LATEX, no figures; Invited talk by D.V.N. at the Workshop on
  ``Biophysics of Microtubules'', Texas Medical Center, Houston, Texas, April
  1996",,,"ACT-04/97, CTP-TAMU-05/97","quant-ph",,"  In this talk we review recent work on integrable models for Microtubule (MT)
networks, subneural paracrystalline cytosceletal structures, which seem to play
a fundamental role in the neurons. We cast here the complicated MT dynamics in
the form of a 1+1-dimensional non-critical string theory, which can be
formulated in terms of (dual) Dirichlet branes, according to modern
perspectives. We suggest that the MTs are the microsites in the brain, for the
emergence of stable, macroscopic quantum coherent states, identifiable with the
``preconscious states''. Quantum space-time effects, as described by
non-critical string theory, trigger then an ``organized collapse'' of the
coherent states down to a specific or ``conscious state''. The whole process we
estimate to take O(1 sec), in excellent agreement with a plethora of
experimental/observational findings. The complete integrability of the stringy
model for MT proves sufficient in providing a satisfactory solution to memory
coding and capacity. Such features might turn out to be important for a model
of the brain as a quantum computer.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 18:46:54 GMT""}]","2007-05-23"
"quant-ph/9702004","Chi-Keung Chow","C.K. Au, Chi-Keung Chow, Chong-Sun Chu","Comment on ``A new efficient method for calculating perturbative
  energies using functions which are not square integrable'': regularization
  and justification","6 pages in REVTeX, no figures","J.Phys.A30:4133-4136,1997","10.1088/0305-4470/30/11/036","CLNS 97/1462, SISSA 15/97/FM","quant-ph",,"  The method recently proposed by Skala and Cizek for calculating perturbation
energies in a strict sense is ambiguous because it is expressed as a ratio of
two quantities which are separately divergent. Even though this ratio comes out
finite and gives the correct perturbation energies, the calculational process
must be regularized to be justified. We examine one possible method of
regularization and show that the proposed method gives traditional quantum
mechanics results.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 20:01:18 GMT""}]","2008-11-26"
"quant-ph/9702005","Helmut Kroger","H. Kr\""oger","Generalized Aharonov-Bohm effect, homotopy classes and Hausdorff
  dimension","14 pages, LaTeX + 3 figures, PS","Phys.Lett. A226 (1997) 127-134","10.1016/S0375-9601(96)00928-0","LAVAL-PHY-6-96","quant-ph",,"  We suggest as gedanken experiment a generalization of the Aharonov-Bohm
experiment, based on an array of solenoids. This experiment allows in principle
to measure the decomposition into homotopy classes of the quantum mechanical
propagator. This yields information on the geometry of the average path of
propagation and allows to determine its Hausdorff dimension.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 20:15:40 GMT""}]","2016-08-15"
"quant-ph/9702006","Hagen Kleinert","Hagen Kleinert and Sergei V. Shabanov","Proper Dirac Quantization of Free Particle on D-Dimensional Sphere","Author Information under
  http://www.physik.fu-berlin.de/~kleinert/institution.html Paper also at
  http://www.physik.fu-berlin.de/~kleinert/kleiner_re253/preprint.html","Phys.Lett. A232 (1997) 327-332","10.1016/S0375-9601(97)00410-6",,"quant-ph",,"  We show that an unambiguous and correct quantization of the second-class
constrained system of a free particle on a sphere in $D$ dimensions is possible
only by converting the constraints to abelian gauge constraints, which are of
first class in Dirac's classification scheme. The energy spectrum is equal to
that of a pure Laplace-Beltrami operator with no additional constant arising
from the curvature of the sphere. A quantization of Dirac's modified Poisson
brackets for second-class constraints is also possible and unique, but must be
rejected since the resulting energy spectrum is physically incorrect.
","[{""version"":""v1"",""created"":""Sat, 1 Feb 1997 07:48:57 GMT""}]","2009-10-30"
