"alg-geom/9702014","Sergei Merkulov","Yu.I.Manin and S.A.Merkulov","Semisimple Frobenius (super)manifolds and quantum cohomology of $P^r$","AMSTeX, 56 pages","Topol. Methods in Nonlinear Analysis 9 (1997), 107-161",,,"alg-geom dg-ga math.AG math.DG",,"  We introduce and study a superversion of Dubrovin's notion of semisimple
Frobenius manifolds. We establish a correspondence between semisimple Frobenius
(super)manifolds and special solutions to the (supersymmetric) Schlesinger
equations. Finally, we calculate the Schlesinger initial conditions for
solutions describing quantum cohomology of projective spaces.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 12:03:33 GMT""}]","2008-02-03"
"cond-mat/9702192","Deepak Dhar","Deepak Dhar","Diffusing Reconstituting Dimers: A Simple Model of Broken Ergodicity and
  Ageing","latex file with 3 eps figures. To appear in Proceedings of CTS
  workshop on 'Fluctuating Interfaces and related Phenomena' held at Seoul, Jan
  27-31,1997.[ World Scientific, Singapore, 1997]","Dynamics of Fluctuating Interfaces and Related Phenomena, World
  Scientific, Singapore,1997 p293.",,"TIFR/TH/97-04","cond-mat.stat-mech",,"  We consider a simple analytically tractable model of metastability and
ageing. In this model, a particle can jump left or right by two steps to an
unoccupied site, but only if the the site in between is occupied. We show that
the model is strongly nonergodic, and the number of metastable states increases
as exponential of the size of the system. Within a sector, the model is
equivalent to the Heisenberg model and is exactly soluble. We study how this
strong breaking of ergodicity affects the hydrodynamical description of long
wavelength density fluctuations in the system. Finally, we study the effect of
allowing transitions between different metastable states at a very slow rate.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 10:50:06 GMT""}]","2008-02-03"
"cond-mat/9702193","Madan Rao","Madan Rao (IMSc, Madras), Surajit Sengupta (IGCAR, Kalpakkam), R.
  Shankar (IMSc, Madras)","Shape Deformation driven Structural Transitions in Quantum Hall
  Skyrmions","4 pages (REVTEX) and 4 .eps figures",,"10.1103/PhysRevLett.79.3998",,"cond-mat.mes-hall",,"  The Quantum Hall ground state away from $\nu = 1$ can be described by a
collection of interacting skyrmions. We show within the context of a nonlinear
sigma model, that the classical ground state away from $\nu = 1$ is a skyrmion
crystal with a generalized N\'eel order. We show that as a function of filling
$\nu$, the skyrmion crystal undergoes a triangle to square to triangle
transition at zero temperature. We argue that this structural transition,
driven by a change in the shape of the individual skyrmions, is stable to
thermal and quantum fluctuations and may be probed experimentally.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 09:05:30 GMT""}]","2009-10-30"
"cond-mat/9702194",,"P. Calvani, P. Dore, S. Lupi, A. Paolone, P. Maselli, and P. Giura
  (INFM - Dipartimento di Fisica, Universita di Roma La Sapienza, Italy), B.
  Ruzicka (Daresbury Laboratories, Warrington, England), S-W. Cheong (Bell
  Laboratories, Lucent Technologies, Murray Hill, U.S.A.), and W. Sadowski
  (Faculty of Applied Physics, Technical University of Gdansk, Poland)","Small and large polarons in nickelates, manganites, and cuprates","File latex, 15 p. incl. 4 Figs. epsf, to appear on the Journal of
  Superconductivity - Proc. ""Stripes 1996"" - Roma Dec 1996",,"10.1007/BF02765706",,"cond-mat.supr-con",,"  By comparing the optical conductivities of La_{1.67}Sr_{0.33}NiO_{4} (LSNO),
Sr_{1.5}La_{0.5}MnO_4 (SLMO), Nd_2CuO_{4-y} (NCO), and
Nd_{1.96}Ce_{0.04}CuO_{4} (NCCO), we have identified a peculiar behavior of
polarons in this cuprate family. While in LSNO and SLMO small polarons localize
into ordered structures below a transition temperature, in those cuprates the
polarons appear to be large, and at low T their binding energy decreases. This
reflects into an increase of the polaron radius, which may trigger coherent
transport.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 10:12:03 GMT""}]","2016-08-31"
"cond-mat/9702195","Akira Furusaki","A. Furusaki (Yukawa Inst. for Theor. Phys.)","Local Perturbation in a Tomonaga-Luttinger Liquid at g=1/2","9 pages including 1 postscript figure, REVTeX, uses epsf.sty and
  multicol.sty","Phys. Rev. B 56 (1997) 9352","10.1103/PhysRevB.56.9352","YITP-97-6","cond-mat.str-el",,"  The orthogonality catastrophe in a Tomonaga-Luttinger liquid with an impurity
is reexamined for the case when the interaction parameter or the dimensionless
conductance is g=1/2. By transforming bosons back to fermions, the Hamiltonian
is reduced to a quadratic form, which allows for explicit calculation of the
overlap integral and the local density of states at the defect site. The
exponent of the orthogonality catastrophe due to a backward scattering center
is found to be 1/8, in agreement with previous studies using different
approaches. The time-dependence of the core-hole Green's function is computed
numerically, which shows a clear crossover from a non-universal short-time
behavior to a universal long-time behavior. The local density of states
vanishes linearly in the low-energy limit at g=1/2.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 11:35:00 GMT""}]","2009-10-30"
"cond-mat/9702196","Juergen Koenig","J\""urgen K\""onig, Herbert Schoeller and Gerd Sch\""on","Cotunneling at resonance for the single-electron transistor","5 pages, Revtex, 5 eps-figures","Phys. Rev. Lett. 78, 4482 (1997)","10.1103/PhysRevLett.78.4482","TFP-97002","cond-mat.mes-hall",,"  We study electron transport through a small metallic island in the
perturbative regime. Using a recently developed diagrammatic technique, we
calculate the occupation of the island as well as the conductance through the
transistor in forth order in the tunneling matrix elements, a process referred
to as cotunneling. Our formulation does not require the introduction of a
cut-off. At resonance we find significant modifications of previous theories
and good agreement with recent experiments.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 11:39:26 GMT""}]","2009-10-30"
"cond-mat/9702197","David Vanderbilt","J. Padilla and David Vanderbilt (Department of Physics and Astronomy,
  Rutgers University)","Ab-initio study of BaTiO3 surfaces","8 pages, two-column style with 4 postscript figures embedded. Uses
  REVTEX and epsf macros. Also available at
  http://www.physics.rutgers.edu/~dhv/preprints/index.html#pad_surf",,"10.1103/PhysRevB.56.1625",,"cond-mat.mtrl-sci",,"  We have carried out first-principles total-energy calculations of (001)
surfaces of the tetragonal and cubic phases of BaTiO3. Both BaO-terminated
(type I) and TiO2-terminated (type II) surfaces are considered, and the atomic
configurations have been fully relaxed. We found no deep-gap surface states for
any of the surfaces, in agreement with previous theoretical studies. However,
the gap is reduced for the type-II surface, especially in the cubic phase. The
surface relaxation energies are found to be substantial, i.e., many times
larger than the bulk ferroelectric well depth. Nevertheless, the influence of
the surface upon the ferroelectric order parameter is modest; we find only a
small enhancement of the ferroelectricity near the surface.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 15:28:02 GMT""}]","2009-10-30"
"cond-mat/9702198","David Vanderbilt","David Vanderbilt and W. Zhong (Department of Physics and Astronomy,
  Rutgers University)","First-principles theory of structural phase transitions for perovskites:
  competing instabilities","21 pages, with 3 postscript figures embedded. Uses REVTEX and epsf
  macros. Also available at
  http://www.physics.rutgers.edu/~dhv/preprints/index.html#wz_srbf",,,,"cond-mat.mtrl-sci",,"  We extend our previous first-principles theory for perovskite ferroelectric
phase transitions to treat also antiferrodistortive phase transitions. Our
approach involves construction of a model Hamiltonian from a Taylor expansion,
first-principles calculations to determine expansion parameters, and Monte
Carlo simulations to study the resulting system. We apply this approach to
three cubic perovskite compounds, SrTiO3, CaTiO3, and NaNbO3, that are known to
undergo antiferrodistortive phase transitions. We calculate their transition
sequences and transition temperatures at the experimental lattice constants.
For SrTiO3, we find our results agree well with experiment. For more
complicated compounds like CaTiO3 and NaNbO3, which can have many different
structures with very similar energy, the agreement is somewhat less.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 15:50:42 GMT""}]","2008-02-03"
"dg-ga/9702018",,"V.V.Fock (ITEP,Moscow)","Dual Teichm\"" uller spaces","LaTeX, 32 pages, 7 Postscript figures; more detailed discussion of
  quantization is added",,,"ITEP-TH-5-1996","dg-ga hep-th math.DG",,"  We describe in elementary geometrical terms Teichm\"" uller spaces of
decorated and holed surfaces. We construct explicit global coordinates on them
as well as on the spaces of measured laminations with compact and closed
support respectively. We show explicitly that the latter spaces are
asymptotically isomorphic to the former. We discuss briefly quantisation of
Teichm\"" uller spaces and some other application of the constructed approach.
The paper does not require any preliminary knowledge of the subject above the
Poincar\' e uniformisation theorem.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 21:19:57 GMT""},{""version"":""v2"",""created"":""Wed, 18 Feb 1998 19:42:24 GMT""},{""version"":""v3"",""created"":""Fri, 18 Dec 1998 16:25:31 GMT""}]","2008-02-03"
"gr-qc/9702040","Miguel Navarro","Miguel Navarro (IMAFF (Madrid) and Instituto Carlos I (Granada))","Generalized symmetries and invariant matter couplings in two-dimensional
  dilaton gravity","LateX file, no macros, 14pp: minor changes have been made and some
  misprints have been corrected","Phys.Rev.D56:2384-2389,1997","10.1103/PhysRevD.56.2384",,"gr-qc",,"  New features of the generalized symmetries of generic two-dimensional dilaton
models of gravity are presented and invariant gravity-matter couplings are
introduced. We show that there is a continuum set of Noether symmetries, which
contains half a de Witt algebra. Two of these symmetries are area-preserving
transformations. We show that gravity-matter couplings which are invariant
under area preserving transformations only contribute to the dynamics of the
dilaton-gravity sector with a reshaping of the dilaton potential. The
interaction with matter by means of invariant metrics is also considered. We
show in a constructive way that there are metrics which are invariant under two
of the symmetries. The most general metrics and minimal couplings that fulfil
this condition are found.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 20:00:43 GMT""},{""version"":""v2"",""created"":""Fri, 4 Apr 1997 13:54:34 GMT""}]","2011-09-09"
"gr-qc/9702041","Matt Visser","Matt Visser (Washington University)","The reliability horizon for semi-classical quantum gravity: Metric
  fluctuations are often more important than back-reaction","6 pages; ReV_TeX 3.0; two-column format. Revisions: Central
  definitions and results essentially unchanged. Discussion of the relationship
  between this letter and the Kay-Radzikowski-Wald singularity theorems greatly
  extended and clarified. Discussion of reliability horizon near curvature
  singularities modified. Several references added. Minor typos fixed.
  Technical TeX modifications","Phys.Lett. B415 (1997) 8-14","10.1016/S0370-2693(97)01226-4",,"gr-qc hep-th",,"  In this note I introduce the notion of the ``reliability horizon'' for
semi-classical quantum gravity. This reliability horizon is an attempt to
quantify the extent to which we should trust semi-classical quantum gravity,
and to get a better handle on just where the Planck regime resides. I point out
that the key obstruction to pushing semi-classical quantum gravity into the
Planck regime is often the existence of large metric fluctuations, rather than
a large back-reaction. There are many situations where the metric fluctuations
become large long before the back-reaction is significant. Issues of this type
are fundamental to any attempt at proving Hawking's chronology protection
conjecture from first principles, since I shall prove that the onset of
chronology violation is always hidden behind the reliability horizon.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 00:08:08 GMT""},{""version"":""v2"",""created"":""Wed, 18 Jun 1997 11:43:17 GMT""}]","2009-10-30"
"gr-qc/9702042",,"Francois Goy","Clock Synchronisation in the Vicinity of the Earth","9 pages, Latex, no figure. Copies available at goy@axpba1.ba.infn.it",,,,"gr-qc",,"  The transmission time of an electromagnetic signal in the vicinity of the
earth is calculated to c-2 and contains an orbital Sagnac term. On earth, the
synchronisation of the Barycentric Coordinate Time (TCB) can be realised by
atomic clocks, but not the one of Geocentric Coordinate Time (TCG). The
principle of equivalence is discussed.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 17:13:50 GMT""}]","2007-05-23"
"hep-ex/9702010","Marco Antonio Reyes Santos","M. A. Reyes, et al. (FNAL E690 Collaboration)","Spin-Parity Analysis of the Centrally produced KsKs system at 800 GeV","6 pages, including 6 figures. LaTex, uses 'espcrc2.sty'. To appear in
  LEAP'96 proceedings","Nucl.Phys.Proc.Suppl.56A:285-290,1997","10.1016/S0920-5632(97)00289-2","FNAL Conf-97/041-E","hep-ex",,"  Results are presented of the spin-parity analysis on a sample of centrally
produced mesons in the reaction (p p -> p_{slow} K_s K_s p_{fast}) with 800 GeV
protons on liquid hydrogen. The spin-parity analysis in the mass region between
threshold and 1.58 GeV/c^2 shows that the (K_s K_s) system is produced mainly
in S-wave. The f_0(1500) is clearly observed in this region. Above 1.58 GeV/c^2
two solutions are possible, one with mainly S-wave and another with mainly
D-wave. This ambiguity prevents a unique determination of the spin of the
f_J(1710) meson.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 20:28:46 GMT""}]","2009-10-30"
"hep-lat/9702017","J. Smit","W.H. Tang and J. Smit","Numerical study of plasmon properties in the SU(2)-Higgs model","27 pages, latex, 13 figures. Improved presentation, data unchanged.
  New is the conclusion that the apparent lattice spacing independence of the
  `plasmon' frequency is compatible with the divergencies expected from
  perturbation theory. (Version resubmitted to NPB on 17 July 1997.)","Nucl.Phys. B510 (1998) 401-420","10.1016/S0550-3213(98)81019-5","ITFA-97-02","hep-lat hep-ph",,"  Using the (effective) classical approximation, we compute numerically
time-dependent correlation functions in the SU(2)-Higgs model around the
electroweak phase transition, for $m_H \approx m_W$. The parameters of the
classical model have been determined previously by the dimensional reduction
relations for time-independent correlators. The $H$ and $W$ correlation
functions correspond to gauge invariant fields. They show damped oscillatory
behavior from which we extract frequencies $\om$ and damping rates $\gm$. In
the Higgs phase the damping rates have roughly the values obtained in analytic
calculations in the quantum theory. In the plasma phase (where analytic
estimates for gauge invariant fields are not available), the damping rate
associated with $H$ is an order of magnitude larger than in the Higgs phase,
while the $W$ correlator appears to be overdamped, with a small rate. The
frequency $\om_H$ shows a clear dip at the transition. The results are
approximately independent of the lattice spacing, but this appears to be
compatible with the lattice spacing dependence expected from perturbation
theory.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 16:36:08 GMT""},{""version"":""v2"",""created"":""Mon, 18 Aug 1997 12:41:07 GMT""}]","2015-06-25"
"hep-ph/9702376","Peter Petreczky","Frithjof Karsch, Andras Patkos, Peter Petreczky","Screened Perturbation Theory","10 pages, LaTex, 2 figures","Phys.Lett. B401 (1997) 69-73","10.1016/S0370-2693(97)00392-4","BI-TP 97/06, ITP Budapest Rep. 529","hep-ph",,"  A new perturbative scheme is proposed for the evaluation of the free energy
density of field theories at finite temperature. The screened loop expansion
takes into account exactly the phenomenon of screening in thermal propagators.
The approach is tested in the N-component scalar field theory at 2-loop level
and also at 3-loop in the large N limit. The perturbative series generated by
the screened loop expansion shows much better numerical convergence than
previous expansions generated in powers of the quartic coupling.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 18:06:46 GMT""}]","2009-10-30"
"hep-ph/9702377","Christopher Barnes","Chris Barnes, Neil Turok","Cosmic Texture from a Broken Global SU(3) Symmetry","28 pages, latex, 11 figures, submitted to Phys. Rev. D","Phys. Rev. D 56, 1989 (1997)","10.1103/PhysRevD.56.1989",,"hep-ph astro-ph",,"  We investigate the observable consequences of creating cosmic texture by
breaking a global SU(3) symmetry, rather than the SU(2) case which is generally
studied. To this end, we study the nonlinear sigma model for a totally broken
SU(3) symmetry, and develop a technique for numerically solving the classical
field equations. This technique is applied in a cosmological context: the
energy of the collapsing SU(3) texture field is used as a gravitational source
for the production of perturbations in the primordial fluids of the early
universe. From these calculations, we make predictions about the appearance of
the anisotropies in the cosmic microwave background radiation (CMBR) which
would be present if the large scale structure of the universe was
gravitationally seeded by the collapse of SU(3) textures.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 18:35:34 GMT""}]","2016-08-24"
"hep-ph/9702378","Stephen Adler","Stephen L. Adler","SU(4) Preonic Interpretation of the HERA Positron-Jet Events","plaintex, 7 Pages",,,"IASSNS-HEP 97-12","hep-ph hep-th",,"  We show that our recent SU(4) generalized ``rishon'' composite model for
quarks and leptons, augmented either by the hypothesis of breaking of color
SU(3) to ``glow'' SO(3), or by the hypothesis of incomplete color
neutralization in very hard processes, leads to an interpretation of the HERA
positron-jet events as the production by color gluon exchange, followed by the
decay by color gluon emission, of the positron member of a heavy family partner
of the positron.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 20:06:00 GMT""}]","2007-05-23"
"hep-ph/9702379","Wally Melnitchouk","Xiangdong Ji, W. Melnitchouk (U. Maryland) and X. Song (U. Virginia)","A Study of Off-Forward Parton Distributions","29 pages revtex, 12 postscript figures, minor corrections, references
  updated","Phys.Rev. D56 (1997) 5511-5523","10.1103/PhysRevD.56.5511","UMD PP 97-085, INPP-UVA-97-01","hep-ph nucl-th",,"  An extensive theoretical analysis of off-forward parton distributions (OFPDs)
is presented. The OFPDs and the form factors of the quark energy-momentum
tensor are estimated at a low-energy scale using a bag model. Relations among
the second moments of OFPDs, the form factors, and the fraction of the nucleon
spin carried by quarks are discussed.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 00:53:49 GMT""},{""version"":""v2"",""created"":""Thu, 27 Feb 1997 22:07:13 GMT""}]","2009-10-30"
"hep-ph/9702380","Aaron Grant","A. K. Grant, A. G. Morgan, S. Nussinov, and R. D. Peccei","Comment On Nonperturbative O(1/m_c^2) Corrections to B -> X_s gamma","7 pages, LaTeX, two references added","Phys. Rev. D 56, 3151 (1997)","10.1103/PhysRevD.56.3151","UCLA/97/TEP/5","hep-ph",,"  We present an estimate of certain higher order corrections to the
contribution of the charm triangle loop in the inclusive B -> X_s gamma decay
rate, recently discussed by Voloshin. We find that these corrections are minute
and hence the result found by Voloshin, although small, is quite robust.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 01:20:42 GMT""},{""version"":""v2"",""created"":""Fri, 28 Feb 1997 01:45:56 GMT""}]","2016-08-24"
"hep-ph/9702381","Cvetic","G. Cvetic","Top quark condensation","latex (revtex), 103 pages, 13 eps-figures; the version as it appeared
  in Rev. Mod. Phys. 71 (1999) 513-574 -- after the last Section, a note was
  added to mention more recent works, several new references added","Rev.Mod.Phys.71:513-574,1999","10.1103/RevModPhys.71.513",,"hep-ph",,"  Top quark condensation, in particular the minimal framework where the neutral
Higgs scalar is (predominantly) an effective ${\bar t} t$ condensate of the
Standard Model, is reviewed. Computational approaches are compared and
similarities, differences and deficiencies pointed out. Extensions of the
minimal framework, including scenarios with two composite Higgs doublets,
additional neutrino condensates, and ${\bar t}t$ condensation arising from
four-fermion interactions with enlarged symmetries, are described. Possible
renormalizable models of underlying physics potentially responsible for the
condensation, including topcolor assisted technicolor frameworks, are
discussed. Phenomenological implications of top condensate models are outlined.
Outstanding theoretical issues and problems for future investigation are
pointed out. Progress in the field after this article was accepted has been
briefly covered in a Note added at the end.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 08:59:42 GMT""},{""version"":""v2"",""created"":""Fri, 12 Jun 1998 16:06:53 GMT""},{""version"":""v3"",""created"":""Mon, 11 Oct 1999 04:04:57 GMT""}]","2008-11-26"
"hep-ph/9702382","Res Urech","Erwin Mirkes and Res Urech","Isospin Violation in tau -> 3 pi nu_tau","LaTex, 16 pages, 5 figures. The complete paper is also available via
  anonymous ftp at ftp://ttpux2.physik.uni-karlsruhe.de/ , or via www at
  http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/","Eur.Phys.J.C1:201-209,1998","10.1007/BF01245809","TTP96-48","hep-ph",,"  Isospin violating signals in the tau -> 3 pi nu_tau decay mode are discussed.
For the tau -> pi^- pi^- pi^+ nu_tau decay mode, isospin violation arises from
the vector current contribution in the tau -> omega pi nu_tau decay with the
subsequent isospin violating omega decay into pi^+ pi^-. We demonstrate that
such effects may be observed in presently available data through the
measurement of the interference effects of these vector current contributions
with the dominating axial vector current, i.e. through a measurement of the
structure functions W_F,W_G,W_H and W_I. In the case of the tau -> pi^0 pi^0
pi^- nu_tau decay mode, a vector current contribution is generated by eta pi
mixing in the decay chain tau -> eta rho nu_tau -> pi^0 pi^0 pi^- nu_tau. We
find that this effect is rather small, the magnitude of the associated
interference terms being too low for present statistics.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 09:07:43 GMT""}]","2015-06-25"
"hep-ph/9702383","Victor Nikonov","V.V.Anisovich (1), D.V.Bugg (2), D.I.Melikhov (3), and V.A.Nikonov (1)
  ((1) St.Petersburg Nuclear Physics Institute, Russia, (2) Queen Mary and
  Westfield College, London, UK, (3) Nuclear Physics Institute, Moscow State
  University, Russia)","\eta-\eta' -Glueball mixing from photon-meson transition form factors
  and decay ratio D_s --> \eta l \nu / \eta' l \nu","Twocoloumn Revtex, 5 pages, 5 figures, 12 .eps files","Phys.Lett. B404 (1997) 166-172","10.1016/S0370-2693(97)00607-2",,"hep-ph",,"  The background due to the direct diffractive dissociation of the photon into
the $\pi^+\pi^-$-pair to the ""elastic"" diffractive $\rho^0$-meson production in
electron-proton collisions is calculated. The amplitude for the background
process $\gamma p \to \pi^+ \pi^- p$ is proportional to the $\pi$-meson -
proton cross section. Therefore, describing the HERA data, we can estimate
$\sigma (\pi p)$ at energy $s_{\pi p}\sim (2 - 3) 10^{3} GeV^2$ that is
considerably higher the existing data. At large $Q^2$ the interference between
resonant and non-resonant $\pi^+ \pi^-$ production leads also to the more slow
increase of the $\sigma^L/\sigma^T$ ratio with the mass of the $2\pi$ (i.e.
$\rho^0$-meson) state.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 12:29:49 GMT""}]","2009-10-30"
"hep-ph/9702384","Huang Ming-qiu","Yuan-ben Dai, Chao-shang Huang, and Ming-qiu Huang","Order (1/m_Q) Corrections to Masses of Excited Heavy Mesons From QCD Sum
  Rules","REVTeX, 15 pages, including five PostScript figures; accepted for
  publication in Phys. Rev. D","Phys.Rev. D55 (1997) 5719-5726","10.1103/PhysRevD.55.5719","AS-ITP-96-21","hep-ph",,"  The $O(1/m_Q)$ corrections to masses of excited heavy mesons are studied with
sum rules in the heavy quark effective theory. Numerical results for the matrix
elements of the heavy quark kinetic energy operator K and chromomagnetic
interaction operator S are obtained for the lowest excited doublets $(0^+,
1^+)$ and $(1^+, 2^+)$.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 12:22:02 GMT""}]","2009-10-30"
"hep-ph/9702385","Paul Hoyer","Paul Hoyer (Nordita)","Charmonium Production at ELFE Energies","Contribution to the Second ELFE Workshop, Saint Malo, September
  23-27, 1996. 20 pages, 5 figures included using epsf",,,"NORDITA-97/8 P","hep-ph nucl-th",,"  I discuss issues related to charmonium production, in view of physics
possibilities at a 15 ... 30 GeV continuous beam electron facility. High energy
photo- and hadroproduction of heavy quarkonia presents several challenges to
QCD models concerning cross sections, polarization and nuclear target
dependence. Theoretical approaches based on color evaporation as well as on
color singlet and color octet mechanisms have met with both successes and
failures, indicating that charmonium production is a sensitive probe of color
dynamics. Experiments close to charm kinematic threshold will be sensitive also
to target substructure since only unusual, compact target configurations
contribute. In particular, subthreshold production on nuclei should identify
nuclear hot spots of high energy density. At low energies, charmonium will form
inside the target nucleus, allowing a determination of c cbar bound state
interactions in nuclear matter.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 13:03:09 GMT""}]","2007-05-23"
"hep-ph/9702387",,"J. L. Goity and Longzhe Zhang","Complete Leading Order Analysis in Chiral Perturbation Theory of the
  Decays $K_L\to\gamma\gamma$ and $K_L\to\ell^+\el^-\gamma$","10 pages, one table, two figures. One reference has been added and
  one typo in reference to Enagonio et al. has been corrected","Phys.Lett.B398:387-392,1997","10.1016/S0370-2693(97)00246-3","JLAB-THY-97-06","hep-ph",,"  The decays $K_L \to \gamma\gamma$ and $K_L \to \ell^+ \ell^- \gamma$ are
studied at the leading order $p^6$ in Chiral Perturbation Theory. One-loop
contributions stemming from the odd intrinsic parity $|\Delta S| = 1$ effective
Lagrangian of order $p^4$ are included and shown to be of possible relevance.
They affect the decay $K_L \to \gamma\gamma$ adding to the usual pole terms a
piece free of counterterm uncertainties. In the case of the $K_L \to \ell^+
\ell^- \gamma$ decays the dependence of the form factor on the dilepton
invariant mass requires a counterterm. The form factor may receive a sizeable
contribution from chiral logarithms. Including considerations from the $K_L \to
\pi^+ \pi^- \gamma$ direct emission amplitude, we obtain two consistent
scenarios. In one scenario the long distance contributions from the one-loop
terms are important, while in the other they are marginal. In both cases the
counterterm is shown to be significant.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 15:24:50 GMT""},{""version"":""v2"",""created"":""Mon, 24 Feb 1997 15:54:56 GMT""}]","2014-11-17"
"hep-th/9702146","E. Terry Tomboulis","E. T. Tomboulis (UCLA)","Superrenormalizable gauge and gravitational theories","40 pages, LaTeX file, 13 eps figures",,,"UCLA/97/TEP/2","hep-th",,"  We investigate 4-dim gauge theories and gravitational theories with
nonpolynomial actions containing an infinite series in covariant derivatives of
the fields representing the expansion of a transcendental entire function. A
class of entire functions is explicitly constructed such that: (i) the theory
is perturbatively superrenormalizable; (ii) no (gauge-invariant) unphysical
poles are introduced in the propagators. The nonpolynomial nature is essential;
it is not possible to simultaneously satisfy (i) and (ii) with any polynomial
series in derivatives. Cutting equations are derived verifying the absence of
unphysical cuts and the Bogoliubov causality condition within the loop
expansion. A generalized KL representation for the 2-point function is obtained
exhibiting the consistency of physical positivity with the improved convergence
of the propagators. Some physical effects, such as extended bound excitations
in the spectrum, are briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 18:54:33 GMT""}]","2007-05-23"
"hep-th/9702150","Esposito Giampiero","Ivan G. Avramidi and Giampiero Esposito","Universal Functions in Euclidean Quantum Gravity","8 pages, plain Tex, submitted for the 1997 Gravity Research
  Foundation Essay Contest",,,"DSF preprint 97/10","hep-th",,"  A key problem in the attempt to quantize the gravitational field is the
choice of boundary conditions. These are mixed, in that spatial and normal
components of metric perturbations obey different sets of boundary conditions.
In the covariant quantization scheme this leads to a boundary operator
involving both normal and tangential derivatives of metric perturbations. On
studying the corresponding heat-kernel asymptotics, one finds that universal,
tensorial, nonpolynomial structures contribute through the integrals over the
boundary of linear combinations of all geometric invariants of the problem.
These universal functions are independent of conformal rescalings of the
background metric, and they might lead to a deep revolution in the current
understanding of quantum gravity.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 17:34:56 GMT""}]","2007-05-23"
"hep-th/9702151","Francis Low","F.E. Low","Run-away solutions in relativistic spin 1/2 quantum electrodynamics","3 minor changes; 17 pgs, epsf & aps styles,1 eps & 2 embedded ps figs",,"10.1006/aphy.1998.5801","MIT-CTP-2522","hep-th",,"  The existence of run-away solutions in classical and non-relativistic quantum
electrodynamics is reviewed. It is shown that the less singular high energy
behavior of relativistic spin 1/2 quantum electrodynamics precludes an
analogous behavior in that theory. However, a Landau-like anomalous pole in the
photon propagation function or in the electron-massive photon foward scattering
amplitude would generate a new run-away, characterized by an energy scale omega
~ m_e exp (1/alpha). This contrasts with the energy scale omega ~ (m_e/alpha)
associated with the classical and non-relativistic quantum run-aways.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 20:11:15 GMT""},{""version"":""v2"",""created"":""Tue, 8 Apr 1997 17:50:43 GMT""}]","2009-10-30"
"hep-th/9702152","Herrera Aguilar Alfredo","A. Herrera and O. Kechkin","Double Ernst Solution in Einstein-Kalb-Ramond Theory","11 pages, RevTex. Talk given at IX Lobachevski International Seminar
  ""Gravitation and Cosmology"", JINR, Dubna, Russia; 8-12 December 1996","Mod.Phys.Lett.A12:1629-1636,1997","10.1142/S0217732397001655",,"hep-th",,"  The K\""ahler formulation of 5-dimensional Einstein-Kalb-Ramond (EKR) theory
admitting two commuting Killing vectors is presented. Three different
Kramer-Neugebauer-like maps are established for the 2-dimensional case. A class
of solutions constructed on the double Ernst one is obtained. It is shown that
the double Kerr solution corresponds to a EKR dipole configuration with
horizon.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 23:46:10 GMT""}]","2011-04-15"
