"adap-org/9702002","Aronson Igor","Igor Aranson, Lev Tsimring and Valerii Vinokur","Evolution on a Rugged Landscape:Pinning and Aging","4 pages, 3 figures, submitted to Phys. Rev. Lett",,"10.1103/PhysRevLett.79.3298",,"adap-org nlin.AO q-bio",,"  Population dynamics on a rugged landscape is studied analytically and
numerically within a simple discrete model for evolution of N individuals in
one-dimensional fitness space. We reduce the set of master equations to a
single Fokker-Plank equation which allows us to describe the dynamics of the
population in terms of thermo-activated Langevin diffusion of a single particle
in a specific random potential. We found that the randomness in the mutation
rate leads to pinning of the population and on average to a logarithmic
slowdown of the evolution, resembling aging phenomenon in spin glass systems.
In contrast, the randomness in the replication rate turns out to be irrelevant
for evolution in the long-time limit as it is smoothed out by increasing
``evolution temperature''. The analytic results are in a good agreement with
numerical simulations.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 19:53:45 GMT""}]","2015-06-30"
"cond-mat/9702111","Gilles Poirot","Gilles Poirot (Ecole Polytechnique, France)","Mean Green's function of the Anderson model at weak disorder with an
  infra-red cut-off","31 pages, 7 eps figures, LaTeX document using AMS symbols
  (amssym.def, amssym.tex)",,,,"cond-mat.dis-nn",,"  We develop a polymer expansion with large/small field conditions for the mean
resolvent of a weakly disordered system. Then we show that we can apply our
result to a two-dimensional model, for energies outside the unperturbed
spectrum or in the free spectrum provided the potential has an infra-red
cut-off. This leads to an asymptotic expansion for the density of states. We
believe this is an important first step towards a rigourous analysis of the
density of states in the free spectrum of a random Schr\""odinger operator at
weak disorder.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 14:43:39 GMT""}]","2008-02-03"
"funct-an/9702006","ChiKeung Ng","Chi-Keung Ng","Morphisms of Multiplicative Unitaries","21 pages, Latex; to appear in the Journal of Operator Theory",,,,"funct-an math.OA math.QA q-alg",,"  In this paper, we will give a natural definition for morphisms between
multiplicative unitaries. We will then discuss some equivalences of this
definition and some interesting properties of them. Moreover, we will define
normal sub-multiplicative unitaries for multiplicative unitaries of discrete
type and prove an imprimitivity type theorem for discrete multiplicative
unitaries.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 21:07:33 GMT""}]","2008-02-03"
"funct-an/9702007","Michael Vinogradov","Rostyslav O. Hryniv (Moscow State University, Russia)","On the problem of semiinfinite beam oscillation with internal damping","9 pages, AMSTeX, to appear in Proceedings of the Seventh Crimean
  Autumn Mathematical School-Simposium on Spectral and Evolutionary Problems
  (September, 18--29, 1996, Sevastopol, Ukraine)",,,,"funct-an math.FA",,"  We study the Cauchy problem for the equation of the form $$ \ddot{u}(t) +
(\aa A + B)\dot{u}(t) + (A+G)u(t) = 0,\tag* $$ where $A$, $B$, and $G$ are \o s
in a Hilbert space $\Cal H$ with $A$ selfadjoint, $\sigma(A)=[0,\infty)$,
$B\ge0$ bounded, and $G$ symmetric and $A$-subordinate in a certain sense.
Spectral properties of the correspondent operator pencil
  $L(\lambda) := \lambda^2I + \lambda (\alpha A + B) + A + G$ are studied, and
existence and uniqueness of generalized and classical solutions of the Cauchy
problem are proved. Equations of the type (*) include, e.g., an abstract model
for the problem of semiinfinite beam oscillations with internal damping.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 11:22:09 GMT""}]","2016-08-31"
"funct-an/9702008","Michael Vinogradov","N. A. Kachanovsky (NTUU ""KPI"")","Dual $n_1$-Appell-like Systems in Infinite-Dimensional Analysis","5 pages, AMSTeX, to appear in Proceedings of the Seventh Crimean
  Autumn Mathematical School-Simposium on Spectral and Evolutionary Problems
  (September, 18--29, 1996, Sevastopol, Ukraine)",,,,"funct-an math.FA math.SP",,"  We introduce and study dual $n_1$-Appell-like systems which are the simple
generalization of generalized dual Appell systems in Infinite-Dimensional
Analysis (IDA). We study connected with these systems objects of IDA: the
analogues of Kondratiev spaces, $S$-transform, characterization theorems etc.
The results we obtained are useful to application in the theory of probability.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 11:23:02 GMT""}]","2008-02-03"
"funct-an/9702009","Michael Vinogradov","O. V. Solonoukha (Kiev, NTUU""KPI"")","On Variational Inequalities with Multivalued Operators with Semi-Bounded
  Variation","5 pages, AMSTeX, to appear in Proceedings of the Seventh Crimean
  Autumn Mathematical School-Simposium on Spectral and Evolutionary Problems
  (September, 18--29, 1996, Sevastopol, Ukraine)",,,,"funct-an math.FA math.SP",,"  In this paper we explore solvability of steady-state variational inequalities
with multivalued operators. Moreover, we are studying the connections between
the class of radially semi-continuous operators with semi-bounded variation and
classes of pseudo-monotone and monotone mappings, and some properties of this
operators.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 11:24:27 GMT""}]","2008-02-03"
"funct-an/9702010","Michael Vinogradov","I. Ya. Spectorsky","Stochastic equations and evolution families in the space of formal
  mappings","4 pages, AMSTeX, to appear in Proceedings of the Seventh Crimean
  Autumn Mathematical School-Simposium on Spectral and Evolutionary Problems
  (September, 18--29, 1996, Sevastopol, Ukraine)",,,,"funct-an math.FA math.PR",,"  We consider stochastic equations for the class of formal mappings. Existence
and uniqueness of solution, as well as evolution property are proved.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 11:24:57 GMT""}]","2008-02-03"
"funct-an/9702011","Michael Vinogradov","A. G. Us (Kiev, Institute of Mathematics)","Symmetrical Extensions of Dirichlet Operators","4 pages, AMSTeX, to appear in Proceedings of the Seventh Crimean
  Autumn Mathematical School-Simposium on Spectral and Evolutionary Problems
  (September, 18--29, 1996, Sevastopol, Ukraine)",,,,"funct-an math.FA math.SP",,"  There is constructed and considered the extension of classical Diriclet
operator corresponding to uniformly log-concave measure in the space of
symmetric differential forms. Sufficient conditions for its essential
self-adjointness in one-dimensional case as well as for the same of its
""sypersymmetric"" part in general situations are given.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 11:25:26 GMT""}]","2008-02-03"
"funct-an/9702012","Michael Vinogradov","A. S. Pechentsov, A. Yu. Popov","The asymptotical behavior of spectral function of one family of
  differential operators","5 pages, AMSTeX, to appear in Proceedings of the Seventh Crimean
  Autumn Mathematical School-Simposium on Spectral and Evolutionary Problems
  (September, 18-29, 1996, Sevastopol, Ukraine)",,,,"funct-an math.FA math.SP",,"  Is considered the asymptotical behavior of spectral function $\rho(\lambda,
\epsilon),\epsilon > 0$, of one family of self adjoint differential operators
of second order, defined in space $L_2[0,+\infty)$ with potentials, depending
on $\epsilon$. Are given evaluations for the derivative of spectral function
for negative $\lambda$ and is proved the weak convergence of $\rho'(\lambda,
\epsilon)$ to $\rho'(\lambda, 0)$ with $\epsilon \to +0$.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 11:23:59 GMT""}]","2008-02-03"
"gr-qc/9702022","Robert Manuel Wald","Robert M. Wald","Black Holes and Thermodynamics","26 pages, plain LaTeX; to appear in the proceedings of the Symposium
  on Black Holes and Relativistic Stars (in honor of S. Chandrasekhar),
  December 14-15, 1996",,,,"gr-qc hep-th",,"  We review the remarkable relationship between the laws of black hole
mechanics and the ordinary laws of thermodynamics. It is emphasized that - in
analogy with the laws of thermodynamics - the validity the laws of black hole
mechanics does not appear to depend upon the details of the underlying
dynamical theory (i.e., upon the particular field equations of general
relativity). It also is emphasized that a number of unresolved issues arise in
``ordinary thermodynamics'' in the context of general relativity. Thus, a
deeper understanding of the relationship between black holes and thermodynamics
may provide us with an opportunity not only to gain a better understanding of
the nature of black holes in quantum gravity, but also to better understand
some aspects of the fundamental nature of thermodynamics itself.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 23:02:27 GMT""}]","2007-05-23"
"gr-qc/9702023","T. P. Singh","T. P. Singh","Some comments on the nature of initial data in spherical collapse","Latex file, 6 pages",,,,"gr-qc",,"  Various authors have shown the occurence of naked singularities and black
holes in the spherical gravitational collapse of inhomogeneous dust. In a
recent preprint, Antia has criticised a statement in a paper by Jhingan, Joshi
and Singh on dust collapse. We show that his criticism is invalid. Antia shows
that in Eulerian coordinates a series expansion for the density of a collapsing
Newtonian fluid can have only even powers. However, he has overlooked the fact
that Jhingan et al. have actually used Lagrangian (comoving) coordinates, and
not Eulerian coordinates. As we show, in Lagrangian coordinates there is no
restriction that the density have only even powers and hence his criticism is
invalid. We also point out that an earlier claim by Antia on the instability of
strong naked singularities in dust collapse is not supported by any concrete
analysis, and is hence incorrect.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 10:57:14 GMT""}]","2007-05-23"
"hep-ph/9702304","D. R. T. Jones","P.M. Ferreira, I. Jack, and D.R.T. Jones","Large-N supersymmetric beta-functions","9 pages, tex, five figures. Uses harvmac and epsf. Revised to include
  a discussion of higher loop DRED ambiguities. Some references added, and
  notation clarified","Phys.Lett. B399 (1997) 258-262","10.1016/S0370-2693(97)00291-8","LTH 390","hep-ph hep-th",,"  We present calculations of the leading and O(1/N) terms in a large-N
expansion of the \beta-functions for various supersymmetric theories: a
Wess-Zumino model, supersymmetric QED and a non-abelian supersymmetric gauge
theory. In all cases N is the number of a class of the chiral superfields in
the theory.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 16:54:15 GMT""},{""version"":""v2"",""created"":""Thu, 6 Mar 1997 16:44:30 GMT""}]","2009-10-30"
"hep-ph/9702305",,"K.Whisnant, Jin Min Yang, Bing-Lin Young, and X.Zhang","Dimension-six CP-conserving operators of the third-family quarks and
  their effects on collider observables","25 pages","Phys.Rev.D56:467-478,1997","10.1103/PhysRevD.56.467","AMES-HET-97-1","hep-ph",,"  We list all possible dimension-six CP-conserving $SU_c(3)\times SU_L(2)
\times U_Y(1)$ invariant operators involving the third-family quarks which
could be generated by new physics at a higher scale. Expressions for these
operators after electroweak gauge symmetry breaking and the induced effective
couplings $Wt\bar b$, $Xb\bar b$ and $Xt\bar t$ $( X=Z,\gamma,g,H)$ are
presented. Analytic expressions for the tree level contributions of all these
operators to the observables $R_b$ and $A^b_{FB}$ at LEP I,
$\sigma(e^+e^-\rightarrow b\bar b)$ and $A^b_{FB}$ at LEP II,
$\sigma(e^+e^-\rightarrow t\bar t)$ and $A_{FB}^t$ at the NLC, as well as
$\sigma(p\bar p\rightarrow t\bar b+X)$ at the Tevatron upgrade, are provided.
The effects of these operators on different electroweak observables are
discussed and numerical examples presented. Numerical analyses show that in the
coupling region allowed by $R_b$ and $A^b_{FB}$ at LEP I, some of the new
physics operators can still have significant contributions at LEP II, the
Tevatron and the NLC.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 18:51:35 GMT""}]","2009-07-09"
"hep-ph/9702306","Raman Sundrum","Raman Sundrum (Boston University)","Hadronic String from Confinement","16 pages, LateX",,,"BUHEP-97-4","hep-ph hep-th",,"  The existence of hadronic string is derived as a consequence of confinement
in QCD. A state of ``stretched glue'', created by a Polyakov loop operator, is
shown to have translational zero-modes which are stringy degrees of freedom.
These modes are described by an effective string theory, valid for world-
sheets which are locally flat on length scales of order $\Lambda_{QCD}^{-1}$,
the dominant behavior being given by the Nambu-Goto action. In a subsequent
paper, these effective strings will be shown to emerge in mesons stretched by
their orbital angular momentum, thereby deriving some aspects of Regge
phenomenology directly from QCD and confinement.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 22:47:58 GMT""}]","2007-05-23"
"hep-ph/9702307","Borzumati Francesca","Francesca M. Borzumati","On the Minimal Messenger Model","29 pages, LaTeX file, fbsty.sty, 8 figures",,,"WIS-96/50/Dec.-PH","hep-ph",,"  We study the Minimal Messenger Model, a minimal version of Gauge Mediated
Supersymmetry Breaking models. Boundary conditions equal to zero for trilinear
and bilinear soft parameters at the messenger scale make this model free from
the supersymmetric CP problem and extremely predictive. These boundary
conditions and the vicinity of the messenger scale to the electroweak one,
require a careful implementation of the mechanism of radiative breaking of
$SU(2)\times U(1)$. We assess the importance of considering the complete
one-loop effective potential and of including a set of logarithmic two-loop
corrections to the B parameter for the correct determination of the electroweak
minimum. We analyze the resulting low-energy spectrum and give predictions of
interest for future experimental searches.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 21:58:01 GMT""}]","2009-09-25"
"hep-ph/9702309","Ellwanger","Ulrich Ellwanger","The Running Gauge Coupling in the Exact Renormalization Group Approach","17 pages (latex2e), 6 figs","Z.Phys. C76 (1997) 721-727",,"LPTHE ORSAY 97-02","hep-ph",,"  We discuss the perturbative running Yang-Mills coupling constant in the
Wilsonian exact renormalization group approach, and compare it to the running
coupling in the more conventional MS-bar scheme. The exact renormalization
group approach corresponds to a particular renormalization scheme, and we
relate explicitly the corresponding Lambda-parameters. The unambiguous
definition of an exact renormalization group scheme requires, however, the use
of a one-loop improved high energy effective action.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 10:18:55 GMT""}]","2007-05-23"
"hep-ph/9702310","Matthias Neubert","Matthias Neubert (CERN)","Theory of Inclusive B Decays","13 pages, 3 figures; to appear in the Proceedings of the 4th KEK
  Topical Conference on Flavour Physics, KEK, Japan, October 1996","Nucl.Phys.Proc.Suppl.59:101-113,1997","10.1016/S0920-5632(97)00432-5","CERN-TH/97-19","hep-ph",,"  We present the theory of inclusive decays of hadrons containing a heavy quark
and discuss its most important applications to the decays of B mesons. We also
review the theoretical understanding of the hadronic parameters lambda_1 and
lambda_2 (or mu_pi^2 and mu_G^2) entering the heavy-quark expansion.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 12:00:06 GMT""}]","2014-11-17"
"hep-ph/9702311","Nico Schoonderwoerd","N. C. J. Schoonderwoerd and B. L. G. Bakker (Department of Physics and
  Astronomy, Vrije Universiteit, Amsterdam, The Netherlands)","Equivalence of renormalized covariant and light-front perturbation
  theory: I. Longitudinal divergences in the Yukawa model","11 pages, epsf, revtex, contains more elaborate explanation of Forced
  Instantaneous Loops (FILs)",,"10.1103/PhysRevD.57.4965","VUTH 97-4","hep-ph hep-th",,"  Light-front perturbation theory has been proposed as an alternative to
covariant perturbation theory. Light-front perturbation theory is only
acceptable if it produces invariant S-matrix elements. Doubts have been raised
concerning the equivalence of light-front and covariant perturbation theory.
One of the obstacles to a rigorous proof of equivalence is the occurrence of
longitudinal divergences not present in covariant perturbation theory. We show
in the case of the Yukawa model of fermions interacting with scalar bosons at
the one-loop level how to deal with the longitudinal divergences. Invariant
S-matrix elements are obtained using our method.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 13:56:52 GMT""},{""version"":""v2"",""created"":""Tue, 17 Jun 1997 09:45:30 GMT""},{""version"":""v3"",""created"":""Wed, 28 Jan 1998 18:22:17 GMT""},{""version"":""v4"",""created"":""Thu, 29 Jan 1998 09:54:51 GMT""}]","2009-10-30"
"hep-ph/9702312","Ahmed Ali","A. Ali (DESY, Hamburg)","Flavour Changing Neutral Current Processes in B Decays","Latex2e, 16 pages, 4 figures (requires epsf.sty, espcrc2.sty) To be
  published in the Proceedings of the Fourth KEK Topical Conference on Flavour
  Physics, KEK, Tsukuba, Japan, October 29-31, 1996","Nucl.Phys.Proc.Suppl.59:86-100,1997","10.1016/S0920-5632(97)00431-3","DESY 97-019","hep-ph",,"  We review the theory and experimental measurements in the flavour changing
neutral current (FCNC) processes involving B decays in the context of the
standard model (SM). The role of these processes in determining the weak mixing
matrix elements is stressed.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 15:55:41 GMT""}]","2014-11-17"
"hep-ph/9702313","Charles Picciotto","C. E. Picciotto","K+ to pi-mu+mu+ and doubly-charged Higgs","8 pages, RevTex, Figure1 is PS","Phys.Rev. D56 (1997) 1612-1614","10.1103/PhysRevD.56.1612",,"hep-ph",,"  The rate for the lepton-number-violating decay K+ to pi- mu+mu+ is calculated
in a model which incorporates doubly-charged Higgs bosons. We find that for
reasonable values of the parameters the decay branching ratio may be as large
as 2E-16. Although this is a discouragingly small number, it is of the same
order of magnitude as the rate mediated by massive Majorana neutrinos.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 09:17:28 GMT""}]","2009-10-30"
"hep-th/9702091","Stephen Pinsky","Stephen Pinsky (Ohio State University)","Wilson Loop on a Light-Cone Cylinder","7 pages, RevTex",,,,"hep-th",,"  QCD without matter and quantized on a light-cone spatial cylinder is
considered. For the gauge group SU(N) the theory has N-1 quantum mechanical
degrees of freedom, which describe the color fux that circulates around the the
spatial cylinder. In 1+1 dimensions this problem can be solved analytically. I
use the solution for SU(2) to compute the Wilson loop phase on the surface of
the cylinder and find that it is equal to g^2 area/4. This result is different
from the well known result for flat space. I argue that for SU(N) the Wilson
loop phase for a contour on a light-cone spatial cylinder is g^2(area) (N-1)/4.
The underlying reason for this result is that only the N-1 dimensional Cartan
subgroup of SU(N) is dynamical in this problem.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 17:16:40 GMT""}]","2007-05-23"
"hep-th/9702092","Denny Fliegner","D. Fliegner (Heidelberg U., ITP), P. Haberl (RWTH Aachen, ITP), M.G.
  Schmidt (Heidelberg U., ITP), C. Schubert (Humboldt U., Berlin)","Application of the Worldline Path Integral Method to the Calculation of
  Inverse Mass Expansions","6 pages, LaTeX. Talk given at 5th International Workshop on Software
  Engineering and Artificial Intelligence for High Energy and Nuclear Physics
  (AIHENP96), Lausanne (Switzerland), 2-6 September 1996","Nucl.Instrum.Meth. A389 (1997) 374-377","10.1016/S0168-9002(97)00136-8","HD-THEP-96/54, HUB-EP-96/57","hep-th",,"  Higher order coefficients of the inverse mass expansion of one-loop effective
actions are obtained from a one-dimensional path integral representation. For
the case of a massive scalar loop in the background of both a scalar potential
and a (non Abelian) gauge field explicit results to $O(T^5)$ in the proper time
parameter are presented.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 16:51:45 GMT""}]","2009-10-30"
"hep-th/9702093","A. Sagnotti","Augusto Sagnotti (Universita' di Roma ""Tor Vergata"")","Surprises in Open-String Perturbation Theory","13pages, LATEX with espcrc2, 3 eps figures Contribution to the
  Proceedings of the XXX Ahrenshoop Symposium, Buckow (Berlin), August 1996
  references added","Nucl.Phys.Proc.Suppl.56B:332-343,1997","10.1016/S0920-5632(97)00344-7","ROM2F-97/4","hep-th",,"  The perturbative analysis of models of open and closed superstrings presents
a number of surprises. For instance, variable numbers of antisymmetric tensors
ensure their consistency via generalized Green-Schwarz cancellations and a
novel type of singularity occurs in their moduli spaces. All these features are
related, in one way or another, to the presence of boundaries on the world
sheet or, equivalently, of extended objects (branes) interacting with the bulk
theory in space time. String dualities have largely widened the interest in
these models, that exhibit a wealth of generic non-perturbative features of
String Theory.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 20:33:10 GMT""},{""version"":""v2"",""created"":""Wed, 12 Feb 1997 18:09:21 GMT""}]","2009-10-30"
"hep-th/9702094","Michael E. Peskin","Michael E. Peskin","Duality in Supersymmetric Yang-Mills Theory","80 pages, latex + 12 figures, TASI96",,,"SLAC-PUB-7393","hep-th hep-ph",,"  These lectures provide an introduction to the behavior of strongly-coupled
supersymmetric gauge theories. After a discussion of the effective Lagrangian
in nonsupersymmetric and supersymmetric field theories, I analyze the
qualitative behavior of the simplest illustrative models. These include
supersymmetric QCD for $N_f < N_c$, in which the superpotential is generated
nonperturbatively, N=2 SU(2) Yang-Mills theory (the Seiberg-Witten model), in
which the nonperturbative behavior of the effective coupling is described
geometrically, and supersymmetric QCD for N_f large, in which the theory
illustrates a non-Abelian generalization of electric-magnetic duality.
[Lectures presented at the 1996 TASI Summer School, to appear in the
proceedings.]
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 20:24:47 GMT""}]","2007-05-23"
"hep-th/9702095","Gerhard Weigt","Uwe M\""uller and Gerhard Weigt","Analytical Solution of the SL(2,R)/U(1) WZNW Black Hole Model","10 pages, LaTeX, amsfonts; one reference added","Phys.Lett. B400 (1997) 21-26","10.1016/S0370-2693(97)00339-0","DESY 96-221","hep-th",,"  The gauged SL(2,R)/U(1) Wess-Zumino-Novikov-Witten (WZNW) model is
classically an integrable conformal field theory. We have found a Lax pair
representation for the non-linear equations of motion, and a B""acklund
transformation. A second-order differential equation of the Gelfand-Dikii type
defines the Poisson bracket structure of the theory, and its fundamental
solutions describe the general solution of the WZNW model as well. The physical
and free fields are related by non-local transformations. The (anti-)chiral
component of the energy-momentum tensor which factorizes into conserved
quantities satisfying a non-linear algebra characteristic for parafermions
assumes the expected canonical free field form. So the black hole model seems
to be prepared for an exact canonical quantization.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 21:30:46 GMT""},{""version"":""v2"",""created"":""Thu, 13 Feb 1997 23:08:07 GMT""}]","2009-10-30"
"hep-th/9702096",,"Michael Danos","Ward - Takahashi identities and Noether's theorem in quantum field
  theory","14 pages, latex","Found.Phys. 27 (1997) 995-1009","10.1007/BF02551149",,"hep-th",,"  A gap in the mathematical logic in derivations in quantum field theory arises
as consequence of variation before quantization. To close this gap the present
paper introduces a mathematically rigorous variational calculus for operator
fields. Using quantization before variation it is demonstrated that the
so-called naive results are correct; in particular both Noether's theorem and
the Ward-Takahashi identities retain full validity in quantum field theory.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 01:44:31 GMT""}]","2016-09-06"
"hep-th/9702097","Tomohiro Inagaki","I. L. Buchbinder, T. Inagaki, S. D. Odintsov","Supersymmetric Nambu-Jona-Lasinio Model in an External Gravitational
  Field","8 pages, Latex, epic.sty and eepic.sty are used","Mod.Phys.Lett.A12:2271-2278,1997","10.1142/S021773239700234X",,"hep-th",,"  We investigate the effect of an external gravitational fields to the chiral
symmetry breaking in the SUSY (supersymmetric) NJL (Nambu-Jona-Lasinio) model
non-minimally interacting with external supergravity. Evaluating the effective
potential in the leading order of the $1/N_{c}$-expansion and in the linear
curvature approximation it is found the possibility of the chiral symmetry
breaking in the SUSY NJL model in an external gravitational fields. In the
broken phase the dynamically generated mass is analytically and numerically
calculated.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 02:23:41 GMT""}]","2009-09-17"
"hep-th/9702098",,"Massimo Bianchi (Universita' di Roma ``Tor Vergata'')","Type I Superstrings without D-branes","11 pages, latex, no figures; contribution to the Proceedings of the
  XII Italian Conference on General Relativity and Gravitational Physics, Rome,
  September 1996",,,"ROM2F-97-6","hep-th",,"  Notwithstanding the central role of D-branes in many recently proposed string
dualities, several interesting type I vacua have been found without resorting
directly to D-brane technology. In this talk, we analyze a three-generation
SO(8)xU(12) chiral type I model with N=1 supersymmetry in D=4. It descends from
the type IIB compactification on the Z orbifold and requires only Neumann
boundary conditions, i.e. only the ubiquitous D9-branes (pan-branes). We also
discuss a large class of 6D type I vacua that display rich patterns of
Chan-Paton symmetry breaking/enhancement and various numbers of tensor
multiplets. Finally, we briefly address issues raised by the conjectured
heterotic - type I duality and by the relation between type I vacua and
compactifications of the putative F-theory.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 13:25:25 GMT""}]","2007-05-23"
"hep-th/9702099","Sanjaye Kumar Ramgoolam","Z. Guralnik and S. Ramgoolam","Torons and D-Brane Bound States","13 pages, harvmac big","Nucl.Phys. B499 (1997) 241-252","10.1016/S0550-3213(97)00286-1","PUPT-1683","hep-th",,"  We interpret instantons on a torus with twisted boundary conditions, in terms
of bound states of branes. The interplay between the SU(N) and U(1) parts of
the U(N) theory of N 4-branes allows the construction of a variety of bound
states. The SU(N) and U(1) parts can contribute fractional amounts to the total
instanton number which is integral. The geometry of non-self intersecting
two-cycles in $T^4$ sheds some light on a number of properties of these
solutions.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 00:58:18 GMT""},{""version"":""v2"",""created"":""Thu, 13 Feb 1997 01:18:54 GMT""}]","2016-09-06"
"nucl-ex/9702001",,"J.A. Templon, B.A. Raue, L.C. Bland, K. Murphy, D.S. Carman, G.M.
  Huber, B.C. Markham, D.W. Miller, P. Schwandt, - (IUCF) - D.J. Millener (BNL)","Study of continuum nuclear structure of 12C via (p,p'X) at intermediate
  energies","12 pages, 4 figures, elsart style files, submitted to Physics Letters
  B","Phys.Lett.B413:253-259,1997","10.1016/S0370-2693(97)01149-0",,"nucl-ex nucl-th",,"  The inclusive 12C(p,p') and exclusive 12C(p,p'X) reactions have been studied
with a beam energy of 156 MeV and for X = p and alpha. The study focuses on the
(p,p'X) reaction mechanism and on the structure of 12C just above the
particle-emission threshold, 14 < E_x < 28 MeV. Cross sections were
simultaneously measured for all three reactions. The exclusive data were
analyzed by making multiple-peak fits of the spectra and by Legendre-polynomial
fits of the angular correlations. Multiple-peak fits were also made of the
inclusive spectra. The resultant cross sections were compared to theoretical
calculations. An analysis of the results shows that this region of E_x consists
predominantly of resonant excitations, in contradiction to the findings of
previous analyses.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 17:58:28 GMT""}]","2014-11-18"
"nucl-th/9702027","Wojciech Broniowski","Thomas D. Cohen and Wojciech Broniowski","Fixed-Velocity Chiral Sum Rules for Nuclear Matter","RevTeX, 15 pages, 2 figures",,,"U.MD PP 97-077 and INP 1753/PH","nucl-th hep-ph",,"  Infinite sets of sum rules involving the excitations of infinite nuclear
matter are derived using only completeness, the current algebra implicit in
QCD, and relativistic covariance. The sum rules can be used for
isospin-asymmetric nuclear matter, including neutron matter. They relate the
chiral condensate and the isospin density to weighted sums over states with
fixed velocity relative to the nuclear matter ground state.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 18:30:21 GMT""}]","2007-05-23"
"nucl-th/9702028","Christian Fuchs","C. Fuchs, L. Sehn, Amand Faessler, D.S. Kosov, V.S. Uma Maheswari and
  Z. Wang","Treatment of baryonic resonances in the RQMD approach including
  scalar-vector mean fields","8 pages Latex, 4 PS-figures; To appear in the proceedings of the 25th
  International Hirschegg Workshop on Properties of Nuclei and Nuclear
  Excitations, Jan 13-18, 1997 ""QCD Phase Transitions""",,,,"nucl-th",,"  In the relativistic Quantum Molecular Dynamics (RQMD) approach baryons are
described within the framework of covariant hamilton constraint dynamics. The
inclusion of a relativistic mean field results in a quasiparticle picture for
the baryons. This requires to distinguish between canonical and kinetic
variables of the particles. As resonances we include the $\Delta$(1232) and the
$N^*$(1440) resonance. The resonance masses are distributed according
Breit-Wigner functions. However, the scalar self energy leads to a shift in the
masses and introduces an additional medium dependence. Consequences of this
description on resonance and pion dynamics are discussed.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 08:50:02 GMT""}]","2007-05-23"
"nucl-th/9702029","Helmut Hofmann","H.Hofmann and D. Kiderlen","A self-consistent treatment of the dynamics of stable and unstable
  collective modes","26 pages, Latex, 7 Postscript figures; submitted to PRE; e-mail:
  hhofmann@physik.tu-muenchen.de www home page:
  http://www.physik.tu-muenchen.de/tumphy/e/T36/hofmann.html",,,,"nucl-th",,"  We address the dynamics of damped collective modes in terms of first and
second moments. The modes are introduced in a self-consistent fashion with the
help of a suitable application of linear response theory. Quantum effects in
the fluctuations are governed by diffusion coefficients D_{\mu\nu}. The latter
are obtained through a fluctuation dissipation theorem generalized to allow for
a treatment of unstable modes. Numerical evaluations of the D_{\mu\nu} are
presented. We discuss briefly how this picture may be used to describe global
motion within a locally harmonic approximation.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 13:17:12 GMT""}]","2007-05-23"
