"alg-geom/9707003","Hosono Shinobu","S.Hosono","GKZ Systems, Gr\""obner Fans and Moduli Spaces of Calabi-Yau
  Hypersurfaces","28 pages, LaTeX. (The statements in Prop.4.7 and Claim 5.8 are
  clarified.)",,,,"alg-geom math.AG",,"  We present a detailed analysis of the GKZ(Gel'fand, Kapranov and Zelevinski)
hypergeometric systems in the context of mirror symmetry of Calabi-Yau
hypersurfaces in toric varieties. As an application we will derive a concise
formula for the prepotential about large complex structure limits. (Talk given
at the Taniguchi Symposium ``Topological Field Theory, Primitive Forms and
Related Topics'' December, 1996)
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 09:57:30 GMT""},{""version"":""v2"",""created"":""Mon, 27 Oct 1997 06:41:28 GMT""}]","2008-02-03"
"dg-ga/9707001","Narciso Roman","A. Echeverria-Enriquez, M.C. Munoz-Lecanda, N. Roman-Roy","Multivector Fields and Connections. Setting Lagrangian Equations in
  Field Theories","New sections on integrability of Multivector Fields and applications
  to Field Theory (including some examples) are added. The title has been
  slightly modified. To be published in J. Math. Phys","J. Math. Phys. 39(9) (1998) 4578-4603","10.1063/1.532525",,"dg-ga hep-th math.DG",,"  The integrability of multivector fields in a differentiable manifold is
studied. Then, given a jet bundle $J^1E\to E\to M$, it is shown that integrable
multivector fields in $E$ are equivalent to integrable connections in the
bundle $E\to M$ (that is, integrable jet fields in $J^1E$). This result is
applied to the particular case of multivector fields in the manifold $J^1E$ and
connections in the bundle $J^1E\to M$ (that is, jet fields in the repeated jet
bundle $J^1J^1E$), in order to characterize integrable multivector fields and
connections whose integral manifolds are canonical lifting of sections. These
results allow us to set the Lagrangian evolution equations for first-order
classical field theories in three equivalent geometrical ways (in a form
similar to that in which the Lagrangian dynamical equations of non-autonomous
mechanical systems are usually given). Then, using multivector fields; we
discuss several aspects of these evolution equations (both for the regular and
singular cases); namely: the existence and non-uniqueness of solutions, the
integrability problem and Noether's theorem; giving insights into the
differences between mechanics and field theories.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 10:26:05 GMT""},{""version"":""v2"",""created"":""Thu, 7 May 1998 11:32:30 GMT""}]","2016-04-11"
"dg-ga/9707002","Mikhail G. Katz","Ivan Babenko and Mikhail Katz","Systolic freedom of orientable manifolds","25 pages, TeX, Ann. Scient. Ec. Norm. Sup. (to appear)",,,,"dg-ga math.DG",,"  In 1972, Marcel Berger defined a metric invariant that captures the `size' of
k-dimensional homology of a Riemannian manifold. This invariant came to be
called the k-dimensional SYSTOLE. He asked if the systoles can be constrained
by the volume, in the spirit of the 1949 theorem of C. Loewner. We construct
metrics, inspired by M. Gromov's 1993 example, which give a negative answer for
large classes of manifolds, for the product of systoles in a pair of
complementary dimensions. An obstruction (restriction on k modulo 4) to
constructing further examples by our methods seems to reside in the free part
of real Bott periodicity. The construction takes place in a split neighborhood
of a suitable k-dimensional submanifold whose connected components (rationally)
generate the k-dimensional homology group of the manifold. Bounded geometry
(combined with the coarea inequality) implies a lower bound for the k-systole,
while calibration with support in this neighborhood provides a lower bound for
the systole of the complementary dimension. In dimension 4 everything reduces
to the case of S^2 x S^2.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 12:00:24 GMT""}]","2008-02-03"
"gr-qc/9707006",,"I.Oda","Quantum Evaporating Black Holes in Higher Dimensions","10 pages, phyzzx",,,"EDO-EP-14","gr-qc",,"  We study an $N + 1$ dimensional generalization of the Schwarzschild black
hole from the quantum mechanical viewpoint. It is shown that the mass loss rate
of this higher dimensional black hole due to the black hole radiation is
proportional to $1 \over r^{N-1}$ where $r$ is the radial coordinate. This fact
implies that except in four dimensions the quantum formalism developed in this
letter gives a different result with respect to the mass loss rate from the
semiclassical formalism where the Stefan-Bolzmann formula for a blackbody
radiation is used. As shown previously in the study of the four dimensional
Schwarzschild metric, the wave function in this case has also quite curious
features that it is singular owing to strong quantum fluctuation of the
gravitational field at the singularity while completely regular in the other
regions of the spacetime.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 07:31:48 GMT""}]","2007-05-23"
"gr-qc/9707007","Ugo Moschella","Ugo Moschella, Richard Schaeffer","Quantum fluctuations in the open universe","LaTeX file, 4 pages, 1 figure included","Phys.Rev. D57 (1998) 2147-2151","10.1103/PhysRevD.57.2147","IHES/P/97/45","gr-qc",,"  We solve a continuing controversy when dealing with density fluctuations in
open Friedman-Robertson-Walker universes, on the physical relevance of a class
of exponential modes. We show explicitly and rigorously that these modes enter
the expansion of quantum fields. In the maximally symmetric de Sitter case,
encountered in inflationary models, they are excited for fields with mass below
a critical value. They are seen to be responsible for the breaking of the de
Sitter symmetry for a massless field. We provide an exact calculation of the
power spectrum for any mass. Our method is free of the divergences that appear
in earlier treatments. We extend the construction to a generic open FRW
universe.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 09:33:20 GMT""}]","2009-10-30"
"gr-qc/9707008","Yakob Itin","S. Kaniel, Y.Itin","Gravity on parallelizable manifold","LaTex, 9 pages","Nuovo Cim. B113 (1998) 393-402",,,"gr-qc",,"  General relativity postulates that the gravity field is defined on a
Riemannian manifold. The field equations are $R^\mu_\nu = 0$ i.e. Ricci's
curvature tensor vanishes. The field equations have to be augmented by natural
physical requirements like orientability, time orientability and existence of a
spinorial structure. Moreover, it is impossible to define the energy of the
gravity field only by the metric tensor. We suggest to impose an additional
structure and consider parallelizable manifold i.e. manifolds for which a
smooth field of frames exists. The derivation of the field equations is by an
action principle. A Lagrangian, which is quadratic in the differentials, is
defined. The minimum of the action is achieved at a $16 \times 16$ second order
quasi linear system. It is of Laplacian type. The system admits a unique exact
solution for a centrally symmetric, static and assimptotically flat field. The
resulting metric is the celebrated Rosen metric, which is very close to the
Schwarzchild metric. The two are intrinsicly different since the scalar
curvature of the Schuarzschild metric is zero, in contrast to Rosen's which is
positive. The suggested field admits black holes which are briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 10:28:12 GMT""}]","2007-05-23"
"hep-ex/9707007","K. K. Gan","K.K. Gan","Review of Rare and Forbidden $\tau$ Decays",,"Nucl.Phys.Proc.Suppl. 55C (1997) 213-220","10.1016/S0920-5632(97)00218-1","OHSTPY-HEP-E-96-039","hep-ex",,"  This is a review of rare and forbidden decays of the $\tau$ lepton. For the
rare decays, this includes new results on the chiral anomaly decay
$\taupietapio$, new upper limits on the second-class-current decay $\taupieta$,
and the observations of the Cabibbo-suppressed decay $\tauketa$ and the
internal conversion decay $\taueee$. For the forbidden decays, there are new
upper limits on the radiative decays $\tauegamma$ and $\taumugamma$. Some
forbidden decays which have not been previously searched for are also
suggested.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 20:39:21 GMT""}]","2009-10-30"
"hep-ex/9707008","Curtis A. Meyer","C. A. Meyer","Meson Spectroscopy and the Search for Exotics","10 pages, LaTeX with 7 PostScript figures, uses aipproc style. To be
  published in the Proceedings of the 6'th Conference on the Intersections of
  Particle and Nuclear Physics, Big Sky Montana, May 27 to June 2",,"10.1063/1.54285",,"hep-ex",,"  I will review the current status of exotic hadrons in the meson sector. There
is currently strong evidence that a scalar glueball mixed into the normal
scalar mesons has been found. There is also an interesting candidate for the
tensor glueball state. Finally, I will discuss hybrid mesons with explicitly
exotic quantum numbers.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 19:02:21 GMT""}]","2009-10-30"
"hep-ex/9707009","Rick Van Kooten","The OPAL Collaboration, K. Ackerstaff et al","A Study of B Meson Oscillations Using Hadronic Z^0 Decays Containing
  Leptons","35 pages, LaTeX, 13 eps figures included, submitted to Zeit. f.
  Physik","Z.Phys.C76:401-415,1997","10.1007/s002880050564","CERN-PPE/97-036","hep-ex",,"  An event sample enriched in semileptonic decays of b hadrons is selected
using an inclusive lepton selection from approximately 3.0 million hadronic Z^0
decays collected with the OPAL detector. This sample is used to investigate B
meson oscillations by reconstructing a proper decay time for the parent of each
lepton, using a jet charge method to estimate the production flavour of this
parent, and using the lepton charge to tag the decay flavour. We measure the
mass difference between the two B^0_d mass eigenstates
  Delta(m_d) = 0.444 +/- 0.029 + 0.020 - 0.017 ps^-1.
  For the B^0_s system, we find Delta(m_s) > 3.1 ps^-1 at the 95% confidence
level. This limit varies only a little if alternative limit setting approaches
are adopted. Regions at higher Delta(m_s) are also excluded with some methods
for setting the limit.
  By studying the charge symmetry of the B^0_d mixing structure, we are able to
constrain possible CP and CPT violating effects. We measure the CP violation
parameter
  Re(epsilon_B) = -0.006 +/- 0.010 +/- 0.006
  and the indirect CPT violating parameter
  Im(delta_B) = -0.020 +/- 0.016 +/- 0.006.
  If we invoke CPT symmetry, then we obtain
  Re(epsilon_B) = 0.002 +/- 0.007 +/- 0.003.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 08:49:03 GMT""}]","2008-11-26"
"hep-ex/9707010","Rick Van Kooten","The OPAL Collaboration, K. Ackerstaff et al","An Updated Study of B Meson Oscillations using Dilepton Events","18 pages, LaTeX, 5 eps figures included, submitted to Zeit. f. Physik","Z.Phys.C76:417-423,1997","10.1007/s002880050565","CERN-PPE/97-064","hep-ex",,"  This paper reports a study of B meson oscillations using hadronic Z^0 decays
with two identified leptons, and updates a previous publication by including
data collected in 1994. Decay times are reconstructed for each of the
semileptonic B decays by forming vertices which include the lepton and by
estimating the B meson momentum. The mass difference, Delta(m_d), between the
two mass eigenstates in the B^0_d system is measured to be
  0.430 +/- 0.043 + 0.028 - 0.030 ps^-1, where the first error is statistical
and the second error is systematic. For the B^0_s system, a lower limit of
Delta(m_s) > 2.2 ps^-1 is obtained at 95% C.L.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 09:08:34 GMT""}]","2008-11-26"
"hep-ph/9707223","Michelangelo Mangano","A. Petrelli, M. Cacciari, M. Greco, F. Maltoni, M.L. Mangano","NLO Production and Decay of Quarkonium","65 pages, Latex, epsfig, 8 figures. Typos corrected and improvements
  made to the text. Version to appear on Nucl Phys. B","Nucl.Phys.B514:245-309,1998","10.1016/S0550-3213(97)00801-8","CERN-TH/97-142, DESY 97-090","hep-ph",,"  We present a calculation of next-to-leading-order (NLO) QCD corrections to
total hadronic production cross sections and to light-hadron-decay rates of
heavy quarkonium states. Both colour-singlet and colour-octet contributions are
included. We discuss in detail the use of covariant projectors in dimensional
regularization, the structure of soft-gluon emission and the overall finiteness
of radiative corrections. We compare our approach with the
  NLO version of the threshold-expansion technique recently introduced by
  Braaten and Chen. Most of the results presented here are new. Others
represent the first independent reevaluation of calculations already known in
the literature. In this case a comparison with previous findings is reported.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 16:20:47 GMT""},{""version"":""v2"",""created"":""Thu, 6 Nov 1997 12:48:42 GMT""}]","2014-11-17"
"hep-ph/9707224","Aude Gehrmann","A. Gehrmann-De Ridder and E.W.N. Glover (Durham)","A complete ${\cal O}(\alpha \alpha_s)$ calculation of the Photon + 1 Jet
  rate in $e^+e^-$ annihilation","59 pages, LaTeX, 8 Postscript figures included, a few typos
  corrected, one reference added, version to appear in Nucl.Phys.B","Nucl.Phys.B517:269-323,1998","10.1016/S0550-3213(97)00818-3","DTP/97/26","hep-ph",,"  We present a complete calculation of the photon +~1 jet rate in $e^+e^-$
annihilation up to ${\cal O}(\alpha \alpha_{s})$. Although formally of
next-to-leading order in perturbation theory, this calculation contains several
ingredients appropriate to a next-to-next-to-leading order calculation of jet
observables. In particular, we describe a generalization of the commonly used
phase space slicing method to isolate the singularities present when more than
one particle is unresolved. Within this approach, we analytically evaluate the
singularities associated with the following double unresolved regions; triple
collinear, soft/collinear and double single collinear configurations as well as
those from the collinear limit of virtual graphs. By comparing the results of
our calculation with the existing data on the photon +~1 jet rate from the
ALEPH Collaboration at CERN, we make a next-to-leading order determination of
the process-independent non-perturbative quark-to-photon fragmentation function
$D_{q \to \gamma}(z,\mu_{F})$ at ${\cal O}(\alpha \alpha_{s})$. As a first
application of this measurement allied with our improved perturbative
calculation, we determine the dependence of the isolated photon +~1 jet cross
section in a democratic clustering approach on the jet resolution parameter
$\ycut$ at next-to-leading order. The next-to-leading order corrections to this
observable are moderate but improve the agreement between theoretical
prediction and experimental data.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 16:46:16 GMT""},{""version"":""v2"",""created"":""Tue, 24 Feb 1998 09:34:04 GMT""}]","2008-11-26"
"hep-ph/9707225","Jonathan Bagger","Jonathan A. Bagger, Konstantin T. Matchev, Ren-Jie Zhang","QCD Corrections to Flavor-Changing Neutral Currents in the
  Supersymmetric Standard Model","14 pages, Latex. Version to be published in Phys. Lett. B","Phys.Lett.B412:77-85,1997","10.1016/S0370-2693(97)00920-9","JHU-TIPAC-97011","hep-ph",,"  We compute the leading QCD corrections to K-Kbar mixing in the supersymmetric
standard model with general soft supersymmetry-breaking parameters. We
construct the \Delta S=2 effective Lagrangian for three hierarchies of
supersymmetric particle masses, namely, when the gluino mass is comparable to,
much greater than, or much less than the masses of the first two generation
squarks. We find that the QCD corrections tighten the limits on squark mass
splittings by more than a factor of two.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 19:21:06 GMT""},{""version"":""v2"",""created"":""Thu, 7 Aug 1997 18:46:32 GMT""},{""version"":""v3"",""created"":""Wed, 27 Aug 1997 20:27:44 GMT""}]","2009-10-09"
"hep-ph/9707226",,"Bo-Qiang Ma (IHEP, Academia Sinica, Beijing)","Strange Magnetic Moment and Isospin Symmetry Breaking","14 latex pages, to be published in Physics Letters B","Phys.Lett. B408 (1997) 387-392","10.1016/S0370-2693(97)00830-7","BIHEP-TH-97-01","hep-ph hep-ex nucl-ex nucl-th",,"  The small mass difference $m_n-m_p=1.3 MeV$ between the proton and neutron
leads to an excess of $n=\pi^- p$ over $p=\pi^+ n$ fluctuations which can be
calculated by using a light-cone meson-baryon fluctuation model of intrinsic
quark-antiquark pairs of the nucleon sea. The Gottfried sum rule violation may
partially be explained by isospin symmetry breaking between the proton and
neutron and the same effect introduces correction terms to the anomalous
magnetic moments and the anomalous weak magnetic moments of the proton and
neutron. We also evaluated the strange magnetic moment of the nucleon from the
lowest strangeness $K \Lambda$ fluctuation and found a non-trivial influence
due to isospin symmetry breaking in the experimental measurements of the
strange magnetic moment of the nucleon.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 03:26:14 GMT""},{""version"":""v2"",""created"":""Thu, 3 Jul 1997 15:36:49 GMT""}]","2009-10-30"
"hep-ph/9707227","Zhen Cao","Zhen Cao, Xiao-Gang He and Bruce McKellar","A New Method Of Distinguishing Models For The High-$Q^2$ Events At HERA","11 pages in revtex plus 3 figures in postscript","Phys.Lett. B427 (1998) 183-188","10.1016/S0370-2693(98)00321-9","OITS-633","hep-ph",,"  Many explanations for the excess high-Q^2 $e^+p \to e^+X$ events from H1 and
ZEUS at HERA have been proposed each with criticisms. We propose a new method
to distinguish different models by looking at a new distribution which is
insensitive to parton distribution function but sensitive to new physics.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 22:10:16 GMT""}]","2009-10-30"
"hep-ph/9707228",,"U. van Kolck","Chiral Perturbation Theory in Few-Nucleon Systems","15 pages, 2 figures, Latex, aipproc.sty and epsfig, invited talk at
  the 6th Conference on the Intersections of Particle and Nuclear Physics, Big
  Sky, May 1997","Nucl.Phys. A631 (1998) 56c-69c","10.1016/S0375-9474(98)00015-3","DOE/ER/41014-22-N97","hep-ph",,"  The low-energy effective theory of nuclear physics based on chiral symmetry
is reviewed. Topics discussed include the nucleon-nucleon force, few-body
potentials, isospin violation, pion-deuteron scattering, proton-neutron
radiative capture, pion photoproduction on the deuteron, and pion production in
proton-proton collisions.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 23:38:01 GMT""}]","2009-10-30"
"hep-ph/9707229","David Atwood","David Atwood, Marc Sher","$t \to cWW$ and $WW \to \bar{t}c + t\bar{c}$ in Extended Models","17 pages, 7 figures","Phys.Lett.B411:306-312,1997","10.1016/S0370-2693(97)00976-3","WM-97-109","hep-ph",,"  Jenkins has pointed out that the process $t\to cW^+W^-$ is GIM suppressed in
the standard model. In this note, we calculate the branching ratio for a wide
range of models, in which the decay occurs at tree level through exchange of a
scalar, fermion or vector. In the case of scalar exchange, a scalar mass
between $2m_W$ and 200 GeV leads to a resonant enhancement, giving a branching
ratio as high as a few tenths of a percent. We then note that all of these
models will also allow $W^+W^-\to \bar{t}c+t\bar{c}$, and we calculate the
single-top/single-charm production rate at the LHC. The rates aren't negligibly
small, but the background from single-top/single-bottom production will
probably swamp the signal.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 01:16:15 GMT""}]","2014-11-17"
"hep-ph/9707230","Kim Maltman","Kim Maltman and Carl E. Wolfe (York University)","Isospin-Breaking Vacuum-to-Pi^0,Eta Pseudoscalar Matrix Elements at
  Next-to-Leading Order in the Chiral Expansion","9 pages, 1 postscript figure","Mod.Phys.Lett. A13 (1998) 1347-1360","10.1142/S0217732398001418",,"hep-ph nucl-th",,"  We employ Chiral Perturbation Theory (ChPT) to evaluate the complete set of
pseudoscalar matrix elements, <0|P_f|pi^0,eta>, with P_f any of the
flavor-diagonal pseudoscalar currents (f=u,d,s), to order (m_d-m_u), and to
next-to-leading order in the chiral expansion. These matrix elements represent
the basic input to a QCD sum rule analysis of isospin breaking in the pi NN
couplings using the three-point-function method. We discuss also how one could
use the results to construct a one parameter family of interpolating fields for
the $\pi^0$, all of whose members have zero vacuum-to-$\eta$ matrix element,
and explain how this could in principle be used to provide non-trivial tests of
the reliability of the assumptions underlying the use of the
three-point-function method. It is shown that the isospin-breaking mixing
parameters required for this construction receive significant corrections
beyond leading order in the chiral expansion.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 06:06:44 GMT""}]","2009-10-30"
"hep-ph/9707231","Kim Maltman","Kim Maltman (York University)","Higher Resonance Contamination of pi NN Couplings Obtained Via the
  Three-Point Function Method in QCD Sum Rules","8 pages","Phys.Rev.C57:69-75,1998","10.1103/PhysRevC.57.69",,"hep-ph nucl-th",,"  We investigate the size of potential higher pseudoscalar resonance
contaminations of the estimates of isospin-conserving and isospin-violating
$\pi NN$ couplings obtained using the 3-point function method in QCD sum rules.
For the isospin-conserving case it is shown that conventional models of the
isovector pseudoscalar spectral function imply resonance decay constants large
enough to create significant contaminations, and that assuming these models are
incorrect, and that the decay constants are actually much smaller, implies
physically implausible values for the flavor-breaking quark condensate ratios.
For the isospin-violating case it is shown explicitly that such resonance
contamination is unavoidably present and precludes using the 3-point function
method as a means of estimating the at present unmeasured isospin-violating
$\pi NN$ couplings.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 06:07:26 GMT""}]","2008-11-26"
"hep-ph/9707232","Institute for Theoretical Physics","Dao-Neng Gao and Mu-Lin Yan(USTC)","Electromagnetic masses of the mesons and the generalization of Dashen's
  theorem","LateX, 16 pages",,,,"hep-ph",,"  In the framework of $U(3)_L\times U(3)_R$ chiral field theory, Dashen's
theorem is reexamined, and the well-known result of $m_{\pi^\pm}^2-m_{\pi^0}^2$
obtained by Das, Guralnik, Mathur, Low, and Young is reproduced. We find that
Dashen's theorem, which automatically holds for pseudoscalar mesons in this
theory, can be generalized to the sector of axial-vector mesons, however, fails
for the sector of vector mesons.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 06:16:13 GMT""},{""version"":""v2"",""created"":""Wed, 8 Oct 1997 11:07:11 GMT""}]","2008-02-03"
"hep-ph/9707234","Colin Froggatt","D. L. Bennett, C. D. Froggatt and H. B. Nielsen","Standard Model Couplings with $\alpha^{-1}=137 \pm 9$ from Multiple
  Point Criticality and 3 Generations of Gauge Bosons: No GUT, No SUSY","uuencoded 4 page LaTeX file, uses stwol.sty; published in Proceedings
  of 28th International Conference on High Energy Physics (ICHEP 96), Warsaw:
  1646-1649",,,,"hep-ph",,"  We consider the application of the Multiple Point Criticality Principle to
the Standard Model and its extension to the anti-grand gauge group $SMG^3
\otimes U(1)_f$ at the Planck scale. In particular we discuss the predictions
for the fine structure constants: $\alpha^{-1}(0) = 137 \pm 9$,
$\alpha^{-1}_{1}(M_Z) =99 \pm 5$, $\alpha^{-1}_{2}(M_Z) =29 \pm 6$,
$\alpha^{-1}_{3}(M_Z) =12 \pm 6$. We also present our Standard Model
predictions for the top quark and Higgs masses and a $SMG^3 \otimes U(1)_f$ fit
of the quark-lepton masses and mixing angles. We characterise $SMG^3 \otimes
U(1)_f$ as the largest possible extension of the Standard Model gauge group
satisfying some relatively simple assumptions. The resolution of some other
fine-tuning problems ($\Lambda_{cosmological}$, $\Theta_{QCD}$, $M_{Higgs}$) by
the multiple point requirement of degenerate vacua is briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 11:36:24 GMT""}]","2007-05-23"
"hep-ph/9707235","Apostolos Pilaftsis","Apostolos Pilaftsis (MPI, Munich)","CP Violation and Baryogenesis due to Heavy Majorana Neutrinos","46 pages, LaTeX, 4 encapsulated figures included","Phys.Rev.D56:5431-5451,1997","10.1103/PhysRevD.56.5431","MPI-PhT/97-30","hep-ph",,"  We analyze the scenario of baryogenesis through leptogenesis induced by the
out-of-equilibrium decays of heavy Majorana neutrinos and pay special attention
to CP violation. Extending a recently proposed resummation formalism for
two-fermion mixing to decay amplitudes, we calculate the resonant phenomenon of
CP violation due to the mixing of two nearly degenerate heavy Majorana
neutrinos. Solving numerically the relevant Boltzmann equations, we find that
the isosinglet Majorana mass may range from 1 TeV up to the grand unification
scale, depending on the mechanism of CP violation and/or the flavour structure
of the neutrino mass matrix assumed. Finite temperature effects and possible
constraints from the electric dipole moment of electron and other low-energy
experiments are briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 12:07:40 GMT""}]","2014-11-17"
"hep-ph/9707236","Theodore Tomaras","T.N. Tomaras","Metastable Defects in the Generic 2HSM","Latex file, 6 pages. To appear in the Proceedings of the XXXII-th
  Rencontres de Moriond, ""Electroweak Interactions and Unified Theories"", Les
  Arcs, France; March 15-22, 1997",,,,"hep-ph",,"  A new kind of classically stable static solitons called metastable
quasi-topological defects (MQTD) and a systematic method to search for them is
presented, with examples from realistic particle physics models. They are
characterized by a topological winding number, which is not absolutely
conserved so that the MQTD may be converted to radiation by quantum mecanical
tunneling. The two-Higgs standard model (2HSM) supports the existence of
classically stable membranes for Higgs masses consistent with present day
phenomenology and with perturbative unitarity, as well as with loop corrected
MSSM. We also comment upon the possibility of metastable strings in the generic
2HSM.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 12:08:44 GMT""}]","2016-09-06"
"hep-ph/9707237","Massimo Scorletti","M. Scorletti","Evolution equations and angular ordering at small x","10 pages, 4 postscript figures embedded, LaTeX with sprocl.sty and
  epsfig.sty. Talk given at the ""Conference on Perspectives in Hadronic
  Physics"", Trieste, 12-16 May 1997",,,"IFUM 574-FT","hep-ph",,"  This talks examines the effect of angular ordering on the small-x evolution
of the unintegrated gluon distribution, and discusses the characteristic
function for the CCFM equation.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 13:20:34 GMT""}]","2007-05-23"
"hep-ph/9707238","Jeffrey Forshaw","J.R. Forshaw (University of Manchester)","Photon '97: Theory Summary","15 pages. To appear in the proceedings of the ""Photon '97""
  conference, Egmond aan Zee, The Netherlands, May 1997",,,"MC-TH-97/11","hep-ph",,"  Some recent developments in the physics of photon induced reactions are
discussed. My presentation is biased towards HERA physics with the other
summary talk (of David Miller) being biased towards the gamma-gamma topics.
Within the context of the data which were presented, I concentrate upon the the
following topics: diffraction; jets; prompt photons; open charm and charmonium.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 14:01:52 GMT""}]","2007-05-23"
"hep-ph/9707239","A. Kundu","Amitava Datta, Aseshkrishna Datta (Jadavpur U.), Anirban Kundu,
  Biswarup Mukhopadhyaya and Sourov Roy (Mehta Research Inst.)","Testing Gauge-Gravitino Coupling in Gauge-Mediated Supersymmetry
  Breaking Through Single Photon Events","Revised version to be published in Physics Letters B. Some minor
  changes were made","Phys.Lett. B416 (1998) 117-122","10.1016/S0370-2693(97)01297-5","MRI-PHY/P970615","hep-ph",,"  We show that the process $e^+e^- \to \gamma+$ missing energy, arising from
the pair production of neutralinos, can probe the $\gamma-\tilde\gamma-
\gravitino$ as well as the $Z-\tilde Z-\gravitino$ couplings in Gauge Mediated
Supersymmetry Breaking models. This enables one to study the mutual
relationship of the Goldstino couplings of the different gauginos, a feature
whose testability has not been emphasized so far. The Standard Model
backgrounds get suppresed with the use of a right polarized electron beam. The
energy and angular distribution of the emitted photon can distinguish such
models from the minimal supersymmetric theory and its variants.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 14:21:51 GMT""},{""version"":""v2"",""created"":""Mon, 27 Oct 1997 07:06:54 GMT""}]","2009-10-30"
"hep-th/9707035","Theory Group Member","Geon Hyoung Lee and Jae Hyung Yee","Perturbative Expansion around the Gaussian Effective Action: The
  Background Field Method","16 pages, 3 eps figures, uses RevTeX and epsf. Errors in Table 1 are
  corrected and new references are added","Phys. Rev. D 56, 6573 (1997)","10.1103/PhysRevD.56.6573",,"hep-th",,"  We develop a systematic method of the perturbative expansion around the
Gaussian effective action based on the background field method. We show, by
applying the method to the quantum mechanical anharmonic oscillator problem,
that even the first non-trivial correction terms greatly improve the Gaussian
approximation.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 20:41:30 GMT""},{""version"":""v2"",""created"":""Thu, 3 Jul 1997 03:23:05 GMT""},{""version"":""v3"",""created"":""Thu, 21 Aug 1997 09:09:24 GMT""}]","2016-08-25"
"hep-th/9707036",,"Fiorenzo Bastianelli, Olindo Corradini","'t Hooft Anomaly Matching Conditions for Generalized Symmetries in 2D","10 pages, TeX, corrected minor misprints in text and references","Phys.Lett. B413 (1997) 349-354","10.1016/S0370-2693(97)01107-6",,"hep-th",,"  The 't Hooft anomaly matching conditions are a standard tool to study and
test non-perturbative issues in quantum field theory. We give a new, simple
proof of the anomaly matching conditions in 2D Poincare` invariant theories. We
consider the case of invariance under a large class of generalized symmetries,
which include abelian and non-abelian internal symmetries, space-time
symmetries generated by the stress tensor, and W-type of symmetries generated
by higher spin currents.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 22:08:07 GMT""},{""version"":""v2"",""created"":""Wed, 3 Sep 1997 11:46:11 GMT""}]","2009-10-30"
"hep-th/9707037","Gabriel German","G. German (Instituto de Fisica, UNAM), Yu Jiang (Facultad de Ciencias,
  UAEM)","On quark mass correction to the string potential","15 pages LaTeX. 8 figures. Uses revtex.sty","Eur.Phys.J.C8:689-695,1999","10.1007/s100520050505",,"hep-th",,"  Following recent work by Lambiase and Nesterenko we study in detail the
interquark potential for a Nambu-Goto string with point masses attached to its
ends. We obtain exact solutions to the gap equations for the Lagrange
multipliers and metric components and determine the potential without
simplifying assumptions. We also discuss L\""{u}scher term and argue that it
remains universal.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 23:27:59 GMT""},{""version"":""v2"",""created"":""Thu, 3 Jul 1997 01:40:58 GMT""}]","2011-09-13"
"hep-th/9707038","Y. M. Cho","Y. M. Cho and Kyoungtae Kimm","Finite Energy Electroweak Monopoles","22 pages, LaTeX, 5 figures",,,"APCTP-97-12, SNUTP-97-065","hep-th",,"  We present finite energy analytic monopole and dyon solutions whose size is
fixed by the electroweak scale. The new solutions are obtained by regularizing
the recent Cho-Maison solutions of the Weinberg-Salam model. Our result shows
that genuine electroweak monopole and dyon could exist whose mass scale is much
smaller than the grand unification scale.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 06:06:13 GMT""}]","2007-05-23"
