"alg-geom/9707015","Arnaud Beauville","Arnaud Beauville","Fano contact manifolds and nilpotent orbits","Plain TeX. Postscript file available at
  http://www..dmi.ens.fr/users/beauvill/",,,,"alg-geom math.AG",,"  A contact structure on a complex manifold M is a corank 1 subbundle F of T(M)
such that the bilinear form on F with values in the quotient line bundle
L=T(M)/F deduced from the Lie bracket of vector fields is everywhere
non-degenerate. In this paper we consider the case where M is a Fano manifold;
this implies that L is ample. If g is a simple Lie algebra, the unique closed
orbit in P(g) (for the adjoint action) is a Fano contact manifold; it is
conjectured that every Fano contact manifold is obtained in this way. A
positive answer would imply an analogous result for compact quaternion-Kahler
manifolds with positive scalar curvature, a longstanding question in Riemannian
geometry. In this paper we solve the conjecture under the additional
assumptions that the group of contact automorphisms of M is reductive, and that
the image of the rational map M - - -> P(H0(M,L)*) associated to L has maximum
dimension. The proof relies on the properties of the nilpotent orbits in a
semi-simple Lie algebra, in particular on the work of R. Brylinski and B.
Kostant.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 08:02:40 GMT""}]","2008-02-03"
"cond-mat/9707252","Vincenzo Fiorentini","Fabio Bernardini and Vincenzo Fiorentini (Cagliari), David Vanderbilt
  (Rutgers)","Polarization-based calculation of the dielectric tensor of polar
  crystals","RevTeX 4 pages, no figures, numbering error corrected",,"10.1103/PhysRevLett.79.3958",,"cond-mat.mtrl-sci",,"  We present a novel method for the calculation of the static and electronic
dielectric tensor of polar insulating crystals based on concepts from the
modern theory of dielectric polarization. As an application, we present the
first ab initio calculation of the dielectric constants in the wurtzite III-V
nitrides AlN, GaN, and InN.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 22:51:58 GMT""},{""version"":""v2"",""created"":""Tue, 12 Aug 1997 12:53:32 GMT""}]","2009-10-30"
"cond-mat/9707253","Hal Tasaki","Hal Tasaki","From Quantum Dynamics to the Canonical Distribution: General Picture and
  a Rigorous Example","LaTeX, 8 pages, no figures. The title, abstract and some discussions
  are modified to stress physical motivation of the work. References are added
  to [2]. This version will appear in Phys. Rev. Lett. There is an accompanying
  unpublished note (cond-mat/9707255)",,"10.1103/PhysRevLett.80.1373",,"cond-mat.stat-mech",,"  Derivation of the canonical (or Boltzmann) distribution based only on quantum
dynamics is discussed. Consider a closed system which consists of mutually
interacting subsystem and heat bath, and assume that the whole system is
initially in a pure state (which can be far from equilibrium) with small energy
fluctuation. Under the ""hypothesis of equal weights for eigenstates"", we derive
the canonical distribution in the sense that, at sufficiently large and typical
time, the (instantaneous) quantum mechanical expectation value of an arbitrary
operator of the subsystem is almost equal to the desired canonical expectation
value. We present a class of examples in which the above derivation can be
rigorously established without any unproven hypotheses.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 02:25:55 GMT""},{""version"":""v2"",""created"":""Fri, 25 Jul 1997 06:14:23 GMT""},{""version"":""v3"",""created"":""Fri, 19 Dec 1997 00:56:38 GMT""}]","2009-10-30"
"cond-mat/9707254","Jeong-Man Park","Michael W. Deem and Jeong-Man Park (UCLA)","The Effect of Static Disorder and Reactant Segregation on the $A + B \to
  \emptyset$ Reaction","REVTEX, 5 pages (with 3 figures). More contents and discussion added.
  To appear in Phys. Rev. E (March, 1998)",,"10.1103/PhysRevE.57.2681",,"cond-mat.stat-mech",,"  We derive the long-time behavior of the ${A} + {B}
  \to \emptyset$ reaction in two dimensions, finding a universal exponent and
prefactor in the absence of disorder. Sufficiently singular disorder leads to a
(sub)diffusion-limited reaction and a continuously variable decay exponent.
Pattern matching between the reactant segregation and the disorder is not
strong enough to affect the long-time decay.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 03:44:39 GMT""},{""version"":""v2"",""created"":""Thu, 12 Feb 1998 04:35:23 GMT""}]","2009-10-30"
"cond-mat/9707255","Hal Tasaki","Hal Tasaki","Note on ""From Quantum Dynamics to the Canonical Distribution: A Rigorous
  Derivation in Special Models""","LaTeX, 30 pages, no figures",,,,"cond-mat.stat-mech",,"  This is a note associated with my paper ""From Quantum Dynamics to the
Canonical Distribution: A Rigorous Derivation in Special Models""
(cond-mat/9707253). Here I describe all the technical details which are not
discussed in the main paper.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 06:19:16 GMT""}]","2008-02-03"
"cond-mat/9707257","T. Scheidsteger","T. Scheidsteger, H. Urbschat, R. B. Griffiths, H. J. Schellnhuber","The Exact Ground State of the Frenkel-Kontorova Model with Repeated
  Parabolic Potential: II. Numerical Treatment","9 RevTeX pages, using AMS-Fonts (amssym.tex,amssym.def), 3 Postscript
  figures, accepted by Phys.Rev.B to be published together with
  cond-mat/9707227","Phys. Rev. B56, 8631-8637 (1997)","10.1103/PhysRevB.56.8631",,"cond-mat.stat-mech chao-dyn nlin.CD nlin.SI solv-int",,"  A procedure is described for efficiently finding the ground state energy and
configuration for a Frenkel-Kontorova model in a periodic potential, consisting
of N parabolic segments of identical curvature in each period, through a
numerical solution of the convex minimization problem described in the
preceding paper. The key elements are the use of subdifferentials to describe
the structure of the minimization problem; an intuitive picture of how to solve
it, based on motion of quasiparticles; and a fast linear optimization method
with a reduced memory requirement. The procedure has been tested for N up to
200.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 11:39:19 GMT""},{""version"":""v2"",""created"":""Tue, 29 Jul 1997 16:06:48 GMT""}]","2009-10-30"
"cond-mat/9707258","Bart. Partoens","A. Gonzalez (1 and 2), B. Partoens (3), F. M. Peeters (3) ((1)
  Universidad Nacional, Medellin, Colombia, (2) Instituto de Cibernetica,
  Matematica y Fisica, Habana, Cuba, (3) Univ. of Antwerp (UIA), Belgium)","Pade approximants for the ground-state energy of closed-shell quantum
  dots","4 pages, RevTeX, 3 ps figures","Phys. Rev. B 56 (1997) 15740-43","10.1103/PhysRevB.56.15740",,"cond-mat",,"  Analytic approximations to the ground-state energy of closed-shell quantum
dots (number of electrons from 2 to 210) are presented in the form of two-point
Pade approximants. These Pade approximants are constructed from the small- and
large-density limits of the energy. We estimated that the maximum error,
reached for intermediate densities, is less than 3%. Within the present
approximation the ground-state is found to be unpolarized.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 11:30:45 GMT""}]","2009-10-30"
"cond-mat/9707259","Pierpaolo Bruscolini","Pierpaolo Bruscolini","A coarse-grained, ``realistic'' model for Protein Folding","21 pages, 5 Postscript figures, RevTex; to be published in J. Chem.
  Phys",,"10.1063/1.474991",,"cond-mat.soft q-bio",,"  A phenomenological model hamiltonian to describe the folding of a protein
with any given sequence is proposed. The protein is thought of as a collection
of pieces of helices; as a consequence its configuration space increases with
the number of secondary structure elements rather than with the number of
residues. The hamiltonian presents both local (i.e. single helix, accounting
for the stiffness of the chain) and non local (interactions between
hydrophobically-charged helices) terms, and is expected to provide a first tool
for studying the folding of real proteins. The partition function for a
simplified, but by no means trivial, version of the model is calculated almost
completely in an analytical way. The latter simplified model is also applied to
the study of a synthetic protein, and some preliminary results are shown.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 14:11:13 GMT""}]","2009-10-30"
"cond-mat/9707303","Werner Hanke","O. Schmitt, H. Endres, W. Hanke, R. Kleiner and P. Mueller","A microscopic model for the intrinsic Josephson tunneling in high-T_C
  superconductors","11 pages, Rev-Tex, 8 figures",,,,"cond-mat.str-el cond-mat.supr-con",,"  A quantitative analysis of a microscopic model for the intrinsic Josephson
effect in high-temperature superconductors based on interlayer tunneling is
presented. The pairing correlations in the CuO_2-planes are modelled by a 2-D
Hubbard-model with attractive interaction, a model which accounts well for some
of the observed features such as the short planar coherence length. The stack
of Hubbard planes is arranged on a torus, which is threaded by a magnetic flux.
The current perpendicular to the planes is calculated as a function of applied
flux (i. e. the phase), and -- after careful elimination of finite-size effects
due to single-particle tunneling -- found to display a sinusoidal field
dependence in accordance with interlayer Josephson tunneling. Studies of the
temperature dependence of the supercurrent reveal at best a mild elevation of
the Josephson transition temperature compared to the planar Kosterlitz-Thouless
temperature. These and other results on the dependence of the model parameters
are compared with a standard BCS evaluation.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 12:37:03 GMT""}]","2008-02-03"
"dg-ga/9707017","Lars Andersson","L. Andersson, M. Dahl","Scalar Curvature Rigidity for asymptotically locally hyperbolic
  manifolds","ams-latex, using amscd, to appear in Ann. Global. Anal. Geom","Ann. Global Anal. Geom. 16 (1998), no. 1, 1-27","10.1023/A:1006547905892",,"dg-ga math.DG",,"  Rigidity results for asymptotically locally hyperbolic manifolds with lower
bounds on scalar curvature are proved using spinor methods related to the
Witten proof of the positive mass theorem. The argument is based on a study of
the Dirac operator defined with respect to the Killing connection. The
existence of asymptotic Killing spinors is related to the spin structure on the
end. The expression for the mass is calculated and proven to vanish for
conformally compact Einstein manifolds with conformal boundary a spherical
space form, giving rigidity. In the 4-dimensional case, the signature of the
manifold is related to the spin structure on the end and explicit formulas for
the relevant invariants are given.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 15:50:25 GMT""}]","2011-07-21"
"gr-qc/9707051","Fernando C. Lombardo","Luca Bombelli, Fernando C. Lombardo and Mario Castagnino","Chaos in Robertson-Walker Cosmology","16 pages, Tex, no figures. Minor changes have been added. To appear
  in Journal of Mathematical Physics","J.Math.Phys. 39 (1998) 6040-6050","10.1063/1.532612",,"gr-qc hep-th",,"  Chaos in Robertson-Walker cosmological models where gravity is coupled to one
or more scalar fields has been studied by a few authors, mostly using numerical
simulations. In this paper we begin a systematic study of the analytical
aspect. We consider one conformally coupled scalar field and, using the fact
that the model is integrable when the field is massless, we show in detail how
homoclinic chaos arises for nonzero masses using a perturbative method.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 17:01:09 GMT""},{""version"":""v2"",""created"":""Thu, 21 May 1998 14:21:55 GMT""}]","2009-10-30"
"hep-ex/9707035","Jochen Schwiening","J. Schwiening (for the BaBar DIRC Collaboration)","DIRC, the Internally Reflecting Ring Imaging Cherenkov Detektor for
  BaBar: Properties of the Quartz Radiators","4 pp. Contributed to the 7th ICFA School on Instrumentation in
  Elementary Particle Physics, Leon, Guanajuato, Mexico, 7-19 Jul 1997",,"10.1063/1.55065","SLAC-PUB-7602","hep-ex",,"  The DIRC is a Cherenkov imaging detector based on total internal reflection
for the BaBar detector at PEP-II. The principles of the DIRC ring imaging
Cherenkov technique are explained and its choice for the BaBar detector
particle identification system is motivated. The detector design and the status
of the R&D are discussed. Results of the measurement of the optical properties
and radiation damage of the the radiators, long rectangular bars made of
synthetic fused silica, are presented.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 21:41:59 GMT""}]","2009-10-30"
"hep-ph/9707441","Markus Diehl","M. Diehl","Theory of elastic vector meson production: some recent developments","12 pages, LaTeX2e, 3 figures included using epsf.sty. Talk given at
  the Ringberg Workshop on New Trends in HERA Physics, Ringberg Castle,
  Germany, 25-30 May 1997",,,"CPT-PC549-0797","hep-ph",,"  I review some recent developments in the QCD description of elastic vector
meson production, focusing on issues like the meson wave function, the gluon
density in the proton, factorisation, the use of parton-hadron duality and the
nonperturbative vacuum.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 16:21:04 GMT""}]","2007-05-23"
"hep-ph/9707442","Ann E. Nelson","Ann E. Nelson","Dynamical Supersymmetry Breaking","5 pages. invited talk given at SUSY97, May27-31, 1997, University of
  Pennsylvania","Nucl.Phys.Proc.Suppl. 62 (1998) 261-265","10.1016/S0920-5632(97)00666-X","UW-PT/97-20","hep-ph",,"  I review the motivation for dynamical supersymmetry breaking, the various
mechanisms which have been discovered, and the prospects for model building.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 18:01:23 GMT""}]","2009-10-30"
"hep-ph/9707444","Davison E. Soper","S.J. Brodsky, F. Hautmann, and D.E. Soper","BFKL Scattering at LEPII and a Next e+ e- Collider","Based on talks by D.E. Soper at DIS97 and by F. Hautmann at Photon97.
  Six pages with four figures",,"10.1063/1.53626","OITS635, SLAC-PUB-7601","hep-ph",,"  We discuss virtual photon scattering in the region dominated by BFKL exchange
and report results for the cross sections at present and future e+ e-
colliders.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 21:17:18 GMT""}]","2009-10-30"
"hep-ph/9707446","Junpei Fujimoto","M. Kuroda","Algorithm for the Fermionic Lines in GRACE-SUSY","24 pages, TeX with psfig.sty. The original version is published in
  Meiji Gakuin Ronso, 594(1997)1",,,"KEK-CP057","hep-ph",,"  Algorithm of constructing Feynman amplitudes in the framework of minimal
supersymmetic extension of the standard model is presented, which can be easily
implemented in GRACE, the program of automatic generation of Feynman
amplitudes. The equivalence of our method with the prescription given by Denner
et al. is proved.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 08:46:49 GMT""}]","2007-05-23"
"hep-ph/9707447","Hubert Spiesberger","D. Schildknecht and H. Spiesberger (Fakultaet fuer Physik,
  Universitaet Bielefeld)","Generalized Vector Dominance and low x inelastic electron-proton
  scattering","12 pages, LaTex with postscript figures included",,,"BI-TP 97/25","hep-ph",,"  The HERA data on inelastic lepton proton scattering for values of the Bjorken
scaling variable x < 0.05 are confronted with predictions based on Generalized
Vector Dominance. Good agreement between theory and experiment is found over
the full kinematic range of the squared four-momentum-transfer, Q^2, from Q^2 =
0 (photoproduction) to Q^2 < 350 GeV^2.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 12:28:24 GMT""}]","2007-05-23"
"hep-ph/9707449","Michael Kraemer","Michael Kr\""amer (RAL)","Inclusive $J/\psi$ photoproduction at HERA","LaTeX, 10 pages, 3 figures; uses epsf style. Talk presented at the
  Ringberg Workshop ``New Trends in HERA Physics'', Castle Ringberg, Tegernsee,
  Germany, 25-30 May 1997, to appear in the proceedings",,,"RAL-P-97-007","hep-ph",,"  I discuss the impact of color-octet contributions to inclusive $J/\psi$
photoproduction at HERA. Emphasis is put on resolved photon processes and on
$J/\psi$ polarization, which will be experimentally accessible at HERA in the
near future. Both analyses provide a powerful test of the NRQCD factorization
approach to charmonium production.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 15:13:45 GMT""}]","2007-05-23"
"hep-ph/9707450","Christopher Kolda","Christopher Kolda (Institute for Advanced Study, Princeton)","Gauge-Mediated Supersymmetry Breaking: Introduction, Review and Update","Talk given at the 5th International Conference on Supersymmetries in
  Physics (SUSY-97), Philadelphia, PA, May 27-31, 1997. 10 pages LaTeX.
  Requires espcrc2.sty file","Nucl.Phys.Proc.Suppl. 62 (1998) 266-275","10.1016/S0920-5632(97)00667-1","IASSNS-HEP-97/90","hep-ph",,"  Recent progress in the gauge-mediated supersymmetry breaking is reviewed,
with emphasis on the theoretical problems which gauge-mediated models so
successfully solve, as well as those problems which are endemic to the models
themselves and still beguile theorists today.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 15:38:11 GMT""}]","2009-10-30"
"hep-th/9707192",,"Amihay Hanany and Kentaro Hori","Branes and N=2 Theories in Two Dimensions","70 pages, LaTeX, 13 figures. Minor changes, references added","Nucl.Phys.B513:119-174,1998","10.1016/S0550-3213(97)00754-2","IASSNS-HEP-97/81, UCB-PTH-97/39, LBNL-40571","hep-th",,"  Type IIA brane configurations are used to construct N=2 supersymmetric gauge
theories in two dimensions. Using localization of chiral multiplets in
ten-dimensional spacetime, supersymmetric non-linear sigma models with target
space such as $\CP^{n-1}$ and the Grassmann manifolds are studied in detail.
The quantum properties of these models are realized in $M$ theory by taking the
strong Type IIA coupling limit. The brane picture implies an equivalence
between the parameter space of N=2 supersymmetric theories in two dimensions
and the moduli space of vacua of N=2 supersymmetric gauge theories in four
dimensions. Effects like level-rank duality are interpreted in the brane
picture as continuation past infinite coupling. The BPS solitons of the
$\CP^{n-1}$ model are identified as topological excitations of a membrane and
their masses are computed. This provides the brane realization of higher rank
tensor representations of the flavor group.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 21:08:40 GMT""},{""version"":""v2"",""created"":""Sun, 17 Aug 1997 23:33:00 GMT""}]","2014-11-18"
"hep-th/9707194","Ctirad Klimcik","C. Klimcik","Poisson-Lie T-duality and (1,1) supersymmetry","12 pages, LaTeX,(one reference corrected)","Phys.Lett. B414 (1997) 85-91","10.1016/S0370-2693(97)01135-0","IHES/P/97/58","hep-th",,"  A duality invariant action for (1,1) supersymmetric extension of Poisson-Lie
dualizable $\sigma$-models is constructed.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 21:45:05 GMT""},{""version"":""v2"",""created"":""Tue, 29 Jul 1997 07:28:23 GMT""}]","2009-10-30"
"hep-th/9707195","Rainer Dick","Rainer Dick","The string scale and the Planck scale","6 pages, REVTeX (preprint style)",,,"LMU-TPW-97/19","hep-th",,"  A particle spectrum below the string scale in accordance with predictions
from heterotic string theory yields a Planck mass $m_{Pl}=(8\pi G_N)^{-1/2}$
which exceeds the string scale by a factor $\simeq 61.9$. A Planck mass
$m_{Pl}=2.43\times 10^{18}$ GeV then corresponds to a string scale
$m_s=3.9\times 10^{16}$ GeV. Such a low value for the string scale in turn
implies that the relative strength of graviton and vector exchange in the
string/M-theory phase exceeds the corresponding ratio in the low energy field
theory.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 22:50:53 GMT""}]","2007-05-23"
"hep-th/9707196",,"Chien-Hao Liu, U.Miami-Physics","Remarks on the Geometry of Wick Rotation in QFT and its Localization on
  Manifolds","24 pages, 9 Postscript figures",,,"UMTG-192","hep-th",,"  The geometric aspect of Wick rotation in quantum field theory and its
localization on manifolds are explored. After the explanation of the notion and
its related geometric objects, we study the topology of the set of landing $W$
for Wick rotations and its natural stratification. These structures in two,
three, and four dimensions are computed explicitly. We then focus on more
details in two dimensions. In particular, we study the embedding of $W$ in the
ambient space of Wick rotations, the resolution of the generic metric
singularities of a Lorentzian surface $\Sigma$ by local Wick rotations, and
some related $S^1$-bundles over $\Sigma$.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 16:16:49 GMT""}]","2007-05-23"
"hep-th/9707198","Ralph Blumenhagen","Ralph Blumenhagen","Target Space Duality for (0,2) Compactifications","22 pages, TeX, harvmac, (minor changes, references added)","Nucl.Phys. B513 (1998) 573-590","10.1016/S0550-3213(97)00721-9","IASSNS-HEP-97/86","hep-th",,"  The moduli spaces of two (0,2) compactifications of the heterotic string can
share the same Landau-Ginzburg model even though at large radius they look
completely different. It was argued that such a pair of (0,2) models might be
connected via a perturbative transition at the Landau-Ginzburg point.
Situations of this kind are studied for some explicit models. By calculating
the exact dimensions of the generic moduli spaces at large radius, strong
indications are found in favor of a different scenario. The two moduli spaces
are isomorphic and complex, K\""ahler and bundle moduli get exchanged.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 19:09:50 GMT""},{""version"":""v2"",""created"":""Wed, 30 Jul 1997 20:50:16 GMT""}]","2009-10-30"
"hep-th/9707199","Gerardo Rossini","C.D.Fosco (1), G.L.Rossini (2,3) and F.A.Schaposnik (3) ((1) Centro
  Atomico Bariloche, Argentina (2) Massachusetts Institute of Technology, (3)
  Universidad Nacional de La Plata, Argentina)","Abelian and Non-Abelian Induced Parity Breaking Terms at Finite
  Temperature","13 pages, RevTeX, no figures","Phys.Rev.D56:6547-6555,1997","10.1103/PhysRevD.56.6547","MIT-CTP-2659, La Plata-Th 97/17","hep-th",,"  We compute the exact canonically induced parity breaking part of the
effective action for 2+1 massive fermions in particular Abelian and non Abelian
gauge field backgrounds. The method of computation resorts to the chiral
anomaly of the dimensionally reduced theory.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 19:24:02 GMT""}]","2014-11-18"
"hep-th/9707200","Kiyoshi Ezawa","K. Ezawa, Y. Matsuo and K. Murakami","Matrix Regularization of an Open Supermembrane ---towards M-theory
  five-branes via open supermembranes ---","30 pages, Latex, references and Appendix E added, some minor changes
  made","Phys.Rev. D57 (1998) 5118-5133","10.1103/PhysRevD.57.5118","UT-783, YITP-97-37","hep-th",,"  We study open supermembranes in 11 dimensional rigid superspace with 6
dimensional topological defects (M-theory five-branes). After rederiving in the
Green-Schwarz formalism the boundary conditions for open superstrings in the
type IIA theory, we determine the boundary conditions for open supermembranes
by imposing kappa symmetry and invariance under a fraction of 11 dimensional
supersymmetry. The result seems to imply the self-duality of the three-form
field strength on the five-brane world volume. We show that the light-cone
gauge formulation is regularized by a dimensional reduction of a 6 dimensional
N=1 super Yang-Mills theory with the gauge group SO(N\to\infty). We also
analyze the SUSY algebra and BPS states in the light-cone gauge.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 02:40:49 GMT""},{""version"":""v2"",""created"":""Wed, 30 Jul 1997 10:53:18 GMT""},{""version"":""v3"",""created"":""Wed, 26 Nov 1997 09:13:42 GMT""}]","2009-10-30"
"hep-th/9707201","Patrizia Vitale","G. Bimonte, R. Musto, A. Stern and P. Vitale","New Tetrads for General Relativity","Latex file, 14 pages, no figures. Major changes in text. Contribution
  to the proceedings of the conference ""Quantum Groups, Deformations and
  Contractions"" Istanbul 1997, to be published in Turkish Journal of Physics.
  Title changed in journal to ""The Quantum Poincare' Group as Hidden Symmetry
  of General Relativity""",,,"UAHEP 9712, DSF-34/97","hep-th gr-qc math.QA q-alg",,"  Using the tools of q--differential calculus and quantum Lie algebras
associated to quantum groups, we find a one--parameter family of q-gauge
theories associated to the quantum group $ISO_q(3,1)$. Although the gauge
fields, that is the spin--connection and the vierbeins are non--commuting
objects depending on a deformation parameter, $q$, it is possible to construct
out of them a metric theory which is insensitive to the deformation. The
Christoffel symbols and the Riemann tensor are ordinary commuting objects.
Hence it is argued that torsionless Einstein's General Relativity is the common
invariant sector of a one--parameter family of deformed gauge theories.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 13:25:12 GMT""},{""version"":""v2"",""created"":""Tue, 28 Apr 1998 15:33:27 GMT""}]","2008-02-03"
"hep-th/9707202","Fedele Lizzi","F. Lizzi and R.J. Szabo (Oxford)","Duality Symmetries and Noncommutative Geometry of String Spacetime","70 pages, Latex, No Figures. Typos and references corrected. Version
  to appear in Communications in Mathematical Physics","Commun.Math.Phys. 197 (1998) 667-712","10.1007/s002200050468","OUTP-97-22P, DSF/22-97","hep-th gr-qc math-ph math.MP math.QA q-alg",,"  We examine the structure of spacetime symmetries of toroidally compactified
string theory within the framework of noncommutative geometry. Following a
proposal of Frohlich and Gawedzki, we describe the noncommutative string
spacetime using a detailed algebraic construction of the vertex operator
algebra. We show that the spacetime duality and discrete worldsheet symmetries
of the string theory are a consequence of the existence of two independent
Dirac operators, arising from the chiral structure of the conformal field
theory. We demonstrate that these Dirac operators are also responsible for the
emergence of ordinary classical spacetime as a low-energy limit of the string
spacetime, and from this we establish a relationship between T-duality and
changes of spin structure of the target space manifold. We study the
automorphism group of the vertex operator algebra and show that spacetime
duality is naturally a gauge symmetry in this formalism. We show that classical
general covariance also becomes a gauge symmetry of the string spacetime. We
explore some larger symmetries of the algebra in the context of a universal
gauge group for string theory, and connect these symmetry groups with some of
the algebraic structures which arise in the mathematical theory of vertex
operator algebras, such as the Monster group. We also briefly describe how the
classical topology of spacetime is modified by the string theory, and calculate
the cohomology groups of the noncommutative spacetime. A self-contained,
pedagogical introduction to the techniques of noncommmutative geometry is also
included.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 11:00:30 GMT""},{""version"":""v2"",""created"":""Thu, 30 Apr 1998 17:57:37 GMT""}]","2009-10-30"
"hep-th/9707203","Riccardo D'auria","L. Andrianopoli, R. D'Auria and S. Ferrara","Flat Symplectic Bundles of N-Extended Supergravities, Central Charges
  and Black-Hole Entropy","Based on lectures given by S. Ferrara at the 5th Winter School on
  Mathematical Physics held at the Asia Pacific Center for Theoretical Physics,
  Seul (Korea), February 1997",,"10.1142/9789814447287_0007",,"hep-th",,"  In these lectures we give a geometrical formulation of N-extended
supergravities which generalizes N=2 special geometry of N=2 theories. In all
these theories duality symmetries are related to the notion of ""flat symplectic
bundles"" and central charges may be defined as ""sections"" over these bundles.
Attractor points giving rise to ""fixed scalars"" of the horizon geometry and
Bekenstein-Hawking entropy formula for extremal black-holes are discussed in
some details.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 14:21:02 GMT""}]","2016-10-26"
"hep-th/9707204","Clovis Wotzasek","E.M.C. de Abreu, R. Banerjee and C.Wotzasek","Bose Symmetry and Chiral Decomposition of 2D Fermionic Determinants","LaTex file, 17 pages, Ref.(5) corrected, final version to appear in
  Nucl. Phys. B","Nucl.Phys. B509 (1998) 519-528","10.1016/S0550-3213(97)00677-9",,"hep-th",,"  We show in a precise way, either in the fermionic or its bosonized version,
that Bose symmetry provides a systematic way to carry out the chiral
decomposition of the two dimensional fermionic determinant. Interpreted
properly, we show that there is no obstruction of this decomposition to gauge
invariance, as is usually claimed. Finally, a new way of interpreting the
Polyakov-Wiegman identity is proposed.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 14:28:16 GMT""},{""version"":""v2"",""created"":""Wed, 30 Jul 1997 19:53:03 GMT""},{""version"":""v3"",""created"":""Mon, 27 Oct 1997 22:00:23 GMT""},{""version"":""v4"",""created"":""Thu, 30 Oct 1997 00:15:21 GMT""}]","2009-10-30"
"hep-th/9707205","Katsuyuki Sugiyama","Yuji Sugawara, Katsuyuki Sugiyama","D-brane Analyses for BPS Mass Spectra and U-duality","44 pages, Latex, 9 figures (eps. files), Analyses based on M-theory
  are added. final version to appear in Nucl. Phys. B","Nucl.Phys. B522 (1998) 158-192","10.1016/S0550-3213(98)00265-X","UT-781, KUCP-0109","hep-th",,"  We give a confirmation of U-duality of type II superstring by discussing mass
spectrum of the BPS states. We first evaluate the mass spectrum of BPS solitons
with one kind of R-R charges. Our analysis is based on the 1-loop effective
action of D-brane, which is known as ``Dirac-Born-Infeld (DBI) action'', and
the fact that BPS states correspond to the SUSY cycles with minimal volumes. We
show the mass formula derived in this manner is completely fitted with that
given by U-duality. We further discuss the cases of BPS solitons possessing
several kinds of R-R charges. These are cases of ``intersecting D-branes'',
which cannot be described by simple DBI actions. We claim that, in these cases,
higher loop corrections should be incorporated as binding energies between the
branes. It is remarkable that the summation of the contributions from all loops
reproduces the correct mass formula predicted by U-duality.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 15:10:59 GMT""},{""version"":""v2"",""created"":""Mon, 6 Apr 1998 08:52:40 GMT""}]","2009-10-30"
"math/9707206","Carsten Butz","Steve Awodey and Carsten Butz","Topological Completeness for Higher-Order Logic",,,,"Logic E-prints July 24, 1997","math.LO math.CT",,"  Using recent results in topos theory, two systems of higher-order logic are
shown to be complete with respect to sheaf models over topological
spaces---so-called ``topological semantics''. The first is classical
higher-order logic, with relational quantification of finitely high type; the
second system is a predicative fragment thereof with quantification over
functions between types, but not over arbitrary relations. The second theorem
applies to intuitionistic as well as classical logic.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 00:00:00 GMT""}]","2023-03-31"
"nucl-th/9707040","Gerald A. Miller","Gerald A. Miller (Univ. of Washington, Seattle)","Color Transparency - Color Coherent Effects in Nuclear Physics","Text of invited talk given at the 1997 meeting of Intersections
  Between Particle and Nuclear Physics, 7 pages, 1 figure","AIPConf.Proc.412:621-627,1997","10.1063/1.54356","DOE/ER/41014-26-N97","nucl-th hep-ph",,"  Efforts to observe color transparency in the reactions: (e,e'p), (p,pp) and
coherent nuclear diffractive dissociation of pions into two jets are reviewed.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 23:44:17 GMT""}]","2009-10-30"
