"adap-org/9707004","Damian Zanette","D.H. Zanette and A.S. Mikhailov (Fritz-Haber-Institut der
  Max-Planck-Gesellschaft)","Condensation in Globally Coupled Populations of Chaotic Dynamical
  Systems","11 pages, 4 figures, revtex",,"10.1103/PhysRevE.57.276",,"adap-org nlin.AO",,"  The condensation transition, leading to complete mutual synchronization in
large populations of globally coupled chaotic Roessler oscillators, is
investigated. Statistical properties of this transition and the cluster
structure of partially condensed states are analyzed.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 17:50:27 GMT""}]","2009-10-30"
"dg-ga/9707016","Alexander I. Suciu","Ivan K. Babenko, Mikhail G. Katz and Alexander I. Suciu","Volumes, middle-dimensional systoles, and Whitehead products","LaTeX2e, 11 pages. Revised version, to appear in Math. Research
  Letters","Mathematical Research Letters 5 (1998), no. 4, 461-471",,,"dg-ga math.AT math.DG",,"  Let X be a closed manifold of dimension 2m >= 6 with torsion-free
middle-dimensional homology. We construct metrics on X of arbitrarily small
volume, such that every middle-dimensional submanifold of less than unit volume
necessarily bounds. Thus, Loewner's theorem has no higher-dimensional analogue.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 19:07:25 GMT""},{""version"":""v2"",""created"":""Mon, 6 Jul 1998 05:03:03 GMT""}]","2008-02-03"
"gr-qc/9707050","Carsten Gundlach","Carsten Gundlach (Albert Einstein Institut, Potsdam)","Pseudo-spectral apparent horizon finders: an efficient new algorithm","17 pages, Revtex, 2 figures. Conclusions expanded. Source code to be
  made public. Accepted for Phys. Rev. D","Phys.Rev. D57 (1998) 863-875","10.1103/PhysRevD.57.863",,"gr-qc",,"  We review the problem of finding an apparent horizon in Cauchy data (Sigma,
g_ab, K_ab) in three space dimensions without symmetries. We describe a family
of algorithms which includes the pseudo-spectral apparent horizon finder of
Nakamura et al. and the curvature flow method proposed by Tod as special cases.
We suggest that other algorithms in the family may combine the speed of the
former with the robustness of the latter. A numerical implementation for Cauchy
data given on a grid in Cartesian coordinates is described, and tested on
Brill-Lindquist and Kerr initial data. The new algorithm appears faster and
more robust than previous ones.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 09:47:01 GMT""},{""version"":""v2"",""created"":""Mon, 20 Oct 1997 13:10:52 GMT""}]","2009-10-30"
"hep-ex/9707034","Leslie Groer","Leslie S. Groer","Present Searches for Higgs Signatures at the Tevatron","11 pages, 15 figures","Proceedings for Hadron Collider Physics XII 1997 Conference, Stony
  Brook, June 5-11, 1997",,"FERMILAB-Conf-97/213-E","hep-ex",,"  We present results for various searches for signatures of standard and
non-standard model Higgs boson decays conducted at the collider detectors CDF
and DO using ~ 100 pb^-1 of integrated luminosity each from the Tevatron
Collider Run 1 (1992-96) at \sqrt{s} = 1.8 TeV. No evidence for a Higgs boson
decay is found and various limits are set.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 20:29:38 GMT""}]","2007-05-23"
"hep-lat/9707027","Dr N. Mavromatos","K. Farakos and N.E. Mavromatos","Dynamical Gauge Symmetry Breaking and Superconductivity in
  three-dimensional systems","17 pages Latex, 1 macro, three figures (included) (minor typo on page
  14 concerning the critical coupling of SU(2) corrected)","Mod.Phys.Lett. A13 (1998) 1019-1034","10.1142/S0217732398001091","NTUA-65/97, OUTP-97-36P","hep-lat cond-mat hep-th",,"  We discuss dynamical breaking of non-abelian gauge groups in three
dimensional (lattice) gauge systems via the formation of fermion condensates. A
physically relevant example, motivated by condensed-matter physics, is that of
a fermionic gauge theory with group $SU(2)\otimes U_S(1) \otimes U_{E}(1)$. In
the strong U_S(1) region, the SU(2) symmetry breaks down to a U(1), due to the
formation of a parity-invariant fermion condensate. We conjecture a phase
diagram for the theory involving a critical line, which separates the regions
of broken SU(2) symmetry from those where the symmetry is restored. In the
broken phase, the effective Abelian gauge theory is closely related to an
earlier model of two-dimensional parity-invariant superconductivity in doped
antiferromagnets. The superconductivity in the model occurs in the
Kosterlitz-Thouless mode, since strong phase fluctuations prevent the existence
of a local order parameter. Some physical consequences of the $SU(2) \times
U_S(1)$ phase diagram for the (doping-dependent) parameter space of this
condensed-matter model are briefly discussed.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 19:18:28 GMT""},{""version"":""v2"",""created"":""Wed, 23 Jul 1997 11:36:31 GMT""}]","2016-09-01"
"hep-ph/9707419","A. Dolgov","A.D. Dolgov","Baryogenesis, 30 Years after","30 pages, latex twice",,"10.1080/01422419808240874","TAC-1997-024","hep-ph astro-ph",,"  A review of the basic principles of baryogenesis is given. Baryogenesis in
heavy particle decays as well as electroweak, SUSY-condensate, and spontaneous
baryogenesis are discussed. The models of abundant creation of antimatter in
the universe are briefly reviewed.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 16:42:01 GMT""}]","2015-06-25"
"hep-ph/9707428","Alexander Kusenko","Alexander Kusenko (CERN) and Gino Segre (University of Pennsylvania)","Reply to Comment on ""Pulsar velocities and neutrino oscillations""","2 pages, no figures","Phys.Rev.Lett. 79 (1997) 2751-2752","10.1103/PhysRevLett.79.2751","CERN-TH/97-178","hep-ph astro-ph",,"  We have recently proposed an explanation for the birth velocities of pulsars
based on neutrino oscillations (hep-ph/9606428). One of the quantities, dN/dT,
was evaluated in the approximation of constant chemical potential for the
electrons. An alternative approximation based on the assumption Ye=const, used
by Qian (astro-ph/9705055), yields a somewhat higher prediction for the
magnetic field inside a neutron star. If the same input parameters are used,
the two approximations are in reasonable agreement, given the uncertainty in
the geometry of the magnetic field and the simplified picture of neutrino
emission that comes with the notion of a neutrinosphere.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 17:46:44 GMT""}]","2009-10-30"
"hep-ph/9707429","Vito Antonelli","V. Antonelli, E. Torrente Lujan","The solution to a multichannel Bethe potential and its application to
  pion-nucleus reactions","Title changed and other minor changes. 14pages, latex, no figures","Phys. Rev. A 58, 1980 (1998)","10.1103/PhysRevA.58.1980","BUTP-97/21","hep-ph nucl-ex nucl-th physics.atom-ph quant-ph",,"  We solve a radial Schr\""odinger equation for the case of a multichannel
square well plus an exponential potential in one of the channels. The solution
is obtained by summing exactly the infinite terms of the perturbative series
for the evolution operator of the system. Analytical expressions for the
scattering matrix and the scattering length are given, a Deser-like formula
which connects approximate ground energies and scattering length is obtained
for a particular case. Possible physical applications of these results are
discussed briefly.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 17:58:47 GMT""},{""version"":""v2"",""created"":""Tue, 17 Mar 1998 19:00:35 GMT""}]","2016-08-25"
"hep-ph/9707430","Michael Spira","A. Krause, T. Plehn, M. Spira and P.M. Zerwas","Production of Charged Higgs Boson Pairs in Gluon-Gluon Collisions","18 pages, latex, 6 figures","Nucl.Phys. B519 (1998) 85-100","10.1016/S0550-3213(98)00036-4","CERN-TH/97-137, DESY 96-254","hep-ph",,"  The search for charged Higgs bosons, which are predicted in supersymmetric
theories, is difficult at hadron colliders if the mass is large. In this paper
we present the theoretical set-up for the production of charged Higgs boson
pairs at the LHC in gluon-gluon collisions: $pp -> gg -> H^+ H^-$. When
established experimentally, the trilinear couplings between charged and neutral
CP-even Higgs bosons, $H^+ H^- h^0$ and $H^+ H^- H^0$, can be measured.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 18:22:45 GMT""}]","2009-10-30"
"hep-ph/9707431",,"Maxim Pospelov","CP-odd interaction of axion with matter","9 pages, latex","Phys.Rev.D58:097703,1998","10.1103/PhysRevD.58.097703","UQAM-PHE-97/04","hep-ph",,"  In the world with axion the precise measurement of gravitational force and
check of the equivalence principle at small distances, $\lambda\sim 1cm$ and
less, could provide an additional test of CP symmetry. Using the chiral
approach, we connect the strength of CP-odd axion-nucleon vertex with CP-odd
pion-nucleon coupling for color electric dipole moments of quarks as a low
energy source of CP violation. Strong limits on CP-odd coupling $g_{\pi NN}$
coming from atomic electric dipole moments show that gravitational experiments
are six orders of magnitude away from the sensitivity level needed to detect
axion-mediated forces.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 00:42:37 GMT""}]","2008-11-26"
"hep-ph/9707432","Deog Ki Hong","Deog Ki Hong (Pusan University)","Magnetic Catalysis in Quantum Electrodynamics","9 pages, RevTeX, 2 Postscript figures, uses epsf.sty","Phys.Rev. D57 (1998) 3759-3762","10.1103/PhysRevD.57.3759","SNUTP 97-053","hep-ph hep-th",,"  We derive the (Wilsonian) low energy effective Lagrangian for Quantum
Electrodynamics under external constant magnetic field by integrating out all
electrons except those in the lowest Landau level. We find the one-loop
effective Lagrangian contains a marginal four-Fermi interaction with anomalous
dimension, ${(\ln2)^2\over 2\pi^2}e^4$. Renormalization group analysis shows
that the four-Fermi interaction will break chiral symmetry in QED if the
external magnetic field is extremely strong, $B>10^{42}$ gauss, or if the
Landau gap, $\sqrt{|eB|}>6.5 \times 10^{10}$ GeV.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 15:31:26 GMT""}]","2009-10-30"
"hep-ph/9707433","Lin FengLi","Otto C. W. Kong (UNC-Chapel Hill) and Feng-Li Lin (Virginia Tech.)","On Radiative CP Violation in (Supersymmetric) Two Higgs Doublet Models","slight modifications, new versions of figures, version to be
  published in Phys. Lett. B","Phys.Lett. B419 (1998) 217-222","10.1016/S0370-2693(97)01450-0","IFP-742-UNC, VPI-IPPAP-97-5","hep-ph",,"  We discuss the feasibility of spontaneous CP violation being induced by
radiative corrections in 2HDM's, emphasizing on a consistent treatment at
1-loop level. Specifically, we analyze the cases of gaugino/higgsino effect on
MSSM, and a new model proposed here with an extra, exotic, quark doublet. The
latter model is phenomenologically interesting. One conclusion is that some
fine tuning is in general needed for the scenario to work. The case for the new
model requires a tree level mass mixing between the two Higgses, which fits in
the standard SUSY picture. The fine tuning requires is then very moderate in
magnitude and in a way natural.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 17:50:08 GMT""},{""version"":""v2"",""created"":""Fri, 25 Jul 1997 14:49:31 GMT""},{""version"":""v3"",""created"":""Thu, 20 Nov 1997 01:34:48 GMT""}]","2009-10-30"
"hep-ph/9707434",,"Fernando Quevedo","Superstring Phenomenology: An Overview","10 pages,latex,espcrc2","Nucl.Phys.Proc.Suppl. 62 (1998) 134-143","10.1016/S0920-5632(97)00650-6","IFUNAM FT97-11","hep-ph hep-th",,"  The different aspects of superstring phenomenology before and after 1995 are
briefly reviewed. (Contribution to the conference SUSY97)
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 23:06:35 GMT""}]","2009-10-30"
"hep-ph/9707435","Herbi Dreiner","Herbi Dreiner (Rutherford Laboratory)","An Introduction to Explicit R-Parity Violation","18 pages, LaTex. Requires AXODRAW.STY and SPROCL.STY. To be published
  in ""Perspectives on Supersymmetry"", Edited by G.L. Kane, World Scientific.
  Reference added",,"10.1007/BF02827485",,"hep-ph",,"  I discuss the theoretical motivations for R-parity violation, review the
experimental bounds and outline the main changes in collider phenomenology
compared to conserved R-parity. I briefly comment on the effects of R-parity
violation on cosmology.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 11:56:05 GMT""},{""version"":""v2"",""created"":""Thu, 24 Jul 1997 12:10:10 GMT""}]","2009-10-30"
"hep-ph/9707436","Steven Abel","Steven Abel and Ben Allanach","The Quasi-Fixed MSSM","19 Pages plain latex; includes 6 eps figures. References and comments
  added. Version to appear in Phys.Lett.B","Phys.Lett. B415 (1997) 371-382","10.1016/S0370-2693(97)01274-4","RAL-TR-97-032, ULB-TH-97/14","hep-ph",,"  The infra-red fixed points are determined for all the parameters of the MSSM.
They dominate the renormalisation group running when the top-Yukawa is in the
quasi-fixed point regime (i.e. large at the GUT scale). We examine this
behaviour analytically, by solving the full set of one-loop renormalisation
group equations in the approximation that the electroweak contributions are
negligible, and also numerically. We find the quasi-fixed points for the
top-quark trilinear couplings; A_{U_{\alpha 3}} = A_{U_{3\alpha}}=-0.59 m_g
independently of the input parameters at the unification scale. All the
remaining parameters are significantly focused towards their true fixed points
at the weak scale. We examine how this increases the predictivity of the MSSM
in this regime.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 12:40:20 GMT""},{""version"":""v2"",""created"":""Tue, 19 Aug 1997 10:40:32 GMT""},{""version"":""v3"",""created"":""Fri, 19 Sep 1997 14:51:40 GMT""}]","2009-10-30"
"hep-ph/9707437",,"W. Hollik, J. I. Illana, S. Rigolin, D. St\""ockinger (Institut f\""ur
  Theoretische Physik, Universit\""at Karlsruhe)","One-loop MSSM Contribution to the Weak Magnetic Dipole Moments of Heavy
  Fermions","14 pages, Latex, 4 eps and 1 ps figure, needs epsfig.sty. Minor
  changes, new references added. To be published in Phys. Lett. B","Phys.Lett.B416:345-352,1998","10.1016/S0370-2693(97)01259-8","KA-TP-11-1997, DFPD/97/28","hep-ph",,"  The MSSM predictions at the one-loop level for the weak-magnetic dipole
moments of the $\tau$ lepton and the $b$ quark are analysed. The entire
supersymmetric parameter space is scannedwith the usual GUT constraint and
common squark and slepton mass parameters. The real part of $a^W_\tau$ is
dominated by the chargino contribution, being the same order as the SM one or
even larger in the high $\tan\beta$ region whereas the imaginary part, due to
Higgs boson diagrams, is negligible comparedto the SM value. The real part
of$a^W_b$ is controlled mainly by charginos andalso by gluinos, when the mixing
in the bottom squark sector is large, to yield, for high $\tan\beta$, a
contribution one order of magnitude largerthan the pure electroweak SM value
but a factor five smaller than the standard QCD contribution. The imaginary
part of $a^W_b$ is the same order as in the SM.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 13:24:53 GMT""},{""version"":""v2"",""created"":""Mon, 29 Sep 1997 14:09:34 GMT""}]","2014-11-17"
"hep-ph/9707438","Aleksander Sidorov","A.V. Sidorov and M.V. Tokarev","NNLO QCD Analysis of CCFR data on $xF_3$ Structure Function and
  Gross-Llewellyn Smith Sum Rule with Higher Twist and Nuclear Corrections","10 pages, latex, 3 figures . Reported at Inernational Syposium ""Dubna
  Deuteron-97"" (Dubna, July 2-5, 1997)","Nuovo Cim.A110:1401-1409,1997","10.1007/BF03185563","JINR E2-97-213","hep-ph",,"  A detailed NNLO QCD analysis of new CCFR data on the $xF_3$ structure
function including the target mass, higher twist and nuclear corrections was
performed and parametrizations of the perturbative and power terms of the
structure function were constructed. The results of QCD analysis of the
structure function were used to study the $Q^2-$dependence of the
Gross-Llewellyn Smith sum rule. The $\alpha_S/\pi-$expansion of $S_{GLS}(Q^2)$
was studied and parameters of the expansion were found to be $s_1=2.74\pm
0.01$, $s_2=-2.22\pm 0.23$, $s_3=-7.86\pm 1.74$ in a good agreement with the
perturbative QCD predictions for the Gross-Llewellyn Smith sum rule in the
next-to-leading and next-to-next-to-leading order.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 13:45:51 GMT""}]","2022-03-02"
"hep-ph/9707439","Erich Poppitz","E. Poppitz and S.P. Trivedi","Gauge-Mediated Supersymmetry Breaking within the Dynamical Messenger
  Sector","8 p., LaTeX, style file included","Nucl.Phys.Proc.Suppl. 62 (1998) 281-288","10.1016/S0920-5632(97)00669-5","EFI-97-32; contribution to SUSY-97","hep-ph hep-th",,"  We consider the idea of combining the supersymmetry breaking and messenger
sectors in models of gauge-mediated supersymmetry breaking. We discuss the
advantages and problems of such models, and present an existence proof by
constructing an explicit example. We explore in some detail the low-energy
supersymmetry-breaking dynamics and the generation of supersymmetry-breaking
soft masses of the standard model superpartners, and discuss many features
which are likely to be shared by more realistic models with dynamical
messengers.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 15:03:49 GMT""}]","2009-10-30"
"hep-ph/9707440","Gert Aarts","Gert Aarts (Utrecht University)","Renormalizability of hot classical field theory","5 pages, 1 eps figure. To appear in the Proceedings of Strong and
  Electroweak Matter '97, Eger, Hungary, 21-25 May 1997",,,,"hep-ph",,"  I discuss the possibility of using classical field theory to approximate hot,
real-time quantum field theory. I calculate, in a scalar theory, the classical
two point and four point function in perturbation theory. The counterterms
needed to make the classical correlation functions finite are dictated by the
superrenormalizability of the static theory. The classical expressions
approximate the quantum ones, when the classical parameters are chosen
according to the dimensional reduction matching rules. I end with an outlook to
gauge theories.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 15:00:35 GMT""}]","2007-05-23"
"hep-ph/9707443","Jonathan R. Ellis","John Ellis (CERN, Geneva, Switzerland)","Phenomenology of LEP 2 Physics","59 pages, LaTeX, uses sprocl.sty, 37 eps figures. Lectures presented
  at Lake Louis Winter Institute (Feb 1997)",,,"CERN-TH/97-131","hep-ph",,"  Various aspects of physics at LEP 2 are reviewed from a phenomenological
point of view. We first discuss the search for Higgs bosons, which might be
relatively light if indications from the precision electroweak data and
supersymmetry are correct. Then WW physics is discussed, with particular
emphasis on the problems in measuring mW by the kinematic reconstruction of
events with purely hadronic final states. Finally, possible manifestations of
supersymmetry are reviewed, comparing different scenarios for the lightest
supersymmetric particle, which may or may not be stable. Possible scenarios for
R violation at HERA and future searches for supersymmetry at the LHC are also
mentioned briefly.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 01:52:10 GMT""}]","2007-05-23"
"hep-ph/9707445",,"P.S.Gill and Manmohan Gupta (CAS in Physics, Panjab University,
  Chandigarh (India))","Fritzsch-Xing mass matrices, $V_{td}$ and CP Violating phase $\delta$","8 LaTeX pages with 1 figure (to be published in PRD as brief Report)","Phys.Rev. D56 (1997) 3143-3146","10.1103/PhysRevD.56.3143","PU-HEP/96/gl04 (P U Chd India)","hep-ph",,"  Natural 4 zeros texture mass matrices recently proposed by Fritzsch and Xing
have been investigated by including `non-leading'corrections in the context of
latest data regarding m_t^{pole} and V_{CKM} matrix elements. Apart from
accommodating m_t^{pole} in the range 175\pm15 GeV, |V_{cb}| and
|V_{ub}/V_{cb}|=0.08\pm0.02, the analysis with maximal CP-violation predicts
|V_{td}| = .005-.013. Further, the CP-violating phase angle \delta can be
restricted to the ranges (i) 22^o -45^o and (ii) 95^o - 130^o, concretizing the
ambiguity regarding phase of CKM matrix. Furthermore, we find that non-leading
calculations are important when `Cabibbo triangle' is to be linked to unitarity
triangle.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 12:46:10 GMT""}]","2009-10-30"
"hep-th/9707182","Chris Pope","H. Lu, J. Maharana, S. Mukherji and C.N. Pope","Cosmological solutions, p-branes and the Wheeler-DeWitt equation","11 pages (2-column), Revtex","Phys.Rev.D57:2219-2229,1998","10.1103/PhysRevD.57.2219",,"hep-th",,"  The low energy effective actions which arise from string theory or M-theory
are considered in the cosmological context, where the graviton, dilaton and
antisymmetric tensor field strengths depend only on time. We show that previous
results can be extended to include cosmological solutions that are related to
the E_N Toda equations. The solutions of the Wheeler-DeWitt equation in
minisuperspace are obtained for some of the simpler cosmological models by
introducing intertwining operators that generate canonical transformations
which map the theories into free theories. We study the cosmological properties
of these solutions, and also briefly discuss generalised Brans-Dicke models in
our framework. The cosmological models are closely related to p-brane solitons,
which we discuss in the context of the E_N Toda equations. We give the explicit
solutions for extremal multi-charge (D-3)-branes in the truncated system
described by the D_4 =O(4,4) Toda equations.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 18:18:13 GMT""}]","2009-10-07"
"hep-th/9707184","Paul Howe","P.S. Howe","Weyl Superspace","9 pages, latex","Phys.Lett. B415 (1997) 149-155","10.1016/S0370-2693(97)01261-6","KCL-TH-97-30","hep-th",,"  It is shown that the equations of motion of eleven-dimensional supergravity
follow from setting the dimension zero components of the superspace torsion
tensor equal to the Dirac matrices. The proof of this assertion is facilitated
by the introduction of a connection taking its values in the Lie algebra of
$Spin(1,10)\times R^+$.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 16:22:47 GMT""}]","2009-10-30"
"hep-th/9707186","Bobby Acharya","B.S.Acharya","On Mirror Symmetry for Manifolds of Exceptional Holonomy","20 Pages, Latex","Nucl.Phys. B524 (1998) 269-282","10.1016/S0550-3213(98)00140-0","QMW-PH-97-22","hep-th",,"  We consider Type II string theories on ${\bf T^n}/{{\bf Z_2}^m}$ Joyce
orbifolds. This class contains orbifolds which can be desingularised to give
manifolds of $G_2$ $({\bf n}$$=$$7)$ and $Spin(7)$ holonomy $({\bf n}$$=$$8)$.
In the $G_2$ holonomy case we present two types of $T$-duality transformation
which are clearly generalisations of the $T$-duality/mirror transformation in
Calabi-Yau spaces. The first maps Type IIA theory on one such space from this
class to Type IIB theory on another such space. The second maps Type IIA (IIB)
to Type IIA (IIB). In the case of $Spin(7)$ holonomy we present a $T$-duality
transformation which maps Type IIA (IIB) theory on one such space to Type IIA
(IIB) on another such space. As orbifold conformal field theories these
$T$-dual target spaces are related via the inclusion/exclusion of discrete
torsion and the $T$-duality is proven to genus $g$ in string perturbation
theory. We then apply a Strominger, Yau, Zaslow type argument which suggests
that manifolds of $G_2$ holonomy which have a ``mirror'' of the first (second)
type admit supersymmetric ${\bf T^3}$ (${\bf T^4}$) fibrations and that
manifolds of $Spin(7)$ holonomy for which a mirror exists admit fibration by
supersymmetric $4$-tori. Further evidence for this suggestion is given by
examining the moduli space structure of wrapped D-branes.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 16:57:06 GMT""}]","2009-10-30"
"hep-th/9707187","Alexandre Grezzi de Miranda Schmidt","Alfredo T. Suzuki and Alexandre G. M. Schmidt","Negative Dimensional Integration for Massive Four Point Functions--I:
  The Standard Solutions","12 pages, uses elsart.cls, axodraw.ps and axodraw1.sty",,,,"hep-th",,"  Feynman diagrams are the best tool we have to study perturbative quantum
field theory. For this very reason the development of any new technique which
allows us to compute Feynman integrals is welcome. By the middle of the 80's,
Halliday and Ricotta suggested the possibility of using negative dimensional
integrals to tackle the problem. The aim of this work is to revisit the
technique as such and check up on its possibilities. For this purpose, we take
a box diagram integral contributing to the photon-photon scattering amplitude
in quantum electrodynamics using the negative dimensional integration method.
The reason for this choice of ours is twofold: Firstly, it is a well-studied
integral with well-known results, and secondly because it bears in its
integrand the complexities associated with four massive propagators of the
intermediate states.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 18:39:09 GMT""}]","2007-05-23"
"hep-th/9707188","Ivo Sachs","D. Birmingham (University College Dublin) I. Sachs (DIAS) S. Sen
  (Trinity College Dublin)","Three-Dimensional Black Holes and String Theory","11 pages, Latex, References added, to appear in Phys. Lett. B","Phys.Lett. B413 (1997) 281-286","10.1016/S0370-2693(97)01125-8","DIAS-STP-97-10","hep-th",,"  The exact decay rate for emission of massless minimally coupled scalar fields
by a non-extremal black hole in 2+1 dimensions is obtained. At low energy, the
decay rate into scalars with zero angular momentum is correctly reproduced
within conformal field theory. The conformal field theory has both left- and
right-moving sectors and their contribution to the decay rate is associated
naturally with left and right temperatures of the black hole.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 19:03:49 GMT""},{""version"":""v2"",""created"":""Sun, 7 Sep 1997 14:45:56 GMT""}]","2009-10-30"
"hep-th/9707189","Denny Fliegner","D. Fliegner (Heidelberg U., ITP), P. Haberl (RWTH Aachen, ITP), M.G.
  Schmidt (Heidelberg U., ITP), C. Schubert (Humboldt U. Berlin)","The Higher Derivative Expansion of the Effective Action by the String
  Inspired Method. Part II","37 pages, LaTeX, 3 figures, typos corrected, to appear in Ann. Phys.
  (N.Y.)","Annals Phys. 264 (1998) 51-74","10.1006/aphy.1997.5778","HD-THEP-97/24, HUB-EP-97/42","hep-th",,"  We apply the string inspired worldline formalism to the calculation of the
higher derivative expansion of one-loop effective actions in non-Abelian gauge
theory. For this purpose, we have completely computerized the method, using the
symbolic manipulation programs FORM, PERL and M. Explicit results are given to
sixth order in the inverse mass expansion, reduced to a minimal basis of
invariants specifically adapted to the method. Detailed comparisons are made
with other gauge-invariant algorithms for calculating the same expansion. This
includes an explicit check of all coefficients up to fifth order.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 21:09:27 GMT""},{""version"":""v2"",""created"":""Wed, 11 Mar 1998 09:10:55 GMT""}]","2009-10-30"
"hep-th/9707190","David Fairlie B.","David B. Fairlie","Moyal Brackets in M-Theory","10 pages, Latex, no figures. References altered, typos corrected","Mod.Phys.Lett. A13 (1998) 263-274","10.1142/S0217732398000322","YITP-97-40, DTP-97-37","hep-th",,"  The infinite limit of Matrix Theory in 4 and 10 dimensions is described in
terms of Moyal Brackets. In those dimensions there exists a Bogomol'nyi bound
to the Euclideanized version of these equations, which guarantees that
solutions of the first order equations also solve the second order Matrix
Theory equations. A general construction of such solutions in terms of a
representation of the target space co-ordinates as non-local spinor bilinears,
which are generalisations of the standard Wigner functions on phase space, is
given.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 02:06:41 GMT""},{""version"":""v2"",""created"":""Thu, 14 Aug 1997 05:40:45 GMT""}]","2009-10-30"
"hep-th/9707191","Kiyoshi Kamimura","K.Kamimura and R.Kuriki","Super-Weyl Invariant 2D Supergravity, Anomaly and WZ Action","9 pages, Latex","Nucl.Phys. B515 (1998) 535-545","10.1016/S0550-3213(98)00017-0","TOHO-FP-9755, OCHA-PP-102","hep-th",,"  We present a candidate of anomaly and Wess Zumino action of the two
dimensional supergravity coupling with matters in a super-Weyl invariant
regularization. It is a generalization of the Weyl and the area preserving
\Diff invariant formulation of two dimensional gravity theory.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 03:10:22 GMT""}]","2009-10-30"
"hep-th/9707193","Kostya Zyablyuk","Konstantin Zyablyuk","N=2, D=6 supergravity with E_7 gauge matter","7 pages, latex",,,"UM-TH-97-16","hep-th hep-ph",,"  The lagrangian of N=2, D=6 supergravity coupled to E_7 X SU(2) vector- and
hyper-multiplets is derived. For this purpose the coset manifold E_8/E_7 X
SU(2), parametrized by the scalars of the hypermultiplet, is constructed. A
difference from the case of Sp(n)-matter is pointed out. This model can be
considered as an intermediate step in the compactification of D=10 supergravity
coupled to E_8 X E_8 matter to four-dimensional model of E_6 unification.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 04:32:00 GMT""}]","2007-05-23"
"hep-th/9707197","Nick Evans","Nick Evans (Boston University)","Softly Broken SQCD: in the Continuum, on the Lattice, on the Brane","8 pages, Latex, espcrc2, 2 figs, talk presented at SUSY 97, reference
  added","Nucl.Phys.Proc.Suppl. 62 (1998) 331-338","10.1016/S0920-5632(97)00675-0","BUHEP-97-21","hep-th",,"  We review progress in studying the solutions of SQCD in the presence of
explicit, soft SUSY breaking terms. Massive N=1 SQCD in the presence of a small
gaugino mass leads to a controlled solution which has interesting phase
structure with changing theta angle reminiscent of the QCD chiral Lagrangian.
Current attempts to test the solutions of pure glue SQCD on the lattice require
a theoretical understanding of the theory with small gaugino mass in order to
understand the approach to the SUSY point. We provide such a description making
predictions for the gaugino condensate and lightest bound state masses. Finally
we briefly review recent D-brane constructions of 4D gauge theories in string
theory including a non-supersymmetric configuration. We identify this
configuration with softly broken N=2 SQCD.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 15:43:25 GMT""},{""version"":""v2"",""created"":""Mon, 28 Jul 1997 15:54:09 GMT""}]","2009-10-30"
