"alg-geom/9707016","Sean Keel","Sean Keel and James McKernan","Rational Curves on Quasi-Projective Surfaces","159 pages",,,,"alg-geom math.AG",,"  The main result is that a quasi-projective surface has negative log Kodaira
dimension (i.e. no log pluricanonical sections) iff it is dominated by images
of the affine line. This follows from our main intermediate result, that the
smooth locus of a log Fano surface is rationally connected. We also give a
classification of all but a bounded family of rank one log del Pezzo surfaces.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 17:26:45 GMT""}]","2008-02-03"
"hep-ph/9707481","Antonio","A. Pineda and J. Soto","Effective Field Theory for Ultrasoft Momenta in NRQCD and NRQED","5 pages, LaTeX, requires espcrc2.sty file. To appear in the
  proceedings of the QCD'97 conference, Montpellier, 3-9 July, 1997. Some typos
  in formulas corrected. One sentence changed","Nucl.Phys.Proc.Suppl. 64 (1998) 428-432","10.1016/S0920-5632(97)01102-X","UB-ECM-PF-97/17","hep-ph nucl-th",,"  We propose an effective field theory for heavy quark-antiquark bound states
once the soft gluons have been integrated out. We also give new results for the
matching between QCD (QED) and NRQCD (NRQED).
","[{""version"":""v1"",""created"":""Sat, 26 Jul 1997 10:41:53 GMT""},{""version"":""v2"",""created"":""Wed, 11 Feb 1998 16:12:22 GMT""}]","2009-10-30"
"hep-ph/9707482",,"Andrzej J. Buras, Axel Kwiatkowski and Nicolas Pott","On the Scale Uncertainties in the $B \to X_s \gamma$ Decay","11 pages, Latex. The paper is updated by incorporating recently
  modified results of the literature that were used for the numerical
  evaluation of eq. (17). A term originally missing in eq. (22) is added","Phys.Lett. B414 (1997) 157-165; Erratum-ibid. B434 (1998) 459","10.1016/S0370-2693(97)01142-8",,"hep-ph",,"  We analyze the theoretical uncertainties in $Br(B\to X_s\gamma)$ due to the
choice of the high energy matching scale $\mu_W=\ord(\mw)$ and the scale
$\mu_t$ at which the running top quark mass is defined: $\mtb(\mu_t)$. To this
end we have repeated the calculation of the initial conditions confirming the
final results of Adel and Yao and Greub and Hurth and generalizing them to
include the dependences on $\mu_t$ and $\mu_W$ with $\mu_t\not=\mu_W$. In the
leading order the $\mu_W$ and $\mu_t$ uncertainties in $Br(B\to X_s\gamma)$
turn out to be $\pm 13%$ and $\pm 3%$ respectively. We show analytically how
these uncertainties are reduced after including next-to-leading QCD
corrections. They amount to $\pm 1.1%$ and $\pm 0.4%$ respectively. Reanalyzing
the uncertainties due to the scale $\mu_b=\ord(m_b)$ we find that after the
inclusion of NLO effects they amount to $\pm 4.3%$ which is a factor 2/3
smaller than claimed in the literature. Including the uncertainties due to
input parameters as well as the non-perturbative $1/m_b^2$ and $1/m_c^2$
corrections we find $Br(B{\to}X_s \gamma) = (3.60 \pm 0.33) \times 10^{-4}$
where the error is dominated by uncertainties in the input parameters. This
should be compared with $(3.28 \pm 0.33) \times 10^{-4}$ found by Chetyrkin et
al. where the error is shared evenly between the scale and parametric
uncertainties.
","[{""version"":""v1"",""created"":""Sat, 26 Jul 1997 11:15:38 GMT""},{""version"":""v2"",""created"":""Fri, 8 Aug 1997 12:06:05 GMT""},{""version"":""v3"",""created"":""Wed, 1 Apr 1998 11:35:35 GMT""}]","2009-10-30"
"hep-th/9707221","Charles Torre","C. G. Torre (Utah State U.) and M. Varadarajan (Raman Research
  Institute)","Quantum Fields at Any Time","42 pages, LaTeX, typos fixed, some additional discussion and an
  appendix added. To appear in Physical Review D","Phys.Rev. D58 (1998) 064007","10.1103/PhysRevD.58.064007",,"hep-th gr-qc math-ph math.MP quant-ph",,"  The canonical quantum theory of a free field using arbitrary foliations of a
flat two-dimensional spacetime is investigated. It is shown that dynamical
evolution along arbitrary spacelike foliations is unitarily implemented on the
same Fock space as that associated with inertial foliations. It follows that
the Schrodinger picture exists for arbitrary foliations as a unitary image of
the Heisenberg picture for the theory. An explicit construction of the
Schrodinger picture image of the Heisenberg Fock space states is provided. The
results presented here can be interpreted in terms of a Dirac constraint
quantization of parametrized field theory. In particular, it is shown that the
Schrodinger picture physical states satisfy a functional Schrodinger equation
which includes a slice-dependent c-number quantum correction, in accord with a
proposal of Kuchar. The spatial diffeomorphism invariance of the Schrodinger
picture physical states is established. Fundamental difficulties arise when
trying to generalize these results to higher-dimensional spacetimes.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 16:03:49 GMT""},{""version"":""v2"",""created"":""Fri, 3 Jul 1998 16:03:33 GMT""}]","2009-10-30"
"hep-th/9707222","Boris Pioline","I. Antoniadis, B. Pioline and T.R. Taylor","Calculable e^{-1/\lambda} Effects","LaTex, 24 pages; typos corrected, 4 references added, D-brane
  interpretation improved at end of Section 5. Final version","Nucl.Phys. B512 (1998) 61-78","10.1016/S0550-3213(97)00684-6","CERN-TH/97-179, CPTH-S550.0797","hep-th",,"  We identify and evaluate a class of physical amplitudes in four-dimensional
N=4 superstring theory, which receive, in the weak coupling limit,
contributions of order e^{-1/\lambda}, where \lambda is the type II superstring
coupling constant. They correspond to four-derivative \Ftilde_1 interaction
terms involving the universal type II dilaton supermultiplet. The exact result,
obtained by means of a one-loop computation in the dual heterotic theory
compactified on T^6, is compared with the perturbation theory on the type II
side, and the e^{-1/\lambda} contributions are associated to non-perturbative
effects of Euclidean solitons (D-branes) wrapped on K3 x T^2. The
ten-dimensional decompactification limit on the type IIB side validates the
recent conjecture for the D-instanton-induced R^4 couplings.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 16:59:08 GMT""},{""version"":""v2"",""created"":""Tue, 21 Oct 1997 16:04:58 GMT""}]","2009-10-30"
"hep-th/9707223","Steven Thomas","Zygmunt Lalak and Steven Thomas","Gaugino Condensation, Moduli Potentials and Supersymmetry Breaking in
  M-Theory Models","Latex file, 21 pages, various typos corrected, references added.
  Version to appear in Nuclear Physics B","Nucl.Phys. B515 (1998) 55-72","10.1016/S0550-3213(97)00784-0","QMW-PH-97-23","hep-th",,"  We derive the explicit form, and discuss some properties of the moduli
dependent effective potential arising from M-theory compactified on $M_4 \times
X\times S^1 / Z_2 $, when one of the boundaries supports a strongly interacting
gauge sector and induces gaugino condensation. We discuss the relation between
the explicit gaugino condensate and effective superpotential formulations and
find interesting differences with respect to the situation known from the
weakly coupled heterotic string case. The moduli dependence of the effective
potential turns out to be more complicated than expected, and perhaps offers
new clues to the stabilization problem.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 23:59:37 GMT""},{""version"":""v2"",""created"":""Sat, 26 Jul 1997 00:33:15 GMT""},{""version"":""v3"",""created"":""Wed, 26 Nov 1997 20:09:58 GMT""}]","2009-10-30"
"nucl-th/9707042","Root","Jan-e Alam, J. Cleymans, K.Redlich, H. Satz","What Can We Learn from Transverse Momentum Spectra in Relativistic Heavy
  Ion Collisions?","8 pages Latex, five figures postscript",,,,"nucl-th",,"  We compare the predictions of different models for transverse momentum
spectra in relativistic heavy ion collisions. Particular emphasis is given to
hydrodynamic flow with different assumptions for the radial expansion, and to
models based on a superposition of fireballs along the transverse direction
(random walk). It is shown that present experimental data cannot distinguish
between the models under consideration.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 16:45:49 GMT""}]","2007-05-23"
"nucl-th/9707043","Kai Hencken","G. F. Bertsch, K. Hencken, and H.Esbensen","Nuclear Breakup of Borromean Nuclei","34 pages REVTeX, 14 postscript figures. Small changes in comparison
  with experiment","Phys.Rev.C57:1366-1377,1998","10.1103/PhysRevC.57.1366",,"nucl-th",,"  We study the eikonal model for the nuclear-induced breakup of Borromean
nuclei, using Li11 and He6 as examples. The full eikonal model is difficult to
realize because of six-dimensional integrals, but a number of simplifying
approximations are found to be accurate. The integrated diffractive and
one-nucleon stripping cross sections are rather insensitive to the
neutron-neutron correlation, but the two-nucleon stripping does show some
dependence on the correlation. The distribution of excitation energy in the
neutron-core final state in one-neutron stripping reactions is quite sensitive
to the shell structure of the halo wave function. Experimental data favor
models with comparable amounts of s- and p-wave in the Li11 halo.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 21:40:57 GMT""},{""version"":""v2"",""created"":""Mon, 8 Sep 1997 18:42:55 GMT""}]","2008-11-26"
"physics/9707020","K. K. Gan","K.K. Gan, et al","Incorporation of the statistical uncertainty in the background estimate
  into the upper limit on the signal","14 pages, 4 figures","Nucl.Instrum.Meth. A412 (1998) 475-482","10.1016/S0168-9002(98)80030-2","OHSTPY-HEP-E-97-009","physics.data-an hep-ex",,"  We present a procedure for calculating an upper limit on the number of signal
events which incorporates the Poisson uncertainty in the background, estimated
from control regions of one or two dimensions. For small number of signal
events, the upper limit obtained is more stringent than that extracted without
including the Poisson uncertainty. This trend continues until the number of
background events is comparable with the signal. When the number of background
events is comparable or larger than the signal, the upper limit obtained is
less stringent than that extracted without including the Poisson uncertainty.
It is therefore important to incorporate the Poisson uncertainty into the upper
limit; otherwise the upper limit obtained could be too stringent.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 16:04:43 GMT""}]","2015-06-26"
"physics/9707021","Mikhail V. Medvedev","M. V. Medvedev, P. H. Diamond, V. I. Shevchenko, V. L. Galinsky (UCSD)","Dissipative Dynamics of Collisionless Nonlinear Alfven Wave Trains","REVTeX, 6 pages (including 5 figures). This and other papers may be
  found at http://sdphpd.ucsd.edu/~medvedev/papers.html","Phys. Rev. Lett. v.78 (1997), pp.4934-4937","10.1103/PhysRevLett.78.4934",,"physics.space-ph adap-org astro-ph nlin.AO nlin.PS patt-sol physics.plasm-ph",,"  The nonlinear dynamics of collisionless Alfven trains, including resonant
particle effects is studied using the kinetic nonlinear Schroedinger (KNLS)
equation model. Numerical solutions of the KNLS reveal the dynamics of Alfven
waves to be sensitive to the sense of polarization as well as the angle of
propagation with respect to the ambient magnetic field. The combined effects of
both wave nonlinearity and Landau damping result in the evolutionary formation
of stationaryOA S- and arc-polarized directional and rotational
discontinuities. These waveforms are freqently observed in the interplanetary
plasma.
","[{""version"":""v1"",""created"":""Sat, 26 Jul 1997 02:55:13 GMT""}]","2016-09-08"
"quant-ph/9707051","Edward R. Floyd","Edward R. Floyd","Where and why the generalized Hamilton-Jacobi representation describes
  microstates of the Schr\""odinger wave function","6 pages, LaTeX 2.09","Found.Phys.Lett. 9 (1996) 489-497",,,"quant-ph",,"  A generalized Hamilton-Jacobi representation describes microstates of the
Schr\""odinger wave function for bound states. At the very points that boundary
values are applied to the bound state Schr\""odinger wave function, the
generalized Hamilton-Jacobi equation for quantum mechanics exhibits a nodal
singularity. For initial value problems, the two representations are
equivalent.
","[{""version"":""v1"",""created"":""Sat, 26 Jul 1997 14:56:32 GMT""}]","2007-05-23"
