"adap-org/9707003","Grant Lythe","Kalvis M. Jansons (UCL, London) and G.D. Lythe (ULB, Brussels)","Stochastic calculus: application to dynamic bifurcations and threshold
  crossings","LaTeX, 34 pages, 7 postscript figures included","J. Stat. Phys (1997)","10.1023/A:1023207919293",,"adap-org nlin.AO q-bio",,"  For the dynamic pitchfork bifurcation in the presence of white noise, the
statistics of the last time at zero are calculated as a function of the noise
level and the rate of change of the parameter. The threshold crossing problem
used, for example, to model the firing of a single cortical neuron is
considered, concentrating on quantities that may be experimentally measurable
but have so far received little attention. Expressions for the statistics of
pre-threshold excursions, occupation density and last crossing time of zero are
compared with results from numerical generation of paths.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 22:10:39 GMT""}]","2015-06-24"
"cmp-lg/9707005","Megumi Kameyama","Megumi Kameyama (SRI International)","Intrasentential Centering: A Case Study","A chapter in Walker, M., A. Joshi, and E. Prince, eds., {\it
  Centering Theory in Discourse}, Oxford University Press, Oxford, in press",,,,"cmp-lg cs.CL",,"  One of the necessary extensions to the centering model is a mechanism to
handle pronouns with intrasentential antecedents. Existing centering models
deal only with discourses consisting of simple sentences. It leaves unclear how
to delimit center-updating utterance units and how to process complex
utterances consisting of multiple clauses. In this paper, I will explore the
extent to which a straightforward extension of an existing intersentential
centering model contributes to this effect. I will motivate an approach that
breaks a complex sentence into a hierarchy of center-updating units and
proposes the preferred interpretation of a pronoun in its local context
arbitrarily deep in the given sentence structure. This approach will be
substantiated with examples from naturally occurring written discourses.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 23:28:59 GMT""}]","2008-02-03"
"cmp-lg/9707006","Andre Kempe","Andre Kempe (Rank Xerox Research Centre, Grenoble Laboratory, France)","Finite State Transducers Approximating Hidden Markov Models","8 pages, A4, LaTeX (+1x eps)","ACL'97, pp.460-467, Madrid, Spain. July 10, 1997",,,"cmp-lg cs.CL",,"  This paper describes the conversion of a Hidden Markov Model into a
sequential transducer that closely approximates the behavior of the stochastic
model. This transformation is especially advantageous for part-of-speech
tagging because the resulting transducer can be composed with other transducers
that encode correction rules for the most frequent tagging errors. The speed of
tagging is also improved. The described methods have been implemented and
successfully tested on six languages.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 09:32:06 GMT""}]","2008-02-03"
"cond-mat/9707157","Josef Oswald","J. Oswald, M. Pippan, G. Heigl, G. Span, T. Stellberger (Institute of
  Physics, University of Leoben, Austria)","Magnetotransport in PbTe nipi structures","postscript file including 4 figs, 6 pages, Paper presented at 7th
  Int. Conf. on Narrow Gap Semicond. Santa Fe, 1995","Inst. Phys. Conf. Ser. No 144, 155, 1995 IOP Publishing Ltd",,,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  In this paper the 3D- and 2D- behavior of wide quantum wells which consist of
one period of a PbTe nipi-structure is studied theoretically and
experimentally. A simple model combines the 2D- subband levels and the
3D-Landau levels in order to calculate the density of states in a magnetic
field perpendicular to the 2D plane. It is shown that at a channel width of
about 500 nm on can expect to observe 3D- and 2D-behavior at the same time.
Finally the general design aspects for PbTe wide quantum wells are discussed.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 18:25:59 GMT""}]","2008-02-03"
"cond-mat/9707158","Josef Oswald","J. Oswald, G. Heigl, M. Pippan, G. Span, T. Stellberger (University of
  Leoben, Austria), D.K. Maude, J.C. Portal (High Magnetic Field Laboratory,
  Grenoble, France)","Magnetotransport in wide parabolic PbTe quantum wells","postscript file including 2 figs, 4 pages, Paper presented at
  EP2DS-XI, Nottingham 1995","Surface Science 361/362, 525 (1996)","10.1016/0039-6028(96)00461-X",,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  The 3D- and 2D- behaviour of wide parabolic PbTe single quantum wells, which
consist of PbTe p-n-p-structures, are studied theoretically and experimentally.
A simple model combines the 2D- subband levels and the 3D-Landau levels in
order to calculate the density of states in a magnetic field perpendicular to
the 2D plane. It is shown that at a channel width of about 300nm on can expect
to observe 3D- and 2D-behaviour at the same time. Magnetotransport experiments
in selectively contacted Hall bar samples are performed at temperatures down to
T = 50 mK and at magnetic fields up to B = 17 T.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 18:58:44 GMT""}]","2015-06-25"
"cond-mat/9707160","Josef Oswald","J. Oswald, G. Heigl, G. Span, A.Homer, P.Ganitzer (University of
  Leoben, Austria), D.K. Maude, J.C. Portal (High Magnetic Field Laboratory,
  Grenoble, France)","Conductance Fluctuations in PbTe Wide Parabolic Quantum Wells","postscript file including 3 figs, 3 pages, Paper presented at 3rd
  Int. Symposium on ""New Phenomena in Mesoscopic Structures"" in Maui, Hawaii
  1995","Physica B 227, 360 (1996)","10.1016/0921-4526(96)00442-5",,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  We report on conductance fluctuations which are observed in local and
non-local magnetotransport experiments. Although the Hall bar samples are of
macroscopic size, the amplitude of the fluctuations from the local measurements
is close to e^2/h. It is shown that the fluctuations have to be attributed to
edge channel effects.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 19:45:56 GMT""}]","2009-10-30"
"cond-mat/9707161","Oreg Yuval","Yuval Oreg and Alexander M. Finkel'stein","Reply to the Comment on ""Enhancement of the Tunneling Density of States
  in Tomonaga-Luttinger Liquids""","Published in PRL as a Reply to the Comment by Fabrizio and Gogolin
  (cond-mat/9702080)","Phys. Rev. Lett. 78, 4528 (1997)","10.1103/PhysRevLett.78.4528",,"cond-mat",,"  In their comment Fabrizio and Gogolin dispute our result of the enhancement
of the tunneling density of states in a Tomonaga-Luttinger liquid at the
location of a backward scattering defect [Phys. Rev. Lett. 76, 4230(1996);
cond-mat/9601020]. They state that the anticommutativity of the fermion
operators of the left and right moving electrons was not considered properly in
the Letter. We show in the Reply that the result of the Letter can be
reproduced following the Comment when its calculations are performed correctly.
This clearly indicates that the question about the anticommutation relations
was raised by Fabrizio and Gogolin without serious grounds.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 16:00:35 GMT""}]","2009-10-30"
"cond-mat/9707165","Torsten Henning","Torsten Henning, H. Kliem, A. Weyers, W. Bauhofer","Characterisation of HTSC ceramics from their resistive transition","12 pages, LaTeX2e, 6 figures (epsfig), to be published in Supercond.
  Sci. and Technol","Supercond Sci Technol 10 (1997) 721-726","10.1088/0953-2048/10/9/014",,"cond-mat.supr-con",,"  The resistivity vs. temperature relation in bulk ceramic HTSC under
self-field conditions as well as in weak external magnetic fields is modelled
by local Lorentz force induced fluxon motion with temperature dependent
pinning. A pinning force density and two viscous drag coefficients in
intergrain and intragrain regions, respectively, can be used as characteristic
parameters describing the temperature, current, and external field dependences
of the sample resistance.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 16:01:20 GMT""}]","2009-10-30"
"cond-mat/9707166","Andrey Zheludev","A. Zheludev, S. Maslov, G. Shirane, Y. Sasago, N. Koide, K.
  Uchinokura, D. A. Tennant, S. E. Nagler","The square-lattice spiral magnet Ba_2CuGe_2O_7 in an in-plane magnetic
  field","7 pages, 6 figures",,"10.1103/PhysRevB.56.14006",,"cond-mat",,"  The magnetic structure of Ba_2CuGe_2O_7 is investigated by neutron
diffraction in magnetic fields applied along several directions in the $(a,b)$
plane of the crystal. In relatively weak fields, $H\lesssim 0.5$~T, the
propagation vector of the spin-spiral rotates to form a finite angle with the
field direction. This angle depends on the orientation of $H$ itself. The
rotation of the propagation vector is accompanied by a re-orientation of the
plane of spin rotation in the spiral. The observed behaviour is well described
by a continuous-limit form of a free energy functional that includes exchange
and Dzyaloshinskii-Moriya interactions, as well as the Zeeman energy and an
empirical anisotropy term.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 16:35:52 GMT""}]","2009-10-30"
"cond-mat/9707167","Andrey Zheludev","A. Zheludev","Coexistence of Haldane gap excitations and long-range order in
  R_2BaNiO_5 ($R$=rare earth)","Invited paper for the International Conference on Neutron Scattering,
  Toronto, Canada, August 17-21, 1997",,"10.1016/S0921-4526(97)00628-5",,"cond-mat",,"  $R_2BaNiO_5$ ($R=$ rare earth) quasi-1-D antiferromagnets are structurally
equivalent to the well-studied 1-D S=1 Haldane-gap compound Y_2BaNiO_5. Unlike
the Y-nickelate though, these materials undergo 3-D magnetic ordering at finite
temperatures. Recent inelastic neutron scattering studies of Pr_2BaNiO_5 and
(Nd_{x}Y_{1-x})_2BaNiO_5 revealed purely 1-dimensional gap excitations that
propagate exclusively on the Ni-chains and are strikingly similar to Haldane
gap modes in Y_2BaNiO_5. In the ordered phase these excitations survive and
actually coexist with conventional spin waves. Below $T_{N}$ the gap energy
increases and scales as the square of the ordered moment on the Ni sites. The
results suggest that the Haldane singlet ground state of the Ni-chains is not
fully destroyed by N\'{e}el ordering.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 16:41:17 GMT""}]","2016-03-23"
"cond-mat/9707168","Christian D. Lorenz","Robert M. Ziff (1), Steven R. Finch (2), Victor S. Adamchik (3) ((1)
  Department of Chemical Engineering, University of Michigan, Ann Arbor, MI,
  (2) MathSoft, Inc., Cambridge, MA, (3) Wolfram Research, Inc., Champaign, IL)","Universality of finite-size corrections to the number of critical
  percolation clusters","13 pages, 2 figs., Latex, submitted to Phys. Rev. Lett",,"10.1103/PhysRevLett.79.3447","UM-97-2","cond-mat.dis-nn",,"  Monte-Carlo simulations on a variety of 2d percolating systems at criticality
suggest that the excess number of clusters in finite systems over the bulk
value of nc is a universal quantity, dependent upon the system shape but
independent of the lattice and percolation type. Values of nc are found to high
accuracy, and for bond percolation confirm the theoretical predictions of
Temperley and Lieb, and Baxter, Temperley, and Ashley, which we have evaluated
explicitly in terms of simple algebraic numbers. Predictions for the
fluctuations are also verified for the first time.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 19:00:08 GMT""}]","2009-10-30"
"cond-mat/9707169","Ivar Martin","Ivar Martin and Philip Phillips (University of Illinois at
  Urbana-Champaign)","Positive Magneto-Resistance in Quasi-1D Conductors","4 pages, Latex, no figures","Phys. Rev. B, v.56, 14883 (1997)","10.1103/PhysRevB.56.14883",,"cond-mat.dis-nn",,"  We present here a simple qualitative model that interpolates between the high
and low temperature properties of quasi-1D conductors. At high temperatures we
argue that transport is governed by inelastic scattering whereas at low
temperatures the conductance decays exponentially with the electron dephasing
length. The crossover between these regimes occurs at the temperature at which
the elastic and inelastic scattering times become equal. This model is shown to
be in quantitative agreement with the organic conductor $TTT_2I_{3-\delta}$.
Within this model, we also show that on the insulating side, the positive
magnetoresistance of the form $(H/T)^2$ observed in $TTT_2I_{3-\delta}$ and
other quasi-1D conductors can be explained by the role spin-flip scattering
plays in the electron dephasing rate.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 19:27:27 GMT""}]","2009-10-30"
"cond-mat/9707170","Josef Oswald","J. Oswald, G. Heigl, G. Span, A. Homer, P. Ganitzer (University of
  Leoben, Austria), D.K. Maude, J.C. Portal (High Magnetic Field Laboratory,
  Grenoble, France)","Quenching of the Quantum Hall Effect in PbTe Wide Parabolic Quantum
  Wells","postscript file including 2 figs, 4 pages, Paper presented at
  ICPS-XXIII, Berlin 1996","Proc. 23rd ICPS Berlin, 2499, World Scientific Singapore 1996",,,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  We show that for the case of a many valley host semiconductor an edge channel
(EC) related non-local behaviour can persist also in the 3D-regime where the
quantum Hall effect (QHE) is already quenched. We demonstrate that the QHE is
replaced by conductance fluctuations due to EC backscattering in the contact
arms, which leads to a fluctuating current redistribution between a dissipative
bulk electron system and a less-dissipative EC-system. Both electron systems
are located in different valleys of the band structure. The linear increase of
Rxx with the magnetic field is explained by EC-backscattering in the Hall bar
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 02:09:58 GMT""}]","2008-02-03"
"cond-mat/9707171","Josef Oswald","J. Oswald, G. Heigl, G. Span, A. Homer, P. Ganitzer (University of
  Leoben, Austria), D.K. Maude, J.C. Portal (High Magnetic Field Laboratory,
  Grenoble, France)","Non Local Transport in PbTe Wide Parabolic Quantum Wells","postscript file including 2 figs, 4 pages, Paper presented at 12th
  Int. Conf. on High Magnetic Fields in the Physics of Semicond. II, Wuerzburg
  1996","Proc. 12th Int. Conf. on High Magnetic Fields in the Physics of
  Semicond. II, Wuerzburg 1996, 227, World Scientific Singapore 1996",,,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  The results of non-local experiments in different contact configurations are
discussed in terms of a non-local behaviour of the contact arms. It is shown
that the observed reproducible fluctuations can be understood to result from
fluctuations of a non-local bulk current in the contact arms. The fluctuations
are explained by edge channel backscattering because of potential fluctuations
in the bulk region.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 02:06:49 GMT""}]","2008-02-03"
"cond-mat/9707172","Muriel Ney-Nifle","Muriel Ney-Nifle","Chaos and Universality in a Four-Dimensional Spin Glass","11 pages, including 6 postscript figures. Latex with revtex macros",,"10.1103/PhysRevB.57.492",,"cond-mat.dis-nn",,"  We present a finite size scaling analysis of Monte Carlo simulation results
on a four dimensional Ising spin glass. We study chaos with both coupling and
temperature perturbations, and find the same chaos exponent in each case. Chaos
is investigated both at the critical temperature and below where it seems to be
more efficient (larger exponent). Dimension four seems to be above the critical
dimension where chaos with temperature is no more present in the critical
region. Our results are consistent with the Gaussian and bimodal coupling
distributions being in the same universality class.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 21:02:40 GMT""}]","2009-10-30"
"cond-mat/9707173","Josef Oswald","J. Oswald, G.Span, A. Homer, G. Heigl, P. Ganitzer (University of
  Leoben, Austria), D.K. Maude, J.C. Portal (High Magnetic Field Laboratory,
  Grenoble, France)","Anomalous magnetotransport in wide quantum wells","postscript file including 3 figs, 5 pages","Solid State Commun. 102, 391 (1997)","10.1016/S0038-1098(97)00017-3",,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  We present magneto transport experiments of quasi 3D PbTe wide quantum wells.
A plateau-like structure in the Hall resistance is observed, which corresponds
to the Shubnikov de Haas oscillations in the same manner as known from the
quantum Hall effect. The onsets of plateaux in Rxy do not correspond to 2D
filling factors but coincide with the occupation of 3D (bulk-) Landau levels.
At the same time a non-local signal is observed which corresponds to the
structure in Rxx and Rxy and fulfils exactly the Onsager-Casimir relation
(Rij,kl(B) = Rkl,ij(-B)). We explain the behaviour in terms of edge channel
transport which is controlled by a permanent backscattering across a system of
""percolative EC - loops"" in the bulk region. Long range potential fluctuations
with an amplitude of the order of the subband splitting are explained to play
an essential role in this electron system.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 03:12:04 GMT""}]","2009-10-30"
"cond-mat/9707174","James Badro","James Badro, Philippe Gillet and Jean-Louis Barrat","Melting and Pressure-Induced Amorphization of Quartz","9 pages, 4 figures, LaTeX2e",,"10.1209/epl/i1998-00299-3",,"cond-mat.mtrl-sci",,"  It has recently been shown that amorphization and melting of ice were
intimately linked. In this letter, we infer from molecular dynamics simulations
on the SiO2 system that the extension of the quartz melting line in the
metastable pressure-temperature domain is the pressure-induced amorphization
line. It seems therefore likely that melting is the physical phenomenon
responsible for pressure induced amorphization. Moreover, we show that the
structure of a ""pressure glass"" is similar to that of a very rapidly (1e+13 to
1e+14 kelvins per second) quenched thermal glass.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 21:56:20 GMT""},{""version"":""v2"",""created"":""Thu, 23 Apr 1998 16:24:45 GMT""}]","2009-10-30"
"cond-mat/9707175","Josef Oswald","J. Oswald, G.Span (University of Leoben, Austria)","Novel non-local behaviour of quasi-3D Wide Quantum Wells","postscript file including 3 figs, 4 pages","Semicond. Sci. Technol. 12, 345 (1997)","10.1088/0268-1242/12/3/001",,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  We investigate the high magnetic field regime of wide quantum wells (WQW) for
the case of a many valley host semiconductor. The complete system is described
within a modified Landauer-Buettiker formalism and we demonstrate that a
parallel contribution of two electron systems in different valleys of the band
structure can lead to an edge channel related non-local behaviour even in the
3D-regime. From the obtained general result we derive also a simplified model
which applies for the case of much different dissipation. It represents the
most dissipative system by an Ohmic resistor network and the less dissipative
system by an EC-system.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 03:47:38 GMT""}]","2009-10-30"
"cond-mat/9707177","Dongsu Bak","Dongsu Bak, Sang Pyo Kim, Sung Ku Kim, Kwang-Sup Soh, Jae Hyung Yee","Boundary degrees of freedom in fractional quantum Hall effect:
  Excitations on common boundary of two samples","20 pages, uses revtex",,"10.1103/PhysRevB.57.7149","SOU-TP-97-1005","cond-mat hep-th",,"  Using the Carlip's method we have derived the boundary action for the fermion
Chern-Simons theory of quantum Hall effects on a planar region with a boundary.
We have computed both the bulk and edge responses of currents to the external
electric field. From this we obtain the well-known anomaly relation and the
boundary Hall current without introducing any ad hoc assumptions such as the
chirality condition. In addition, the edge current on the common boundary of
two samples is found to be proportional to the difference between Chern-Simons
coupling strengths.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 08:04:33 GMT""}]","2009-10-30"
"cond-mat/9707178","Martin Weigt","M. Weigt","Multifractal analysis of perceptron learning with errors","11 pages, RevTex, 3 eps figures, version to be published in Phys.
  Rev. E 01Jan98","Phys. Rev E57, 955 (1998)","10.1103/PhysRevE.57.955",,"cond-mat.dis-nn q-bio",,"  Random input patterns induce a partition of the coupling space of a
perceptron into cells labeled by their output sequences. Learning some data
with a maximal error rate leads to clusters of neighboring cells. By analyzing
the internal structure of these clusters with the formalism of multifractals,
we can handle different storage and generalization tasks for lazy students and
absent-minded teachers within one unified approach. The results also allow some
conclusions on the spatial distribution of cells.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 09:53:21 GMT""},{""version"":""v2"",""created"":""Tue, 21 Oct 1997 07:37:54 GMT""}]","2009-10-30"
"cond-mat/9707179","Luis Antonio Fernandez","H. G. Ballesteros, L. A. Fernandez, V. Martin-Mayor, A. Munoz Sudupe
  (Universidad Complutense de Madrid), G. Parisi, and J. J. Ruiz-Lorenzo
  (Universita di Roma I)","Ising exponents in the two-dimensional site-diluted Ising model","7 pages, 2 postscript figures. Reference corrected","J. Phys. A: Math. Gen. 30 (1997) 8379-8383","10.1088/0305-4470/30/24/006",,"cond-mat.dis-nn cond-mat.stat-mech hep-lat",,"  We study the site-diluted Ising model in two dimensions with Monte Carlo
simulations. Using finite-size scaling techniques we compute the critical
exponents observing deviations from the pure Ising ones. The differences can be
explained as the effects of logarithmic corrections, without requiring to
change the Universality Class.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 09:57:39 GMT""},{""version"":""v2"",""created"":""Wed, 23 Jul 1997 10:33:45 GMT""}]","2009-10-30"
"cond-mat/9707180","Tomaz Prosen","Tomaz Prosen (Physics Dept., Faculty of Math.&Phys., University of
  Ljubljana, Ljubljana, Slovenia)","Time evolution of a quantum many-body system: transition from
  integrability to ergodicity in thermodynamic limit","4 pages in RevTex (6 figures in PostScript included)",,"10.1103/PhysRevLett.80.1808",,"cond-mat.stat-mech chao-dyn cond-mat.str-el nlin.CD",,"  Numerical evidence is given for non-ergodic (non-mixing) behavior, exhibiting
ideal transport, of a simple non-integrable many-body quantum system in the
thermodynamic limit, namely kicked $t-V$ model of spinless fermions on a ring.
However, for sufficiently large kick parameters $t$ and $V$ we recover quantum
ergodicity, and normal transport, which can be described by random matrix
theory.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 11:22:01 GMT""}]","2009-10-30"
"cond-mat/9707181","M. E. Gruner","M. E. Gruner, P. Entel","Monte Carlo simulations of magnetovolume instabilities in anti-Invar
  systems","7 pages, 4 figures, LaTeX2e, paper presented at ICAM '97 / E-MRS
  spring meeting, Strasbourg, France, 1997 - accepted for publication in Comp.
  Mat. Sci. (1998)","Comp. Mat. Sci. 10, 230 (1998)",,,"cond-mat.mtrl-sci",,"  We perform constant pressure Monte Carlo simulations of a spin-analogous
model which describes coupled spatial and magnetic degrees of freedom on an fcc
lattice. Our calculations qualitatively reproduce magnetovolume effects
observed in some rare earth manganese compounds, especially in the anti-Invar
material YMn2. These are a sudden collapse of the magnetic moment which is
connected with a huge volume change, and a largely enhanced thermal expansion
coefficient.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 13:05:28 GMT""}]","2008-02-03"
"cond-mat/9707182","James Badro","James Badro, Jean-Paul Iti\'e, Alain Polian and Philippe Gillet","XAS Study of the High Pressure Behaviour of Quartzlike Compounds","5 pages, 3 figures, LaTeX2e, J. de Physique (in press)",,,,"cond-mat.mtrl-sci",,"  EXAFS spectroscopy experiments have been carried out on quartz-like GaAsO4
and AlAsO4 at high pressure and room temperature. It has been shown that these
materials exhibit two structural phase transitions; the first transition to a
high pressure crystalline form occurs at 9 GPa and is reversible upon
decompression, whereas the second transition occurs at higher pressures and is
irreversible. In GaAsO4, EXAFS measurements agree with the predicted transition
from four- to six-fold coordination of oxygen atoms around the cations, but the
two local coordination transformations are not dissociated; in fact, both As
and Ga atoms exhibit a coordination change at the onset of the first phase
transition, the rate of transformation being significantly higher for Ga atoms.
In both cases, the average bond length increases very rapidly with pressure
thus yielding the first compression stage after the transition. In the second
stage, the average bond lengths increase slowly, ultimately reaching six-fold
coordination above 28 GPa and 24 GPa for As and Ga respectively. The behaviour
of the As K-edge EXAFS is the same for both compounds, and enables us to link
the behaviour of Ga and Al atoms. The local transformations are well described
and a direct link with phosphate berlinites seems timely.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 14:14:50 GMT""}]","2008-02-03"
"cond-mat/9707183","Arnab Majumdar","Parthapratim Biswas, Arnab Majumdar, Anita Mehta, J.K.Bhattacharjee","In search of smooth sandpiles: the Edwards-Wilkinson equation with flow","10 pages (revtex), 10 ps figures. Submitted to Physica A",,"10.1016/S0378-4371(97)00416-0",,"cond-mat.dis-nn cond-mat.stat-mech",,"  The well-known Edwards-Wilkinson equation with a flow term added exhibits a
smoothing fixed point in addition to the normal EW fixed point. Based on this,
we present a model of sandpiles involving a coupling between fixed and mobile
grains, which then shows the smoothing behaviour that would be expected to
obtain after avalanche propagation.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 14:26:03 GMT""}]","2015-06-25"
"cond-mat/9707184","James Badro","James Badro, Philippe Gillet, Paul F. McMillan, Alain Polian and
  Jean-Paul Iti\'e","A combined XAS and XRD Study of the High-Pressure Behaviour of GaAsO4
  Berlinite","8 pages, 5 figures, LaTeX2e",,"10.1209/epl/i1997-00500-3",,"cond-mat.mtrl-sci",,"  Combined X-ray absorption spectroscopy (XAS) and X-ray diffraction (XRD)
experiments have been carried out on GaAsO4 (berlinite structure) at high
pressure and room temperature. XAS measurements indicate four-fold to six-fold
coordination changes for both cations. The two local coordination
transformations occur at different rates but appear to be coupled. A reversible
transition to a high pressure crystalline form occurs around 8 GPa. At a
pressure of about 12 GPa, the system mainly consists of octahedral gallium
atoms and a mixture of arsenic in four-fold and six-fold coordinations. A
second transition to a highly disordered material with both cations in six-fold
coordination occurs at higher pressures and is irreversible.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 14:33:08 GMT""}]","2009-10-30"
"hep-lat/9707018","Stephen R. Sharpe","Stephen R. Sharpe","Enhanced chiral logarithms in partially quenched QCD","14 pages, 3 figures, uses psfig. Typos in eqs (18)-(20) corrected
  (alpha_4 is replaced by alpha_4/2)","Phys.Rev.D56:7052-7058,1997; Erratum-ibid.D62:099901,2000","10.1103/PhysRevD.56.7052 10.1103/PhysRevD.62.099901","UW/PT 97-18","hep-lat",,"  I discuss the properties of pions in ``partially quenched'' theories, i.e.
those in which the valence and sea quark masses, $m_V$ and $m_S$, are
different. I point out that for lattice fermions which retain some chiral
symmetry on the lattice, e.g. staggered fermions, the leading order prediction
of the chiral expansion is that the mass of the pion depends only on $m_V$, and
is independent of $m_S$. This surprising result is shown to receive corrections
from loop effects which are of relative size $m_S \ln m_V$, and which thus
diverge when the valence quark mass vanishes. Using partially quenched chiral
perturbation theory, I calculate the full one-loop correction to the mass and
decay constant of pions composed of two non-degenerate quarks, and suggest
various combinations for which the prediction is independent of the unknown
coefficients of the analytic terms in the chiral Lagrangian. These results can
also be tested with Wilson fermions if one uses a non-perturbative definition
of the quark mass.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 22:42:43 GMT""},{""version"":""v2"",""created"":""Thu, 3 Aug 2000 17:55:52 GMT""}]","2014-11-17"
"hep-lat/9707019","Yoichi Iwasaki","Y. Iwasaki","Phase Structure of Lattice QCD for General Number of Flavors","15 pages, 9 figures, Talk at 1996 International Workshop on
  Perspectives of Strong Coupling Gauge Theories, 13-16 Nov., 1996, Nagoya, to
  appear in the proceedings",,,"UTHEP-365, UTCCP-P-23","hep-lat hep-th",,"  We investigate the phase structure of lattice QCD for general number of
flavors $N_F$. Based on numerical results combined with the result of the
perturbation theory we propose the following picture: When $N_F \ge 17$, there
is only a trivial fixed point and therefore the theory in the continuum limit
is trivial. On the other hand, when $16 \ge N_F \ge 7$, there is a non-trivial
fixed point and therefore the theory is non-trivial with anomalous dimensions,
however, without quark confinement. Theories which satisfy both quark
confinement and spontaneous chiral symmetry breaking in the continuum limit
exist only for $N_F \le 6$.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 01:59:42 GMT""}]","2007-05-23"
"hep-lat/9707020","Sinya Aoki","S. Aoki","Phase Structure of Lattice QCD with Wilson fermion at Finite Temperature","14 pages, latex, 20 ps figures,to appear in Proceedings of Int.
  Workshop ""Lattice QCD on Parallel Computers"", University of Tsukuba, Japan","Nucl.Phys.Proc.Suppl. 60A (1998) 206-219","10.1016/S0920-5632(97)00483-0","UTHEP-366","hep-lat",,"  We review our attempt at understanding the phase structure of lattice QCD
with the Wilson fermion formulation at finite temperature, based on a
spontaneous breakdown of parity-flavor symmetry. Numerical results
demonstrating explicitly the spontaneous breakdown of parity-flavor symmetry
beyond the critical line at both zero and finite temperatures are reported. The
phase structure and order of the chiral transition are reported for $N_f=2$,3,
and 4 flavors, and the approach towards the continuum limit is discussed.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 07:45:58 GMT""}]","2009-10-30"
"hep-ph/9707362","Ralph Engel","R.Engel (DESY Hamburg), D.Yu.Ivanov (ITP Leipzig and Novosibirsk),
  R.Kirschner (ITP Leipzig), and L.Szymanowski (ITP Leipzig and Soltan Inst.
  Warsaw)","Diffractive meson production from virtual photons with odd charge-parity
  exchange","LaTeX, 19 pages, 8 ps-figs, epsfig","Eur.Phys.J.C4:93-99,1998","10.1007/s100520050188","DESY 97-139, NTZ 16/97","hep-ph",,"  We calculate the cross section of diffractive charge-parity C=+1 neutral
meson production in virtual photon proton collision at high energies. Due to
the opposite C-parities of photon and meson M (M = eta_C, pi^0, a_2) this
process probes the t-channel C=-1 odderon exchange which is described here as
noninteracting three-gluon exchange. Estimates for the cross section of the
inelastic diffractive process gamma^* p -> eta_C X_p are presented. The total
cross section of diffractive \eta_C meson photoproduction is found to be 47 pb.
The cross sections for the diffractive production of light mesons (pi^0, a_2)
in \gamma^* p collisions are of the same order if the photon virtuality Q^2 is
m^2_C.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 16:40:27 GMT""}]","2011-09-13"
