"alg-geom/9707014","Constantin Teleman","Constantin Teleman (Cambridge, UK)","Borel-Weil-Bott theory for Loop Groups","4 pages, Mac-created PostScript. May display incorrectly but should
  print OK",,,,"alg-geom hep-th math.AG",,"  This note outlines the Borel-Weil-Bott theory for (arbitrary-genus) flag
varieties of loop groups, following ideas of G. Segal. Recent revivalist
interest in the ""WZW fusion rules"" suggests that my original (CMP 1995)
treatment of the matter is not all that well understood, so a brief account
thereof has been recycled along with the more recent results. Proofs are only
outlined, with full details given in the references.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 18:50:23 GMT""}]","2008-02-03"
"gr-qc/9707042","Sebastiaan de Haro Olle","S. de Haro (University of Utrecht)","Non-Commutative Black Hole Algebra and String Theory from Gravity","19 pages, LaTeX. Journal reference corrected","Class.Quant.Grav. 15 (1998) 519-535","10.1088/0264-9381/15/3/006",,"gr-qc hep-th",,"  We generalize the action found by 't Hooft, which describes the gravitational
interaction between ingoing and outgoing particles in the neighbourhood of a
black hole. The effect of this back-reaction is that of a shock wave, and it
provides a mechanism for recovering information about the momentum of the
incoming particles. The new action also describes particles with transverse
momenta and takes into account the transverse curvature of the hole, and has
the form of a string theory action. Apart from the Polyakov term found by 't
Hooft, we also find an antisymmetric tensor, which is here related to the
momentum of the particles. At the quantum level, the identification between
position and momentum operators leads to four non-commuting coordinates. A
certain relation to M(atrix) theory is proposed.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 15:57:14 GMT""},{""version"":""v2"",""created"":""Mon, 12 Jan 1998 11:13:10 GMT""},{""version"":""v3"",""created"":""Mon, 16 Mar 1998 10:37:11 GMT""}]","2009-10-30"
"gr-qc/9707043","Takeshi Chiba","Takeshi Chiba, Shinji Mukohyama, and Takashi Nakamura","Anisotropy of the Cosmic Background Radiation implies the Violation of
  the Strong Energy Condition in Bianchi type I Universe","9 pages, to appear in Physics Letters B","Phys.Lett. B408 (1997) 47-51","10.1016/S0370-2693(97)00782-X","YITP-97-3","gr-qc astro-ph",,"  We consider the horizon problem in a homogeneous but anisotropic universe
(Bianchi type I). We show that the problem cannot be solved if (1) the matter
obeys the strong energy condition with the positive energy density and (2) the
Einstein equations hold. The strong energy condition is violated during
cosmological inflation.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 12:35:05 GMT""}]","2009-10-30"
"hep-ex/9707031","Preprints Libr/pam","CLEO Collaboration, J. Gronberg et al","Measurements of the Meson-Photon Transition Form Factors of Light
  Pseudoscalar Mesons at Large Momentum Transfer","30 page postscript file, postscript file also available through
  http://w4.lns.cornell.edu/public/CLNS","Phys.Rev.D57:33-54,1998","10.1103/PhysRevD.57.33","CLNS 97/1477, CLEO 97-7","hep-ex",,"  Using the CLEO~II detector, we have measured the differential cross sections
for exclusive two-photon production of light pseudoscalar mesons $\pi^0$,
$\eta$, and $\eta^{\prime}$. From our measurements we have obtained the form
factors associated with the electromagnetic transitions $\gamma^*\gamma$ $\to$
meson. We have measured these form factors in the momentum transfer ranges from
1.5 to 9, 20, and 30 GeV$^2$ for $\pi^0$, $\eta$, and $\eta^{\prime}$,
respectively, and have made comparisons to various theoretical predictions.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 19:40:40 GMT""},{""version"":""v2"",""created"":""Fri, 18 Jul 1997 15:51:16 GMT""}]","2010-04-08"
"hep-ex/9707032","Neville Harnew","D.S. Bailey (1), R.C. Carter (2), B. Foster (1), N. Harnew (3), G.P.
  Heath (1), M.D. Jeffs (2), T. Khatri (3), M. Lancaster (3), J.B. Lane (4),
  I.C. McArthur (3), J.D. McFall (3), R. Milborrow (2), C.J.S. Morgado (1),
  M.C. Morrissey (2), J. Nash (3), G. Nixon (4), D.A. Phillips (2), M.
  Postranecky (4), S.P.H. Quinton (2), P.D. Shield (3), S. Topp-Jorgensen (3),
  G. Westlake (2), D.J. White (2), F.F. Wilson (3). ((1) University of Bristol,
  (2) Rutherford Appleton Laboratory, (3) University of Oxford, (4) University
  College, London.)","The Design and Performance of the ZEUS Central Tracking Detector
  z-by-Timing System","49 pages, 32 figures. Accepted for publication in NIM-A","Nucl.Instrum.Meth. A396 (1997) 320-349","10.1016/S0168-9002(97)00790-0",,"hep-ex",,"  The ZEUS Central Tracking Detector utilizes a time difference measurement to
provide a fast determination of the z-coordinate of each hit. The z-by-timing
measurement is achieved by using a Time-to-Amplitude Converter which has an
intrinsic timing resolution of 36 ps, has pipelined readout, and has a multihit
capability of 48 ns. In order to maintain the required sub-nanosecond timing
accuracy, the technique incorporates an automated self-calibration system. The
readout of the z-by-timing data utilizes a fully customized timing control
system which runs synchronously with the HERA beam-crossing clock, and a data
acquisition system implemented on a network of Transputers. Three dimensional
space-points provided by the z-by-timing system are used as input to all three
levels of the ZEUS trigger and for offline track reconstruction. The average
z-resolution is determined to be 4.4 cm for multi-track events from
positron-proton collisions in the ZEUS detector.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 14:55:27 GMT""}]","2009-10-30"
"hep-lat/9707021","Gerrit Schierholz","M. G\""ockeler, R. Horsley, H. Perlt, P. Rakow, G. Schierholz, A.
  Schiller and P. Stephenson","Scaling of Non-Perturbatively O(a) Improved Wilson Fermions: Hadron
  Spectrum, Quark Masses and Decay Constants",,"Phys.Rev.D57:5562-5580,1998","10.1103/PhysRevD.57.5562","DESY 97-125, HUB-EP-97/38","hep-lat hep-ph",,"  We compute the hadron mass spectrum, the quark masses and the meson decay
constants in quenched lattice QCD with non-perturbatively $O(a)$ improved
Wilson fermions. The calculations are done for two values of the coupling
constant, $\beta = 6.0$ and 6.2, and the results are compared with the
predictions of ordinary Wilson fermions. We find that the improved action
reduces lattice artifacts as expected.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 16:17:50 GMT""}]","2008-11-26"
"hep-lat/9707022","Herbert Neuberger","Herbert Neuberger (Rutgers)","Exactly massless quarks on the lattice","7 pages, plain TeX; references corrected","Phys.Lett. B417 (1998) 141-144","10.1016/S0370-2693(97)01368-3","RU-97-63","hep-lat",,"  It is suggested that the fermion determinant for a vector-like gauge theory
with strictly massless quarks can be represented on the lattice as
$\det{{1+V}\over 2}$, where $V=X(X^\dagger X)^{-1/2}$ and $X$ is the
Wilson-Dirac lattice operator with a negative mass term. There is no undesired
doubling and no need for any fine tuning. Several other appealing features of
the formula are pointed out.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 21:23:53 GMT""},{""version"":""v2"",""created"":""Tue, 5 Aug 1997 16:34:29 GMT""},{""version"":""v3"",""created"":""Mon, 27 Oct 1997 20:50:21 GMT""}]","2009-10-30"
"hep-lat/9707023","Frithjof Karsch","B. Beinlich, F. Karsch, E. Laermann and A. Peikert","String Tension and Thermodynamics with Tree Level and Tadpole Improved
  Actions","20 pages, LaTeX2e File, 8 coloured Postscript figures, new analysis
  added, recent Wilson action string tension results included, figures replaced","Eur.Phys.J.C6:133-140,1999","10.1007/s100520050326","BI-TP 97/18","hep-lat",,"  We calculate the string tension, deconfinement transition temperature and
bulk thermodynamic quantities of the SU(3) gauge theory using tree level and
tadpole improved actions. Finite temperature calculations have been performed
on lattices with temporal extent N_tau = 3 and 4. Compared to calculations with
the standard Wilson action on this size lattices we observe a drastic reduction
of the cut-off dependence of bulk thermodynamic observables at high
temperatures. In order to test the influence of improvement on long-distance
observables at T_c we determine the ratio T_c/sqrt(sigma). For all actions,
including the standard Wilson action, we find results which differ only little
from each other. We do, however, observe an improved asymptotic scaling
behaviour for the tadpole improved action compared to the Wilson and tree level
improved actions.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 07:50:13 GMT""},{""version"":""v2"",""created"":""Thu, 26 Mar 1998 13:27:20 GMT""}]","2011-09-13"
"hep-lat/9707024","Christian B. Lang","C. B. Lang and T. K. Pany (Univ. Graz, Austria)","Fixed point action for the massless lattice Schwinger model","17 pages (LaTeX), 6 figures (EPS); update to the published version
  (sorry, one year too late!)","Nucl.Phys.B513:645-657,1998","10.1016/S0550-3213(97)00720-7","UNIGRAZ-UTP-18-07-97","hep-lat",,"  We determine non-perturbatively the fixed-point action for fermions in the
two-dimensional U(1) gauge (Schwinger) model. This is done by iterating a block
spin transformation in the background of non-compact gauge field configurations
sampled according to the (perfect) Gaussian measure. The resulting action has
123 independent couplings, is bilinear in the Grassmann fields, gauge-invariant
by considered the compact gauge transporters and localized within a $7\times 7$
lattice centered around one of the fermions. We then simulate the model at
various values of $\beta$ and compare with results obtained with the Wilson
fermion action. We find excellent improvement for the studied observables
(propagators and masses).
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 12:22:40 GMT""},{""version"":""v2"",""created"":""Wed, 23 Dec 1998 09:49:16 GMT""}]","2010-11-19"
"hep-lat/9707025","Vittorio Lubicz","M. Crisafulli, V. Lubicz and A. Vladikas","Improved Renormalization of Lattice Operators: A Critical Reappraisal","54 pages, Latex, 5 figures. Minor changes in text between eqs.(86)
  and (88)","Eur.Phys.J.C4:145-171,1998","10.1007/s100520050194","CERN-TH/97-15, ROME prep. 1163/97, ROM2F/97/23","hep-lat",,"  We systematically examine various proposals which aim at increasing the
accuracy in the determination of the renormalization of two-fermion lattice
operators. We concentrate on three finite quantities which are particularly
suitable for our study: the renormalization constants of the vector and axial
currents and the ratio of the renormalization constants of the scalar and
pseudoscalar densities. We calculate these quantities in boosted perturbation
theory, with several running boosted couplings, at the ""optimal"" scale q*. We
find that the results of boosted perturbation theory are usually (but not
always) in better agreement with non-perturbative determinations of the
renormalization constants than those obtained with standard perturbation
theory. The finite renormalization constants of two-fermion lattice operators
are also obtained non-perturbatively, using Ward Identities, both with the
Wilson and the tree-level Clover improved actions, at fixed cutoff ($\beta$=6.4
and 6.0 respectively). In order to amplify finite cutoff effects, the quark
masses (in lattice units) are varied in a large interval 0<am<1. We find that
discretization effects are always large with the Wilson action, despite our
relatively small value of the lattice spacing ($a^{-1} \simeq 3.7$ GeV). With
the Clover action discretization errors are significantly reduced at small
quark mass, even though our lattice spacing is larger ($a^{-1} \simeq 2$ GeV).
However, these errors remain substantial in the heavy quark region. We have
implemented a proposal for reducing O(am) effects, which consists in matching
the lattice quantities to their continuum counterparts in the free theory. We
find that this approach still leaves appreciable, mass dependent,
discretization effects.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 13:44:35 GMT""},{""version"":""v2"",""created"":""Tue, 13 Jan 1998 11:47:35 GMT""}]","2011-09-13"
"hep-ph/9707365","Sean Fleming","Sean Fleming (University of Wisconsin, Madison), Thomas Mehen (Johns
  Hopkins University)","Leptoproduction of J/psi","33 pages latex. 10 figures. Uses revtex, epsf, and rotate macros.
  This paper is also available via the UW phenomenology archives at
  http://phenom.physics.wisc.edu/pub/preprints/","Phys.Rev. D57 (1998) 1846-1857","10.1103/PhysRevD.57.1846","JHU--TIPAC--96022, MADPH-97-994","hep-ph hep-ex",,"  We study leptoproduction of $J/\psi$ at large $Q^2$ within the
nonrelativistic QCD (NRQCD) factorization formalism. The cross section is
dominated by color-octet terms that are of order $\alpha_s$. The color-singlet
term, which is of order $\alpha^2_s$, is shown to be a small contribution to
the total cross section. We also calculate the tree diagrams for color-octet
production at order $\alpha^2_s$ in a region of phase space where there is no
leading color-octet contribution. We find that in this regime the color-singlet
contribution dominates. We argue that non-perturbative corrections arising from
diffractive leptoproduction, higher twist effects, and higher order terms in
the NRQCD velocity expansion should be suppressed as $Q^2$ is increased.
Therefore, the color-octet matrix elements $< {\cal O}_8^{\psi}(^1S_0)>$ and
$<{\cal O}_8^{\psi}(^3P_0)>$ can be reliably extracted from this process.
Finally, we point out that an experimental measurement of the polarization of
leptoproduced $J/\psi$ will provide an excellent test of the NRQCD
factorization formalism.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 21:42:46 GMT""}]","2009-10-30"
"hep-ph/9707378","George Lazarides","G. Lazarides","Supersymmetry and Inflation","5 pages LaTeX 1 eps figure. Talk presented at SUSY 96,Maryland,May
  1996. Published in Nuclear Physics B(Proc.Suppl.) 52A(1997)242-245","Nucl.Phys.Proc.Suppl.52A:242-245,1997","10.1016/S0920-5632(96)00571-3",,"hep-ph",,"  A variant of hybrid inflation which is applicable in a wide class of
supersymmetric grand unified models and reproduces the observed temperature
perturbations of cosmic background radiation with natural values of the
parameters is presented. The theory is consistent with the unification of the
minimal supersymmetric standard model gauge couplings as measured at LEP. The
termination of inflation is smooth and does not produce any topological
defects. Numerical investigation of the cosmological evolution of the system
shows that for almost all initial values of the fields we do get an adequate
amount of inflation. Finally, the ""reheating"" process following inflation and
the production of the baryon asymmetry of the universe via a primordial lepton
asymmetry are briefly discussed and some important implications for right
handed neutrino Majorana masses are investigated.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 16:14:26 GMT""}]","2009-10-30"
"hep-ph/9707379","J. Gunion","J.F. Gunion (U.C. Davis)","Muon Colliders: The Machine and The Physics","18 pages, full postscript file is available via anonymous ftp at
  ftp://ucdhep.ucdavis.edu/gunion/bsmv.ps","AIP Conf.Proc. 415 (1997) 234-251","10.1063/1.54477","UCD-97-17","hep-ph hep-ex",,"  A review of muon colliders is presented. Basic features of the accelerator
and detector are outlined, and the very exciting physics prospects are
reviewed.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 22:28:19 GMT""},{""version"":""v2"",""created"":""Fri, 18 Jul 1997 02:16:38 GMT""}]","2009-10-30"
"hep-ph/9707380",,"V. Agrawal, S.M. Barr, J.F. Donoghue, and D. Seckel","The anthropic principle and the mass scale of the Standard Model","28 pages, LaTeX. No changes from version originally submitted to
  archive, except that problem with figure file has been corrected","Phys.Rev.D57:5480-5492,1998","10.1103/PhysRevD.57.5480","BA-97-26","hep-ph",,"  In theories in which different regions of the universe can have different
values of the the physical parameters, we would naturally find ourselves in a
region which has parameters favorable for life. We explore the range of
anthropically allowed values of the mass parameter in the Higgs potential,
$\mu^2$. For $\mu^2<0$, the requirement that complex elements be formed
suggests that the Higgs vacuum expectation value $v$ must have a magnitude less
than 5 times its observed value. For $\mu^2>0$, baryon stability requires that
$|\mu|<<M_P$, the Planck Mass. Smaller values of $|\mu^2|$ may or may not be
allowed depending on issues of element synthesis and stellar evolution. We
conclude that the observed value of $\mu^2$ is reasonably typical of the
anthropically allowed range, and that anthropic arguments provide a plausible
explanation for the closeness of the QCD scale and the weak scale.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 20:24:56 GMT""},{""version"":""v2"",""created"":""Tue, 29 Jul 1997 20:32:40 GMT""}]","2011-05-12"
"hep-ph/9707381","Misha Eides","Michael I. Eides (Petersburg Nuclear Physics Institute, Russia, and
  Pennsylvania State University, USA) and Howard Grotch (Pennsylvania State
  University, USA)","Radiative Correction to the Nuclear-Size Effect and Hydrogen-Deuterium
  Isotopic Shift","5 pages, REVTEX, replaced with the final version, to be published in
  Phys.Rev. A, two references added","Phys.Rev.A56:2507-2509,1997","10.1103/PhysRevA.56.R2507","PSU/TH/186","hep-ph physics.atom-ph",,"  The radiative correction to the nuclear charge radius contribution to the
Lamb shift of order $\alpha(Z\alpha)^5m_r^3<r^2>$ is calculated. In view of the
recent high precision experimental data, this theoretical correction produces a
significant contribution to the hydrogen-deuterium isotopic shift.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 20:38:51 GMT""},{""version"":""v2"",""created"":""Fri, 19 Sep 1997 16:55:14 GMT""}]","2014-11-17"
"hep-ph/9707382",,"S. J. Brodsky and G. A. Miller","Is J/psi-Nucleon Scattering Dominated by the Gluonic van der Waals
  Interaction?","LaTex, 12 pages","Phys.Lett.B412:125-130,1997","10.1016/S0370-2693(97)01045-9","SLAC-PUB-7553, DOE/ER/40561-330-INT97-19-07, DOE/ER/41014-16-N97","hep-ph nucl-th",,"  The gluon-exchange contribution to $J/\psi$-nucleon scattering is shown to
yield a sizeable scattering length of about -0.25 fm, which is consistent with
the sparse available data. Hadronic corrections to gluon exchange which are
generated by $\rho\pi$ and $D\bar D$ intermediate states of the $J/\psi$ are
shown to be negligible. We also propose a new method to study $J/\psi$-nucleon
elastic scattering in the reaction $\pi^+ d\to J/\psi p p$.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 21:49:08 GMT""}]","2009-09-11"
"hep-ph/9707383","Gavin Salam","G.P. Salam","Angular ordering and small-x evolution","9 pages, LaTeX, 6 figures. Talk presented at Ringberg workshop: New
  trends in HERA Physics, Germany, May 1997. Minor modifications made to text",,,"IFUM-577-FT","hep-ph",,"  This talks examines the effect of angular ordering on the small-x evolution
of the unintegrated gluon distribution, and discusses the characteristic
function for the CCFM equation, as well as some preliminary results on
final-state properties.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 23:07:05 GMT""},{""version"":""v2"",""created"":""Fri, 18 Jul 1997 18:37:30 GMT""}]","2008-02-03"
"hep-ph/9707384","Davison E. Soper","Davison E. Soper","Diffraction in DIS and Elsewhere","Talk at DIS97 Conference, Chicago, April 1997. Eleven pages including
  nine figures",,"10.1063/1.53586",,"hep-ph",,"  I review some of the results presented in the working group on diffraction at
DIS97, with a particular emphasis on the theory of diffractive hard scattering.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 22:32:54 GMT""}]","2009-10-30"
"hep-ph/9707385","Susan Gardner","S. Gardner and H.B. O'Connell (Kentucky)","Rho-Omega Mixing and the Pion Form Factor in the Time-like Region","20 pages, REVTeX, epsfig, 2 ps figures, minor changes","Phys.Rev.D57:2716-2726,1998; Erratum-ibid.D62:019903,2000;
  Phys.Rev.D62:019903,2000","10.1103/PhysRevD.57.2716 10.1103/PhysRevD.62.019903","UK/TP 97-10","hep-ph nucl-th",,"  We determine the magnitude, phase, and $s$-dependence of $\rho$-$\omega$
``mixing'' in the pion form factor in the time-like region through fits to
$e^+e^- \ra \pi^+ \pi^-$ data. The associated systematic errors in these
quantities, arising from the functional form used to fit the $\rho$ resonance,
are small. The systematic errors in the $\rho$ mass and width, however, are
larger than previously estimated.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 02:57:17 GMT""},{""version"":""v2"",""created"":""Fri, 17 Apr 1998 02:05:03 GMT""}]","2014-11-17"
"hep-ph/9707386","Witold Skiba","Csaba Csaki, Lisa Randall and Witold Skiba (MIT)","Composite Intermediary and Mediator Models of Gauge-Mediated
  Supersymmetry Breaking","20 pages, LaTeX, 1 figure","Phys.Rev.D57:383-390,1998","10.1103/PhysRevD.57.383","MIT-CTP-2654","hep-ph",,"  We discuss gauge-mediated models which employ a tree-level mass term in the
superpotential. We give explicit composite realizations in which the mass terms
are not fundamental. Instead, they arise as effective terms in the
superpotential from confining gauge dynamics.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 02:33:57 GMT""}]","2009-09-15"
"hep-ph/9707387","Wally Melnitchouk","W. Melnitchouk (U. Maryland) and A.W. Thomas (U. Adelaide)","HERA Anomaly and Hard Charm in the Nucleon","extra figure included, version to appear in Phys. Lett. B","Phys.Lett.B414:134-139,1997","10.1016/S0370-2693(97)01150-7","UMD PP 98-003, ADP-97-25/T260","hep-ph nucl-th",,"  We explore the possibility that the excess neutral and charged current events
seen by the H1 and ZEUS Collaborations at HERA at large x and Q^2 could arise
from a hard charm component of the nucleon. While the symmetric intrinsic charm
hypothesis is unable to account for the HERA anomaly, a non-symmetric charm
distribution generated non-perturbatively, for which c-bar is much harder than
c, can produce significant enhancement of cross sections at the HERA
kinematics.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 02:54:18 GMT""},{""version"":""v2"",""created"":""Mon, 15 Sep 1997 05:56:52 GMT""}]","2008-11-26"
"hep-ph/9707388",,"F. Coester, D. O. Riska","Poincare Covariant Quark Models of Baryon Form Factors","Acknowledgments expanded","Few Body Syst.25:29-43,1998","10.1007/s006010050092",,"hep-ph",,"  Poincare covariant quark models of the the nucleon, the $\Delta$ resonance
and their excitations are explored. The baryon states are represented by
eigenfunctions of the four-velocity and a confining mass operator, which
reproduces the empirical spectrum up to $\sim$ 1700 MeV to an accuracy of $\sim
6%$. Models of constituent quark currents provide the relations between
ground-state properties and transition amplitudes.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 05:52:39 GMT""},{""version"":""v2"",""created"":""Tue, 22 Jul 1997 11:52:06 GMT""}]","2010-11-19"
"hep-ph/9707389","Daniele Treleani","Giorgio Calucci and Daniele Treleani","Minijets and the Two-Body Parton Correlation","19 pages, plane tex, no figures","Phys.Rev. D57 (1998) 503-511","10.1103/PhysRevD.57.503",,"hep-ph",,"  A large number of double parton scatterings have been recently measured by
CDF. The double parton scattering process measures $\sigma_{eff}$, a non
perturbative quantity related to the hadronic transverse size and with the
dimensions of a cross section. The actual value measured by CDF is considerably
smaller as compared with the naive expectation, namely the value of the
inelastic non diffractive cross section. The small value of $\sigma_{eff}$ may
be an effect of the hadron structure in transverse plane. We discuss the
problem by taking into account, at all orders, the two-body parton correlations
in the many-body parton distributions.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 08:15:57 GMT""}]","2009-10-30"
"hep-ph/9707390",,"G. Camici and M. Ciafaloni (Dipartimento di Fisica, Universita` di
  Firenze and INFN, Sezione di Firenze)","Irreducible part of the next-to-leading BFKL kernel","16 pages, LaTex2e, including 3 eps figures","Phys.Lett. B412 (1997) 396-406; Erratum-ibid. B417 (1998) 390","10.1016/S0370-2693(97)01073-3",,"hep-ph",,"  On the basis of previous work by Fadin, Lipatov, and collaborators, and of
our group, we extract the ""irreducible"" part of the next-to-leading (NL) BFKL
kernel, we compute its (IR finite) eigenvalue function, and we discuss its
implications for small-x structure functions. We find consistent running
coupling effects and sizable NL corrections to the Pomeron intercept and to the
gluon anomalous dimension. The qualitative effect of such corrections is to
smooth out the small-x rise of structure functions at low values of Q2. A more
quantitative analysis will be possible after the extraction of some additional,
energy-scale dependent contributions to the kernel, which are not treated here.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 09:01:25 GMT""}]","2009-10-30"
"hep-ph/9707391","Kordian Andrzej Smolinski","Pawel Caban, Jakub Rembielinski, and Kordian A. Smolinski","Decays of spacelike neutrinos","RevTeX 3.1, 14 pages, 12 figures",,,"KFT UL 1/97","hep-ph astro-ph",,"  In this paper we consider the hypothesis that neutrinos are fermionic
tachyons with helicity 1/2. We propose an effective model of interactions of
these neutrinos and analyze dominant effects under the above hypothesis: the
three-body neutrino decay, the radiative decay and briefly discuss beta-decay
with tachyonic antineutrino. We calculate the corresponding amplitudes and the
mean life time for decays, as well as the differential decay width. In addition
we apply the neutrino three-body decay to the solar neutrino problem and we
obtain a remarkable change of energy spectrum of the neutrino flux at the Earth
ground (assuming no neutrino oscillation). We compare the results with the
Standard Solar Model predictions and solar neutrino experiments to estimate an
upper bound for the taonic neutrino.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 09:28:50 GMT""}]","2007-05-23"
"hep-ph/9707392","Nicos Stefanis","G.C. Gellas, A.I. Karanikas, C.N. Ktorides, and N.G. Stefanis","Worldline approach to Sudakov-type form factors in non-Abelian gauge
  theories","18 pages. RevTex is used. No figures","Phys.Lett. B412 (1997) 95-103","10.1016/S0370-2693(97)01055-1","UA/NPPS-97-06, RUB-TPII-04/97","hep-ph",,"  We calculate Sudakov-type form factors for isolated spin-1/2 particles
(fermions) entering non-Abelian gauge-field systems. We consider both the on-
and the off-mass-shell case using a methodology which rests on a worldline
casting of field theories. The simplicity and utility of our approach derives
from the fact that we are in a position to make, a priori, a more transparent
separation (factorization), with respect to a given scale, between short- and
long-distance physics than diagramatic methods.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 13:00:58 GMT""}]","2009-10-30"
"hep-ph/9707393","Sergio Lupia","Sergio Lupia and Wolfgang Ochs (Max-Planck-Inst. fuer Physik, Munich)","Unified QCD Description of Hadron and Jet Multiplicities","LaTeX, 15 pages, 3 figures","Phys.Lett. B418 (1998) 214-222","10.1016/S0370-2693(97)01388-9","MPI-PhT/97-46","hep-ph",,"  The evolution equation for parton multiplicities in quark and gluon jets
which takes into account the soft gluon interference is solved numerically
using the initial conditions at threshold. If the k_T-cutoff Q_c is lowered
towards the hadronic scale Q_0 of a few hundred MeV, the jets are fully
resolved into hadrons. Both hadron and jet multiplicities in e+e- annihilation
are well described with a common normalization. Evidence is presented within
this perturbative approach that the coupling \alpha_s(k_T) rises by an order of
magnitude when approaching the low energy region. The ratio of hadron
multiplicities in gluon and quark jets is found smaller than in previous
approximate solutions of the evolution equation.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 14:41:10 GMT""}]","2009-10-30"
"hep-th/9707151",,"A. Ushveridze","New Fundamental Symmetries of Integrable Systems and Partial Bethe
  Ansatz","49 pages, LaTeX","Annals Phys. 266 (1998) 81-134","10.1006/aphy.1998.5797",,"hep-th cond-mat math-ph math.MP math.QA nlin.SI q-alg solv-int",,"  We introduce a new concept of quasi-Yang-Baxter algebras. The quantum
quasi-Yang-Baxter algebras being simple but non-trivial deformations of
ordinary algebras of monodromy matrices realize a new type of quantum dynamical
symmetries and find an unexpected and remarkable applications in quantum
inverse scattering method (QISM). We show that applying to quasi-Yang-Baxter
algebras the standard procedure of QISM one obtains new wide classes of quantum
models which, being integrable (i.e. having enough number of commuting
integrals of motion) are only quasi-exactly solvable (i.e. admit an algebraic
Bethe ansatz solution for arbitrarily large but limited parts of the spectrum).
These quasi-exactly solvable models naturally arise as deformations of known
exactly solvable ones. A general theory of such deformations is proposed. The
correspondence ``Yangian --- quasi-Yangian'' and ``$XXX$ spin models ---
quasi-$XXX$ spin models'' is discussed in detail. We also construct the
classical conterparts of quasi-Yang-Baxter algebras and show that they
naturally lead to new classes of classical integrable models. We conjecture
that these models are quasi-exactly solvable in the sense of classical inverse
scattering method, i.e. admit only partial construction of action-angle
variables.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 17:02:41 GMT""}]","2009-10-30"
"hep-th/9707157","David Kastor","David Kastor and Jennie Traschen","A Very Effective String Model?","19 pages, harvmac (b)","Phys. Rev. D 57, 4862 (1998)","10.1103/PhysRevD.57.4862","UMHEP-444","hep-th",,"  Additional evidence is presented for a recently proposed effective string
model, conjectured to hold throughout the parameter space of the basic 5
dimensional, triply charged black holes, which includes the effects of brane
excitations, as well as momentum modes. We compute the low energy spacetime
absorption coefficient $\sigma$ for the scattering of a triply-charged scalar
field in the near extremal case, and conjecture an exact form for $\sigma$. It
is shown that this form of $\sigma$ arises simply from the effective string
model. This agreement encompasses both statistical factors coming from the Bose
distributions of string excitations and a prefactor which depends on the
effective string radius. An interesting feature of the effective string model
is that the change in mass of the effective string system in an emission
process is not equal to the change in the energies of the effective string
excitations. If the model is valid, this may hold clues towards understanding
back reaction due to Hawking radiation. A number of weak spots and open
questions regarding the model are also noted.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 16:00:02 GMT""}]","2016-08-25"
"hep-th/9707158","Seiberg","Duiliu-Emanuel Diaconescu and Nathan Seiberg","The Coulomb Branch of (4,4) Supersymmetric Field Theories in Two
  Dimensions","18 pages, minor changes","JHEP 9707:001,1997","10.1088/1126-6708/1997/07/001","IAS-97-84, RU-97-62","hep-th",,"  We study (4,4) supersymmetric field theories in two dimensions with a one
dimensional Coulomb branch. These theories have applications in string theory.
Our analysis explains the known relation between $A-D-E$ groups and modular
invariants of affine SU(2).
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 18:42:44 GMT""},{""version"":""v2"",""created"":""Tue, 22 Jul 1997 06:45:00 GMT""},{""version"":""v3"",""created"":""Wed, 6 Aug 1997 15:24:38 GMT""}]","2015-06-26"
