"adap-org/9707002","Peter Grassberger","Hans-Martin Broeker and Peter Grassberger","Random Neighbor Theory of the Olami-Feder-Christensen Earthquake Model","18 pages, 6 ps-figures included; minor correction in sec.5",,"10.1103/PhysRevE.56.3944","HLRZ1997-22","adap-org nlin.AO",,"  We derive the exact equations of motion for the random neighbor version of
the Olami-Feder-Christensen earthquake model in the infinite-size limit. We
solve them numerically, and compare with simulations of the model for large
numbers of sites. We find perfect agreement. But we do not find any scaling or
phase transitions, except in the conservative limit. This is in contradiction
to claims by Lise & Jensen (Phys. Rev. Lett. 76, 2326 (1996)) based on
approximate solutions of the same model. It indicates again that scaling in the
Olami-Feder-Christensen model is only due to partial synchronization driven by
spatial inhomogeneities. Finally, we point out that our method can be used also
for other SOC models, and treat in detail the random neighbor version of the
Feder-Feder model.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 12:37:31 GMT""},{""version"":""v2"",""created"":""Tue, 16 Sep 1997 13:25:44 GMT""}]","2009-10-30"
"cond-mat/9707115","Harsh Mathur","H. Mathur (Case Western Reserve Univ)","Feynman's Propagator Applied to Network Models of Localization","Latex, 14 pages, 2 figs",,"10.1103/PhysRevB.56.15794",,"cond-mat.mes-hall cond-mat.dis-nn",,"  Network models of dirty electronic systems are mapped onto an interacting
field theory of lower dimensionality by intepreting one space dimension as
time. This is accomplished via Feynman's interpretation of anti-particles as
particles moving backwards in time. The method developed maps calculation of
the moments of the Landauer conductance onto calculation of correlation
functions of an interacting field theory of bosons and fermions. The resulting
field theories are supersymmetric and closely related to the supersymmetric
spin-chain representations of network models recently discussed by various
authors. As an application of the method, the two-edge Chalker-Coddington model
is shown to be Anderson localized, and a delocalization transition in a related
two-edge network model (recently discussed by Balents and Fisher) is studied by
calculation of the average Landauer conductance.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 03:43:27 GMT""}]","2009-10-30"
"cond-mat/9707116","Jeongman Park","Jeong-Man Park and Michael W. Deem (UCLA)","Disorder-Induced Anomalous Kinetics in the $A+A \to \emptyset$ Reaction","REVTEX, 4 pages. More discussion added. To appear in Phys. Rev. E
  (March, 1998)",,"10.1103/PhysRevE.57.3618",,"cond-mat.stat-mech",,"  We address the two-dimensional bimolecular annihilation reaction $A + A \to
\emptyset$ in the presence of random impurities. Impurities with sufficiently
long-ranged interaction energies are known to lead to anomalous diffusion,
$<r^2(t)> \sim t^{1-\delta}$, in the absence of reaction. Applying
renormalization group theory to a field theoretic description of this reaction,
we find that this disorder also leads to anomalous kinetics in the long time
limit: $c(t) \sim t^{\delta -1}$. This kinetics results because the disorder
forces the system into the (sub)diffusion controlled regime, in which the
kinetics must become anomalous.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 04:31:39 GMT""},{""version"":""v2"",""created"":""Thu, 24 Jul 1997 03:34:37 GMT""},{""version"":""v3"",""created"":""Thu, 12 Feb 1998 04:26:29 GMT""}]","2009-10-30"
"cond-mat/9707117","Jean-Philippe Bouchaud","J.P. Bouchaud (SPEC, Saclay)","Peierls instability of vortex tubes","LateX, 5 pages","Comptes Rendus a l'Academie des Sciences (Paris) II, 323, p. 113
  (1996)",,,"cond-mat",,"  Using results of Goldstone and Jaffe, we discuss the possibility of a low
temperature instability of vortex tubes to a `folded' state, driven by the
coupling to the normal electron states inside the cores. The basic mechanism is
that a bended tube creates an effective potential for the electrons, which
destabilizes the tube in a way reminiscent of the usual Peierls instability.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 08:07:01 GMT""}]","2007-05-23"
"cond-mat/9707118","Julius Hohlfeld","J. Hohlfeld, U. Conrad, and E. Matthias","Does femtosecond time-resolved second-harmonic generation probe electron
  temperatures at surfaces?","11 pages, 4 figures","Appl. Phys. B 63, 541-544 (1996)","10.1007/BF01828954",,"cond-mat",,"  Femtosecond pump-probe second-harmonic generation (SHG) and transient linear
reflectivity measurements were carried out on polycrystalline Cu, Ag and Au in
air to analyze whether the electron temperature affects Fresnel factors or
nonlinear susceptibilities, or both. Sensitivity to electron temperatures was
attained by using photon energies near the interband transition threshold. We
find that the nonlinear susceptibility carries the electron temperature
dependence in case of Ag and Au, while for Cu the dependence is in the Fresnel
factors. This contrasting behavior emphasizes that SHG is not a priori
sensitive to electron dynamics at surfaces or interfaces, notwithstanding its
cause.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 11:59:07 GMT""}]","2015-06-25"
"cond-mat/9707119","Cheianov Vadim","V.V. Cheianov, A.P. Dmitriev and V.Yu.Kachorovskii","Splitting of Landau levels of a 2D electron due to electron-phonon
  interactions","4 pages, LaTeX",,"10.1103/PhysRevB.58.776",,"cond-mat.mes-hall",,"  We show that in a very strong magnetic field $B$ electron-phonon interaction
gives rise to a splitting of Landau levels of a 2D electron into a series of
infinitely degenerate sublevels. We provide both qualitative and quantitative
description of this phenomenon. The cases of interaction with acoustic and
polar optical phonons are considered. The energy distance between nearest
sublevels in both cases tends to zero as $B^{-1/2}$ at large $B$.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 13:57:52 GMT""}]","2009-10-30"
"cond-mat/9707120","Sergei Nechaev","Alain Comtet, Sergei Nechaev","Random Operator Approach for Word Enumeration in Braid Groups","36 pages, LaTeX, 4 separated Postscript figures, submitted to Nucl.
  Phys. B [PM]",,"10.1088/0305-4470/31/26/003",,"cond-mat.stat-mech",,"  We investigate analytically the problem of enumeration of nonequivalent
primitive words in the braid group B_n for n >> 1 by analysing the random word
statistics and the target space on the basis of the locally free group
approximation. We develop a ""symbolic dynamics"" method for exact word
enumeration in locally free groups and bring arguments in support of the
conjecture that the number of very long primitive words in the braid group is
not sensitive to the precise local commutation relations. We consider the
connection of these problems with the conventional random operator theory,
localization phenomena and statistics of systems with quenched disorder. Also
we discuss the relation of the particular problems of random operator theory to
the theory of modular functions
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 14:02:23 GMT""}]","2009-10-30"
"cond-mat/9707121","Sergei Nechaev","Jean Desbois, Sergei Nechaev","Statistics of reduced words in locally free and braid groups: Abstract
  studies and application to ballistic growth model","29 pages, LaTeX, 7 separated Postscript figures (available on
  request), submitted to J. Phys. (A): Math. Gen",,"10.1088/0305-4470/31/12/004",,"cond-mat.stat-mech",,"  We study numerically and analytically the average length of reduced
(primitive) words in so-called locally free and braid groups. We consider the
situations when the letters in the initial words are drawn either without or
with correlations. In the latter case we show that the average length of the
reduced word can be increased or lowered depending on the type of correlation.
The ideas developed are used for analytical computation of the average number
of peaks of the surface appearing in some specific ballistic growth model
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 14:55:16 GMT""}]","2009-10-30"
"cond-mat/9707122","Robert Graham","Martin Fliesser (1), Andr\'as Csord\'as (2), Robert Graham (1), and
  P\'eter Sz\'epfalusy (3) ((1) Fachbereich Physik,
  Universit\""at-Gesamthochschule Essen, Germany, (2) Research Group for
  Statistical Physics of the Hungarian Academy of Sciences, Budapest, Hungary,
  (3) Institute for Solid State Physics, E\""otv\""os University, and Research
  Institute for Solid State Physics, Budapest, Hungary)","Classical quasi-particle dynamics in trapped Bose condensates","13 pages Latex, 6 eps.gz-figures",,"10.1103/PhysRevA.56.4879",,"cond-mat",,"  The dynamics of quasi-particles in repulsive Bose condensates in a harmonic
trap is studied in the classical limit. In isotropic traps the classical motion
is integrable and separable in spherical coordinates. In anisotropic traps the
classical dynamics is found, in general, to be nonintegrable. For
quasi-particle energies E much smaller than thechemical potential, besides the
conserved quasi-particle energy, we identify two additional nearly conserved
phase-space functions. These render the dynamics inside the condensate
(collective dynamics) integrable asymptotically for E/chemical potential very
small. However, there coexists at the same energy a dynamics confined to the
surface of the condensate, which is governed by a classical Hartree-Fock
Hamiltonian. We find that also this dynamics becomes integrable for E/chemical
potential very small, because of the appearance of an adiabatic invariant. For
E/chemical potential of order 1 a large portion of the phase-space supports
chaotic motion, both, for the Bogoliubov Hamiltonian and its Hartree-Fock
approximant. To exemplify this we exhibit Poincar\'e surface of sections for
harmonic traps with the cylindrical symmetry and anisotropy found in TOP traps.
For E/chemical potential very large the dynamics is again governed by the
Hartree-Fock Hamiltonian. In the case with cylindrical symmetry it becomes
quasi-integrable because the remaining small chaotic components in phase space
are tightly confined by tori.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 15:02:31 GMT""}]","2009-10-30"
"gr-qc/9707024","Bill Hiscock","William A. Hiscock (Montana State University)","Quantum effects in the Alcubierre warp drive spacetime","9 pages, ReVTeX","Class.Quant.Grav.14:L183-L188,1997","10.1088/0264-9381/14/11/002","MSUPHY97.12","gr-qc",,"  The expectation value of the stress-energy tensor of a free conformally
invariant scalar field is computed in a two-dimensional reduction of the
Alcubierre ``warp drive'' spacetime. The stress-energy is found to diverge if
the apparent velocity of the spaceship exceeds the speed of light. If such
behavior occurs in four dimensions, then it appears implausible that ``warp
drive'' behavior in a spacetime could be engineered, even by an arbitrarily
advanced civilization.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 18:29:53 GMT""}]","2010-04-06"
"gr-qc/9707025","Luis Anchordoqui","Luis A. Anchordoqui, A. G. Grunfeld and Diego F. Torres","Vacuum static Brans-Dicke wormhole","4 pages in revtex","Grav.Cosmol. 4 (1998) 287-290",,,"gr-qc",,"  A simple Lorentzian vacuum wormhole solution of Brans-Dicke gravitation is
presented and analysed. It is shown that such solution holds for both, the
Brans-Dicke theory endowed with torsion (for a value of the coupling parameter
$\omega > 1/2$) and for the vacuum -no torsion- case (for $\omega < -2$).
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 21:16:47 GMT""}]","2007-05-23"
"gr-qc/9707026","Paul Anderson","Paul R. Anderson and Courtney D. Mull","Constraints on Black Holes in Classical and Semiclassical Theories of
  Gravity","7 pages, ReVTeX",,,,"gr-qc",,"  Constraints on the geometry of a static spherically symmetric black hole are
obtained by requiring the spacetime curvature to be analytic at the event
horizon. For a zero temperature black hole further constraints are obtained by
also requiring that the semiclassical trace equation be satisfied when
conformally invariant fields are present. It is found that zero temperature
black holes whose sizes lie within a certain range do not exist. The range
depends on the numbers and types of conformally invariant quantized fields that
are present.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 13:59:59 GMT""}]","2007-05-23"
"hep-ex/9707024","Gregorio Bernardi","Ursula Bassler and Gregorio Bernardi","Some Properties of the Very High Q^2 Events of HERA","Version accepted for publication in Zeitschrift f. Physik. Minor
  modifications. Plain latex, 5 figures","Z.Phys. C76 (1997) 223-230",,"DESY 97-136","hep-ex hep-ph",,"  The kinematic reconstruction of neutral current high Q^2 events at HERA is
discussed in detail using as an example the recently published events of the H1
and ZEUS collaborations at Q^2 > 15000 GeV^2 and M > 180 GeV, which are more
numerous than expected from Standard Model predictions. Taking into account the
complete information of these events, the mass reconstruction is improved and
the difference between the average mass of the samples of the two experiments
is reduced from 26+/-10 GeV to 17+/-7 GeV, but remains different enough to
render unlikely an interpretation of the excess observed by the two
collaborations as originating from the decay of a single narrow resonance.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 19:32:15 GMT""},{""version"":""v2"",""created"":""Sat, 26 Jul 1997 22:09:44 GMT""}]","2008-02-03"
"hep-ex/9707025","Qiang Zhu","ZEUS Collaboration","Measurement of the Proton Structure Function F_2 and
  \sigma_{tot}^{\gamma^* p} at Low Q^2 and Very Low x at HERA","18 pages including 4 figures","Phys.Lett.B407:432-448,1997","10.1016/S0370-2693(97)00905-2","DESY-97-135","hep-ex",,"  A small electromagnetic sampling calorimeter, installed in the ZEUS
experiment in 1995, significantly enhanced the acceptance for very low x and
low Q^2 inelastic neutral current scattering, e^{+}p \to e^{+}X, at HERA. A
measurement of the proton structure function F_2 and the total virtual
photon-proton (\gamma^*p) cross-section is presented for 0.11 \le Q^{2} \le
0.65 GeV^2 and 2 \times 10^{-6} \le x \le 6 \times 10^{-5}, corresponding to a
range in the \gamma^{*}p c.m. energy of 100 \le W \le 230 GeV. Comparisons with
various models are also presented.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 15:36:14 GMT""},{""version"":""v2"",""created"":""Wed, 16 Jul 1997 19:59:03 GMT""},{""version"":""v3"",""created"":""Thu, 17 Jul 1997 16:05:48 GMT""}]","2012-08-27"
"hep-lat/9707006","Stephen R. Sharpe","Greg Kilcup, Rajan Gupta and Stephen Sharpe","Staggered fermion matrix elements using smeared operators","22 pages, 1 figure, uses epsf","Phys.Rev. D57 (1998) 1654-1665","10.1103/PhysRevD.57.1654","LAUR-97-2134 and UW/PT-97-16","hep-lat hep-ph",,"  We investigate the use of two kinds of staggered fermion operators, smeared
and unsmeared. The smeared operators extend over a $4^4$ hypercube, and tend to
have smaller perturbative corrections than the corresponding unsmeared
operators. We use these operators to calculate kaon weak matrix elements on
quenched ensembles at $\beta=6.0$, 6.2 and 6.4. Extrapolating to the continuum
limit, we find $B_K(NDR, 2 GeV)= 0.62\pm 0.02(stat)\pm 0.02(syst)$. The
systematic error is dominated by the uncertainty in the matching between
lattice and continuum operators due to the truncation of perturbation theory at
one-loop. We do not include any estimate of the errors due to quenching or to
the use of degenerate $s$ and $d$ quarks. For the $\Delta I = {3/2}$
electromagnetic penguin operators we find $B_7^{(3/2)} = 0.62\pm 0.03\pm 0.06$
and $B_8^{(3/2)} = 0.77\pm 0.04\pm 0.04$. We also use the ratio of unsmeared to
smeared operators to make a partially non-perturbative estimate of the
renormalization of the quark mass for staggered fermions. We find that tadpole
improved perturbation theory works well if the coupling is chosen to be
$\alpha_\MSbar(q^*=1/a)$.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 17:32:13 GMT""}]","2009-10-30"
"hep-lat/9707007","Massimo","Massimo Testa","The Rome Approach to Chirality","18 pages, latex, no figures; talk presented at the APCPT--ICTP Joint
  International Conference '97 (AIJIC97)",,,,"hep-lat hep-ph hep-th",,"  Some general considerations on the problem of non perturbative definition of
Chiral Gauge Theories are presented and exemplified within the particular
proposal known as the Rome Approach.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 09:59:53 GMT""}]","2007-05-23"
"hep-lat/9707008","Doug Toussaint","MILC collaboration: Claude Bernard, Thomas A. DeGrand, Carleton DeTar,
  Steven Gottlieb, Urs M. Heller, James E. Hetrick, Craig McNeile, Kari
  Rummukainen, Bob Sugar, Doug Toussaint and Matthew Wingate","Exotic mesons in quenched lattice QCD","30 pages, LaTeX, PostScript figures included, 2 typos fixed in table
  6","Phys.Rev.D56:7039-7051,1997","10.1103/PhysRevD.56.7039",,"hep-lat hep-ph",,"  Since gluons in QCD are interacting fundamental constituents just as quarks
are, we expect that in addition to mesons made from a quark and an antiquark,
there should also be glueballs and hybrids (bound states of quarks, antiquarks
and gluons). In general, these states would mix strongly with the conventional
q-bar-q mesons. However, they can also have exotic quantum numbers inaccessible
to q-bar-q mesons. Confirmation of such states would give information on the
role of ""dynamical"" color in low energy QCD. In the quenched approximation we
present a lattice calculation of the masses of mesons with exotic quantum
numbers. These hybrid mesons can mix with four quark (q-bar-q-bar-q-q) states.
The quenched approximation partially suppresses this mixing. Nonetheless, our
hybrid interpolating fields also couple to four quark states. Using a four
quark source operator, we demonstrate this mixing for the 1-+ meson. Using the
conventional Wilson quark action, we calculate both at reasonably light quark
masses, intending to extrapolate to small quark mass, and near the charmed
quark mass, where we calculate the masses of some c-bar-c-g hybrid mesons. The
hybrid meson masses are large --- over 4 GeV for charmonium and more than twice
the vector meson mass at our smallest quark mass, which is near the strange
quark mass.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 10:45:05 GMT""},{""version"":""v2"",""created"":""Mon, 14 Jul 1997 01:30:29 GMT""}]","2008-11-26"
"hep-ph/9707308",,"D. Kharzeev, M. Nardi and H. Satz","Anomalous J/Psi suppression and the nature of deconfinement","LaTex, 7 pages, 2 figures",,,"BI-TP 97/33","hep-ph",,"  We study the characteristic features of J/Psi suppression by deconfinement. A
first order phase transition leads to an essentially discontinuous onset of
anomalous J/Psi suppression. The different energy densities required for the
dissociation of different charmonium states result in a two-step suppression
pattern, in which first the J/Psi's from chi decays are suppressed and
subsequently the directly produced J/Psi states. Combining both features leads
to a unique form of J/Psi suppression in a deconfining medium.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 17:49:37 GMT""}]","2007-05-23"
"hep-ph/9707309","Zoltan Trocsanyi","Zolt\'an Nagy and Zolt\'an Tr\'ocs\'anyi","Next-to-Leading Order Calculation of Four-Jet Shape Variables","11 pages, latex with aps, epsf, rotate styles 3 tables, 3 figures
  typo in eq. 10 corrected, note and reference added, introduction revised","Phys.Rev.Lett. 79 (1997) 3604-3607","10.1103/PhysRevLett.79.3604",,"hep-ph",,"  We present the next-to-leading order calculation of two four-jet event shape
variables, the D parameter and acoplanarity differential distributions. We find
large, more than 100% radiative corrections. The theoretical prediction for the
D parameter is compared to L3 data obtained at the Z peak and corrected to
hadron level.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 19:00:57 GMT""},{""version"":""v2"",""created"":""Mon, 22 Dec 1997 17:22:21 GMT""}]","2009-10-30"
"hep-ph/9707310","Wei LU","Wei Lu (CPhT, Ecole Polytechnique)","Form factor description of the non-collinear Compton scattering tensor","references updated",,,,"hep-ph",,"  We present a parameterization of the non-collinear (virtual) Compton
scattering tensor in terms of form factors, in which the Lorentz tensor
associated with each form factor possesses manifest electromagnetic gauge
invariance. The main finding is that in a well-defined form factor expansion of
the scattering tensor, the form factors are either symmetric or antisymmetric
under the exchange of two Mandelstam variables, $s$ and $u$. Our decomposition
can be used to organize complicated higher-order and higher-twist contributions
in the study of the virtual Compton scattering off the proton. Such procedures
are illustrated by use of the virtual Compton scattering off the lepton. In
passing, we note the general symmetry constraints on Ji's off-forward parton
distributions and Radyushkin's double distributions.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 20:03:50 GMT""},{""version"":""v2"",""created"":""Tue, 15 Jul 1997 11:39:33 GMT""},{""version"":""v3"",""created"":""Wed, 16 Jul 1997 12:08:24 GMT""},{""version"":""v4"",""created"":""Fri, 18 Jul 1997 11:50:24 GMT""},{""version"":""v5"",""created"":""Fri, 8 Aug 1997 11:37:04 GMT""}]","2008-02-03"
"hep-ph/9707311","Alon Faraggi","Alon E. Faraggi","Superstring phenomenology -- present and future perspective","23 pages. Standard Latex & iopconf1.sty. To appear in the proceedings
  of the Beyond the Desert 97 -- Accelerator and non Accelerator Approaches,
  Castle Ringberg, Tegernsee, Germany, 8-14 June 1997",,,"UFIFT-HEP-97-21","hep-ph hep-th",,"  The objective of superstring phenomenology is to develop the models and
methodology needed to connect quantitatively between Planck scale physics and
electroweak scale experimental data. I review the present status of this
endeavor with a focus on the three generation free fermionic models.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 21:32:30 GMT""}]","2007-05-23"
"hep-ph/9707312","Masaki Yasue","Masaki Yasue","A Gauge Model for Extra Weak Bosons Implied by Compositeness of Quarks
  and Leptons","16 pages, psfile from MSWord",,,"TOKAI-HEP/TH-9701","hep-ph",,"  Properties of extra weak bosons are discussed in a gauge model based on
SU(2)_LXU(1)_YXSU(2)'_L. The physics of SU(2)'_L respects the duality in the
Higgs and confining phases, where massive gauge bosons in the Higgs phase are
equivalently represented by composite vector bosons in the confining phase
below the scale of SU(2)'_L . interactions for SU(2)'_L-singlet composites
induced in the confining phase can be generated by nonlinear interactions of
the four Fermi type respecting SU(2)_LXU(1)_Y, which create quarks, q_i^A
(A=r,g,b; i=1,2), leptons, l_i, vector bosons, V_mu^(a) (a=1,2,3) and the Higgs
scalar, phi, made by scalar subconstituents, c^{0,A}, and spinor
subconstituents, w_i,as q.l=cw, V=(w-{bar}w)_{J=1} and phi=(w-{bar}w)_{J=0} .
The physics described by these composites is equivalent to the one by
SU(2)_LXU(1)_YXSU(2)'_L below the confining scale.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 22:17:59 GMT""}]","2007-05-23"
"hep-ph/9707313","Michael Luke","Michael Luke and Martin J. Savage","Power Counting in Dimensionally Regularized NRQCD","18 pages, 5 figures, revtex","Phys.Rev. D57 (1998) 413-423","10.1103/PhysRevD.57.413","UTPT-97-12","hep-ph nucl-th",,"  We present a scheme for calculating in NRQCD with consistent power counting
in the heavy quark velocity v. As an example, we perform the systematic
matching of an external current onto NRQCD at subleading order in v, a
calculation relevant for the process e^+e^- -> hadrons near threshold.
Consistent velocity power counting in dimensional regularization is achieved by
including two distinct gluon fields, one corresponding to gluon radiation and
one corresponding to an instantaneous potential. In this scheme power counting
is manifest in any gauge, and also holds for non-gauge interactions. The
matching conditions for an external vector current in NRQCD are calculated to
O(g^2 v^2) and the cancellation of infrared divergences in the matching
conditions is shown to require both gluon fields. Some subtleties arising in
the matching conditions at subleading order are addressed.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 23:22:17 GMT""}]","2009-10-30"
"hep-ph/9707314","Dardo Piriz","Dardo Piriz and Jose Wudka","Effective operators in Supersymmetry","38 pages, 2 figures","Phys.Rev. D56 (1997) 4170-4181","10.1103/PhysRevD.56.4170","UCRHEP-T193","hep-ph",,"  We consider a low-energy supersymmetric scenario in which the effects of
heavy supersymmetric interactions are included in a model-independent manner
through a series of supersymmetric SU(3)_C*SU(2)_L*U(1)_Y invariant operators;
we explicitly construct all such operators of dimension less or equal than 6.
From this set, those operators generated at tree level by the underlying theory
are isolated since under weak coupling conditions they are expected to provide
the largest effects in low-energy processes. Potential deviations from low
energy predictions in process such as proton decay, neutrinoless double-beta
decay and flavor changing neutral currents are analyzed as illustrations of the
method.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 06:31:19 GMT""}]","2009-10-30"
"hep-ph/9707316","Hai-Yang Cheng","Hai-Yang Cheng and B. Tseng","Charmless B decays to eta' and eta","13 pages, to appear in PLB. Main changes are: (i) CLEO data are
  updated, (ii) the dependence of the branching ratio on the strange quark mass
  and form factors is discussed, (iii) a new equation (24) is added, and (iv)
  many references are updated and new references are included","Phys.Lett. B415 (1997) 263-272","10.1016/S0370-2693(97)01167-2",,"hep-ph",,"  Exclusive charmless B decays to $\eta'$ and $\eta$ are studied in the
standard effective Hamiltonian approach. The effective coefficients that take
into account nonfactorizable effects in external and internal W-emission
amplitudes are fixed by experiment. Factorization is applied to the matrix
elements of QCD, electroweak penguin operators and next-to-leading corrections
to penguin Wilson coefficients, which are renormalization-scheme dependent, are
included, but the resultant amplitude is renormalization-scheme and -scale
independent. We show that the unexpectedly large branching ratio of $B^\pm\to
\eta' K^\pm$ measured by CLEO can be explained by the Cabibbo-allowed internal
W-emission process $b\to c\bar cs$ followed by a conversion of the $c\bar c$
pair into the $\eta'$ via gluon exchanges characterized by a decay constant of
order -50 MeV. Implications are discussed. The mechanism of the transition
$c\bar c\to\eta'$, if correct, will enhance the decay rates of $B\to \eta'
K^{*}$ by more than an order of magnitude. However, it plays only a minor role
to the rare decays $B\to \eta'(\eta)\pi(\rho)$. The predicted branching ratio
of $B^\pm\to \eta\pi^\pm$ for positive $\rho$ is marginally ruled out by
experiment, indicating that the favored Wolfenstein parameter $\rho$ is
negative.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 06:53:45 GMT""},{""version"":""v2"",""created"":""Tue, 23 Sep 1997 09:58:11 GMT""}]","2009-10-30"
"hep-ph/9707317","Steve King","S. F. King and J. Sanderson","Challenges for Inverted Hybrid Inflation","12 pages, latex, no figures","Phys.Lett. B412 (1997) 19-27","10.1016/S0370-2693(97)01072-1","SHEP 97/11","hep-ph astro-ph",,"  Inverted hybrid inflation (in which the inflaton field slowly rolls away from
the origin, giving a spectral index $n\lsim 1$) is an appealing variant of the
more usually studied hybrid model. Analysing the model alongside the ordinary
hybrid case, we show that, in order to provide the correct density
perturbations consistent with the COBE measurements, the dimensionless coupling
constants of the inverted hybrid potential must be very small indeed. For
example, the quartic coupling in a typical such potential is found to be $\lsim
10^{-12}$. A supersymmetric model of inverted hybrid inflation, which does not
involve the troublesome quartic coupling is found to lead to a potential which
is unbounded from below.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 07:51:50 GMT""}]","2009-10-30"
"hep-ph/9707318","Matthias Neubert","A.G. Grozin (Novosibirsk), M. Neubert (CERN)","Higher-order estimates of the chromomagnetic moment of a heavy quark","16 pages, 3 figures embedded","Nucl.Phys. B508 (1997) 311-326","10.1016/S0550-3213(97)00615-9","CERN-TH/97-102, Budker INP 97-60","hep-ph",,"  The leading beta_0^(n-1) alpha_s^n terms in the Wilson coefficient and
anomalous dimension of the chromomagnetic operator in the heavy-quark effective
Lagrangian are summed to all orders of perturbation theory. The perturbation
series for the anomalous dimension is well behaved, while that for the Wilson
coefficient exhibits a divergent behaviour already in low orders, caused by a
nearby infrared renormalon singularity. The resulting ambiguity is commensurate
with terms of order 1/m^2 in the effective Lagrangian, whose corresponding
ultraviolet renormalons are identified. An excellent approximation for the
scheme-invariant Wilson coefficient at next-to-next-to-leading order in
renormalization-group improved perturbation theory is obtained.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 09:01:39 GMT""}]","2009-10-30"
"hep-ph/9707319","Bjoern Poetter","B. P\""otter","Inclusive Single- and Dijet Rates in Next-to-Leading Order QCD for
  gamma^*proton and gamma^*gamma Collisions","typos corrected, layout changed, published version","Eur.Phys.J.direct C1:5,1999",,"DESY 97-138","hep-ph",,"  We present one- and two-jet inclusive cross sections for gamma*gamma
scattering and virtual photoproduction in ep collisions. The hard cross
sections are calculated in next-to-leading order QCD. Soft and collinear
singularities are extracted using the phase-space-slicing method. The initial
state singularity of the virtual photon depends logarithmically its'
virtuality. This logarithm is large and has to be absorbed into the parton
distribution function of the virtual photon. We define for this purpose an
MS-bar factorization scheme similar to the real photon case. We numerically
study the dependence of the inclusive cross sections on the transverse energies
and rapidities of the outgoing jets and on the photon virtuality. The ratio of
the resolved to the direct cross section in ep collisions is compared to ZEUS
data.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 09:38:43 GMT""},{""version"":""v2"",""created"":""Tue, 12 Oct 1999 12:45:07 GMT""}]","2011-06-20"
"hep-ph/9707320",,"V. Barone, M. Genovese","On the low x behaviour of nuclear shadowing","9 pages, submitted on june for publication","Phys.Lett. B412 (1997) 143-147","10.1016/S0370-2693(97)01050-2","DFTT 28/97","hep-ph nucl-th",,"  We calculate the x dependence of nuclear shadowing at moderate values of Q^2
by using HERA diffractive data and, for consistency, F2 parameterization of
ZEUS. We show that no decrease of shadowing occurs down to very low x (x =
10^-4).
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 10:24:10 GMT""}]","2009-10-30"
"hep-ph/9707321","Robert Harlander","J.H. Kuehn","Theory of Top Quark Production and Decay","LaTeX, 114 pages, missing figures available upon request. Lectures
  presented at the XXIII SLAC Summer Institute on Particle Physics, ""The Top
  Quark and the Electroweak Interaction"", July 10-21, 1995, SLAC, Stanford, CA.
  Published in the proceedings, SLAC-R-494 CONF-9507258-UC-414, pg.1. The
  complete paper, is also available via anonymous ftp at
  ftp://ttpux2.physik.uni-karlsruhe.de/ , or via www at
  http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/",,,"TTP96-18","hep-ph",,"  Direct and indirect information on the top quark mass and its decay modes is
reviewed. The theory of top production in hadron- and
electron-positron-colliders is presented.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 10:35:18 GMT""}]","2009-09-25"
