"alg-geom/9707004","Robert Friedman","Robert Friedman, John W. Morgan, Edward Witten","Principal G-bundles over elliptic curves","AMS-TeX, 20 pages, amsppt style; minor errors corrected","Math.Res.Lett.5:97-118,1998",,,"alg-geom hep-th math.AG",,"  Let $G$ be a simple and simply connected complex Lie group. We discuss the
moduli space of holomorphic semistable principal $G$ bundles over an elliptic
curve $E$. In particular we give a new proof of a theorem of Looijenga and
Bernshtein-Shvartsman, that the moduli space is a weighted projective space.
The method of proof is to study the deformations of certain unstable bundles
coming from special maximal parabolic subgroups of $G$. We also discuss the
associated automorphism sheaves and universal bundles, as well as the relation
between various universal bundles and spectral covers.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 17:43:09 GMT""},{""version"":""v2"",""created"":""Mon, 23 Feb 1998 15:31:46 GMT""}]","2010-04-07"
"dg-ga/9707004","Chuu-Lian Terng","Chuu-Lian Terng and Karen Uhlenbeck","Poisson Actions and Scattering Theory for Integrable Systems","85 pages",,,,"dg-ga math.DG nlin.SI solv-int",,"  Conservation laws, heirarchies, scattering theory and B\""acklund
transformations are known to be the building blocks of integrable partial
differential equations. We identify these as facets of a theory of Poisson
group actions, and apply the theory to the ZS-AKNS nxn heirarchy (which
includes the non-linear Schr\""odinger equation, modified KdV, and the n-wave
equation). We also discuss a number of applications in geometry, including the
sine-Gordon equation, harmonic maps, Schr\""odinger flows on Hermitian symmetric
spaces, Darboux orthogonal coordinates, and isometric immerisons of one space
form in another.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 22:13:58 GMT""}]","2008-02-03"
"gr-qc/9707016","Eue Jin Jeong","Eue Jin Jeong","An Isolated Gravitational Dipole Moment Placed at The Center of the Two
  Mass Pole Model Universe","13 pages, Latex, 1 figure",,,,"gr-qc",,"  The unexpected dynamic shift of the center of mass for a rotating hemisphere
is shown to produce the general relativistic dipole field in the macroscopic
scale. This prompts us the question of what might be its cosmological
implications. The uniformly rotating sphere has the effect of the latitude
dependent mass density distribution as reported by Bass and Pirani which is the
cause of the `induced centrifugal force' in the Thirring's geodesic equation
near the center of the rotating spherical mass shell. On the other hand, one
would expect the constant acceleration of the mass components may cause a
general relativistic gravitational field. The component-wise accumulation of
this effect has been shown to appear as the non zero gravitational dipole
moment in a rotating hemispherical mass shell. The present report discusses
this non-Newtonian force experienced by a gravitational dipole moment placed at
the center of the two mass pole model universe and its relevance to the
observed anomalous red shift from far away galaxies.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 20:51:52 GMT""},{""version"":""v2"",""created"":""Tue, 8 Jul 1997 02:18:56 GMT""}]","2008-02-03"
"gr-qc/9707017","Carlos O. Lousto","Manuela Campanelli and Carlos O. Lousto (Univ. Utah)","Regularization of the Teukolsky Equation for Rotating Black Holes","14 pages, 1 Table, REVTEX","Phys.Rev. D56 (1997) 6363-6369","10.1103/PhysRevD.56.6363",,"gr-qc astro-ph hep-th",,"  We show that the radial Teukolsky equation (in the frequency domain) with
sources that extend to infinity has well-behaved solutions. To prove that, we
follow Poisson approach to regularize the non-rotating hole, and extend it to
the rotating case. To do so we use the Chandrasekhar transformation among the
Teukolsky and Regge-Wheeler-like equations, and express the integrals over the
source in terms of solutions to the homogeneous Regge-Wheeler-like equation, to
finally regularize the resulting integral. We then discuss the applicability of
these results.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 00:40:04 GMT""}]","2009-10-30"
"hep-ex/9707016","Brad Abbott","Brad Abbott (New York University)","Measurement of Dijet Angular Distributions and Search for Quark
  Compositeness","11 pages, Latex, 3 postscript figures","Phys.Rev.Lett.80:666-671,1998","10.1103/PhysRevLett.80.666","FERMILAB-PUB-97/237-E","hep-ex",,"  We have measured the dijet angular distribution in $\sqrt{s}$=1.8 TeV
$p\bar{p}$ collisions using the D0 detector. Order $\alpha^{3}_{s}$ QCD
predictions are in good agreement with the data. At 95% confidence the data
exclude models of quark compositeness in which the contact interaction scale is
below 2 TeV.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 21:11:53 GMT""}]","2008-11-26"
"hep-ex/9707017","Valery I. Telnov","R. Brinkmann (1), I. Ginzburg (2), N. Holtkamp (1), G. Jikia (3), O.
  Napoly (4), E. Saldin (5), E. Schneidmiller (5), V. Serbo (6), G. Silvestrov
  (7), V. Telnov (7), A. Undrus (7), M.Yurkov (8) ((1) DESY, (2) IM
  Novosibirsk, (3) IHEP Protvino, (4) Saclay, (5) Samara, (6) NSU Novosibirsk,
  (7) INP Novosibirsk (8) Dubna)","An Interaction Region for Gamma-Gamma and Gamma-Electron Collisions at
  TESLA/SBLC","62 pages, Latex, 26 figures(eps,ps), Appendix to the Conceptual
  Design of a 500 GeV Electron Positron Linear Collider with Integrated X-Ray
  Laser Facility, to be published in NIM A","Nucl.Instrum.Meth.A406:13-49,1998","10.1016/S0168-9002(97)01183-2","in DESY 79-048 and ECFA-97-182; Budker INP 97-57","hep-ex physics.acc-ph physics.optics",,"  Linear colliders offer unique opportunities to study gamma-gamma (gg),
gamma-electron (ge) interactions. Using the laser backscattering method one can
obtain gg, ge colliding beams with an energy and luminosity comparable to that
in e+e- collisions. This work is a part of the Conceptual Design of TESLA/SBLC
linear colliders describing a second interaction region for gg, ge collisions.
We consider here possible physics in high energy gg, ge collisions, e -> g
conversion, requirements to lasers, collision schemes, attainable luminosities,
backgrounds, possible lasers, optics at the interaction region and other
associated problems.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 07:14:34 GMT""}]","2008-11-26"
"hep-ex/9707018","Preprints Libr/pam","CLEO Collaboration, R. Ammar et al","A Measurement of the Total Cross Section for $e^{+}e^{-}\to hadrons$ at
  $\sqrt{s}$=10.52 GeV","15 page postscript file, postscript file also available through
  http://w4.lns.cornell.edu/public/CLNS","Phys.Rev.D57:1350-1358,1998","10.1103/PhysRevD.57.1350","CLNS 97/1493, CLEO 97-14","hep-ex",,"  Using the CLEO detector at the Cornell Electron Storage Ring, we have made a
measurement of R=sigma(e+e- ->hadrons)/sigma(e+e- ->mu+mu-) =3.56+/-0.01+/-0.07
at ECM=10.52 GeV. This implies a value for the strong coupling constant of
alpha_s(10.52 GeV)=0.20+/-0.01+/-0.06, or alpha_s(M_Z)=0.13+/-0.005+/-0.03.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 12:55:49 GMT""}]","2010-04-08"
"hep-lat/9707002","Wolfgang Franzki","Wolfgang Franzki, John B. Kogut, Maria-Paola Lombardo","Chiral transition and monopole percolation in lattice scalar QED with
  quenched fermions","29 pages, 13 figures included, LaTeX2e (elsart)","Phys.Rev. D57 (1998) 6625-6637","10.1103/PhysRevD.57.6625","HLRZ 26/97, ZIF-MS-10/97, MIT-CTP-2656","hep-lat hep-th",,"  We study the interplay between topological observables and chiral and Higgs
transitions in lattice scalar QED with quenched fermions. Emphasis is put on
the chiral transition line and magnetic monopole percolation at strong gauge
coupling. We confirm that at infinite gauge coupling the chiral transition is
described by mean field exponents. We find a rich and complicated behaviour at
the endpoint of the Higgs transition line which hampers a satisfactory analysis
of the chiral transition. We study in detail an intermediate coupling, where
the data are consistent both with a trivial chiral transition clearly separated
from monopole percolation and with a chiral transition coincident with monopole
percolation, and characterized by the same critical exponent $\nu \simeq 0.65$.
We discuss the relevance (or lack thereof) of these quenched results to our
understanding of the \chupiv\ model. We comment on the interplay of magnetic
monopoles and fermion dynamics in more general contexts.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 17:08:18 GMT""}]","2009-10-30"
"hep-lat/9707003","Adriano DI Giacomo","A. Di Giacomo, G. Paffuti (University of Pisa)","A disorder parameter for dual superconductivity in gauge theories","8 pages,5 postscript figures, revtex","Phys.Rev.D56:6816-6823,1997","10.1103/PhysRevD.56.6816","IFUP-TH 28/97","hep-lat",,"  A detailed discussion is given of the disorder parameter for dual
superconductivity of lattice gauge theories, introduced in a previous paper,
and of its relation to other approaches. New lattice data are reported. Among
other results, we find that the dual superconductivity of compact U(1) is type
II.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 08:52:17 GMT""}]","2010-04-06"
"hep-ph/9707267","Agustin Nieto","Agustin Nieto (Ohio State University)","On Perturbative QCD at High Temperature","LaTeX, 5 pages.Talk given at Eotvos Conference in Science: Strong and
  Electroweak Matter (SEWM 97), Eger, Hungary, 21-25 May 1997",,,"OHSTPY-HEP-T-97-011","hep-ph",,"  Effective field theory methods provide a convenient approach to study static
observables in field theory at finite temperature. In this talk, I will outline
the construction of the effective field theory that describes effective
observables in QCD at high temperature. An analysis of the convergence of the
perturbative series for the free energy of QCD will also be presented.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 16:36:02 GMT""}]","2007-05-23"
"hep-ph/9707268",,"Y. N. Srivastava and A. Widom","Of Course Muons Can Oscillate","Plain TeX Format, 7 pages, No figures",,,,"hep-ph",,"  Recent theoretical claims not withstanding, muons can and do oscillate. Muons
produced in association with neutrinos (if masses and mixing angles are
nonzero) exhibit a joint oscillating spatial distribution. The possible use of
muon oscillations as a probe of neutrino mass and mixing parameters is
discussed using very simple physical arguments. Space-time oscillations in the
secondary decay vertices of muons (produced by pion decay) persist after
summing over all undetected neutrinos.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 16:17:13 GMT""}]","2007-05-23"
"hep-ph/9707269","Janko Binnewies","Janko Binnewies (II. Institut fuer Theoretische Physik, Universitaet
  Hamburg)","Fragmentation Functions in Next-To-Leading Order QCD","105 pages, Latex, 40 figures",,,"DESY 97-128","hep-ph",,"  We present new sets of fragmentation functions in next-to-leading order QCD
that are determined from e+e- annihilation data of inclusive particle
production. In addition to the O(alpha_s) unpolarized cross section the
longitudinal cross section is also used to extract the gluon fragmentation
function from e+e- annihilation data. As the O(alpha_s) vanishes for
longitudinal polarized photons (or Z bosons), the O(alpha_s^2) corrections are
required to reduce the scale ambiguities. Recently, P.J. Rijken and W.L. van
Neerven presented the longitudinal coefficient functions to next-to-leading
order. We confirm part of their results in this thesis and complete the
calculation by the results for the color class C_F*T_R that must be included
for a consistent comparison with LEP1 data. The complete set of coefficient
functions is then used together with novel data from ALEPH to determine the
fragmentation functions for charged hadrons. This set, and also sets for
charged pions, kaons, and D^* mesons as well as neutral kaons published
previously, can then be employed to test QCD in e+e- annihilation,
photoproduction, gamma-gamma collisions, p-p_bar scattering and DIS. Finally,
we suggest how the improved knowledge on the fragmentation in particular of the
gluon could be used to determine the gluon and charm content of the photon.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 17:07:14 GMT""}]","2007-05-23"
"hep-ph/9707271","Becirevic","Damir Becirevic","Notes on $B\to K^* \gamma$","27 pages latex2e file, 6 Postscript figures",,,"LPTHE - Orsay 97/16","hep-ph",,"  We analyzed two form factors $T_1(q^2)$ and $T_2(q^2)$ which enter the $B\to
K^* \ell^+ \ell^-$ decay rate and are accessible in the lattice calculations
for $B \to K^* \gamma$. The extrapolation to $q^2=0$, necessary for $B\to K^*
\gamma$ is examined. The flat behavior of $T_2(q^2)$ is shown to be disfavored.
From the double constrained unitarity bounds by the lattice result at small
recoil and the light cone sum rule one at large recoil, the pole/double pole
fit is preferred with the `pole' masses as free parameters. We also show a
consistency of two approaches in the heavy quark limit. Besides several
byproducts of this analysis, our final (conservative) result for the form
factor that determines $B\to K^* \gamma$ rate is $T(0)=0.15\pm 0.04$.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 19:19:44 GMT""}]","2007-05-23"
"hep-ph/9707272","Rudy Hwa","R.C.Hwa","Universal behavior of multiplicity differences in quark-hadron phase
  transition","15 pages, including 4 figures (in epsf file), Latex, submitted to
  Phys. Rev. D","Phys.Rev. D57 (1998) 1831-1837","10.1103/PhysRevD.57.1831","OITS-631","hep-ph nucl-th",,"  The scaling behavior of factorial moments of the differences in
multiplicities between well separated bins in heavy-ion collisions is proposed
as a probe of quark-hadron phase transition. The method takes into account some
of the physical features of nuclear collisions that cause some difficulty in
the application of the usual method. It is shown in the Ginzburg-Landau theory
that a numerical value $\gamma$ of the scaling exponent can be determined
independent of the parameters in the problem. The universality of $\gamma$
characterizes quark-hadron phase transition, and can be tested directly by
appropriately analyzed data.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 21:25:55 GMT""}]","2009-10-30"
"hep-ph/9707273","Antonio Riotto","D.H. Lyth and A. Riotto","Comments on D-term inflation","13 pages, LaTeX file","Phys.Lett. B412 (1997) 28-34","10.1016/S0370-2693(97)01044-7","FERMILAB-Pub-96/236-A","hep-ph astro-ph",,"  An inflationary stage dominated by a D-term avoids the slow-roll problem of
inflation in supergravity and can naturally emerge in theories with a
non-anomalous or anomalous U(1) gauge symmetry. In the latter case, however,
the scale of inflation as imposed by the COBE normalization is in contrast with
the value fixed by the Green-Schwarz mechanism of anomaly cancellation. In this
paper we discuss possible solutions to this problem and comment about the fact
that the string-loop generated Fayet-Iliopoulos D-term may trigger the presence
of global and local cosmic strings at the end of inflation.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 21:53:19 GMT""}]","2009-10-30"
"hep-ph/9707274","Bhaskar Dutta","N.G. Deshpande and B. Dutta","Leptoquark explanation of HERA anomaly in the context of gauge
  unification","19 pages(Latex), 1 PS Figure","Phys.Lett. B424 (1998) 313-321","10.1016/S0370-2693(98)00198-1","OITS-634","hep-ph",,"  We examine the consequences of leptoquark explanation of HERA anomaly in the
context of R parity conserving supersymmetric gauge unified theory with the
gauge unification scale at $\sim 10^{16}$ GeV. We pointed out the difficulty of
constructing a grandunified theory. However gauge unification is still possible
at $\sim 10^{16}$ GeV when additional multiplets are introduced. We determine
the mass spectrum of these additional fields (fermions and scalars) in gauge
mediated and supergravity scenarios. Unique signatures and mass bounds are
discussed.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 23:20:18 GMT""}]","2009-10-30"
"hep-ph/9707275","D. P. Roy","Monoranjan Guchait and D.P. Roy","Implications of the HERA Events for the R-Parity Breaking SUSY Signals
  at Tevatron","20 pages Latex file with 4 ps files containing 4 figures","Phys.Rev. D57 (1998) 4453-4460","10.1103/PhysRevD.57.4453","TIFR/TH/97-29, Fermilab Pub-97/219-T","hep-ph",,"  The favoured R-parity violating SUSY scenarios for the anomalous HERA events
correspond to top and charm squark production via the $\lambda'_{131}$ and
$\lambda'_{121}$ couplings. In both cases the corresponding electronic
branching fractions of the squarks are expected to be $\ll 1$. Consequently the
canonical leptoquark signature is incapable of probing these scenarios at the
Tevatron collider over most of the MSSM parameter space. We suggest alternative
signatures for probing them at Tevatron, which seem to be viable over the
entire range of MSSM parameters.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 00:01:48 GMT""}]","2009-10-30"
"hep-ph/9707276","Richard D. Ball","Richard D. Ball, Giovanni Ridolfi, Guido Altarelli and Stefano Forte","What Can We Learn From Polarized Structure Function Data?","7 pages, LaTeX, 6 figures in encapsulated postscript; talks given at
  La Thuile and DIS97",,,"CERN-TH/97-153, DFTT 41/97, Edinburgh 97/9, UB-ECM-PF 97/11","hep-ph",,"  We summarise the perturbative QCD analysis of the structure function data for
g_1 from longitudinally polarized deep inelastic scattering from proton,
deuteron and neutron targets, with particular emphasis on testing sum rules,
determining helicity fractions, and extracting the strong coupling from both
scaling violations and the Bjorken sum rule.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 13:03:22 GMT""}]","2007-05-23"
"hep-ph/9707277","Jiri Chyla","J. Chyla, J. Cvach","Virtual photon structure from jet production","6 pages, Latex with 6 eps figures, Talk presented at PHOTON '97
  Conference in egmond aan Zee, May 1997",,,"PRA-HEP/97-10","hep-ph",,"  Some aspects of extracting the information on the structure of virtual
photons from jet production in ep and e^+e^- collisions are discussed.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 14:24:41 GMT""}]","2007-05-23"
"hep-th/9707070","Mikhail S. Plyushchay","Khazret Nirov and Mikhail Plyushchay","Symmetries and classical quantization","10 pages, LaTeX","Phys.Lett. B405 (1997) 114-120","10.1016/S0370-2693(97)00599-6","TUM-HEP-269/97, NF/DF-03/97","hep-th hep-ph math-ph math.MP",,"  A phenomenon of classical quantization is discussed. This is revealed in the
class of pseudoclassical gauge systems with nonlinear nilpotent constraints
containing some free parameters. Variation of parameters does not change local
(gauge) and discrete symmetries of the corresponding systems, but there are
some special discrete values of them which give rise to the maximal global
symmetries at the classical level. Exactly the same values of the parameters
are separated at the quantum level, where, in particular, they are singled out
by the requirement of conservation of the discrete symmetries. The phenomenon
is observed for the familiar pseudoclassical model of 3D P,T-invariant massive
fermion system and for a new pseudoclassical model of 3D P,T-invariant system
of topologically massive U(1) gauge fields.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 00:16:14 GMT""}]","2009-10-30"
"hep-th/9707071","Martin Gremm","Martin Gremm","The Coulomb branch of N=1 supersymmetric SU(N_c) x SU(N_c) gauge
  theories","16 pages, no figures, revtex; typos corrected","Phys. Rev. D 57, 2537 (1998)","10.1103/PhysRevD.57.2537","CALT-68-2125","hep-th",,"  We analyze the low energy behavior of N=1 supersymmetric gauge theories with
SU(N_c) x SU(N_c) gauge group and a Landau-Ginzburg type superpotential. These
theories contain fundamentals transforming under one of the gauge groups as
well as bifundamental matter which transforms as a fundamentals under each. We
obtain the parametrization of the gauge coupling on the Coulomb branch in terms
of a hyperelliptic curve. The derivation of this curve involves making use of
Seiberg's duality for SQCD as well as the classical constraints for N_f=N_c+1
and the quantum modified constraints for N_f=N_c.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 01:13:55 GMT""},{""version"":""v2"",""created"":""Mon, 26 Jan 1998 18:41:47 GMT""}]","2016-08-25"
"hep-th/9707072","Paolo Valtancoli","L. Lusanna and P. Valtancoli","Dirac's Observables for the SU(3)XSU(2)XU(1) Standard Model","90 pages, RevTeX, no figures","Int.J.Mod.Phys. A13 (1998) 4605-4690","10.1142/S0217751X98002213","DFF 8/7/97","hep-th",,"  The complete, missing, Hamiltonian treatment of the standard SU(3)xSU(2)xU(1)
model with Grassmann-valued fermion fields in the Higgs phase is given. We
bypass the complications of the Hamiltonian theory in the Higgs phase,
resulting from the spontaneous symmetry breaking with the Higgs mechanism, by
studying the Hamiltonian formulation of the Higgs phase for the gauge
equivalent Lagrangian in the unitary gauge. A canonical basis of Dirac's
observables is found and the reduced physical Hamiltonian is evaluated. Its
self-energy part is nonlocal for the electromagnetic and strong interactions,
but local for the weak ones. Therefore, the Fermi 4-fermion interaction
reappears at the nonperturbative level.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 08:27:39 GMT""}]","2009-10-30"
"hep-th/9707073","Matt Visser","Carmen Molina-Paris (Los Alamos) and Matt Visser (Washington
  University)","Casimir effect in dielectrics: Surface area contribution","12 pages; ReV-Tex in double-column format","Phys.Rev. D56 (1997) 6629-6639","10.1103/PhysRevD.56.6629",,"hep-th",,"  In this paper we take a deeper look at the technically elementary but
physically robust viewpoint in which the Casimir energy in dielectric media is
interpreted as the change in the total zero point energy of the electromagnetic
vacuum summed over all states. Extending results presented in previous papers
[hep-th/9609195; hep-th/9702007] we approximate the sum over states by an
integral over the density of states including finite volume corrections. For an
arbitrarily-shaped finite dielectric, the first finite-volume correction to the
density of states is shown to be proportional to the surface area of the
dielectric interface and is explicitly evaluated as a function of the
permeability and permitivity. Since these calculations are founded in an
elementary and straightforward way on the underlying physics of the Casimir
effect they serve as an important consistency check on field-theoretic
calculations. As a concrete example we discuss Schwinger's suggestion that the
Casimir effect might be the underlying physical basis behind sonoluminescence}.
The recent controversy concerning the relative importance of volume and surface
contributions is discussed. For sufficiently large bubbles the volume effect is
always dominant. Furthermore we can explicitly calculate the surface area
contribution as a function of refractive index.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 07:59:19 GMT""}]","2009-10-30"
"hep-th/9707074","Suzuki Junji","G. Juettner, A. Kluemper (Cologne) and J. Suzuki(Tokyo)","From Fusion Hierarchy to Excited State TBA","Plain Tex, 17pages, 2 postscript figures will be sent upon request","Nucl.Phys.B512:581-600,1998","10.1016/S0550-3213(97)00772-4",,"hep-th cond-mat",,"  Functional relations among the fusion hierarchy of quantum transfer matrices
give a novel derivation of the TBA equations, namely without string hypothesis.
This is demonstrated for two important models of 1D highly correlated electron
systems, the supersymmetric $t-J$ model and the supersymmetric extended Hubbard
model. As a consequence, ""the excited state TBA"" equations, which characterize
correlation lengths, are explicitly derived for the $t-J$ model. To the
authors' knowledge, this is the first explicit derivation of excited state TBA
equations for 1D lattice electron systems.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 07:58:24 GMT""}]","2009-09-25"
"hep-th/9707075","Angel Uranga","L.E.Ibanez, A.M.Uranga","D=6, N=1 String Vacua and Duality","52 pages, plain Latex. To appear in the proceedings of the APCTP
  Winter School on Duality, Mt. Sorak (Korea), February 1997",,"10.1142/9789814447287_0006","FTUAM-97/9","hep-th",,"  We review the structure $D=6, N=1$ string vacua with emphasis on the
different connections due to T-dualities and S-dualities. The topics discussed
include: Anomaly cancellation; K3 and orbifold $D=6, N=1$ heterotic
compactifications; T-dualities between $E_8\times E_8$ and $Spin(32)/Z_2$
heterotic vacua; non-perturbative heterotic vacua and small instantons; N=2
Type-II/Heterotic duality in D=4 ; F-theory/heterotic duality in D=6; and
heterotic/heterotic duality in six and four dimensions.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 13:55:01 GMT""}]","2016-11-03"
"hep-th/9707076",,"Wang-Chang Su","A Comment on Duality in SUSY SU(N) Gauge Theory with a Symmetric Tensor","12 pages, LaTex, 1 figure",,,,"hep-th",,"  We suggest an alternative approach to deconfine N =1 SU(N) supersymmetric
gauge theory with a symmetric tensor, fundamentals, anti-fundamentals, and no
superpotential. It is found that although the dual prescription derived by this
new method of deconfinement is different from that by the original method, both
dual prescriptions are connected by duality transformations. By deforming the
theory, it is shown that both dual theories flow properly so that the Seiberg's
duality is preserved.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 13:30:47 GMT""}]","2007-05-23"
"hep-th/9707077","Heinrich Saller","Heinrich Saller (MPI f. Physik)","Realizations of Causal Manifolds by Quantum Fields","36 pages, latex, macros included","Int.J.Theor.Phys. 36 (1997) 2783-2826","10.1007/BF02435710","MPI-PhT/97-42","hep-th",,"  Quantum mechanical operators and quantum fields are interpreted as
realizations of timespace manifolds. Such causal manifolds are parametrized by
the classes of the positive unitary operations in all complex operations, i.e.
by the homogenous spaces $\D(n)=\GL(\C^n_\R)/\U(n)$ with $n=1$ for mechanics
and $n=2$ for relativistic fields. The rank $n$ gives the number of both the
discrete and continuous invariants used in the harmonic analysis, i.e. two
characteristic masses in the relativistic case. 'Canonical' field theories with
the familiar divergencies are inappropriate realizations of the real
4-dimensional causal manifold $\D(2)$. Faithful timespace realizations do not
lead to divergencies. In general they are reducible, but nondecomposable - in
addition to representations with eigenvectors (states, particle) they
incorporate principal vectors without a particle (eigenvector) basis as
exemplified by the Coulomb field.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 13:59:24 GMT""}]","2009-10-30"
"hep-th/9707078","Harutada Sato","H. Tochimura and H-T. Sato","On thermal phase structure of deformed Gross-Neveu model","13 pages plus 6 figures","Mod.Phys.Lett. A11 (1996) 3091-3102","10.1142/S0217732396003076",,"hep-th",,"  We illustrate the phase structure of a deformed two-dimensional Gross-Neveu
model which is defined by undeformed field contents plus deformed Pauli
matrices. This deformation is based on two motives to find a more general
polymer model and to estimate how $q$-deformed field theory affects on its
effective potential. There found some regions where chiral symmetry breaking
and restoration take place repeatedly as temperature increasing.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 14:08:58 GMT""}]","2015-06-26"
"nucl-th/9707014",,"Bao-An Li, Che Ming Ko and Wolfgang Bauer","Isospin Physics in Heavy-Ion Collisions at Intermediate Energies","101 pages with embedded epsf figures, review article for
  ""International Journal of Modern Physics E: Nuclear Physics"". Send request
  for a hard copy to 1/authors","Int.J.Mod.Phys. E7 (1998) 147-230","10.1142/S0218301398000087",,"nucl-th nucl-ex",,"  In nuclear collisions induced by stable or radioactive neutron-rich nuclei a
transient state of nuclear matter with an appreciable isospin asymmetry as well
as thermal and compressional excitation can be created. This offers the
possibility to study the properties of nuclear matter in the region between
symmetric nuclear matter and pure neutron matter. In this review, we discuss
recent theoretical studies of the equation of state of isospin-asymmetric
nuclear matter and its relations to the properties of neutron stars and
radioactive nuclei. Chemical and mechanical instabilities as well as the
liquid-gas phase transition in asymmetric nuclear matter are investigated. The
in-medium nucleon-nucleon cross sections at different isospin states are
reviewed as they affect significantly the dynamics of heavy ion collisions
induced by radioactive beams. We then discuss an isospin-dependent transport
model, which includes different mean-field potentials and cross sections for
the proton and neutron, and its application to these reactions. Furthermore, we
review the comparisons between theoretical predictions and available
experimental data. In particular, we discuss the study of nuclear stopping in
terms of isospin equilibration, the dependence of nuclear collective flow and
balance energy on the isospin-dependent nuclear equation of state and cross
sections, the isospin dependence of total nuclear reaction cross sections, and
the role of isospin in preequilibrium nucleon emissions and subthreshold pion
production.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 18:17:38 GMT""}]","2015-06-26"
"patt-sol/9707002","Ken Nakanishi","H. Hayakawa, and K. Nakanishi","Nonequilibrium phase separation in traffic flows","11 pages, 2 ps figures, RevTeX",,,,"patt-sol nlin.PS",,"  Traffic jam in an optimal velocity model with the backward reference function
is analyzed. An analytic scaling solution is presented near the critical point
of the phase separation. The validity of the solution has been confirmed from
the comparison with the simulation of the model.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 09:28:19 GMT""}]","2008-02-03"
"q-alg/9707008","Chongying Dong","C. Dong, R.L. Griess Jr. and G. Hoehn","Framed vertex operator algebras, codes and the moonshine module","Latex, 54 pages","Comm. Math. Phys. 193 (1998), 407-448","10.1007/s002200050335",,"q-alg hep-th math.QA",,"  For a simple vertex operator algebra whose Virasoro element is a sum of
commutative Virasoro elements of central charge 1/2, two codes are introduced
and studied. It is proved that such vertex operator algebras are rational. For
lattice vertex operator algebras and related ones, decompositions into direct
sums of irreducible modules for the product of the Virasoro algebras of central
charge 1/2 are explicitly described. As an application, the decomposition of
the moonshine vertex operator algebra is obtained for a distinguished system of
48 Virasoro algebras.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 21:26:13 GMT""}]","2009-10-30"
"q-alg/9707009","Gorelik Maria","Maria Gorelik","The prime spectrum of a quantum Bruhat cell translate","AMS-LaTeX v1.2 (Compatibility mode), 35 pages",,,,"q-alg math.QA",,"  The prime spectra of two families of algebras, $S^w$ and $\check{S}^w$, $w\in
W,$ indexed by the Weyl group $W$ of a semisimple finitely dimensional are
studied. The algebras $S^w$ have been introduced by A.~Joseph; they are
$q$-analogues of the algebras of regular functions on $w$-translates of the
open Bruhat cell of a semisimple Lie group $G$ corresponding to the Lie algebra
$\fg$.
  We define a stratification of the spectra into components indexed by pairs
$(y_1,y_2)$ of elements of the Weyl group satisfying $y_1\leq w\leq y_2$. Each
component admits a unique minimal ideal which is explicitly described. We show
the inclusion relation of closures to be that induced by Bruhat order.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 07:33:30 GMT""},{""version"":""v2"",""created"":""Thu, 10 Jul 1997 05:57:32 GMT""}]","2008-02-03"
