"adap-org/9705003","Henryk Fuks","Henryk Fuks and Nino Boccara","Generalized Deterministic Traffic Rules","12 pages, 7 figures","Int. J. Mod. Phys. C 9, 1-12 (1998)","10.1142/S0129183198000029",,"adap-org nlin.AO",,"  We study a family of deterministic models for highway traffic flow which
generalize cellular automaton rule 184. This family is parametrized by the
speed limit $m$ and another parameter $k$ that represents a ``degree of
aggressiveness'' in driving, strictly related to the distance between two
consecutive cars. We compare two driving strategies with identical maximum
throughput: ``conservative'' driving with high speed limit and ``aggressive''
driving with low speed limit. Those two strategies are evaluated in terms of
accident probability. We also discuss fundamental diagrams of generalized
traffic rules and examine limitations of maximum achievable throughput.
Possible modifications of the model are considered.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 17:25:48 GMT""}]","2009-10-30"
"gr-qc/9705042","Georges Bressange","C. Barrab\`es, G. F. Bressange and P. A. Hogan","Implications of Spontaneous Glitches in the Mass and Angular Momentum in
  Kerr Space-Time","16 pages, TeX, no figures, accepted for publication in Phys. Rev. D","Phys.Rev. D56 (1997) 2109-2112","10.1103/PhysRevD.56.2109",,"gr-qc",,"  The outward-pointing principal null direction of the Schwarzschild Riemann
tensor is null hypersurface-forming. If the Schwarzschild mass spontaneously
jumps across one such hypersurface then the hypersurface is the history of an
outgoing light-like shell. The outward-- pointing principal null direction of
the Kerr Riemann tensor is asymptotically (in the neighbourhood of future null
infinity) null hypersurface-forming. If the Kerr parameters of mass and angular
momentum spontaneously jump across one such asymptotic hypersurface then the
asymptotic hypersurface is shown to be the history of an outgoing light-like
shell and a wire singularity-free spherical impulsive gravitational wave.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 08:20:56 GMT""}]","2009-10-30"
"gr-qc/9705043","Esposito Giampiero","Giampiero Esposito, Alexander Yu. Kamenshchik and Gennaro Miele","Quantum Cosmology and Grand Unification","8 pages, Latex, talk prepared for the Conference ""Fundamental Physics
  at the Birth of the Universe, II"", Rome, May 19 - May 24, 1997",,,"DSF preprint 97/20","gr-qc",,"  Quantum cosmology may restrict the class of gauge models which unify
electroweak and strong interactions. In particular, if one studies the
normalizability criterion for the one-loop wave function of the universe in a
de Sitter background one finds that the interaction of inflaton and matter
fields, jointly with the request of normalizability at one-loop order, picks
out non-supersymmetric versions of unified gauge models.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 09:42:02 GMT""}]","2007-05-23"
"gr-qc/9705044","Yosef Verbin","J. Colding, N. K. Nielsen, Y. Verbin","Physical Interpretation of Cylindrically Symmetric Static Gravitational
  Fields","10 pages, RevTex, no figures","Phys.Rev.D56:3371-3380,1997","10.1103/PhysRevD.56.3371",,"gr-qc hep-th",,"  The explicit relationship is determined between the interior properties of a
static cylindrical matter distribution and the metric of the exterior
space-time according to Einstein gravity for space-time dimensionality larger
or equal to four. This is achieved through use of a coordinate system isotropic
in the transverse coordinates. As a corollary, similar results are obtained for
a spherical matter distribution in Brans-Dicke gravity for dimensions larger
than or equal to three. The approach used here leads to consistency conditions
for those parameters characterizing the exterior metric. It is shown that these
conditions are equivalent to the requirement of hydrostatic equilibrium of the
matter distribution (generalized Oppenheimer-Volkoff equations). These
conditions lead to a consistent Newtonian limit where pressures and the
gravitational constant go to zero at the same rate.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 15:28:47 GMT""}]","2011-07-19"
"hep-ex/9705009","Preprints Libr/pam","CLEO Collaboration, J.P. Alexander et al","Determination of the Michel Parameters and the tau Neutrino Helicity in
  tau Decay","18 page postscript file, postscript file also available through
  http://w4.lns.cornell.edu/public/CLNS","Phys.Rev.D56:5320-5329,1997","10.1103/PhysRevD.56.5320","CLNS 97/1480, CLEO 97-9","hep-ex",,"  Using the CLEO II detector at the $e^+e^-$ storage ring CESR, we have
determined the Michel parameters $\rho$, $\xi$, and $\delta$ in $\tau^\mp \to
l^\mp\nu\bar{\nu}$ decay as well as the tau neutrino helicity parameter
$h_{\nu_\tau}$ in $\tau^\mp \to \pi^\mp\pi^0\nu$ decay. From a data sample of
$3.02\times 10^6$ tau pairs produced at $\sqrt{s}=10.6 GeV$, using events of
the topology $e^+e^- \to \tau^+\tau^- \to (l^\pm\nu\bar{\nu})
(\pi^\mp\pi^0\nu)$ and $e^+e^- \to \tau^+\tau^- \to (\pi^\pm\pi^0\bar{\nu})
(\pi^\mp\pi^0\nu)$, and the determined sign of $h_{\nu_\tau}$, the combined
result of the three samples is: $\rho = 0.747\pm 0.010\pm 0.006$, $\xi =
1.007\pm 0.040\pm 0.015$, $\xi\delta = 0.745\pm 0.026\pm 0.009$, and
$h_{\nu_\tau} = -0.995\pm 0.010\pm 0.003$. The results are in agreement with
the Standard Model V-A interaction.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 15:07:53 GMT""}]","2010-04-08"
"hep-lat/9705019","Martin Zach","Martin Zach, Manfried Faber and Peter Skala","Investigating Confinement in Dually Transformed U(1) Lattice Gauge
  Theory","17 pages, latex, epsf-figures included, submitted to Phys.Rev.D;
  complete postscript file also available at
  ftp://is1.kph.tuwien.ac.at/pub/zach/pr97.ps.gz","Phys.Rev.D57:123-131,1998","10.1103/PhysRevD.57.123",,"hep-lat",,"  The dually transformed path integral of four-dimensional U(1) lattice gauge
theory is used for the calculation of expectation values in the presence of
external charges. Applying the dual simulation to flux tubes for charge
distances up to around 20 lattice spacings, we find a deviation from the
behaviour of a dual type-II superconductor in the London limit at large
distances. The roughening of the flux tube agrees with the effective string
picture of confinement. Further we show that finite temperature effects are
negligible for time extents larger than the charge distance. Finally we analyze
the different contributions to the total energy of the electromagnetic field.
The parallel component of the magnetic field turns out to have the strongest
influence on the deviation from the linear behaviour at small charge distances.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 21:07:04 GMT""}]","2008-11-26"
"hep-ph/9705313","V. Zoller","V. R. Zoller","Coherent neutrino magnetic conversion in crystals","7 pages Latex, 1 Postscript figure","Phys.Lett. B416 (1998) 447-451","10.1016/S0370-2693(97)01177-5","KFA-IKP(TH)-1997-09","hep-ph",,"  We study coherent enhancement of neutrino electro-magnetic conversion in
crystals. Large coherency length which grows with the neutrino energy makes the
coherent enhancement particularly effective for very small masses. We derive
constraints on the conversion rate which follow from the Fresnel effects in
scattering of neutrinos on atomic chains. We comment on possible applications
of the crystal converter to searches for non-diagonal neutrino magnetic
transitions in the CERN neutrino beam.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 17:46:31 GMT""}]","2009-10-30"
"hep-ph/9705314","Darrell Tonge","C.J. Maxwell and D.G. Tonge (Centre for Particle Theory, Durham)","The uncertainty in $\alpha_{s}(M_Z^2)$ determined from hadronic tau
  decay measurements","25 pages, uses LaTeX, 10 Postscript figures, epsfig.sty","Nucl.Phys. B535 (1998) 19-40","10.1016/S0550-3213(98)00562-8","DTP/97/30","hep-ph",,"  We show that QCD Minkowski observables such as the $e^{+}e^{-}$ R-ratio and
the hadronic tau decay $R_{\tau}$ are completely determined by the effective
charge (EC) beta-function, $\rho(x)$, corresponding to the Euclidean QCD vacuum
polarization Adler D-function, together with the next-to-leading order (NLO)
perturbative coefficient of D. An efficient numerical algorithm is given for
evaluating R, $R_{\tau}$ from a weighted contour integration of
$D(se^{i\theta})$ around a circle in the complex squared energy s-plane, with
$\rho(x)$ used to evolve in s around the contour. The EC beta-function can be
truncated at next-to-NLO (NNLO) using the known exact perturbative calculation
or the uncalculated N^3 LO and higher terms can be approximated by the portion
containing the highest power of b, the first QCD beta-function coefficient. The
difference between the R, $R_{\tau}$ constructed using the NNLO and ""leading-b""
resummed versions of $\rho(x)$ provides an estimate of the uncertainty due to
the uncalculated higher order corrections. Simple numerical parametrizations
are given to facilitate these fits. For $R_{\tau}$ we estimate an uncertainty
$\delta\alpha_{s}(m_{\tau}^{2})\simeq0.01$, corresponding to
$\delta\alpha_{s}(M_{Z}^{2})\simeq0.002$. This encouragingly small uncertainty
is much less than rather pessimistic estimates by other authors based on
analogous all-orders resummations, which we demonstrate to be extremely
dependent on the chosen renormalization scheme, and hence misleading.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 16:21:37 GMT""}]","2009-10-30"
"hep-ph/9705315","Beatriz de Carlos","B. de Carlos (Sussex) and J.R. Espinosa (UPenn)","Cold Dark Matter Candidate in a Class of Supersymmetric Models with an
  Extra U(1)","13 pages, LaTex, uses psfig.sty with 3 figures","Phys.Lett. B407 (1997) 12-21","10.1016/S0370-2693(97)00747-8","SUSX-TH-97-008, UPR-0749-T, IEM-FT-156/97","hep-ph",,"  In supersymmetric models whose gauge group includes an additional U(1) factor
at the TeV scale, broken by the VEV of an standard model singlet S, the
parameter space can accommodate a very light neutralino not ruled out
experimentally. This higgsino-like fermion, stable if R-parity is conserved,
can make a good cold dark matter candidate. We examine the thermal relic
density of this particle and discuss the prospects for its direct detection if
it forms part of our galactic halo.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 19:36:53 GMT""}]","2009-10-30"
"hep-ph/9705316","Michel Tytgat","Robert D. Pisarski and Michel Tytgat","pi_0 --> gamma gamma and the axial anomaly at non zero temperature","4 pages, latex, 2 figs using epsfig. Contribution to the 31st
  Rencontres de Moriond, ""QCD and High Energy Hadronic Interactions"", March 97",,,,"hep-ph",,"  In vacuum, in the chiral limit the coupling of a pion to two on-shell photons
is directly related to the coefficient of the axial anomaly in QED. This
relationship is lost at any nonzero temperature. Explicit calculations show
that the coupling decreases with temperature and vanishes at Tc, the
temperature of chiral symmetry restoration.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 19:53:42 GMT""}]","2007-05-23"
"hep-ph/9705317","Xiangdong Ji","Xiangdong Ji","Purely-Nonperturbative Composite Operators and Parton Distributions","8 pages, latex, no figures",,,"U. of MD PP#97-103","hep-ph",,"  A class of purely-nonperturbative (PNP) composite operators is defined in
Quantum Chromodynamics, which is perturbative scheme and scale independent and
are useful to describe the internal structure of a strong interacting system.
The operator product expansion in terms of the new operators cleanly separates
the perturbative and nonperturbative physics without introducing any
factorization scale. A number of PNP observables of the nucleon is briefly
discussed including the PNP parton distributions. In particular, the fraction
of the nucleon momentum carried by the purely-nonperturbative gluons is found
to be around 16%.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 20:44:44 GMT""}]","2007-05-23"
"hep-ph/9705318","R. Akhoury","R. Akhoury and V. I. Zakharov","Renormalons and 1/Q^2 Corrections","7 pages, LaTeX",,"10.1063/1.54478","UM-TH-97-11","hep-ph",,"  We argue that the appearance of the Landau pole in the running coupling of
QCD introduces 1/Q^2 power corrections in current correlation functions. These
terms are not accounted for by the standard operator product expansion and is
the price to be paid for the lack of a unique definition of the running
coupling at the 1/Q^2 level. We review also possible phenomenological
implications of the 1/Q^2 terms in an alternative language of the ultraviolet
renormalon.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 21:14:44 GMT""}]","2009-10-30"
"hep-ph/9705319",,"S.A. Caveny and P.M. Stevenson (Rice University)","The Banks-Zaks Expansion and ""Freezing"" in Perturbative QCD","19 pages, LaTeX, including 3 figures using epsf",,,"DOE/ER/40717-45","hep-ph",,"  The recent calculation of the four-loop beta function in QCD provides further
evidence that the Banks-Zaks expansion in 16half-n_f is sufficiently well
behaved to be useful even for n_f=2 light flavours. This expansion inherently
predicts ""freezing"" of the QCD couplant at low energies as a perturbative
effect. We consider the e+e- and Bjorken-sum-rule cases as examples.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 00:35:09 GMT""}]","2007-05-23"
"hep-ph/9705320","Tom Browder","T.E. Browder (University of Hawaii), A. Datta (Iowa State University),
  X.-G. He (University of Melbourne), and S. Pakvasa (University of Hawaii)","CP Violation in Quasi-inclusive $B\to K^{(*)} X$ Decays","28 pages, REVTEX format with 20 figures. Updated acknowledgments.
  Corrected typographical errors and updated the bibliography. To appear in
  Physical Review D","Phys.Rev.D57:6829-6842,1998","10.1103/PhysRevD.57.6829","UH 511-864-96, AMES-HET-97-05","hep-ph hep-ex",,"  We consider the possibility of observing CP violation in quasi-inclusive
decays of the type $B^-\to K^- X$, $B^-\to K^{*-} X$, $\bar B^0\to K^- X$ and
$\bar B^0\to K^{*-} X$, where $X$ does not contain strange quarks. We present
estimates of rates and asymmetries for these decays in the Standard Model and
comment on the experimental feasibility of observing CP violation in these
decays at future $B$ factories. We find the rate asymmetries can be quite
sizeable.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 23:55:31 GMT""},{""version"":""v2"",""created"":""Fri, 16 May 1997 02:02:38 GMT""},{""version"":""v3"",""created"":""Tue, 14 Apr 1998 00:03:45 GMT""}]","2014-11-17"
"hep-ph/9705321","Sandra Klevansky","S.P. Klevansky, A. Ogura, P. Rehberg and J. H\""ufner","Developing Transport Theory to Study the Chiral Phase Transition","To appear in the proceedings of ""Workshop on Light Cone Quantization
  and Non-Perturbative QCD"", LesHouches 1997",,,,"hep-ph",,"  Chiral symmetry is an important aspect of QCD. Modelling this via the
Nambu-Jona-Lasinio model, we construct a complete relativistic transport theory
for quarks and mesons. The collision integral is analysed in a systematic 1/N_c
approximation, and via this, it is shown that one can naturally incorporate
mesonic degrees of freedom plus the hadronization of quarks and antiquarks into
mesons into the field theoretic description. Time permitting, some simulation
results, on the level of the Vlasov equation and also including collisions in a
relaxation time approach, will be discussed.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 09:37:48 GMT""}]","2007-05-23"
"hep-ph/9705322","Ingo Schienbein","I. Schienbein","Leading log radiative corrections to deep inelastic production of heavy
  quarks","minor changes, revised version to appear in Z Phys. C, 25 pages,
  LaTeX, 13 figures, epsfig.sty","Eur.Phys.J.C2:675-682,1998","10.1007/s100520050170","DO-TH 97/09","hep-ph",,"  O(\alpha) QED radiative corrections to neutral current deep inelastic
production of heavy quarks are calculated in the leading log approximation and
compared with the corresponding corrections assuming a massless charm parton.
Besides the inclusive case, corrections to the semi-inclusive d^3\sigma/dx dy
dz and the effect of z-cuts are studied. In the latter case, the massless
corrections differ from the correct massive radiative corrections to deep
inelastic heavy quark production by about 40%-10% for 0.2\lesssim z \lesssim
0.5.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 09:50:19 GMT""},{""version"":""v2"",""created"":""Thu, 10 Jul 1997 11:43:09 GMT""}]","2011-09-13"
"hep-ph/9705324","Le Yaouanc","V. Mor\'enas, A. Le Yaouanc, L. Oliver, O. P\`ene and J.-C. Raynal","Slope of the Isgur-Wise function in the heavy mass limit of quark models
  \`a la Bakamjian-Thomas","15 pages, Latex, AMS-LaTeX","Phys.Lett. B408 (1997) 357-366","10.1016/S0370-2693(97)00826-5","LPTHE-Orsay 96-99, PCCF RI 97-06","hep-ph",,"  The slope of the Isgur-Wise function for ground state mesons is evaluated for
the heavy mass limit of quark models \`a la Bakamjian-Thomas, which has been
previously discussed by us in general terms. A full calculation in various
spectroscopic models with relativistic kinetic energy gives a rather stable
result $\rho^2 \approx 1$, much lower than previous estimates. Attention is
paid to a careful comparison of this result with the ones of QCD fundamental
methods (lattice QCD, QCD sum rules) and with experimental data.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 14:16:05 GMT""}]","2009-10-30"
"hep-ph/9705325",,"She-Sheng Xue","Mass generation of the lepton sector","LaTex 17 pages, for the proceeding of the 1997 Shizuoka workshop on
  masses and mixings of quarks and leptons (March 19-21, Shizuoka, Japan)",,,,"hep-ph",,"  We discuss the necessity of a right-handed Weyl neutrino due to the
vector-like phenomenon of the regularized Standard Model. It is shown that this
right-handed neutrino is decoupled from low energies as a free particle, and
Dirac neutrino masses are very small. We suggest gauge-invariant couplings
between down quarks and charged leptons so that charged leptons acquire masses
without extra Goldstone modes. By examining Schwinger-Dyson equations for
lepton self-energy functions, we show that the neutrinos get their Dirac masses
via explicit symmetry breakings that attribute to the mixing between neutrinos
and charged leptons. An analysis of these Dyson equations gives the four
relationships between inter-generation mixing angles and lepton masses.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 14:23:48 GMT""}]","2007-05-23"
"hep-ph/9705326","Mihail Kopysov","M. Yu. Kopysov and Yu. E. Pokrovsky (Russian Research Center
  ''Kurchatov Institute'', Moscow, Russia)","Possible Asymmetry of Particle Distribution Around Axes of Hard Jets in
  Ultrarelativistic Heavy Ion Collisions","15 pages, LaTeX, 3 LaTeX figures, submitted to Physics Letters B",,,,"hep-ph",,"  We discuss a possible new manifestation of the formation of an initial
nonequilibrium flux tube stage in high energy heavy ion collisions. It is shown
that a strong asymmetry in particle distributions around axes of
hard-transverse jets takes place due to a large difference between longitudinal
and transverse forces acting on the hardly scattered quarks or gluons crossing
the flux tubes.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 14:53:04 GMT""}]","2007-05-23"
"hep-th/9705102",,"G. Grignani, L. Paniak, G. W. Semenoff, P. Sodano","Loop Correlators and Theta States in 2D Yang-Mills Theory","30 pages, Latex, no figures","Annals Phys. 260 (1997) 275-310","10.1006/aphy.1997.5722","DFUPG-97-158; UBC-GS-8-97","hep-th",,"  Explicit computations of the partition function and correlation functions of
Wilson and Polyakov loop operators in theta-sectors of two dimensional
Yang-Mills theory on the line cylinder and torus are presented. Several
observations about the correspondence of two dimensional Yang-Mills theory with
unitary matrix quantum mechanics are presented. The incorporation of the
theta-angle which characterizes the states of two dimensional adjoint QCD is
discussed.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 19:17:23 GMT""}]","2009-10-30"
"hep-th/9705103",,"S. G. Rajeev and O. T. Turgut","Geometric Quantization and Two Dimensional QCD","46 pages, Latex, no figures","Commun.Math.Phys. 192 (1998) 493-517","10.1007/s002200050306",,"hep-th",,"  In this article, we will discuss geometric quantization of 2d QCD with
fermionic and bosonic matter fields. We identify the respective large-N_c phase
spaces as the infinite dimensional Grassmannian and the infinite dimensional
Disc. The Hamiltonians are quadratic functions, and the resulting equations of
motion for these classical systems are nonlinear. In a previous publication,
the first author has shown that the linearization of the equations of motion
for the Grassmannian gave the `t Hooft equation. We will see that the
linearization in the bosonic case leads to the scalar analog of the `t Hooft
equation found by Tomaras.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 20:14:10 GMT""}]","2009-10-30"
"hep-th/9705104","Paul S. Aspinwall","Paul S. Aspinwall and David R. Morrison","Point-like Instantons on K3 Orbifolds","35 pages, many embedded figures. Caveat added concerning result 4","Nucl.Phys. B503 (1997) 533-564","10.1016/S0550-3213(97)00516-6","RU-97-29 IASSNS-HEP-97/46","hep-th",,"  The map between the moduli space of F-theory (or type II string)
compactifications and heterotic string compactifications can be considerably
simplified by using ""stable degenerations"". We discuss how this method applies
to both the E8 x E8 and the Spin(32)/Z2 heterotic string. As a simple
application of this method we derive some basic properties of the
nonperturbative physics of collections of E8 or Spin(32)/Z2 point-like
instantons sitting at A-D-E singularities on a K3 surface.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 22:23:35 GMT""},{""version"":""v2"",""created"":""Wed, 3 Sep 1997 20:46:05 GMT""}]","2009-10-30"
"hep-th/9705105","Peter Haagensen","Peter E. Haagensen, Kasper Olsen, and Ricardo Schiappa","Two-Loop Beta Functions Without Feynman Diagrams","4 pp., REVTeX. Added discussion on scheme (in)dependence; final
  version to appear in Phys. Rev. Lett","Phys.Rev.Lett. 79 (1997) 3573-3576","10.1103/PhysRevLett.79.3573","MIT-CTP #2641","hep-th",,"  Starting from a consistency requirement between T-duality symmetry and
renormalization group flows, the two-loop metric beta function is found for a
d=2 bosonic sigma model on a generic, torsionless background. The result is
obtained without Feynman diagram calculations, and represents further evidence
that duality symmetry severely constrains renormalization flows.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 20:40:11 GMT""},{""version"":""v2"",""created"":""Wed, 10 Sep 1997 19:47:30 GMT""}]","2009-10-30"
"hep-th/9705106",,"Changhyun Ahn, Radu Tatar","Geometry, D-branes and N=1 Duality in Four Dimensions with Product Gauge
  Group","14 pages, latex","Phys.Lett. B413 (1997) 293-302","10.1016/S0370-2693(97)01124-6","APCTP-97-10, UM-TG-194","hep-th",,"  We study N=1 dualities in four dimensional supersymmetric gauge theories by D
6-branes wrapping around 3-cycles of Calabi-Yau threefolds in the type IIA
string theory. We consider the models involving $SU(N_{c1})\times SU(N_{c2})$
product gauge group without or with adjoint matter in terms of geometrical
realisation of the configuration of D 6-branes wrapped 3-cycles. We also find
simple geometric description for the triple product gauge group
$SU(N_{c1})\times SU(N_{c2})\times SU(N_{c3})$ interpreted recently by Brodie
and Hanany in the context of D brane configurations together with NS 5-branes.
Their introduction of semi-infinite D 4-branes appears naturally by looking at
the flavor group in the dual theory. We generalize to product of arbitrary
number of gauge groups.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 23:19:08 GMT""}]","2009-10-30"
"hep-th/9705107","Edi Halyo","Edi Halyo","M(atrix) Black Holes in Five Dimensions","20 pages in phyzzx.tex, three references added","JHEP 9903 (1999) 005","10.1088/1126-6708/1999/03/005",,"hep-th",,"  We examine five dimensional extreme black holes with three charges in the
matrix model. We build configurations of the 5+1 super Yang-Mills theory which
correspond to black holes with transverse momentum charge. We calculate their
mass and entropy from the super Yang-Mills theory and find that they match the
semi-classical black hole results. We extend our results to nonextreme black
holes in the dilute gas approximation.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 23:15:09 GMT""},{""version"":""v2"",""created"":""Wed, 21 May 1997 22:46:15 GMT""}]","2009-10-30"
"hep-th/9705108","Alon Faraggi","Alon E. Faraggi and Marco Matone","Quantum Mechanics from an Equivalence Principle","1+10 pages. Standard Latex. Expanded version, references added, to
  appear in Phys. Lett. B","Phys.Lett. B450 (1999) 34-40","10.1016/S0370-2693(99)00113-6","UFIFT-HEP-96-28, DPFD 96/TH/59","hep-th gr-qc hep-ph quant-ph",,"  We postulate that physical states are equivalent under coordinate
transformations. We then implement this equivalence principle first in the case
of one-dimensional stationary systems showing that it leads to the quantum
analogue of the Hamilton-Jacobi equation which in turn implies the Schroedinger
equation. In this context the Planck constant plays the role of covariantizing
parameter. The construction is deeply related to the GL(2,C)-symmetry of the
second-order differential equation associated to the Legendre transformation
which selects, in the case of the quantum analogue of the Hamiltonian
characteristic function, self-dual states which guarantee its existence for any
physical system. The universal nature of the self-dual states implies the
Schroedinger equation in any dimension.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 14:51:23 GMT""},{""version"":""v2"",""created"":""Sat, 16 Jan 1999 04:35:29 GMT""}]","2009-10-30"
"hep-th/9705109","Toppan Francesco","F. Toppan","Lie-Algebraic Characterization of 2D (Super-)Integrable Models","6 pages, LaTex, Talk given at the conference in memory of D.V.
  Volkov, Kharkhov, January 1997. To appear in the proceedings",,"10.1007/BFb0105241",,"hep-th",,"  It is pointed out that affine Lie algebras appear to be the natural
mathematical structure underlying the notion of integrability for
two-dimensional systems. Their role in the construction and classification of
2D integrable systems is discussed. The super- symmetric case will be
particularly enphasized. The fundamental examples will be outlined.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 02:00:24 GMT""}]","2009-10-30"
"hep-th/9705111","Yoichi Kazama","Yoichi Kazama","Scattering of Quantized Dirichlet Particles","44 pages, latex, 4 figures","Nucl.Phys. B504 (1997) 285-325",,"UT-Komaba 97-7","hep-th",,"  As a step toward satisfactory understanding of the quantum dynamics of
Dirichlet \break (D-) particles, the amplitude for the basic process describing
the scattering of two quantized D-particles is computed in bosonic string
theory. The calucluation is performed and cross-checked using three different
methods, namely, (i) path integral, (ii) boundary state, and (iii) open-channel
operator formalism. The analysis is exact in $\al'$ and includes the first
order correction in the expansion with respect to the acceleration of the
D-particles. The resultant Lorentz-invariant amplitude is capable of describing
general non-forward scattering with recoil effects fully taken into account and
it reproduces the known result for the special case of forward scattering in
the limit of infinitely large D-particle mass. The expected form of the
amplitude for the supersymmetric case is also briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 07:41:55 GMT""}]","2007-05-23"
"hep-th/9705112","Pierre van Baal","Pierre van Baal","Intermediate Volumes and the Role of Instantons","7p LaTeX, 3 figs. Talk at the workshop ""New non-perturbative methods
  and quantization on the light cone"", Les Houches, 24 Feb-7 March, 1997",,,"IN97025NQF, INLO-PUB-4/97","hep-th",,"  We review recent results for the low-lying glueball spectrum on the
three-sphere in intermediate volumes that incorporate instanton effects. The
latter are implemented through boundary conditions on the fundamental domain
obtained by minimising the norm of the gauge field along the gauge orbit.
Non-perturbative corrections due to the boundary conditions in field space are
seen to be crucial.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 09:42:29 GMT""}]","2007-05-23"
"hep-th/9705113","Suresh Govindarajan","Suresh Govindarajan","A note on M(atrix) theory in seven dimensions with eight supercharges","RevTeX, 8 pages, version to appear in journal","Phys. Rev. D 56, 5276 (1997)","10.1103/PhysRevD.56.5276","BONN-TH-97-07","hep-th",,"  We consider M(atrix) theory compactifications to seven dimensions with eight
unbroken supersymmetries. We conjecture that both M(atrix) theory on K3 and
Heterotic M(atrix) theory on T^3 are described by the same 5+1 dimensional
theory with N=2 supersymmetry which is broken to N=1 by the base space. The
emergence of the extra dimension follows from a recent result of
Rozali[hep-th/9702136]. We show that the seven dimensional duality between
M-theory on K3 and Heterotic string theory on T^3 is realised in M(atrix)
theory as the exchange of one of the dimensions with this new dimension.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 11:30:04 GMT""},{""version"":""v2"",""created"":""Fri, 6 Jun 1997 13:56:40 GMT""},{""version"":""v3"",""created"":""Tue, 5 Aug 1997 13:43:23 GMT""}]","2016-08-25"
"hep-th/9705114","Jan Plefka","Gernot Akemann and Jan C. Plefka","The Chiral Supereigenvalue Model","LateX2e, 15 pages","Mod.Phys.Lett.A12:1745-1758,1997","10.1142/S0217732397001783","CPT-97/P.3483, NIKHEF 97-019","hep-th",,"  A supereigenvalue model with purely positive bosonic eigenvalues is presented
and solved by considering its superloop equations. This model represents the
supersymmetric generalization of the complex one matrix model, in analogy to
the relation between the supereigenvalue and the hermitian one matrix model.
Closed expressions for all planar multi-superloop correlation functions are
found. Moreover an iterative scheme allows the calculation of higher genus
contributions to the free energy and to the correlators. Explicit results for
genus one are given.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 11:42:46 GMT""}]","2011-07-19"
"hep-th/9705115","Englert Francois","F. Englert","On the black hole unitarity issue","14 pages, latex, no figures. Talk presented at the Puri workshop
  (December 1996)",,,"ULB-TH 10/97","hep-th",,"  I discuss features required for preserving unitarity in black hole decay and
concepts underlying such a perspective. Unitarity requires that correlations
extend on the scale of the horizon. I show, in a toy model inspired by string
theories, that such correlations can indeed arise. The model suggests that,
after a time of order 4M ln M following the onset of Hawking radiation, quantum
effects could maintain throughout the decay a collapsing star within a Planck
distance of its Schwarzschild radius. In this way information loss would be
avoided. The concept of black hole ``complementarity'', which could reconcile
these macroscopic departures from classical physics with the equivalence
principle, is interpreted in terms of weak values of quantum operators.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 12:52:16 GMT""}]","2007-05-23"
"math/9705213","Shelah Office","Saharon Shelah","The null ideal restricted to some non-null set may be
  $\aleph_1$-saturated",,,,"Shelah [Sh:619]","math.LO",,"  Our main result is that possibly some non-null set of reals cannot be divided
to uncountably many non-null sets. We deal also with a non-null set of reals,
the graph of any function from it is null and deal with our iterations somewhat
more generally.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 00:00:00 GMT""},{""version"":""v2"",""created"":""Thu, 16 Aug 2001 16:51:52 GMT""}]","2008-02-03"
