"alg-geom/9705028","David R. Morrison","David R. Morrison","Through the Looking Glass","latex2e, 22 pages with 1 figure","Mirror Symmetry III (D. H. Phong, L. Vinet, and S.-T. Yau, eds.),
  American Mathematical Society and International Press, 1999, pp. 263-277",,"DUK-M-97-04","alg-geom math.AG",,"  It is frequently possible to produce new Calabi-Yau threefolds from old ones
by a process of allowing the complex structure to degenerate to a singular one,
and then performing a resolution of singularities. (Some care is needed to
ensure that the Calabi-Yau condition be preserved.) There has been speculation
that all Calabi-Yau threefolds could be linked in this way, and considerable
evidence has been amassed in this direction. We propose here a natural way to
relate this construction to the string-theoretic phenomenon known as ``mirror
symmetry.'' We formulate a conjecture which in principle could predict mirror
partners for all Calabi-Yau threefolds, provided that all were indeed linked by
the degeneration/resolution process. The conjecture produces new mirrors from
old, and so requires some initial mirror manifold construction---such as
Greene-Plesser orbifolding---as a starting point. (Lecture given at the CIRM
conference, Trento, June 1994, and at the Workshop on Complex Geometry and
Mirror Symmetry, Montr\'eal, March 1995.)
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 21:37:20 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jun 1997 04:31:32 GMT""}]","2008-02-03"
"hep-ph/9705478","Umberto Cotti","Victoria E. Ceron, Umberto Cotti, J. Lorenzo Diaz-Cruz and Mario Maya","Constraints on the parameters of the Left Right Mirror Model","7 pages, 2 figures, REVTeX","Phys.Rev. D57 (1998) 1934-1939","10.1103/PhysRevD.57.1934","IFUAP-02-97","hep-ph",,"  We study some phenomenological constraints on the parameters of a left right
model with mirror fermions (LRMM) that solves the strong CP problem. In
particular, we evaluate the contribution of mirror neutrinos to the invisible Z
decay width (\Gamma_Z^{inv}), and we find that the present experimental value
on \Gamma_Z^{inv}, can be used to place an upper bound on the Z-Z' mixing angle
that is consistent with limits obtained previously from other low-energy
observables. In this model the charged fermions that correspond to the standard
model (SM) mix with its mirror counterparts. This mixing, simultaneously with
the Z-Z' one, leads to modifications of the \Gamma(Z --> f \bar{f}) decay
width. By comparing with LEP data, we obtain bounds on the standard-mirror
lepton mixing angles. We also find that the bottom quark mixing parameters can
be chosen to fit the experimental values of R_b, and the resulting values for
the Z-Z' mixing angle do not agree with previous bounds. However, this
disagreement disappears if one takes the more recent ALEPH data.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 21:24:37 GMT""}]","2009-10-30"
"hep-ph/9705479",,"Michael E. Peskin","Beyond the Standard Model","94 pages, latex + 47 eps figures",,,"SLAC-PUB-7479","hep-ph hep-ex",,"  These lectures constitute a short course in `Beyond the Standard Model' for
students of experimental particle physics. I discuss the general ideas which
guide the construction of models of physics beyond the Standard Model. The
central principle, the one which most directly motivates the search for new
physics, is the search for the mechanism of the spontaneous symmetry breaking
observed in the theory of weak interactions. To illustrate models of
weak-interaction symmetry breaking, I give a detailed discussion of the idea of
supersymmetry and that of new strong interactions at the TeV energy scale. I
discuss experiments that will probe the details of these models at future pp
and e+e- colliders. [Lectures presented at the 1996 European School of
High-Energy Physics.]
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 22:50:08 GMT""}]","2007-05-23"
"hep-ph/9705480","Dave Robertson","David G. Robertson (OSU)","Physical Coupling Schemes and QCD Exclusive Processes","7 pages, Latex, uses l-school.sty. Talk given at ""New Nonperturbative
  Methods and Quantization on the Light Cone,"" Les Houches, France, 24 Feb.-7
  March 1997. To appear in the proceedings",,,,"hep-ph",,"  I discuss application of the BLM method to obtain commensurate scale
relations connecting QCD exclusive amplitudes to other observables, in
particular the heavy quark potential.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 23:31:08 GMT""}]","2007-05-23"
"hep-ph/9706202","Sugimoto Kouji","T. Morii","Review from theoretician","Concluding remark presented at the 7th RCNP International Workshop on
  Polarized $^3$He Beams and Gas Targets and Their Application, Kobe, Jan.
  20-24, 1997, 6 page + 1 Postscript figure, Latex","Nucl.Instrum.Meth.A402:488-491,1998","10.1016/S0168-9002(97)00895-4","KOBE-FHD-97-02","hep-ph",,"  The talks presented at the conference are summarized from an angle of a
particle theorist. After presenting a personal impression on the conference,
particular emphasis is placed on the spin structure of nucleons and symmetry
breaking test.
","[{""version"":""v1"",""created"":""Sat, 31 May 1997 11:17:50 GMT""}]","2011-04-15"
"hep-ph/9706203","Jan Kalinowski","J. Kalinowski","New Physics at HERA: Implications for e+e- Scattering at LEP2","4 pages, LaTeX, 3 figures included, uses aipproc.sty and epsfig; Talk
  presented at the 5th International Workshop on ""Deep Inelastic Scattering and
  QCD"" (DIS '97), Chicago, Illinois, USA, April 14-18, 1997",,"10.1063/1.53600","DESY 97-097, IFT 4/97","hep-ph",,"  The impact of virtual leptoquark or R-parity breaking squark exchange as well
as generic contact interactions on the production of quark-antiquark pairs in
$e^+e^-$ annihilation, in particular at LEP2, is summarized. An exciting
possibility of sneutrino formation in $e^+e^-$ scattering is also mentioned.
","[{""version"":""v1"",""created"":""Sat, 31 May 1997 14:15:41 GMT""}]","2009-10-30"
"hep-ph/9706204","Ken-Ichi Aoki","Ken-Ichi Aoki (Kanazawa University)","Non-perturbative Renormalization Group Approach to Dynamical Chiral
  Symmetry Breaking in Gauge Theories","15 pages, LaTeX using sprocl.sty, 16 postscript figures, to be
  published in the Proceedings of International Workshop on Perspectives of
  Strong Coupling Gauge Theories (SCGT96), Nagoya, 1996",,,"KANAZAWA-97-09","hep-ph",,"  We analyze the dynamical chiral symmetry breaking in gauge theories solely by
the non-perturbative renormalization group, without recourse to the
Schwinger-Dyson method. First, we briefly review the basic notions and
formulation, and clarify its great feature that it gives a systematic
approximation scheme without any divergent series nor serious gauge dependence,
compared to other perturbative and non-perturbative methods. Then we apply this
new method to QED and QCD to find that our lowest level approximation improves
the ladder Schwinger-Dyson equation results in a gauge independent way. We get
the chiral phase structures and the critical exponents in the fixed gauge
coupling analysis, and also calculate the chiral condensates in case of running
QCD.
","[{""version"":""v1"",""created"":""Sat, 31 May 1997 15:10:30 GMT""}]","2007-05-23"
"hep-th/9705241","Barton Zwiebach","Barton Zwiebach","Oriented Open-Closed String Theory Revisited","61 pages, 19 eps figures, phyzzx, BoxedEPS","Annals Phys. 267 (1998) 193-248","10.1006/aphy.1998.5803","MIT-CTP-2644, HUTP-97/A025","hep-th",,"  String theory on D-brane backgrounds is open-closed string theory. Given the
relevance of this fact, we give details and elaborate upon our earlier
construction of oriented open-closed string field theory. In order to
incorporate explicitly closed strings, the classical sector of this theory is
open strings with a homotopy associative A_\infty algebraic structure. We build
a suitable Batalin-Vilkovisky algebra on moduli spaces of bordered Riemann
surfaces, the construction of which involves a few subtleties arising from the
open string punctures and cyclicity conditions. All vertices coupling open and
closed strings through disks are described explicitly. Subalgebras of the
algebra of surfaces with boundaries are used to discuss symmetries of classical
open string theory induced by the closed string sector, and to write classical
open string field theory on general closed string backgrounds. We give a
preliminary analysis of the ghost-dilaton theorem.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 16:08:21 GMT""}]","2009-10-30"
"hep-th/9705242","Stephen Pinsky","S. Pinsky (Ohio State University)","The Analog of t'Hooft Pions with Adjoint Fermions","8 pages Latex, Invited talk at ``New Non-perturbative Methods and
  Quantization on the Light-Cone"", Les Houches France 24 Feb. - 7 March 1997",,,,"hep-th",,"  In this paper we discuss a class of 1+1 dimensional matrix field theories in
the light-cone Hamiltonian approach that are obtained from a dimensional
reduction of 3+1 dimensional Yang-Mills theory. We present exact massless
solutions of the boundstate integral equations in the large N limit. These
massless states have constant wavefunctions in momentum space and are therefore
fundamental excitations of the theory.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 17:08:21 GMT""}]","2007-05-23"
"hep-th/9705243","Roya Mohayaee","Roya Mohayaee","The phases of two-dimensional QED and QCD","Latex file, 11 pages. Talk presented at the 1st Caribean workshop on
  quantum mechanics, particles and fields, Havana, Cuba 24-28 March 1997",,,,"hep-th",,"  The semi-classical phase structure of two-dimensional QED and QCD are briefly
reviewed. The non-abelian theory is reformulated to closely resemble the
Schwinger model. It is shown that, contrary to the abelian theory, the phase
structure of two-dimensional QCD is unaffected by the structure of the theta
vacuum. We make parallel calculations in the two theories and conclude that
massless Schwinger model is in the screening and the massive theory is in the
confining phase, whereas both massless and massive QCD are in the screening
phase.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 22:21:39 GMT""}]","2007-05-23"
"hep-th/9705244","George Kraniotis","D. Bailin(Sussex), G.V. Kraniotis(Royal Holloway) and A. Love (Royal
  Holloway)","CP Violation By Soft Supersymmetry Breaking Terms in Orbifold
  Compactifications","LaTeX file 12 pages, A reference amended and a typo corrected. To
  appear in Phys.Lett.B","Phys.Lett.B414:269-276,1997","10.1016/S0370-2693(97)01179-9","SUSX-TH-97-11","hep-th hep-ph",,"  The possibility of spontaneous breaking of CP symmetry by the expectation
values of orbifold moduli is investigated with particular reference to $CP$
violating phases in soft supersymmetry breaking terms. The effect of different
mechanisms for stabilizing the dilaton and the form of the non-perturbative
superpotential on the existence and size of these phases is studied.
Non-perturbative superpotentials involving the absolute modular invariant
$j(T)$, such as may arise from F-theory compactifications, are considered.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 23:31:00 GMT""},{""version"":""v2"",""created"":""Sun, 8 Jun 1997 19:18:00 GMT""},{""version"":""v3"",""created"":""Sun, 28 Sep 1997 16:19:33 GMT""}]","2014-11-18"
"hep-th/9706001","Vd","Valeri V. Dolotin","QFT's With Action of Degree 3 and Higher and Degeneracy of Tensors","14 pages, LaTeX",,,,"hep-th math.FA",,"  In this paper we develop a technique of computation of correlation functions
in theories with action being cubic or higher degree form in terms of
discriminants of corresponding tensors. These are analogues of formula $\int
\exp (iT(x))dx\sim \det T^{-1/2}$ for symmetric tensors of rank two.
","[{""version"":""v1"",""created"":""Sat, 31 May 1997 08:30:57 GMT""}]","2016-09-06"
"hep-th/9706002","Kiyoshi Ezawa","K. Ezawa, Y. Matsuo and K. Murakami","BPS Configuration of Supermembrane With Winding in M-direction","10 pages latex, references added","Phys.Lett. B412 (1997) 47-52","10.1016/S0370-2693(97)01043-5","YITP-97-27","hep-th",,"  We study de Wit-Hoppe-Nicolai supermembrane with emphasis on the winding in
M-direction. We propose a SUSY algebra of the supermembrane in the Lorentz
invariant form. We analyze the BPS conditions and argue that the area
preserving diffeomorphism constraints associated with the harmonic vector
fields play an essential role. We derive the first order partial differential
equation that describes the BPS state with one quarter SUSY.
","[{""version"":""v1"",""created"":""Sat, 31 May 1997 13:51:10 GMT""},{""version"":""v2"",""created"":""Fri, 6 Jun 1997 08:13:32 GMT""},{""version"":""v3"",""created"":""Sat, 7 Jun 1997 07:29:21 GMT""}]","2009-10-30"
"nucl-th/9705058","Pradip K. Roy","Pradip K. Roy","Soft Electromagnetic Radiations from Heavy Ion Colisions","Talk Presented at Third International Conference on Physics and
  Astrophysics of Quark Gluon Plasma, March 1997, Jaipur, India",,,,"nucl-th",,"  The production of low mass dileptons and soft photons from thermalized Quark
Gluon Plasma (QGP) and hadronic matter in relativistic heavy ion collisions is
evaluated. A boost invariant longitudinal and cylindrically symmetric
transverse expansion of the systems created in central collision of lead nuclei
at CERN SPS, BNL RHIC, and CERN LHC, and undergoing a first order phase
transition to hadronic matter is considered. A large production of low mass
($M<$ 0.3 GeV) dileptons, and soft photons ($p_T<$ 0.4 GeV) is seen to emanate
from the bremsstrahlung of quarks and pions. We find an increase by a factor of
2--4 in the low mass dilepton and soft photon yield as we move from SPS to RHIC
energies, and an increase by an order of magnitude as we move from SPS to LHC
energies. Most of the soft radiations are found to originate from pion driven
processes at SPS and RHIC energies, while at the LHC energies the quark and the
pion driven processes contribute by a similar amount. The study of the
transverse mass distribution is seen to provide interesting details of the
evolution. We also find a unique universal behaviour for the ratio of $M^2$
weighted transverse mass distribution for $M=$ 0.1 GeV to that for $M=$ 0.2 and
0.3 GeV, as a function of $M_T$, for SPS, RHIC, and LHC energies, in the
absence of transverse expansion of the system. A deviation from this universal
behaviour is seen as a clear indication of the flow.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 22:49:08 GMT""}]","2007-05-23"
"nucl-th/9705059","Jon Johansson","J.I. Johansson and H.S. Sherif","Importance of the direct knockout mechanism in relativistic calculations
  for (gamma, p) reactions","25 pages, LaTeX with 8 postscript figures","Phys.Rev.C56:328-338,1997","10.1103/PhysRevC.56.328","DOE/ER/40561-311-INT97-00-162","nucl-th",,"  Results of relativistic calculations of the direct knockout (DKO) mechanism
for the photon induced removal of a proton from a target nucleus over a wide
range of energies and nuclei are presented. Spectroscopic factors used in the
calculations are fixed from consistent analyses of the quasifree electron
scattering process (e,e'p). The results indicate that within the uncertainties
of the model, the knockout contributions are generally close to the
experimental data for missing momenta below approximately 500 MeV/c. This is in
disagreement with nonrelativistic analyses which often find that the direct
knockout contribution can be quite small compared to the data and that meson
exchange corrections can be important. The present study suggests that meson
exchange current contributions may not be as large when treated in a
relativistic framework. We also point out some difficulties we encountered in
analyzing the data for a 12C target at photon energies below 80 MeV.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 21:28:11 GMT""}]","2008-11-26"
"physics/9705043","Fred Rounds","Frederic N. Rounds","Anomalous Weight Behavior in YBa2Cu3O7 Compounds at Low Temperature","31 pages, 16 drawings, postscript generated from MS Word Version 6
  Document",,,,"physics.gen-ph",,"  YBa2Cu3O7 high temperature superconductor samples were weighed on an
electronic balance during a warming cycle beginning at 77 degrees K. The
experiment was configured so that the YBa2Cu3O7 material was weighed along with
a magnet, a target mass, and liquid Nitrogen coolant. The weights were captured
during Nitrogen evaporation. Results indicated unexpected variations in the
system weight that appear as a function of temperature and possibly other
parameters.
","[{""version"":""v1"",""created"":""Sat, 31 May 1997 00:21:57 GMT""}]","2008-02-03"
"physics/9706001","Dr. Johann Albers","Johann Albers","Mass-Diameter Relation of Globular Star Clusters, Elliptical Galaxies
  and Spherical Clusters of Galaxies","18 pages, postscript, 4 figures included",,,,"physics.gen-ph",,"  In a preceeding paper alternative reflections on gravitation were developed.
There it was assumed that the primary interaction between two masses is not of
attractive but of repulsive nature. The repulsive force results from the impuls
transfer produced by the gravitational radiation which is emitted and absorbed
by both masses. The observed attractive force between the two masses according
to Newton`s law of gravitation, however, is a secondary effect and a
consequence of the existence of all the masses in the universe. The mutual
screening of the gravitational radiation of all masses of the universe by the
two masses under consideration leads to the gravitational attraction between
them. The balance between primary, repulsive and secondary, attractive forces
can stabilize highly concentrated spherical mass accumulations with a linear
dependence of their mass on the square of their diameter. Such objects can
really be observed in the universe in the form of globular star clusters,
elliptical galaxies and spherical clusters of galaxies. The scatter of the data
of every group is rather large. But the collection of the objects of all three
groups, reaching from the smallest globular star cluster to the largest
spherical cluster of galaxies, with masses differing by almost 12 orders of
magnitude, clearly shows the proposed mass-diameter relation.
","[{""version"":""v1"",""created"":""Sat, 31 May 1997 15:04:06 GMT""}]","2008-02-03"
"physics/9706002","Dr. Johann Albers","Johann Albers","Alternative Reflections on Gravitation","15 pages, postscript",,,,"physics.gen-ph",,"  It is assumed that the primary interaction between two masses m1 and m2 is
not attractive as postulated by Newton's law of gravitation, but repulsive.
Both m1 and m2 emit and absorb gravitational radiation. Corresponding to the
laws of optics the absorption is connected with an impulse transfer that
produces the repulsive force. If, however, m1 and m2 are embedded in the
gravitational radiation produced by all the masses of the universe the
absorption by m1 and m2 leads to a reduction of the intensity of the
gravitational radiation between them, thus creating an attractive force exactly
as described by Newton's law. The so called universal gravitational constant is
no constant. It locally depends on the arrangement of the masses in the
universe. It can accept high values which are usually explained by the
existence of dark matter. Due to the primary forces of repulsive nature between
all masses the expansion of the universe is an intrinsic property. The balance
between primary, repulsive and secondary, attractive gravitational forces can
stabilize highly concentrated mass accumulations as they are observed in
globular clusters and the bulges of galaxies.
","[{""version"":""v1"",""created"":""Sat, 31 May 1997 15:43:17 GMT""}]","2008-02-03"
"physics/9706003","Valery I. Telnov","Valery Telnov (Institute of Nuclear Physics, Novosibirsk, Russia)","Ultimate luminosities and energies of photon colliders","15 pages, Latex, 6 figures(eps), submitted to Proceedings of the
  Symposium on Future High Energy Colliders, ITP, UCSB, Santa Barbara, October
  1996. AIP Press","AIP Conf.Proc.397:259-273,1996","10.1063/1.52997","Budker INP 97-47","physics.acc-ph hep-ex hep-ph",,"  A photon collider luminosity and its energy are determined by the parameters
of an electron-electron linear collider (energy, power, beam emittances) and
collision effects. The main collision effect is the coherent e+e- pair
creation. At low energies (2E < 0.5 - 1 TeV) this process is suppressed due to
repulsion of electron beams. In this region gamma-gamma luminosity above
10^{35} cm-2 s-1 is possible (10^{33} is sufficient). At higher energies the
limited average beam power and coherent pair creation restrict the maximum
energy of photon colliders (with sufficient luminosity) at 2E ~ 5 TeV.
Obtaining high luminosities requires the development of new methods of
production beams with low emittances such as a laser cooling.
","[{""version"":""v1"",""created"":""Sat, 31 May 1997 09:50:28 GMT""}]","2011-07-19"
"quant-ph/9705054","Alexandre Kholevo","A. S. Holevo","On Quantum Communication Channels with Constrained Inputs","17 pages, latex209",,,,"quant-ph",,"  The purpose of this work is to extend the result of previous papers
quant-ph/9611023, quant-ph/9703013 to quantum channels with additive
constraints onto the input signal, by showing that the capacity of such channel
is equal to the supremum of the entropy bound with respect to all apriori
distributions satisfying the constraint. We also make an extension to channels
with continuous alphabet. As an application we prove the formula for the
capacity of the quantum Gaussian channel with constrained energy of the signal,
establishing the asymptotic equivalence of this channel to the semiclassical
photon channel. We also study the lower bounds for the reliability function of
the pure-state Gaussian channel.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 20:16:26 GMT""}]","2007-05-23"
"quant-ph/9706001","Oliver Rudolph","Oliver Rudolph and J.D. Maitland Wright","On Tracial Operator Representations of Quantum Decoherence Functionals","14 pages, LaTeX2e","J.Math.Phys. 38 (1997) 5643-5652","10.1063/1.532157",,"quant-ph funct-an gr-qc math.FA",,"  A general `quantum history theory' can be characterised by the space of
histories and by the space of decoherence functionals. In this note we consider
the situation where the space of histories is given by the lattice of
projection operators on an infinite dimensional Hilbert space $H$. We study
operator representations for decoherence functionals on this space of
histories. We first give necessary and sufficient conditions for a decoherence
functional being representable by a trace class operator on $H \otimes H$, an
infinite dimensional analogue of the Isham-Linden-Schreckenberg representation
for finite dimensions. Since this excludes many decoherence functionals of
physical interest, we then identify the large and physically important class of
decoherence functionals which can be represented, canonically, by bounded
operators on $H \otimes H$.
","[{""version"":""v1"",""created"":""Sat, 31 May 1997 13:06:20 GMT""}]","2009-10-30"
