"alg-geom/9712027","Ron Donagi","Ron Donagi and Ron Livne","The arithmetic-geometric mean and isogenies for curves of higher genus","Latex, 18 pages",,,,"alg-geom math.AG",,"  Computation of Gauss's arithmetic-geometric mean involves iteration of a
simple step, whose algebro-geometric interpretation is the construction of an
elliptic curve isogenous to a given one, specifically one whose period is
double the original period. A higher genus analogue should involve the explicit
construction of a curve whose jacobian is isogenous to the jacobian of a given
curve. The doubling of the period matrix means that the kernel of the isogeny
should be a lagrangian subgroup of the group of points of order 2 in the
jacobian. In genus 2 such a construction was given classically by Humbert and
was studied more recently by Bost and Mestre. In this article we give such a
construction for general curves of genus 3. We also give a similar but simpler
construction for hyperelliptic curves of genus 3. We show that the
hyperelliptic construction is a degeneration of the general one, and we prove
that the kernel of the induced isogeny on jacobians is a lagrangian subgroup of
the points of order 2. We show that for g at least 4 no similar construction
exists, and we also reinterpret the genus 2 case in our setup. Our construction
of these correspondences uses the bigonal and the trigonal constructions,
familiar in the theory of Prym varieties.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 1997 19:47:44 GMT""}]","2007-05-23"
"hep-ex/9712027","Nick Brook HEP Glasgow","A. T. Doyle(University of Glasgow)","Diffraction: QCD Effects in Colour Singlet Exchange","38 pages. 39 postscript figures + 1 postscript preprint logo + 1
  LaTeX file + 3 style file. Talk presented at the 25th SLAC Summer Institute
  Also available at http://ppewww.ph.gla.ac.uk/preprints/97/13/",,,"GLAS-PPE-97-13","hep-ex",,"  Measurements of diffractive phenomena observed at HERA and the Tevatron are
reviewed. A short introduction to the theoretical background is presented where
colour singlet exchange reactions are discussed and the diffractive
contribution and its interpretation via pomeron exchange outlined. The review
focuses on the current experimental directions at HERA and discusses exclusive
production of vector mesons, the dissociation of real photons and the deep
inelastic structure of diffraction. Complementary information obtained from
hadronic final states and jet structures is also discussed. The experimental
signatures for diffractive jet and $W^\pm$ production observed at the Tevatron
are described and the rates compared with those from the HERA experiments.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 09:26:50 GMT""}]","2007-05-23"
"hep-ph/9712472","Christian Weiss","C. Weiss","Nucleon parton distributions in the large $N_c$ limit","13 pages, LaTeX, 2 figures included using epsf. Talk given at the
  Workshop ``Deep Inelastic Scattering off Polarized Targets: Theory Meets
  Experiment'', DESY-Zeuthen, Sep. 1-5, 1997",,,"RUB-TPII-13/97","hep-ph",,"  We review recent progress in calculating the twist--2 parton distribution
functions at a low normalization point in the large--$N_c$ limit, where the
nucleon can be described as a soliton of the effective chiral lagrangian. This
field-theoretic approach preserves all general requirements on the distribution
functions (positivity, normalization etc.). In particular, it allows to
calculate the polarized and unpolarized antiquark distributions at the low
normalization point.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 1997 19:10:01 GMT""}]","2007-05-23"
"hep-ph/9712473","Hai-Yang Cheng","Hai-Yang Cheng","Remarks on Next-to-Leading Order Analysis of Polarized Deep Inelastic
  Scattering Data","10 pages, 1 figure. A new reference is added and a new paragraph
  after Eq.(10) is presented. To be published in Phys. Lett. B","Phys.Lett. B427 (1998) 371-376","10.1016/S0370-2693(98)00366-9",,"hep-ph hep-ex",,"  Since the x dependence of the axial-anomaly effect in inclusive polarized
deep inelastic scattering is fixed, the transformation from the $\bar{MS}$
scheme to different factorization schemes are not arbitrary. If the quark spin
distribution is demanded to be anomaly-free so that it does not evolve with
$Q^2$ and hard gluons contribute to the first moment of $g_1(x)$, then all the
moments of coefficient and splitting functions are fixed by perturbative QCD
for a given $\gamma_5$ prescription, contrary to the commonly used
Adler-Bardeen (AB) or AB-like scheme. It is urged that, in order to correctly
demonstrate the effect of factorization scheme dependence, the QCD analysis of
polarized structure functions in next-to-leading order should be performed,
besides the $\bar{MS}$ scheme, in the chiral-invariant factorization scheme in
which the axial anomaly resides in the gluon coefficient function, instead of
the less consistent and ambiguous AB scheme.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 1997 23:24:32 GMT""},{""version"":""v2"",""created"":""Thu, 25 Dec 1997 23:23:14 GMT""},{""version"":""v3"",""created"":""Fri, 27 Mar 1998 23:25:21 GMT""}]","2009-10-30"
"hep-ph/9712474","Mike Berger","M. S. Berger (Indiana U.)","Precision W-Boson and Higgs Boson Mass Determinations at Muon Colliders","6 pages, 4 figures",,"10.1063/1.56256","IUHET-378","hep-ph",,"  Precise determinations of the masses of the $W$ boson and of the top quark
could stringently test the radiative structure of the Standard Model (SM) or
provide evidence for new physics. We analyze the excellent prospects at a muon
collider for measuring $M_W$ and $m_t$ in the $W^+W^-$ and $ZH$ threshold
regions. With an integrated luminosity of 10 (100) fb$^{-1}$, the W-boson mass
could be measured to a precision of 20 (6) MeV, provided that theoretical and
experimental systematics are understood. A measurement of $\Delta M_W=6$ MeV
would constrain the mass of a $\sim 100$ GeV Higgs to about $\pm 10$ GeV. We
demonstrate that a measurement at future colliders of the Bjorken process. With
an integrated luminosity of $100\fbi$ it is possible to measure the Standard
Model Higgs mass to within 45\mev at a $\mu^+\mu^-$ collider for $\mh=100\gev$.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 03:50:38 GMT""}]","2009-10-30"
"hep-ph/9712475",,"I. Bigi","CP Violation -- An Essential Mystery in Nature's Grand Design","LATEX, 73 pages, no figures; lectures given at the XXV ITEP
  Winterschool of Physics, at `Frontiers in Contemporary Physics' and at the
  International School of Physics ""Enrico Fermi"", Course `Heavy Flavour
  Physics: A Probe of Nature's Grand Design'","Surveys High Energ.Phys.12:269-336,1998","10.1080/01422419808228861",,"hep-ph",,"  CP violation has so far been observed in one system only, namely in the
decays of neutral kaons, and it can still be described by a single real
quantity corresponding to a superweak scenario. In these lectures I describe
why limitations on CP invariance are a particularly fundamental phenomenon and
what experimental information is available. The KM ansatz constitutes the
minimal implementation of CP violation: without requiring unknown degrees of
freedom it can reproduce the known CP phenomenology. It unequivocally predicts
large or even huge CP asymmetries of various kinds in the decays of beauty
hadrons. New theoretical technologies will enable us in the foreseeable future
to express at least some of these predictions in a quantitatively reliable
fashion. There is tremendous potential for discovering New Physics in beauty
transitions. Continuing efforts in strange decays and further dedicated
searches for electric dipole moments and for CP asymmetries in charm decays are
likewise essential for discovering crucial elements that still are missing in
the puzzle that is Nature's Grand Design.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 06:04:52 GMT""}]","2015-06-25"
"hep-ph/9712476","Hideaki Hiro-Oka","Hideaki Hiro-Oka (Kitasato Univ.) and Hisakazu Minakata (Tokyo
  Metropolitan Univ.)","Two Pion Correlations as a Possible Experimental Probe for Disoriented
  Chiral Condensates","RevTeX 13 pages, 2 Postscript figures included","Phys.Lett. B425 (1998) 129-134; Erratum-ibid. B434 (1998) 461","10.1016/S0370-2693(98)00201-9","TMUP-HEL-9714","hep-ph",,"  We discuss two-pion correlations as a possible experimental probe into
disoriented chiral condensates. In particular, we point out that the
iso-singlet squeezed states of the BCS type have peculiar two-particle
correlations in the back-to-back and the identical momentum configurations
which should be detectable experimentally. We motivate the examination of the
squeezed state by showing that such state naturally appears in a final stage of
nonequilibrium phase transitions via the parametric resonance mechanism
proposed by Mr\'owczy\'nski and M\""uller.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 07:07:04 GMT""},{""version"":""v2"",""created"":""Thu, 25 Dec 1997 05:42:35 GMT""},{""version"":""v3"",""created"":""Mon, 9 Feb 1998 02:27:00 GMT""}]","2009-10-30"
"hep-ph/9712477",,"A.V. Konychev (Institute for High Energy Physics, Protvino, Russia)","On the renormalization-scheme dependence in quantum field theory","9 pages, 1 Postscript figure",,,"IHEP 97-72","hep-ph",,"  Using quantum electrodynamics as an example, a dependence of physical
predictions of quantum field theory in a finite perturbation theory order on
the choice of renormalization scheme is studied. It is shown that On-Mass-Shell
renormalization scheme is distinguished in quantum electrodynamics not only due
to the agreement of the theory predictions with experimental results but also
due to a set of specific theoretical properties. Thus performing
renormalization procedure in other theories, it seems reasonable to use some of
On-Mass-Shell renormalization scheme prescriptions.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 08:06:07 GMT""}]","2007-05-23"
"hep-ph/9712478","W. S. Hou","Xiao-Gang He, Wei-Shu Hou and C.-S. Huang","Implications for $B \to \eta K$ and $B \to Glueball + K$ Modes from
  Observed Large $B\to \eta' K+X$","11 pages, revtex, no figs","Phys.Lett. B429 (1998) 99-105","10.1016/S0370-2693(98)00483-3",,"hep-ph",,"  The unexpectedly large branching ratios for $B\to \eta' K (\eta' X_s)$ decays
could be of gluonic origin. We study the implications for $B\to \eta K (\eta
X_s)$ and $P K (PX_s)$, where $P$ is the pseudoscalar glueball. In the
mechanism proposed by Fritzsch, large branching ratios are predicted for these
modes. The $B\to \eta K$ rate is barely within the experimental limit, and
$B\to P K$, $PX_s$ could be at the 0.1% and 1% level, respectively. Smaller but
less definite results are found for the mechanism of $g^* \to \eta' g$ via the
gluon anomaly.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 10:43:19 GMT""}]","2009-10-30"
"hep-ph/9712479","Nils A. Tornqvist","Nils A. Tornqvist (University of Helsinki)","Spontaneous Generation of Pseudoscalar Mass in the U(3)xU(3) Linear
  Sigma Model","8 pages revtex, 6 figures. Revritten paper to appear in Phys.Lett.B","Phys.Lett. B426 (1998) 105-113","10.1016/S0370-2693(98)00240-8",,"hep-ph",,"  A novel, nonperturbative, way to generate chiral symmetry breaking within the
linear sigma model for 3 flavours is discussed. After spontaneous chiral
symmetry breaking in the vacuum at the tree level the scalar nonet obtains
mass, while the pseudoscalars are massless. Then, including quantum loops in a
nonperturbative, self-consistent way chiral symmetry is broken by nonplanar
graphs in a second step, and also the pseudoscalars become massive. By
interpreting the basic symmetry to be a discrete permutation symmetry, in
accord with superselection rules, no additional Goldstone bosons are expected.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 11:05:51 GMT""},{""version"":""v2"",""created"":""Fri, 20 Mar 1998 07:47:35 GMT""}]","2009-10-30"
"hep-ph/9712480",,"D. Cocolicchio and M. Viggiano","The Quantum Field Theory of the Kaon Oscillations","19 pages, Plain TeX + eps latex file with 2 figures","Nuovo Cim. A112 (1999) 681-696","10.1007/BF03035877","IFUM 600-FT/97","hep-ph",,"  We consider the covariant formulation of the kaon mixing in the context of
the propagator method. It results important to check the possibility of a
sizable effect in the vacuum regeneration of kaons. We discuss all those terms
which may give relevant contributions to modify the exponential decay law of
the Wigner-Weisskopf narrow width approximation. Moreover, we examine the
characteristic structure of the complex singularities of the matrix propagator
and we provide a generalized form of the Bell-Steinberger unitarity sum rule.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 14:01:34 GMT""}]","2009-10-30"
"hep-ph/9712481","Michael Beyer","M. Beyer","Determination of V_cb from exclusive decays in a relativistic quark
  model","7 pages, 4 figures, RevTeX","Phys.Rev.D58:053001,1998","10.1103/PhysRevD.58.053001",,"hep-ph",,"  In the framework of a relativistic covariant Bethe-Salpeter model for the
quark-antiquark system we present a renewed determination of the
Cabbibo-Kobayashi-Maskawa matrix element $|V_{cb}|$. Complementing an earlier
analysis applied to the whole decay spectrum for $B\to D^* e\nu$ we now also
employ the ``zero-recoil method'' that uses the end point of the decay spectrum
($\omega=1$) and is suited for heavy-to-heavy transitions. The averaged
experimental value extracted from the data at zero recoil, $|V_{cb}|{\cal
F}(\omega=1)=0.0343\pm0.0015$, then leads to $|V_{cb}|=0.0360\pm 0.0016$. This
value is somewhat larger than the one that uses the whole decay spectrum for
the model analysis. We also contrast this result to a nonrelativistic model and
to recent experiments on the $B\to D e\nu$ semileptonic decay.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 14:32:20 GMT""}]","2014-11-17"
"hep-ph/9712482","Bernd Kniehl","J. Binnewies (Hamburg University), B.A. Kniehl (MPI Munich), G. Kramer
  (Hamburg University)","Predictions for D^*+- Photoproduction at HERA with New Fragmentation
  Functions from LEP1","23 pages (Latex), 7 figures (Postscript)","Phys.Rev.D58:014014,1998","10.1103/PhysRevD.58.014014","DESY 97-241, MPI/PhT/97-88","hep-ph hep-ex",,"  We present new sets of nonperturbative fragmentation functions for D^*+-
mesons, both at leading and next-to-leading order in the MS-bar factorization
scheme with five massless quark flavors. They are determined by fitting the
latest OPAL and ALEPH data on inclusive D^*+- production in e^+e^-
annihilation. We take the charm-quark fragmentation function to be of the form
proposed by Peterson et al. and thus obtain new values of the epsilon_c
parameter, which are specific for our choice of factorization scheme. With
these fragmentation functions, recent data on inclusive D^*+- photoproduction
in ep collisions at HERA are reasonably well reproduced.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 14:33:30 GMT""}]","2011-01-25"
"hep-ph/9712483","Shao-Jing Dong","S.J. Dong, K.F. Liu and A.G. Williams (Dept. of Physics and Astronomy,
  Univ. of Kentucky, KY; Special Research Center for the Subatomic Structure of
  Matter and Department of Physics and Mathematical Physics, University of
  Adelaide, Australia)","Lattice Calculation of the Strangeness Magnetic Moment of the Nucleon","10 pages, 5 figures, LaTex, UK/97-23, ADP-97-55/T281","Phys.Rev.D58:074504,1998","10.1103/PhysRevD.58.074504",,"hep-ph hep-lat",,"  We report on a lattice QCD calculation of the strangeness magnetic moment of
the nucleon. Our result is $G_M^s(0) = - 0.36 \pm 0.20 $. The sea contributions
from the u and d quarks are about 80% larger. However, they cancel to a large
extent due to their electric charges, resulting in a smaller net sea
contribution of $ - 0.097 \pm 0.037 \mu_N$ to the nucleon magnetic moment. As
far as the neutron to proton magnetic moment ratio is concerned, this sea
contribution tends to cancel out the cloud-quark effect from the Z-graphs and
result in a ratio of $ -0.68 \pm 0.04$ which is close to the SU(6) relation and
the experiment. The strangeness Sachs electric mean-square radius $< r_s^2>_E$
is found to be small and negative and the total sea contributes substantially
to the neutron electric form factor.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 14:59:39 GMT""}]","2010-03-04"
"hep-ph/9712484","W. Porod","A. Bartl, F. de Campos, M. A. Garcia-Jareno, M. B. Magro, W.
  Majerotto, W. Porod, J. W. F. Valle","Gluino Cascade Decays With Broken R--Parity","5 pages LaTeX including 2 figures, uses sprocl.sty. Talk presented by
  W. Porod at the ""International Workshop on Physics Beyond The Standard Model:
  from Theory to Experiment"", October 13 - 17, 1997, Valencia, Spain",,,"UWThPh-1997-50, HEPHY-PUB 683/97","hep-ph",,"  We study the pattern of gluino cascade decays in a class of supersymmetric
models where R-parity is spontaneously broken. The multi-lepton and same-sign
dilepton rates in these models are compared with those of the Minimal
Supersymmetric Standard Model. We show that these rates can be substantially
enhanced in models with broken R-parity.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 15:21:19 GMT""}]","2007-05-23"
"hep-th/9712200","Kechkin O. V.","Oleg Kechkin and Maria Yurova","BPS Solutions in D=5 Dilaton-Axion Gravity","presented at GR15","Mod.Phys.Lett. A13 (1998) 219-226","10.1142/S0217732398000279",,"hep-th",,"  We show that the D=5 dilaton-axion gravity compactified on a 2-torus
possesses the SL(4,R)/SO(4) matrix formulation. It is used for construction of
the SO(2,2)-invariant BPS solution depended on the one harmonic function.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 1997 19:16:43 GMT""}]","2009-10-30"
"hep-th/9712202","Djordje Minic","D. Minic (Penn State)","Infinite Statistics and Black Holes in Matrix Theory","15 pages, plain TeX, no figures",,,,"hep-th",,"  The concept of infinite statistics is applied to the analysis of black hole
thermodynamics in Matrix Theory. It is argued that Matrix Theory partons,
D0-branes, satisfy quantum infinite statistics, and that this observation
justifies the recently proposed Boltzmann gas model of Schwarzschild black
holes in Matrix Theory.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 1997 23:45:08 GMT""}]","2007-05-23"
"hep-th/9712203","Hans J. Pirner","A. B. Bylev, H. J. Pirner","Hamiltonian Flow Equations for a Dirac Particle in an External Potential","6 pages","Phys.Lett. B428 (1998) 329-333","10.1016/S0370-2693(98)00417-1",,"hep-th",,"  We derive and solve the Hamiltonian flow equations for a Dirac particle in an
external static potential. The method shows a general procedure for the set up
of continuous unitary transformations to reduce the Hamiltonian to a
quasidiagonal form.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 09:57:24 GMT""}]","2009-10-30"
"hep-th/9712204","Bodo Geyer","S. Falkenberg, B. Geyer, and P. Moshin","Quantum properties of general gauge theories with composite and external
  fields","24 pages, LATEX, slightly changed to clarify the essential new aspect
  concerning composite fields depending on external ones; added formulas
  showing lack of (generalized) nilpotence of operators appearing in the Ward
  identities","Int.J.Mod.Phys. A14 (1999) 3847-3870","10.1142/S0217751X99001792","NTZ 49/1997","hep-th",,"  The generating functionals of Green's functions with composite and external
fields are considered in the framework of BV and BLT quantization methods for
general gauge theories. The corresponding Ward identities are derived and the
gauge dependence is investigated
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 10:18:12 GMT""},{""version"":""v2"",""created"":""Fri, 23 Jan 1998 17:04:37 GMT""},{""version"":""v3"",""created"":""Thu, 14 May 1998 14:50:34 GMT""}]","2009-10-30"
"hep-th/9712205","Loriano Bonora","L.Bonora, C.S.Chu and M.Rinaldi","Anomalies and Locality in Field Theories and M theory","16 pages, LaTeX",,,"SISSA 161/97/EP/FM","hep-th",,"  We review some basic notions on anomalies in field theories and superstring
theories, with particular emphasis on the concept of locality. The aim is to
prepare the ground for a discussion on anomalies in theories with branes. In
this light we review the problem of chiral anomaly cancellation in M-theory
with a 5-brane.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 12:20:38 GMT""}]","2007-05-23"
"hep-th/9712206","Dr R. Szabo","Fedele Lizzi and Richard J. Szabo","Noncommutative Geometry and Spacetime Gauge Symmetries of String Theory","17 pages LaTeX; Invited paper to appear in the special issue of the
  Journal of Chaos, Solitons and Fractals on ""Superstrings, M, F, S, ...
  Theory"" (M.S. El Naschie and C. Castro, editors)","Chaos Solitons Fractals 10:445-458,1999","10.1016/S0960-0779(98)00085-X","DSF/51-97, OUTP-97-75P","hep-th gr-qc math.QA q-alg",,"  We illustrate the various ways in which the algebraic framework of
noncommutative geometry naturally captures the short-distance spacetime
properties of string theory. We describe the noncommutative spacetime
constructed from a vertex operator algebra and show that its algebraic
properties bear a striking resemblence to some structures appearing in M
Theory, such as the noncommutative torus. We classify the inner automorphisms
of the space and show how they naturally imply the conventional duality
symmetries of the quantum geometry of spacetime. We examine the problem of
constructing a universal gauge group which overlies all of the dynamical
symmetries of the string spacetime. We also describe some aspects of toroidal
compactifications with a light-like coordinate and show how certain generalized
Kac-Moody symmetries, such as the Monster sporadic group, arise as gauge
symmetries of the resulting spacetime and of superstring theories.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 14:40:46 GMT""}]","2010-11-19"
"math/9712261","Theresia Eisenkoelbl","Theresia Eisenk\""olbl (Universit\""at Wien)","Rhombus Tilings of a Hexagon with Three Fixed Border Tiles","7 pages, AmS-LaTeX, uses TeXDraw; revised version which is to appear
  in J. Combin. Theory Ser. A","J. Combin. Theory Ser. A 88 (1999), 368-378",,,"math.CO",,"  We compute the number of rhombus tilings of a hexagon with sides
$a+2,b+2,c+2,a+2,b+2,c+2$ with three fixed tiles touching the border. The
particular case $a=b=c$ solves a problem posed by Propp. Our result can also be
viewed as the enumeration of plane partitions having $a+2$ rows and $b+2$
columns, with largest entry $\le c+2$, with a given number of entries $c+2$ in
the first row, a given number of entries 0 in the last column and a given
bottom-left entry.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 12:05:22 GMT""},{""version"":""v2"",""created"":""Tue, 8 Sep 1998 12:12:23 GMT""}]","2007-05-23"
"math/9712280","Brian Osserman","Robert Osserman","A sharp Schwarz inequality on the boundary",,,,"MSRI 1997-110","math.CV",,"  A number of classical results reflect the fact that if a holomorphic function
maps the unit disk into itself taking the origin into the origin, and if some
boundary point $b$ maps to the boundary, then the map is a magnification at
$b$. We prove a sharp quantitative version of this result which also sharpens a
classical result of Loewner, and which implies that the map is a strict
magnification at $b$ unless it is a rotation.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 00:00:00 GMT""}]","2016-09-07"
"nucl-th/9712070","Yongseok Oh","Alexander I. Titov and Yongseok Oh","Asymmetry in omega meson photoproduction and the phase of omega-pi-gamma
  coupling","9 pages, LaTeX with elsart.sty, uses epsfig.sty, amsbsy.sty and
  amssymb.sty, 3 figures (5 eps files)","Phys.Lett. B422 (1998) 33-38","10.1016/S0370-2693(98)00049-5",,"nucl-th hep-ph",,"  We analyze the double polarization asymmetry of the omega-meson
photoproduction in the vector-meson-dominance model of diffractive production
and the one-pion exchange model. We find that the longitudinal beam-target
asymmetry is very sensitive to the real part of the diffractive photoproduction
amplitude and to the sign of the omega-pi-gamma coupling because of the
different spin structures of the amplitudes associated with the different
mechanisms.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 02:17:34 GMT""}]","2009-10-30"
"nucl-th/9712071","Dan-Olof Riska","A. Acus, E. Norvaisas, D.O. Riska","Stability and Representation Dependence of the Quantum Skyrmion","19 pages, LateX","Phys.Rev.C57:2597-2604,1998","10.1103/PhysRevC.57.2597",,"nucl-th",,"  A constructive realization of Skyrme's conjecture that an effective pion mass
``may arise as a self consistent quantal effect'' based on an ab initio quantum
treatment of the Skyrme model is presented. In this quantum mechanical Skyrme
model the spectrum of states with $I=J$, which appears in the collective
quantization, terminates without any infinite tower of unphysical states. The
termination point depends on the model parameters and the dimension of the
SU(2) representation. Representations, in which the nucleon and $\Delta_{33}$
resonance are the only stable states, exist. The model is developed for both
irreducible and reducible representations of general dimension. States with
spin larger than 1/2 are shown to be deformed. The representation dependence of
the baryon observables is illustrated numerically.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 09:12:58 GMT""}]","2008-11-26"
"nucl-th/9712072","Mariana Kirchbach","M. Kirchbach","Lorentz Multiplet Structure of Baryon Spectra and Relativistic
  Description","12 pages, LaTex, submitted to Mod. Phys. Lett. A","Mod.Phys.Lett. A12 (1997) 3177-3188","10.1142/S0217732397003307","MKPH-T-97-35","nucl-th hep-ph",,"  The pole positions of the various baryon resonances are known to reveal
well-pronounced clustering, so-called Hoehler clusters. For nonstrange baryons
the Hoehler clusters are shown to be identical to Lorentz multiplets of the
type (j,j)*[(1/2,0)+(0,1/2)] with j being a half-integer. For the Lambda
hyperons below 1800 MeV these clusters are shown to be of the type [(1,0)+
(0,1)]*[(1/2,0)+(0,1/2)] while above 1800 MeV they are parity duplicated
(J,0)+(0,J) (Weinberg-Ahluwalia) states. Therefore, for Lambda hyperons the
restoration of chiral symmetry takes place above 1800 MeV. Finally, it is
demonstrated that the description of spin-3/2 particles in terms of a 2nd rank
antisymmetric Lorentz tensor with Dirac spinor components does not contain any
off-shell parameters and avoids the main difficulties of the Rarita-Schwinger
description based upon a 4-vector with Dirac spinor components.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 12:52:54 GMT""}]","2009-10-30"
"q-alg/9712050",,"Alexander Molev and Grigori Olshanski","Centralizer construction for twisted Yangians","AMSTeX, 46 pages","Selecta Mathematica 6 (2000), no. 3, 269--317.",,"Australian National University, Preprint CMA 065-97","q-alg math.QA nlin.SI solv-int",,"  For each of the classical Lie algebras $g(n)=o(2n+1), sp(2n), o(2n)$ of type
B, C, D we consider the centralizer of the subalgebra $g(n-m)$ in the universal
enveloping algebra $U(g(n))$. We show that the $n$th centralizer algebra can be
naturally projected onto the $(n-1)$th one, so that one can form the projective
limit of the centralizer algebras as $n\to\infty$ with $m$ fixed. The main
result of the paper is a precise description of this limit (or stable)
centralizer algebra, denoted by $A_m$. We explicitly construct an algebra
isomorphism $A_m=Z\otimes Y_m$, where $Z$ is a commutative algebra and $Y_m$ is
the so-called twisted Yangian associated to the rank $m$ classical Lie algebra
of type B, C, or D. The algebra $Z$ may be viewed as the algebra of virtual
Laplace operators; it is isomorphic to the algebra of polynomials with
countably many indeterminates. The twisted Yangian $Y_m$ (and hence the algebra
$A_m$) can be described in terms of a system of generators with quadratic and
linear defining relations which are conveniently presented in R-matrix form
involving the so-called reflection equation. This extends the earlier work on
the type A case by the second author.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 06:27:55 GMT""}]","2008-03-02"
"quant-ph/9712050","Trevor Marshall","Trevor W. Marshall (Mathematics Dept., Manchester Univ., U. K.)","The zeropoint field - no longer a ghost","See also http://www.keyinnov.demon.co.uk",,,"MUM-97-16","quant-ph",,"  We develop a local realist analysis of parametric down conversion, based on
the recognition that the pump field, instead of down converting spontaneously,
does so through its nonlinear coupling with a real zeropoint, or ""vacuum""
electromagnetic field. The theory leads tothe prediction of a new phenomenon -
that, in addition to the main down-conversion rainbow, there is a satellite
rainbow, whose intensity is about 3 per cent of the main one. Confirmation of
this prediction will call seriously into question the current description of
the light field in terms of photons.
  The present article extends the analysis of its predecessors (this archive,
numbers 9711029 and 9712001) to take account of the pump's polarization>
","[{""version"":""v1"",""created"":""Sun, 21 Dec 1997 18:01:14 GMT""}]","2007-05-23"
"quant-ph/9712051","Yuri I. Ozhigov","Yuri Ozhigov","Quantum Computer Can Not Speed Up Iterated Applications of a Black Box","8 pages, Latex",,,,"quant-ph",,"  Let a classical algorithm be determined by sequential applications of a black
box performing one step of this algorithm. If we consider this black box as an
oracle which gives a value F(a) for any query a, we can compute T sequential
applications of F on a classical computer relative to this oracle in time T.
  It is proved that if T=O(2^{n/7}), where n is the length of input, then the
result of T sequential applications of F can not be computed on quantum
computer with oracle for F for all possible F faster than in time \Omega (T).
This means that there is no general method of quantum speeding up of classical
algorithms provided in such a general method a classical algorithm is regarded
as iterated applications of a given black box.
  For an arbitrary time complexity T a lower bound for the time of quantum
simulation was found to be \Omega (T^{1/2}).
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 14:49:48 GMT""}]","2007-05-23"
