"alg-geom/9712006","Toshiyuki Akita","Toshiyuki Akita","Homological infiniteness of Torelli groups","AMSLaTeX v.1.2, 6 pages",,,"Fukuoka University, Department of Applied Mathematics, preprint
  1997/12/01","alg-geom math.AG math.DG q-alg",,"  We prove that rational homology of the Torelli group of genus g is infinite
dimensional, provided g>6. This means that rational homology of the Torelli
space of genus g>6 is infinite dimensional. The Torelli groups with marked
points are also considered. In addition, we prove that rational homology of the
subgroup of the Torelli group of genus g generated by all the Dehn twists along
separating simple closed curves is infinite dimensional for g>2.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 20:03:26 GMT""}]","2007-05-23"
"chao-dyn/9712003","Andrei B. Goryachev","Andrei Goryachev, Hugues Chate, and Raymond Kapral","Synchronization Defects and Broken Symmetry in Spiral Waves","To appear in Phys. Rev. Lett","Phys. Rev. Lett. v. 80, p. 873, 1998","10.1103/PhysRevLett.80.873",,"chao-dyn nlin.CD nlin.PS patt-sol",,"  Spiral waves are investigated in oscillatory media exhibiting period-doubling
bifurcations. In the period-doubled and chaotic regimes, the rotational
symmetry of the spiral wave is broken. The loss of symmetry takes the form of
synchronization defect lines where the phase of the local oscillation changes
by multiples of 2\pi. The internal structure and geometry of these
synchronization defects is studied and a discussion of the possible types of
defect lines is presented.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 16:34:00 GMT""}]","2009-10-30"
"chao-dyn/9712004","Rui Vilela Mendes","Rui Carvalho (Lab. Mecatronica, DEEC-IST, Lisbon, Portugal) R. Vilela
  Mendes (Grupo de Fisica-Matematica, Lisboa,Portugal) Joao Seixas (Theory
  Division, CERN, Geneva, Switzerland)","Feigenbaum networks","15 pages Latex, 2 color figures, replacement of gif files","Physica D 126 (1999) 27 - 37",,,"chao-dyn nlin.CD",,"  We study dynamical systems composed of a set of linearly coupled quadratic
maps which, if uncoupled, would be on the Feigenbaum accumulation point. For
two units we prove the existence of an infinite number of sinks for an open set
of coupling parameters. In the limit of many units a mean field analysis also
implies the stabilization in periodic orbits of, at least, a subset of the
coupled units. Possible applications in the fields of control of chaos, signal
processing through complex dynamics and as models of self-organization, are
discussed.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 12:28:14 GMT""},{""version"":""v2"",""created"":""Wed, 20 May 1998 09:18:16 GMT""}]","2007-05-23"
"cond-mat/9712037","Klaus Kroy","B. Hinner, M. Tempel, E. Sackmann, K. Kroy, E. Frey","Entanglement, elasticity and viscous relaxation of actin solutions","5 pages, 4 figures, published version","Phys. Rev. Lett. 81, 2614 (1998)","10.1103/PhysRevLett.81.2614",,"cond-mat.soft cond-mat.stat-mech",,"  We have investigated the viscosity and the plateau modulus of actin solutions
with a magnetically driven rotating disc rheometer. For entangled solutions we
observed a scaling of the plateau modulus versus concentration with a power of
7/5. The measured terminal relaxation time increases with a power 3/2 as a
function of polymer length. We interpret the entanglement transition and the
scaling of the plateau modulus in terms of the tube model for semiflexible
polymers.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 17:00:51 GMT""},{""version"":""v2"",""created"":""Tue, 11 Aug 1998 17:36:56 GMT""},{""version"":""v3"",""created"":""Fri, 9 Oct 1998 12:21:35 GMT""}]","2009-10-30"
"cond-mat/9712044","Ramiro Pino Plascencia","Victor M. Villalba and Ramiro Pino","Analytic Solution of a Relativistic Two-dimensional Hydrogen-like Atom
  in a Constant Magnetic Field","RevTeX, 8 pages, to be published in Phys. Lett. A",,"10.1016/S0375-9601(97)00891-8",,"cond-mat",,"  We obtain exact solutions of the Klein-Gordon and Pauli Schroedinger
equations for a two-dimensional hydrogen-like atom in the presence of a
constant magnetic field. Analytic solutions for the energy spectrum are
obtained for particular values of the magnetic field strength. The results are
compared to those obtained in the non-relativistic and spinless case. We obtain
that the relativistic spectrum does not present s states.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 16:12:20 GMT""}]","2009-10-30"
"cond-mat/9712045","Wentao T. Lu","Wentao T. Lu and F. Y. Wu (Northeastern University)","On the duality relation for correlation functions of the Potts model","17 pages in RevTex, 5 figures, submitted to J. Phys. A","J. Phys. A, 31(1998) 2823-2836","10.1088/0305-4470/31/12/008",,"cond-mat.stat-mech",,"  We prove a recent conjecture on the duality relation for correlation
functions of the Potts model for boundary spins of a planar lattice.
Specifically, we deduce the explicit expression for the duality of the n-site
correlation functions, and establish sum rule identities in the form of the
M\""obius inversion of a partially ordered set. The strategy of the proof is by
first formulating the problem for the more general chiral Potts model. The
extension of our consideration to the many-component Potts models is also
given.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 18:05:22 GMT""},{""version"":""v2"",""created"":""Thu, 4 Dec 1997 02:05:05 GMT""},{""version"":""v3"",""created"":""Mon, 8 Dec 1997 17:23:29 GMT""}]","2009-10-30"
"cond-mat/9712046","Thierry Cretegny","S. Aubry and T. Cretegny","Mobility and Reactivity of Discrete Breathers","22 pages, 9 figures, submitted to Physica D",,"10.1016/S0167-2789(98)00062-1",,"cond-mat",,"  Breathers may be mobile close to an instability threshold where the frequency
of a pinning mode vanishes. The translation mode is a marginal mode that is a
solution of the linearized (Hill) equation of the breather which grows linearly
in time. In some cases, there are exact mobile breather solutions (found
numerically), but these solutions have an infinitely extended tail which shows
that the breather motion is nonradiative only when it moves (in equilibrium)
with a particular phonon field.
  More generally, at any instability threshold, there is a marginal mode. There
are situations where excitations by marginal modes produce new type of
behaviors such as the fission of a breather. We may also have fusion. This
approach suggests that breathers (which can be viewed as cluster of phonons)
may react by themself or one with each others as well as in chemistry for atoms
and molecules, or in nuclear physics for nuclei.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 18:29:33 GMT""}]","2009-10-30"
"cond-mat/9712047","Markus Huecker","O. Baberski, A. Lang, O. Maldonado, M. H\""ucker, B. B\""uchner (II.
  Physikalisches Institut, Universit\""at zu K\""oln, Germany), A. Freimuth
  (Physikalisches Institut, Universit\""at Karlsruhe, Germany)","Stripe Correlations of Spins and Holes and Phonon Heat Transport in
  Doped La_2CuO_4","8 pages, RevTex, 3 eps figures. Submitted to Europhys. Lett",,"10.1209/epl/i1998-00467-y",,"cond-mat.supr-con cond-mat.str-el",,"  We present experimental evidence for a dramatic suppression of the phononic
thermal conductivity of rare earth and Sr doped La_2CuO_4. Remarkably, this
suppression correlates with the occurrence of superconductivity. Conventional
models for the phonon heat transport fail to explain these results. In
contrast, a straightforward explanation is possible in terms of static and
dynamic stripe correlations of holes and spins.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 19:29:30 GMT""}]","2009-10-30"
"cond-mat/9712048","Karol Zyczkowski","Petr Seba, Karol Zyczkowski and Jakub Zakrzewski","Random matrix approach to `nonuniversal' conductance","4 pages in LaTex + 4 figures in .eps submitted to Phys. Rev. B",,,,"cond-mat.mes-hall",,"  Recent experiments on the conductance of high quality quantum wires have
revealed an unexpected feature: the quantization step of the conductance is
apparently system dependent. We provide the understanding of this behaviour
using the appropriately extended random matrix approach. A single additional
parameter governs the size of the conductance quantization steps. In effect the
behaviour seems to remain `universal', generic for the conductance of a class
of mesoscopic systems.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 20:06:53 GMT""}]","2007-05-23"
"cond-mat/9712049","Tom C. Lubensky","C.S. O'Hern and T.C. Lubensky","Sliding Columnar Phase of DNA-Lipid Complexes","This file contains 4 pages of double column text and one postscript
  figure. This version includes interactions between dislocations in a given
  gallery and presents an improved estimate of the decoupling temperature. It
  is the published version","Phy. Rev. Lett. 80, 4345 (1998)","10.1103/PhysRevLett.80.4345",,"cond-mat.soft q-bio",,"  We introduce a simple model for DNA-cationic-lipid complexes in which
galleries between planar bilayer lipid lamellae contain DNA 2D smectic lattices
that couple orientationally and positionally to lattices in neighboring
galleries. We identify a new equilibrium phase in which there are long-range
orientational but not positional correlations between DNA lattices. We discuss
properties of this new phase such as its X-ray structure factor S(r), which
exhibits unusual exp(- const.ln^2 r) behavior as a function of in-plane
separation r.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 22:46:10 GMT""},{""version"":""v2"",""created"":""Fri, 5 Dec 1997 22:50:03 GMT""},{""version"":""v3"",""created"":""Wed, 7 Oct 1998 14:15:43 GMT""}]","2009-10-30"
"cond-mat/9712050","Horacio E. Castillo","Horacio E. Castillo and Paul M. Goldbart (Department of Physics,
  University of Illinois at Urbana-Champaign)","Elasticity near the vulcanization transition","REVTEX, 5 pages. Minor changes","Phys. Rev. E 58, R24-R27 (1998)","10.1103/PhysRevE.58.R24","UIUC preprint P-97-12-035","cond-mat.dis-nn cond-mat.soft cond-mat.stat-mech",,"  Signatures of the vulcanization transition--amorphous solidification induced
by the random crosslinking of macromolecules--include the random localization
of a fraction of the particles and the emergence of a nonzero static shear
modulus. A semi-microscopic statistical-mechanical theory is presented of the
latter signature that accounts for both thermal fluctuations and quenched
disorder. It is found (i) that the shear modulus grows continuously from zero
at the transition, and does so with the classical exponent, i.e., with the
third power of the excess cross-link density and, quite surprisingly, (ii) that
near the transition the external stresses do not spoil the spherical symmetry
of the localization clouds of the particles.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 23:48:53 GMT""},{""version"":""v2"",""created"":""Wed, 11 Mar 1998 19:17:59 GMT""}]","2009-10-30"
"cond-mat/9712051","Nobuyuki Katoh","Nobuyuki Katoh(NRIM,Japan) and Masatoshi Imada(ISSP,Japan)","Orbital Order Effect of Two-Dimensional Spin Gap System for CaV4O9","19 pages LATEX, 15 postscript figures, using jpsj.sty,to be published
  in J.Phys.Soc.Jpn. Vol.67 No.2 (1998)",,"10.1143/JPSJ.67.564",,"cond-mat.str-el",,"  Effects of possible orbital order in magnetic properties of two-dimensional
spin gap system for CaV$_4$O$_9$ are investigated theoretically. After
analyzing experimental data, we show that single orbital models assumed in the
literature are insufficient to reproduce the data. To understand the origin of
the discrepancy, we assume that in $d^1$ state of V, $d_{xz}$ and $d_{yz}$
orbitals have substantial contributions in the lowest-energy atomic level which
leads to a double-degeneracy. We study possible configurations of the orbital
order. By exact diagonalization and perturbation expansion, we calculate the
susceptibility, wavenumber dependence of low-lying excitations and equal-time
spin-spin correlations which is related to integrated intensity of the neutron
inelastic scattering. These quantities sensitively depend on the configuration
of the orbital order. The calculated results for some configurations of the
orbital order reproduce many experimental results much better than the previous
single-orbital models. However some discrepancy still remains to completely
reproduce all of the reported experimental results. To understand the origin of
these discrepancies, we point out the possible importance of the partially
occupied $d_{xy}$ orbital in addition to orbital order of partially filled
$d_{xz}$ and $d_{yz}$ orbitals.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 08:55:51 GMT""},{""version"":""v2"",""created"":""Fri, 5 Dec 1997 19:32:34 GMT""},{""version"":""v3"",""created"":""Sun, 7 Dec 1997 08:27:43 GMT""}]","2009-10-30"
"cond-mat/9712053","Anthony Maggs","A.C. Maggs","Twist dynamics of semiflexible polymer",,,,,"cond-mat.soft q-bio",,"  A number of strange results have been reported for the twist elasticity of a
semiflexible filament, actin. In particular dynamic and static methods for
determining the torsional twist modulus give very different results. I show
here that internal losses (friction) in a semiflexible filament could be an
important cause of dissipation and that the interpretation of dynamic
experiments should be made in terms of a storage and loss modulus for actin
proteins.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 10:32:36 GMT""}]","2007-05-23"
"cond-mat/9712054","Akira Furusaki","A. Furusaki","Resonant tunneling through a quantum dot weakly coupled to quantum wires
  or quantum Hall edge states","RevTex, 9 pages including 4 figures","Phys. Rev. B 57 (1998) 7141","10.1103/PhysRevB.57.7141","YITP-97-39","cond-mat.mes-hall",,"  Resonant tunneling through a quantum dot weakly coupled to Tomonaga-Luttinger
liquids is discussed. The linear conductance due to sequential tunneling is
calculated by solving a master equation for temperatures below and above the
average level spacing in the dot. When the parameter g characterizing the
Tomonaga-Luttinger liquid is smaller than 1/2, the resonant tunneling process
is incoherent down to zero temperature. At low temperature T the height and
width of the conductance peaks in the Coulomb blockade oscillations are
proportional to T^{(1/g)-2} and T, respectively. The contribution from
tunneling via a virtual intermediate state (cotunneling) is also included. The
resulting conductance formula can be applied for the resonant tunneling between
edge states of fractional quantum Hall liquids with filling factor
nu=1/(2m+1)=g.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 12:40:50 GMT""}]","2009-10-30"
"cond-mat/9712055","Vincent Rivasseau","A. Abdesselam, V. Rivasseau (Ecole Polytechnique, Palaiseau)","Explicit Fermionic Tree Expansions","11 pages, 1 figure",,,,"cond-mat.supr-con",,"  We express connected Fermionic Green's functions in terms of completely
explicit tree formulas. In contrast with the ordinary formulation in terms of
Feynman graphs these formulas allow a completely transparent proof of
convergence of the perturbative series. Indeed they are compatible with the
mathematical implementation in Grassmann integrals of the Pauli principle. The
first formula we give, which is the most symmetric, is compatible with Gram's
inequality. The second one, the ""rooted formula"", respects even better the
antisymmetric structure of determinants, and allows the direct comparison of
rows and columns in the fermionic determinant.
  To illustrate the power of these formulas, we provide a ``three lines proof''
that the radius of convergence of the Gross-Neveu field theory with cutoff is
independent of the number of colors. An other potential area for applications
would be the study of correlated Fermions systems and superconductivity.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 13:35:37 GMT""},{""version"":""v2"",""created"":""Fri, 5 Dec 1997 09:02:54 GMT""}]","2007-05-23"
"gr-qc/9712022","Edward Malec","Edward Malec, Niall \'O Murchadha and Tadeusz Chmaj","Spherical scalar waves and gravity - red shift and backscattering","Revtex, 16 pages, 3 figures","Class.Quant.Grav.15:1653-1668,1998","10.1088/0264-9381/15/6/019",,"gr-qc astro-ph",,"  This article investigates the interaction of a spherically symmetric massless
scalar field with a strong gravitational field. It focuses on the propagation
of waves in regions outside any horizons. The two factors acting on the waves
can be identified as a redshift and a backscattering. The influence of
backscattering on the intensity of the outgoing radiation is studied and
rigorous quantitative upper bounds obtained. These show that the total flux may
be decreased if the sources are placed in a region adjoining an apparent
horizon. Backscattering can be neglected in the case $2m_0 /R<< 1$, that is
when the emitter is located at a distance from a black hole much larger than
the Schwarzschild radius. This backscattering may have noticeable astrophysical
consequences.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 17:45:29 GMT""}]","2010-11-19"
"gr-qc/9712023","Haret Rosu","H.C. Rosu","Technological picture of the Planck scale universe","2pp, LaTeX","Nuovo Cim. B112 (1997) 1191-1192",,,"gr-qc",,"  A picture of the Planck scale universe as a network of mesoscopic (with
respect to that scale) resonators connected through quasi-one-dimensional
waveguides is presented
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 23:44:39 GMT""}]","2007-05-23"
"gr-qc/9712024","Mikhail Zotov","D. V. Gal'tsov (Moscow State University), E. E. Donets (JINR, Dubna),
  M. Yu. Zotov (INP, Moscow State University)","Oscillatory and Power-law Mass Inflation in Non-Abelian Black Holes","LaTeX, 3 pages, 1 eps figure; uses mprocl.sty and epsf.tex. To appear
  in the Proceedings of the 8th Marcel Grossmann Meeting on General Relativity","""Jerusalem 1997, Recent developments in theoretical and
  experimental general relativity, gravitation, and relativistic field
  theories"", Pt.A, 679-681.",,,"gr-qc",,"  Interior structure of non-Abelian black holes is shown to exhibit in a
general case either an oscillating mass-inflationary behavior, or power-law
behavior with a divergent mass function. In both cases no Cauchy horizon forms.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 07:19:10 GMT""}]","2007-05-23"
"gr-qc/9712025","Dr Spiros Cotsakis","S. Cotsakis (1), J. Miritzis (1) and L. Querella (2) ((1) Department
  of Mathematics, University of the Aegean, (2) Institut d'astrophysique et de
  geophysique, Universite de Liege)","Variational and conformal structure of nonlinear metric-connection
  gravitational lagrangians","8 pages, LaTeX (REVTeX 3.1), submitted to J. Math. Phys., references
  added (nothing changed but LaTeX style)","J.Math.Phys. 40 (1999) 3063-3071","10.1063/1.532744",,"gr-qc",,"  We examine the variational and conformal structures of higher order theories
of gravity which are derived from a metric-connection Lagrangian that is an
arbitrary function of the curvature invariants. We show that the constrained
first order formalism when applied to these theories may lead consistently to a
new method of reduction of order of the associated field equations. We show
that the similarity of the field equations which are derived from appropriate
actions via this formalism to those produced by Hilbert varying purely metric
Lagrangians is not merely formal but is implied by the diffeomorphism covariant
property of the associated Lagrangians. We prove that the conformal equivalence
theorem of these theories with general relativity plus a scalar field, holds in
the extended framework of Weyl geometry with the same forms of field and
self-interacting potential but, in addition, there is a new `source term' which
plays the role of a stress. We point out how these results may be further
exploited and address a number of new issues that arise from this analysis.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 11:31:29 GMT""},{""version"":""v2"",""created"":""Wed, 11 Nov 1998 12:56:51 GMT""}]","2009-10-30"
"gr-qc/9712026","Dr Spiros Cotsakis","S. Cotsakis and J. Miritzis (Department of Mathematics, University of
  the Aegean)","Proof of the Cosmic No-Hair Conjecture for Quadratic Homogeneous
  Cosmologies","9 pages, LaTeX (IOP style), submitted to Class.Quant.Grav","Class.Quant.Grav. 15 (1998) 2795-2801","10.1088/0264-9381/15/9/024",,"gr-qc",,"  We prove the cosmic no-hair conjecture for all orthogonal Bianchi cosmologies
with matter in the $R+\beta R^2$ theory using the conformally equivalent
Einstein field equations, with the scalar field having the full
self-interacting potential, in the presence of the conformally related matter
fields. We show, in particular, that the Bianchi IX universe asymptotically
approaches de Sitter space provided that initially the scalar three-curvature
does not exceed the potential of the scalar field associated with the conformal
transformation. Our proof relies on rigorous estimates of the possible bounds
of the so-called Moss-Sahni function which obeys certain differential
inequalities and a non-trivial argument which connects the behaviour of that
function to evolution of the spatial part of the scalar curvature.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 12:35:05 GMT""}]","2009-10-30"
"gr-qc/9712027","Dr Spiros Cotsakis","S. Cotsakis (1), R.L. Lemmer (2) and P.G.L. Leach (2) ((1) University
  of the Aegean, (2) University of Natal)","Adiabatic invariants and Mixmaster catastrophes","24 pages, LaTeX, 5 figures (which can be obtained by sending a
  message to the first author), submitted to Phys.Rev.D","Phys.Rev. D57 (1998) 4691-4698","10.1103/PhysRevD.57.4691",,"gr-qc",,"  We present a rigorous analysis of the role and uses of the adiabatic
invariant in the Mixmaster dynamical system. We propose a new invariant for the
global dynamics which in some respects has an improved behaviour over the
commonly used one. We illustrate its behaviour in a number of numerical
results. We also present a new formulation of the dynamics via Catastrophe
Theory. We find that the change from one era to the next corresponds to a fold
catastrophe, during the Kasner shifts the potential is an Implicit Function
Form whereas, as the anisotropy dissipates, the Mixmaster potential must become
a Morse 0--saddle. We compare and contrast our results to many known works on
the Mixmaster problem and indicate how extensions could be achieved. Further
exploitation of this formulation may lead to a clearer understanding of the
global Mixmaster dynamics.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 12:37:43 GMT""}]","2009-10-30"
"gr-qc/9712028","Malcolm MacCallum","M.A.H. MacCallum and N.O. Santos","Stationary and static cylindrically symmetric Einstein spaces of the
  Lewis form","11 pages, LaTeX 2.09 with ioplcqg macro file, no figures. Submitted
  to Classical and Quantum Gravity","Class.Quant.Grav.15:1627-1636,1998","10.1088/0264-9381/15/6/017",,"gr-qc",,"  The derivation of the general solutions for stationary and static
cylindrically symmetric Einstein spaces of Lewis form is revisited and the
physical and geometrical meaning of the parameters appearing in the resulting
solutions are investigated. It is shown that three of the parameters (and the
value of the cosmological constant) are essential, of which one characterizes
the local gravitational field and appears in the Cartan scalars, while the
remaining two give information about the topological identification made to
produce cylindrical symmetry. Other than the cosmological constant, they can be
related to the parameters of the vacuum Weyl and Lewis classes, whose
interpretation was previously investigated by da Silva et al. (1995a, 1995b).
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 14:22:56 GMT""}]","2008-11-26"
"hep-ex/9712003","Sergei Chekanov","W.Kittel, S.V.Chekanov, D.J.Mangeol, W.J.Metzger","Multiplicities, fluctuations and QCD: Interplay between soft and hard
  physics?","11 pages, 11 eps figures, Presented at the XXVII Symposium on
  Multiparticle Dynamics, September 8-12, 1997 Frascati-Rome, Italy","Nucl.Phys.Proc.Suppl. 71 (1999) 90-99","10.1016/S0920-5632(98)00328-4",,"hep-ex hep-ph",,"  Multiplicity fluctuations are studied both globaly (in terms of high-order
moments) and locally (in terms of small phase-space intervals). The ratio of
cumulant factorial to factorial moments of the charged-particle multiplicity
distribution shows a quasi-oscillatory behaviour similar to that predicted by
the NNLLA of perturbative QCD. However, an analysis of the sub-jet multiplicity
distribution at perturbative scales shows that these oscillations cannot be
related to the NNLLA prediction. We investigate how it is possible to reproduce
the oscillations within the framework of Monte-Carlo models. Furthermore, local
multiplicity fluctuations in angular phase-space intervals are compared with
Monte-Carlo models and with first-order QCD predictions. While JETSET
reproduces the experimental data very well, the predictions of the Double
Leading Log Approximations and estimates obtained in Modified Leading Log
Approximations deviate significantly from the data.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 17:21:27 GMT""}]","2009-10-30"
"hep-ex/9712004","Fritz DeJongh","CDF Collaboration, F. Abe et. al","Measurement of the B0 B0-bar oscillation frequency using pi-B meson
  charge-flavor correlations in p p-bar collisions at sqrt{s} = 1.8 TeV","16 pages, 2 figures. Submitted to Physical Review Letters. Also
  available at
  http://www-cdf.fnal.gov/physics/pub97/cdf4244_lepd_mix_sst_prl.ps","Phys.Rev.Lett.80:2057-2062,1998","10.1103/PhysRevLett.80.2057","FERMILAB-PUB-97/312-E","hep-ex",,"  We present a measurement of the B0 B0-bar oscillation frequency using a
flavor tagging method based on correlations of B meson flavor with the charge
of other particles produced in p p-bar collisions at sqrt{s} = 1.8 TeV. Such
correlations are expected to arise from b quark hadronization and from B**
decays. We partially reconstruct B mesons using the semileptonic decays B0 ->
lepton D(*)- X. and B+ -> lepton D0-bar X$. From the oscillation frequency, we
obtain the mass difference between the two B0 mass eigenstates, Delta m_d =
0.471 {+0.078} {-0.068}(stat) +- 0.034 (syst) hbar ps-1, and measure the
efficiency and purity of this flavor tagging method for both charged and
neutral B mesons.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 14:18:42 GMT""}]","2010-05-12"
"hep-ex/9712005","Angelo Maggiora","The DISTO Collaboration (A. Maggiora for the Collaboration)","The DISTO First Level Trigger at SATURNE","Poster at the 1997 IEEE Nuclear Science Symposium and Medical Imaging
  Conference, Albuquerque, Nov 9-15 1997, submitted to IEEE Trans. Nucl. Sci","IEEE Trans.Nucl.Sci. 45 (1998) 817-820",,,"hep-ex",,"  The DISTO collaboration has built a large-acceptance magnetic spectrometer
designed to provide broad kinematic coverage of multi-particle final states
produced in $pp$ scattering. The spectrometer has been installed in the
polarized proton beam of the Saturne accelerator in Saclay to study
polarization observables in the $\vec{p} p \to p K^{+} \vec{Y}$ ($Y = \Lambda,
\Sigma^{0}$ or $Y^{*}$) reaction and vector meson production ($\phi, \omega$
and $\rho$) in $pp$ collisions.
  The common signature of such events is the multiplicity of four charged
particles in the final state.
  A flexible 1st level trigger which uses topological information from fast
detectors (scintillating fibers and hodoscope) has been built.
  It is completely software programmable through a menu-driven user interface
and allows switching between production and monitor triggers on successive beam
spills.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 14:21:08 GMT""},{""version"":""v2"",""created"":""Fri, 5 Dec 1997 08:15:43 GMT""}]","2012-08-27"
"hep-ex/9712006","Angelo Maggiora","The DISTO Collaboration (A. Maggiora for the Collaboration)","The DISTO Data Acquisition System at SATURNE","Poster at the 1997 IEEE Nuclear Science Symposium and Medical Imaging
  Conference, Albuquerque, Nov 9-15 1997, submitted to IEEE Trans. Nucl. Sci","IEEE Trans.Nucl.Sci. 45 (1998) 868-872",,,"hep-ex",,"  The DISTO collaboration has built a large-acceptance magnetic spectrometer
designed to provide broad kinematic coverage of multi-particle final states
produced in $pp$ scattering. The spectrometer has been installed in the
polarized proton beam of the Saturne accelerator in Saclay to study
polarization observables in the $\vec{p} p \to p K^{+} \vec{Y}$ ($Y = \Lambda,
\Sigma^{0}$ or $Y^{*}$) reaction and vector meson production ($\phi, \omega$
and $\rho$) in $pp$ collisions. The data acquisition system is based on a VME
68030 CPU running the OS/9 operating system, housed in a single VME crate
together with the CAMAC interface, the triple port ECL memories, and four RISC
R3000 CPU. The digitization of signals from the detectors is made by PCOS III
and FERA front-end electronics. Data of several events belonging to a single
Saturne extraction are stored in VME triple-port ECL memories using a hardwired
fast sequencer. The buffer, optionally filtered by the RISC R3000 CPU, is
recorded on a DLT cassette by DAQ CPU using the on-board SCSI interface during
the acceleration cycle. Two UNIX workstations are connected to the VME CPUs
through a fast parallel bus and the Local Area Network. They analyze a subset
of events for on-line monitoring. The data acquisition system is able to read
and record 3500 ev/burst in the present configuration with a dead time of 15%.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 14:40:35 GMT""}]","2012-08-27"
"hep-lat/9712007","Zdzislaw Burda","Z. Burda (Jagellonian University, Cracow)","Lattice Models of Random Geometries","50 pages, 10 figures","Acta Phys.Polon. B29 (1998) 573-617",,"TPJU-15/97","hep-lat",,"  We review models of random geometries based on the dynamical lattice
approach. We discuss one dimensional model of simplicial complexes (branched
polymers), two dimensional model of dynamical triangulations and four
dimensional model of simplicial gravity.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 17:37:54 GMT""}]","2007-05-23"
"hep-lat/9712008","Will Loinaz","Will Loinaz (Virginia Tech), R.S. Willey (University of Pittsburgh)","Monte Carlo Simulation Calculation of Critical Coupling Constant for
  Continuum \phi^4_2","11 pages, 4 figures, LaTeX","Phys.Rev. D58 (1998) 076003","10.1103/PhysRevD.58.076003","VPI-IPPAP-97-9","hep-lat",,"  We perform a Monte Carlo simulation calculation of the critical coupling
constant for the continuum {\lambda \over 4} \phi^4_2 theory. The critical
coupling constant we obtain is [{\lambda \over \mu^2}]_crit=10.24(3).
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 17:25:03 GMT""}]","2009-10-30"
"hep-ph/9712252","Lawrence J. Hall","Riccardo Barbieri, Lawrence Hall, Achille Stocchi and Neal Weiner","Alternative Theories of CP violation","12 pages including 2 figures","Phys.Lett. B425 (1998) 119-125","10.1016/S0370-2693(98)00148-8","LBNL-41104, UCB-PTH-97/57, SNS/PH/1997-8, LAL 97-91","hep-ph",,"  Recent improvements to the limit of Delta M_{B_s} imply that pure superweak
theories, while not excluded, no longer provide a good fit to the data. A class
of general superweak theories is introduced in which all flavor changing
interactions are governed by an approximate flavor symmetry which gives a ``3
mechanism''. These theories are in good agreement with data, and predict low
values for |V_{td}|, |V_{ub}/V_{cb}|, B(K^+ to pi^+ nu nubar), epsilon'/epsilon
and CP asymmetries in B decays, and high values for Delta M_{B_s} and f_B
sqrt{B_B}. An important example of such a theory is provided by weak scale
supersymmetric theories with soft CP violation. The CP violation originates in
the squark mass matrix, and, with phases of order unity, flavor symmetries can
yield a correct prediction for the order of magnitude of epsilon_K.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 20:02:37 GMT""}]","2009-10-30"
"hep-ph/9712253","Tomasz Skwarnicki","Tomasz Skwarnicki (Syracuse University)","Review of Experimental Results on Electroweak Penguin Decays of b Quark","To be published in Proc. of 7th Int. Symp. on Heavy Flavor Physics,
  Santa Barbara, July 7-11, 1997 (15 pages with figures)",,,"HEPSY-97-03","hep-ph",,"  Status of experimental measurements of b->s(d) gamma, b-> s l+l-, and b->s
nu_bar nu is reviewed. Future prospects are discussed.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 21:06:20 GMT""}]","2007-05-23"
