"alg-geom/9712008","Bumsig","Bumsig Kim (University of California - Davis)","Quantum Hyperplane Section Theorem For Homogeneous Spaces","24 pages, LaTeX 2e. The presentation is improved a lot",,,,"alg-geom math.AG",,"  We formulated a mirror-free approach to the mirror conjecture, namely,
quantum hyperplane section conjecture, and proved it in the case of nonnegative
complete intersections in homogeneous manifolds. For the proof we followed the
scheme of Givental's proof of a mirror theorem for toric complete
intersections.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 21:07:48 GMT""},{""version"":""v2"",""created"":""Tue, 16 Dec 1997 23:46:55 GMT""},{""version"":""v3"",""created"":""Fri, 2 Jan 1998 05:55:25 GMT""}]","2007-05-23"
"gr-qc/9712033",,"Pedro F. Gonzalez-Diaz","Quantum time machine","6 pages, RevTex","Phys.Rev. D58 (1998) 124011","10.1103/PhysRevD.58.124011","IMAFF-RCA-97-08","gr-qc",,"  The continuation of Misner space into the Euclidean region is seen to imply
the topological restriction that the period of the closed spatial direction
becomes time-dependent. This restriction results in a modified Lorentzian
Misner space in which the renormalized stress-energy tensor for quantized
complex massless scalar fields becomes regular everywhere, even on the
chronology horizon. A quantum-mechanically stable time machine with just the
sub-microscopic size may then be constructed out of the modified Misner space,
for which the semiclassical Hawking's chronology protection conjecture is no
longer an obstruction.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 11:54:30 GMT""}]","2009-10-30"
"gr-qc/9712034","Hans-Juergen Schmidt","H.-J. Schmidt","A two-dimensional representation of four-dimensional gravitational waves","12 pages, LaTeX, no figures, Int. J. Mod. Phys. D in print","Int.J.Mod.Phys. D7 (1998) 215-224","10.1142/S0218271898000176","Preprint UNIPO-MATH-97-December-5","gr-qc",,"  The Einstein equation in D dimensions, if restricted to the class of
space-times possessing n = D - 2 commuting hypersurface-orthogonal Killing
vectors, can be equivalently written as metric-dilaton gravity in 2 dimensions
with n scalar fields. For n = 2, this results reduces to the known reduction of
certain 4-dimensional metrics which include gravitational waves. Here, we give
such a representation which leads to a new proof of the Birkhoff theorem for
plane-symmetric space--times, and which leads to an explanation, in which sense
two (spin zero-) scalar fields in 2 dimensions may incorporate the (spin two-)
gravitational waves in 4 dimensions. (This result should not be mixed up with
well--known analogous statements where, however, the 4-dimensional space-time
is supposed to be spherically symmetric, and then, of course, the equivalent
2-dimensional picture cannot mimic any gravitational waves.) Finally, remarks
on hidden symmetries in 2 dimensions are made.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 12:35:26 GMT""}]","2009-10-30"
"hep-ph/9712277","Omar Miranda","Jose W. F. Valle","Physics Beyond the Desert","33 pages, Latex, 21 figures. Invited talk at the Workshop on Physics
  beyond the Standard Model Accelerator- and Non-Accelerator approaches
  (""Beyond the Desert"") Germany, June 1997",,,,"hep-ph",,"  I review the observational status of neutrino physics, including the present
hints for neutrino mass and the ways to reconcile the solar and atmospheric
neutrino data with the existence of a hot dark matter component, and the
possible hints from LSND. I also briefly discuss the electroweak symmetry
breaking sector of the Standard Model (SM), focussing on supersymmetric models
with broken R-parity and spontaneously broken lepton number. I discuss some of
the signals expected at future accelerators such as LEP II and LHC. They serve
to illustrate how neutrino mass effects may be testable not only at underground
and nuclear physics installations but also at high energy collider experiments.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 18:44:46 GMT""}]","2007-05-23"
"hep-ph/9712278","Paolo Lipari","Paolo Lipari and Maurizio Lusignoli (Dipartimento di Fisica,
  Universita' di Roma ""la Sapienza"" and INFN sez. Roma)","The Energy and Zenith Angle Distribution of Upward Going Muons and
  Neutrino Oscillations","8 pages Latex, with 3 embedded eps figures","Phys.Rev. D57 (1998) 3842-3846","10.1103/PhysRevD.57.R3842","Roma preprint n. 1190/97","hep-ph",,"  The energy and zenith angle distribution of neutrino induced, upward going
muons can give direct information on the presence of $\nu$--oscillations in
precisely the range of parameters suggested as a solution of the atmospheric
neutrino problem. We discuss here the uncertainties in the theoretical
prediction. The shape of the zenith angle distribution of the muon flux is
quite insensitive to modifications of the theoretical input and is a good probe
for the existence of neutrino oscillations. We conclude that the existing data
sample on $\nu$--induced muons has the statistical power to confirm or refute
the $\nu$--oscillation solution of the atmospheric neutrino problem.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 19:56:57 GMT""}]","2009-10-30"
"hep-ph/9712279","Alexey A. Petrov","Alexey A. Petrov (The Johns Hopkins University)","Dipenguin-like contributions to D0 - anti-D0 mixing","4 pages, 1 figure; to appear in the proceedings of HADRON'97, BNL,
  August 1997; preprint number is added",,"10.1063/1.55989","JHU-TIPAC-97021","hep-ph",,"  We show that because of the milder GIM suppression, the four-quark dipenguin
operator contributes to the short distance piece of the D^0-\bar D^0 mixing
amplitude at the same order of magnitude as the box diagram. In addition, we
put an upper bound \Delta m_D^{LDR} \leq 5 \times \Delta m_D^{box} on a
long-distance resonant contribution induced by the penguin mixing.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 21:26:15 GMT""},{""version"":""v2"",""created"":""Mon, 8 Dec 1997 22:05:44 GMT""}]","2009-10-30"
"hep-ph/9712280","Randy Kobes","M. Carrington and R. Kobes","The general cancellation of ladder graphs at finite temperature","28 pages, 20 figures included, uses RevTeX and epsf, also available
  at http://theory.uwinnipeg.ca/users/randy/webfiles/diag.uu","Phys.Rev. D57 (1998) 6372-6385","10.1103/PhysRevD.57.6372","WIN 97-22","hep-ph",,"  In some cases, an important example being at finite temperature, extreme
infrared, collinear, or light-cone behaviour may cause the usual loop expansion
to break down. For some of these cases higher order ladder graphs can become
important. In an earlier paper it was shown that, given a particular relation
between a vertex and a self-energy function, the resummation of the ladder
graphs simplifies significantly when other types of graphs are included in a
consistent effective expansion. In this paper we show that this assumed
relation is valid for a large class of vertex and self-energy functions at
finite temperature.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 23:29:27 GMT""}]","2009-10-30"
"hep-ph/9712281","Tomas Kafka","T. Kafka","Atmospheric neutrino interactions in Soudan-2","5 pages, 6 figures, latex, needs espcrc2.sty; Contributed to TAUP97,
  5th Int. Workshop on Topics in Astroparticle and Underground Physics, Gran
  Sasso, Sept. 1997","Nucl.Phys.Proc.Suppl. 70 (1999) 340-344","10.1016/S0920-5632(98)00446-0","TUHEP-97-09","hep-ph",,"  A new measurement of the atmospheric numu/nue ratio-of-ratios, 0.61 +- 0.15
+- 0.05, has been obtained using a 3.2-kty exposure of the Soudan-2 underground
detector. This measurement, based upon neutrino reactions in an iron tracking
calorimeter of honeycomb-lattice geometry, is in agreement with the anomalously
low value reported by the underground water detectors.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 00:45:55 GMT""}]","2015-06-25"
"hep-th/9712055","Rey Soojong","Soo-Jong Rey","M(atrix) Theory on the Negative Light-Front","Latex, no figure",,,"SNUTP 97-154","hep-th",,"  M(atrix) theory defines light-front description of M-theory boosted along
positive direction of eleventh, M-coordinate. Rank of M(atrix) gauge group is
directly related to M-momentum $P_{11} = N / R_{11}$ or, equivalently, to total
number of D0-partons. Alternatively, M-theory may be boosted along opposite
direction of M-coordinate, for which the theory consists only of anti-D0
partons. In M(atrix) theory description, we interpret this as analytic
continuation of dimension of the gauge group: $U(-N) \sim U(N)$, $SO(-2N) \sim
USp(2N)$ and $USp(-2N) \sim SO(2N)$. We check these reciprocity relations
explicitly for uncompactified, heterotic, and CHL M(atrix) theories as well as
effective M(atrix) gauge theories of $T_5/Z_2$ and $T_9/Z_2$ compactifications.
In all cases, we show that absence of parity, gauge and supersymmetry anomalies
require introduction of a twisted sector with negative numbers of matter
multiplets. They are interpreted as massless open string excitations connected
to anti-D-brane background.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 01:01:50 GMT""},{""version"":""v2"",""created"":""Mon, 8 Dec 1997 04:57:25 GMT""}]","2007-05-23"
"hep-th/9712061","Gleb E. Arutyunov","G.E.Arutyunov and S.A.Frolov","Four graviton scattering amplitude from $S^N\large{{\bf R}}^{8}$
  supersymmetric orbifold sigma model","latex, 35 pages, misprints are corrected, the final version to appear
  in Nucl.Phys.B","Nucl.Phys. B524 (1998) 159-206","10.1016/S0550-3213(98)00326-5",,"hep-th",,"  In the IR limit the Matrix string theory is expected to be described by the
$S^N\R^{8}$ supersymmetric orbifold sigma model. Recently Dijkgraaf, Verlinde
and Verlinde proposed a vertex that may describe the type IIA string
interaction. In this paper using this interaction vertex we derive the four
graviton scattering amplitude from the orbifold model in the large $N$ limit.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 17:31:56 GMT""},{""version"":""v2"",""created"":""Fri, 24 Apr 1998 10:00:57 GMT""}]","2009-10-30"
"hep-th/9712062","Gregory Moore","Marcos Marino and Gregory Moore","Integrating over the Coulomb branch in N=2 gauge theory","12 pages, latex. Talk at the STRINGS'97 conference, Amsterdam, June
  1997","Nucl.Phys.Proc.Suppl. 68 (1998) 336-347","10.1016/S0920-5632(98)00168-6","YCTP-P27-97","hep-th",,"  We review the relation of certain integrals over the Coulomb phase of $d=4$,
N=2 SO(3) supersymmetric Yang-Mills theory with Donaldson-Witten theory. We
describe a new way to write an important contact term in the theory and show
how the integrals generalize to higher rank gauge groups.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 18:43:17 GMT""}]","2009-10-30"
"hep-th/9712063",,"H. Liu and A.A. Tseytlin","Statistical mechanics of D0-branes and black hole thermodynamics","16 pages, 1 figure, harvmac, epsf. Misprints corrected, to appear in
  JHEP","JHEP 9801:010,1998","10.1088/1126-6708/1998/01/010","Imperial/TP/97-98/14","hep-th gr-qc",,"  We consider a system of D0-branes in toroidally compactified space with
interactions described by a Born-Infeld-type generalisation of the leading v^2
+ v^4/r^{D-4} terms (D is the number of non-compact directions in M-theory,
including the longitudinal one). This non-linear action can be interpreted as
an all-loop large N super Yang-Mills effective action and has a remarkable
scaling property. We first study the classical dynamics of a brane probe in the
field of a central brane source and observe the interesting difference between
the D=5 and D > 5 cases: for D >5 the center acts as a completely absorbing
black hole of effective size proportional to a power of the probe energy, while
for D=5 there is no absorption for any impact parameter. A similar dependence
on D is found in the behaviour of the Boltzmann partition function Z of an
ensemble of D0-branes. For D=5 (i.e. for compactification on 6-torus) Z is
convergent at short distances and is analogous to the ideal gas one. For D > 5
the system has short-distance instability. For sufficiently low temperature Z
is shown to describe the thermodynamics of a Schwarzschild black hole in D > 5
dimensions, supporting recent discussions of black holes in Matrix theory.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 19:14:50 GMT""},{""version"":""v2"",""created"":""Sun, 7 Dec 1997 19:37:36 GMT""},{""version"":""v3"",""created"":""Mon, 15 Dec 1997 22:02:16 GMT""},{""version"":""v4"",""created"":""Fri, 16 Jan 1998 20:18:53 GMT""}]","2009-10-30"
"hep-th/9712064","Physics Department","S. Deser (Brandeis University)","Uniqueness of D=11 Supergravity","15 pages. Lecture at ""Quantum Mechanics of Fundamental Systems VI"",
  Santiago, Chile, August 1997",,,"BRX TH-424","hep-th gr-qc",,"  We study the extent to which D=11 supergravity can be deformed and show in
two very different ways that, unlike lower D versions, it forbids an extension
with cosmological constant. Some speculations about other invariants are made,
in connection with the possible counterterms of the theory.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 19:36:08 GMT""}]","2009-11-19"
"hep-th/9712065","Gordon Chalmers","Gordon Chalmers","Quantization of Non-Polynomial Field Theories","10 pages, 2 figures, tex, minor tex changes","JHEP 9803 (1998) 001","10.1088/1126-6708/1998/03/001","ITP-SB-73","hep-th",,"  We re-examine the quantization of a class of non-polynomial scalar field
theories which interpolates continuously from a free one to $\phi^4$ theory.
The quantization of such theories is problematic because the Feynman rules may
not be directly obtained. We give a means for calculating the correlation
functions in this theory. The Feynman rules developed here shall enable further
progress in the understanding of the triviality of $\phi^4$ theory in four
dimensions.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 22:19:44 GMT""},{""version"":""v2"",""created"":""Thu, 11 Dec 1997 05:11:20 GMT""}]","2009-10-30"
"hep-th/9712066",,"S. Deser, L. Griguolo and D. Seminara","Effective QED Actions: Representations, Gauge Invariance, Anomalies and
  Mass Expansions","36 pages, RevTeX, no figures","Phys.Rev.D57:7444-7459,1998","10.1103/PhysRevD.57.7444","BRX-TH-417","hep-th cond-mat.supr-con",,"  We analyze and give explicit representations for the effective abelian vector
gauge field actions generated by charged fermions with particular attention to
the thermal regime in odd dimensions, where spectral asymmetry can be present.
We show, through $\zeta-$function regularization, that both small and large
gauge invariances are preserved at any temperature and for any number of
fermions at the usual price of anomalies: helicity/parity invariance will be
lost in even/odd dimensions, and in the latter even at zero mass. Gauge
invariance dictates a very general ``Fourier'' representation of the action in
terms of the holonomies that carry the novel, large gauge invariant,
information. We show that large (unlike small) transformations and hence their
Ward identities, are not perturbative order-preserving, and clarify the role of
(properly redefined) Chern-Simons terms in this context. From a powerful
representation of the action in terms of massless heat kernels, we are able to
obtain rigorous gauge invariant expansions, for both small and large fermion
masses, of its separate parity even and odd parts in arbitrary dimension. The
representation also displays both the nonperturbative origin of a finite
renormalization ambiguity, and its physical resolution by requiring decoupling
at infinite mass. Finally, we illustrate these general results by explicit
computation of the effective action for some physical examples of field
configurations in the three dimensional case, where our conclusions on finite
temperature effects may have physical relevance. Nonabelian results will be
presented separately.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 20:48:49 GMT""}]","2008-11-26"
"hep-th/9712067",,"S. Deser and O. Sarioglu","Hamiltonian Electric/Magnetic Duality and Lorentz Invariance","7 pages, LaTeX, no figures","Phys.Lett.B423:369-372,1998","10.1016/S0370-2693(98)00163-4","BRX-TH-427","hep-th gr-qc",,"  In (3+1) Hamiltonian form, the conditions for the electric/magnetic
invariance of generic self-interacting gauge vector actions and the definition
of the duality generator are obvious. Instead, (3+1) actions are not
intrinsically Lorentz invariant. Imposing the Dirac-Schwinger stress tensor
commutator requirement to enforce the latter yields a differential constraint
on the Hamiltonian which translates into the usual Lagrangian form of the
duality invariance condition obeyed by Maxwell and Born-Infeld theories. We
also discuss covariance properties of some analogous scalar models.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 21:45:57 GMT""}]","2008-11-26"
"hep-th/9712068","Kiyoshi Kamimura","Kiyoshi Kamimura and Machiko Hatsuda","Canonical Formulation of IIB D-branes","22 pages, Latex, some comments and references are added. to appear in
  NPB","Nucl.Phys. B527 (1998) 381-401","10.1016/S0550-3213(98)00415-5","TOHO-FP-9657","hep-th",,"  We find Wess-Zumino actions for kappa invariant IIB D-branes in the explicit
form. A simple and compact expression is obtained by the grace of spinor
variables which are defined as power series of differential forms. Once
explicit form of the Wess-Zumino actions is determined, global supersymmetry
(SUSY) charges and constraint equations including local supersymmetry (kappa)
generators can be determined. The SUSY algebra and the central charges are also
calculated explicitly.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 05:51:58 GMT""},{""version"":""v2"",""created"":""Thu, 21 May 1998 23:55:23 GMT""}]","2009-10-30"
"hep-th/9712069","Manoelito Martins de Souza","Manoelito M de Souza, Jair V. Costa, Adriano S. Pedra (Universidade
  Federal do Esp\'irito Santo)","Finite Discrete Electromagnetic Field Theory","15 pages, Revtex, 5 ps-figures. A new version, greatly improved of
  hep-th/9710216 . v2: Replaced by an expanded and substantially improved
  version",,,,"hep-th gr-qc hep-ph",,"  The classical electromagnetic field of a spinless point electron is described
in a formalism with extended causality by discrete finite point-vector fields
with discrete and localized point interactions. These fields are taken as a
classical representation of photons, ""classical photons"". They are all
transversal photons; there are no scalar nor longitudinal photons and the
Lorentz gauge condition is automatically satisfied. The angular distribution of
emitted photons reproduces the directions of maximum emission of the standard
formalism. The Maxwell formalism in terms of continuous and distributed fields
is retrieved by the smearing of these discrete fields over the light-cone, and
in this process scalar and longitudinal photons are necessarily created and
added. Divergences and singularities are by-products of this averaging process.
The discrete and the continuous formalisms are not equivalent. The discrete one
is superior for not having divergencies, singularities, unphysical degrees of
freedom, for describing processes of creation and annihilation of particles
instead of advanced solutions, for having a natural explanation for the photon,
and for generating the continuous formalism as an effective one. It enlightens
the meaning and the origin of the non-physical photons in the standard
formalism. The standard theory based on average continuous fields is more
convenient and appropriate for dealing with a large number of charges and for
relatively large distances, but for few charges or for the field configuration
in a charge close neighborhood the discrete field description is mandatorily
required for avoiding inconsistencies.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 11:37:47 GMT""},{""version"":""v2"",""created"":""Thu, 19 Feb 1998 20:30:08 GMT""}]","2016-08-15"
"math/9712232","Victor Reiner","W. Kook, V. Reiner, and Dennis Stanton (University of Minnesota)","A convolution formula for the Tutte polynomial","6 pages",,,,"math.CO",,"  We give a convolution formula for the Tutte polynomial T_M (x,y) of a matroid
M.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 23:06:32 GMT""}]","2007-05-23"
"math/9712273","Sy D. Friedman","Sy D. Friedman","David's trick",,,,"Logic E-prints December 06, 1997","math.LO",,"  We put into a general setting a technique of Rene' David (see ""A Very
Absolute Pi^1_2 Singleton, Annals of Pure and Applied Logic, 1982) to show that
for S a Sigma^1_1 statement quantifying over subclasses of V of a special form,
there is a stronger Sigma^1_3 statement quantifying over reals which can be
forced over any model of S. Then I mention some application to Pi^1_2
Singletons and to Sigma^1_3 absoluteness.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 00:00:00 GMT""}]","2016-09-07"
"math/9712292","Laurence R. Taylor","Laurence R. Taylor","An invariant of smooth 4-manifolds","19 pages. Published copy, also available at
  http://www.maths.warwick.ac.uk/gt/GTVol1/paper6.abs.html","Geom. Topol. 1 (1997) 71-89","10.2140/gt.1997.1.71","G&T migration 1997-6","math.GT",,"  We define a diffeomorphism invariant of smooth 4-manifolds which we can
estimate for many smoothings of R^4 and other smooth 4-manifolds. Using this
invariant we can show that uncountably many smoothings of R^4 support no Stein
structure. (Gompf has constructed uncountably many smoothings of R^4 which do
support Stein structures.) Other applications of this invariant are given.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 00:00:00 GMT""}]","2014-11-11"
"nucl-th/9712021","Derek L. pursey","D. L. Pursey, A. M. Shirokov, and T. A. Weber","Can one learn anything from proton-proton bremsstrahlung? Comment on H.
  W. Fearing preprint nucl-th/9710061","3 files: fearing3.tex (in RevTeX), fi1.eps, and fig2.eps. 3 pages
  (including figures)",,,"IITAP-97-013","nucl-th",,"  Recently, Fearing (nucl-th/9710061) has argued that, as a matter of
principle, proton-proton bremsstrahlung can yield no more information about the
off-shell properties of the nucleon-nucleon interaction than can already be
deduced from the on-shell properties. In this note we challenge Fearing's
conclusion.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 04:05:58 GMT""}]","2007-05-23"
"quant-ph/9712015","Kamenev D. I.","V. Ya. Demikhovskii, D. I. Kamenev","Localization of Quantum States at the Cyclotron Resonance","6 pages of Latex, 6 figures","Phys.Lett. A228 (1997) 391-398","10.1016/S0375-9601(97)00131-X",,"quant-ph",,"  A new type of localization - localization over the quantum resonance cells -
in an intrinsically degenerate system is explored by using the quasienergy
eigenstates.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 06:39:55 GMT""}]","2009-10-30"
