"adap-org/9709003","Chau Hoi Fung","H. F. Chau, K. K. Yan, K. Y. Wan and L. W. Siu","Classifying Rational Densities Using Two One-Dimensional Cellular
  Automata","Revtex 3.0 using amssymb.sty and multicol.sty, 3 pages",,"10.1103/PhysRevE.57.1367","HKUPHYS-HFC-05","adap-org cond-mat nlin.AO",,"  Given a (finite) string of zeros and ones, we report a way to determine if
the number of ones is less than, greater than, or equal to a prescribed number
by applying two sets of cellular automaton rules in succession. Thus, we solve
the general density classification problem using cellular automaton.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 12:41:27 GMT""}]","2009-10-30"
"hep-lat/9709016","Dirk Pleiter","M. Goeckeler, R. Horsley, V. Linke, H. Perlt, D. Pleiter, P. Rakow, G.
  S chierholz, A. Schiller, P. Stephenson, H. Stueben","Improved Quenched QCD on Large Lattices - First Results","3 pages, Latex2e, 4 figures, espcrc2, epsfig and latexsym required","Nucl.Phys.Proc.Suppl.63:179-181,1998","10.1016/S0920-5632(97)00714-7","DESY 97-175, FU-HEP/97-05, HUB-EP-97/53","hep-lat",,"  Continuing our investigations of quenched QCD with improved fermions we have
started simulations for lattice size 32^3 x 64 at beta=6.2. We present first
results for light hadron masses at kappa=0.13520, 0.13540, and 0.13555.
Moreover we compare our initial experiences on the T3E with those for
APE/Quadrics systems.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 12:53:16 GMT""}]","2008-11-26"
"hep-lat/9709017","Martin Zach","Martin Zach, Manfried Faber and Peter Skala","Flux tubes and their interaction in U(1) lattice gauge theory","19 pages, latex2e with tex- and eps-figures; complete postscript file
  also available at ftp://is1.kph.tuwien.ac.at/pub/zach/np97.ps.gz","Nucl.Phys.B529:505-522,1998","10.1016/S0550-3213(98)00363-0",,"hep-lat",,"  We investigate singly and doubly charged flux tubes in U(1) lattice gauge
theory. By simulating the dually transformed path integral we are able to
consider large flux tube lengths, low temperatures, and multiply charged
systems without loss of numerical precision. We simulate flux tubes between
static sources as well as periodically closed flux tubes, calculating flux tube
profiles, the total field energy and the free energy. Our main results are that
the string tension in both three and four dimensions scales proportionally to
the charge -- which is in contrast to previous lattice results -- and that in
four-dimensional U(1) there is an attractive interaction between flux tubes for
beta approaching the phase transition.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 13:34:24 GMT""}]","2008-11-26"
"hep-lat/9709018","Christian B. Lang","C. B. Lang and T. K. Pany (Univ. Graz, Austria)","A fixed-point action for the lattice Schwinger model","3 pages (LaTeX), 2 figures (EPS)","Nucl.Phys.Proc.Suppl. 63 (1998) 898-900","10.1016/S0920-5632(97)00934-1","UNIGRAZ-UTP-09-09-97","hep-lat",,"  We determine non-perturbatively a fixed-point (FP) action for fermions in the
two-dimensional U(1) gauge (Schwinger) model. Our parameterization for the
fermionic action has terms within a $7\times 7$ square on the lattice, using
compact link variables. With the Wilson fermion action as starting point we
determine the FP-action by iterating a block spin transformation (BST) with a
blocking factor of 2 in the background of non-compact gauge field
configurations sampled according to the (perfect) Gaussian measure. We simulate
the model at various values of $\beta$ and find excellent improvement for the
studied observables.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 14:23:10 GMT""}]","2009-10-30"
"hep-ph/9709250","Choi Kiwoon","Kiwoon Choi, Jae Sik Lee and Carlos Munoz","Supergravity Radiative Effects on Soft Terms and the $\mu$ Term","12 pages, REVTEX. One reference is added","Phys.Rev.Lett. 80 (1998) 3686-3689","10.1103/PhysRevLett.80.3686","KAIST-TH 97/13, FTUAM 97/10","hep-ph hep-th",,"  We compute quadratically divergent supergravity one-loop effects on soft
supersymmetry-breaking parameters and the $\mu$ term in generic hidden sector
supergravity models. These effects can significantly modify the matching
condition for soft parameters at the Planck scale and also provide several new
sources of the $\mu$ term which are naturally of order the weak scale. We also
discuss some phenomenological implications of these effects, particularly the
violation of the scalar mass universality which may lead to dangerous FCNC
phenomena, and apply the results to superstring effective supergravity models.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 02:02:09 GMT""},{""version"":""v2"",""created"":""Tue, 9 Sep 1997 23:28:46 GMT""},{""version"":""v3"",""created"":""Thu, 18 Sep 1997 07:45:15 GMT""}]","2009-10-30"
"hep-ph/9709274","M. D. Scadron","A. Bramon, Riazuddin, M. D. Scadron","Double Counting Ambiguities in the Linear Sigma Model","23 pages To be published in Journal of Physics G","J.Phys.G24:1-12,1998","10.1088/0954-3899/24/1/004",,"hep-ph",,"  We study the dynamical consequences imposed on effective chiral field
theories such as the quark-level SU(2) linear $\sigma$ model (L$\sigma$M) due
to the fundamental constraints of massless Goldstone pions, the normalization
of the pion decay constant and form factor, and the pion charge radius. We
discuss quark-level double counting L$\sigma$M ambiguities in the context of
the Salam-Weinberg $Z = 0$ compositeness condition. Then SU(3) extensions to
the kaon are briefly considered.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 22:34:58 GMT""}]","2008-11-26"
"hep-ph/9709275",,"Chong Sheng Li, C.--P. Yuan, Hong-Yi Zhou","Supersymmetric QCD Parity Nonconservation in Top Quark Pairs at the
  Tevatron","12 pages, revised version, accepted by Phys. Lett. B","Phys.Lett. B424 (1998) 76-84","10.1016/S0370-2693(98)00139-7",,"hep-ph",,"  In the supersymmetry (SUSY) models, because of the mass difference between
the left- and right-top squarks, the supersymmetric QCD interactions can
generate parity violating effects in the production of $ t \bar t$ pairs. We
show that SUSY QCD radiative corrections to the parity violating asymmetry in
the production rates of the left- and right-handed top quarks via the $q \bar q
\ra t \bar t$ process can reach about 3% at the Fermilab Tevatron with
$\sqrt{s}=2$ TeV. This could be observable with an integrated luminosity larger
than $2 fb^{-1}$. We also show that in these models the SUSY QCD radiative
corrections to the $t \bar t$ production rate are small unless gluinos are very
light, of the order of 1 GeV.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 16:03:19 GMT""},{""version"":""v2"",""created"":""Thu, 12 Feb 1998 08:53:16 GMT""}]","2009-10-30"
"hep-ph/9709283","W. James Stirling","A. Ballestrero, D. G. Charlton, G. Cowan, P. Dornan, R. Edgecock, J.
  Ellis, E. W. N. Glover, C. Hawkes, H. Hwang, R. Jones, V. Kartvelishvili, Z.
  Kunszt, E. Maina, D. J. Miller, S. Moretti, A. Moutoussi, C. Parkes, P. B.
  Renton, D. A. Ross, W. J. Stirling, J. C. Thompson, M. Thomson, D. R. Ward,
  C. P. Ward, J. Ward, M. F. Watson, N. K. Watson, B. R. Webber","Report of the Working Group on `W Mass and QCD' (Phenomenology Workshop
  on LEP2 Physics, Oxford, April 1997)","43 pages LaTeX and 15 encapsulated postscript figures. Uses epsfig
  and ioplppt macros. Full Proceedings to be published in Journal of Physics G","J.Phys.G24:365-403,1998","10.1088/0954-3899/24/2/010",,"hep-ph",,"  The W Mass and QCD Working Group discussed a wide variety of topics relating
to present and future measurements of M(W) at LEP2, including QCD backgrounds
to W+W- production. Particular attention was focused on experimental issues
concerning the direct reconstruction and threshold mass measurements, and on
theoretical and experimental issues concerning the four jet final state. This
report summarises the main conclusions.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 19:19:05 GMT""}]","2009-10-30"
"hep-ph/9709284","Marc Flesch","W. Bernreuther, M. Flesch, P. Haberl","Signatures of Higgs Bosons in the Top Quark Decay Channel at Hadron
  Colliders","LaTeX, 19 pages, 6 figures","Phys.Rev. D58 (1998) 114031","10.1103/PhysRevD.58.114031","PITHA-97-34","hep-ph",,"  We analyze some signatures of neutral Higgs bosons, produced in high energy
proton (anti)proton collisions, which decay primarily to top quarks. This
channel is clouded by a large irreducible $t\bar t$ background. We investigate
the $t\bar t$ invariant-mass distribution in the lepton+jets decay mode of
$t\bar t$ and a $t\bar t$ spin-spin correlation in the dilepton decay mode. At
the LHC such Higgs bosons can be detected in the $t\bar t$ invariant-mass
spectrum, and the spin-spin correlation studied by us is also sensitive to a
Higgs boson if this particle has a sizeable pseudoscalar component.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 16:25:00 GMT""}]","2009-10-30"
"hep-ph/9709285","Anupam Singh","Edward W. Kolb, Anupam Singh and Mark Srednicki","Quantum Fluctuations of Axions","Revtex, 15 pages including epsf figures, final version to appear in
  Phys. Rev. D: now contains a detailed discussion taking into account the time
  dependence of the axion mass; conclusions unchanged","Phys.Rev. D58 (1998) 105004","10.1103/PhysRevD.58.105004",,"hep-ph astro-ph gr-qc hep-th",,"  We study the time evolution of the quantum fluctuations of the axion field
for both the QCD axion as well as axions arising in the context of supergravity
and string theories. We explicitly keep track not only of the coherently
oscillating zero momentum mode of the axion but also of the higher non-zero
momentum modes using the full axion potential. The full axion potential makes
possible two kinds of instabilities: spinodal instabilities and parametric
resonance instabilities. The presence of either of these instabilities can lead
to a quasi-exponential increase in the occupation of non-zero momentum modes
and the build-up of the quantum fluctuations of the axions. If either of these
becomes a significant effect then axions would no longer be a suitable cold
dark matter candidate. Our results confirm the conventional wisdom that these
effects are not significant in the setting of an expanding FRW universe and
hence axions are indeed cold dark matter candidates.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 18:28:23 GMT""},{""version"":""v2"",""created"":""Tue, 28 Jul 1998 21:21:30 GMT""}]","2009-10-30"
"hep-ph/9709286","A. Riotto","Antonio Riotto (Oxford)","More about Electroweak Baryogenesis in the Minimal Supersymmetric
  Standard Model","11 pages, LaTeX file","Int.J.Mod.Phys. D7 (1998) 815-823","10.1142/S0218271898000541","OUTP-97-43-P","hep-ph astro-ph",,"  We compute the baryon asymmetry generated at the electroweak phase transition
by the Higgs scalar sector of the minimal supersymmetric standard model.
Because of large enhancement effects from low momentum modes, Higgs particles
may be responsible for the observed baryon asymmetry even though CP-violation
in the Higgs sector only appears at the one-loop level. We also discuss the
approximations made in the analysis and suggest possible improvements.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 18:43:01 GMT""}]","2009-10-30"
"hep-ph/9709287","Mark Trodden","Mark Trodden (Case Western Reserve University, MIT LNS)","Microphysics of Gauge Vortices and Baryogenesis","6 pages, RevTeX, Invited talk at ``Solitons'', Kingston, Ontario,
  Canada, July 20-25, 1997. To appear in the proceedings",,,"CWRU-P12-97, MIT-CTP-2665","hep-ph astro-ph hep-th",,"  I give a brief overview of a novel mechanism for generating the baryon
asymmetry of the universe at the electroweak scale. This scenario circumvents
the need for a strongly first order electroweak phase transition by utilizing
gauged topological solitons to realize the requisite departure from thermal
equilibrium.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 20:28:42 GMT""},{""version"":""v2"",""created"":""Tue, 9 Sep 1997 15:01:20 GMT""}]","2008-02-03"
"hep-ph/9709288","Yuval Grossman","Yuval Grossman, Yosef Nir, Stephane Plaszczynski and Marie-Helene
  Schune","Implications of the Fleischer-Mannel Bound","24 pages, revtex, 6 figures included using psfig","Nucl.Phys. B511 (1998) 69-84","10.1016/S0550-3213(97)00736-0","SLAC-PUB-7622, WIS-97/27/Sep-PH, LAL 97-65","hep-ph",,"  Fleischer and Mannel (FM) have shown that it may become possible to constrain
the angle $\gamma$ of the unitarity triangle from measurements of various
$B\to\pi K$ decays. This constraint is independent of hadronic uncertainties to
the few percent level. We show that, within the Standard Model, the FM bound
gives strong constraints on the CKM parameters. In particular, it could predict
a well defined sign for $\sin2\gamma$ and $\sin2\alpha$. In a class of
extensions of the Standard Model, where the New Physics affects only $\Delta
B=2$ (and, in particular, not $\Delta B=1$) processes, the FM bound can lead to
constraints on CP asymmetries in $B$ decays into final CP eigenstates even if
$B-\bar B$ mixing is dominated by unknown New Physics. In our analysis, we use
a new method to combine in a statistically meaningful way the various
measurements that involve CKM parameters.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 21:09:31 GMT""}]","2009-10-30"
"hep-ph/9709289","Graciela Gelmini","J. A. Casas (CSIC, Spain), Wai Yan Cheng (UCLA, U.S.A.) and G. B.
  Gelmini (UCLA, U.S.A.)","Generation of Large Lepton Asymmetries","17 pp., LaTex file plus one figure, added some references in the
  introduction","Nucl.Phys. B538 (1999) 297-308","10.1016/S0550-3213(98)00606-3","UCLA/97/TEP/20 and IEM-FT-163/97 (revised April 1998)","hep-ph",,"  We present here a realistic model to produce a very large lepton asymmetry L
of 0.1 to 1, without producing a large baryon asymmetry. The model is based on
the Affleck and Dine scenario, in which the field acquiring a large vacuum
expectation value during inflation is a s-neutrino right. We require $L$ to be
large enough for the electroweak symmetry to be spontaneously broken at all
temperatures after inflation, with the consequent suppression of sphaleron
transitions.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 22:07:29 GMT""},{""version"":""v2"",""created"":""Fri, 1 May 1998 17:17:15 GMT""}]","2009-10-30"
"hep-ph/9709290","Dave Seckel","D. Seckel (Bartol Research Institute, Univ. of Delaware)","Neutrino-photon reactions in astrophysics and cosmology","4 pages, revtex, 6 eps figures, submitted to prl","Phys.Rev.Lett.80:900-903,1998","10.1103/PhysRevLett.80.900","BA-97-32","hep-ph astro-ph",,"  At energies above the threshold for $W$ production the process $\nu \gamma
\to l W^+$ is competive with $\nu \nu$ scattering at the same center of mass
energies. In a cosmological setting, absorption of ultra high energy neutrinos
by the microwave photon background is comparable to absorption by the neutrino
background. In passing through matter, the process $\nu \to l W^+$ will occur
in the coulomb field of nuclei. For iron, the interaction rate per nucleon is
roughly 20% of the charge current cross-section. The related process,
$\anti\nu_e e^- \to \gamma W^-$ dominates $\anti\nu_e e^-$ scattering for about
a decade in energy above the resonance for $W$ production.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 02:46:25 GMT""}]","2011-05-12"
"hep-ph/9709291","Robert Fleischer","Robert Fleischer (CERN)","CP Violation Beyond the Standard Model","10 pages, LaTeX, no figures. Invited plenary talk given at the 7th
  International Symposium on Heavy Flavor Physics, Santa Barbara, California,
  7-11 July 1997. To appear in the proceedings",,,"CERN-TH/97-241","hep-ph",,"  Recent developments concerning CP violation beyond the Standard Model are
reviewed. The central target of this presentation is the $B$ system, as it
plays an outstanding role in the extraction of CKM phases. Besides a general
discussion of the appearance of new physics in the corresponding CP-violating
asymmetries through $B^0_q$--$\bar{B^0_q}$ mixing $(q\in\{d,s\})$, it is
emphasized that CP violation in non-leptonic penguin modes, e.g. in $B_d\to\phi
K_{S}$, offers a powerful tool to probe physics beyond the Standard Model. In
this respect $B\to\pi K$ modes, which have been observed recently by the CLEO
collaboration, may also turn out to be very useful. Their combined branching
ratios allow us to constrain the CKM angle $\gamma$ and may indicate the
presence of physics beyond the Standard Model.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 12:13:50 GMT""}]","2007-05-23"
"hep-ph/9709292","Nicolao Fornengo","A. Bottino (1), F. Donato (1), N. Fornengo (1), S. Scopel (2) ((1)
  Universita' di Torino and INFN - Sezione di Torino, Italy, (2) Universidad de
  Zaragoza, Spain)","Pinning down neutralino properties from a possible modulation signal in
  WIMP direct search","13 pages, ReVTeX, 8 figures (high resolution figures are available
  upon request)","Phys.Lett.B423:109-117,1998","10.1016/S0370-2693(98)00125-7","DFTT 49/97","hep-ph",,"  We analyze the properties of neutralino under the hypothesis that some
preliminary experimental results of the DAMA/NaI Collaboration may be
indicative of a yearly modulation effect. We examine which supersymmetric
configurations would be singled out by the DAMA/NaI data. We also discuss the
possibility to investigate these configurations by means of experimental
searches for relic neutralinos other than direct searches. We finally discuss
the possibility to probe these configurations by accelerator searches.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 15:28:15 GMT""}]","2008-11-26"
"hep-th/9709061","Costas Kounnas","Costas Kounnas and Alok Kumar","BPS States in N=3 Superstrings","29 pages, LaTeX, uses fleqn.sty and cite.sty","Nucl.Phys. B511 (1998) 216-242","10.1016/S0550-3213(97)00728-1","CERN-TH/97-194","hep-th",,"  The N = 3 string models are special solutions of the type II perturbative
string theories. We present explicit expressions for the helicity
supertraces,which count the number of the perturbative BPS multiplets. Assuming
the non-perturbative duality $(S\leftrightarrow T)$ of the heterotic string on
T^6 and type II on K_3 x T^2 valid in N = 4 theories, we derive the N = 3
non-perturbative BPS mass formula by ""switching off"" some of the N = 4 charges
and ""fixing"" to special values some of the N = 4 moduli. This operation
corresponds to a well-defined Z_2 projection acting freely on the
compactification manifold. The consistency of this projection and the precise
connection of the N = 4 and N = 3 BPS spectrum is shown explicitly in several
type II string constructions. The heterotic N = 3 and some asymmetric type II
constructions turn out to be non-perturbative with the S moduli fixed at the
self-dual point S=i. Some of the non-perturbative N = 3 type II are defined in
the context of F-theory. The bosonic sector of the N=3 string effective action
is also presented. This part can be useful for the study of 4d black holes in
connection with the asymptotic density of BPS states in N = 3 string theory.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 17:23:17 GMT""}]","2009-10-30"
"hep-th/9709062","Elias Kiritsis","E. Kiritsis (CERN)","Introduction to Superstring Theory","244 pages, Latex, 22 figures, uuencoded gzipped size of source
  file+figures ~ .6 Mb. Minor errors and misprints corrected. Version to be
  published in book form by Leuven University Press",,,"CERN-TH/97-218","hep-th",,"  In these lecture notes, an introduction to superstring theory is presented.
Classical strings, covariant and light-cone quantization, supersymmetric
strings, anomaly cancelation, compactification, T-duality, supersymmetry
breaking, and threshold corrections to low-energy couplings are discussed. A
brief introduction to non-perturbative duality symmetries is also included.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 19:48:12 GMT""},{""version"":""v2"",""created"":""Mon, 30 Mar 1998 11:55:55 GMT""}]","2008-02-03"
"hep-th/9709063","Marco Serone","J.F. Morales, C.A. Scrucca and M. Serone","A note on supersymmetric D-brane dynamics","LaTex file, 12 pages, no figures, some corrections in last section
  and references added; version to appear in Physics Letters B","Phys.Lett. B417 (1998) 233-239","10.1016/S0370-2693(97)01422-6","SISSA-109/97/EP","hep-th",,"  We study the spin dependence of D-brane dynamics in the Green-Schwarz
formalism of boundary states. In particular we show how to interpret insertion
of supercharges on the boundary state as sources of non-universal spin effects
in D-brane potentials. In this way we find for a generic (D)p-brane, potentials
going like $v^{4-n}/r^{7-p+n}$ corresponding to interactions between the
different components of the D-brane supermultiplet. From the eleven dimensional
point of view, these potentials arise from the exchange of field strengths
corresponding to the graviton and the three form, coupled non-minimally to the
branes. We show how an annulus computation truncated to its massless
contribution is enough to reproduce these next-to-leading effects, meaning in
particular that the one-loop (M)atrix theory effective action should encode all
the spin dependence of low-energy supergravity interactions.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 18:55:08 GMT""},{""version"":""v2"",""created"":""Mon, 10 Nov 1997 10:40:30 GMT""}]","2009-10-30"
"hep-th/9709064","Sergey Solodukhin","Robert B. Mann and Sergey N. Solodukhin","Universality of Quantum Entropy for Extreme Black Holes","18 pages, latex, no figures, minor changes, to appear in Nucl. Phys.
  B","Nucl.Phys. B523 (1998) 293-307","10.1016/S0550-3213(98)00094-7","WATPHYS-TH-97/13","hep-th gr-qc",,"  We consider the extremal limit of a black hole geometry of the
Reissner-Nordstrom type and compute the quantum corrections to its entropy.
Universally, the limiting geometry is the direct product of two 2-dimensional
spaces and is characterized by just a few parameters. We argue that the quantum
corrections to the entropy of such extremal black holes due to a massless
scalar field have a universal behavior. We obtain explicitly the form of the
quantum entropy in this extremal limit as function of the parameters of the
limiting geometry. We generalize these results to black holes with toroidal or
higher genus horizon topologies. In general, the extreme quantum entropy is
completely determined by the spectral geometry of the horizon and in the
ultra-extreme case it is just a determinant of the 2-dimensional Laplacian. As
a byproduct of our considerations we obtain expressions for the quantum entropy
of black holes which are not of the Reissner-Nordstrom type: the extreme
dilaton and extreme Kerr-Newman black holes. In both cases the classical
Bekenstein-Hawking entropy is modified by logarithmic corrections.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 19:20:11 GMT""},{""version"":""v2"",""created"":""Fri, 12 Sep 1997 18:40:31 GMT""},{""version"":""v3"",""created"":""Tue, 2 Dec 1997 22:55:35 GMT""},{""version"":""v4"",""created"":""Mon, 19 Jan 1998 21:55:39 GMT""}]","2016-09-06"
"hep-th/9709065","Nobuyoshi Ohta","Nobuyoshi Ohta and Jian-Ge Zhou","Realization of D4-Branes at Angles in Super Yang-Mills Theory","13 pages, Latex, discussion of matrix model energy is modified and
  references added","Phys.Lett. B418 (1998) 70-76","10.1016/S0370-2693(97)01491-3","OU-HET 277","hep-th",,"  An explicit solution in super Yang-Mills theory, which after T-duality
describes two sets of D4-branes at angles, is constructed. The gauge
configuration possesses 3/16 unbroken supersymmetry for the equal magnitudes of
field strengths, and can be considered as the counterpart of the solution of
D=11 supergravity with the same amount of supersymmetry in the solutions given
by Gauntlett et al. The energy of the Born-Infeld action of the gauge
configuration gives further evidence for the geometrical interpretation as two
sets of D4-branes at angles. The energy of super Yang-Mills theory is shown to
coincide with that of M(atrix) theory. This fact shows that the configuration
with 3/16 supersymmetry can be realized in M(atrix) theory, which describes two
sets of longitudinal M5-branes (with common string direction) at angles.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 04:05:41 GMT""},{""version"":""v2"",""created"":""Fri, 26 Sep 1997 01:26:07 GMT""}]","2009-10-30"
"hep-th/9709066","Mike Cassidy","M. J. Cassidy and S. W. Hawking","Models for Chronology Selection","20 pages, Latex","Phys.Rev. D57 (1998) 2372-2380","10.1103/PhysRevD.57.2372","DAMTP R-97/47","hep-th",,"  In this paper, we derive an expression for the grand canonical partition
function for a fluid of hot, rotating massless scalar field particles in the
Einstein universe. We consider the number of states with a given energy as one
increases the angular momentum so that the fluid rotates with an increasing
angular velocity. We find that at the critical value when the velocity of the
particles furthest from the origin reaches the speed of light, the number of
states tends to zero. We illustrate how one can also interpret this partition
function as the effective action for a boosted scalar field configuration in
the product of three dimensional de Sitter space and $S^1$. In this case, we
consider the number of states with a fixed linear momentum around the $S^1$ as
the particles are given more and more boost momentum. At the critical point
when the spacetime is about to develop closed timelike curves, the number of
states again tends to zero. Thus it seems that quantum mechanics naturally
enforces the chronology protection conjecture by superselecting the causality
violating field configurations from the quantum mechanical phase space.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 08:07:13 GMT""}]","2009-10-30"
"hep-th/9709067","Ramon Munoz Tapia","F. del Aguila, A. Culatti, R. Munoz-Tapia and M. Perez-Victoria","Constraining differential renormalization in abelian gauge theories","13 pages, LaTeX. Some equations corrected and a reference added.
  Complete ps paper also available at http://www-ftae.ugr.es/papiros.html or
  ftp://ftae3.ugr.es/pub/rmt/ugft73.ps","Phys.Lett. B419 (1998) 263-271","10.1016/S0370-2693(97)01279-3","UG-FT-73/97 and KA-TP-10-1997","hep-th hep-ph",,"  We present a procedure of differential renormalization at the one loop level
which avoids introducing unnecessary renormalization constants and
automatically preserves abelian gauge invariance. The amplitudes are expressed
in terms of a basis of singular functions. The local terms appearing in the
renormalization of these functions are determined by requiring consistency with
the propagator equation. Previous results in abelian theories, with and without
supersymmetry, are discussed in this context.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 11:41:52 GMT""},{""version"":""v2"",""created"":""Thu, 29 Jan 1998 16:43:32 GMT""}]","2009-10-30"
"hep-th/9709068",,"I. P. Ennes, P. Ramadevi, A. V. Ramallo and J. M. Sanchez de Santos","Duality in osp(1|2) Conformal Field Theory and link invariants","46 pages, LaTeX, 16 eps files. Reference added","Int.J.Mod.Phys. A13 (1998) 2931-2978","10.1142/S0217751X98001487","US-FT-27/97","hep-th",,"  We study the crossing symmetry of the conformal blocks of the conformal field
theory based on the affine Lie superalgebra osp(1|2). Within the framework of a
free field realization of the osp(1|2) current algebra, the fusion and braiding
matrices of the model are determined. These results are related in a simple way
to those corresponding to the su(2) algebra by means of a suitable
identification of parameters. In order to obtain the link invariants
corresponding to the osp(1|2) conformal field theory, we analyze the
corresponding topological Chern-Simons theory. In a first approach we quantize
the Chern-Simons theory on the torus and, as a result, we get the action of the
Wilson line operators on the supercharacters of the affine osp(1|2). From this
result we get a simple expression relating the osp(1|2) polynomials for torus
knots and links to those corresponding to the su(2) algebra. Further, this
relation is verified for arbitrary knots and links by quantizing the
Chern-Simons theory on the punctured two-sphere.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 04:40:27 GMT""},{""version"":""v2"",""created"":""Tue, 23 Dec 1997 14:24:24 GMT""}]","2009-10-30"
"hep-th/9709070","Merabet","Tomasz Brzezinski and Houari Merabet","Nahm's equations and root systems","6 pages, LaTex","Czech.J.Phys. 47 (1997) 1101-1106","10.1023/A:1021649915250","DAMTP 97-34","hep-th nlin.SI solv-int",,"  A method of deriving solutions to Nahm's equations based on root structure of
simple Lie algebras is given. As an illustration of this method the recently
found solutions to Nahm's equations with tetrahedral and octahedral symmetries
are shown to correspond to $A_2$ and $A_3$ root systems.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 15:05:51 GMT""}]","2009-10-30"
"hep-th/9709072","Michael P. Mattis","N. Dorey (Swansea), T.J. Hollowood (Swansea), V.V. Khoze (Durham), and
  M.P. Mattis (Los Alamos)","Supersymmetry and the Multi-Instanton Measure II: From N=4 to N=0","14 pp, uses harvmac","Nucl.Phys. B519 (1998) 470-482","10.1016/S0550-3213(98)00010-8",,"hep-th",,"  Extending recent N=1 and N=2 results, we propose an explicit formula for the
integration measure on the moduli space of charge-n ADHM multi-instantons in
N=4 supersymmetric SU(2) gauge theory. As a consistency check, we derive a
renormalization group relation between the N=4, N=2, and N=1 measures. We then
use this relation to construct the purely bosonic (``N=0'') measure as well, in
the classical approximation in which the one-loop small-fluctuations
determinants is not included.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 14:14:32 GMT""}]","2009-10-30"
"math/9709219",,"Hao-Shiung Lin, Oktay K. Pashaev, Shi-Shyr Roan","Gauge Symmetry and Integrable Models",,,,"MSRI 1997-088","math-ph math.MP",,"  We establish the isomorphism between a nonlinear $\sigma$-model and the
abelian gauge theory on an arbitrary curved background, which allows us to
derive integrable models and the corresponding Lax representations from gauge
theoretical point of view. In our approach the spectral parameter is related to
the global degree of freedom associated with the conformal or Galileo
transformations of the spacetime. The B$\ddot{\rm a}$cklund transformations are
derived from Chern-Simons theory where the spectral parameter is defined in
terms of the extract compactified space dimension coordinate.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 00:00:00 GMT""}]","2009-09-25"
"nucl-ex/9709001",,"L.G. Moretto, L. Beaulieu, L. Phair, G.J. Wozniak (Lawrence Berkeley
  National Laboratory)","Reduciblity, Arrhenius plots and the Uroboros Dragon, a reply to the
  preprint ""Correlations in Nuclear Arrhenius-Type Plots"" by M.B. Tsang and P.
  Danielewicz","11 pages, LaTeX, psfig, also available at
  http://csa5.lbl.gov/moretto/ps/betty_v3.ps",,,,"nucl-ex",,"  In a recent preprint by Tsang and Danielewicz, the authors attempt to give
alternative or trivial explanations for the reducible and ""thermal"" nature of
the intermediate mass fragment excitation functions reported previously (Phys.
Rev. Lett. 74, 1530 (1995), Phys. Lett B 361, 25 (1995), Phys. Rep. 287, 249
(1997)). We demonstrate that their proposed ""self-correlation"" explanation for
linear Arrhenius plots is based upon a flawed autocorrelation analysis
involving circular reasoning.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 23:08:08 GMT""}]","2007-05-23"
