"alg-geom/9709031","Wolf Barth","W. Barth","K3 Surfaces with Nine Cusps","LaTeX",,,,"alg-geom math.AG",,"  By a K3-surface with nine cusps I mean a surface with nine isolated double
points A_2, but otherwise smooth, such that its minimal desingularisation is a
K3-surface. It is shown, that such a surface admits a cyclic triple cover
branched precisely over the cusps. This parallels the theorem of Nikulin, that
a K3-surface with 16 nodes is a Kummer quotient of a complex torus.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 08:42:46 GMT""}]","2008-02-03"
"hep-lat/9709142","Claude Bernard","C. Bernard, T. DeGrand, C. DeTar, Steven Gottlieb, U. M. Heller, J.
  Hetrick, C. McNeile, K. Rummukainen, R. Sugar, D. Toussaint, and M. Wingate","Heavy-Light Decay Constants from Wilson and Static Quarks","3 pages, LaTeX with espcrc2.sty and epsf.tex, 1 included postscript
  figure. Poster presented by C. Bernard at LATTICE '97, Edinburgh, 22-26 July
  1997","Nucl.Phys.Proc.Suppl.63:362-364,1998","10.1016/S0920-5632(97)00770-6",,"hep-lat",,"  MILC collaboration results for \fB, \fBs, \fD, \fDs and their ratios are
presented. These results are still preliminary, but the analysis is close to
being completed. Sources of systematic error, both within the quenched
approximation and from quenching itself, are estimated. We find, for example,
$f_B=153\pm 10 {}^{+36}_{-13} {}^{+13}_{-0} MeV$, and $f_{B_s}/f_B = 1.10 \pm
0.02 {}^{+0.05}_{-0.03} {}^{+0.03}_{-0.02}$, where the errors are statistical,
systematic (within the quenched approximation), and systematic (of quenching),
respectively. The extrapolation to the continuum and the chiral extrapolation
are the largest sources of error. Present central values are based on linear
chiral extrapolations; a shift to quadratic extrapolations would raise $f_B$ by
$\approx20$ MeV and make the error within the quenched approximation more
symmetric.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 14:43:28 GMT""}]","2008-11-26"
"hep-lat/9709143","Norbert Eicker","N. Eicker, W. Bietenholz, A. Frommer, H. Hoeber, Th. Lippert, K.
  Schilling","SSOR Preconditioning of Improved Actions","3 pages, Latex, 3 figures, Talk presented at Lattice'97","Nucl.Phys.Proc.Suppl. 63 (1998) 955-957","10.1016/S0920-5632(97)00953-5","HLRZ1997-48","hep-lat",,"  We generalize local lexicographic SSOR preconditioning for the
Sheikholeslami-Wohlert improved Wilson fermion action and the truncated perfect
free fermion action. In our test implementation we achieve performance gains as
known from SSOR preconditioning of the standard Wilson fermion action.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 15:07:01 GMT""}]","2009-10-30"
"hep-lat/9709144","Eduardo Mendel","E. Mendel and M. Nest (Universitaet Oldenburg)","Nonperturbative real time propagation at finite temperature","Talk presented at the LATTICE97 Conf.(Finite Temperature Session), 3
  pp in Latex, 2 ps figs., uses espcrc2.sty and epsf to include figs","Nucl.Phys.Proc.Suppl. 63 (1998) 445-447","10.1016/S0920-5632(97)00797-4","UOL-9-97","hep-lat",,"  A new formalism will be presented in order to study real time evolution of
quantum systems at finite temperature. Probability distributions for
time-correlated observables will be studied non-perturbatively and fully
quantized. This works for various systems, including ones with tunneling
phenomena. We have obtained good results with some computational methods which
can be used on models with several degrees of freedom. Thus it looks feasible
to study vacuum tunneling in real time for relevant field theories at finite T.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 15:13:07 GMT""}]","2009-10-30"
"hep-lat/9709146","Dmitry Pekurovsky","Dmitry Pekurovsky and Greg Kilcup (Ohio State University)","Weak matrix elements: on the way to delta I = 1/2 rule and epsilon-prime
  with staggered fermions","Contribution to Lattice'97 conference, 3 pages, Latex, 3 figures","Nucl.Phys.Proc.Suppl. 63 (1998) 293-295","10.1016/S0920-5632(97)00750-0",,"hep-lat",,"  We report progress in our lattice study of hadronic weak matrix elements
relevant for the Delta I = 1/2 rule and epsilon-prime. The presented results
are from our first runs on a quenched ensemble with beta=6.0 and a dynamical
Nf=2 ensemble with beta=5.7, using staggered gauge-invariant tadpole-improved
operators.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 15:58:46 GMT""}]","2009-10-30"
"hep-ph/9709483","Robert Foot","R. Foot, R. R. Volkas and O. Yasuda","Testing maximal electron and muon neutrino oscillations with sub-GeV
  SuperKamiokande atmospheric neutrino data","LaTeX, 8 figures, 17 pages, version to appear in Phys. Rev. D Rapid
  Communications","Phys.Rev.D57:1345-1349,1998","10.1103/PhysRevD.57.R1345","TMUP-HEL-97/07","hep-ph",,"  Motivated by the Exact Parity Model and other theories, the hypothesis that
each of the known neutrinos oscillates maximally with a sterile partner has
been put forward as an explanation of the atmospheric and solar neutrino
anomalies. We provide detailed predictions for muon and electron flux ratios
induced in the Kamiokande and SuperKamiokande detectors by sub-GeV atmospheric
neutrinos. Several different, carefully chosen cuts on momentum and zenith
angle are proposed, emphasizing the role of up-down flux asymmetries.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 06:01:16 GMT""},{""version"":""v2"",""created"":""Mon, 22 Dec 1997 02:52:00 GMT""}]","2011-03-10"
"hep-ph/9709484","Matthias Jamin","M. Jamin","The strange quark mass from scalar sum rules updated","3 pages, LaTeX, 1 postscript figure, uses espcrc2.sty. Talk presented
  at QCD `97 conference, Montpellier, July 1997","Nucl.Phys.Proc.Suppl. 64 (1998) 250-252","10.1016/S0920-5632(97)01069-4","HD-THEP-97-51","hep-ph",,"  The talk discusses preliminary results of an updated analysis of the strange
quark mass from the scalar current QCD sum rules [1]. In particular the role of
the scalar form factor which is a main ingredient in the analysis is especially
emphasised. The sources of the uncertainties in the sum rule determination are
briefly reviewed.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 09:05:47 GMT""}]","2009-10-30"
"hep-ph/9709485","Michael Kachelriess","V. Berezinsky and M. Kachelriess","Ultra-high energy LSP","14 pages, 4 ps figures, Latex2e","Phys.Lett. B422 (1998) 163-170","10.1016/S0370-2693(98)00068-9",,"hep-ph astro-ph",,"  We argue that the lightest supersymmetric particles (LSP) can be produced
with extremely high energies $E\gsim 10^{10}$ GeV in the Universe at the
present epoch. Their most probable sources are decaying superheavy particles
produced by topological defects or as relic Big Bang particle. We discuss the
mechanisms of production of LSP at ultra-high energies (UHE) and the
interaction of the UHE LSP with matter. The most attention is given to the
neutralino as LSP, although the gluino is also considered as a phenomenological
possibility.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 09:36:12 GMT""}]","2009-10-30"
"hep-ph/9709486",,"D. Cocolicchio, L. Telesca and M. Viggiano","The Optical Analogue of CP Violation","18 pages, LaTeX file","Found.Phys.Lett. 11 (1998) 303-324","10.1023/A:1022402719468","Univ. Basilicata, preprint UNIBAS-TH 11/96","hep-ph",,"  The peculiar features of the mixing in the neutral pseudoscalar mesons
K0--antiK0 can be introduced by the analogy to the optical polarization. The
time-reversed not-invariant processes and the related phenomenon of
CP-nonconservation can be then joined to the dissipative effects which yield a
not vanishing imaginary part in the relevant propagation of electromagnetic
radiation in a medium. Thus, the propagation of the two transverse polarization
states can reproduce the peculiar asymmetries which are so common in the realm
of high energy particle physics.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 09:47:24 GMT""}]","2009-10-30"
"hep-ph/9709487","Adrian Dumitru","A. Dumitru, M. Bleicher, S.A. Bass, C. Spieles, L. Neise, H.
  St\""ocker, W. Greiner","Direct photons in Pb+Pb at CERN-SPS from microscopic transport theory","14 pages, RevTex, 5 Encapsulated-PostScript Figures","Phys.Rev.C57:3271-3275,1998","10.1103/PhysRevC.57.3271","UFTP 449/1997","hep-ph nucl-th",,"  Direct photon production in central Pb+Pb collisions at CERN-SPS energy is
calculated within the relativistic microscopic transport model UrQMD, and
within distinctly different versions of relativistic hydrodynamics. We find
that in UrQMD the local momentum distributions of the secondaries are strongly
elongated along the beam axis initially. Therefore, the pre-equilibrium
contribution dominates the photon spectrum at transverse momenta above $\approx
1.5$ GeV. The hydrodynamics prediction of a strong correlation between the
temperature and radial expansion velocities on the one hand and the slope of
the transverse momentum distribution of direct photons on the other hand thus
is not recovered in UrQMD. The rapidity distribution of direct photons in UrQMD
reveals that the initial conditions for the longitudinal expansion of the
photon source (the meson ``fluid'') resemble rather boostinvariance than
Landau-like flow.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 10:37:44 GMT""}]","2008-11-26"
"hep-ph/9709488","Santi Peris","S. Peris (UAB)","UV renormalons in QCD and their phenomenological implications","6 pages, LateX, espcrc2; contribution to QCD97, Montpellier, France,
  July 1997, to appear in the proceedings","Nucl.Phys.Proc.Suppl.64:344-349,1998","10.1016/S0920-5632(97)01086-4","UAB-FT-424/97","hep-ph",,"  I report on some recent work done in collaboration with E. de Rafael on the
connection between ultraviolet renormalons in QCD and Nambu-Jona-Lasinio-like
Lagrangians as its effective description at low energies.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 11:16:39 GMT""}]","2008-11-26"
"hep-ph/9709489","Gerhard Schuler","Gerhard A. Schuler (CERN)","Power counting in exclusive quarkonium decays","6 pages, 3 figures, uses espcrc2.sty (included); to appear in the
  Proceedings of the High-Energy Physics Euroconference on Quantum
  Chromodynamics (QCD '97), Montpellier, France, 3-9 July 1997","Nucl.Phys.Proc.Suppl.64:450-455,1998","10.1016/S0920-5632(97)01106-7","CERN-TH/97-253","hep-ph",,"  Recent progress in the factorization of exclusive decays of heavy quarkonia
into long-distance and short-distance contributions is presented. The role of
higher Fock states and colour-octet contributions is outlined.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 12:35:08 GMT""}]","2010-11-19"
"hep-ph/9709490","Bas Tausk","A. Frink, J. G. K\""orner and J. B. Tausk","Massive Two-Loop Integrals and Higgs Physics","Latex, 26 pages, 18 postscript figures included with epsfig, uses
  a4wide.sty. Invited talks given by J. G. K\""orner at the Workshop 'The Higgs
  Puzzle', Ringberg, Germany, Dec. 1996 and at the meeting 'Tests of
  Electroweak Symmetry Breaking', Ouranopoulis, Greece, May 1997; to be
  published in the Ouranopoulis proceedings. Comments on on ref.[19] corrected,
  and other minor revisions",,,"MZ-TH/97-32","hep-ph",,"  We describe in some detail the present features of an automatic loop
calculation program as well as the integration techniques that go into it. The
program, called XLOOPS 1.0, allows one to calculate massive one- and two-loop
Feynman diagrams in the Standard Model including their tensor structure. UV
divergences in UV divergent integrals are explicitly computed in dimensional
regularization. One-loop integrals are calculated analytically in d \neq 4
dimensions whereas two-loop integrals are reduced to two-fold integral
representations which the program evaluates numerically. We discuss Higgs decay
at the two-loop level as a first application of the novel integration
techniques that are incorporated into XLOOPS.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 14:16:04 GMT""},{""version"":""v2"",""created"":""Mon, 20 Oct 1997 16:32:36 GMT""}]","2009-09-25"
"hep-ph/9709491","Zhi-zhong Xing","A.I. Sanda and Zhi-zhong Xing","Getting at the CP Angles","Sprocl 15 pages. Talk given (by A.I.S.) at the 7th International
  Symposium on Heavy Flavor Physics, Santa Barbara, July 7 - 11, 1997 (to
  appear in the proceedings)",,,"DPNU-97-43","hep-ph",,"  In anticipation for intensive experimental effort on B physics, theorists
have introduced many ingenious ways to measure properties of the unitarity
triangle. We review some of these methods. We will be critical in the hope
that, if there is any defect in them, it can be remedied either theoretically
or experimentally.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 12:32:47 GMT""}]","2007-05-23"
"hep-ph/9709492","Alexander Kusenko","Alexander Kusenko and Mikhail Shaposhnikov (CERN)","Supersymmetric Q-balls as dark matter","16 pages, 3 figures (epsf); replaced with a final version, to appear
  in Phys. Lett. B (references added)","Phys.Lett.B418:46-54,1998","10.1016/S0370-2693(97)01375-0","CERN-TH/97-259","hep-ph astro-ph gr-qc hep-th",,"  Supersymmetric extensions of the standard model generically contain stable
non-topological solitons, Q-balls, which carry baryon or lepton number. We show
that large Q-balls can be copiously produced in the early universe, can survive
until the present time, and can contribute to dark matter.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 13:38:43 GMT""},{""version"":""v2"",""created"":""Thu, 9 Oct 1997 22:35:08 GMT""},{""version"":""v3"",""created"":""Thu, 30 Oct 1997 09:32:37 GMT""}]","2011-05-05"
"hep-ph/9709493","Bodo Lampe","Bodo Lampe","New Interactions in Top Quark Production and Decay at the Tevatron
  Upgrade","Latex File and 3 eps Figures","Phys.Lett. B415 (1997) 63-66","10.1016/S0370-2693(97)01218-5","MPI-PhT/97-53","hep-ph",,"  New interactions in top-quark production and decay are studied under the
conditions of the Tevatron upgrade. Studying the process q qbar --> t tbar -->
b mu nu tbar, it is shown how the lepton rapidity and transverse energy
distribution are modified by nonstandard modifications of the g-t-tbar and the
t-b-W vertex.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 14:39:55 GMT""}]","2009-10-30"
"hep-ph/9709494","Carlo Giunti","C. Giunti, C.W. Kim, U.W. Lee","When do neutrinos cease to oscillate?","10 pages, no figures","Phys.Lett. B421 (1998) 237-244","10.1016/S0370-2693(98)00014-8","KIAS-P97003, DFTT 55/97","hep-ph",,"  In order to investigate when neutrinos cease to oscillate in the framework of
quantum field theory, we have reexamined the wave packet treatment of neutrino
oscillations by taking different sizes of the wave packets of the particles
involved in the production and detection processes. The treatment is shown to
be considerably simplified by using the Grimus-Stockinger theorem which enables
us to carry out the integration over the momentum of the propagating neutrino.
Our new results confirm the recent observation by Kiers, Nussinov and Weiss
that a precise measurement of the energies of the particles involved in the
detection process would increase the coherence length. We also present a
precise definition of the coherence length beyond which neutrinos cease to
oscillate.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 15:24:38 GMT""}]","2009-10-30"
"hep-th/9709198","Dr R. Szabo","Fedele Lizzi and Richard J. Szabo","Electric-magnetic Duality in Noncommutative Geometry","13 pages LaTeX, no figures","Phys.Lett. B417 (1998) 303-311","10.1016/S0370-2693(97)01401-9","OUTP-97-47P","hep-th",,"  The structure of S-duality in U(1) gauge theory on a 4-manifold M is examined
using the formalism of noncommutative geometry. A noncommutative space is
constructed from the algebra of Wilson-'t Hooft line operators which encodes
both the ordinary geometry of M and its infinite-dimensional loop space
geometry. S-duality is shown to act as an inner automorphism of the algebra and
arises as a consequence of the existence of two independent Dirac operators
associated with the spaces of self-dual and anti-selfdual 2-forms on M. The
relations with the noncommutative geometry of string theory and T-duality are
also discussed.
","[{""version"":""v1"",""created"":""Sun, 28 Sep 1997 20:00:34 GMT""}]","2009-10-30"
"hep-th/9709199","Per Kraus","Per Kraus","Spin-Orbit Interaction from Matrix Theory","9 pages, LaTex. Some typos and a few formulas on p. 7 corrected","Phys.Lett. B419 (1998) 73-78","10.1016/S0370-2693(97)01501-3",,"hep-th",,"  We study the leading order spin dependence of graviton scattering in eleven
dimensions, and show that the results obtained from supergravity and from
Matrix Theory precisely agree.
","[{""version"":""v1"",""created"":""Sun, 28 Sep 1997 22:08:57 GMT""},{""version"":""v2"",""created"":""Mon, 27 Oct 1997 01:42:27 GMT""}]","2009-10-30"
"hep-th/9709200","Vipul Periwal","Vipul Periwal","Quantum Hamilton-Jacobi equation","4 pages, RevTeX","Phys.Rev.Lett. 80 (1998) 4366-4369","10.1103/PhysRevLett.80.4366","PUPT-1688","hep-th",,"  The nontrivial transformation of the phase space path integral measure under
certain discretized analogues of canonical transformations is computed. This
Jacobian is used to derive a quantum analogue of the Hamilton-Jacobi equation
for the generating function of a canonical transformation that maps any quantum
system to a system with a vanishing Hamiltonian. A formal perturbative solution
of the quantum Hamilton-Jacobi equation is given.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 03:13:50 GMT""}]","2009-10-30"
"hep-th/9709201",,"E Rodulfo, R Delbourgo (University of Tasmania)","One-loop effective multi-gluon Lagrangian in arbitrary dimensions","16 pages, LaTeX","Int.J.Mod.Phys.A14:4457-4472,1999","10.1142/S0217751X99002086","UTAS-PHYS-97-14","hep-th",,"  We exhibit the one-loop multi-gluon effective Lagrangian in any dimension for
a field theory with a quasilocal background, using the background-field
formalism. Specific results, including counter terms (up to 12 spacetime
dimensions), have been derived, applied to the Yang-Mills theory and found to
be in agreement with other string-inspired approaches.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 05:02:50 GMT""}]","2008-11-26"
"hep-th/9709203","Akifumi Sako","A.Sako","Reducible Connections in Massless Topological QCD and 4-manifolds","23 pages, Latex, Some mistakes and typographical errors are revised
  in it. Especially, results written in section 4 are changed","Nucl.Phys. B522 (1998) 373-395","10.1016/S0550-3213(98)00191-6","EPHOU-97-008","hep-th alg-geom math.AG",,"  A role of reducible connections in Non-Abelian Seiberg-Witten invariants is
analyzed with massless Topological QCD where monopole is extended to
non-Abelian groups version. By giving small external fields, we found that
vacuum expectation value can be separated into a part from Donaldson theory, a
part from Abelian Monopole theory and a part from non-Abelian monopole theory.
As a by-product, we find identities of U(1) topological invariants. In our
proof, the duality relation and Higgs mechanism are not necessary.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 12:14:31 GMT""},{""version"":""v2"",""created"":""Tue, 7 Oct 1997 10:29:59 GMT""},{""version"":""v3"",""created"":""Thu, 27 Nov 1997 09:20:41 GMT""}]","2009-10-30"
"hep-th/9709204","Nikita A. Slavnov","V. E. Korepin (State University of New York, Stony Brook, USA) and N.
  A. Slavnov (Steklov Mathematical Institute, Moscow, Russia)","Normal Ordering in the Theory of Correlation Functions of Exactly
  Solvable Models","16 pages, Latex, no figures","J.Phys.A30:8623-8633,1997","10.1088/0305-4470/30/24/022","ITP-SUNY-SB-97-17","hep-th cond-mat math.QA nlin.SI q-alg solv-int",,"  We study models of quantum statistical mechanics which can be solved by the
algebraic Bethe ansatz. The general method of calculation of correlation
functions is based on the method of determinant representations. The auxiliary
Fock space and auxiliary Bose fields are introduced in order to remove the two
body scattering and represent correlation functions as a mean value of a
determinant of a Fredholm integral operator; the representation has a simple
form for large space and time separations. In this paper we explain how to
calculate the mean value in the auxiliary Fock space of asymptotic expression
of the Fredholm determinant. It is necessary for the evaluation of the
asymptotic form of the physical correlation functions.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 09:25:17 GMT""}]","2008-11-26"
"hep-th/9709205","Edisom Moreira","E. S. Moreira, Jnr","Aspects of classical and quantum motion on a flux cone","LaTeX file, 21 pages, 8 figures","Phys.Rev. A58 (1998) 1678","10.1103/PhysRevA.58.1678","IFT-P.059/97","hep-th gr-qc quant-ph",,"  Motion of a non-relativistic particle on a cone with a magnetic flux running
through the cone axis (a ``flux cone'') is studied. It is expressed as the
motion of a particle moving on the Euclidean plane under the action of a
velocity-dependent force. Probability fluid (``quantum flow'') associated with
a particular stationary state is studied close to the singularity,
demonstrating non trivial Aharonov-Bohm effects. For example, it is shown that
near the singularity quantum flow departs from classical flow. In the context
of the hydrodynamical approach to quantum mechanics, quantum potential due to
the conical singularity is determined and the way it affects quantum flow is
analysed. It is shown that the winding number of classical orbits plays a role
in the description of the quantum flow. Connectivity of the configuration space
is also discussed.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 09:48:40 GMT""}]","2009-10-30"
"hep-th/9709206","Sumit R. Das","Sumit R. Das","D-brane decay and Hawking Radiation","9 pages latex with espcrc. Based on talk given at STRINGS'97 held at
  Amsterdam, June, 1997. References added","Nucl.Phys.Proc.Suppl.68:119-127,1998","10.1016/S0920-5632(98)00146-7","TIFR-TH/97-52","hep-th",,"  Tree level decay amplitudes of near-BPS D-brane configurations are known to
exactly reproduce Hawking radiation rates from corresponding black holes at low
energies even though the brane configurations describe semiclassical black
holes only when the open string couplings are large. We show that a large class
of one (open string) loop corrections to emission processes from D-branes
vanish at low energies and nonvanishing loop contributions have an energy
dependence consistent with black hole answers, thus providing a justification
for the agreement of the tree level results with semiclassical answers.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 11:20:56 GMT""},{""version"":""v2"",""created"":""Thu, 20 Nov 1997 10:40:19 GMT""}]","2008-11-26"
"hep-th/9709207","Mikhail Olshanetsky","A.M.Levin, M.A.Olshanetsky","Classical limit of the Knizhnik-Zamolodchikov-Bernard equations as
  hierarchy of isomonodromic deformations. Free fields approach","43 pages, Latex, solution to the Schlesinger equations by the
  projection method is added, typos corrected",,,,"hep-th nlin.SI solv-int",,"  We investigate the classical limit of the Knizhnik-Zamolodchikov-Bernard
equations, considered as a system of non-stationar Schr\""{o}odinger equations
on singular curves, where times are the moduli of curves. It has a form of
reduced non-autonomous hamiltonian systems which include as particular examples
the Schlesinger equations, Painlev\'{e} VI equation and their generalizations.
In general case, they are defined as hierarchies of isomonodromic deformations
(HID) with respect to changing the moduli of underling curves. HID are
accompanying with the Whitham hierarchies. The phase space of HID is the space
of flat connections of $G$ bundles with some additional data in the marked
points. HID can be derived from some free field theory by the hamiltonian
reduction under the action of the gauge symmetries and subsequent factorization
with respect to diffeomorphisms of curve. This approach allows to define the
Lax equations associated with HID and the linear system whose isomonodromic
deformations are provided by HID. In addition, it leads to description of
solutions of HID by the projection method.
  In some special limit HID convert into the Hitchin systems. In particular,
for $\SL$ bundles over elliptic curves with a marked point we obtain in this
limit the elliptic Calogero $N$-body system
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 12:38:00 GMT""},{""version"":""v2"",""created"":""Thu, 4 Dec 1997 16:19:40 GMT""},{""version"":""v3"",""created"":""Fri, 6 Mar 1998 10:20:48 GMT""}]","2008-02-03"
"hep-th/9709208","Paulo Rodrigues Lima Vargas Moniz","P. V. Moniz (DAMTP, U. Cambridge)","From Reissner-Nordstr\""om quantum states to charged black holes mass
  evaporation","3 pages, LaTeX, requires mprocl.sty available at
  http://shemesh.fiz.huji.ac.il/MG8/submission.html, talk given in the Quantum
  Gravity session at the MG8 conference, minor correction in the abstract",,,,"hep-th",,"  In this report we describe quantum Reissner-Nordstr\""om (RN) black-holes
interacting with a complex scalar field. Our analysis is characterized by
solving a Wheeler-DeWitt equation in the proximity of an apparent horizon of
the RN space-time. Subsequently, we obtain a wave-function $\Psi_{RN}[M, Q]$
representing the RN black-hole. A special emphasis is given to the evolution of
the mass-charge rate affected by Hawking radiation. More details can be found
in gr-qc/9709080.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 13:29:15 GMT""},{""version"":""v2"",""created"":""Tue, 30 Sep 1997 09:19:21 GMT""}]","2009-09-25"
"nucl-th/9709065","Ken-ichiro Arita","K. Arita, A. Sugita and K. Matsuyanagi","Periodic-Orbit Bifurcation and Shell Structure at Exotic Deformation","8 pages, latex with 7 PS figures, Talk presented by K.M. at the
  International Symposium on ""Atomic Nuclei and Metallic Clusters: Finite
  Many-Fermion Systems"" (Prague, Sep. 1--5, 1997)",,"10.1023/A:1021447318691","KUNS1463","nucl-th",,"  By means of periodic orbit theory and deformed cavity model, we have
investigated semiclassical origin of superdeformed shell structure and also of
reflection-asymmetric deformed shapes. Systematic analysis of quantum-classical
correspondence reveals that bifurcation of equatorial orbits into
three-dimensional ones play predominant role in the formation of these shell
structures.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 02:30:50 GMT""}]","2009-10-30"
"nucl-th/9709066","Daniel Phillips","D.R. Phillips, S.R. Beane and T.D. Cohen (University of Maryland)","Regularization and renormalization in effective field theories of the
  nucleon-nucleon interaction","5 pages, LaTeX, uses espcrc1.sty, summary of talk given at the 15th
  International Conference on Few-Body Problems in Physics","Nucl.Phys.A631:447c-451c,1998","10.1016/S0375-9474(98)00045-1","DOE/ER/40762-128, U. of Md. PP#98-015","nucl-th hep-ph",,"  Some form of nonperturbative regularization is necessary if effective field
theory treatments of the NN interaction are to yield finite answers. We discuss
various regularization schemes used in the literature. Two of these methods
involve formally iterating the divergent interaction and then regularizing and
renormalizing the resultant amplitude. Either a (sharp or smooth) cutoff can be
introduced, or dimensional regularization can be applied. We show that these
two methods yield different results after renormalization. Furthermore, if a
cutoff is used, the NN phase shift data cannot be reproduced if the cutoff is
taken to infinity. We also argue that the assumptions which allow the use of
dimensional regularization in perturbative EFT calculations are violated in
this problem. Another possibility is to introduce a regulator into the
potential before iteration and then keep the cutoff parameter finite. We argue
that this does not lead to a systematically-improvable NN interaction.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 15:15:44 GMT""}]","2009-04-17"
"physics/9709040","Holger Hofmann","Holger F. Hofmann and Ortwin Hess","Spontaneous emission spectrum of the non-lasing supermodes in
  semiconductor laser arrays","4 pages RevTex and 3 figures, submitted to Optics Letters","Opt. Lett. 23, 391 (1998)","10.1364/OL.23.000391",,"physics.optics adap-org nlin.AO quant-ph",,"  It is shown that the interference between spontaneous emission into the
non-lasing supermode and the laser field of a semiconductor laser array causes
spatial holeburning which couples the dynamics of the spontaneous emission with
the laser field. In particular, phase locking between the spontaneous emission
and the lasing mode leads to the formation of a spectral triplet composed of
in-phase relaxation oscillation sidebands and an out-of-phase line at the
lasing frequency.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 14:04:31 GMT""}]","2009-10-30"
"q-alg/9709040","Maxim Kontsevich","Maxim Kontsevich","Deformation quantization of Poisson manifolds, I","plain TeX and epsf.tex, 46 pages, 24 figures","Lett.Math.Phys.66:157-216,2003","10.1023/B:MATH.0000027508.00421.bf",,"q-alg alg-geom hep-th math.AG math.QA",,"  I prove that every finite-dimensional Poisson manifold X admits a canonical
deformation quantization. Informally, it means that the set of equivalence
classes of associative algebras close to the algebra of functions on X is in
one-to-one correspondence with the set of equivalence classes of Poisson
structures on X modulo diffeomorphisms. In fact, a more general statement is
proven (""Formality conjecture""), relating the Lie superalgebra of polyvector
fields on X and the Hochschild complex of the algebra of functions on X.
Coefficients in explicit formulas for the deformed product can be interpreted
as correlators in a topological open string theory, although I do not use
explicitly the language of functional integrals. One of corollaries is a
justification of the orbit method in the representation theory.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 10:27:51 GMT""}]","2011-06-15"
"q-alg/9709041","Masahiko Miyamoto","Akihide Hanaki (Yamanashi University), Masahiko Miyamoto (Tsukuba
  University), and Daisuke Tambara (Hirosaki University)","Quantum Galois theory for finite groups","revised version (with a longer proof), 6 pages, Latex",,,,"q-alg math.QA",,"  We prove the Galois correspondence between the subgroups of a finite
automorphism group G of a simple vertex operator algebra V and the vertex
operator subalgebras of V containing the set V^G of G-invariants.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 01:35:56 GMT""},{""version"":""v2"",""created"":""Fri, 3 Oct 1997 12:58:17 GMT""}]","2008-02-03"
"quant-ph/9709054","Martti Havukainen","Martti Havukainen and Stig Stenholm (Helsinki Institute of Physics,
  Finland)","An open systems approach to calculating time dependent spectra","8 pages, revtex, 18 figures, to be published in J.Mod.Opt",,"10.1080/09500349808230663","HIP-1997-54/TH","quant-ph",,"  A new method to calculate the spectrum using cascaded open systems and master
equations is presented. The method uses two state analyzer atoms which are
coupled to the system of interest, whose spectrum of radiation is read from the
excitation of these analyzer atoms. The ordinary definitions of a spectrum uses
two-time averages and Fourier-transforms. The present method uses only one-time
averages. The method can be used to calculate time dependent as well as
stationary spectra.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 07:51:53 GMT""}]","2015-06-26"
"quant-ph/9709055","A. Yu. Trifonov","V.G.Bagrov, V.V.Belov, M.M. Nikitin, and A.Yu.Trifonov","The quantum effects in the undulator of infinite length","18 pages, AMS-LATEX, no figures. Int. J. Mod. Phys. B (to sub.)",,,,"quant-ph",,"  The first order quantum correction to the power of spontaneous radiation of
electrons in an arbitrary two-component periodic magnetic field was obtained.
The phenomenon of selfpolarization of the spin of electrons in a process of
spontaneous radiation was also studied. By electron's motion in a spiral
magnetic undulator, the quantitative characteristics of selfpolarization (the
polarization degree and the relaxation time) are different from corresponding
ones in synchrotron radiation. The limiting cases of near-axis and
ultrarelativistic approximation were considered.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 10:42:50 GMT""}]","2007-05-23"
