"alg-geom/9709010","Yuri Tschinkel","Matthias Strauch and Yuri Tschinkel","Height zeta functions of toric bundles over flag varieties","64 pages, LaTeX",,,,"alg-geom math.AG",,"  We investigate analytic properties of height zeta functions of toric bundles
over flag varieties.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 19:29:16 GMT""}]","2008-02-03"
"astro-ph/9709091","Roberto Maiolino","R. Maiolino, A. Krabbe, N. Thatte, R. Genzel","Seyfert Activity and Nuclear Star Formation in the Circinus Galaxy","44 pages, Latex (including 11 Figures), Color Figures 1, 2 and 4 are
  available at http://www.arcetri.astro.it/~maiolino/ , ApJ in press",,"10.1086/305150",,"astro-ph",,"  We present high angular resolution (0"".15-0"".5) near infrared images and
spectroscopy of the Circinus galaxy, the closest Seyfert 2 galaxy known. The
data reveal a non-stellar nuclear source at 2.2 microns. The coronal line
region and the hot molecular gas emission extend for 20-50 pc in the ionization
cone. The data do not show evidence for a point-like concentration of dark
mass; we set an upper limit of 4*10^6 Mo to the mass of a putative black hole.
  We find evidence for a young nuclear stellar population, with typical ages
between 4*10^7 and 1.5*10^8 yrs. The luminosity of the starburst inside a few
hundred pc is comparable to the intrinsic luminosity of the Seyfert nucleus,
and the two of them together account for most of the observed bolometric
luminosity of the galaxy. Within the central 12 pc the starburst has an age of
about 7*10^7 yrs and radiates about 2% of the luminosity of the active nucleus.
We discuss the implications of these results for models that have been proposed
for the starburst-AGN connection.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 15:49:27 GMT""},{""version"":""v2"",""created"":""Fri, 12 Sep 1997 16:27:46 GMT""}]","2009-10-30"
"astro-ph/9709092","Adriano Hoth Cerqueira","Adriano H. Cerqueira, Elisabete M. de Gouveia Dal Pino and Marc Herant","Magnetic Field Effects on the Head Structure of Protostellar Jets","14 pages, 2 Gif figures, uses aasms4.sty. Also available on the web
  page http://www.iagusp.usp.br/preprints/preprint.html. To appear in The
  Astrophysical Journal Letters",,"10.1086/316791",,"astro-ph",,"  We present the results of 3-D SPMHD numerical simulations of
supermagnetosonic, overdense, radiatively cooling jets. Two initial magnetic
configurations are considered: (i) a helical and (ii) a longitudinal field. We
find that magnetic fields have important effects on the dynamics and structure
of radiative cooling jets, especially at the head. The presence of a helical
field suppresses the formation of the clumpy structure which is found to
develop at the head of purely hydrodynamical jets. On the other hand, a cooling
jet embedded in a longitudinal magnetic field retains clumpy morphology at its
head. This fragmented structure resembles the knotty pattern commonly observed
in HH objects behind the bow shocks of HH jets. This suggests that a strong
(equipartition) helical magnetic field configuration is ruled out at the jet
head. Therefore, if strong magnetic fields are present, they are probably
predominantly longitudinal in those regions. In both magnetic configurations,
we find that the confining pressure of the cocoon is able to excite
short-wavelength MHD K-H pinch modes that drive low-amplitude internal shocks
along the beam. These shocks are not strong however, and it likely that they
could only play a secondary role in the formation of the bright knots observed
in HH jets.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 15:42:56 GMT""}]","2009-10-30"
"chao-dyn/9709011","Giovanni Gallavotti","Giovanni Gallavotti (Universita' di Roma 1, Italia)","Fast Arnold's diffusion in isochronous systems","11 pages","Mathematical Physics, Analysis and Geometry, 1, 295--312, 1999",,"FM96-8","chao-dyn nlin.CD",,"  We provide an illustration of a mechanism for Arnold's diffusion following a
nonvariational approach and find explicit estimates for the diffusion time.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 23:32:17 GMT""}]","2008-02-26"
"cond-mat/9709106","Andreas Lucke","A. Lucke, C.H. Mak, R. Egger, J. Ankerhold, J. Stockburger and H.
  Grabert","Is the direct observation of electronic coherence in electron transfer
  reactions possible?","14 pages, 9 figures, to be published in J. Chem. Phys",,"10.1063/1.475040",,"cond-mat",,"  The observability of electronic coherence in electron transfer reactions is
discussed. We show that under appropriate circumstances large-amplitude
oscillations can be found in the electronic occupation probabilities. The
initial preparation of the system is of crucial importance for this effect, and
we discuss conditions under which experiments detecting electronic coherence
should be feasible. The Feynman-Vernon influence functional formalism is
extended to examine more general and experimentally relevant initial
preparations. Analytical expressions and path integral quantum dynamics
simulations were developed to study the effects of various initial preparations
on the observability of electronic coherence.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 16:37:24 GMT""}]","2009-10-30"
"cond-mat/9709107","Mohit Randeria","Mohit Randeria (1) and Juan-Carlos Campuzano (2,3) ((1) Tata Institute
  of Fundamental Research, (2) University of Illinois at Chicago, (3) Argonne
  National Laboratory)","High Tc Superconductors: New Insights from Angle-Resolved Photoemission","18 pages, RevTex, 14 postscript figures; Varenna Lectures, 1997",,,,"cond-mat.supr-con",,"  Recent angle-resolved photoemission (ARPES) studies of the high Tc
superconductors are reviewed. Amongst the topics discussed are: the spectral
function interpretation of ARPES data and sum rules; studies of the momentum
distribution and the Fermi surface (FS); dispersion of electronic states, flat
bands and superlattice effects; unusual lineshapes and their temperature
dependence; the question of bilayer splitting; detailed studies of the
superconducting gap and its anisotropy; and, finally, studies of the pseudogap
and evolution of the FS with doping in the underdoped materials.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 00:33:59 GMT""}]","2008-02-03"
"cond-mat/9709108","Xiao Gang Wen","Xiao-Gang Wen and Patrick A. Lee","Theory of Quasi-Particles in the Underdoped High Tc Superconducting
  State","4 pages in RevTeX, 1 figure in eps, revised version","Phys. Rev. Lett., 80, 2193 (1998)","10.1103/PhysRevLett.80.2193",,"cond-mat.str-el cond-mat.supr-con",,"  The microscopic theory of superconducting (SC) state in the SU(2) slave-boson
model is developed. We show how the pseudogap and Fermi surface (FS) segments
in the normal state develop into a d-wave gap in the superconducting state.
Even though the superfluid density is of order x (the doping concentration),
the physical properties of the low lying quasiparticles are found to resemble
those in BCS theory. Thus the microscopic theory lay the foundation for our
earlier phenomenological discussion of the unusual SC properties in the
underdoped cuprates.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 17:41:02 GMT""},{""version"":""v2"",""created"":""Sat, 13 Dec 1997 02:47:49 GMT""}]","2016-08-31"
"cond-mat/9709109","Yu Lu,","P.A. Marchetti, Zhao-bin Su, and Lu Yu","$U(1)\times SU(2)$ gauge theory of underdoped cuprate superconductors","8 pages, REVTEX, no figures",,"10.1142/S0217984998000238",,"cond-mat.str-el hep-th",,"  The $U(1)\times SU(2)$ Chern-Simons gauge theory is applied to study the 2-D
$t-J$ model describing the normal state of underdoped cuprate superconductors.
The U(1) field produces a flux phase for holons converting them into Dirac-like
fermions, while the SU(2) field, due to the coupling to holons gives rise to a
gap for spinons. An effective low-energy action involving holons, spinons and a
self-generated U(1) gauge field is derived. The Fermi surface and electron
spectral function obtained are consistent with photoemission experiments. The
theory predicts a minimal gap proportional to doping concentration. It also
explains anomalous transport properties including linear $T$ dependence of the
in-plane resistivity.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 16:29:19 GMT""}]","2009-10-30"
"cond-mat/9709110","Dr. Bernard B. Beard","B. B. Beard (1), R. J. Birgeneau (2), M. Greven (2), and U.-J. Wiese
  (2) ((1) Christian Brothers University, (2) Massachusetts Institute of
  Technology)","The Square-Lattice Heisenberg Antiferromagnet at Very Large Correlation
  Lengths","12 pages, RevTeX, plus two Postscript figures. Some minor
  modifications for final submission to Physical Review Letters. (accepted by
  PRL)",,"10.1103/PhysRevLett.80.1742","CTP-2658","cond-mat.str-el cond-mat.supr-con hep-lat",,"  The correlation length of the square-lattice spin-1/2 Heisenberg
antiferromagnet is studied in the low-temperature (asymptotic-scaling) regime.
Our novel approach combines a very efficient loop cluster algorithm --
operating directly in the Euclidean time continuum -- with finite-size scaling.
This enables us to probe correlation lengths up to $\xi \approx 350,000$
lattice spacings -- more than three orders of magnitude larger than any
previous study. We resolve a conundrum concerning the applicability of
asymptotic-scaling formulae to experimentally- and numerically-determined
correlation lengths, and arrive at a very precise determination of the
low-energy observables. Our results have direct implications for the
zero-temperature behavior of spin-1/2 ladders.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 20:27:32 GMT""},{""version"":""v2"",""created"":""Tue, 23 Dec 1997 23:16:49 GMT""}]","2009-10-30"
"cond-mat/9709111","Karen Hallberg","K. Hallberg, C.D. Batista and A.A.Aligia (Centro Atomico Bariloche,
  Argentina)","Specific Heat of defects in the Haldane System Y_2BaNiO_5","4 pages, 4 figures, Latex file","Phys. Rev. B 58, 9248 (1998)","10.1103/PhysRevB.58.9248",,"cond-mat",,"  We calculate the specific heat of the antiferromagnetic spin-1 chain compound
Y_2BaNi_{1-x}Zn_xO_5 in the presence of a magnetic field. The low-energy
spectrum of a Heisenberg Hamiltonian, which includes realistic anisotropies,
has been solved using the density matrix renormalization group. The observed
Schottky anomaly is very well described by this theory. For large chains
($N>50$), contrary to previous interpretations of the specific heat data, we
find S=1/2 states. These results are thus also consistent with electron-
spin-resonance data for NENP.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 19:50:49 GMT""}]","2009-10-30"
"cond-mat/9709112","Erica Carlson","E. W. Carlson, S. A. Kivelson, Z. Nussinov, V. J. Emery","Doped Antiferromagnets in High Dimension","19 pages, 3 figures",,"10.1103/PhysRevB.57.14704",,"cond-mat.str-el",,"  The ground-state properties of the t-J model on a d-dimensional hypercubic
lattice are examined in the limit of large d. It is found that the undoped
system is an ordered antiferromagnet, and that the doped system phase separates
into a hole-free antiferromagnetic phase and a hole-rich phase. The latter is
electron free if J > 4t and is weakly metallic (and typically superconducting)
if J < 4t. The resulting phase diagram is qualitatively similar to the one
previously derived for d=2 by a combination of analytic and numerical methods.
Domain wall (or stripe) phases form in the presence of weak Coulomb
interactions, with periodicity determined by the hole concentration and the
relative strength of the exchange and Coulomb interactions. These phases
reflect the properties of the hole-rich phase in the absence of Coulomb
interactions, and, depending on the value of J/t, may be either insulating or
metallic (i.e. an ``electron smectic'').
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 20:41:56 GMT""}]","2009-10-30"
"cond-mat/9709113",,"Sanjay Puri, Alan Bray and Joel Lebowitz","Phase Separation Kinetics in a Model with Order-Parameter Dependent
  Mobility","To appear in PRE, figures available on request",,"10.1103/PhysRevE.56.758",,"cond-mat",,"  We present extensive results from 2-dimensional simulations of phase
separation kinetics in a model with order-parameter dependent mobility. We find
that the time-dependent structure factor exhibits dynamical scaling and the
scaling function is numerically indistinguishable from that for the
Cahn-Hilliard (CH) equation, even in the limit where surface diffusion is the
mechanism for domain growth. This supports the view that the scaling form of
the structure factor is ""universal"" and leads us to question the conventional
wisdom that an accurate representation of the scaled structure factor for the
CH equation can only be obtained from a theory which correctly models bulk
diffusion.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 10:29:19 GMT""}]","2009-10-30"
"cond-mat/9709114","Mustafa Uludogan","T. Cagin, G.Dereli, M. Uludogan and M. Tomak","Thermal and Mechanical Properties of some FCC Transition Metals and
  their Binary Alloys","22 pages, 11 figures, Revtex formatted",,,"METU-PHYS-COND-97-45","cond-mat.mtrl-sci",,"  The temperature dependence of thermodynamic and mechanical properties of six
fcc transition metals (Ni, Cu, Ag, Au, Pt, Rh) and the alloying behavior of
Ag-Au and Cu-Ni are studied using molecular dynamics (MD). The structures are
described at elevated temperatures by the force fields developed by Sutton and
co-workers within the context of tight binding approach. MD algorithms are
based on the extended Hamiltonian formalism from the works of Andersen,
Parinello and Rahman, Nose, Hoover and Cagin.The SIMULATOR program that we use
generates information about various physical properties during the run time
along with critical trajectory and stepwise information which need to be
analyzed post production. The thermodynamic and mechanical properties are
calculated in the temperature range between 300K to 1500K with 200K increments
using the statistical fluctuation expressions over the MD trajectories.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 07:20:30 GMT""}]","2008-02-03"
"cond-mat/9709115","H. Chamati","H. Chamati, D.M. Danchev and N.S. Tonchev","Finite-size scaling properties and Casimir forces in an exactly solvable
  quantum statistical-mechanical model","Latex, 11 pages, elsart.cls, revised version with some minor
  corrections","Journal of Theoretical and applied Mechanics, 2 (1998) 78-87",,,"cond-mat",,"  A d-dimensional finite quantum model system confined to a general
hypercubical geometry with linear spatial size L and ``temporal size'' 1/T (T -
temperature of the system) is considered in the spherical approximation under
periodic boundary conditions. Because of its close relation with the system of
quantum rotors it represents an effective model for studying the
low-temperature behaviour of quantum Heisenberg antiferromagnets. Close to the
zero-temperature quantum critical point the ideas of finite-size scaling are
used for studying the critical behaviour of the model. For a film geometry in
different space dimensions $\half\sigma <d<\threehalf\sigma$, where
$0<\sigma\leq2$ controls the long-ranginess of the interactions, an analysis of
the free energy and the Casimir forces is given.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 10:27:50 GMT""},{""version"":""v2"",""created"":""Wed, 5 Nov 1997 10:46:38 GMT""},{""version"":""v3"",""created"":""Tue, 24 Aug 1999 07:30:20 GMT""}]","2008-02-03"
"cond-mat/9709116","Sven Lbeck","S. Lubeck, M. Schreckenberg, and K. D. Usadel","Density Fluctuations and Phase Transition in the Nagel-Schreckenberg
  Traffic Flow Model","4 pages, 7 figures, accepted for publication in Phys. Rev. E","Physical Review E 57, 1171 (1998)","10.1103/PhysRevE.57.1171",,"cond-mat.stat-mech",,"  We consider the transition of the Nagel-Schreckenberg traffic flow model from
the free flow regime to the jammed regime. We examine the inhomogeneous
character of the system by introducing a new method of analysis which is based
on the local density distribution. We investigated the characteristic
fluctuations in the steady state and present the phase diagram of the system.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 10:01:45 GMT""}]","2009-10-30"
"cond-mat/9709117","Supriya Krishnamurthy","Supriya Krishnamurthy, Satya N. Majumdar and Mustansir Barma","Phase Transition in a Conserved-Mass Model of Aggregation and
  Dissociation","4 pages, Revtex, 3 Postscript figures",,,"TIFR/TH/97-44","cond-mat.stat-mech",,"  We introduce a new model of aggregation of particles where in addition to
diffusion and aggregation upon contact, a single unit of mass can dissociate
from a conglomerate. This dissociation move conserves the total mass and leads
to a striking behaviour in the steady state. As the parameters are varied, the
system undergoes a dynamical phase transition in all dimensions. In one phase
the mass distribution decays exponentially for large mass whereas in the other
phase there is a power law distribution of masses which coexists with an
infinite mass aggregate. The model is investigated analytically within mean
field theory, and numerically in one dimension.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 12:41:31 GMT""}]","2008-02-03"
"cond-mat/9709118","Guido Caldarelli","G. Caldarelli, M. Marsili, Y.-C. Zhang","A Prototype Model of Stock Exchange","LaTex, 4 pages, 4 Encapsulated Postscript figures, uses psfig",,"10.1209/epl/i1997-00491-5","SISSA Ref 22/97/CM","cond-mat.stat-mech adap-org nlin.AO q-fin.TR",,"  A prototype model of stock market is introduced and studied numerically. In
this self-organized system, we consider only the interaction among traders
without external influences. Agents trade according to their own strategy, to
accumulate his assets by speculating on the price's fluctuations which are
produced by themselves. The model reproduced rather realistic price histories
whose statistical properties are also similar to those observed in real
markets.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 13:20:10 GMT""}]","2009-10-30"
"cond-mat/9709119","Michael Stopa","M. Stopa","Fluctuations in quantum dot charging energy","4 pages, 4 .eps figures included with epsf",,"10.1016/S0921-4526(98)00104-5",,"cond-mat.mes-hall",,"  We show that quasi-periodic fluctuations in the charging energy E_C of small,
chaotic quantum dots result from strongly scarred states which are the remnant
of periodic orbits in the classical confining potential. We perform
self-consistent, density functional and spin density functional calculations
for the dots used in the recent experimental studies of Sivan et al. [PRL 77,
1123 (1996)]. We directly compute the direct Coulomb matrix elements W_{pq},
screened by the gates, between self-consistent states. We show that diagonal
elements (denoted U_p) are uniformly larger than off diagonal elements,
resulting in spin polarization of the dot. We show that strongly scarred
states, which are quasi-one dimensional, have particularly large values of U_p
which causes them to remain, partially occupied, at the Fermi surface as gate
voltage V_g is swept and more homogeneous, ``chaotic'' states pass through. We
show that ultimate double-filling of these scars results in large upward
fluctuations of E_C. In addition, we show that V_g dependence of capacitances
and level energies substantially enhances fluctuations in the gate voltage
spacing dV_g of Coulomb oscillations, as compared to and distinct from
fluctuations in the ``inverse compressibility'' (i.e. E_C). Moreover, these
dependences modify the distribution of dV_g fluctuations so that purely upward
fluctuations of E_C produce symmetric fluctuations in dV_g. Consequently, gate
voltage fluctuations (normalized by the appropriate capacitance ratio) are
substantially greater than the single particle level spacing, Delta, but, as we
show by direct calculation, their temperature T scaling is consistent with
Delta/T and not E_C/T, in complete agreement with experiment.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 13:33:22 GMT""}]","2009-10-30"
"cond-mat/9709120","Mikael Fogelstrom","Mikael Fogelstrom, Sungkit Yip and Juhani Kurkijarvi","Pinhole junctions in d-wave superconductors","14 pages, RevTeX, 11 PostScript figures, accepted for publication in
  Physica C",,"10.1016/S0921-4534(97)01732-2",,"cond-mat.supr-con",,"  We present a self consistent treatment of pinhole junctions in $d_{x^2-y^2}$
superconductors. The current-phase relation $j_s(\chi)$ is studied at different
temperatures and at different angles $\alpha$ between the crystal $\hat a$-axis
and the junction (surface) normal. We show that the critical current of a
junction can be reduced by pair-breaking effects at the separation. We also
study the Josephson energy of a pinhole as a function of the phase difference
across the junction. In particular are mapped the positions of the energy
minima $\chi_{min}$ at different temperatures as functions of
($\alpha_L,\alpha_R$), the crystal orientations of the left and right
superconductors. With decreasing temperature there is an increasing range of
crystal orientations where $\chi_{min}$ varies continuously from 0 to $\pi$.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 14:38:41 GMT""}]","2015-06-25"
"cond-mat/9709121","Rolf Kilian","G. Khaliullin (1 and 2), R. Kilian (1), S. Krivenko (2), P. Fulde (1)
  ((1) MPI-PKS Dresden, (2) Kazan Physicotechnical Institute)","Impurity-induced moments in underdoped cuprates","8 pages, 1 figure. To be published in Phys. Rev. B, Vol. 56, No. 18","Phys. Rev. B 56, 11882 (1997).","10.1103/PhysRevB.56.11882",,"cond-mat.str-el",,"  We examine the effect of a nonmagnetic impurity in a two-dimensional spin
liquid in the spin-gap phase, employing a drone-fermion representation of
spin-1/2 operators. The properties of the local moment induced in the vicinity
of the impurity are investigated and an expression for the nuclear-magnetic-
resonance Knight shift is derived, which we compare with experimental results.
Introducing a second impurity into the spin liquid an antiferromagnetic
interaction between the moments is found when the two impurities are located on
different sublattices. The presence of many impurities leads to a screening of
this interaction as is shown by means of a coherent-potential approximation.
Further, the Kondo screening of an impurity-induced local spin by charge
carriers is discussed.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 15:33:14 GMT""}]","2009-10-30"
"dg-ga/9709013","Philip A. Foth","Philip A. Foth","Deformations of representations of fundamental groups of open Kaehler
  manifolds","Corrected version, LaTeX, 18p",,,,"dg-ga alg-geom math.AG math.DG",,"  Given a compact Kaehler manifold, we consider the complement U of a divisor
with normal crossings. We study the variety of unitary representations of the
fundamental group of U with certain restrictions related to the divisor. We
show that the possible singularities of this variety as well as of the
corresponding moduli space of irreducible representations are quadratic. In the
course of our proof we exhibit a differential graded Lie algebra of which
reflects our deformation problem.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 00:17:02 GMT""},{""version"":""v2"",""created"":""Tue, 14 Oct 1997 01:43:39 GMT""}]","2008-02-03"
"dg-ga/9709014","Wolfram Kramer","W.Kramer, U.Semmelmann, G.Weingart","The First Eigenvalue of the Dirac Operator on Quaternionic Kaehler
  Manifolds","19 pages, LaTeX2e, fullpage style",,"10.1007/s002200050504",,"dg-ga math.DG",,"  In a previous paper we proved a lower bound for the spectrum of the Dirac
operator on quaternionic Kaehler manifolds. In the present article we show that
the only manifolds in the limit case, i.e. the only manifolds where the lower
bound is attained as an eigenvalue, are the quaternionic projective spaces. We
use the equivalent formulation in terms of the quaternionic Killing equation
and show that a nontrivial solution defines a parallel spinor on the associated
hyperkaehler manifold.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 15:06:27 GMT""}]","2009-10-30"
"funct-an/9709001","Bernhard Meller","P. Duclos, P. Exner, B. Meller","Exponential Bounds on Curvature-Induced Resonances in a Two-Dimensional
  Dirichlet Tube","LaTeX2.09, 30 pages, 3 figures, to appear in Helv. Phys. Acta","Helv. Phys. Acta. vol 71: 133-162 (1998)",,"CPT-95/P.3272","funct-an cond-mat math-ph math.FA math.MP quant-ph",,"  We consider curvature-induced resonances in a planar two-dimensional
Dirichlet tube of a width $ d $. It is shown that the distances of the
corresponding resonance poles from the real axis are exponentially small as $
d\to 0+ $, provided the curvature of the strip axis satisfies certain
analyticity and decay requirements.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 14:41:51 GMT""}]","2008-02-03"
"gr-qc/9709019","Mathias Trucks","Mathias Trucks","A KMS-like state of Hadamard type on Robertson-Walker spacetimes and its
  time evolution","21 pages, Latex2e","Commun.Math.Phys. 197 (1998) 387-404","10.1007/s002200050456",,"gr-qc hep-th",,"  In this work we define a new state on the Weyl algebra of the free massive
scalar Klein-Gordon field on a Robertson-Walker spacetime and prove that it is
a Hadamard state. The state is supposed to approximate a thermal equilibrium
state on a Robertson-Walker spacetime and we call it an adiabatic KMS state.
This opens the possibility to do quantum statistical mechanics on
Robertson-Walker spacetimes in the algebraic framework and the analysis of the
free Bose gas on Robertson-Walker spacetimes. The state reduces to an adiabatic
vacuum state if the temperature is zero and it reduces to the usual KMS state
if the scaling factor in the metric of the Robertson-Walker spacetime is
constant.
  In the second part of our work we discuss the time evolution of adiabatic KMS
states. The time evolution is described in terms of semigroups. We prove the
existence of a propagator on the classical phase space. This defines a time
evolution on the one-particle Hilbert space. We use this time evolution to
analyze the evolution of the two-point function of the KMS state. The inverse
temperature change is proportional to the scale factor in the metric of the
Robertson-Walker spacetime, as one expects for a relativistic Bose gas.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 21:17:47 GMT""}]","2009-10-30"
"gr-qc/9709020","Dumitru Vulcanov","Ion I. Cotaescu, Dumitru N. Vulcanov (The West University of
  Timisoara, Dept. of Theoretical and Comp. Physics, Timisoara, Romania)","Classical Oscilators in General Relativity","Latex, 10 pages","Europhysics Letters, 49:(2) 156-161 JAN, 2000","10.1209/epl/i2000-00100-3",,"gr-qc",,"  It is shown that in general relativity some static metrics are able to
simulate oscillatory motions. Their form depends on two arbitrary real
parameters which determine the specific oscillation modes. The conclusion is
that these metrics can be used for new geometric models of closed or even open
bags.
  Pacs: 04.02.-q and 04.02.Jb
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 07:55:15 GMT""},{""version"":""v2"",""created"":""Sun, 22 Oct 2000 20:17:47 GMT""}]","2009-10-30"
"gr-qc/9709021","Giulio Magli","Jerzy Kijowski, Giulio Magli","Unconstrained Hamiltonian formulation of General Relativity with
  thermo-elastic sources","29 pages, TeX format","Class.Quant.Grav. 15 (1998) 3891-3916","10.1088/0264-9381/15/12/017",,"gr-qc",,"  A new formulation of the Hamiltonian dynamics of the gravitational field
interacting with(non-dissipative) thermo-elastic matter is discussed. It is
based on a gauge condition which allows us to encode the six degrees of freedom
of the ``gravity + matter''-system (two gravitational and four
thermo-mechanical ones), together with their conjugate momenta, in the
Riemannian metric q_{ij} and its conjugate ADM momentum P^{ij}. These variables
are not subject to constraints. We prove that the Hamiltonian of this system is
equal to the total matter entropy. It generates uniquely the dynamics once
expressed as a function of the canonical variables. Any function U obtained in
this way must fulfil a system of three, first order, partial differential
equations of the Hamilton-Jacobi type in the variables (q_{ij},P^{ij}). These
equations are universal and do not depend upon the properties of the material:
its equation of state enters only as a boundary condition. The well posedness
of this problem is proved. Finally, we prove that for vanishing matter density,
the value of U goes to infinity almost everywhere and remains bounded only on
the vacuum constraints. Therefore the constrained, vacuum Hamiltonian (zero on
constraints and infinity elsewhere) can be obtained as the limit of a ``deep
potential well'' corresponding to non-vanishing matter. This unconstrained
description of Hamiltonian General Relativity can be useful in numerical
calculations as well as in the canonical approach to Quantum Gravity.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 08:58:54 GMT""},{""version"":""v2"",""created"":""Fri, 18 Dec 1998 09:31:31 GMT""}]","2009-10-30"
"hep-ex/9709010","Philip Burrows","P.N. Burrows (MIT)","Results on alpha_s and QCD from (and Above) the Z0","28 pages latex, including 13 embedded eps figures, (To appear in
  proc. XVII Conference on Physics in Collision, June 25-27 1997, Bristol,
  England.)",,,"SLAC-PUB-7631","hep-ex",,"  Measurements of alpha_s from e+e- annihilation experiments are reviewed and
compared with measurements from other processes. Highlights are presented of
recent QCD studies in e+e- annihilation at the Z0 resonance.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 22:20:51 GMT""}]","2007-05-23"
"hep-ex/9709011","Thomas Hadig","Thomas Hadig","Untersuchungen zur Jet-Parton-Korrelation in der tief-inelastischen
  Streuung","120 pages, master thesis, in german language",,,"PITHA 96/31","hep-ex",,"  The jet parton correlation has been studied for different cut scenarios and
various jet algorithms. These migrations are getting important for measuring
the strong coupling constant alpha_s and the NLO gluon density g(xi,Q^2) from
jet rates in DIS at HERA.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 11:28:35 GMT""}]","2007-05-23"
"hep-lat/9709019","Martin Guertler","M. G\""urtler, E.-M. Ilgenfritz, and A. Schiller","The endpoint of the electroweak phase transition","3 pages, 5 figures, uses espcrc2.sty, contribution to LATTICE97","Nucl.Phys.Proc.Suppl. 63 (1998) 566-568","10.1016/S0920-5632(97)00835-9",,"hep-lat",,"  The 3d SU(2)-Higgs model is used to find the critical Higgs mass above which
the first order phase transition ends. One method is focused on the
disappearance of the two-state signal of the scalar condensate (vanishing of
the latent heat). Another method is based on the analysis of Lee-Yang zeroes of
the partition function which allows to characterise the change from first order
transition into an analytical crossover.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 18:35:37 GMT""}]","2009-10-30"
"hep-lat/9709020","Martin Guertler","M. G\""urtler, E.-M. Ilgenfritz, A. Schiller, and C. Strecha","Hot electroweak matter near to the endpoint of the phase transition","3 pages, 5 figures, uses espcrc2.sty, contribution to LATTICE97","Nucl.Phys.Proc.Suppl. 63 (1998) 563-565","10.1016/S0920-5632(97)00834-7",,"hep-lat",,"  The electroweak phase transition is investigated near to its endpoint in the
framework of an effective three-dimensional model. We measure the very weak
interface tension with the tunneling correlation length method. First results
for the mass spectrum and the corresponding wave functions in the symmetric
phase are presented.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 18:43:48 GMT""}]","2009-10-30"
"hep-lat/9709021","Srinath C.","Srinath Cheluvaraja (Tata Institute of Fundamental Research,Mumbai)","Dual variables for the SU(2) lattice gauge theory at finite temperature","13 pages, LaTeX, 4 figures are included in the latex file","Phys.Rev. D58 (1998) 074508","10.1103/PhysRevD.58.074508","TIFR/TH-97-48","hep-lat",,"  We study the three-dimensional SU(2) lattice gauge theory at finite
temperature using an observable which is dual to the Wilson line. This
observable displays a behaviour which is the reverse of that seen for the
Wilson line. It is non-zero in the confined phase and becomes zero in the
deconfined phase. At large distances, it's correlation function falls off
exponentially in the deconfined phase and remains non-zero in the confined
phase. The dual variable is non-local and has a string attached to it which
creates a Z(2) interface in the system. It's correlation function measures the
string tension between oppositely oriented Z(2) domains. The construction of
this variable can also be made in the four-dimensional theory where it measures
the surface tension between oppositely oriented Z(2) domains.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 23:17:44 GMT""}]","2009-10-30"
