"alg-geom/9709020","Vladimir Masek","Vladimir Masek (Washington Univ. in St. Louis)","Very ampleness of adjoint linear systems on smooth surfaces with
  boundary","22 pages, AMS-LaTeX 1.2",,,,"alg-geom math.AG",,"  Let M be a Q-divisor on a smooth surface over C. In this paper we give
criteria for very ampleness of the adjoint of the round-up of M. (Similar
results for global generation were given by Ein and Lazarsfeld and used in
their proof of Fujita's Conjecture in dimension 3.) In the last section we
discuss an example which suggests that this kind of criteria might also be
useful in the study of linear systems on surfaces.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 16:48:39 GMT""}]","2016-08-30"
"cond-mat/9709203","Masaaki Matsuda","M. Matsuda, K. Katsumata, T. Osafune, N. Motoyama, H. Eisaki, S.
  Uchida, T. Yokoo, S. M. Shapiro, G. Shirane, and J. L. Zarestky","Magnetic excitations and structural change in the S=1/2
  quasi-one-dimensional magnet Sr_{14-x}Y_{x}Cu_{24}O_{41} (0<x<1)","5 pages, 6 figures, to appear in Phys. Rev. B",,"10.1103/PhysRevB.56.14499",,"cond-mat.str-el",,"  Neutron scattering measurements have been performed on the S=1/2
quasi-one-dimensional system Sr_{14-x}Y_{x}Cu_{24}O_{41}, which has both simple
chains and two-leg ladders of copper ions. We observed that when a small amount
of yttrium is substituted for strontium, which is expected to reduce the number
of holes, the dimerized state and the structure in the chain are changed
drastically. The inelastic peaks originating from the dimerized state of the
chain becomes broader in energy but not in momentum space. This implies that
the dimerized state becomes unstable but the spin correlations are unchanged
with yttrium substitution. Furthermore, it was observed that nuclear Bragg peak
intensities originating from the chain show strong temperature and x
dependence, which suggests that the chains slide along the c axis as
temperature and x are varied.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 11:14:00 GMT""}]","2009-10-30"
"cond-mat/9709204","Alessandro Torcini","Thierry Cretegny, Thierry Dauxois, Stefano Ruffo and Alessandro
  Torcini","Localization and Equipartition of Energy in the beta-FPU Chain : Chaotic
  Breathers","20 pages, Revtex - Submitted to Physica D","Physica D, 121 (1998) 106","10.1016/S0167-2789(98)00107-9",,"cond-mat.stat-mech chao-dyn cond-mat.dis-nn nlin.CD nlin.PS patt-sol",,"  The evolution towards equipartition in the $\beta$-FPU chain is studied
considering as initial condition the highest frequency mode. Above an
analytically derived energy threshold, this zone-boundary mode is shown to be
modulationally unstable and to give rise to a striking localization process.
The spontaneously created excitations have strong similarity with moving exact
breathers solutions. But they have a finite lifetime and their dynamics is
chaotic. These chaotic breathers are able to collect very efficiently the
energy in the chain. Therefore their size grows in time and they can transport
a very large quantity of energy. These features can be explained analyzing the
dynamics of perturbed exact breathers of the FPU chain. In particular, a close
connection between the Lyapunov spectrum of the chaotic breathers and the
Floquet spectrum of the exact ones has been found. The emergence of chaotic
breathers is convincingly explained by the absorption of high frequency phonons
whereas a breather's metastability is for the first time identified. The
lifetime of the chaotic breather is related to the time necessary for the
system to reach equipartition. The equipartition time turns out to be dependent
on the system energy density $\epsilon$ only. Moreover, such time diverges as
$\epsilon^{-2}$ in the limit $\epsilon \to 0$ and vanishes as $\epsilon^{-1/4}$
for $\epsilon \to \infty$.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 14:47:16 GMT""},{""version"":""v2"",""created"":""Wed, 24 Dec 1997 10:26:38 GMT""}]","2016-08-31"
"cond-mat/9709205","Richard P. Sear","Richard P. Sear","Polymer induced phase coexistence in systems of lamellar phases","7 pages, 2 figures",,,,"cond-mat.soft cond-mat.stat-mech",,"  The effect of adding nonadsorbing polymer to a lamellar phase of surfactant
bilayers is studied theoretically. We find that the polymer produces
coexistence between two lamellar phases of different layer spacings. The
coexistence region is a closed loop, as in the experiments of Ficheux et al.
[J. de Physique II 5 823 (1995)]. Within our model the coexistence is driven by
depletion.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 15:39:32 GMT""}]","2008-02-03"
"dg-ga/9709015",,"Alexander V. Karabegov","Pseudo-Kaehler Quantization on Flag Manifolds","32 pages, latex",,,"IC/97/60","dg-ga math.DG math.QA q-alg",,"  A unified approach to geometric, symbol and deformation quantizations on a
generalized flag manifold endowed with an invariant pseudo-Kaehler structure is
proposed. The Hilbert space of states is realized via the Bott-Borel-Weil
theorem in the sheaf cohomology of the geometric quantization line bundle. The
corresponding deformation quantization is a quantization with separation of
variables. In particular cases we arrive at Berezin's quantization via
covariant and contravariant symbols.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 17:14:29 GMT""}]","2008-02-03"
"gr-qc/9709045",,"M. Bianchi, M.Brunetti, E.Coccia, F.Fucito, J.A. Lobo","Cross Section of a Resonant-Mass Detector for Scalar Gravitational Waves","25 pages, latex file","Phys.Rev.D57:4525-4534,1998","10.1103/PhysRevD.57.4525","ROM2F/97/31","gr-qc hep-th",,"  Gravitationally coupled scalar fields, originally introduced by Jordan, Brans
and Dicke to account for a non constant gravitational coupling, are a
prediction of many non-Einsteinian theories of gravity not excluding
perturbative formulations of String Theory. In this paper, we compute the cross
sections for scattering and absorption of scalar and tensor gravitational waves
by a resonant-mass detector in the framework of the Jordan-Brans-Dicke theory.
The results are then specialized to the case of a detector of spherical shape
and shown to reproduce those obtained in General Relativity in a certain limit.
Eventually we discuss the potential detectability of scalar waves emitted in a
spherically symmetric gravitational collapse.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 09:23:35 GMT""}]","2009-12-30"
"gr-qc/9709046","Andrzej Krolak","John K. Beem and Andrzej Krolak","Cauchy Horizon Endpoints and Differentiability","16 pages, Latex",,"10.1063/1.532610",,"gr-qc",,"  Cauchy horizons are shown to be differentiable at endpoints where only a
single null generator leaves the horizon. A Cauchy horizon fails to have any
null generator endpoints on a given open subset iff it is differentiable on the
open subset and also iff the horizon is (at least) of class C^1 on the open
subset. Given the null convergence condition, a compact horizon which is of
class C^2 almost everywhere has no endpoints and is (at least) of class C^1 at
all points.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 08:55:54 GMT""}]","2015-06-25"
"hep-lat/9709058","Sergei Zenkin","S. Aoki, K. Nagai and S. V. Zenkin","Lattice fermions with Majorana couplings","3 pages, Latex, 2 Postscript figures, uses espcrc2 and epsf; talk
  given by S. V. Zenkin at Lattice '97","Nucl.Phys.Proc.Suppl. 63 (1998) 602-604","10.1016/S0920-5632(97)00845-1",,"hep-lat",,"  We analyse stability of almost massless Dirac mode in gauge models with
boundary (domain wall) fermions, and consider the possibility of decoupling one
of its chiral component by giving it a Majorana mass of the order of the
inverse lattice spacing. We argue that the chiral spectrum in such models is
always uncharged, so they can be implemented for defining the Weyl fermions
only in the real representation of the gauge group, for instance, in SUSY
models.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 08:38:16 GMT""}]","2009-10-30"
"hep-lat/9709059","Jan Plefka","Jan C. Plefka (NIKHEF) and Stuart Samuel (City College NY)","Monte Carlo simulations of the CP^3 model and U(1) gauge theory in the
  presence of a theta-term","3 pages, Latex, 4 figures, Contribution to LATTICE 97, Edinburgh, UK,
  22-26 July 1997","Nucl.Phys.Proc.Suppl. 63 (1998) 715-717","10.1016/S0920-5632(97)00882-7","NIKHEF 97-036, CCNY-HEP-97/7","hep-lat",,"  A theta-term, which couples to topological charge, is added to the
two-dimensional lattice CP^3 model and U(1) gauge theory. Monte Carlo
simulations are performed and compared to strong-coupling character expansions.
In certain instances, a flattening behavior occurs in the free-energy at
sufficiently large theta, but the effect is an artifact of the simulation
methods.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 12:18:41 GMT""}]","2009-10-30"
"hep-lat/9709060","Vassilis Koulovassilopoulos","D. Espriu, V. Koulovassilopoulos, A. Travesset","The Phase Diagram of the $U(2)\times U(2)$ Sigma Model","3 pages (Latex), 2 eps figures, uses espcrc2.sty, epsf, talk given at
  LATTICE97","Nucl.Phys.Proc.Suppl. 63 (1998) 572-574","10.1016/S0920-5632(97)00837-2","UB-ECM-PF 97/25","hep-lat",,"  We study the phase diagram of the $U(2) \times U(2)$ scalar model in $d=4$
dimensions. We find that the phase transition is of first order in most of the
parameter space. The theory can still be relevant to continuum physics (as an
effective theory) provided the transition is sufficiently weakly first order.
This places restrictions on the allowed coupling constants.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 09:33:25 GMT""}]","2009-10-30"
"hep-lat/9709061","Georg Damm","G. Damm, W. Kerler","Critical exponents in U(1) lattice gauge theory with a monopole term","3 pages, LaTeX, 2 figures, uses espcrc2.sty and epsfig.sty.
  Contribution to Lattice'97","Nucl.Phys.Proc.Suppl. 63 (1998) 703-705","10.1016/S0920-5632(97)00878-5","HUB-EP-97/63","hep-lat",,"  We investigate critical properties of the phase transition in the
four-dimensional compact U(1) lattice gauge theory supplemented by a monopole
term for values of the monopole coupling $\lambda$ such that the transition is
of second order. It has been previously shown that at $\lambda= 0.9$ the
critical exponent is already characteristic of a second-order transition and
that it is different from the one of the Gaussian case. In the present study we
perform a finite size analysis at $\lambda=1.1$ to get information wether the
value of this exponent is universal.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 13:15:36 GMT""}]","2009-10-30"
"hep-lat/9709062","Ferdinando Gliozzi","F. Gliozzi","A non-trivial spectrum for the trivial \phi^4 theory","3 pages, talk given at LATTICE'97, Edinburgh","Nucl.Phys.Proc.Suppl. 63 (1998) 634-636","10.1016/S0920-5632(97)00855-4",,"hep-lat hep-th",,"  It is pointed out that one-component \phi^4 lattice theory in four dimensions
has a non-perturbative sector which can be studied by means of an exact duality
transformation of its Ising limit. This duality maps it to a membrane model. As
a consequence, the \phi^4-theory turns out to have, in the broken symmetry
phase, a remarkably rich spectrum of physical states corresponding to membrane
excitations. A numerical study of the correlators between dual variables allows
to evaluate the masses of the first few states.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 11:35:51 GMT""}]","2009-10-30"
"hep-lat/9709063","Lars Jensen","J. Ambjorn (1), K. N. Anagnostopoulos (1), T. Ichihara (2), L. Jensen
  (1), N. Kawamoto (3), Y. Watabiki (2) and K. Yotsuji (3) ((1) Niels Bohr
  Inst., (2) Tokyo Inst. Technology, (3) Hokkaido Univ.)","Intrinsic Geometric Structure of c=-2 Quantum Gravity","3 pages, 4 figures, to appear in Lattice 97 proceedings
  Nucl.Phys.B(Proc.Suppl.)","Nucl.Phys.Proc.Suppl. 63 (1998) 748-750","10.1016/S0920-5632(97)00892-X","NBI-HE-97-50","hep-lat",,"  We couple c=-2 matter to 2-dimensional gravity within the framework of
dynamical triangulations. We use a very fast algorithm, special to the c=-2
case, in order to test scaling of correlation functions defined in terms of
geodesic distance and we determine the fractal dimension d_H with high
accuracy. We find d_H=3.58(4), consistent with a prediction coming from the
study of diffusion in the context of Liouville theory, and that the quantum
space-time possesses the same fractal properties at all distance scales
similarly to the case of pure gravity.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 11:41:11 GMT""}]","2009-10-30"
"hep-lat/9709064","Georg Damm","G. Damm, W. Kerler, V.K. Mitrjushkin","Gluon propagator and zero-momentum modes on the lattice","3 pages, LaTeX, 5 figures, uses espcrc2.sty and epsfig.sty.
  Contribution to Lattice'97","Nucl.Phys.Proc.Suppl. 63 (1998) 251-253","10.1016/S0920-5632(97)00736-6","HUB-EP-97/62, JINR-E2-97-280","hep-lat",,"  We investigate the propagators of 4D SU(2) gauge theory in Landau gauge by
Monte Carlo simulations. To be able to compare with perturbative calculations
we use large $\beta$ values. There the breaking of the Z(2) symmetry causes
large effects for all four lattice directions and doing the analysis in the
appropriate state gets important. We find that the gluon propagator in the
weak-coupling limit is strongly affected by zero-momentum modes.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 14:25:32 GMT""}]","2009-10-30"
"hep-lat/9709065","Joern Rank","U.M. Heller, F. Karsch and J. Rank","Screening Masses and Improvement in Pure SU(2) Lattice Gauge Theory at
  High Temperatures","Talk presented at LATTICE97 (Finite Temperature and Density) by J.
  Rank, 3 pages, LaTeX File, espcrc2.sty Style File and 2 eps figures included","Nucl.Phys.Proc.Suppl. 63 (1998) 421-423","10.1016/S0920-5632(97)00789-5","BI-TP 97/37","hep-lat",,"  From the long-distance behaviour of gluon and Polyakov loop correlation
functions we extract masses resp. energies in the electric and magnetic
sectors. We discuss their dependence on the temperature and on the momentum as
well as the relevance of an improvement of the lattice discretization of the
action.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 14:25:13 GMT""}]","2009-10-30"
"hep-ph/9709367","Yoshimura Masaki","Eiichi Takasugi and Masaki Yoshimura","Reconstruction of quark mass matrices in the NNI form from the
  experimental data","17 pages and 4 figures","Prog.Theor.Phys. 98 (1997) 1313-1323","10.1143/PTP.98.1313",,"hep-ph",,"  We examined the question that what is a general form of quark mass matrices
which is achieved by the transformation that leaves the left-handed gauge
interaction invariant. In particular, we analyzed in detail the Fritzsch-type
and the Branco-Silva-Marcos-type parametrization. Both parametrizations contain
ten parameters and can be expressed by the experimental data. We explicitly
reconstructed quark mass matrices in terms of quark masses and CKM parameters
for the Fritzsch-type parametrization.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 23:45:59 GMT""}]","2009-10-30"
"hep-ph/9709372","Valery Lyubovitskij","M. A. Ivanov (JINR, Dubna), J. G. Korner (Mainz U., Inst. Phys.), V.
  E. Lyubovitskij (JINR, Dubna and Tomsk U.), A. G. Rusetsky (JINR, Dubna and
  Tbilisi U.)","Exclusive Nonleptonic Decays of Bottom and Charm Baryons in a
  Relativistic Three-Quark Model: Evaluation of Nonfactorizing Diagrams","49 pages, LaTeX-file","Phys.Rev. D57 (1998) 5632-5652","10.1103/PhysRevD.57.5632","Preprint Mainz Univ. MZ-TH/97-15","hep-ph",,"  Exclusive nonleptonic decays of bottom and charm baryons are studied within a
relativistic three-quark model with a Gaussian shape for the momentum
dependence of the baryon-three-quark vertex. We include factorizing as well as
nonfactorizing contributions to the decay amplitudes. For heavy-to-light
transitions Q -> q u d the total contribution of the nonfactorizing diagrams
amount up to approximately 60% of the factorizing contributions in amplitude,
and up to approximately 30% for b -> c u d transitions. We calculate the rates
and the polarization asymmetry parameters for various nonleptonic decays and
compare them to existing data and to the results of other model calculations.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 17:11:52 GMT""},{""version"":""v2"",""created"":""Fri, 9 Jan 1998 17:54:16 GMT""}]","2009-10-30"
"hep-ph/9709380","Ramon Miquel","Ramon Miquel (Univ. de Barcelona)","WW Physics at LEP2","LaTeX, 20 pages, 6 eps figures, needs sprocl.sty, included. To appear
  in the proceedings of the XXVth International Winter Meeting on Fundamental
  Physics, Formigal (Spain), March 1997","Int.J.Mod.Phys. A12 (1997) 5359-5386","10.1142/S0217751X97002863",,"hep-ph hep-ex",,"  The analyses and results on WW physics obtained in the first year of running
of LEP2 are summarized. The determination of the W mass, both through the
measurement of the WW production cross section at a center-of-mass energy of
161 GeV and through the study of the invariant mass distribution of W decay
products in the 172 GeV run are described first. Preliminary results on
searches for anomalous triple gauge-boson vertices are also presented.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 16:06:52 GMT""}]","2009-10-30"
"hep-ph/9709381","Michele Maris","Michele Maris","Comprehensive Study of the Possibility of Day - Night Effect Enhancement","14 pages, 5 figures, latex2e, figures in postscript format to be
  pubblished in the conference proceedings of the ""Fourth Solar Neutrino
  Conference"" - Heidelberg, Germany - April 8 - 11, 1997",,,,"hep-ph astro-ph hep-ex",,"  A set of quantitative predictions for the day-night asymmetry in the Super -
Kamiokande detector is presented. For these predictions, neutrino events are
collected in ``samples'' defined by the trajectories in the Earth of the
corresponding solar neutrinos. The more important samples considered here are:
the full sample of neutrinos detected at night, the sample of night neutrinos
which cross the Earth core and the sample of night neutrinos which does not
cross the Earth core. For energy integrated event rates, the day-night
asymmetry for core crossing neutrinos is up to six times bigger than the
day-night asymmetry for the full sample of night neutrinos. When the reduction
in statistics is considered, an effective enhancement up to a factor $\approx
2.3$ is obtained. The selection of core crossing neutrinos may be relevant for
the recoil - $e^-$ spectra too. From these results it is reasonable to expect
the Super Kamiokande detector be able to constrain the small mixing angle
solution of the solar neutrino problem ($\sin^2 2 \theta_v \leq 0.01$) through
the day-night effect. Furthermore, it is proposed that the day-night effect may
limits the total flux of 8B neutrino produced in the Sun. At last, the
sensitivity of these predictions to the Earth model uncertainties is
quantitatively discussed.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 17:19:39 GMT""}]","2007-05-23"
"hep-ph/9709382","Boris Kayser","Boris Kayser","Cascade Mixing and the CP-Violating Angle Beta","To appear in the Proceedings of the Moriond Workshop on Electroweak
  Interactions and Unified Theories, Les Arcs, France, March 1997. 10 pages. PS
  file",,,"NSF-PT-97-2","hep-ph",,"  In the decay chain B(d) --> Psi + K --> Psi + (pi l nu), neutral K mixing
follows on the heels of neutral B mixing. This ""cascade mixing"" leads to an
interference which probes cos(2*beta), where beta is one of the three
CP-violating phase angles which characterize CP violation in the Standard
Model. Widely-discussed future B-system experiments will determine
trigonometric functions of these three phase angles, leaving the underlying
angles themselves discretely ambiguous. A determination of cos(2*beta) through
cascade mixing would eliminate all the discrete ambiguities entirely.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 19:03:44 GMT""}]","2007-05-23"
"hep-ph/9709383","Yuri Shirman","Yuri Shirman","New Models of Gauge Mediated Dynamical Supersymmetry Breaking","8 pages, Latex","Phys.Lett. B417 (1998) 281-286","10.1016/S0370-2693(97)01314-2","PUPT-1721","hep-ph hep-th",,"  We propose a simple class of nonrenormalizable models of gauge mediated
dynamical supersymmetry breaking. The models do not have gauge singlet fields.
The Standard Model gauge group is embedded in the global symmetry of the SUSY
breaking sector. At the renormalizable level the models possess a set of
classical flat directions. Only one of those flat directions is unlifted by
quantum effects, and requires nonrenormalizable term to stabilize the potential
for the corresponding modulus. Large vacuum expectation value of this modulus
at the minimum of the potential generates mass terms for the messenger fields.
There are no light messengers, thus this class of models evades difficulties
encountered in earlier constructions using nonrenormalizable models.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 21:24:53 GMT""}]","2009-10-30"
"hep-ph/9709384","Leonid Satarov","I.N. Mishustin, L.M. Satarov, H. Stoecker, W. Greiner","Dilepton production by bremsstrahlung of meson fields in nuclear
  collisions","14 pages","Phys.Rev.C57:2552-2558,1998","10.1103/PhysRevC.57.2552",,"hep-ph",,"  We study the bremsstrahlung of virtual omega mesons due to the collective
deceleration of nuclei at the initial stage of an ultrarelativistic heavy-ion
collision. It is shown that electromagnetic decays of these mesons may give an
important contribution to the observed yields of dileptons. Mass spectra of
positron-electron and muon pairs produced in central Au+Au collisions are
calculated under some simplifying assumptions on the space-time variation of
the baryonic current in a nuclear collision process. Comparison with the CERES
data for 160 AGev Pb+Au collisions shows that the proposed mechanism gives a
noticeable fraction of the observed lepton pairs in the intermediate region of
invariant masses. Sensitivity of the dilepton yield to the in-medium
modification of masses and widths of vector mesons is demonstrated.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 20:30:04 GMT""}]","2008-11-26"
"hep-ph/9709385","Alan R. White","Alan R. White","The VIIth Blois Workshop: Theory Summary and Factorization Issues","12 pages, with 3 ps figures in the text. Presented at the
  International Conference (VIIth Blois Workshop) On Elastic and Diffractive
  Scattering - Recent Advances in Hadron Physics. Seoul, Korea. June 10-14,
  1997",,,"ANL-HEP-CP-97-73","hep-ph",,"  Workshop presentations on elastic and diffractive scattering and other recent
advances in hadron physics are summarized. The role of ``factorization'' in
determining parton properties of the pomeron is particularly discussed.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 02:13:17 GMT""}]","2007-05-23"
"hep-ph/9709386","Liu Chun","M.S. Baek, Jungil Lee, Chun Liu and H.S. Song","Four-quark Operators Relevant to B Meson Lifetimes from QCD Sum Rules","20 pages, latex, 6 figures, discussion on non-factorizable effect of
  the four-quark condensate added, to appear in Phys. Rev. D57 (1998)","Phys.Rev.D57:4091-4096,1998","10.1103/PhysRevD.57.4091","SNUTP 97-064, YUMS-97-13","hep-ph",,"  At the order of 1/m_b^3, the B meson lifetimes are controlled by the hadronic
matrix elements of some four-quark operators. The nonfactorizable magnitudes of
these four-quark operator matrix elements are analyzed by QCD sum rules in the
framework of heavy quark effective theory. The vacuum saturation for
color-singlet four-quark operators is justified at hadronic scale, and the
nonfactorizable effect is at a few percent level. However for color-octet
four-quark operators, the vacuum saturation is violated sizably that the
nonfactorizable effect cannot be neglected for the B meson lifetimes. The
implication to the extraction of some of the parameters from B decays is
discussed. The B meson lifetime ratio is predicted as
\tau(B^-)/\tau(B^0)=1.09\pm 0.02. However, the experimental result of the
lifetime ratio \tau(\Lambda_b)/\tau(B^0) still cannot be explained.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 03:48:00 GMT""},{""version"":""v2"",""created"":""Wed, 25 Feb 1998 08:36:00 GMT""}]","2011-01-27"
"hep-ph/9709387","Savely Karshenboim","Krzysztof Pachucki (Max-Planck-Institut fur Quantenoptik, Institute of
  Theoretical Physics, Warsaw University) and Savely G. Karshenboim
  (Max-Planck-Institut fur Quantenoptik, D. I. Mendeleev Institute for
  Metrology)","Complete Result for Positronium Energy Levels at Order alpha^6 m","9 pages, 2 tables. Email: sgk@onti.vniim.spb.su","Phys.Rev.Lett. 80 (1998) 2101-2104","10.1103/PhysRevLett.80.2101",,"hep-ph",,"  We have completed theoretical predictions for positronium energy levels
through order alpha^6 m by the calculation of the spin independent, radiative
recoil correction. This contribution is significant and amounts to 10.64 MHz
for the 1S state. We further perform detailed comparison of theoretical
predictions to experimental results for 1S-2S and 2S-2P transitions.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 08:44:16 GMT""}]","2009-10-30"
"hep-ph/9709388","Morimitsu Tanimoto","M. Fukugita, M. Tanimoto and T. Yanagida","Atmospheric Neutrino Oscillation and a Phenomenological Lepton Mass
  Matrix","10 pages, Latex file, small corrections in text and references, to
  appear in PRD","Phys.Rev. D57 (1998) 4429-4432","10.1103/PhysRevD.57.4429","UT-788","hep-ph",,"  We propose simple phenomenological lepton mass matrices which describe the
three neutrinos almost degenerate in mass, leading to a very large mixing angle
between $\nu_\mu$ and $\nu_\tau$, as consistent with a recent report on
atmospheric neutrino oscillation from the Superkamiokande collaboration. Our
matrix model also gives $\nu_e-\nu_\mu$ mixing in agreement with the value
required for neutrino oscillation to explain the solar neutrino problem.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 09:20:30 GMT""},{""version"":""v2"",""created"":""Tue, 13 Jan 1998 02:34:01 GMT""}]","2009-10-30"
"hep-ph/9709389","Renard Fernand Michel","J. Layssac, F.M. Renard and C. Verzegnassi","Signals for Neutralino Box Effects at LEP2","10 pages and 2 figures. e-mail: renard@lpm.univ-montp2.fr","Phys.Lett. B418 (1998) 134-140","10.1016/S0370-2693(97)01333-6","PM/97-30","hep-ph",,"  We have computed the contribution to the observables of the final two fermion
channel at LEP2, at the limiting energy $\sqrt{q^2}=200 GeV$, coming from boxes
with two neutralinos of purely gaugino type, of mass $M=100 GeV$. We find a
potentially visible effect only for the muon channel, in the cross section and,
to a lesser extent, in the forward-backward asymmetry. Analogous effects coming
from the chargino box are also briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 09:24:49 GMT""}]","2009-10-30"
"hep-ph/9709390","Marcello Ciafaloni","Marcello Ciafaloni (Physics Dept and INFN,Firenze)","k-Factorization and Next-to-leading BFKL Kernel","Invited talk at the Ringberg workshop ""New trends in HERA Physics"",
  May 25-30 1997",,,,"hep-ph",,"  I review recent results by Fadin,Lipatov and collaborators and by our
group,leading to the almost complete calculation of the next-to-leading BFKL
kernel,of its eigenvalues,and of the resummed gluon anomalous dimension.
Qualitative implications for small-x structure functions include consistent
running coupling effects and a sizeable decrease of the Pomeron intercept,so as
to slow down the small-x rise at low values of Q.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 09:52:34 GMT""}]","2007-05-23"
"hep-ph/9709391","N. D. Hari Dass","N.D. Hari Dass(IMSc,Madras) and V. Soni(NPL,New Delhi)","An Asymptotically Free Extension of QCD and ALEPH Four Jet Events","4 pages in Latex(revtex)",,,"IMSc 97/07/31","hep-ph",,"  We show that a recently proposed extension of QCD by the addition of a
multiplet of scalars transforming as (2,2,1) under $SU(2)_L\times SU(2)_R\times
SU(3)_ {colour}$ provides a natural and parameter-free explanation for many
observed features of the excess 4 jet events reported by ALEPH.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 11:17:42 GMT""}]","2007-05-23"
"hep-ph/9709392","Sourov Roy","Biswarup Mukhopadhyaya and Sourov Roy","Filtering Out Signals of Gauge-Mediated Supersymmetry Breaking: Can We
  Always Eliminate Conventional Supersymmetric Effects ?","LaTex, 23 pages including 5 figures. Revised version to be publishd
  in Physical Review D. Some minor changes were made","Phys. Rev. D 57, 6793 (1998)","10.1103/PhysRevD.57.6793","MRI-PHY/P970922","hep-ph",,"  We investigate the signal $\gamma\gamma$ + missing energy in a high-energy
linear $e^+e^-$ collider, with a view to differentiating between gauge-mediated
supersymmetry breaking and the conventional supersymmetric models. Prima facie,
there is considerable chance of confusion between the two scenarios if the
assumption of gaugino mass unification is relaxed. We show that the use of
polarized electron beams enables one to distinguish between the two schemes in
most cases. There are some regions in the parameter space where this idea does
not work, and we suggest some additional methods of distinction. We also
perform an analysis of some signals in the gauge-mediated model, coming from
the pair production of the second-lightest neutralino.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 11:32:28 GMT""},{""version"":""v2"",""created"":""Wed, 22 Apr 1998 11:04:08 GMT""}]","2016-08-25"
"hep-ph/9709393","Peter Kroll","Peter Kroll","Exclusive charmonium decays","5 pages, no figures, uses espcrc2.sty","Nucl.Phys.Proc.Suppl. 64 (1998) 456-460","10.1016/S0920-5632(97)01107-9","WU B 97-25","hep-ph",,"  The role of power corrections and higher Fock-state contributions to
exclusive charmonium decays will be discussed. It will be argued that the J/Psi
(Psi') decays into baryon-antibaryon pairs are dominated by the valence
Fock-state contributions. P-wave charmonium decays, on the other hand, receive
strong contributions from the c cbar g Fock states since the valence Fock-state
contributions are suppressed in these reactions. Numerical results for J/Psi
(Psi') --> B Bbar decay widths will be also presented and compared to data.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 12:29:53 GMT""}]","2009-10-30"
"hep-ph/9709394","Katsuhiko Suzuki","K. Suzuki (TU-Muenchen), T. Shigetani (RIKEN)","Chiral-odd transversity spin structure function $h_1(x)$ of the nucleon
  in a constituent quark model","33 pages, latex with 13 figures, to appear in Nuclear Physics A,
  PostScript file is also available at
  http://WWW.physik.tu-muenchen.de/~ksuzuki/publication.html","Nucl.Phys. A626 (1997) 886-910","10.1016/S0375-9474(97)00490-9",,"hep-ph",,"  We study the chiral-odd transversity spin-dependent quark distribution
function $h_1 (x)$ of the nucleon in a constituent quark model. The twist-2
structure functions, $f_1(x)$, $g_1(x)$ and $h_1(x)$ are calculated within the
diquark spectator approximation. Whereas an inequality $f_1(x) > h_1(x) >
g_1(x)$ holds with the interaction between quark and diquark being scalar, the
axial-vector effective quark-diquark interaction, which contributes to the
$d$-quark distribution, does not lead to such a simple relation. We find that
$h_1(x)$ for the $d$-quark becomes somewhat smaller than $g_1^d (x)$, when we
fix the model parameter to reproduce known other structure functions. We also
include corrections due to the non-trivial structure of the constituent quark,
which is modeled by the Goldstone boson dressing. This improves agreements of
$f_1(x)$ and $g_1(x)$ with experiments, and brings further reduction of
$h_1^d(x)$ distribution. Consequences for semi-inclusive experiments are also
discussed.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 15:16:47 GMT""}]","2009-10-30"
