"alg-geom/9709017","Yavor Markov","Y. Markov, V. Tarasov, A. Varchenko","The Determinant of a Hypergeometric Period Matrix","21 pages, no figures, LaTeX2e",,,,"alg-geom math.AG",,"  We consider a function $U=e^{-f_0}\prod_j^N f_j^{\alpha_j}$ on a real affine
space, here $f_0,..,f_N$ are linear functions, $\alpha_1, ...,\alpha_N$ complex
numbers. The zeros of the functions $f_1, ..., f_N$ form an arrangement of
hyperplanes in the affine space. We study the period matrix of the
hypergeometric integrals associated with the arrangement and the function $U$
and compute its determinant as an alternating product of gamma functions and
critical points of the functions $f_0,..., f_N$ with respect to the
arrangement. In the simplest example, $N=1, f_0=f_1=t$, the determinant formula
takes the form $\int_0^\infty e^{-t} t^{\alpha -1} dt=\Gamma (\alpha).$
  We also give a determinant formula for Selberg type exponential integrals. In
this case the arangements of hyperplanes is special and admits a symmetry
group, the period matrix is decomposed into blocks corresponding to different
representations of the symmetry group on the space of the hypergeometric
integrals associated with the arrangement. We compute the determinant of the
block corresponding to the trivial representation.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 20:51:53 GMT""}]","2008-02-03"
"cond-mat/9709166","Hsiu-Hau Lin","Hsiu-Hau Lin (UC Santa Barbara)","Correlation Effects of Single-Wall Carbon Nanotubes in Weak Coupling","9 pages, 5 figures, title changed",,"10.1103/PhysRevB.58.4963",,"cond-mat.str-el",,"  Single-wall carbon nanotubes with on-site interaction $U \ll t$ are studied
by a controlled renormalization group method. When formulated as a system of
$N_{f}$ flavors of interacting Dirac fermions, the effective model at generic
filling resembles a set of quasi-1D Hubbard chains. For the undoped $(N_{y},
N_{y})$-armchair and the $(N_{x}, -N_{x})$-zigzag with $N_x=3n$, specific
mappings to the 2-chain Hubbard model at half filling with effective
interaction $u_{eff}=U/N_{y}$ and $2U/N_{x}$ are found from this more general
equivalence. The phase diagrams of the (3, 3)-armchair and the (6, -6)-zigzag
at generic fillings are studied and compared as an example.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 23:04:14 GMT""},{""version"":""v2"",""created"":""Sat, 31 Jan 1998 12:16:34 GMT""}]","2009-10-30"
"cond-mat/9709167",,"A. J. Schofield and J. R. Cooper","Quasi-linear magnetoresistance in an almost 2D band structure","7 pages Latex (revtex4 and epsf) 4 postscript figures included.
  Replaced with published version which includes more details and a fit to data","Phys. Rev. B, 62, 10779 (2000)","10.1103/PhysRevB.62.10779",,"cond-mat.str-el",,"  We present a theoretical study of the orbital magnetoresistance in a unixial
anisotropic metal within the relaxation-time approximation. The appearance of a
new dimensionless scale, delta=4t_perp/epsilon_F, allows the possibility of a
new region at intermediate fields where the magnetoresistance is linear in
applied magnetic field for currents flowing along the unixial direction. (Here,
t_perp characterizes the bandwidth along the unixial direction.) In the limit
of large anisotropy (small delta), corresponding to a quasi-two-dimensional
metal made up of weakly coupled layers, we obtain an analytic expression for
the magnetoresistance valid for all magnetic fields. We test our analytic
results numerically and we compare our expressions with the c-axis
magnetoresistance of Sr_2RuO_4.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 09:20:27 GMT""},{""version"":""v2"",""created"":""Fri, 3 Nov 2000 17:48:07 GMT""}]","2009-10-30"
"cond-mat/9709169","Didier Poilblanc","S. Capponi (UPS, Toulouse), D. Poilblanc (CNRS, Toulouse), E. Arrigoni
  (Theoretishe Physik, Wuerzburg)","Universal scaling behavior of coupled chains of interacting fermions","12 pages, Latex",,"10.1103/PhysRevB.57.6360",,"cond-mat.str-el",,"  The single-particle hopping between two chains is investigated by
exact-diagonalizations techniques supplemented by finite-size scaling analysis.
In the case of two coupled strongly-correlated chains of spinless fermions, the
Taylor expansion of the expectation value of the single-particle interchain
hopping operator of an electron at momentum k_F in powers of the interchain
hopping t_perp is shown to become unstable in the thermodynamic limit. In the
regime alpha<alpha_{tp} (alpha_{tp} simeq 0.41) where transverse two-particle
hopping is less relevant than single-particle hopping, the finite-size effects
can be described in terms of a universal scaling function. From this analysis
it is found that the single-particle transverse hopping behaves as
t_perp^{alpha/(1-alpha)} in agreement with a RPA-like treatment of the
interchain coupling. For alpha>alpha_{tp}, the scaling law is proven to change
its functional form, thus signaling, for the first time numerically, the onset
of coherent transverse two-particle hopping.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 08:04:25 GMT""}]","2009-10-30"
"cond-mat/9709170","Kouno","Masanori Kohno","Aspects of the ground state of the $U=\infty$ Hubbard ladder","24 pages, RevTex, 11 figures, to appear in Phys.Rev.B",,"10.1103/PhysRevB.56.15015",,"cond-mat.str-el",,"  We consider two aspects of the ground state of the $U=\infty$ Hubbard ladder:
ferromagnetism and the metal-insulator transition at quarter-filling. First, we
present rigorous results for the $U=\infty$ Hubbard ladder in the limit of the
large inter-chain hopping ($t_{\perp}/t\to\infty$). In this limit, the total
spin $S$ of the ground state is shown to be zero for the electron density $n\le
0.5$ and its maximum ($S=S_{max}$) for $n>0.5$. The charge gap at
quarter-filling is $2t_{\perp}$. We extend these results to finite
$t_{\perp}/t$ by means of the density-matrix renormalization group method. We
estimate the phase boundaries with respect to spontaneous magnetization and the
charge gap at quarter-filling for finite $t_{\perp}/t$. Applying the extended
Aharonov-Bohm method, we give numerical evidence that the critical ratio
$t_{\perp}/t$, above which the charge gap opens, is less than 0.001.
Ferromagnetism in the t-J ladder is briefly discussed.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 06:20:53 GMT""},{""version"":""v2"",""created"":""Wed, 17 Sep 1997 02:09:07 GMT""}]","2009-10-30"
"cond-mat/9709171","Jan Philip Solovej","Elliott H. Lieb, Heinz Siedentop, Jan Philip Solovej","Stability of Relativistic Matter With Magnetic Fields","This is an announcement of the work in cond-mat/9610195 (LaTeX)","Phys.Rev.Lett.79:1785-1788,1997","10.1103/PhysRevLett.79.1785",,"cond-mat.stat-mech hep-th",,"  Stability of matter with Coulomb forces has been proved for non-relativistic
dynamics, including arbitrarily large magnetic fields, and for relativistic
dynamics without magnetic fields. In both cases stability requires that the
fine structure constant alpha be not too large. It was unclear what would
happen for both relativistic dynamics and magnetic fields, or even how to
formulate the problem clearly. We show that the use of the Dirac operator
allows both effects, provided the filled negative energy `sea' is defined
properly. The use of the free Dirac operator to define the negative levels
leads to catastrophe for any alpha, but the use of the Dirac operator with
magnetic field leads to stability.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 08:41:26 GMT""}]","2008-11-26"
"cond-mat/9709172","Joachim Stelzer","Henryk Arodz and Joachim Stelzer (Uniwersytet Jagiellonski, Krakow,
  Poland)","Director configuration of planar solitons in nematic liquid crystals","12 pages, Revtex, 8 postscript figures",,"10.1103/PhysRevE.57.3007",,"cond-mat.soft hep-th nlin.PS patt-sol",,"  The director configuration of disclination lines in nematic liquid crystals
in the presence of an external magnetic field is evaluated. Our method is a
combination of a polynomial expansion for the director and of further
analytical approximations which are tested against a numerical shooting method.
The results are particularly simple when the elastic constants are equal, but
we discuss the general case of elastic anisotropy. The director field is
continuous everywhere apart from a straight line segment whose length depends
on the value of the magnetic field. This indicates the possibility of an
elongated defect core for disclination lines in nematics due to an external
magnetic field.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 09:47:25 GMT""}]","2009-10-30"
"cond-mat/9709173","Kouno","Masanori Kohno (1), Minoru Takahashi (1), and Masayuki Hagiwara (2)
  ((1)Institute for Solid State Physics, University of Tokyo, (2)Institute of
  Physical and Chemical Research (RIKEN))","Low-temperature properties of the spin-1 antiferromagnetic Heisenberg
  chain with bond-alternation","18 pages, RevTex, 9 figures, Submitted to Phys.Rev.B",,"10.1103/PhysRevB.57.1046",,"cond-mat.stat-mech",,"  We investigate the low-temperature properties of the spin-1 antiferromagnetic
Heisenberg chain with bond-alternation by the quantum Monte Carlo method (loop
algorithm). The strength of bond-alternation at the gapless point is estimated
as $\delta_{c}=0.2595\pm0.0005$. We confirm numerically that the
low-temperature properties at the gapless point are consistent with field
theoretical predictions. The numerical results are compared with those of the
spin-1/2 antiferromagnetic Heisenberg chain and recent experimental results for
[\{Ni(333-tet)($\mu$-N$_3$)\}$_n$](ClO$_4$)$_n$ (333-tet=tetraamine
$N,N^{\prime}$-bis(3-aminopropyl)-1,3-propanediamine).
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 10:18:27 GMT""}]","2009-10-30"
"cond-mat/9709174","Sandro Sorella","C. Lavalle, S. Sorella and A. Parola","Anomalous finite size spectrum in the S=1/2 two dimensional Heisenberg
  model","4 pages, RevTeX + 5 encapsulated postscript figures",,"10.1103/PhysRevLett.80.1746",,"cond-mat",,"  We study the low energy spectrum of the nearest neighbor Heisenberg model on
a square lattice as a function of the total spin S. By quantum Monte Carlo
simulation we compute this spectrum for the s=1/2, s=1 and s=3/2 Heisenberg
models. We conclude that the nonlinear sigma model prediction for the low
energy spectrum is always verified for large enough system size. However the
crossover to the correct scaling regime is particularly slow just for the s=1/2
Heisenberg model. The possibility to detect this unexpected anomaly with finite
temperature experiments on s=1/2 isotropic quantum antiferromagnets is also
discussed.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 11:25:33 GMT""}]","2009-10-30"
"cond-mat/9709175","Andreas Mielke","Andreas Mielke (Theoretische Physik, Univ. Heidelberg, Germany)","Calculating critical temperatures of superconductivity from a
  renormalized Hamiltonian","6 pages, LaTeX, using EuroPhys.sty, one eps figure included, accepted
  for publication in Europhys. Lett",,"10.1209/epl/i1997-00445-5","HD-TVP-97-07","cond-mat.supr-con",,"  It is shown that one can obtain quantitatively accurate values for the
superconducting critical temperature within a Hamiltonian framework. This is
possible if one uses a renormalized Hamiltonian that contains an attractive
electron-electron interaction and renormalized single particle energies. It can
be obtained by similarity renormalization or using flow equations for
Hamiltonians. We calculate the critical temperature as a function of the
coupling using the standard BCS-theory. For small coupling we rederive the
McMillan formula for Tc. We compare our results with Eliashberg theory and with
experimental data from various materials. The theoretical results agree with
the experimental data within 10%. Renormalization theory of Hamiltonians
provides a promising way to investigate electron-phonon interactions in
strongly correlated systems.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 09:29:59 GMT""}]","2009-10-30"
"cond-mat/9709176","Enrico Carlon","Enrico Carlon (KU Leuven, Belgium) and Andrzej Drzewinski (Inst. for
  Low Temp. and Structure Research PAS, Wroclaw, Poland)","Critical point shift in a fluid confined between opposing walls","9 pages, RevTeX, 11 PostScript figures included. Minor corrections.
  Final version as published","Phys. Rev. E 57, 2626 (1998)","10.1103/PhysRevE.57.2626","KUL-TF-97/20","cond-mat.stat-mech",,"  The properties of a fluid, or Ising magnet, confined in a $L \times \infty$
geometry with opposing surface fields at the walls are studied by density
matrix renormalization techniques. In particular we focus on the effect of
gravity on the system, which is modeled by a bulk field whose strength varies
linearly with the distance from the walls. It is well known that in the absence
of gravity phase coexistence is restricted to temperatures below the wetting
temperature. We find that gravity restores phase coexistence up to the bulk
critical temperature, in agreement with previous mean field results. A detailed
study of the scaling to the critical point, as $L \to \infty$, is performed.
The temperature shift scales as $1/L^{y_T}$, while the gravitational constant
scales as $1/L^{1+y_H}$, with $y_T$ and $y_H$ the bulk thermal and magnetic
exponents respectively. For weak surface fields and $L$ not too large, we also
observe a regime where the gravitational constant scales as $1/L^{1+y_H -
\Delta_1 y_T}$ ($\Delta_1$ is the surface gap exponent) with a crossover, for
sufficiently large $L$, to a scaling of type $1/L^{1+y_H}$.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 10:20:10 GMT""},{""version"":""v2"",""created"":""Sat, 28 Mar 1998 17:29:15 GMT""}]","2009-10-30"
"cond-mat/9709177","Holger Stark","Holger Stark (University of Stuttgart, Germany)","Radiative Transfer Theory and Diffusion of Light in Nematic Liquid
  Crystals","16 pages, Latex, to be published in Proceedings of VIIth
  International Topical Meeting on Optics of Liquid Crystals, Mol. Cryst. Liq.
  Cryst",,,,"cond-mat.soft",,"  In nematic liquid crystals light is strongly scattered from director
fluctuations. We are interested in the limit where the incoming light wave is
scattered many times. Then, the light transport can be described by a diffusion
equation for the energy density of light with diffusion constants $D_{\|}$ and
$D_{\perp}$, respectively, parallel and perpendicular to the director. We start
from a radiative transfer theory, connect the diffusion constants to the
dynamic structure factor of director fluctuations, and shortly discuss our
results. Temporal correlations of the diffusing light probe the dynamics of
director modes on much shorter time scales than single light scattering
experiments. To account for the decaying temporal correlations, one has to add
an absorption term to the diffusion equation, which we also link to the dynamic
structure factor.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 12:10:06 GMT""}]","2008-02-03"
"cond-mat/9709178","Satyajit Banerjee","S. S. Banerjee, et al. (TIFR, Mumbai, India and others)","Effect of Diorder on the Peak Effect and Structure of Flux Line Lattice
  in 2H-NbSe2","6 Pages of text and figures",,,,"cond-mat.supr-con",,"  The effect of disorder on flux line lattice (FLL) melting is studied via the
Peak Effect phenomenon. On the upper branch of the Peak Effect curve, where
this effect is more robust, we observe a stepwise disordering of the FLL,
suggesting two first order transition spanning the Peak Effect region. The
lower part of the curve is found to be strongly affected by disorder. Both the
branch and the ""nose"", i.e., the turnaround of the curve, dissapear in systems
with stronger disorder and the observed results are consitent with the line
seperating a disentangled liquid or a glass from an entangled flux liquid.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 12:43:07 GMT""}]","2008-02-03"
"cond-mat/9709179","Kabanov V. V.","V. L. Aksenov, V. V. Kabanov","Electron-Phonon Interaction and Raman Linewidth in Superconducting
  Fullerides","13 pages, 1 postscript figure",,"10.1103/PhysRevB.57.608",,"cond-mat.supr-con",,"  We propose a microscopic theory of interaction of long wave molecular phonons
with electrons in fullerides in the presence of disorder. Phonon relaxation
rate and frequency renormalization are discussed. Finite electronic bandwidth
reduces phonon relaxation rate at $q=0$. Electron-phonon coupling constants
with molecular modes in fullerides are estimated. The results are in good
agreement with photoemission experiments.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 12:53:08 GMT""}]","2009-10-30"
"cond-mat/9709180","Valentina Fazio","V. S. U. Fazio, L. Komitov and S. T. Lagerwall","Alignment of nematic liquid crystals on mixed Langmuir-Blodgett
  mono-layers","9 pages, LaTeX2e article, 8 figures, 11 EPS files, submitted to Thin
  Solid Films","Thin Solid Films, 327-329 (1998) 681","10.1016/S0040-6090(98)00740-8",,"cond-mat.soft",,"  Mono-layers of stearic and behenic acids and mixtures of them in different
proportions, deposited with the Langmuir-Blodgett technique, were used to study
the alignment and the alignment dynamics in nematic liquid crystal cells. A
relaxation process from a splay-bend flow induced metastable orientation to the
homeotropic one occurs. The lifetime of the metastable state was found to
depend on the mono-layer composition. The transition between the homeotropic
and the conical anchoring was found to be irreversible in the case of the mixed
aligning mono-layers: on cooling from the isotropic phase a quasi-planar
nematic state (schlieren texture) appears. It is stable in a range of a few
degrees below the clearing point and, on decreasing the temperature, relaxes to
the homeotropic state in form of expanding domains.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 15:40:50 GMT""}]","2009-10-30"
"cond-mat/9709181","Bruce M. Boghosian","Andrew N. Emerton (Oxford), Florian W.J. Weig (Oxford), Peter V.
  Coveney (Schlumberger Cambridge Research), Bruce M. Boghosian (Boston
  University)","Shear-Induced Isotropic-to-Lamellar Transition in a Lattice-Gas Model of
  Ternary Amphiphilic Fluids","17 pages, LaTeX with epsf and REVTeX, PostScript and EPS
  illustrations included. To appear in J. Phys. Cond. Mat",,"10.1088/0953-8984/9/42/006","BU-CCS-970901","cond-mat.soft comp-gas nlin.CG",,"  Although shear-induced isotropic-to-lamellar transitions in ternary systems
of oil, water and surfactant have been observed experimentally and predicted
theoretically by simple models for some time now, their numerical simulation
has not been achieved so far. In this work we demonstrate that a recently
introduced hydrodynamic lattice-gas model of amphiphilic fluids is well suited
for this purpose: the two-dimensional version of this model does indeed exhibit
a shear-induced isotropic-to-lamellar phase transition.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 15:17:35 GMT""}]","2009-10-30"
"gr-qc/9709039","Robert Mann","R.B. Mann","Topological Black Holes -- Outside Looking In","35 pages, LaTeX, 15 figures",,,"WATPHYS TH-97/12","gr-qc",,"  I describe the general mathematical construction and physical picture of
topological black holes, which are black holes whose event horizons are
surfaces of non-trivial topology. The construction is carried out in an
arbitrary number of dimensions, and includes all known special cases which have
appeared before in the literature. I describe the basic features of massive
charged topological black holes in $(3+1)$ dimensions, from both an exterior
and interior point of view. To investigate their interiors, it is necessary to
understand the radiative falloff behaviour of a given massless field at late
times in the background of a topological black hole. I describe the results of
a numerical investigation of such behaviour for a conformally coupled scalar
field. Significant differences emerge between spherical and higher genus
topologies.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 16:13:37 GMT""}]","2007-05-23"
"gr-qc/9709040","Shin'ji Mukouyama","Shinji Mukohyama","State after quantum tunneling with gravity","31 pages, Latex file, Accepted for publication in Physical Review D","Phys.Rev.D56:7638-7649,1997","10.1103/PhysRevD.56.7638","YITP-97-23","gr-qc",,"  The Wheeler-DeWitt equation is investigated and used to examine a state after
a quantum tunneling with gravity. To make arguments definite we treat a
discretized version of the Wheeler-DeWitt equation and adopt the WKB method. We
expand an Euclidean wave function around an instanton, by using a deviation
equation of a vector field tangent to a congruence of instantons. The instanton
around which we expand the wave function corresponds to a so-called most
probable escape path (MPEP). It is shown that, when the wave function is
analytically continued, the corresponding state of physical perturbations is
equivalent to the vacuum state determined by positive-frequency mode functions
which satisfy appropriate boundary conditions. Thus a quantum field theory is
effective to investigate a state after a quantum tunneling with gravity. The
effective Lagrangian describing the field theory is obtained by simply reducing
the original Lagrangian to a subspace spanned by the physical perturbations.
The result of this paper does not depend on the operator ordering and can be
applied to all physical perturbations, including gravitational perturbations,
around a general MPEP.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 05:13:28 GMT""}]","2011-09-09"
"gr-qc/9709041",,"Elena Cuoco, Giuseppe Curci (Department of Physics, Pisa University),
  Matteo Beccaria (Department of Physics, Lecce University)","Adaptive Identification of VIRGO-like Noise Spectrum","5 pages of LaTeX file and figures (using epsfig) in uuencoded
  compressed tar PostScript files. Poster given at the ""Second Amaldi
  Conference on Gravitational Waves"" (CERN, 1-4 July 1997). To be published in
  the Proceedings (World Scientific, Singapore), eds. E. Coccia et al",,,,"gr-qc astro-ph",,"  The aim of this work is to show how it is possible to build an on line
whitening filter in an adaptive way. We have modeled the VIRGO noise spectrum
as an autoregressive stochastic process, after a pre-filtering of the
theoretical curve which flattens the low frequency part of the spectrum. We
have tested some very popular adaptive algorithms, based on the gradient
methods and on the least squares methods with a lattice structure filter.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 14:45:18 GMT""}]","2007-05-23"
"gr-qc/9709042","Osamu Iguchi","Osamu Iguchi, Akio Hosoya, and Tatsuhiko Koike","Renormalization Group Approach to Einstein Equation in Cosmology","16 pages including 2 eps figures, RevTex","Phys.Rev.D57:3340-3350,1998","10.1103/PhysRevD.57.3340","TIT/HEP-376/COSMO-84","gr-qc",,"  The renormalization group method has been adapted to the analysis of the
long-time behavior of non-linear partial differential equation and has
demonstrated its power in the study of critical phenomena of gravitational
collapse. In the present work we apply the renormalization group to the
Einstein equation in cosmology and carry out detailed analysis of
renormalization group flow in the vicinity of the scale invariant fixed point
in the spherically symmetric and inhomogeneous dust filled universe model.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 11:06:48 GMT""}]","2008-11-26"
"gr-qc/9709044","Carlo Baccigalupi","Carlo Baccigalupi, Luca Amendola, Pierluigi Fortini, Franco Occhionero","Stochastic gravitational background from inflationary phase transitions","12 pages, 3 figures. Phys.Rev.D in press","Phys.Rev.D56:4610-4617,1997","10.1103/PhysRevD.56.4610",,"gr-qc",,"  We consider true vacuum bubbles generated in a first order phase transition
occurring during the slow rolling era of a two field inflation: it is known
that gravitational waves are produced by the collision of such bubbles. We find
that the epoch of the phase transition strongly affects the characteristic peak
frequency of the gravitational waves, causing an observationally interesting
redshift in addition to the post-inflationary expansion. In particular it is
found that a phase transition occurring typically 10$\div$20 $e-$foldings
before the reheating at $kT\simeq 10^{15}$ GeV may be detected by the next Ligo
gravity waves interferometers. Moreover, for recently proposed models capable
of generating the observed large scale voids as remnants of the primordial
bubbles (for which the characteristic wave lengths are several tens of Mpc), it
is found that the level of anisotropy of the cosmic microwave background
provides a deep insight upon the physical parameters of the effective
Lagrangian.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 15:17:07 GMT""}]","2011-09-09"
"hep-ex/9709014","Jaroslav Cvach","J. Cvach","Photoproduction of hadrons at HERA","12 pages, Latex with 8 eps and ps figures. Talk presented at the
  Ringberg Workshop: New Trends in HERA Physics, Ringberg Castle, Germany, May
  1997",,,"PRA-HEP/97-13","hep-ex",,"  New experimental results from photoproduction of hadrons at HERA are
reviewed.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 09:01:57 GMT""}]","2007-05-23"
"hep-ex/9709015",,"UA8 Collaboration: A. Brandt, J.B. Cheze, S. Erhan, A. Kuzucu, M.
  Medinnis, N. Ozdes, P.E. Schlein, M.T. Zeyrek, J. Zsembery, J.G. Zweizig","Cross Section Measurements of Hard Diffraction at the SPS-Collider","20 pages, 5 Encapsulated Postscript figures, LaTex, Final Version,
  Physics Letters B (in Pess 1998)","Phys.Lett.B421:395-404,1998","10.1016/S0370-2693(97)01563-3",,"hep-ex hep-ph",,"  The UA8 experiment previously reported the observation of jets in diffractive
events containing leading protons (``hard diffraction''), which was interpreted
as evidence for the partonic structure of an exchanged Reggeon, believed to be
the Pomeron . In the present Letter, we report the final UA8 hard-diffractive
(jet) cross section results and their interpretation. After corrections, the
fraction of single diffractive events with mass from 118 to 189 GeV that have
two scattered partons, each with Et_jet > 8 GeV, is in the range 0.002 to 0.003
(depending on x_p). We determine the product, fK, of the fraction by which the
Pomeron's momentum sum rule is violated and the normalization constant of the
Pomeron-Flux-Factor of the proton. For a pure gluonic- or a pure qqbar-Pomeron
, respectively: fK = 0.30 +- 0.05 +- 0.09) and (0.56 +- 0.09 +- 0.17) GeV^-2.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 11:55:58 GMT""},{""version"":""v2"",""created"":""Tue, 6 Jan 1998 15:32:05 GMT""}]","2009-07-28"
"hep-ex/9709016","Thomas J. Phillips","CDF Collaboration","Properties of Jets in W Boson Events from 1.8 TeV pbar p Collisions","6 pages, 4 figures and a table in RevTeX. Requires epsf. Submitted to
  PRL","Phys.Rev.Lett.79:4760-4765,1997","10.1103/PhysRevLett.79.4760","FERMILAB-PUB-97/301-E","hep-ex",,"  We present a study of events with W bosons and hadronic jets produced in pbar
p collisions at a center of mass energy of 1.8 TeV. The data consist of 51400
W^+/- -> e^+/- nu decay candidates from 108 pb^-1 of integrated luminosity
collected with the CDF detector at the Tevatron Collider. The cross sections
and jet production properties have been measured for W + \geq 1 to \geq 4 jet
events. The data are compared to predictions of leading order QCD matrix
element calculations with added gluon radiation and simulated fragmentation.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 14:06:05 GMT""}]","2012-08-27"
"hep-lat/9709040","Federico Farchioni","F. Farchioni and V. Laliena","The fixed point action for the Schwinger model: a perturbative approach","34 pages, LaTeX, 8 figures, uses style [epsfig]","Nucl.Phys. B521 (1998) 337-364","10.1016/S0550-3213(98)00250-8","BUTP-97/24","hep-lat",,"  We compute the fixed point action of a properly defined renormalization group
transformation for the Schwinger model through an expansion in the gauge field.
It is local, with couplings exponentially suppressed with the distance. We
check its perfection by computing the 1-loop mass gap at finite spatial volume,
finding only exponentially vanishing cut off effects, in contrast with the
standard action, which is affected by large power-like cut off effects. We
point out that the 1-loop mass gap calculation provides a check of the
classical perfection of the fixed point action, and not of the 1-loop
perfection, as could be naively expected.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 17:00:22 GMT""}]","2009-10-30"
"hep-lat/9709042","Tamas Kovacs","Tamas G. Kovacs (University of Colorado), E.T. Tomboulis (UCLA)","Z(2) vortices and the string tension in SU(2) gauge theory","3 pages, LaTeX, 4 figures, uses espcrc2.sty, Talk given at LATTICE97","Nucl.Phys.Proc.Suppl. 63 (1998) 534-536","10.1016/S0920-5632(97)00825-6","COLO-HEP-386","hep-lat hep-th",,"  We exhibit the appropriate variables allowing the plus-minus (Z(2))
`reduction' of the Wilson loop operator which provides a direct measure of the
thin, thick and `mixed' Z(2) topological, gauge-invariant vortices in SU(2)
LGT. Simulations with the Wilson action, as well as a perfect action smoothing
procedure, show the string tension to be reproduced from the contributions of
these excitations.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 16:34:54 GMT""}]","2009-10-30"
"hep-lat/9709043",,"L. Conti","Heavy-Light Meson Decay Constants on the Lattice","3 pages, 2 ps figures; Talk presented at LATTICE '97","Nucl.Phys.Proc.Suppl. 63 (1998) 359-361","10.1016/S0920-5632(97)00769-X",,"hep-lat",,"  We present a high statistics study of the D- and B-meson decay constants. The
results were obtained by using the Clover and Wilson lattice actions at
$\beta=6.0$ and 6.2.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 20:09:47 GMT""}]","2016-09-01"
"hep-lat/9709044","Massimo","M. Testa","Non-Perturbative Renormalisation and Kaon Physics","8 pages, Latex, uses espcrc2.sty, Talk given at LATTICE97","Nucl.Phys.Proc.Suppl. 63 (1998) 38-46","10.1016/S0920-5632(97)00694-4",,"hep-lat hep-ph",,"  A general review is presented on the problem of non perturbative computation
of the $K\to\pi\pi$ transition amplitude.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 08:50:35 GMT""}]","2009-10-30"
"hep-lat/9709045","Peter Schmidt","P. Schmidt with E. Laermann","Finite Temperature Meson Masses with Improved Quenched Wilson Fermions","3 pages and 3 figures, latex",,,,"hep-lat",,"  We present recent results for meson screening masses with quenched Wilson
fermions above and below the confinement- deconfinement phase transition. The
action used in the simulation is the Sheikholeslami Wohlert action. The quark
masses are chosen to be in a range going from light quarks up to the mass of
the charm quark. These results are compared with zero temperature Wilson and
high temperature staggered data.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 11:40:34 GMT""}]","2007-05-23"
"hep-lat/9709046","Chris Allton","Chris R. Allton (Swansea) and Stefano Capitani (DESY)","QCD Sum Rules on the Lattice","Talk presented by C.R. Allton at LAT97, Edinburgh. 3 pages, uses
  espcrc2.sty","Nucl.Phys.Proc.Suppl. 63 (1998) 263-265","10.1016/S0920-5632(97)00740-8","SWAT/163","hep-lat",,"  We study the work of Leinweber by applying the Continuum Model of QCD Sum
Rules (QCDSR) to the analysis of (quenched) lattice correlation functions. We
expand upon his work in several areas and find that, while the QCDSR Continuum
Model very adequately fits lattice data, it does so only for non-physical
values of its parameters. The non-relativistic model is found to predict
essentially the same form for the correlation functions as the QCDSR Continuum
Model but without the latter's restrictions. By fitting lattice data to a
general form which includes the non-relativistic quark model as a special case,
we confirm it as the model of choice.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 11:03:57 GMT""}]","2009-10-30"
