"alg-geom/9706008","Klaus Altmann","Klaus Altmann and Lutz Hille","A Vanishing Result for the Universal Bundle on a Toric Quiver Variety","13 pages with a couple of small figures LaTeX 2.09",,,,"alg-geom math.AG",,"  Let Q be a finite quiver without oriented cycles. Denote by U --> M the fine
moduli space of stable thin sincere representations of Q with respect to the
canonical stability notion. We prove Ext^i(U,U) = 0 for all i >0 and compute
the endomorphism algebra of the universal bundle U. Moreover, we obtain a
necessary and sufficient condition for when this algebra is isomorphic to the
path algebra kQ of the quiver Q. If so, then the bounded derived category of
finitely generated right kQ-modules is embedded into that of coherent sheaves
on M.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 15:31:28 GMT""}]","2008-02-03"
"hep-ph/9706454","Bodo Lampe","Andreas Blumhofer (LMU Munich), Bodo Lampe (MPI Munich)","A low-energy compatible SU(4)-type Model for Vector Leptoquarks of Mass
  <= 1 TeV","20 pages, now including anomaly cancellation","Eur.Phys.J.C7:141-148,1999","10.1007/s100529900965","MPI-PHT-97-037","hep-ph",,"  The Standard Model is extended by a SU(2)L singlet of vector leptoquarks. An
additional SU(4) gauge symmetry between right-handed up quarks and right-handed
leptons is introduced to render the model renormalizable. The arrangement is
made in such a way that no conflict with low energy restrictions is
encountered. The SU(2)L singlet mediates interactions between the right-handed
leptons and up type quarks for which only moderate low energy restrictions
M(LQ)/g(LQ) > few hundred GeV exist. We cancel the anomalies of the model and
furthermore argue that the inequality g(LQ) > g(QCD) is a general feature of
consistent vector leptoquark models. Although our model is not relevant for
HERA, it is interesting per se as a description of leptoquarks of mass < 1 TeV
consistent with all low-energy requirements.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 09:46:47 GMT""},{""version"":""v2"",""created"":""Mon, 13 Jul 1998 18:58:28 GMT""}]","2008-11-26"
"hep-ph/9706455","Anna Stasto","J. Kwiecinski, A.D. Martin, A.Stasto","A unified BFKL/DGLAP description of Deep Inelastic Scattering","5 pages, LaTeX, using aipproc.sty, 3 eps figures, talk given by R.G.
  Roberts at the International Conference on Deep Inelastic Scattering,
  Chicago, April 1997",,"10.1063/1.53594",,"hep-ph",,"  We introduce a coupled pair of evolution equations for the unintegrated gluon
distribution and the sea quark distribution which incorporate both the resummed
leading $\ln (1/x)$ BFKL contributions and the resummed leading $\ln (Q^2)$
DGLAP contributions. We solve these unified equations in the perturbative QCD
domain. With only two physically motivated parameters we obtain an excellent
description of the HERA $F_2$ data.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 11:41:36 GMT""}]","2009-10-30"
"hep-ph/9706456","Alessandro Bravar","A. Bravar, D. von Harrach, and A. Kotzinian","Gluon Polarization from Correlated High-p_T Hadron Pairs in Polarized l
  - N Scattering","6 pages, 3 eps figures, aipproc.cls and aipproc.sty included",,"10.1063/1.53683",,"hep-ph",,"  We propose to access the gluon polarization $\Delta G$ by measuring the cross
section spin-asymmetry in semi-inclusive polarized lepton -- nucleon
scattering. The photon-gluon fusion sub-process will be tagged by detecting
high-$p_T$ correlated hadron pairs in the forward hemisphere. Selecting
oppositely charged kaon pairs will allow to suppress the background coming from
gluon radiation.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 12:36:27 GMT""}]","2009-10-30"
"hep-ph/9706457","Martin Beneke","M. Beneke (CERN)","Renormalon Phenomenology: Questions and Directions","8 pages, LaTeX (To appear in the Proceedings of the Fifth
  International Workshop on `Deep Inelastic Scattering and QCD' (DIS'97),
  Chicago, IL, April 1997)",,"10.1063/1.53696","CERN-TH/97-134","hep-ph",,"  A qualitative (and selective) discussion of current activities and problems
in the field is given.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 14:19:57 GMT""}]","2009-10-30"
"hep-ph/9706458","Arthur Hebecker","A. Hebecker","Semiclassical Calculation of Diffractive Parton Densities","4 pages LaTeX, 1 figure, Talk presented at the 5th International
  Workshop on Deep Inelastic Scattering and QCD, Chicago, Illinois, USA, April
  14-18, 1997",,"10.1063/1.53625",,"hep-ph",,"  In this talk the relation between the semiclassical approach and the concept
of diffractive parton densities is discussed. The proton rest frame calculation
is organized in a way that exhibits the hard partonic cross section and the
diffractive parton density as the two fundamental ingredients. The latter one
is a non-perturbative quantity which, in the present model, is explicitly given
by integrals of non-Abelian eikonal factors in the colour background field.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 15:17:44 GMT""}]","2009-10-30"
"hep-ph/9706459","Richard D. Ball","Richard D. Ball and Stefano Forte","Asymptotic Freedom at Small x","7 pages, LaTeX, 2 figures in postscript, talk at DIS97",,"10.1063/1.53691","DFTT 37/97, Edinburgh 97/7, UB-ECM-PF 97/09","hep-ph",,"  We describe how perturbative QCD may be applied to inelastic e-p scattering
at high center-of-mass energies, i.e. at small x and fixed Q^2.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 15:27:48 GMT""}]","2009-10-30"
"hep-ph/9706460","Ralph Engel","F.W. Bopp (Univ. Siegen), R. Engel (DESY Hamburg and Univ. Siegen), J.
  Ranft (INFN Gran Sasso) and A. Rostovtsev (ITEP Moscow)","Multiparticle production in high-mass diffraction dissociation and the
  interplay of photons and pomerons","LaTeX, 5 pages, 6 ps-figs, sprocl.sty, talk given by R. Engel at at
  PHOTON'97, Egmond aan Zee, The Netherlands, May 10 - 15, 1997",,,"SI-97-10","hep-ph",,"  Multiple interaction models satisfying $s$-channel unitarity predict that, in
contrast to inelastic processes, factorization is violated in diffractive
processes. The size of this effect can be characterized in terms of the
rapidity gap survival probability. The possibility of its measurement at HERA
is pointed out. Furthermore a method to measure photon diffraction dissociation
at LEP2 and planned linear colliders is discussed and cross section predictions
are given.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 13:48:29 GMT""}]","2007-05-23"
"hep-ph/9706461","Teruaki Watabe","Teruaki Watabe and Klaus Goeke","Nucleon described by the chiral soliton in the chiral quark soliton
  model","A talk given in the international conference on ""Quark Lepton Nuclear
  Physics"" in Osaka, Japan from May 20 to 23 in 1997. Proceedings will be
  published in Nuclear Physics A. (5 pages + figures)","Nucl.Phys. A629 (1998) 152c-155c","10.1016/S0375-9474(97)00679-9",,"hep-ph",,"  We give a survey of recent development and applications of the chiral quark
soliton model (also called the Nambu-Jona-Lasinio soliton model) with $N_f$=2
and $N_f$=3 quark flavors for the structure of baryons. The model is an
effective chiral quark model obtained from the instanton liquid model of the
quantum chromodynamics. Mesons appear as quark-antiquark excitations and
baryons arise as non-topological solitons with three valence quarks and a
polarized Dirac sea. In this model, a wide variety of observables of baryons is
considered.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 13:49:53 GMT""}]","2009-10-30"
"hep-ph/9706462","Matthias Steinhauser","K.G. Chetyrkin and M. Steinhauser (MPI Munich)","Complete QCD Corrections of Order O(\alpha_s^3) to the Hadronic Higgs
  Decay","8 pages (Latex), 4 figures (Postscript), to be published in Phys.
  Lett. B","Phys.Lett.B408:320-324,1997","10.1016/S0370-2693(97)00779-X","MPI/PhT/97-032","hep-ph",,"  We consider the decay of an intermediate mass Higgs boson into hadrons up to
order O(\alpha_s^3). The results from the diagrams containing only light
degrees of freedom were recently computed in a previous work by K.G. Ch. (Phys.
Lett. B 390 (1997) 309). In this letter the remaining contributions involving
the top quark are evaluated analytically using an effective field theory
approach. Coupled with the previous result the present calculation determines
the complete next-next-to-leading order correction to the hadronic decay rate
of an intermediate mass Higgs boson.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 15:30:39 GMT""}]","2011-01-13"
"hep-ph/9706463","Yakov Azimov","Ya. Azimov (PNPI, St.Petersburg, Russia)","CP-violating Parameters for Neutral B-mesons and Their Complete
  Measurement","5 pages, no figures, uses sprocl.sty. Talk at the 2nd International
  Conference on B Physics and CP Violation, Honolulu, Hawaii, March 24-27, 1997
  (to be published in the Proceedings). Misprints have been corrected",,"10.1142/9789814503952_0046",,"hep-ph",,"  Phenomenological CP-violating parameters in decays of neutral B-mesons are
discussed with special attention to the degree of their measurability.
Important role of the sign of \Delta m_B is emphasized. We briefly describe how
it could be determined experimentally.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 12:11:37 GMT""},{""version"":""v2"",""created"":""Mon, 30 Jun 1997 08:03:17 GMT""}]","2016-11-03"
"hep-th/9706151","Samir Mathur","Samir D. Mathur","Emission rates, the Correspondence Principle and the Information Paradox","harvmac, 28 pages","Nucl.Phys. B529 (1998) 295-320","10.1016/S0550-3213(98)00336-8","MIT-CTP-2650","hep-th",,"  When we vary the moduli of a compactification it may become entropically
favourable at some point for a state of branes and strings to rearrange itself
into a new configuration. We observe that for the elementary string with two
large charges such a rearrangement happens at the `correspondence point' where
the string becomes a black hole. For smaller couplings it is entropically
favourable for the excitations to be vibrations of the string, while for larger
couplings the favoured excitations are pairs of solitonic 5-branes attached to
the string; this helps resolve some recently noted difficulties with matching
emission properties of the string to emission properties of the black hole. We
also examine the change of state when a black hole is placed in a spacetime
with an additional compact direction, and the size of this direction is varied.
These studies suggest a mechanism that might help resolve the information
paradox.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 04:54:29 GMT""}]","2009-10-30"
"hep-th/9706152","Alexey A. Deriglazov","A.A. Deriglazov and A.V. Galajinsky","On possible generalization of the superstring action to eleven
  dimensions","23 pages, RevTex file, to be published in Phys. Rev. D",,"10.1103/PhysRevD.58.046005",,"hep-th",,"  We suggest a D=11 super Poincar\'e invariant action for the superstring which
has free dynamics in the physical variables sector. Instead of the standard
approach based on the searching for an action with local $\kappa$-symmetry (or,
equivalently, with corresponding first class constraints), we propose a theory
with fermionic constraints of second class only. Then the $\kappa$-symmetry and
the well known $\Gamma$-matrix identities are not necessary for the
construction. Thus, at the classical level, the superstring action of the type
described can exist in any spacetime dimensions and the known brane-scan can be
revisited.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 02:07:44 GMT""},{""version"":""v2"",""created"":""Thu, 28 May 1998 16:33:18 GMT""}]","2016-09-06"
"hep-th/9706153","Nobuyoshi Ohta","Nobuyoshi Ohta and Jian-Ge Zhou","Towards the Classification of Non-Marginal Bound States of M-branes and
  Their Construction Rules","Latex, 37 pages","Int.J.Mod.Phys. A13 (1998) 2013-2046","10.1142/S0217751X98000895","OU-HET 267","hep-th",,"  We present a systematic analysis of possible bound states of M-brane
solutions (including waves and monopoles) by using the solution generating
technique of reduction of M-brane to 10 dimensions, use of T-duality and then
lifting back to 11 dimensions. We summarize a list of bound states for one- and
two-charge cases including tilted brane solutions. Construction rules for these
non-marginal solutions are also discussed.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 07:45:46 GMT""}]","2009-10-30"
"hep-th/9706154","Won Tae Kim","Won Tae Kim and Myung Seok Yoon","Graceful exit problem and stress-energy-momentum tensors revisited in
  the two-dimensional string cosmology","14 pages, revtex, 1 figure, some erraneous equations and
  misunderstood expressions are corrected","Phys.Lett. B423 (1998) 231-237","10.1016/S0370-2693(98)00164-6","SOGANG-HEP 221/97","hep-th",,"  We study the graceful exit problem and the role of the stress-energy-momentum
tensors in the two-dimensional string cosmology. The one-loop quantum
correction of conformal fields is incorporated in the arbitrary large $N$ limit
to ensure exact quantum solvability. The only solution which gives the bounded
curvature with the asymptotic flatness is restricted to the first branch under
some conditions. However, even in this case, the accelerating expansion is
forever. We show that the only nonvanishing quantum stress-momentum tensor is
the pressure part($T_{xx}$) which is of relevance to the dynamical evolution of
the universe in the comoving coordinate. The quantum energy part is zero since
the negative contribution of the induced conformal matters always cancels the
positive quantity of the induced dilaton part in terms of the constraint
equation.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 08:01:50 GMT""},{""version"":""v2"",""created"":""Fri, 14 Nov 1997 07:23:11 GMT""}]","2009-10-30"
"hep-th/9706155","Clifford V. Johnson","Clifford V. Johnson","From M-theory to F-theory, with Branes","20 pages, harvmac.tex (b), epsf.tex for decoration (Two references
  added. Fixed a few comments.)","Nucl.Phys. B507 (1997) 227-244","10.1016/S0550-3213(97)00550-6","UK/97-13","hep-th",,"  A duality relationship between certain brane configurations in type IIA and
type IIB string theory is explored by exploiting the geometrical origins of
each theory in M-theory. The configurations are dual ways of realising the
non-perturbative dynamics of a four dimensional N=2 supersymmetric SU(2) gauge
theory with four or fewer favours of fermions in the fundamental, and the
spectral curve which organizes these dynamics plays a prominent role in each
case. This is an illustration of how non-trivial F-theory backgrounds follow
from M-theory ones, hopefully demystifying somewhat the origins of the former.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 08:39:39 GMT""},{""version"":""v2"",""created"":""Sun, 29 Jun 1997 22:21:10 GMT""}]","2009-10-30"
"hep-th/9706156","George Leontaris","E.G. Floratos, G.K. Leontaris","Uncertainty relation and non-dispersive states in Finite Quantum
  Mechanics","Latex file, 16pages, 3 ps-figures, version to appear in Phys.Lett.B","Phys.Lett. B412 (1997) 35-41","10.1016/S0370-2693(97)01061-7",,"hep-th quant-ph",,"  In this letter, we provide evidence for a classical sector of states in the
Hilbert space of Finite Quantum Mechanics (FQM). We construct a subset of
states whose the minimum bound of position -momentum uncertainty (equivalent to
an effective $\hbar$) vanishes. The classical regime, contrary to standard
Quantum Mechanical Systems of particles and fields, but also of strings and
branes appears in short distances of the order of the lattice spacing. {}For
linear quantum maps of long periods, we observe that time evolution leads to
fast decorrelation of the wave packets, phenomenon similar to the behavior of
wave packets in t' Hooft and Susskind holographic picture. Moreoever, we
construct explicitly a non - dispersive basis of states in accordance with t'
Hooft's arguments about the deterministic behavior of FQM.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 10:06:08 GMT""},{""version"":""v2"",""created"":""Fri, 22 Aug 1997 08:49:02 GMT""}]","2009-10-30"
"hep-th/9706157","Daniele Amati","Daniele Amati (SISSA)","Black holes, string theory and quantum coherence",,,,,"hep-th gr-qc",,"  On the basis of recently discovered connections between D-branes and black
holes, I show how the information puzzle is solved by superstring theory as the
fundamental theory of quantum gravity. The picture that emerges is that a
well-defined quantum state does not give rise to a black hole even if the
apparent distribution of energy, momenta, charges, etc. would predict one on
classical grounds. Indeed, geometry - general relativistic space time
description - is unwarranted at the quantum microstate level. It is the
decoherence leading to macrostates (average over degenerate microstates) that
provides - on the same token - the loss of quantum coherence, the emergence of
a space time description with causal properties and, thus, the formation of a
black hole and its Hawking evaporation
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 13:26:29 GMT""},{""version"":""v2"",""created"":""Fri, 28 Aug 1998 16:14:20 GMT""}]","2008-02-03"
"nucl-th/9706051","Boris Blankleider","A. N. Kvinikhidze, B. Blankleider (Flinders University)","Gauging the spectator equations","17 pages, REVTeX, epsf, 1 Postscript figure","Phys.Rev.C56:2963-2972,1997","10.1103/PhysRevC.56.2963",,"nucl-th",,"  We show how to derive relativistic, unitary, gauge invariant, and charge
conserving three-dimensional scattering equations for a system of hadrons
interacting with an electromagnetic field. In the method proposed, the
spectator equations describing the strong interactions of the hadrons are
gauged using our recently introduced gauging of equations method. A key
ingredient in our model is the on-mass-shell particle propagator. We discuss
how to gauge this on-mass-shell propagator so that both the Ward-Takahashi and
Ward identities are satisfied. We then demonstrate our gauging procedure by
deriving the gauge-invariant three-dimensional expression for the deuteron
photodisintegration amplitude within the spectator approach.
","[{""version"":""v1"",""created"":""Sun, 22 Jun 1997 19:15:24 GMT""},{""version"":""v2"",""created"":""Tue, 24 Jun 1997 03:41:23 GMT""}]","2008-11-26"
"nucl-th/9706052","Boris Blankleider","A. N. Kvinikhidze, B. Blankleider (Flinders University)","Gauging the three-nucleon spectator equation","23 pages, REVTeX, epsf, 4 Postscript figures","Phys.Rev.C56:2973-2986,1997","10.1103/PhysRevC.56.2973",,"nucl-th",,"  We derive relativistic three-dimensional integral equations describing the
interaction of the three-nucleon system with an external electromagnetic field.
Our equations are unitary, gauge invariant, and they conserve charge. This has
been achieved by applying the recently introduced gauging of equations method
to the three-nucleon spectator equations where spectator nucleons are always on
mass shell. As a result, the external photon is attached to all possible places
in the strong interaction model, so that current and charge conservation are
implemented in the theoretically correct fashion. Explicit expressions are
given for the three-nucleon bound state electromagnetic current, as well as the
transition currents for the scattering processes
  \gamma He3 -> NNN, Nd -> \gamma Nd, and \gamma He3 -> Nd. As a result, a
unified covariant three-dimensional description of the NNN-\gamma NNN system is
achieved.
","[{""version"":""v1"",""created"":""Sun, 22 Jun 1997 20:17:15 GMT""}]","2016-09-08"
"nucl-th/9706053",,"Dimitri Kusnezov (Yale University)","Incompleteness of Representation Theory: Hidden symmetries and Quantum
  Non-Integrability","4 pages, Revtex, Phys. Rev. Lett. , July 27 (1997), in press","Phys.Rev.Lett. 79 (1997) 537-540","10.1103/PhysRevLett.79.537",,"nucl-th cond-mat.stat-mech hep-th nlin.SI solv-int",,"  Representation theory is shown to be incomplete in terms of enumerating all
integrable limits of quantum systems. As a consequence, one can find exactly
solvable Hamiltonians which have apparently strongly broken symmetry. The
number of these hidden symmetries depends upon the realization of the
Hamiltonian.
","[{""version"":""v1"",""created"":""Sun, 22 Jun 1997 23:08:28 GMT""}]","2009-10-30"
"nucl-th/9706054","Huett","M.-Th. Huett, A. I. Milstein","Meson-induced correlations of nucleons in nuclear Compton scattering","15 pages, Latex, epsf.sty, 9 eps figures.","Phys.Rev.C57:305-311,1998","10.1103/PhysRevC.57.305","Budker INP 97-53","nucl-th",,"  The non-resonant (seagull) contribution to the nuclear Compton amplitude at
low energies is strongly influenced by nucleon correlations arising from meson
exchange. We study this problem in a modified Fermi gas model, where nuclear
correlation functions are obtained with the help of perturbation theory. The
dependence of the mesonic seagull amplitude on the nuclear radius is
investigated and the influence of a realistic nuclear density on this amplitude
is dicussed. We found that different form factors appear for the static part
(proportional to the enhancement constant $\kappa $) of the mesonic seagull
amplitude and for the parts, which contain the contribution from
electromagnetic polarizabilities.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 12:32:08 GMT""}]","2008-11-26"
"nucl-th/9706055","Krzysztof Pomorski","K. Pomorski, K. Dietrich, W. Przystupa, J. Bartel and J. Richert","Decay of hot, rotating, compound nuclei","Contributions to the conference ""Advances in Nuclear Physics and
  Related Areas"", Thessaloniki 8-12 July 1997, 10 pages in latex",,,,"nucl-th",,"  The fusion process and the competition between fission and n, p and
alpha-particle emission is studied. The calculations are performed for nuclei
at excitation energies from 80 MeV up to about 300 MeV. The nuclear fission is
described by a Langevin equation coupled to the Master equation for particle
evaporation. A significant influence of the initial spin distribution on the
prescission particles multiplicities is found.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 13:15:48 GMT""}]","2007-05-23"
"q-alg/9706029","Gustav W. Delius","Gustav W. Delius, Christopher Gardner, Mark D. Gould","The structure of quantum Lie algebras for the classical series B_l, C_l
  and D_l","25 pages, amslatex, eepic. Final version for publication in J. Phys.
  A. Minor misprints in eqs. 5.11 and 5.12 corrected","J. Phys. A: Math. Gen. 31 1995-2019","10.1088/0305-4470/31/8/012",,"q-alg math.QA",,"  The structure constants of quantum Lie algebras depend on a quantum
deformation parameter q and they reduce to the classical structure constants of
a Lie algebra at $q=1$. We explain the relationship between the structure
constants of quantum Lie algebras and quantum Clebsch-Gordan coefficients for
adjoint x adjoint ---> adjoint. We present a practical method for the
determination of these quantum Clebsch-Gordan coefficients and are thus able to
give explicit expressions for the structure constants of the quantum Lie
algebras associated to the classical Lie algebras B_l, C_l and D_l.
  In the quantum case also the structure constants of the Cartan subalgebra are
non-zero and we observe that they are determined in terms of the simple quantum
roots. We introduce an invariant Killing form on the quantum Lie algebras and
find that it takes values which are simple q-deformations of the classical
ones.
","[{""version"":""v1"",""created"":""Sun, 22 Jun 1997 19:35:30 GMT""},{""version"":""v2"",""created"":""Tue, 9 Dec 1997 10:53:41 GMT""}]","2009-10-30"
"q-alg/9706030","Shun-Jen Cheng","Shun-Jen Cheng, Victor Kac","Conformal Modules","19 pages, plain TeX, no figures, original version published in Asian
  J. Math",,,,"q-alg math.QA",,"  In this paper we study a class of modules over infinite-dimensional Lie
(super)algebras, which we call conformal modules. In particular we classify and
construct explicitly all irreducible conformal modules over the Virasoro and
the N=1 Neveu-Schwarz algebras, and over the current algebras.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 04:44:36 GMT""},{""version"":""v2"",""created"":""Fri, 12 Sep 1997 16:20:16 GMT""}]","2009-09-25"
