"alg-geom/9706011","Donu Arapura","Donu Arapura and Madhav Nori","Solvable fundamental groups of algebraic varieties and K\""ahler
  manifolds","16 pages, latex2e",,,,"alg-geom math.AG",,"  This is a long overdue write up of the following: If the fundamental group of
a normal complex algebraic variety (respectively Zariski open subset of a
compact K\""ahler manifold) is a solvable group of matrices over Q (respectively
polycyclic group), then it is virtually nilpotent. This should be interpreted
as saying that a large class of solvable groups will not occur as fundamental
groups of such spaces. The essential strategy is to first ""complete"" these
groups to algebraic groups (generalizing constructions of Malcev and Mostow),
and then check that the identity component is unipotent. This is done by Galois
theoretic methods in the algebraic case, and is reduced to homological
properties of one dimensional characters in the analytic case.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 22:12:48 GMT""},{""version"":""v2"",""created"":""Wed, 25 Jun 1997 02:51:23 GMT""}]","2016-08-30"
"gr-qc/9706076","Arkadiusz Blaut","Arkadiusz Blaut, Jerzy Kowalski-Glikman","Solutions of Quantum Gravity Coupled to the Scalar Field","8 pages, LaTeX","Phys.Lett. B406 (1997) 33-36","10.1016/S0370-2693(97)00665-5",,"gr-qc",,"  We consider the Wheeler-De Witt equation for canonical quantum gravity
coupled to massless scalar field. After regularizing and renormalizing this
equation, we find a one-parameter class of its solutions.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 13:45:26 GMT""}]","2009-10-30"
"hep-ex/9706018","Laurel E. Sinclair","Laurel E. Sinclair","Recent Results from the study of QCD and Jets at HERA","8 pages, 11 figures, to appear in the proceedings of the Lake Louise
  Winter Institute, February 1997",,,"GLAS-PPE/97-01","hep-ex",,"  The HERA experiments H1 and ZEUS have recently presented a number of
interesting results from studies of the hadronic final state produced in $ep$
collisions. These studies have focussed on deep inelastic scattering events and
on the photoproduction of jets, and also on the comparison of the final states
produced in these two regimes. Some of these results are reviewed here.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 18:41:04 GMT""}]","2007-05-23"
"hep-ex/9706019","Preprints Libr/pam","G. Brandenburg, et al. (CLEO Collaboration)","A New Measurement of $B\to D^{*}\pi$ Branching Fractions","12 page postscript file, postscript file also available through
  http://w4.lns.cornell.edu/public/CLNS","Phys.Rev.Lett.80:2762-2766,1998","10.1103/PhysRevLett.80.2762","CLNS 97/1485, CLEO 97-11","hep-ex",,"  The decays Upsilon(4S) -> BB, followed by B -> D* pi and D* -> D pi, permit
reconstruction of all kinematic quantities that describe the sequence without
reconstruction of the D, with reasonably low backgrounds. Using an integrated
e+e- luminosity of 3.1 fb^{-1} accumulated at the Upsilon(4S) by the CLEO-II
detector, we report measurements of BR(B0 -> D*+ pi-) = (2.81 +/- 0.11 +/- 0.21
+/- 0.05) x 10^{-3} and BR(B- -> D*0 pi-) = (4.34 +/- 0.33 +/- 0.34 +/- 0.18) x
10^{-3}.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 12:44:44 GMT""},{""version"":""v2"",""created"":""Mon, 1 Dec 1997 14:24:38 GMT""},{""version"":""v3"",""created"":""Thu, 12 Mar 1998 20:13:59 GMT""}]","2010-04-08"
"hep-ex/9706020","Preprints Libr/pam","CLEO Collaboration, T. Bergfeld et al","First Observation of $\tau\to 3\pi\eta\nu_{\tau}$ and $\tau\to
  f_{1}\pi\nu_{\tau}$ Decays","11 page postscript file, postscript file also available through
  http://w4.lns.cornell.edu/public/CLNS","Phys.Rev.Lett.79:2406-2410,1997","10.1103/PhysRevLett.79.2406","CLNS 97/1489, CLEO 97-13","hep-ex",,"  We have observed new channels for $\tau$ decays with an $\eta$ in the final
state. We study 3-prong tau decays, using the $\eta\to\gamma\gamma$ and
$\eta\to 3\piz$ decay modes and 1-prong decays with two $\piz$'s using the
$\eta\to\gamma\gamma$ channel. The measured branching fractions are
$\B(\tau^{-}\to \pi^{-}\pi^{-}\pi^{+}\eta\nu_{\tau})
  =(3.4^{+0.6}_{-0.5}\pm0.6)\times10^{-4}$ and $\B(\tau^{-}\to
\pi^{-}2\piz\eta\nu_{\tau}
  =(1.4\pm0.6\pm0.3)\times10^{-4}$. We observe clear evidence for
$f_1\to\eta\pi\pi$ substructure and measure $\B(\tau^{-}\to
f_1\pi^{-}\nu_{\tau})=(5.8^{+1.4}_{-1.3}\pm1.8)\times10^{-4}$. We have also
searched for $\eta'(958)$ production and obtain 90% CL upper limits
$\B(\tau^{-}\to \pi^{-}\eta'\nu_\tau)<7.4\times10^{-5}$ and $\B(\tau^{-}\to
\pi^{-}\piz\eta'\nu_\tau)<8.0\times10^{-5}$.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 13:21:35 GMT""}]","2010-04-08"
"hep-ex/9706021","Eva Maria Kabuss","Eva-Maria Kabuss (Univ. Mainz, Germany)","Asymmetries from Semi-inclusive Polarized Deep Inelastic Scattering","5 pages, LaTex Contribution to the working group IV of DIS97,
  Chicago, April 1997, Proccedings to be published by AIP",,"10.1063/1.53728",,"hep-ex hep-ph",,"  The analysis of semi-inclusive data from deep inelastic scattering of
polarized muons off polarized protons and deuterons by the SMC is presented.
The resulting charged hadron asymmetries are used to determine polarized
valence and sea quark distributions and their contributions to the nucleon
spin. In addition, a new approach to derive inclusive asymmetries is discussed.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 14:34:44 GMT""}]","2009-10-30"
"hep-ph/9706489","Bodo Lampe","B. Grzadkowski, B. Lampe and K.J. Abraham","CP Violation, Top Quarks and the Tevatron Upgrade","15 pages Latex file and 2 eps-Figures","Phys.Lett.B415:193-199,1997","10.1016/S0370-2693(97)01241-0","UW-IFT-05/97,MPI-PhT/97-33","hep-ph",,"  In order to observe a signal of possible CP violation in top-quark couplings,
we study top-quark production and decay under the conditions of the Tevatron
upgrade. Transverse energy asymmetries sensitive to CP violation are defined.
Applying the recently proposed optimal method, we calculate the statistical
significance for the direct observation of CP violation in the production and
subsequent decay of top quarks.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 17:31:55 GMT""}]","2014-11-17"
"hep-ph/9706490","Michael A. Doncheski","M. A. Doncheski and R. W. Robinett","Closing the window on the axigluon mass using top quark production data","9 pages, LaTeX, 2 separate postscript files","Phys.Lett. B412 (1997) 91-94","10.1016/S0370-2693(97)01065-4","PSU/TH/184","hep-ph",,"  The contribution of axigluons (the massive color-octet gauge bosons in all
chiral color models) to top quark pair production in hadronic collisions is
considered. The agreement between the experimental values of the ttbar
production cross-section at the TEVATRON and recent QCD predictions is used to
discuss limits on the axigluon mass. Specifically,intermediate mass axigluons,
those in the mass range 50 GeV < M_A < 120 GeV which has not already been
excluded, would increase the tree-level qqbar -> ttbar cross-section by a
factor of >= 2, thereby increasing the theoretical predictions for
sigma_{ttbar} by Delta sigma_{ttbar} = 3.2-3.7 pb (2.7-3.1 pb) using
leading-order (next-to-leading order) parton distributions over this mass
range, independent of the axigluon decay width. Such an increase is roughly
1.3-1.6 (0.9-1.2) standard deviations larger than that suggested by the
apparent good agreement between combined experimental results and recent
theoretical calculations and so is not ruled out, but is definitely disfavored.
Future high-statistics top-quark production runs will likely make a more
definitive statement. The forward-backward asymmetry in ttbar production
induced by axigluons in this mass window is also discussed and found to be
quite large and so could provide another constraint.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 18:58:41 GMT""}]","2009-10-30"
"hep-ph/9706491",,"Anatoly D. Adamov and Gary R. Goldstein (Tufts University)","Fragmentation Functions For Baryons in a Quark-Diquark Model","18 pages Latex2e and 8 PostScript figures. Uses revtex.sty,
  revtex.cls, aps.sty, aps12.sty, prabib.sty. Submitted to Phys. Rev.D","Phys.Rev. D56 (1997) 7381-7391","10.1103/PhysRevD.56.7381","TUFTS TH-97-G01","hep-ph",,"  A perturbative QCD calculation of heavy flavor quark fragmentation into heavy
flavor baryons is developed along the lines of corresponding heavy meson
models. The non-perturbative formation of the baryon is accomplished by
implementing the quark-diquark model of the baryons. Diquark color form factors
are used to enable the integration over the virtual heavy quark momentum. The
resulting spin independent functions for charmed and bottom quarks to fragment
into charmed and bottom baryons with spin 1/2 and 3/2 are compared with recent
data. Predictions are made for the spin dependent fragmentation functions as
well, particularly for the functions $\hat{g}_1$ and $\hat{h}_1$ in the case of
spin 1/2 baryons.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 20:02:04 GMT""}]","2009-10-30"
"hep-ph/9706492",,"Anatoly V. Radyushkin","Asymmetric Parton Distributions","4 pages, to be published in the Proceedings of the International
  Conference on Deep Inelastic Scattering, Chicago, April 1997, AIP",,"10.1063/1.53634","e-print JLAB-THY-97-25","hep-ph",,"  Applications of perturbative QCD to hard exclusive electroproduction
processes in the Bjorken limit at small invariant momentum transfer t bring in
a new type of parton distributions which have hybrid properties, resembling
both the parton distribution functions and the distribution amplitudes. Their
t-dependence is analogous to that of hadronic form factors. We discuss general
properties of these new parton distributions, their relation to usual parton
densities and the evolution equations which they satisfy.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 20:59:11 GMT""}]","2009-10-30"
"hep-ph/9706493",,"Anatoly V. Radyushkin","Deeply Virtual Compton Scattering: Facing Nonforward Distributions","4 pages, to be published in the Proceedings of the International
  Conference on Deep Inelastic Scattering, Chicago, April 1997, AIP",,"10.1063/1.53670","e-print JLAB-THY-97-23","hep-ph",,"  Applications of perturbative QCD to deeply virtual Compton scattering process
require a generalization of usual parton distributions for the case when
long-distance information is accumulated in nonforward matrix elements of quark
and gluon operators. We discuss two types of functions parametrizing such
matrix elements: double distributions F(x,y;t) and nonforward distribution
functions \cal F_\zeta (X;t) and also their relation to usual parton densities
f(x).
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 21:11:42 GMT""}]","2009-10-30"
"hep-ph/9706494","bisWa","Biswajoy Brahmachari","Recent direct measurement of the Top quark mass and quasi-infrared fixed
  point","7 pages, Latex with epsf style, 1 figure, captions.sty","Mod.Phys.Lett. A12 (1997) 1969-1972","10.1142/S0217732397002016",,"hep-ph",,"  We note that the recent direct measurement of the top quark mass at $173.3
\pm 5.6 (stat) \pm 6.2 (syst)$ by D0 collaboration severely constrains the
theoretically attractive infra-red fixed point scenario of the top quark Yukawa
coupling in supersymmetric GUTs. For one-step unified models the above
mentioned measurement bounds the arbitrary but experimentally determinable
parameter $\tan \beta$ to the range $1.3 \le \tan \beta \le 2.1$. Further
crunch on the top quark mass may determine $\tan \beta$ even more accurately
within the fixed point scenario. On the other hand an experimental value of
$\tan \beta > 2.1$ will rule out the fixed point scenario bounding
$h^2_t(M_X)/4 \pi$ to 0.022 from above.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 21:39:42 GMT""}]","2009-10-30"
"hep-ph/9706495","bisWa","Biswajoy Brahmachari","Effects of 126 dimensional Higgs scalar on Bottom-Tau unification and
  quasi-infrared fixed point","revised version with same conclusions. To appear in Phys. Rev. D","Phys.Rev.D59:035009,1999","10.1103/PhysRevD.59.035009",,"hep-ph",,"  In the presence of ${\bf 126 + \bar{126}}$ Higgs multiplets in a SO(10)
theory, the fermion masses get contributions from an induced vacuum expectation
value (VEV) of a $SU(2)_L$ doublet residing in ${\bf 126}$ which differentiates
between quarks and leptons by a relative sign leading to a significant
correction to the prediction of the mass ratio of the bottom quark and the tau
lepton for ranges of the mass of this extra doublet. We perform a two-loop
renormalization group analysis of the minimal version of the one-step
supersymmetric SO(10) model to display this and re-calculate the corrections to
the top quark mass in the presence of such an induced VEV. We show that these
effects make the infra-red fixed point scenario consistent with experimental
results.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 21:40:16 GMT""},{""version"":""v2"",""created"":""Thu, 15 Oct 1998 18:15:00 GMT""}]","2011-01-27"
"hep-ph/9706496","Carl R. Schmidt","Carl R. Schmidt","QCD Phenomenology of Charm Production at HERA","5 pages, Latex/aipproc, 4 figures, presented at DIS 97, Chicago, IL,
  April 14-18,1997",,"10.1063/1.53608","MSUHEP-70624","hep-ph",,"  We compare different schemes for the treatment of heavy quark production in
Deep-Inelastic Scattering (DIS). For fully-integrated quantities such as
$F_{2}(x,Q^{2})$, we advocate the use of the General-Massive
Variable-Flavor-Number (GM-VFN) scheme; we present some results showing the
progress of a Next-to-Leading Order calculation in this scheme. For
differential quantities, the Fixed-Flavor-Number (FFN) scheme provides a more
appropriate starting point. We present a new calculation of the azimuthal
distribution of charm quark production in DIS. All results have been obtained
using a Monte Carlo program under development.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 23:20:32 GMT""}]","2009-10-30"
"hep-ph/9706497","Morimitsu Tanimoto","Morimitsu Tanimoto","Neutrino mass matrix with U(2) flavor symmetry and neutrino oscillations","12 pages, LaTex file, to be published in PRD","Phys.Rev.D57:1983-1986,1998","10.1103/PhysRevD.57.1983","EHU-97-6 Revised","hep-ph",,"  The three neutrino mass matrices in the $SU(5)\times U(2)$ model are studied
focusing on the neutrino oscillation experiments. The atmospheric neutrino
anomaly could be explained by the large $\nu_{\mu} - \nu_{\tau}$ oscillation.
The long baseline experiments are expected to detect signatures of the neutrino
oscillation even if the atmospheric neutrino anomaly is not due to the neutrino
oscillation. However, the model cannot solve the solar neutrino deficit while
it could be reconciled with the LSND data.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 06:29:37 GMT""},{""version"":""v2"",""created"":""Mon, 10 Nov 1997 06:34:33 GMT""}]","2011-02-11"
"hep-ph/9706498","Wilfried Buchmuller","W. Buchmuller","Soft Colour Interactions and Diffractive DIS","6 pages, proceedings DIS 97",,"10.1063/1.53632","DESY 97-122","hep-ph",,"  The basic ideas and some results of the semiclassical approach to diffractive
DIS are briefly described. In the production of high-$p_{\perp}$ jets
boson-gluon fusion is predicted to be the dominant partonic process. The
$p_{\perp}$-spectrum and the two-jet invariant mass distribution provide a
clear test of the underlying `hard' partonic process and the `soft' mechanism
of colour neutralization.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 10:15:46 GMT""}]","2009-10-30"
"hep-ph/9706499",,"Akio Sugamoto, Mayumi Aoki, Tomoko Kadoyoshi, Miho Marui, Noriyuki
  Oshimo, Tomomi Saito, Tomoko Uesugi, Azusa Yamaguchi","Study of CP Violation: Electroweak Baryogenesis and Anomalous W-Boson
  Couplings","18 pages, To appear in the Proceedings of the KEK meetings on 'CP
  violation and its origin' (1993-1997). Addresses are corrected",,,"ICRR-Report-391-97-14, OCHA-PP-97, kure-pp/97-01","hep-ph",,"  The contributions from the Ochanomizu CP Study Group to the KEK meetings on
""CP violation and its origin"" (1993-1997) are summarized on electroweak
baryogenesis and anomalous W-boson couplings. We survey planned new experiments
which could examine some aspects studied in our contributions. We also discuss
several issues on baryogenesis. Ten problems are presented for further studies.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 10:05:22 GMT""},{""version"":""v2"",""created"":""Sat, 5 Jul 1997 12:15:40 GMT""}]","2008-02-03"
"hep-ph/9706500",,"Mayumi Aoki, Tomoko Kadoyoshi, Akio Sugamoto, Noriyuki Oshimo","Electric Dipole Moments of Neutron and Electron in Supersymmetric Model","16 pages, To appear in the Proceedings of the KEK meetings on 'CP
  violation and its origin' (1993-1997)",,,"ICRR-Report-392-97-15, OCHA-PP-98","hep-ph",,"  The electric dipole moments (EDMs) of the neutron and the electron are
reviewed within the framework of the supersymmetric standard model (SSM) based
on grand unified theories coupled to N=1 supergravity. Taking into account
one-loop and two-loop contributions to the EDMs, we explore SSM parameter space
consistent with experiments and discuss predicted values for the EDMs.
Implications of baryon asymmetry of our universe for the EDMs are also
discussed.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 11:26:33 GMT""}]","2007-05-23"
"hep-ph/9706501","Ulrich Nierste","Alexander Lenz, Ulrich Nierste and Gaby Ostermaier","Penguin Diagrams, Charmless B-Decays and the ``Missing Charm Puzzle''","22 pages, 7 figures, LaTex 2e, uses jeep.sty, a4wide.sty, a4.sty,
  fancyheadings.sty, cite.sty, epsf.sty, rotate.sty, times.sty. PostScript also
  available from
  ftp://feynman.t30.physik.tu-muenchen.de/pub/preprints/tum-hep-274-97.ps.gz","Phys. Rev. D 56, 7228 (1997)","10.1103/PhysRevD.56.7228","DESY 97-119, MPI-Ph/97-015, TUM-HEP-274/97","hep-ph",,"  We calculate the contributions of penguin diagrams with internal u or c
quarks to various inclusive charmless B-decay rates. Further we analyze the
influence of the chromomagnetic dipole operator Q_8 on these rates. We find
that the rates corresponding to B-bar --> X_{u u-bar s}, B-bar --> X_{d d-bar
s}, B-bar --> X_{s s-bar s}, B-bar --> X_{s s-bar d} and B --> X_{d d-bar d}
are dominated by the new penguin contributions. The contributions of Q_8
sizably diminish these rates. Despite of an increase of the total charmless
decay rate by 36 % the new contributions are not large enough to explain the
charm deficit observed by ARGUS and CLEO. We predict n_c=1.33 +/- 0.06 for the
average number of charmed particles per B-decay in the Standard Model. Then the
hypothesis of an enhancement of the chromomagnetic dipole coefficient C_8 by
new physics contributions is analyzed. We perform a model independent fit of
C_8 to the experimental data. If the CKM structure of the new physics
contribution is the same as in the Standard Model, |C_8(M_W)| must be enhanced
by a factor of 9 to 16 in order to explain the observed charm deficit.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 11:49:12 GMT""}]","2016-08-25"
"hep-ph/9706502","Gerrit Schierholz","C. Best, M. G\""ockeler, R. Horsley, L. Mankiewicz, H. Perlt, P. Rakow,
  A. Sch\""afer, G. Schierholz, S. Schramm, A. Schiller and P. Stephenson","Hadron Structure Functions from Lattice QCD -- 1997","Minireview given at DIS97, Chicago, April 1997; ref. 4 corrected",,"10.1063/1.53699","DESY 97-116, HUB-EP-97/37","hep-ph hep-lat",,"  We review the status of lattice calculations of the deep-inelastic structure
functions of the nucleon. In addition, we present some results on the pion and
rho structure functions.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 12:37:19 GMT""},{""version"":""v2"",""created"":""Mon, 14 Jul 1997 16:40:07 GMT""}]","2009-10-30"
"hep-ph/9706503","Jacek Jasiak","Jacek Jasiak","Deep Inelastic Structure Functions in Bag-Like Models","Latex, 13 pages, 5 eps figures, uses epsfig.sty",,,"IFT-97-06","hep-ph",,"  A new method of calculating deep inelastic structure functions for the
nucleon in independent particle models is presented. The method is applied to
the bag-like model and its predictions are compared with the parametrisation of
Gluck, Reya and Vogt.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 12:58:27 GMT""}]","2007-05-23"
"hep-ph/9706504","Cheuk-Yin Wong","Cheuk-Yin Wong (ORNL)","Signatures of Absorption Mechanisms for J/psi and psi' Production in
  High-Energy Heavy-Ion Collisions","12 pages, LateX; Invited talk present at 6th International Conference
  on Nucleus-Nucleus Collisions at Gatlinburg, June 2-6, 1997; To be published
  in Proceedings in Nuclear Physics A","Nucl.Phys. A630 (1998) 487-498","10.1016/S0375-9474(97)00788-4",,"hep-ph nucl-th",,"  J/psi and psi' produced in high-energy heavy-ion collisions are absorbed by
their collisions with nucleons and produced soft particles, leading to two
distinct absorption mechanisms. The signature of absorption by produced soft
particles, as revealed by psi' production data, consists of a gap and a change
of the slope in going from the pA line to the nucleus-nucleus line when we make
a semi-log plot of the survival probability as a function of the path length.
Using this signature, we find from the J/psi production data in pA, O-Cu, O-U,
and S-U collisions that the degree of J/psi absorption by produced soft
particles is small and cannot account for the J/psi data in Pb-Pb collisions.
The anomalous suppression of J/psi production in Pb-Pb collisions can be
explained as due to the occurrence of a new phase of strong J/psi absorption,
which sets in when the local energy density exceeds about 3.4 GeV/fm^3. To
probe the chemical content of the new phase, we propose to study the abundance
of open-charm mesons and charm hyperons which depends sensitively on the quark
chemical potential.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 13:48:59 GMT""}]","2009-10-30"
"hep-ph/9706505","Mikhail Ryskin","M.G. Ryskin (PNPI St. Petersbug)","Diffractive rho-meson Leptoproduction on Polarized Nucleon as a Way to
  Measure the Polarized Gluon Distribution","13 pages, LaTeX, 2 figures",,"10.1016/S0370-2693(97)00547-9",,"hep-ph",,"  The amplitude of diffractive $\rho$ (and open quark) leptoproduction on a
polarized target is calculated in the leading log approximation of pQCD using
the hadron-parton duality hypothesis. The spin-spin asymmetry is expressed in
terms of the spin dependent gluon and quark structure functions in the small
$x$ region. Therefore the $\gamma^*+p\to \rho +p$ reaction provides a promising
tool to study the spin dependent gluon distribution $\Delta G(x,q^2)$.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 13:24:42 GMT""}]","2009-10-30"
"hep-ph/9706507","Leonid Glozman","L.Ya. Glozman, W. Plessas, K. Varga, R. F. Wagenbrunn","Unified description of light- and strange-baryon spectra","9 pages, including 2 figures","Phys.Rev. D58 (1998) 094030","10.1103/PhysRevD.58.094030","UNIGRAZ-UTP 25-06-97","hep-ph nucl-th",,"  We present a chiral constituent quark model for light and strange baryons
providing a unified description of their ground states and excitation spectra.
The model relies on constituent quarks and Goldstone bosons arising as
effective degrees of freedom of low-energy QCD from the spontaneous breaking of
chiral symmetry. The spectra of the three-quark systems are obtained from a
precise variational solution of the Schr\""odinger equation with a
semirelativistic Hamiltonian. The theoretical predictions are found in close
agreement with experiment.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 15:15:46 GMT""}]","2009-10-30"
"hep-th/9706168","Tom Banks","Tom Banks","The State of Matrix Theory","11 pages, harvmac","Nucl.Phys.Proc.Suppl.62:341-347,1998;
  Nucl.Phys.Proc.Suppl.68:261-267,1998","10.1016/S0920-5632(97)00676-2","RU-97-52","hep-th",,"  This is a brief description of what has been accomplished and what remains to
be done in the construction of a nonperturbative formulation of ""The Theory
Formerly Known as String"". It is culled from two short talks given by the
author at SUSY 97 and Strings 97.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 18:13:35 GMT""}]","2014-11-18"
"hep-th/9706169","Sergei Kuzenko","Norbert Dragon, Sergei M. Kuzenko and Ulrich Theis (Institut fuer
  Theoretische Physik, Universitaet Hannover)","The vector-tensor multiplet in harmonic superspace","10 pages, LaTeX, component results added, final version to appear in
  Z. Phys. C","Eur.Phys.J.C4:717-721,1998","10.1007/s100520050242","ITP-UH-20/97","hep-th",,"  We describe the vector-tensor multiplet and derive its Chern-Simons couplings
to the N=2 Yang-Mills gauge superfield in harmonic superspace.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 18:50:10 GMT""},{""version"":""v2"",""created"":""Mon, 7 Jul 1997 13:21:49 GMT""},{""version"":""v3"",""created"":""Sat, 22 Nov 1997 13:17:25 GMT""}]","2011-09-13"
"hep-th/9706170","Atsushi Nakamula","Takao Koikawa, Takuya Maki and Atsushi Nakamula","Magnetic solutions to 2+1 dimensional gravity with dilaton field","10 pages, Latex format","Phys.Lett. B414 (1997) 45-51","10.1016/S0370-2693(97)01171-4",,"hep-th",,"  We show a general method to solve 2+1 dimensional dilatonic Maxwell-Einstein
equation with a positive or negative cosmological constant. All the physical
solutions are listed with assumptions that they are static, rotationally
symmetric, and has a nonzero magnetic field and a nonzero dilaton field. On the
contrary to the magnetic solution without a dilaton field, some of the present
solutions with a dilaton field possess a horizon.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 06:42:46 GMT""}]","2009-10-30"
"hep-th/9706171","Kiwoon Choi","Kiwoon Choi (Korea Advanced Institute of Science and Technology)","Axions and the Strong CP Problem in M-theory","36 pages, RevTex, No figures","Phys.Rev.D56:6588-6600,1997","10.1103/PhysRevD.56.6588",,"hep-th hep-ph",,"  We examine the possibility that the strong CP problem is solved by
string-theoretic axions in strong-coupling limit of the E_8 x E_8 heterotic
string theory (M-theory). We first discuss some generic features of gauge
kinetic functions in compactified M-theory, and examine in detail the axion
potential induced by the explicit breakings other than the QCD anomaly of the
non-linear U(1)_{PQ} symmetries of string-theoretic axions. It is argued based
on supersymmetry and discrete gauge symmetries that if the compactification
radius is large enough, there can be a U(1)_{PQ}-symmetry whose breaking other
than the QCD anomaly, whatever its microscopic origin is, is suppressed enough
for the axion mechanism to work. Phenomenological viability of such a large
radius crucially depends upon the quantized coefficients in gauge kinetic
functions. We note that the large radius required for the axion mechanism is
viable only in a limited class of models. For instance, for compactifications
on a smooth Calabi-Yau manifold with a vanishing second E_8 field strength, it
is viable only when the quantized flux of the antisymmetric tensor field in
M-theory has a minimal nonzero value. It is also stressed that this large
compactification radius allows the QCD axion in M-theory to be cosmologically
viable in the presence of a late time entropy production.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 08:30:34 GMT""}]","2014-11-18"
"hep-th/9706172","Max Niedermaier","M.R. Niedermaier","A Derivation of the Cyclic Form Factor Equation","24 pages, Latex, major improvements","Commun.Math.Phys. 196 (1998) 411-428","10.1007/s002200050428","MPI-Ph/97-31","hep-th",,"  A derivation of the cyclic form factor equation from quantum field
theoretical principles is given; form factors being the matrix elements of a
field operator between scattering states. The scattering states are constructed
from Haag-Ruelle type interpolating fields with support in a `comoving' Rindler
spacetime. The cyclic form factor equation then arises from the KMS property of
the modular operators Delta associated with the field algebras of these Rindler
wedges. The derivation in particular shows that the equation holds in any
massive 1+1 dim. relativistic QFT, regardless of its integrability.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 08:55:24 GMT""},{""version"":""v2"",""created"":""Mon, 10 Nov 1997 09:41:30 GMT""}]","2009-10-30"
"hep-th/9706174","Taejin Lee","Taejin Lee (Kangwon National University and APCTP)","(2+1) Dimensional Black Hole and (1+1) Dimensional Quantum Gravity","12 pages, Revtex, references added",,,"APCTP/97-11","hep-th gr-qc",,"  In the Chern-Simons gauge theory formulation of the spinning (2+1)
dimensional black hole, we may treat the horizon and the spatial infinity as
boundaries. We obtain the actions induced on both boundaries, applying the
Faddeev and Shatashvili procedure. The action induced on the boundary of the
horizon is precisely the gauged $SL(2,R)/U(1)$ Wess-Zumino-Witten (WZW) model,
which has been studied previously in connection with a Lorentz signature black
hole in (1+1) dimensions. The action induced on the boundary of spatial
infinity is also found to be a gauged $SL(2,R)$ WZW model, which is equivalent
to the Liouville model, the covariant action for the (1+1) dimensional quantum
gravity. Thus, the (2+1) dimensional black hole is intimately related to the
quantum gravity in (1+1) dimensions.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 09:09:09 GMT""},{""version"":""v2"",""created"":""Fri, 6 Feb 1998 11:09:35 GMT""},{""version"":""v3"",""created"":""Tue, 7 Jul 1998 05:22:13 GMT""},{""version"":""v4"",""created"":""Mon, 28 Sep 1998 15:43:49 GMT""}]","2008-02-03"
"hep-th/9706176","Harutada Sato","Naruhiko Aizawa, Tatsuo Kobayashi and Haru-Tada Sato","Notes on Curtright-Zachos Deformations of osp(1,2) and Super Virasoro
  Algebras","22+1 pages. Latex file","Int.J.Mod.Phys. A12 (1997) 5867-5883","10.1142/S0217751X97003078","NBI-HE-96-66, OWUAM-017, INS-Rep-1173","hep-th",,"  Based on the quantum superspace construction of $q$-deformed algebra, we
discuss a supersymmetric extension of the deformed Virasoro algebra, which is a
subset of the $q$-$W_{\infty}$ algebra recently appeared in the context of
two-dimensional string theory. We analyze two types of deformed super-Virasoro
algebra as well as their $osp(1,2)$ subalgebras. Applying our quantum
superspace structure to conformal field theory, we find the same type of
deformation of affine $sl(2)$ algebra.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 10:32:56 GMT""}]","2009-10-30"
"hep-th/9706177",,"Itzhak Bars","Strings and matrix models on genus g Riemann Surfaces","TeX file, 7 pages",,,"USC-91/HEP-B1","hep-th",,"  This is a summary of old work on connections between discrete area preserving
diffeomorphisms, reduced SU(N) Yang-Mills, strings, and the quantum Hall effect
on a Riemann surface of genus g. It is submitted to the archives due to the
interest expressed by colleagues who are currently working on matrix models,
and who could not have access to the proceedings in which the article was
published. The text that follows is the version published in 1991.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 14:14:16 GMT""}]","2007-05-23"
