"adap-org/9706004","Karen Lippert","R. Muller, K. Lippert, A. Kuhnel, U. Behn (Institute for Theoretical
  Physics, University of Leipzig, Germany)","First Order Nonequilibrium Phase Transition in a Spatially Extended
  System","4 pages, 7 figures, RevTeX, to appear in Phys. Rev. E (1997)","Phys. Rev. E 56 (1997) 2658.","10.1103/PhysRevE.56.2658",,"adap-org nlin.AO",,"  We investigate a system of harmonically coupled identical nonlinear
constituents subject to noise in different spatial arrangements. For global
coupling we find for infinitely many constituents the coexistence of several
ergodic components and a bifurcation behaviour like in first order phase
transitions. These results are compared with simulations for finite systems
both for global coupling and for nearest neighbour coupling on two- and
three-dimensional cubic lattices. The mean-field type results for global
coupling provide a better understanding of the more complex behaviour in the
latter case.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 22:20:22 GMT""}]","2009-10-30"
"cond-mat/9706200","Kenichiro Imura","Ken-ichiro Imura and Naoto Nagaosa","Effects of long-range Coulomb interaction on the quantum transport in
  fractional quantum Hall edges","4 pages, latex file. Published in Solid State Commun.103, 663 (1997).
  There is a typo in the effective action for the ET model in the earlier
  version. $\nu$ should be replaced by $1/\nu$","Solid State Commun. 103, 663 (1997)","10.1016/S0038-1098(97)00270-6",,"cond-mat",,"  We study the effects of long-range Coulomb interaction (LRCI) on the quantum
transport in FQH edges with $\nu=1/(2k+1)$. We consider two models, i.e., the
quasi-particle tunneling (QPT) model and the electron tunneling (ET) model at
the point contact. The tunneling conductance $G(T)$ is obtained using the
renormalization group treatment. In QPT model, it is found that LRCI further
reduces $G(T)$ below a crossover temperature $\Lambda_w$. In ET model, on the
other hand, there is a temeperature region where LRCI enhances $G(T)$, and
nonmonotonic temperature dependence is possible.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 12:24:59 GMT""},{""version"":""v2"",""created"":""Wed, 24 Sep 1997 09:05:56 GMT""},{""version"":""v3"",""created"":""Fri, 31 Oct 1997 13:36:32 GMT""}]","2009-10-30"
"gr-qc/9706057","Kip Thorne","Kip S. Thorne (Theoretical Astrophysics, California Institute of
  Technology)","Tidal Stabilization of Rigidly Rotating, Fully Relativistic Neutron
  Stars","Revtex, 10 pages, 2 figures; accepted for publication in Physical
  Review D. Revisions: Appendix rewritten to clarify how, in Newtonian
  gravitation theory, ambiguity in localization of energy makes interaction
  energy ambiguous but leaves work done on star by tidal gravity unambiguous.
  New footnote 1 and Refs. [11] and [19]","Phys. Rev. D 58, 124031 (1998)","10.1103/PhysRevD.58.124031","Caltech GRP-477","gr-qc astro-ph",,"  It is shown analytically that an external tidal gravitational field increases
the secular stability of a fully general relativistic, rigidly rotating neutron
star that is near marginal stability, protecting it against gravitational
collapse. This stabilization is shown to result from the simple fact that the
energy $\delta M(Q,R)$ required to raise a tide on such a star, divided by the
square of the tide's quadrupole moment $Q$, is a decreasing function of the
star's radius $R$, $(d/dR)[\delta M(Q,R)/Q^2]<0$ (where, as $R$ changes, the
star's structure is changed in accord with the star's fundamental mode of
radial oscillation). If $(d/dR)[\delta M(Q,R)/Q^2]$ were positive, the tidal
coupling would destabilize the star. As an application, a rigidly rotating,
marginally secularly stable neutron star in an inspiraling binary system will
be protected against secular collapse, and against dynamical collapse, by tidal
interaction with its companion. The ``local-asymptotic-rest-frame'' tools used
in the analysis are somewhat unusual and may be powerful in other studies of
neutron stars and black holes interacting with an external environment. As a
byproduct of the analysis, in an appendix the influence of tidal interactions
on mass-energy conservation is elucidated.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 18:45:07 GMT""},{""version"":""v2"",""created"":""Sun, 9 Aug 1998 17:04:54 GMT""}]","2016-08-25"
"gr-qc/9706058","Gerard 't Hooft","G. 't Hooft","The self-screening Hawking atmosphere","19 pages, plain TeX, 5 figures PostScript. The author was made aware
  of further references to older work, in view of which modifications were made
  in order to avoid too much overlap. A discussion is added on the case
  $\kappa=1$","Nucl.Phys.Proc.Suppl. 68 (1998) 174-184","10.1016/S0920-5632(98)00151-0","THU-97/14","gr-qc",,"  A model is proposed in which the Hawking particles emitted by a black hole
are treated as an envelope of matter that obeys an equation of state, and acts
as a source in Einstein's equations. This is a crude but interesting way to
accommodate for the back reaction. For large black holes, the solution can be
given analytically, if the equation of state is $p=\kappa\rho$, with
$0<\kappa<1$. The solution exhibits a singularity at the origin. If we assume
$N$ free particle types, we can use a Hartree-Fock procedure to compute the
contribution of one such field to the entropy, and the result scales as
expected as $1/N$. A slight mismatch is found that could be attributed to
quantum corrections to Einstein's equations, but can also be made to disappear
when $\k$ is set equal to one. The case $\kappa=1$ is further analysed.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 07:53:55 GMT""},{""version"":""v2"",""created"":""Wed, 6 Aug 1997 15:19:01 GMT""}]","2009-10-30"
"gr-qc/9706059","Farhad Ghaboussi","F. Ghaboussi","Foundation of The Two dimensional Quantum Theory of Gravity","24 pages, Latex, a revised version",,,,"gr-qc",,"  The two dimensional substructure of general relativity and gravity, and the
two dimensional geometry of quantum effect by black hole are disclosed. Then
the canonical quantization of the two dimensional theory of gravity is
performed. It is shown that the resulting uncertainty relations can explain
black hole quantum effects. A quantum gravitational length is also derived
which can clarify the origin of Planck length.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 13:56:26 GMT""},{""version"":""v2"",""created"":""Fri, 15 Aug 1997 11:32:21 GMT""},{""version"":""v3"",""created"":""Thu, 16 Jul 1998 12:02:11 GMT""}]","2008-02-03"
"gr-qc/9706060","Marcelo Schiffer","Marcelo Schiffer","The random walks of a Schwarzschild black hole","10 pages",,,,"gr-qc",,"  We show that spinless and neutral black holes in thermal equilibrium with
radiation undergo fluctuations of charge and angular momentum. The
corresponding spreads for a black hole in contact with charged scalar particles
is calculated. The angular momentum spread turns out to grow with the size of
the cavity. Charge spread does not depend either on the size of the cavity nor
on the elementary charge of the field. Then, either the scale of the elementary
chage is fixed by black hole physics $\alpha \sim 1/4\pi$ or the underlying
physics of these fluctuations is not the random absorption and emission of
charged particles from the bath, it remains unknown and must be clarified.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 14:03:07 GMT""}]","2007-05-23"
"gr-qc/9706061","Fabio Finelli","C. Bertoni, F. Finelli, G. Venturi","Adiabatic Invariants and Scalar Fields in a de Sitter Space-Time","9 pages, Latex, no figures","Phys.Lett.A237:331-336,1998","10.1016/S0375-9601(97)00707-X",,"gr-qc hep-th",,"  The method of adiabatic invariants for time dependent Hamiltonians is applied
to a massive scalar field in a de Sitter space-time. The scalar field ground
state, its Fock space and coherent states are constructed and related to the
particle states. Diverse quantities of physical interest are illustrated, such
as particle creation and the way a classical probability distribution emerges
for the system at late times.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 15:36:42 GMT""}]","2008-11-26"
"hep-lat/9706016","Bartolome Alles","B. Alles, M. D'Elia, A. Di Giacomo","Topology at zero and finite T in SU(2) Yang-Mills theory","9 pages + 3 separated postscript figures","Phys.Lett.B412:119-124,1997","10.1016/S0370-2693(97)01059-9","IFUP-TH 20/97 (Pisa) and IFUM 567/FT (Milan)","hep-lat",,"  We determine the topological susceptibility \chi at T=0 and its behaviour at
finite T across the deconfining transition in pure SU(2) gauge theory. We use
an improved topological charge density operator. \chi goes to zero above T_c,
but more slowly than in SU(3) gauge theory.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 09:53:15 GMT""}]","2008-11-26"
"hep-ph/9706409","Kimball A. Milton","K. A. Milton, I. L. Solovtsov, and O. P. Solovtsova","Analytic Perturbation Theory and Inclusive Tau Decay","10 pages, 2 figures, REVTeX, psfig, penultimate paragraph added","Phys.Lett. B415 (1997) 104-110","10.1016/S0370-2693(97)01207-0","OKHEP-97-01","hep-ph",,"  We apply analytic perturbation theory to the inclusive decay of a $\tau$
lepton into hadrons. It is shown that the resulting analyticity of the coupling
constant strongly influences the value of the QCD $\Lambda$-parameter extracted
from the experimental data on $\tau$ decay.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 18:27:53 GMT""},{""version"":""v2"",""created"":""Tue, 24 Jun 1997 22:37:50 GMT""},{""version"":""v3"",""created"":""Tue, 26 Aug 1997 19:55:52 GMT""}]","2009-10-30"
"hep-ph/9706410",,"I.I. Balitsky and A.V. Radyushkin","Light-Ray Evolution Equations and Leading-Twist Parton
  Helicity-Dependent Nonforward Distributions","8 pages; final version, to appear in Physics Letters B","Phys.Lett.B413:114-121,1997","10.1016/S0370-2693(97)01095-2","JLAB-THY-97-21","hep-ph",,"  We discuss the calculation of the evolution kernels \Delta W_{\zeta}(X,Z) for
the leading-twist nonforward parton distributions G_\zeta(X,t) sensitive to
parton helicities. We present our results for the kernels governing evolution
of the relevant light-ray operators and describe a simple method allowing to
obtain from them the components of the nonforward kernels \Delta
W_{\zeta}(X,Z).
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 18:52:34 GMT""},{""version"":""v2"",""created"":""Mon, 23 Jun 1997 21:30:59 GMT""},{""version"":""v3"",""created"":""Mon, 15 Sep 1997 19:41:18 GMT""}]","2014-11-17"
"hep-ph/9706411","Ian Balitsky","Ian Balitsky","Operator Expansion for Diffractive High-Energy Scattering","5 pages (Latex), 2 figures (Postscript), to be published in
  Proceedings of DIS-97 (Chicago, April 1997)",,"10.1063/1.53693",,"hep-ph",,"  I discuss the operator expansion for diffractive high-energy scattering and
present the non-linear evolution equation for the relevant Wilson-line
operators which describes both the propagator of the BFKL pomeron and the
three-pomeron vertex.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 20:43:43 GMT""}]","2009-10-30"
"hep-ph/9706412","Zhou Hong Yi","Chong Sheng Li, Robert J. Oakes, Jin Min Yang, and Hong-Yi Zhou","Supersymmetric QCD Corrections to Single Top Quark Production at the
  Fermilab Tevatron","8 pages, 3 figures, refs added","Phys. Rev. D 57, 2009 (1998)","10.1103/PhysRevD.57.2009","NUHEP-TH-97-8","hep-ph",,"  We evaluate the supersymmetric QCD corrections to single top quark production
via $q \bar q'\to t \bar b$ at the Fermilab Tevatron in the minimal
supersymmetric model. We find that within the allowed range of squark and
gluino masses the supersymmetric QCD corrections can enhance the cross section
by a few percent. The combined effects of SUSY QCD, SUSY EW, and the Yukawa
couplings can exceed 10% for the smallest allowed $\tan\beta~ (\simeq 0.25)$
but are only a few percent for $\tan\beta >1$.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 04:21:58 GMT""},{""version"":""v2"",""created"":""Wed, 2 Jul 1997 03:31:00 GMT""}]","2016-08-25"
"hep-ph/9706413",,"Sergio Scopetta and Vicente Vento (Valencia)","A quark model analysis of the transversity distribution","10 pages, Latex; 4 postscript figures generated by epsf.sty included
  in submission","Phys.Lett. B424 (1998) 25-32","10.1016/S0370-2693(98)00212-3","FTUV 97-29; IFIC 97-29","hep-ph",,"  The feasibility of measuring chiral-odd parton distribution functions in
polarized Drell-Yan and semi-inclusive experiments has renewed theoretical
interest in their study. Models of hadron structure have proven succesful in
describing the gross features of the chiral-even structure functions. Similar
expectations support our study of the transversity parton distributions in the
Isgur-Karl and MIT bag models. We confirm the diverse low x behavior of the
transversity and spin structure functions at the experimental scale and show
that it is fundamentally a consequence of the different behavior under
evolution of these functions. The inequalities of Soffer establish constraints
between data and model calculations of the chiral-odd transversity function.
The approximate compatibility of our model calculations with these constraints
conferes credibility to our estimates.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 09:27:38 GMT""}]","2009-10-30"
"hep-ph/9706414","Thomas Gehrmann","T.Gehrmann (DESY), M.Stratmann (Univ. Dortmund)","The Bethe-Heitler Process in Polarized Photon-Nucleon Interactions","10 pages, LaTeX, 1 figure, uses amssymb.sty","Phys.Rev. D56 (1997) 5839-5843","10.1103/PhysRevD.56.5839","DESY-97-118, DO-TH 97/14","hep-ph",,"  We calculate the Bethe-Heitler cross section for the production of lepton
pairs in the field of a longitudinally polarized nucleon, taking into account
the lepton masses and the target mass. This process is a dominant background to
the detection of open charm from semi-leptonic decay modes, which is a
potential probe of the polarized gluon distribution in the nucleon.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 12:16:03 GMT""}]","2009-10-30"
"hep-ph/9706415","Nikolay N. Aksenov","Yuri M. Malyuta","Catalysis of proton decay in superstring theory","5 pages, LATEX",,"10.15407/knit1997.03.101",,"hep-ph",,"  Theory of superstrings on Calabi-Yau manifolds is applied to investigate
catalysis of proton decay.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 12:17:47 GMT""}]","2023-05-24"
"hep-ph/9706416","Nicolo Cartiglia","Nicol\`o Cartiglia (Columbia University)","Leading Baryons at Low x_L in DIS and Photoproduction at ZEUS","5 pages, Latex, Talk given at the 5th Interantional Workshop on Deep
  Inelastic Scattering and QCD, Chicago, Illinois, USA, 14-18 April 1997",,"10.1063/1.53628",,"hep-ph",,"  Results obtained by the ZEUS collaboration on leading baryon production in
the proton fragmentation region are presented. The reaction $\gamma p \to N X$,
with N a proton or a neutron, is examined both at low and high photon
virtuality.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 14:47:00 GMT""}]","2016-08-15"
"hep-ph/9706417","D. I. Melikhov","Dmitri Melikhov","Heavy quark expansion and universal form factors in quark model","revtex, 20 pages, 3 figure","Phys.Rev. D56 (1997) 7089-7104","10.1103/PhysRevD.56.7089",,"hep-ph",,"  Meson transition amplitudes of the vector, axial-vector, and tensor quark
currents are analyzed within dispersion formulation of the constituent quark
model. The form factors in the decay region are given by relativistic double
spectral representations through the wave functions of the inital and final
mesons. We perform heavy quark expansion of the quark-model mesonic matrix
elements with a next-to-leading order accuracy and demonstrate that matching
this expansion to the heavy-quark expansion in QCD requires subtractions in the
double spectral representations for the form factors and allows fixing the
subtraction terms. The Isgur-Wise function and next-to-leading order universal
form factors are calculated.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 14:53:20 GMT""}]","2009-10-30"
"hep-ph/9706418","Christoph Hofmann","Christoph P. Hofmann","Effective Analysis of the O(N) Antiferromagnet: Low Temperature
  Expansion of the Order Parameter","Published version","Phys.Rev. B60 (1999) 406","10.1103/PhysRevB.60.406","BUTP-97/15","hep-ph cond-mat",,"  We investigate the low energy properties of Lorentz-invariant theories with a
spontaneously broken rotation symmetry O(N) $\to$ O(N--1). The leading
coefficients of the low temperature expansion for the partition function are
calculated up to and including three loops. Emphasis is put into the special
case N=3: it describes the antiferromagnet which has been extensively studied.
Our results obtained within the framework of the effective Lagrangian technique
are compared with the literature. In particular, we show that, at order $T^7$
for the heat capacity and $T^6$ for the order parameter, respectively,
logarithmic terms appear in the low temperature expansion, which have been
overlooked so far.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 15:48:20 GMT""},{""version"":""v2"",""created"":""Tue, 26 May 1998 21:17:00 GMT""},{""version"":""v3"",""created"":""Sun, 19 Nov 2000 00:11:22 GMT""}]","2009-10-30"
"hep-th/9706128","Sabbir A. Rahman","Sabbir Rahman","String Vertices and Inner Derivations","13 pages, phyzzx",,,"MIT-CTP-2645","hep-th",,"  We show that it is algebraically consistent to express some string field
theory operators as inner derivations of the B-V algebra of string vertices. In
this approach, the recursion relations for the string vertices are found to
take the form of a `geometrical' quantum master equation. We also show that the
B-V delta operator cannot be an inner derivation on the algebra.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 18:53:25 GMT""}]","2007-05-23"
"hep-th/9706130","Jae-Suk Park","Christiaan Hofman and Jae-Suk Park","Monads, Strings, and M Theory","36 pages, TeX, harvmac, minor corrections with added reference","Nucl.Phys. B520 (1998) 229-260","10.1016/S0550-3213(98)00047-9","THU-97/16, UVA-ITFA/97/20","hep-th",,"  The recent developments in string theory suggest that the space-time
coordinates should be generalized to non-commuting matrices. Postulating this
suggestion as the fundamental geometrical principle, we formulate a candidate
for covariant second quantized RNS superstrings as a topological field theory
in two dimensions. Our construction is a natural non-Abelian extension of the
RNS string. It also naturally leads to a model with manifest 11-dimensional
covariance, which we conjecture to be a formulation of M theory. The
non-commuting space-time coordinates of the strings are further generalized to
non-commuting anti-symmetric tensors. The usual space-time picture and the free
superstrings appear only in certain special phases of the model. We derive a
simple set of algebraic equations, which determine the moduli space of our
model. We test some aspects of our conjectual M theory for the case of
compactification on $T^2$.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 17:00:07 GMT""},{""version"":""v2"",""created"":""Tue, 24 Jun 1997 22:35:21 GMT""}]","2009-10-30"
"hep-th/9706131","Rafa","Cesar Gomez","On the geometry of soft breaking terms and N=1 superpotentials","Latex file. 8 pages",,,,"hep-th",,"  We describe, in the context of M-theory on elliptically fibered Calabi-yau
fourfolds, the change of variables that allow us to pass from the U(1)
invariant elliptic fibration to the one describing the uncompactified four
dimensional limit, where the U(1) symmetry is broken. These changes of
variables are the analog to the ones used to derive from the Atiyah-Hitchin
space the complex structure of the Seiberg-Witten solution for N=2
supersymmetric Yang-Mills. The connection between these changes of variables
and the recently introduced rotation of branes is discussed.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 17:40:43 GMT""}]","2007-05-23"
"hep-th/9706132","Andreas Recknagel","J. Froehlich, O. Grandjean, A. Recknagel (ETH Zuerich)","Supersymmetric quantum theory, non-commutative geometry, and
  gravitation. Lecture Notes Les Houches 1995","143 pages, LaTeX file + 3 eps-figures",,,"ETH-TH/97-19","hep-th",,"  This is an expanded version of the notes to a course taught by the first
author at the 1995 Les Houches Summer School. Constraints on a tentative
reconciliation of quantum theory and general relativity are reviewed. It is
explained what supersymmetric quantum theory teaches us about differential
topology and geometry. Non-commutative differential topology and geometry are
developed in some detail. As an example, the non-commutative torus is studied.
An introduction to string theory and $M$(atrix) models is provided, and it is
outlined how tools of non-commutative geometry can be used to explore the
geometry of string theory and conformal field theory.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 17:59:22 GMT""}]","2007-05-23"
"hep-th/9706133","Silvio Paolo Sorella","L.C.Q.Vilar, O. S. Ventura, C.A.G. Sasaki and S.P. Sorella","Algebraic Characterization of Vector Supersymmetry in Topological Field
  Theories","30 pages, latex2e file, subm. to Journ. of Math. Phys","J.Math.Phys.39:848-866,1998","10.1063/1.532356",,"hep-th",,"  An algebraic cohomological characterization of a class of linearly broken
Ward identities is provided. The examples of the topological vector
supersymmetry and of the Landau ghost equation are discussed in detail. The
existence of such a linearly broken Ward identities turns out to be related to
BRST exact antifield dependent cocycles with negative ghost number.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 18:16:03 GMT""}]","2010-02-05"
"hep-th/9706134","Jacek Pawelczyk","Jacek Pawe{\l}czyk","From Seiberg-Witten invariants to topological Green-Schwarz string","9 pages, latex, no figures; email pawelc@fuw.edu.pl","Phys.Lett. B415 (1997) 358-362","10.1016/S0370-2693(97)01276-8","UW-IFT-27/96","hep-th",,"  In this note we describe the physics of equivalence of the Seiberg-Witten
invariants of 4-manifolds and certain Gromov-Witten invariants defined by
pseudo-holomorphic curves. We show that physics of the pseudo-holomorphic
curves should be governed by the N=2 Green-Schwarz string.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 20:00:35 GMT""}]","2009-10-30"
"hep-th/9706136","David R. Karakhanyan","D.Karakhanyan","The non-local action for the induced 2d supergravity","LaTeX file, no figures",,,"YERPHI-1487(4)","hep-th",,"  The two-dimensional simple supergravity is reexamined from the point of view
of super-Weyl group cohomologies. The non-local form of the effective action of
2d supergravity which generalise the famous $R 1/\Box R$ is obtained.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 07:37:53 GMT""}]","2007-05-23"
"hep-th/9706137","Paulo Rodrigues Lima Vargas Moniz","P.V. Moniz","Wave Function of a Supersymmetric FRW Model with Vector Fields","14 pages, plain LaTeX","Int.J.Mod.Phys. D6 (1997) 465-478","10.1142/S0218271897000273",,"hep-th",,"  A specific Friedmann-Roberstson-Walker (FRW) model derived from the theory of
N=1 supergravity with gauged supermatter is considered in this paper. The
supermatter content is restricted to a vector supermultiplet. The corresponding
Lorentz and supersymmetry quantum constraints are then derived. Non-trivial
solutions are subsquently found. A no-boundary solution is identified while
another state may be interpreted as a wormhole solution.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 11:03:39 GMT""}]","2009-10-30"
"hep-th/9706138","Paulo Rodrigues Lima Vargas Moniz","P.V. Moniz","Why two makes it more attractive than just with one... or Bianchi
  class-A models and Reissner-Nordstr\""om Black Holes in Quantum N=2
  Supergravity","5 pages, uses ``twoside,fleqn,espcrc2'' in LaTeX, Extended version of
  talks/communications presented at the conferences Constrained Dynamics and
  Quantum Gravity, Sta. Marguerita, September 1996, Italy; New Voices in
  Gravitation and Quantum Gravity, Penn State, November 1996, USA and 18th
  Texas Symposium on Relativistic Astrophysics, December 1996, Chicago, USA; to
  appear in Nuc. Phys. B 1997 (Supplements)","Nucl.Phys.Proc.Suppl. 57 (1997) 307-311","10.1016/S0920-5632(97)00392-7",,"hep-th",,"  Bianchi class-A models and Reissner-Nordst\""rom (RN) black hole scenarios are
considered from the point of view of quantum N=2 Supergravity. It is shown that
the presence of Maxwell fields in the supersymmetry constraints implies a
non-conservation of the fermion number present in Bianchi class-A models. This
effect corresponds to a mixing between different (Lorentz invariant) fermionic
sectors in the wave function of the Universe. Quantum states are constituted by
exponentials of N=2 supersymmetric Chern-Simons functionals. With respect to
the RN case, we analyse some problems and features present in a reduced model
with supersymmetry.
  Lines of subsequent research work are then provided.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 11:20:35 GMT""}]","2009-10-30"
"nucl-th/9706047","Christian Fuchs","Z.S. Wang, Amand Faessler, C. Fuchs, V.S. Uma Maheswari and D.S. Kosov","Role of the Coulomb interaction in the flow and the azimuthal
  distribution of kaons from heavy ion reactions","14 pages Latex, 4 PS-files","Nucl.Phys. A628 (1998) 151-160","10.1016/S0375-9474(97)00625-8",,"nucl-th",,"  Coulomb final-state interaction of positive charged kaons in heavy ion
reactions and its impact on the kaon transverse flow and the kaon azimuthal
distribution are investigated within the framework of QMD (Quantum Molecular
Dynamics) model. The Coulomb interaction is found to tend to draw the flow of
kaons away from that of nucleons and lead to a more isotropic azimuthal
distribution of kaons in the target rapidity region. The recent FOPI data have
been analyzed by taking into accout both the Coulomb interaction and a kaon
in-medium potential of the strong interaction. It is found that both the
calculated kaon flows with only the Coulomb interaction and with both the
Coulomb interaction and the strong potential agree within the error bars with
the data. The kaon azimuthal distribution exhibits asymmetries of similar
magnitude in both theoretical approaches. This means, the inclusion of the
Coulomb potential makes it more difficult to extract information of the kaon
mean field potential in nuclear matter from the kaon flow and azimuthal
distribution data.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 19:00:28 GMT""}]","2009-10-30"
"nucl-th/9706048","Miklos Gyulassy","M.Gyulassy, V. Topor Pop and S.E. Vance (Columbia U.)","Baryon Number Transport in High Energy Nuclear Collisions","22 pages (Latex) including 10 epsi figures via psfig",,"10.1007/BF03053659","CU-TP-832","nucl-th",,"  Recent SPS data on the rapidity distribution of protons in p+S, p+Au and S+S
collisions at 200 AGeV and preliminary Pb+Pb collisions at 160 AGeV are
compared to HIJING and VENUS calculations as well as to predictions based on
the Multi-Chain Model (MCM). The preliminary Pb data suggest that a linear
dependence of the proton rapidity shift as a function of the nuclear thickness,
as first observed in p+A reactions, may apply up to Pb+Pb reactions. The
observed rapidity dependence of produced hyperons in both p+A and A+A reactions
however cannot be explained in terms of such models without introducing
additional non-linear effects.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 20:10:54 GMT""}]","2022-02-23"
"patt-sol/9706007","Xiao-jun Li","Xiao-jun Li(Lehigh Univ.), Hao-wen Xi(Bowling Green State Univ.), and
  J. D. Gunton (Lehigh Univ.)","Phenomenological Theory for Spatiotemporal Chaos in Rayleigh-Benard
  Convection","19 pages, 3 figures and 2 tables",,,,"patt-sol chao-dyn cond-mat.stat-mech nlin.CD nlin.PS physics.flu-dyn",,"  We present a phenomenological theory for spatiotemporal chaos (STC) in
Rayleigh-Benard convection, based on the generalized Swift-Hohenberg model. We
apply a random phase approximation to STC and conjecture a scaling form for the
structure factor $S(k)$ with respect to the correlation length $\xi_2$. We
hence obtain analytical results for the time-averaged convective current $J$
and the time-averaged vorticity current $\Omega$. We also define power-law
behaviors such as $J \sim \epsilon^\mu$, $\Omega \sim \epsilon^\lambda$ and
$\xi_2 \sim \epsilon^{-\nu}$, where $\epsilon$ is the control parameter. We
find from our theory that $\mu = 1$, $\nu \ge 1/2$ and $\lambda = 2 \mu + \nu$
for phase turbulence and that $\mu = 1$, $\nu \ge 1/2$ and $\lambda = 2 \mu + 2
\nu$ for spiral-defect chaos. These predictions, together with the scaling
conjecture for $S(k)$, are confirmed by our numerical results. Finally we
suggest that Porod's law, $S(k) \sim 1/\xi_2 k^3$ for large $k$, might be valid
in STC.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 20:52:35 GMT""}]","2016-09-08"
"physics/9706028","Lawrence R. Pratt","Stephen J. Paddison, Lawrence R. Pratt, Thomas Zawodzinski, and David
  W. Reagor (Los Alamos National Laboratory)","Molecular Modeling of Trifluoromethanesulfonic Acid for Solvation Theory","Five pages (LaTeX) and four figures. Thirteenth Symposium on
  Thermophysical Properties, NIST, Boulder, CO USA, June 22 - 27, 1997.
  Submitted to Fluid Phase Equilibrium",,,"LA-UR-97-1688","physics.chem-ph",,"  Reported here are theoretical calculations on the triflic acid and water,
establishing molecular scale information necessary to modeling of the
structure, thermodynamics, and ionic transport of Nafion membranes. To
characterize side chain flexibility and accessibility of the acid proton, free
energies for rotation of both carbon-sulfur and sulfur-oxygen (hydroxyl) bonds
are presented. The energetic barrier to rotation of the acid proton away from
the sulfonic acid oxygen plane is substantially flattened, with barrier less
than one kcal/mol, by electrostatic solvation. The activation free energy for
acid-water proton interchange is about 4.7 kcal/mol.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 14:33:46 GMT""},{""version"":""v2"",""created"":""Wed, 25 Jun 1997 19:40:13 GMT""},{""version"":""v3"",""created"":""Thu, 26 Jun 1997 14:53:47 GMT""}]","2009-09-25"
"q-alg/9706022","Jan Kneissler","Jan A. Kneissler","The number of primitive Vassiliev invariants up to degree 12","18 pages, latex, 30 postscript figures (uses epsf.tex), the paper is
  available at http://rhein.iam.uni-bonn.de/~jk/index.html",,,,"q-alg math.QA",,"  We present algorithms giving upper and lower bounds for the number of
independent primitive rational Vassiliev invariants of degree m modulo those of
degree m-1. The values have been calculated for the formerly unknown degrees m
= 10, 11, 12. Upper and lower bounds coincide, which reveals that all Vassiliev
invariants of degree smaller 13 are orientation insensitive and are coming from
representations of Lie algebras so and gl. Furthermore, a conjecture of Vogel
is falsified and it is shown that the \Lambda-module of connected trivalent
diagrams (Chinese characters) is not free.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 21:29:19 GMT""}]","2008-02-03"
"q-alg/9706023","Edward Frenkel","Edward Frenkel and Nikolai Reshetikhin","Towards Deformed Chiral Algebras","18 pages, AMSLATEX. Contribution to the Proceedings of the Quantum
  Group Symposium at the XXIth International Colloquium on Group Theoretical
  Methods in Physics, Goslar 1996",,,,"q-alg math.QA",,"  We describe a new algebraic structure of ""deformed chiral algebra"" motivated
by the study of the deformed W-algebras. We use it to gain some insights into
the deformed Virasoro algebra.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 18:23:43 GMT""},{""version"":""v2"",""created"":""Fri, 20 Jun 1997 21:37:46 GMT""}]","2008-02-03"
