"adap-org/9706005",,"Hans-Martin Br\""oker (1) and Peter Grassberger (1,2) ((1) Physics
  Department, University of Wuppertal, Germany (2) HLRZ c/o Forschungszentrum
  J\""ulich, Germany)","The Bak-Chen-Tang Forest Fire Model Revisited","4 pages, Latex with 5 figures incl., submitted to PRL",,,,"adap-org nlin.AO",,"  We reconsider a model introduced by Bak, Chen, and Tang (Phys. Rev. A 38, 364
(1988)) as a supposedly self-organized critical model for forest fires. We
verify again that the model is not critical in 2 dimensions, as found also by
previous authors. But we find that the model does show anomalous scaling (i.e.,
is critical in the sense of statistical mechanics) in 3 and 4 dimensions. We
relate these results to recent claims by A. Johansen.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 16:47:38 GMT""}]","2008-02-03"
"cond-mat/9706231","Vladimir Dobrosavljevic","V. Dobrosavljevic and G. Kotliar","Dynamical mean-field studies of metal-insulator transitions","18 pages; Contribution to the Royal Society Discussion Meeting on
  ""The Metal-Non Metal Transition in Macroscopic and Microscopic Systems"",
  March 5-6, 1997",,"10.1098/rsta.1998.0149",,"cond-mat.dis-nn cond-mat.str-el",,"  We discuss the successes of the dynamical mean field (DMF) approach to metal
insulator transitions in both the clean and the disordered limit. In the latter
case, standard DMF equations are generalized in order to incorporate both the
physics of strong correlation and Anderson localization effects. The results
give new insights into the puzzling features of doped semiconductors.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 18:53:06 GMT""}]","2009-10-30"
"cond-mat/9706232","Dr. Paolo Sibani","Paolo Sibani (Fysisk Institut, Odense Universitet)","Local state space geometry and thermal metastability in complex
  landscapes: the spin-glass case","16 pages, 8 figures, RevTeX, to appear in Physica A The figures have
  been improved and the text somewhat shortened. New references have been added",,"10.1016/S0378-4371(98)00263-5",,"cond-mat.dis-nn cond-mat.stat-mech",,"  A simple geometrical characterization of configuration space neighborhoods of
local energy minima in spin glass landscapes is found by exhaustive search.
Combined with previous Monte Carlo investigations of thermal domain growth, it
allows a discussion of the connection between real and configuration space
descriptions of low temperature relaxational dynamics. We argue that the part
of state-space corresponding to a single growing domain is adequately modeled
by a hierarchically organized set of states and that thermal (meta)stability in
spin glasses is related to the nearly exponential local density of states
present within each trap.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 21:54:07 GMT""},{""version"":""v2"",""created"":""Wed, 6 May 1998 09:12:54 GMT""}]","2015-06-25"
"cond-mat/9706233","Shahbazyan Tigran","T. V. Shahbazyan and S. E. Ulloa","Resonant scattering in a strong magnetic field: exact density of states","12 pages + 3 figs","Phys. Rev. Lett. 79 3478 (1997)","10.1103/PhysRevLett.79.3478",,"cond-mat.mes-hall",,"  We study the structure of 2D electronic states in a strong magnetic field in
the presence of a large number of resonant scatterers. For an electron in the
lowest Landau level, we derive the exact density of states by mapping the
problem onto a zero-dimensional field-theoretical model. We demonstrate that
the interplay between resonant and non-resonant scattering leads to a
non-analytic energy dependence of the electron Green function. In particular,
for strong resonant scattering the density of states develops a gap in a finite
energy interval. The shape of the Landau level is shown to be very sensitive to
the distribution of resonant scatterers.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 21:56:39 GMT""},{""version"":""v2"",""created"":""Tue, 24 Jun 1997 21:24:21 GMT""},{""version"":""v3"",""created"":""Thu, 2 Oct 1997 04:09:43 GMT""}]","2009-10-30"
"cond-mat/9706234","Suani T. R. Pinho","S. T. R. Pinho, T. A. S. Haddad, and S. R. Salinas","Critical behavior of an Ising model with aperiodic interactions","latex file, 5 figures, accepted by Braz. Jour. Phys",,"10.1590/S0103-97331997000400021",,"cond-mat.stat-mech",,"  We write exact renormalization-group recursion relations for a ferromagnetic
Ising model on the diamond hierarchical lattice with an aperiodic distribution
of exchange interactions according to a class of generalized two-letter
Fibonacci sequences. For small geometric fluctuations, the critical behavior is
unchanged with respect to the uniform case. For large fluctuations, the uniform
fixed point in the parameter space becomes fully unstable. We analyze some
limiting cases, and propose a heuristic criterion to check the relevance of the
fluctuations.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 22:15:18 GMT""}]","2015-06-25"
"cond-mat/9706235",,"Ross H. McKenzie (University of New South Wales, Sydney, Australia)","Is the ground state of alpha-(BEDT-TTF)2MHg(SCN)4[M=K,Rb,Tl] a
  charge-density wave or a spin-density wave?","7 pages, RevTeX + epsf, 2 figures. Only minor changes",,,"QE2-97-01","cond-mat.str-el cond-mat.supr-con",,"  The nature of the low-temperature phase of the quasi-two-dimensional
conductors $\alpha-(BEDT-TTF)_2{M}Hg(SCN)_4$[{M}=K,Rb,Tl] is considered. It is
argued that the magnetic field dependence of the phase diagram is more
consistent with a charge-density wave, rather than a spin-density wave ground
state. The phase diagram of a charge-density wave in a magnetic field is
discussed using a Ginzburg-Landau free energy derived from microscopic theory.
New experiments are proposed to test the charge-density-wave hypothesis and
detect an additional high field phase.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 01:32:48 GMT""},{""version"":""v2"",""created"":""Thu, 5 Mar 1998 23:13:46 GMT""}]","2008-02-03"
"cond-mat/9706236",,"S.V.Iordanskii, S.G.Plyasunov (Landau Institute, Russia)","Nonsingular vortices-skyrmions for odd Landau level fillings in 2d
  system","12 pages, Latex (submitted to JETP)",,,,"cond-mat.mes-hall cond-mat.str-el",,"  Using gradient expansion method the particle density, the energy and the
action were calculated at the formation of a vortex-skyrmion at high magnetic
field. No approximation of single Landau level was used contrary to other
papers on the subject. Taking into account the nearest Landau levels
essentially changes the expression for the vortex energy and gives some simple
physical interpretation of the main results. The local electron density
coincides with the local density of states. It is shown that the formation of a
vortex skyrmion gives the gain in the thermodynamic energy in the limit of
alarge magnetic field and a small value of the g-factor. That means a
spontaneous formation of vortices in this case. The Hopf term in the
vortex-skyrmion action is calculated and corresponds to the fermionic picture.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 10:48:01 GMT""}]","2008-02-03"
"cond-mat/9706237","Peter Kopietz","Peter Kopietz and Axel Voelker","The weak localization correction to the polarization and persistent
  currents in mesoscopic metal rings","additional vertex correction taken into account: weak localization
  correction to the diffusion coefficient in the denominator changes final
  result","Phys. Lett. A 244, 569 (1998)","10.1016/S0375-9601(98)00337-5",,"cond-mat.mes-hall",,"  We re-examine the effect of electron-electron interactions on the persistent
current in mesoscopic metal rings threaded by an Aharonov-Bohm flux. The
exchange contribution to the current is shown to be determined by the weak
localization correction to the polarization. We explicitly calculate the
contribution from exchange interactions with momentum transfers smaller than
the inverse elastic mean free path to the average current, and find that it has
the same order of magnitude as the {\it{canonical}} current without
interactions. \\
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 08:13:55 GMT""},{""version"":""v2"",""created"":""Wed, 25 Jun 1997 14:02:28 GMT""},{""version"":""v3"",""created"":""Tue, 2 Sep 1997 10:55:03 GMT""}]","2009-10-30"
"cond-mat/9706238","Brian Dolan","Brian P. Dolan","Geometry and Thermodynamic Fluctuations of the Ising Model on a Bethe
  Lattice","11 pages Plain TeX, 2 figures","Proc.Roy.Soc.Lond. A454 (1998) 2655",,"Bonn-TH-97-06","cond-mat.stat-mech hep-th",,"  A metric is introduced on the two dimensional space of parameters describing
the Ising model on a Bethe lattice of co-ordination number q. The geometry
associated with this metric is analysed and it is shown that the Gaussian
curvature diverges at the critical point. For the special case q=2 the
curvature reduces to an already known result for the one dimensional Ising
model. The Gaussian curvature is also calculated for a general ferro-magnet
near its critical point, generalising a previous result for t>0. The general
expression near a critical point is compared with the specific case of the
Bethe lattice and a subtlety, associated with the fact that the specific heat
exponent for the Bethe lattice vanishes, is resolved.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 10:09:08 GMT""}]","2008-02-03"
"cond-mat/9706239","Schulz-Baldes","H. Schulz-Baldes, J. Bellissard","Anomalous transport: a mathematical framework","43 pages, Latex",,"10.1142/S0129055X98000021",,"cond-mat",,"  We develop a mathematical framework allowing to study anomalous transport in
homogeneous solids. The main tools characterizing the anomalous transport
properties are spectral and diffusion exponents associated to the covariant
Hamiltonians describing these media. The diffusion exponents characterize the
spectral measures entering in Kubo's formula for the conductivity and hence
lead to anomalies in Drude's formula. We give several formulas allowing to
calculate these exponents and treat, as an example, Wegner's $n$-orbital model
as well as the Anderson model in coherent potential approximation.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 10:25:44 GMT""}]","2015-06-25"
"cond-mat/9706240","M. V. Sadovskii","A.I.Posazhennikova, M.V.Sadovskii","Ginzburg-Landau Expansion and the Slope of the Upper Critical Field in
  Superconductors with Anisotropic Normal Impurity Scattering","11 pages, 5 figures, RevTeX 3.0, 4 Postscript figure attached,
  Submitted to JETP","JETP 85 (1997) 1162","10.1134/1.558388","IEF-LTF 97-02","cond-mat.supr-con",,"  Ginzburg-Landau expansion for superconductors with anisotropic $s-$ and
$d-$wave pairing is derived in the presence of anisotropic normal impurity
scattering which makes $d-$pairing state more stable under disordering. It is
demonstrated that the slope of the upper critical field $|dH_{c2}/dT|_{T_{c}}$
in superconductors with $d-$wave pairing has nonlinear dependence on disorder,
i.e. for the low anisotropic scattering rate it drops rather fast with
concentration of normal impurities, but as anisotropy of scattering increases
it features initial nonlinear growth, approaches a maximum and drops again,
vanishing at the critical impurity concentration. In superconductors with
anisotropic $s-$wave pairing $|dH_{c2}/dT|_{T_{c}}$ grows, approaching the
known asymptotic behavior, characteristic of usual isotropic case irrespective
to the scattering anisotropy.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 12:55:14 GMT""},{""version"":""v2"",""created"":""Wed, 25 Jun 1997 06:56:33 GMT""}]","2009-10-30"
"cond-mat/9706241","Suzuki Toshiya","S. Suzuki, O. Sakai and Y. Shimizu","An Extended Anderson Model that shows Decreasing Resistivity with
  Decreasing Temperature","4 pages, LaTeX, epsf.sty 6 PostScript figures",,"10.1016/S0038-1098(97)00291-3",,"cond-mat.str-el",,"  The resistivity for an extended two channel Anderson model is calculated.
When the temperature decreases, it decreases logarithmically, and has T^1/2
anomaly at very low temperatures, as seen in some dilute U alloys. The
single-particle and the spin excitation spectra are also calculated.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 11:42:51 GMT""}]","2009-10-30"
"cond-mat/9706242","T. M. Nieuwenhuizen","D.B. Saakian (Yerevan) and Th.M. Nieuwenhuizen (Amsterdam)","Variational approach to interfaces in random media: negative variances
  and replica symmetry breaking","8 pages revtex. Submitted to Journal de Physique (France)",,"10.1051/jp1:1997152",,"cond-mat.dis-nn cond-mat.soft",,"  A Gaussian variational approximation is often used to study interfaces in
random media. By considering the 1+1 dimensional directed polymer in a random
medium, it is shown here that the variational Ansatz typically leads to a
negative variance of the free energy. The situation improves by taking into
account more and more steps of replica symmetry breaking. For infinite order
breaking the variance is zero (i.e. subextensive).
  This situation is reminiscent of the negative entropies in mean field spin
glass models, which were also eliminated by considering infinite order replica
symmetry breaking.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 13:05:44 GMT""}]","2009-10-30"
"cond-mat/9706243","Matthias Vojta","Holger Koehler, Matthias Vojta, and Klaus W. Becker","Cumulant approach to the low-temperature thermodynamics of many-body
  systems","17 pages, 3 figures, to appear in Phys. Rev. B","Phys. Rev. B 56, 6603 (1997)","10.1103/PhysRevB.56.6603",,"cond-mat.str-el",,"  Current methods to describe the thermodynamic behavior of many-particle
systems are often based on perturbation theory with an unperturbed system
consisting of free particles. Therefore, only a few methods are able to
describe both strongly and weakly correlated systems along the same lines. In
this article we propose a cumulant approach which allows for the evaluation of
excitation energies and is especially appropriate to account for the
thermodynamics at low temperatures. The method is an extension of a cumulant
formalism which was recently proposed to study statical and dynamical
properties of many-body systems at zero temperature. The present approach
merges into the former one for vanishing temperature. As an application we
investigate the thermodynamics of the hole-doped antiferromagnetic phase in
high-temperature superconductors in the framework of the anisotropic t-J model.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 13:06:19 GMT""}]","2009-10-30"
"cond-mat/9706244","Felix Ritort","Theo M. Nieuwenhuizen and Felix Ritort","Quantum phase transition in spin glasses with multi-spin interactions","20 Pages including 10 figures, Revtex",,"10.1016/S0378-4371(97)00546-3","ITFA-97-25 (Van der Waals Laboratorium and Institute of Theoretical
  Physics, University of Amsterdam, The Netherlands)","cond-mat.dis-nn",,"  We examine the phase diagram of the $p$-interaction spin glass model in a
transverse field. We consider a spherical version of the model and compare with
results obtained in the Ising case. The analysis of the spherical model, with
and without quantization, reveals a phase diagram very similar to that obtained
in the Ising case. In particular, using the static approximation, reentrance is
observed at low temperatures in both the quantum spherical and Ising models.
This is an artifact of the approximation and disappears when the imaginary time
dependence of the order parameter is taken into account. The resulting phase
diagram is checked by accurate numerical investigation of the phase boundaries.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 13:33:22 GMT""}]","2015-06-25"
"cond-mat/9706246","Hans Blom","H. A. Blom, A. Kadigrobov, A. M. Zagoskin, R. I. Shekhter, and M.
  Jonson","Dissipative Electron Transport through Andreev Interferometers","24 pages, revtex, 12 figures in eps format",,"10.1103/PhysRevB.57.9995","APR 97-5","cond-mat",,"  We consider the conductance of an Andreev interferometer, i.e., a hybrid
structure where a dissipative current flows through a mesoscopic normal (N)
sample in contact with two superconducting (S) ""mirrors"". Giant conductance
oscillations are predicted if the superconducting phase difference $\phi$ is
varied. Conductance maxima appear when $\phi$ is on odd multiple of $\pi$ due
to a bunching at the Fermi energy of quasiparticle energy levels formed by
Andreev reflections at the N-S boundaries. For a ballistic normal sample the
oscillation amplitude is giant and proportional to the number of open
transverse modes. We estimate using both analytical and numerical methods how
scattering and mode mixing --- which tend to lift the level degeneracy at the
Fermi energy --- effect the giant oscillations. These are shown to survive in a
diffusive sample at temperatures much smaller than the Thouless temperature
provided there are potential barriers between the sample and the normal
electron reservoirs. Our results are in good agreement with previous work on
conductance oscillations of diffusive samples, which we propose can be
understood in terms of a Feynman path integral description of quasiparticle
trajectories.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 14:22:50 GMT""}]","2009-10-30"
"cond-mat/9706247","Branko Stojkovic","Branko P. Stojkovic and David Pines","Theory of the Optical Conductivity in the Cuprate Superconductors","REVTEX file, 8 PostScript figures",,"10.1103/PhysRevB.56.11931",,"cond-mat.str-el",,"  We present a study of the normal state optical conductivity in the cuprate
superconductors using the nearly antiferromagnetic Fermi liquid (NAFL)
description of the magnetic interaction between their planar quasiparticles. We
find that the highly anisotropic scattering rate in different regions of the
Brillouin zone, both as a function of frequency and temperature, a benchmark of
NAFL theory, leads to an average relaxation rate of the Marginal Fermi Liquid
form for overdoped and optimally doped systems, as well as for underdoped
systems at high temperatures. We carry out numerical calculations of the
optical conductivity for several compounds for which the input spin fluctuation
parameters are known. Our results, which are in agreement with experiment on
both overdoped and optimally doped systems, show that NAFL theory explains the
anomalous optical behavior found in these cuprate superconductors.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 15:37:16 GMT""}]","2009-10-30"
"cond-mat/9706270","Peter Forgacs","F. Woynarovich, P. Forgacs","Scaling limit of the one-dimensional attractive Hubbard model: The
  half-filled band case","LATEX, uses Revtex, 39 pages",,"10.1016/S0550-3213(97)84166-1",,"cond-mat.stat-mech cond-mat.str-el hep-th",,"  The scaling limit of the higher level Bethe Ansatz (HLBA) equations for a
macroscopically half-filled Hubbard chain is considered. These equations
practically decouple into three disjoint sets which are again of the BA type,
and correspond to the secular equations of three different kinds of dressed
particles (one massive and two massless). The finite size corrections and the
fine structure of the spectrum show that the massless sector corresponds to a
conformal field with central charge c=1 and Gaussian anomalous dimensions. The
zero temperature free energy is also calculated and is found to be in perfect
agreement with the results of a perturbative calculation in the SU(2) chiral
Gross-Neveu (CGN) model.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 14:16:34 GMT""}]","2009-10-30"
"dg-ga/9706012","Yi-Jen Lee","Michael Hutchings, Yi-Jen Lee","Circle-valued Morse theory and Reidemeister torsion","28 pages. Published copy, also available at
  http://www.maths.warwick.ac.uk/gt/GTVol3/paper15.abs.html","Geom. Topol. 3 (1999) 369-396","10.2140/gt.1999.3.369","G&T migration 1999-15","dg-ga math.DG",,"  Let X be a closed manifold with zero Euler characteristic, and let f: X -->
S^1 be a circle-valued Morse function. We define an invariant I which counts
closed orbits of the gradient of f, together with flow lines between the
critical points. We show that our invariant equals a form of topological
Reidemeister torsion defined by Turaev [Math. Res. Lett. 4 (1997) 679-695].
  We proved a similar result in our previous paper [Topology, 38 (1999)
861-888], but the present paper refines this by separating closed orbits and
flow lines according to their homology classes. (Previously we only considered
their intersection numbers with a fixed level set.) The proof here is
independent of the previous proof and also simpler.
  Aside from its Morse-theoretic interest, this work is motivated by the fact
that when X is three-dimensional and b_1(X)>0, the invariant I equals a
counting invariant I_3(X) which was conjectured in our previous paper to equal
the Seiberg-Witten invariant of X. Our result, together with this conjecture,
implies that the Seiberg-Witten invariant equals the Turaev torsion. This was
conjectured by Turaev [Math. Res. Lett. 4 (1997) 679-695] and refines the
theorem of Meng and Taubes [Math. Res. Lett. 3 (1996) 661-674].
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 05:53:54 GMT""},{""version"":""v2"",""created"":""Fri, 12 Sep 1997 20:27:01 GMT""},{""version"":""v3"",""created"":""Sun, 27 Jun 1999 05:18:34 GMT""},{""version"":""v4"",""created"":""Tue, 26 Oct 1999 00:00:00 GMT""}]","2014-11-11"
"dg-ga/9706013","Yi-Jen Lee","Yi-Jen Lee","Seiberg-Witten Equations on Three-Manifolds with Euclidean Ends","80 pages. To appear in Comm. Anal. Geom. The last section and
  Appendix B in the original version have been deleted to shorten length",,,,"dg-ga math.DG",,"  We construct the Seiberg-Witten theory on 3-manifolds with Euclidean ends
(connected sums of $\R^3$ and a compact manifold) with perturbations which
approximate $*dx_3$ at infinity, and describe the structure of the moduli
spaces. The setup is inspired by Taubes's program of relating the 4-dimensional
Seiberg-Witten invariant with `singular Gromov invariants' and has related
applications.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 06:57:33 GMT""},{""version"":""v2"",""created"":""Fri, 19 Feb 1999 15:23:54 GMT""},{""version"":""v3"",""created"":""Mon, 28 Oct 2002 23:41:24 GMT""},{""version"":""v4"",""created"":""Wed, 30 Oct 2002 05:58:40 GMT""}]","2008-02-03"
"gr-qc/9706070","Jose Geraldo Pereira","V. C. de Andrade (IFT-UNESP) and J. G. Pereira (IFT-UNESP)","Riemannian and Teleparallel Descriptions of the Scalar Field
  Gravitational Interaction","Minor corrections made, and a paragraph added to the last section.
  Version to appear in Gen. Rel. Grav","Gen.Rel.Grav. 30 (1998) 263-273","10.1023/A:1018848828521",,"gr-qc",,"  A comparative study between the metric and the teleparallel descriptions of
gravitation is made for the case of a scalar field. In contrast to the current
belief that only spin matter could detect the teleparallel geometry, scalar
matter being able to feel the metric geometry only, we show that a scalar field
is able not only to feel anyone of these geometries, but also to produce
torsion. Furthermore, both descriptions are found to be completely equivalent,
which means that in fact, besides coupling to curvature, a scalar field couples
also to torsion.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 20:54:05 GMT""},{""version"":""v2"",""created"":""Mon, 25 Aug 1997 13:13:01 GMT""}]","2015-06-25"
"gr-qc/9706071","Wang Anzhong","M.F.A. da Silva, Anzhong Wang, and N.O. Santos","On the sources of static plane symmetric vacuum space-times",,"Phys.Lett.A244:462-466,1998","10.1016/S0375-9601(98)00355-7",,"gr-qc",,"  The static vacuum plane spacetimes are considered, which have two non-trivial
solutions: The Taub solution and the Rindler solution. Imposed reflection
symmetry, we find that the source for the Taub solution does not satisfy any
energy conditions, which is consistent with previous studies, while the source
for the Rindler solution satisfies the weak and strong energy conditions (but
not the dominant one). It is argued that the counterpart of the Einstein theory
to the gravitational field of a massive Newtonian plane should be described by
the Rindler solution, which represents also a uniform gravitational field.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 20:06:20 GMT""}]","2009-09-25"
"gr-qc/9706072","Wang Anzhong","Anzhong Wang and Jose A.C. Nogales","Instability of cosmological event horizons of non-static global cosmic
  strings","Latex, no figures","Phys.Rev.D56:6217-6224,1997","10.1103/PhysRevD.56.6217",,"gr-qc",,"  The stability of the cosmological event horizons found recently by Gregory
[Phys. Rev. D54, 4955 (1996)] for a class of non-static global cosmic strings
is studied. It is shown that they are not stable to both test particles and
physical perturbations. In particular, the back reaction of the perturbations
of null dust fluids will turn them into spacetime singularities. The resulted
singularities are strong in the sense that the distortion of test particles
diverges logarithmically when these singular hypersurfaces are approaching.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 20:10:40 GMT""}]","2009-07-07"
"gr-qc/9706073","Sharon Morsink","John L. Friedman, Sharon M. Morsink","Axial instability of rotating relativistic stars","Latex, 18 pages. Equations 84 and 85 are corrected. Discussion of
  timescales is corrected and updated","Astrophys.J. 502 (1998) 714-720","10.1086/305920",,"gr-qc astro-ph",,"  Perturbations of rotating relativistic stars can be classified by their
behavior under parity. For axial perturbations (r-modes), initial data with
negative canonical energy is found with angular dependence $e^{im\phi}$ for all
values of $m\geq 2$ and for arbitrarily slow rotation. This implies instability
(or marginal stability) of such perturbations for rotating perfect fluids. This
low $m$-instability is strikingly different from the instability to polar
perturbations, which sets in first for large values of $m$. The timescale for
the axial instability appears, for small angular velocity $\Omega$, to be
proportional to a high power of $\Omega$. As in the case of polar modes,
viscosity will again presumably enforce stability except for hot, rapidly
rotating neutron stars. This work complements Andersson's numerical
investigation of axial modes in slowly rotating stars.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 23:35:38 GMT""},{""version"":""v2"",""created"":""Sun, 19 Oct 1997 23:08:29 GMT""},{""version"":""v3"",""created"":""Thu, 11 Jun 1998 14:21:00 GMT""}]","2009-10-30"
"gr-qc/9706074","Roberto Casadio","Roberto Casadio, Fabio Finelli and Giovanni Venturi (Dipartimento di
  Fisica, Universita' di Bologna and INFN, Bologna)","Adiabatic Invariant Treatment of a Collapsing Sphere of Quantized Dust","LaTeX, 16 pages, no figures, final version to appear in Class. and
  Quantum Gravity","Class.Quant.Grav. 15 (1998) 2451-2464","10.1088/0264-9381/15/8/021",,"gr-qc hep-th",,"  The semiclassical collapse of a sphere of quantized dust is studied. A
Born-Oppenheimer decomposition is performed for the wave function of the system
and the semiclassical limit is considered for the gravitational part. The
method of adiabatic invariants for time dependent Hamiltonians is then employed
to find (approximate) solutions to the quantum dust equations of motions. This
allows us to obtain corrections to the adiabatic approximation of the dust
states associated with the time evolution of the metric. The diverse
non-adiabatic corrections are generally associated with particle (dust)
creation and related fluctuations. The back-reaction due to the dominant
contribution to particle creation is estimated and seen to slow-down the
collapse.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 10:10:32 GMT""},{""version"":""v2"",""created"":""Tue, 19 May 1998 10:50:20 GMT""}]","2009-10-30"
"gr-qc/9706075","Nils Andersson","Nils Andersson","A new class of unstable modes of rotating relativistic stars","14 pages, latex","Astrophys.J.502:708-713,1998","10.1086/305919",,"gr-qc astro-ph",,"  The first numerical study of axial (toroidal) pulsation modes of a slowly
rotating relativistic star is presented. The calculation includes terms of
first order in $\epsilon \equiv \Omega \sqrt{R^3/M}<<1$ ($R$ is the radius, $M$
is the mass and $\Omega$ is the rotation frequency of the star), and accounts
for effects due to the coriolis force. Effects due to the centrifugal
flattening of the star enter at order $\epsilon^2$ and are not included in the
analysis. It is shown that increased rotation tends to decrease the damping
times for prograde modes, while retrograde become longer lived. Specifically,
we show that rotation affects the axial gravitational-wave $w$-modes in this
way. We also present the first relativistic calculation of the so-called
$r$-modes (analogous to Rossby waves in the Earth's oceans). These have
frequencies of the same order of magnitude as the rotation frequency of the
star. The presented results indicate that the $r$-modes are unstable due to the
emission of gravitational radiation for \underline{all} rotating perfect fluid
stars. This is interesting since the previously considered gravitational-wave
instability associated with (for example) the $f$-mode of the star sets in at a
critical rotation rate. Because they are unstable also for the slowest rotating
stars the $r$-modes may well be of considerable astrophysical importance.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 13:52:12 GMT""}]","2009-07-09"
"hep-ex/9706017","Stephane Willocq","Stephane Willocq","B Physics at SLD","7 pages, 4 figures","Nucl.Phys.Proc.Suppl. 65 (1998) 210-214","10.1016/S0920-5632(97)01003-7","SLAC-PUB-7567","hep-ex",,"  We review recent $B$ physics results obtained in polarized $e^+ e^-$
interactions at the SLC by the SLD experiment. The excellent 3-D vertexing
capabilities of SLD are exploited to extract precise $\bu$ and $\bd$ lifetimes,
as well as measurements of the time evolution of $B^0_d - \bar{B^0_d}$ mixing.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 23:26:00 GMT""}]","2009-10-30"
"hep-lat/9706018","Simon Hands","Simon Hands","Fixed Point Four-Fermi Theories","19 pages LaTeX, contribution to the 1st APCTP-ICTP Joint
  International Conference on Recent Developments in Non-Perturbative Methods,
  May 1997, Seoul, Korea",,,"SWAT/97/157","hep-lat",,"  I review dynamical chiral symmetry breaking in four-fermi models, including
results of Monte Carlo simulations with dynamical fermions. For 2<d<4, where
the phase transition defines an ultraviolet fixed point of the renormalisation
group, the continuum theory may either be describable using the large-N_f
expansion, as in the case of the Gross-Neveu model, or be intrinsically
non-perturbative, as in the case of the Thirring model. For d=4, the models are
trivial and are described by a mean field equation of state with logarithmic
corrections to scaling, which may nonetheless define new universality classes
distinct from those of ferromagnetism.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 09:42:30 GMT""}]","2007-05-23"
"hep-ph/9706444","Michael M. Tung","M.M. Tung (ITP, SUNY, Stony Brook, USA), J. Bernabeu, and J.
  Penarrocha (Dept. de Fisica Teorica and IFIC, Universitat de Valencia, Spain)","O(alpha_s) Spin-Spin Correlations for Top and Bottom Quark Production in
  e+ e- Annihilation","17 pages (Latex) + 6 figures (PostScript) [final version of
  manuscript as to appear in Physics Letters B]","Phys.Lett. B418 (1998) 181-191","10.1016/S0370-2693(97)01438-X","ITP-SB-97-31, FTUV-97/39, IFIC-97/39","hep-ph",,"  We present the full O(alpha_s) longitudinal spin-spin correlations for
heavy-quark pair production at e+ e- high-energy colliders in closed analytical
form. In such reactions, quark and antiquark have strongly correlated spins,
and the longitudinal components are dominant. For the explicit computation of
the QCD bremsstrahlung contributions, new phase-space integrals are derived.
Explicit numerical estimates are given for t t_bar and b b_bar production.
Around the Z-peak, QCD one-loop corrections depolarize the spin-spin asymmetry
for bottom quark pairs by approximately -4%. For top pair production, we find
at 350GeV a 0.6% increased polarization over a value of 0.4 in the longitudinal
correlation. For more than 1 TeV the O(alpha_s) corrections enhance
depolarization to -2% in the top-pair case.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 23:30:20 GMT""},{""version"":""v2"",""created"":""Tue, 24 Jun 1997 02:11:33 GMT""},{""version"":""v3"",""created"":""Fri, 27 Jun 1997 03:06:23 GMT""},{""version"":""v4"",""created"":""Wed, 9 Jul 1997 12:59:14 GMT""},{""version"":""v5"",""created"":""Wed, 15 Oct 1997 21:37:37 GMT""}]","2009-10-30"
"hep-ph/9706464","Leonid Burakovsky","L. Burakovsky, T. Goldman and L.P. Horwitz","New quadratic baryon mass relations","14 pages, LaTeX","Phys.Rev.D56:7124-7132,1997","10.1103/PhysRevD.56.7124","LA-UR-97-2333","hep-ph",,"  By assuming the existence of (quasi)-linear baryon Regge trajectories, we
derive new quadratic Gell-Mann-Okubo type baryon mass relations. These
relations are used to predict the masses of the charmed baryons absent from the
Baryon Summary Table so far, in good agreement with the predictions of many
other approaches.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 17:09:16 GMT""}]","2008-11-26"
