"adap-org/9706003","Marie-Line Chabanol","M.-L. Chabanol and V. Hakim (Laboratoire de Physique Statistique, ENS
  Paris, France)","Analysis of a dissipative model of self-organized criticality with
  random neighbors","4 pages, TeX, 4 Postscript figures, submitted to ""Physical Review E,
  Rapid Communications""",,"10.1103/PhysRevE.56.R2343",,"adap-org cond-mat.stat-mech nlin.AO",,"  We analyze a random neighbor version of the OFC stick-slip model. We find
that the mean avalanche size is finite as soon as dissipation exists in the
bulk but that this size grows exponentially fast when dissipation tends to
zero.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 13:07:18 GMT""}]","2009-10-30"
"hep-ph/9706289","Isabelle Royen","I. Royen (Liege University, Belgium)","A Low-Nussinov Model for gamma* p -> V p","5 pages LaTeX, 6 Postscipt figures. Contribution to the XXXIInd
  Rencontre de Moriond on ""QCD and High Energy Hadronic Interactions"", Les Arcs
  1800, France, March 22-29, 1997, to appear in the proceedings",,,"ULG-PNT-97-1-IR","hep-ph",,"  We show that the lowest-order QCD calculation in a simple model of elastic
vector-meson production does reproduce correctly the ratios of cross sections
for rho, phi and J/psi (measured by H1 and ZEUS), both in photoproduction and
in high-Q^2 quasi-elastic scattering. The mass and Q^2 dependence of the cross
sections is reproduced as well. We also examine the lower-energy data, and see
that the energy dependence of the cross section does not depend on Q^2, and
that a comparison with rho and phi data from NMC suggests a soft pomeron
intercept.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 11:03:25 GMT""}]","2007-05-23"
"hep-ph/9706290","Martin McDermott","M.F. McDermott","Is charm the key to understanding diffraction in DIS ?","6 pages, latex, 5 figures. Talk given at the diffractive working
  group of DIS '97, Chicago Il. The required AIP style files are provided",,"10.1063/1.53638",,"hep-ph",,"  This talk concerns the production of open charm in diffractive deep inelastic
scattering. This has been calculated recently in the context of the
semi-classical approach to diffraction. A comparison is made to approaches in
which the diffractive exchange is modelled by the exchange of two gluons in the
$t$-channel. Two phenomenological test of the underlying partonic process are
discussed.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 12:01:02 GMT""}]","2009-10-30"
"hep-ph/9706291","Ningpz","G. X. Peng and P. Z. Ning","Mass formulae and strange quark matter","9 pages, LATeX with ELSART style, one table, no figures. Improvement
  on the derivation of qark mass formulae",,"10.1103/PhysRevC.56.491",,"hep-ph",,"  We have derived the popularly used parametrization formulae for quark masses
at low densities and modified them at high densities within the
mass-density-dependent model. The results are applied to investigate the lowest
density for the possible existence of strange quark matter at zero temperature.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 12:05:50 GMT""},{""version"":""v2"",""created"":""Mon, 1 Dec 1997 07:45:45 GMT""}]","2009-10-30"
"hep-ph/9706293","Yuan Feng","Feng Yuan, Kuang-Ta Chao (Peking University)","High-$p_T$ $\psi\psi$ production as signals for Double Parton scattering
  at hadron colliders","Revtex, 12 pages, 3 Postscript figures","J.Phys.G24:1105-1112,1998","10.1088/0954-3899/24/6/005","PKU-TP-97-10(E)","hep-ph",,"  We present an analysis of the \psi\psi production from double parton (DP)
sacttering and single parton (SP) scattering in the large p_T region via
color-octet gluon fragmentation. We find that at the Tevatron the DP \psi\psi
production is at the edge of the detectability at present, and at the LHC the
DP cross section will dominate over the SP cross section in the lower p_T(min)
region (i.e., p_T(min)<7GeV). We also conclude that the color-octet mechanism
is of crucial importance to the double j/psi production at high energy hadron
colliders.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 14:21:56 GMT""},{""version"":""v2"",""created"":""Fri, 18 Jul 1997 08:37:48 GMT""}]","2008-11-26"
"hep-ph/9706294","Yuan Feng","Feng Yuan and Kuang-Ta Chao (Peking University)","The Color-Octet intrinsic charm in $\eta^\prime$ and $B\to \eta^\prime
  X$ decays","9 pages, RevTex, 1 PS figure","Phys.Rev.D56:2495-2498,1997","10.1103/PhysRevD.56.R2495","PKU-TP-97-21","hep-ph",,"  Color-octet mechanism for the decay B\to \eta^\prime X is proposed to explain
the large branching ratio of Br(B\to \eta^\prime X)\sim 1\times 10^{-3}
recently announced by CLEO. We argue that the inclusive \eta^\prime production
in B decays may dominantly come from the Cabbibo favored b\to (\bar c c)_8s
process where \bar c c pair is in a color-octet configuration, and followed by
the nonperturbative transition (\bar c c)_8\to \eta^\prime X. The color-octet
intrinsic charm component in the higher Fock states of \eta^\prime is crucial
and is induced by the strong coupling of \eta^\prime to gluons via QCD axial
anomaly.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 14:22:26 GMT""}]","2009-12-30"
"hep-ph/9706295","Davor Palle","D. Palle (Rugjer Boskovic Institute, Zagreb, Croatia)","A new contribution to the flavour-changing lepton- photon vertex","7 pages, LaTeX style; IL NUOVO CIMENTO A (1997) in press","Nuovo Cim. A110 (1997) 143-147; Erratum-ibid. A110 (1997) 457","10.1007/BF03185553",,"hep-ph",,"  We show that the correct perturbation theory for mixed fermion states leads
to nonvanishing contributions of the dimension-four vertex operators for
flavour-changing transitions. Their contributions to the amplitude are of the
same order of magnitude as the dimension- five vertex operators. Considerations
are valid irrespective of the electroweak model. A complete and correct
evaluation of the neutrino lifetime for particular electroweak models could be
of greate importance in the theoretical cosmology and astrophysics.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 14:26:23 GMT""}]","2022-03-02"
"hep-ph/9706296","Antonio Riotto","A. Riotto (Fermilab)","The Superhot, Superdense, Supersymmetric Universe","9 pages, LaTeX file. Talk given at the SUSY97 Conference, May 27-31,
  Philadelphia PA, USA","Nucl.Phys.Proc.Suppl. 62 (1998) 253-258","10.1016/S0920-5632(97)00665-8",,"hep-ph",,"  In this talk the following question is addressed: are internal symmetries
necessarily restored at high temperature in supersymmetric theories? Contrary
to the general belief, we argue that the answer is no when systems possess a
net background charge. Our findings are exemplified on abelian models, for both
cases of global and local symmetries and possible cosmological implications are
also discussed.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 14:59:25 GMT""}]","2009-10-30"
"hep-ph/9706297","John Campbell","J. M. Campbell (1), E. W. N. Glover (1) and D. J. Miller (2) ((1)
  University of Durham, (2) Rutherford Appleton Laboratory)","The One-loop QCD Corrections for gamma^* to q qbar gg","10 pages, LaTeX, 3 figures included, uses epsfig","Phys.Lett.B409:503-508,1997","10.1016/S0370-2693(97)00909-X","DTP/97/44, RAL TR 97-027","hep-ph",,"  We compute the one-loop QCD amplitudes for the decay of an off-shell vector
boson with vector couplings into a quark-antiquark pair accompanied by two
gluons keeping, for the first time, all orders in the number of colours.
Together with previous work this completes the calculation of the necessary
one-loop amplitudes needed for the calculation of the next-to-leading order
O(alpha_s^3) corrections to four jet production in electron-positron
annihilation, the production of a gauge boson accompanied by two jets in
hadron-hadron collisions and three jet production in deep inelastic scattering.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 15:37:11 GMT""},{""version"":""v2"",""created"":""Thu, 17 Sep 1998 20:39:32 GMT""}]","2008-11-26"
"hep-ph/9706298","Alessandro Strumia","Leonardo Giusti and Alessandro Strumia","Atomic parity violation and the HERA anomaly","4 pages. Reference added, PDG value of weak charge revised","Phys.Lett.B410:229-232,1997","10.1016/S0370-2693(97)00982-9","IFUP-TH 23/97","hep-ph",,"  We show that the two scenarios able to explain the HERA anomaly --- a new
leptoquark coupling or a new contact interaction --- predict new contributions
to atomic parity violation. These corrections are sufficiently large and
different that a feasible reduction in the dominant atomic theory uncertainty
could give some hint in favour of one of the two scenarios.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 15:38:18 GMT""},{""version"":""v2"",""created"":""Fri, 13 Jun 1997 16:13:48 GMT""}]","2009-10-09"
"hep-th/9706052","Kim Sang Pyo","Sang Pyo Kim (Kunsan National University, Dept. of Physics)","Liouville-Neumann Approach to the Nonperturbative Quantum Field Theory","To appear in the proceedings to be published by World Scientific of
  APCTP-ICTP Joint International Conference '97 on 'Recent Developments in
  Nonperturbative Quantum Field Theory', May 26-30, 1997, Seoul, Some typos
  corrected, ReVTeX, 12 Pages, No Figure",,,,"hep-th",,"  We present a nonperturbative field theoretic method based on the
Liouville-Neumann (LN) equation. The LN approach provides a unified formulation
of nonperturbative quantum fields and also nonequilibrium quantum fields, which
makes use of mean-field type equations and whose results at the lowest level
are identically the same as those of the Gaussian effective potential approach
and the mean-field approach. The great advantageous point of this formulation
is its readiness of applicability to time-dependent quantum systems and to
finite temperature field theory, and its possibility to go beyond the Gaussian
approximation.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 09:21:29 GMT""},{""version"":""v2"",""created"":""Tue, 15 Jul 1997 10:20:13 GMT""}]","2008-02-03"
"hep-th/9706053","Hans-Christian Pauli","H.C. Pauli (MPI Kernphysik, Heidelberg, Germany)","On Deriving the Effective Interaction from the QCD-Lagrangian","Latex, 8 pages, 2 figures",,,,"hep-th hep-ph",,"  The canonical front form Hamiltonian for non-Abelian SU(N) gauge theory in
3+1 dimensions is mapped non-perturbatively on an effective Hamiltonian which
acts only in the Fock space of a quark and an antiquark. The approach is based
on the novel method of iterated resolvents and on discretized light-cone
quantization, driven to the continuum limit. It is free of the usual
Tamm-Dancoff truncations of the Fock space, rather the perturbative series are
consistently resumed to all orders in the coupling constant. Emphasis is put on
dealing with the many-body aspects of gauge field theory. Important is that the
higher Fock-space amplitudes can be retrieved self-consistently from these
solutions. (Proceedings Les Houches 1997)
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 10:13:27 GMT""}]","2007-05-23"
"hep-th/9706054","Takeshi Oota","Takeshi Oota","q-deformed Coxeter element in Non-simply-laced Affine Toda Field
  Theories","16 pages, latex, no figures","Nucl.Phys. B504 (1997) 738-752",,"YITP-97-33","hep-th",,"  The Lie algebraic structures of the S-matrices for the affine Toda field
theories based on the dual pairs (X_N^{(1)}, Y_M^{(l)}) are discussed. For the
non-simply-laced horizontal subalgebra X_N and the simply-laced horizontal
subalgebra Y_M, we introduce a ``q-deformation'' of a Coxeter element and a
``p-deformation'' of a twisted Coxeter element respectively. Using these
deformed objects, expressions for the generating function of the multiplicities
of the building block of the S-matrices are obtained. The relation between the
deformed version of Dorey's rule and generalized Dorey's rule due to Chari and
Pressley are discussed.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 10:21:40 GMT""}]","2016-09-06"
"hep-th/9706055","Hans-Christian Pauli","U. Trittmann (MPI Kernphysik, Heidelberg, Germany)","Front form QED(3+1): The spin-multiplet structure of the positronium
  spectrum at strong coupling","Latex, 8 pages, 5 figures","Proc. Les Houches School, France, Feb. 24-March 7, 1997, eds. P.
  Grange, A. Neveu, H.-C. Pauli, S. Pinsky, E. Werner, (Berlin, Germany:
  Springer, Les Ulis, France: EDP Sciences, 1998) pp. 89-96",,,"hep-th hep-ph",,"  Numerical results on the positronium spectrum in the front form of QED at
large coupling constant are presented. Emphasis is put on the question whether
one can derive an effective interaction at all, and whether this effective
interaction is rotationally invariant. (Proceedings of Les Houches 1997)
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 11:12:56 GMT""}]","2007-05-23"
"hep-th/9706056","Shirkov D. V.","V.F.Kovalev, V.V.Pustovalov and D.V.Shirkov","Group analysis and renormgroup symmetries","17 pages, RevTeX LATeX file, to appear in Journal of Mathematical
  Physics","J.Math.Phys. 39 (1998) 1170-1188","10.1063/1.532374",,"hep-th math-ph math.MP nlin.SI solv-int",,"  An original regular approach to constructing special type symmetries for
boundary value problems, namely renormgroup symmetries, is presented. Different
methods of calculating these symmetries, based on modern group analysis are
described. Application of the approach to boundary value problems is
demonstrated with the help of a simple mathematical model.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 12:27:36 GMT""}]","2009-10-30"
"math/9706217","Frank Sottile","Frank Sottile","Pieri-type formulas for maximal isotropic Grassmannains via triple
  intersections",,,,"MSRI 1997-062","math.AG",,"  We give an elementary proof of the Pieri-type formula in the cohomology of a
Grassmannian of maximal isotropic subspaces of an odd orthogonal or symplectic
vector space. This proof proceeds by explicitly computing a triple intersection
of Schubert varieties. The decisive step is an exact description of the
intersection of two Schubert varieties, from which the multiplicities (which
are powers of 2) in the Pieri-type formula are immediately obvious.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 00:00:00 GMT""}]","2016-09-07"
"nucl-th/9706023","Heinz Oberhummer","P. Mohr, H. Beer, H. Herndl, H. Oberhummer","Measurement and analysis of neutron capture reaction rates of light
  neutron-rich nuclei","4 pages uses LaTeX2e with camera.cls, epsf.tex and epsfig.sty
  (included), with 2 postscript figures, Proceedings of the International
  Conference on Nuclear Data for Science and Technology, May 19-24, 1997,
  Trieste, Italy",,,,"nucl-th nucl-ex",,"  Several neutron capture cross sections of light neutron-rich nuclei were
measured in the astrophysically relevant energy region of 5 to 200 keV. The
experimental data are compared to calculations using the direct capture model.
The results are used for the calculation of neutron capture cross sections of
unstable isotopes. Furthermore, neutron sources with energies below E_n \approx
10 keV are discussed.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 06:12:09 GMT""}]","2007-05-23"
"physics/9706013","Andreas Klinkmueller","D. Hanstorp, G. Haeffler, A. E. Klinkmueller, U. Ljungblad, U.
  Berzinsh, I. Yu. Kiyan, D. J. Pegg","Two electron dynamics in photodetachment","pages 21; LaTeX scrartcl (Koma-script)","Adv. Quant. Chem. Vol 30 (1998) 311","10.1016/S0065-3276(08)60514-6",,"physics.atom-ph",,"  We present the results of experimental studies of photon-negative ion
interactions involving the dynamics of two electrons. Resonances associated
with doubly excited states of Li^- and He^- have been observed using laser
photodetachment spectroscopy. Total and partial photodetachment cross sections
have been investigated. In the former case, the residual atoms are detected
irrespective of their excitation state, while in the latter case only those
atoms in specific states are detected. This was achieved by the use of a state
selective detection scheme based on the resonant ionization of the residual
atoms. In addition, in the case of Li^- photodetachment, the threshold behavior
of the Li(2 ^2P)+e^-(ks) partial cross section has been used to accurately
measure the electron affinity of Li.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 15:46:02 GMT""}]","2015-06-26"
"q-alg/9706007","Alexei A. Davydov","A.A. Davydov","Quasitriangular structures on cocommutative Hopf algebras","Latex, 22 pages",,,,"q-alg math.QA",,"  The article is devoted to the describtion of quasitriangular structures
(universal R-matrices) on cocommutative Hopf algebras. It is known that such
structures are concentrated on finite dimensional Hopf subalgebras. In
particular, quasitriangular structure on group algebra is defined by the pairs
of normal inclusions of an finite abelian group and by invariant
bimultiplicative form on it. The structure is triangular in the case of
coinciding inclusions and skewsymmetric form. The nonstandart
$\lambda$-structure on the representation ring of finite group, corresponding
to the triangular structure on group ring, is described.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 10:37:07 GMT""}]","2008-02-03"
"quant-ph/9706018","Mark J. Hadley","Mark J. Hadley (Univ. of Warwick, UK)","The Logic of Quantum Mechanics Derived from Classical General Relativity","16 pages Latex","Found.Phys.Lett. 10 (1997) 43-60","10.1007/BF02764119",,"quant-ph gr-qc hep-th",,"  For the first time it is shown that the logic of quantum mechanics can be
derived from Classical Physics. An orthomodular lattice of propositions,
characteristic of quantum logic, is constructed for manifolds in Einstein's
theory of general relativity. A particle is modelled by a topologically
non-trivial 4-manifold with closed timelike curves - a 4-geon, rather than as
an evolving 3-manifold. It is then possible for both the state preparation and
measurement apparatus to constrain the results of experiments. It is shown that
propositions about the results of measurements can satisfy a non-distributive
logic rather than the Boolean logic of classical systems. Reasonable
assumptions about the role of the measurement apparatus leads to an
orthomodular lattice of propositions characteristic of quantum logic.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 12:04:30 GMT""}]","2009-10-30"
"quant-ph/9706019","Bella Andrea","Giuseppe Castagnoli","Quantum Computation Based on Retarded and Advanced Propagation","Reference of particle statistics to computation speed up better
  formalized after referee's suggestions. Modified: second half of Section I,
  Section IIC after eq.(7), Section IID and E. Figure unchanged",,"10.1016/S0167-2789(98)00044-X",,"quant-ph",,"  Computation is currently seen as a forward propagator that evolves (retards)
a completely defined initial vector into a corresponding final vector. Initial
and final vectors map the (logical) input and output of a reversible Boolean
network respectively, whereas forward propagation maps a one-way propagation of
logical implication, from input to output. Conversely, hard NP-complete
problems are characterized by a two-way propagation of logical implication from
input to output and vice versa, given that both are partly defined from the
beginning. Logical implication can be propagated forward and backward in a
computation by constructing the gate array corresponding to the entire
reversible Boolean network and constraining output bits as well as input bits.
The possibility of modeling the physical process undergone by such a network by
using a retarded and advanced in time propagation scheme is investigated. PACS
numbers: 89.70.+c, 02.50.-r, 03.65.-w, 89.80.+h
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 15:06:25 GMT""},{""version"":""v2"",""created"":""Tue, 10 Jun 1997 12:02:38 GMT""},{""version"":""v3"",""created"":""Thu, 26 Jun 1997 14:56:00 GMT""},{""version"":""v4"",""created"":""Tue, 5 Aug 1997 15:46:43 GMT""},{""version"":""v5"",""created"":""Thu, 20 Nov 1997 16:12:30 GMT""}]","2009-10-30"
