"alg-geom/9701017","Carlo Gasbarri","Carlo Gasbarri","Heights and Geometric Invariant Theory","17 pages AMS-TeX",,,,"alg-geom math.AG",,"  Let $K$ be a number field, $\OK$ be its ring of integers. We introduce the
notion of compactified representation of $GL_N(\OK)$ and, we see how to
associate to a hermitian vector bundle $\E$ over $\Spec(\OK)$ and a
compactified representation $\T$, a hermitian tensor bundle $\E_T$. We can
prove then that there exists a lower bound for the heights of points
$x\in\P(\E_T)$ with $SL_N(K)$--semistable generic fibre in terms of the degree
of $\E$ and some universal constants depending only on the compactified
representation. We give then three applications: a universal lower bound for
general flag varieties, an application to the adjoint representation of
$SL_N(K)$ and a construction of a height on the moduli space of semistable
vector bundles over algebraic curves.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 11:21:28 GMT""}]","2008-02-03"
"hep-lat/9701014","Paolo Provero","F. Gliozzi and P. Provero","The Svetitsky-Yaffe conjecture for the plaquette operator","8 pages, LaTeX file + three .eps figures","Phys.Rev. D56 (1997) 1131-1134","10.1103/PhysRevD.56.1131","DFTT 7/97","hep-lat hep-th",,"  According to the Svetitsky-Yaffe conjecture, a (d+1)-dimensional pure gauge
theory undergoing a continuous deconfinement transition is in the same
universality class as a d-dimensional statistical model with order parameter
taking values in the center of the gauge group. We show that the plaquette
operator of the gauge theory is mapped into the energy operator of the
statistical model. For d=2, this identification allows us to use conformal
field theory techniques to evaluate exactly the correlation functions of the
plaquette operator at the critical point. In particular, we can evaluate
exactly the plaquette expectation value in presence of static sources, which
gives some new insight in the structure of the color flux tube in mesons and
baryons.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 16:39:10 GMT""}]","2009-10-30"
"hep-ph/9701399","Stefan Recksiegel","T. Mannel and S. Recksiegel","Flavour Changing Neutral Current Decays of Heavy Baryons: The Case
  $\Lambda_b \to \Lambda \gamma$","Latex, 14 pages, 3 postscript figures included, uses epsf The
  complete paper, including figures, is also available via anonymous ftp at
  ftp://ttpux2.physik.uni-karlsruhe.de/ , or via www at
  http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/","J.Phys.G24:979-990,1998","10.1088/0954-3899/24/5/006","TTP97-06","hep-ph",,"  We investigate the rare decay $\Lambda_b \to \Lambda \gamma$ which receives
both short and long distance contributions. We estimate the long distance
contributions and find them very small. The form factors are obtained from
$\Lambda_c \to \Lambda \ell \bar{\nu}_\ell$ using heavy quark symmetry and a
pole model. The short distance piece opens a window to new physics and we
discuss the sensitivity of $\Lambda_b \to \Lambda \gamma$ to such effects.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 16:00:11 GMT""}]","2008-11-26"
"hep-ph/9701400",,"B. Moussallam","A sum rule approach to the violation of Dashen's theorem","A few corrections and improvements made, the list of references is
  more complete","Nucl.Phys. B504 (1997) 381-414","10.1016/S0550-3213(97)00464-1","IPNO/TH 97-03","hep-ph",,"  A classic sum rule by Das et al. is extended to seven of the low-energy
constants $K_i$, introduced by Urech, which parameterize electromagnetic
corrections at chiral order $O(e^2p^2)$. Using the spurion formalism, a simple
convolution representation is shown to hold and the structure in terms of the
chiral renormalization scale, the QCD renormalization scale and the QED gauge
parameter is displayed. The role of the resonances is studied as providing
rational interpolants to relevant QCD n-point functions in the euclidian
domain. A variety of asymptotic constraints must be implemented which have
phenomenological consequences. A current assumption concerning the dominance of
the lowest-lying resonances is shown clearly to fail in some cases.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 16:06:27 GMT""},{""version"":""v2"",""created"":""Wed, 18 Jun 1997 09:50:30 GMT""}]","2009-10-30"
"hep-ph/9701401","Jose Alejandro Ayala","A. Ayala (University of Illinois at Urbana-Champaign) and J. Kapusta
  (University of Minnesota)","Coulomb Effects on Charged Kaon Distributions From Vlasov Dynamics","Latex, 9 pages, 8 figures","Phys.Rev.C56:407-411,1997","10.1103/PhysRevC.56.407","NUC-MINN-96/15-T","hep-ph nucl-th",,"  We compute the influence of Coulomb effects on the charged kaon distribution
at low momentum in high energy nucleus-nucleus collisions. This is accomplished
by solving the Vlasov equation for the kaons in the presence of an expanding,
highly charged, fireball.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 19:51:50 GMT""}]","2008-11-26"
"hep-ph/9701402","Stephane Keller","D. Denisov and S. Keller","Summary of the Very Large Hadron Collider Physics and Detector Subgroup","To appear in the Proceedings of the 1996 DPF/DPB Summer Study on New
  Directions for High-Energy Physics, Snowmass 96","ECONFC960625:ACC040,1996",,"FERMILAB-CONF-97/018-T","hep-ph",,"  We summarize the activity of the Very Large Hadron Collider Physics and
Detector subgroup during Snowmass 96.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 21:40:57 GMT""}]","2008-11-26"
"hep-ph/9701403","Ian Chapman","Ian Chapman (Texas at Austin)","Finite Temperature Wave-Function Renormalization, A Comparative Analysis","12 pages, 3 figures. LaTeX","Phys.Rev.D55:6287-6291,1997","10.1103/PhysRevD.55.6287","UTEXAS-HEP-97-3, DOE-ER40757-094","hep-ph",,"  We compare two competing theories regarding finite temperature wave-function
corrections for the process $H \to e^+e^-$ and for $n+\nu \to p+e^-$ and
related processes of interest for primordial nucleosynthesis. Although the two
methods are distinct (as shown in $H \to e^+e^-$) they yield the same finite
temperature correction for all $n\to p$ and $p \to n$ processes. Both methods
yield an increase in the He/H ratio of .01% due to finite temperature
renormalization rather than a decrease of .16% as previously predicted.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 21:32:36 GMT""}]","2008-11-26"
"hep-ph/9701404","Ira Rothstein","Ira Z. Rothstein and M.B. Wise","The Octet Structure Function and Radiative Quarkonia Decay","9 pages, LaTex, Contribution from ^1S_0 included","Phys.Lett. B402 (1997) 346-350","10.1016/S0370-2693(97)00462-0","UCSD-97-02, CALT-68-2095","hep-ph",,"  The Operator Product Expansion, in conjunction with the power counting of
non-relativistic field theory, is used to examine the end-point region of the
radiative decay of heavy quark bound states with $^3S_1$ quantum numbers,
$Q\bar{Q}\rightarrow \gamma+X$. We identify an infinite class of operators that
determine the shape of the photonic end-point spectrum. These operators can be
resummed to form an octet structure function which parameterizes the energy of
the dynamical gluon content of the leading octet Fock state component of the
quarkonium. This color-octet contribution is important when the photon spectrum
is examined with a resolution given by $\Delta E_\gamma \sim m_Qv^2$, where
$v^2$ is the relative quark velocity squared. The formalism used makes explicit
the shift of the end-point from its partonic to its hadronic value.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 02:40:59 GMT""},{""version"":""v2"",""created"":""Fri, 7 Feb 1997 01:59:59 GMT""}]","2009-10-30"
"hep-ph/9701405",,"Gaitri Saini and Satish D.Joglekar","Bound on nonlocal scale from g-2 of muon in a nonlocal WS model","24 pages,RevTeX,needs FEYNMAN.TEX","Z.Phys. C76 (1997) 343-353",,,"hep-ph hep-th",,"  We consider the nonlocal version of the Weinberg Salam model (following
Kleppe et al.) with a finite parameter $\Lambda$ signifying a fundamental
length scale.We calculate the extra contributions to the anomalous magnetic
moment of the muon coming from the nonlocal structure in this model.We find
that the nonlocal contribution can be comparable to weak contributions and goes
to increase theoretical estimates. We use this calculation to determine the
limit on the scale of nonlocality.We obtain the result $1/\Lambda \lessim 3
\times 10^{-16} $cm,which could be improved when present experimental errors
narrow down.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 13:02:22 GMT""}]","2016-09-06"
"hep-ph/9701406",,"Gongru Lu, Yigang Cao, Jinshu Huang, Junde Zhang and Zhenjun Xiao","TC corrections to the single-top-quark production at the Fermilab
  Tevatron","11 pages, Latex, no macros, 2 figures(one in Latex), hard copy of
  another figure is available upon request",,,"HNU-TH/97-01","hep-ph",,"  We calculate one-loop corrections to the single-top-quark production via
$q\overline{q}' \to t\overline b$ at the Fermilab Tevatron from the
Pseudo-Goldstone bosons ( PGBs ) in the framework of one generation technicolor
model. The maximum correction to the total cross section for the
single-top-quark production is found to reach -2.4% relative to the tree-level
cross section, which may be observable at a high-luminosity Tevatron.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 11:02:37 GMT""}]","2016-09-06"
"hep-ph/9701407","Yuly Shabelsky","M.G.Ryskin and Yu.M.Shabelski (Petersburg Nuclear Physics Institute
  Gatchina, St.Petersburg)","Role of the non-resonant background in the $\rho^0$-meson diffractive
  electro- and photoproproduction","15 pages, 6 figures, use epsfig.sty","Phys.Atom.Nucl. 61 (1998) 81-86; Yad.Fiz. 61 (1998) 89-94",,,"hep-ph",,"  The background due to the direct diffractive dissociation of the photon into
the $\pi^+\pi^-$-pair to the ""elastic"" diffractive $\rho^0$-meson production in
electron-proton collisions is calculated. The amplitude for the background
process $\gamma p \to \pi^+ \pi^- p$ is proportional to the $\pi$-meson -
proton cross section. Therefore, describing the HERA data, we can estimate
$\sigma (\pi p)$ at energy $s_{\pi p}\sim (2 - 3) \times 10^{3}$ GeV$^2$ that
is considerably higher the existing data. At large $Q^2$ the interference
between resonant and non-resonant $\pi^+ \pi^-$ production leads also to the
more slow increase of the $\sigma^L/\sigma^T$ ratio with the mass of the $2\pi$
(i.e. $\rho^0$-meson) state.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 11:12:42 GMT""}]","2016-09-06"
"hep-ph/9701408",,"Michael C. Birse, Thomas D. Cohen and Judith A. McGovern","Relations Among Correlation Functions in the High Temperature Phase of
  QCD with Broken SU(3)","8 pages","Phys.Lett. B399 (1997) 263-266","10.1016/S0370-2693(97)00279-7","U. of MD PP\#97-076","hep-ph",,"  Group-theoretic arguments are used to determine the dependence of two-point
correlators of quark bilinears on the current quark masses. The leading
difference between $\pi$ and $\delta$ correlators is found to be of order $m_s$
times a U(1)$_{\scriptscriptstyle A}$-violating correlator. These general
arguments are consistent with Schaefer's observation that if
U(1)$_{\scriptscriptstyle A}$ violation persists to high enough temperatures
then the strange $\eta$ can be lighter than the non-strange one.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 14:52:19 GMT""}]","2009-10-30"
"hep-ph/9701409","Vincent Lafage","F. Boudjema","Aspects of W Physics at the Linear Collider","paper in LaTeX, 30 pages, 10 figures. Plenary Talk, given at LCW95,
  Morioka-Appi (Japan), Sep. 1995. Complete psfile available via anonymous ftp
  at ftp://lapphp0.in2p3.fr/pub/preprints-theorie/ENSLAPP575.uu or at
  http://lapphp0.in2p3.fr/preplapp/psth/ENSLAPP575.ps.gz",,,"ENSLAPP-A-575/96. In the proceedings of the Workshop Physics and
  Experiments with Linear Colliders . Vol.1, p.199, Edts A. Miyamoto et al.,
  World Scientific 1996","hep-ph",,"  It is argued that the next linear colliders can serve as W factories that may
be exploited for precision tests on the properties of the massive gauge bosons.
The connection between the probing of the symmetry breaking sector and precise
measurement of the self-couplings of the weak vector bosons is stressed. The
discussion relies much on the impact of the present low-energy data, especially
LEP1. These have restricted some paths that lead to the exploration of the
scalar sector through the investigation of the so-called anomalous couplings of
the W's and suggest a hierarchy in the classification of these parameters. The
limits we expect to set on these couplings at the different modes of the linear
colliders are reviewed and compared with those one obtains at the LHC. The
conclusion is that the first phase of a linear collider running at 500 GeV and
the LHC are complementary. Some important issues concerning radiative
corrections and backgrounds that need further studies in order that one
conducts high precision analyses at high energies are discussed.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 15:12:08 GMT""}]","2016-09-06"
"hep-ph/9701410","Francois Gelis","Francois Gelis (ENSLAPP, Annecy)","Cutting rules in the real time formalisms at finite temperature","25 pages, LaTeX file with ""article"" style, 6 postscript figures
  included by \epsfbox","Nucl.Phys. B508 (1997) 483-505","10.1016/S0550-3213(97)00511-7","ENSLAPP-A-639/97","hep-ph",,"  In this paper, we review the set of rules specific to the calculation of the
imaginary part of a Green's function at finite temperature in the real-time
formalisms. Emphasis is put on the clarification of a recent controversy
concerning these rules in the ""1/2"" formalism, more precisely on the issue
related to the interpretation of these rules in terms of cut diagrams, like at
T=0. On the second hand, new results are presented, enabling one to calculate
the imaginary part of thermal Green's functions in other formulations of the
real-time formalism, like the ""retarded/advanced"" formalism in which a lot of
simplifications occur.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 15:17:00 GMT""}]","2009-10-30"
"hep-ph/9701411","Pran Nath Pandita","P.N. Pandita (DESY and North Eastern Hill University, Shillong)","The Lightest Neutralino in Supersymmetric Standard Model with Arbitrary
  Higgs Sectors","15 pages, latex, no figures, minor typographical corrections",,,"DESY 97-011","hep-ph",,"  We consider the neutralino mass matrix in a supersymmetric theory based on
SU(2) $\times$ U(1) gauge group with arbitrary number of singlet, doublet and
triplet Higgs superfields. We derive an upper bound on the mass of the lightest
neutralino, and a lower bound on the mass of the heaviest neutralino, in such a
theory. Assuming grand unification of the gauge couplings, the upper bound on
the mass of the lightest neutralino can be expressed in terms of the gluino
mass. For a gluino mass of 200 GeV, the tree level upper bound on the mass of
the lightest neutralino is 92 GeV, which increases to 166.5 GeV for a 1 TeV
gluino. We also discuss the effect of dominant one-loop radiative corrections
on these bounds.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 15:13:35 GMT""},{""version"":""v2"",""created"":""Fri, 31 Jan 1997 11:13:06 GMT""}]","2008-02-03"
"hep-th/9701157","Physics Department","S. Deser (Brandeis University)","Black Hole Electromagnetic Duality","9 pages, aipproc.sty, Lecture at I Latin American Symposium on High
  Energy Physics, Merida, Mexico, Nov. 5, 1996","AIP Conf.Proc.400:437,1997","10.1063/1.53263","BRX TH-403","hep-th gr-qc",,"  After defining the concept of duality in the context of general $n$-form
abelian gauge fields in 2$n$ dimensions, we show by explicit example the
difference between apparent but unrealizable duality transformations, namely
those in $D=4k+2$, and those, in $D=4k$, that can be implemented by explicit
dynamical generators. We then consider duality transformations in Maxwell
theory in the presence of gravitation, particularly electrically and
magnetically charged black hole geometries. By comparing actions in which both
the dynamical variables and the charge parameters are ""rotated,"" we show their
equality for equally charged electric and magnetic black holes, thus
establishing their equivalence for semiclassical processes which depend on the
value of the action itself.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 18:56:39 GMT""}]","2010-12-13"
"hep-th/9701162","Edward Witten","Robert Friedman, John Morgan, and Edward Witten","Vector Bundles And F Theory","93 pp., harvmac. Section 4.4 has been extended with additional
  Comments relating F theory intermediate Jacobians to heterotic string bundles","Commun.Math.Phys.187:679-743,1997","10.1007/s002200050154",,"hep-th alg-geom math.AG",,"  To understand in detail duality between heterotic string and F theory
compactifications, it is important to understand the construction of
holomorphic G bundles over elliptic Calabi-Yau manifolds, for various groups G.
In this paper, we develop techniques to describe the bundles, and make several
detailed comparisons between the heterotic string and F theory.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 19:29:35 GMT""},{""version"":""v2"",""created"":""Fri, 28 Feb 1997 14:34:13 GMT""}]","2010-04-07"
"hep-th/9701163","Sergio Ferrara","Sergio Ferrara","Bertotti-Robinson Geometry and Supersymmetry","13 pages, figures, uses procsla,epsf,epsfig; Talk given at the 12th
  Italian Conference on General Relativity and Gravitational Physics, Rome,
  September 1996",,,"CERN-TH/97-10","hep-th",,"  The role of Bertotti-Robinson geometry in the attractor mechanism of extremal
black holes is described for the case of N = 2 supersymmetry. Its implication
for a model-independent derivation of the Bekenstein-Hawking entropy formula is
discussed.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 16:40:44 GMT""}]","2007-05-23"
"hep-th/9701164","Maxim Kontsevich","M. Kontsevich and A. Zorich","Lyapunov exponents and Hodge theory","16 pages, Latex, extended version of the talk by one of us (M.K.) at
  the conference ""Mathematical Beauty of Physics"", Saclay, June 1996, dedicated
  to the memory of C.Itzykson",,,,"hep-th alg-geom dg-ga math.AG math.DG",,"  We started from computer experiments with simple one-dimensional ergodic
dynamical systems called interval exchange transformations. Correlators in
these systems decay as a power of time. In the simplest non-trivial case the
exponent is equal to 1/3. We found a formula connecting characteristic
exponents with explicit integrals over moduli spaces of algebraic curves with
additional structures. Moreover, these integrals can be interpreted as
correlators in a topological string theory. Also a new analogy arose between
ergodic theory and complex algebraic geometry.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 17:26:17 GMT""}]","2008-02-03"
"hep-th/9701165","Vladimir Sadov","Michael Bershadsky, Andrey Johansen, Tony Pantev and Vladimir Sadov","On Four-Dimensional Compactifications of F-Theory","40 pages, TeX, references added, minor changes in Section 3","Nucl.Phys. B505 (1997) 165-201","10.1016/S0550-3213(97)00393-3",,"hep-th",,"  Branches of moduli space of F-theory in four dimensions are investigated. The
transition between two branches is described as a 3-brane-instanton transition
on a 7-brane. A dual heterotic picture of the transition is presented and the
F-theory - heterotic theory map is given. The F-theory data - complex structure
of the Calabi-Yau fourfold and the instanton bundle on the 7-brane is mapped to
the heterotic bundle on the elliptic Calabi-Yau threefold CY_3. The full moduli
space has a web structure which is also found in the moduli space of
semi-stable bundles on $CY_3$. Matter content of the four-dimensional theory is
discussed in both F-theory and heterotic theory descriptions.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 02:41:17 GMT""},{""version"":""v2"",""created"":""Tue, 11 Mar 1997 23:10:52 GMT""}]","2009-10-30"
"hep-th/9701166","John Schwarz","Mina Aganagic, Jaemo Park, Costin Popescu, and John H. Schwarz","World-Volume Action of the M Theory Five-Brane","30 pages, latex, no figures","Nucl.Phys. B496 (1997) 191-214","10.1016/S0550-3213(97)00227-7","CALT-68-2093","hep-th",,"  This paper presents a 6d world-volume action that describes the dynamics of
the M theory five-brane in a flat 11d space-time background. The world-volume
action has global 11d super-Poincare invariance, as well as 6d general
coordinate invariance and kappa symmetry, which are realized as local
symmetries. The paper mostly considers a formulation in which general
coordinate invariance is not manifest in one direction. However, it also
describes briefly an alternative formulation, due to Pasti, Sorokin, and Tonin,
in which general coordinate invariance is manifest. The latter approach
requires auxiliary fields and new gauge invariances.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 03:01:24 GMT""},{""version"":""v2"",""created"":""Tue, 18 Feb 1997 19:02:26 GMT""}]","2009-10-30"
"hep-th/9701167","Tamaz Pitskhelauri","A.V.Shurgaia","Euclidean field theory and singular classical field configurations","11 pages, Latex","Annals Phys. 282 (2000) 87-99","10.1006/aphy.2000.5998","MIGAS-97-01","hep-th",,"  Euclidean field theory on 4-dimensional sphere is suggested for the study of
high energy multiparticle production. The singular classical field
configurations are found in scalar and SU(2)-gauge theories and the cross
section of 2->n processes is calculated. It is shown,that the cross section has
a maximum at the energy compared to the sphaleron mass.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 09:01:52 GMT""}]","2009-10-30"
"hep-th/9701168",,"Ansar Fayyazuddin and Douglas J. Smith","P-brane solutions in IKKT IIB matrix theory","7 pages, LaTeX","Mod.Phys.Lett. A12 (1997) 1447-1454","10.1142/S0217732397001473","NBI-HE-97-02","hep-th",,"  We find p-brane solutions to the recently proposed IKKT IIB matrix theory for
all odd p. We also propose central charges for the p-branes.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 10:52:16 GMT""}]","2015-06-26"
"hep-th/9701169","Bernard de Wit","Bernard de Wit","Supersymmetric quantum mechanics, supermembranes and Dirichlet particles","13 pages, LaTeX, style file espcrc2.sty, no figures, talk presented
  at the 30-th Symposium Ahrenshoop, Buckow, August 1996","Nucl.Phys.Proc.Suppl. 56B (1997) 76-87","10.1016/S0920-5632(97)00312-5","THU-97/02","hep-th",,"  We review models of supersymmetric quantum mechanics that are important in
the description of supermembranes and of Dirichlet particles, which play a role
in the context of M-theory.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 11:31:05 GMT""}]","2009-10-30"
"hep-th/9701176","Esposito Giampiero","Giampiero Esposito and Giuseppe Pollifrone","Noncovariant Gauges in Simple Supergravity","16 pages, plain Tex","Int.J.Mod.Phys. D6 (1997) 479-490","10.1142/S0218271897000285","DSF preprint 97/7","hep-th",,"  A gauge-averaging functional of the axial type is studied for simple
supergravity at one loop about flat Euclidean four-space bounded by a
three-sphere, or two concentric three-spheres. This is a generalization of
recent work on the axial gauge in quantum supergravity on manifolds with
boundary. Ghost modes obey nonlocal boundary conditions of the spectral type,
in that half of them obey Dirichlet or Neumann conditions at the boundary. In
both cases, they give a vanishing contribution to the one-loop divergence. The
admissibility of noncovariant gauges at the classical level is also proved.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 10:57:35 GMT""}]","2009-10-30"
"hep-th/9702002","Park Mu In","Yong-Wan Kim, Mu-In Park, Young-Jai Park, and Sean J. Yoon","BRST Quantization of the Proca Model based on the BFT and the BFV
  Formalism","29 pages, plain Latex, To be published in Int. J. Mod. Phys. A","Int.J.Mod.Phys. A12 (1997) 4217-4239","10.1142/S0217751X97002309","SOGANG-HEP 208/96","hep-th",,"  The BRST quantization of the Abelian Proca model is performed using the
Batalin-Fradkin-Tyutin and the Batalin-Fradkin-Vilkovisky formalism. First, the
BFT Hamiltonian method is applied in order to systematically convert a second
class constraint system of the model into an effectively first class one by
introducing new fields. In finding the involutive Hamiltonian we adopt a new
approach which is more simpler than the usual one. We also show that in our
model the Dirac brackets of the phase space variables in the original second
class constraint system are exactly the same as the Poisson brackets of the
corresponding modified fields in the extended phase space due to the linear
character of the constraints comparing the Dirac or Faddeev-Jackiw formalisms.
Then, according to the BFV formalism we obtain that the desired resulting
Lagrangian preserving BRST symmetry in the standard local gauge fixing
procedure naturally includes the St\""uckelberg scalar related to the explicit
gauge symmetry breaking effect due to the presence of the mass term. We also
analyze the nonstandard nonlocal gauge fixing procedure.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 06:56:19 GMT""}]","2009-10-30"
"nucl-th/9701058","Brian Serot","Brian D. Serot (Indiana), John Dirk Walecka (William and Mary, TJNAF)","Recent Progress in Quantum Hadrodynamics","115 pages, REVTeX 3.0 with epsf.sty, ijmpe1.sty, srev.sty,
  symbols.sty, plus 10 figures","Int.J.Mod.Phys.E6:515-631,1997","10.1142/S0218301397000299","IU/NTC 96-17","nucl-th hep-ph",,"  Quantum hadrodynamics (QHD) is a framework for describing the nuclear
many-body problem as a relativistic system of baryons and mesons. Motivation is
given for the utility of such an approach and for the importance of basing it
on a local, Lorentz-invariant lagrangian density. Calculations of nuclear
matter and finite nuclei in both renormalizable and nonrenormalizable,
effective QHD models are discussed. Connections are made between the effective
and renormalizable models, as well as between relativistic mean-field theory
and more sophisticated treatments. Recent work in QHD involving nuclear
structure, electroweak interactions in nuclei, relativistic transport theory,
nuclear matter under extreme conditions, and the evaluation of loop diagrams is
reviewed.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 20:48:40 GMT""}]","2014-11-18"
"physics/9701021","Lidar dani","A.T. Yinnon, D.A. Hamburger (Lidar), I. Farbman, R.B. Gerber (Hebrew
  University of Jerusalem, Israel), P. Zeppenfeld, M.A. Krzyzowski, and G.
  Comsa (Institut fur Grenzflachenforschung und Vakuumphysik, Forschunszentrum
  Julich, Germany)","He Scattering from Random Adsorbates, Disordered Compact Islands and
  Fractal Submonolayers: Intensity Manifestations of Surface Disorder","36 double-spaced pages, 10 figures; accepted by J. Chem. Phys.,
  scheduled to appear March 8. More info available at
  http://www.fh.huji.ac.il/~dani/",,"10.1063/1.473513",,"physics.chem-ph",,"  A theoretical study is made on He scattering from three fundamental classes
of disordered ad-layers: (a) Translationally random adsorbates, (b) disordered
compact islands and (c) fractal submonolayers. The implications of the results
to experimental studies of He scattering from disordered surfaces are
discussed, and a combined experimental-theoretical study is made for Ag
submonolayers on Pt(111). Some of the main theoretical findings are: (1)
Structural aspects of the calculated intensities from translationally random
clusters were found to be strongly correlated with those of individual
clusters. (2) Low intensity Bragg interference peaks appear even for scattering
from very small ad-islands, and contain information on the ad-island local
electron structure. (3) For fractal islands, just as for islands with a
different structure, the off-specular intensity depends on the parameters of
the He/Ag interaction, and does not follow a universal power law as previously
proposed in the literature. In the experimental-theoretical study of Ag on
Pt(111), we use first experimental He scattering data from low-coverage (single
adsorbate) systems to determine an empirical He/Ag-Pt potential of good
quality. Then, we carry out He scattering calculations for high coverage and
compare with experiments. The conclusions are that the actual experimental
phase corresponds to small compact Ag clusters of narrow size distribution,
translationally disordered on the surface.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 19:22:22 GMT""}]","2009-10-30"
"physics/9701022","Gayane A. Amatuni","A. G. Khachatryan","One Dimensional Nonlinear Wake-fields Excited in a Cold Plasma by
  Charged Bunches","13 pages, latex, 6 figures",,"10.1063/1.872533",,"physics.acc-ph",,"  One dimensional nonlinear plasma wake-fields excited by a single bunch and by
series of bunches are considered. Essential differences are brought to light
between negatively charged bunch case and positively one. The bunches with
nonuniform distributions of density are investigated. The obtained results show
dependence of excited potential electric fields on bunches parameters and
allows to choose these parameters optimal.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 07:07:15 GMT""}]","2016-09-08"
"physics/9701023","Augusto Gonzalez Garcia","Augusto Gonzalez","Mechanical interpretation of existence theorems in a nonlinear Dirichlet
  problem","13 pages, LaTeX, 7 figures not included, to appear in Ciencias
  Matematicas (Havana)","Rev. Cub. Fis. 24 (2007) 144-149",,,"physics.class-ph",,"  The existence of radial solutions of a nonlinear Dirichlet problem in a ball
is translated to the language of Mechanics, i.e. to requirements on the time of
motion of a particle in an external potential and under the action of a
viscosity force. This approach reproduces existing theorems and, in principle,
provides a method for the analysis of the general case. Examples of new
theorems are given, which prove the usefulness of this qualitative method.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 12:33:27 GMT""}]","2015-04-28"
"physics/9701024","Stefan Goedecker","S. Goedecker, O. V. Ivanov, (Max-Planck Institute for Solid State
  Research, Stuttgart, Germany P.N. Lebedev Physical Institute, Moscow, Russia)","Linear Scaling Solution of the Coulomb problem using wavelets",,,"10.1016/S0038-1098(97)10241-1",,"physics.comp-ph cond-mat",,"  The Coulomb problem for continuous charge distributions is a central problem
in physics. Powerful methods, that scale linearly with system size and that
allow us to use different resolutions in different regions of space are
therefore highly desirable. Using wavelet based Multi Resolution Analysis we
derive for the first time a method which has these properties. The power and
accuracy of the method is illustrated by applying it to the calculation of of
the electrostatic potential of a full three-dimensional all-electron Uranium
dimer.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 14:27:15 GMT""}]","2009-10-30"
"q-alg/9701033","Tanya Khovanova","Tanya Khovanova","On quantum group GL_{p,q}(2)","AmsTeX, 5 pages",,,,"q-alg math.QA",,"  In the Hopf algebra GL_{p,q}(2) the determinant is central iff p=q. In this
case we put determinant to be equal to 1 to get SL_q(2). In this paper I
consider the case when p/q is a root of unity; and, consequently, a power of
the determinant is central.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 17:07:14 GMT""}]","2008-02-03"
"q-alg/9701034","Naihuan Jing","Naihuan Jing and Kailash C. Misra","Vertex operators for twisted quantum affine algebras","LaTex file, 30 pages","Trans. Amer. Math. Soc. 351 (1999), 1663-1690.",,,"q-alg math.QA",,"  We construct explicitly the $q$-vertex operators (intertwining operators) for
the level one modules $V(\Lambda_i)$ of the classical quantum affine algebras
of twisted types using interacting bosons, where $i=0, 1$ for $A_{2n-1}^{(2)}$,
$i=0$ for $D_4^{(3)}$, $i=0, n$ for $D_{n+1}^{(2)}$, and $i=n$ for
$A_{2n}^{(2)}$. A perfect crystal graph for $D_4^{(3)}$ is constructed as a
by-product.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 18:46:41 GMT""}]","2008-02-03"
