"alg-geom/9701016","Alexander Givental","Alexander Givental (UC Berkeley)","A mirror theorem for toric complete intersections","38 pages, LaTeX",,,,"alg-geom math.AG",,"  We prove a generalized mirror conjecture for non-negative complete
intersections in symplectic toric manifolds. Namely, we express solutions of
the PDE system describing quantum cohomology of such a manifold in terms of
suitable hypergeometric functions. Revision 03.03.97: we correct an error in
Introduction.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 22:40:35 GMT""},{""version"":""v2"",""created"":""Mon, 3 Mar 1997 23:37:37 GMT""}]","2008-02-03"
"hep-ph/9701395","Tancredi Carli","Tancredi Carli","Hadronic Final State in Deep-inelastic Scattering at HERA","24 pages, Latex, macros: epsfig,sprocl. Proceedings of 'Physics in
  Collision 1996'",,,"DESY 97-010","hep-ph",,"  Data on the hadronic final state of deep-inelastic events at the ep collider
HERA are reviewed. Fragmentation properties in the current region extracted
from charged particle spectra are compared to e+e- and fixed target experiments
at lower center of mass energies. A measurement of the strong coupling constant
from integrated jet rates is presented and prospects to extract the gluon
density in the proton by tagging vector mesons are discussed. Data on the
inclusive mean transverse energy together with the transverse momentum
distribution of single charged particles indicate an increased gluon activity
in the central rapidity region when the phase space is enlarged. The
measurement of the forward jet cross-section is discussed. Keeping the phase
space fixed, the mean transverse energy and the mean charged multiplicity for
certain rapidity ranges is found to behave analogously to ppbar collisions.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 08:44:56 GMT""}]","2007-05-23"
"hep-ph/9701396","Michael Gronau","B. Blok, M. Gronau and J.L. Rosner","Annihilation, Rescattering, and CP Asymmetries in B Meson Decays","9 pages","Phys.Rev.Lett.78:3999-4002,1997","10.1103/PhysRevLett.78.3999","EFI-97-04, TECHNION-PH-97-03","hep-ph",,"  A number of $B$ meson decays may proceed only through participation of the
spectator quark, whether through amplitudes proportional to $f_B/m_B$ or via
rescattering from other less-suppressed amplitudes. An expected hierarchy of
amplitudes in the absence of rescattering will be violated by rescattering
corrections. Such violations could point the way toward channels in which
final-state interactions could be important. Cases in which final state phases
can lead to large CP asymmetries are pointed out.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 13:10:43 GMT""}]","2014-11-17"
"hep-ph/9701397","Jiri Horejsi","J. Horejsi and M. Schnabl","Dispersive derivation of the trace anomaly","12 pages LATEX, minor changes in references","Z.Phys. C76 (1997) 561-565",,"PRA - HEP 97/2","hep-ph hep-th",,"  We present a simple derivation of the one-loop trace anomaly in spinor QED
through dispersion relations, avoiding completely any ultraviolet
regularization. The anomaly can be expressed as a convergent sum rule for the
imaginary part of a relevant formfactor. In the massless limit, the imaginary
part produces a delta-function singularity at zero external momentum squared.
Such a treatment reveals an ""infrared face"" of the trace anomaly, in striking
similarity with the well-known case of the axial anomaly.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 14:13:59 GMT""},{""version"":""v2"",""created"":""Fri, 31 Jan 1997 09:40:36 GMT""}]","2008-02-03"
"hep-ph/9701398","Helmut Eberl","A. Bartl, H. Eberl, K. Hidaka, T. Kon, W. Majerotto, and Y. Yamada","QCD corrections to Higgs boson decays into squarks in the Minimal
  Supersymmetric Standard Model","16 pages latex with 2 figures included, few minor changes","Phys.Lett.B402:303-313,1997","10.1016/S0370-2693(97)00457-7","UWThPh-1997-03, HEPHY-PUB 664/97, TGU-19, ITP-SU-97/01, TU-517","hep-ph",,"  We calculate the supersymmetric QCD corrections in order $\alpha_s$ to the
the widths of the Higgs boson decays $H^+ \to \st \bar\sb$ and $H^0, A^0 \to
\st \bar\st, \sb \bar\sb$ in the on--shell scheme within the Minimal
Supersymmetric Standard Model. We find that the QCD corrections are
significant, but that the squark pair decay modes are still dominant in a wide
parameter region.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 14:59:24 GMT""},{""version"":""v2"",""created"":""Mon, 17 Feb 1997 15:42:15 GMT""}]","2011-01-27"
"hep-th/9701142","Jose Fernandez Barbon","J.L.F. Barbon and M.A. Vazquez-Mozo","Dilute D-Instantons at Finite Temperature","45 pp, harvmac, typos corrected and references added","Nucl.Phys. B497 (1997) 236-274","10.1016/S0550-3213(97)00256-3","CERN-TH/96-361","hep-th",,"  We discuss Dirichlet instanton effects on type-IIB string Thermodynamics. We
review some general properties of dilute D-instanton gases and use the
low-energy supergravity solutions to define the normalization of the instanton
measure, as well as the effects of long-range interactions. Thermal
singularities in the single-instanton sector are due to tachyonic winding modes
of Dirichlet open strings. Purely bosonic D-instantons induce in this way hard
infrared singularities that ruin the weak-coupling expansion in the
microcanonical ensemble. However, type-IIB D-instantons, give smooth
contributions at the Hagedorn temperature, and the induced mass and coupling of
the axion field are insufficient to change the first-order character of the
phase transition in the mean field approximation.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 19:34:10 GMT""},{""version"":""v2"",""created"":""Mon, 28 Apr 1997 18:08:00 GMT""}]","2009-10-30"
"hep-th/9701144","Giovanni Amelino-Camelia","G. Amelino-Camelia, J. Ellis, N.E. Mavromatos, and D.V. Nanopoulos","On the Space-Time Uncertainty Relations of Liouville Strings and D
  Branes","8 pages, LaTex","Mod.Phys.Lett.A12:2029-2036,1997","10.1142/S0217732397002077","ACT-02/97 CERN-TH/96-353 CTP-TAMU-04/97 OUTP-97-04-P","hep-th",,"  Within a Liouville approach to non-critical string theory, we argue for a
non-trivial commutation relation between space and time observables, leading to
a non-zero space-time uncertainty relation $\delta x \delta t > 0$, which
vanishes in the limit of weak string coupling.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 21:26:20 GMT""}]","2016-09-06"
"hep-th/9701145","Marco Billo","M. Billo', M. Caselle and A. D'Adda","Analytic results in 2+1-dimensional Finite Temperature LGT","15 pages, Latex, 2 figures included with epsf","Int.J.Mod.Phys. A12 (1997) 5753-5766","10.1142/S0217751X97003017","DFTT 6/97, NORDITA 97/5P","hep-th hep-lat",,"  In a 2+1-dimensional pure LGT at finite temperature the critical coupling for
the deconfinement transition scales as $\beta_c(n_t) = J_c n_t + a_1$, where
$n_t$ is the number of links in the ``time-like'' direction of the symmetric
lattice. We study the effective action for the Polyakov loop obtained by
neglecting the space-like plaquettes, and we are able to compute analytically
in this context the coefficient $a_1$ for any SU(N) gauge group; the value of
$J_c$ is instead obtained from the effective action by means of (improved) mean
field techniques. Both coefficients have already been calculated in the large N
limit in a previous paper. The results are in very good agreement with the
existing Monte Carlo simulations. This fact supports the conjecture that, in
the 2+1-dimensional theory, space-like plaquettes have little influence on the
dynamics of the Polyakov loops in the deconfined phase.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 16:13:01 GMT""}]","2009-10-30"
"hep-th/9701146",,"A. Buonanno, M. Gasperini, M. Maggiore and C. Ungarelli","Expanding and contracting universes in third quantized string cosmology","11 pages, LATEX, to apper in Class. Quantum Grav. An updated
  collection of papers on the pre-big bang scenario in string cosmology is a
  available at http://www.to.infn.it/teorici/gasperini","Class.Quant.Grav.14:L97-L103,1997","10.1088/0264-9381/14/5/005","CERN-TH/96-322","hep-th gr-qc",,"  We discuss the possibility of quantum transitions from the string
perturbative vacuum to cosmological configurations characterized by isotropic
contraction and decreasing dilaton. When the dilaton potential preserves the
sign of the Hubble factor throughout the evolution, such transitions can be
represented as an anti-tunnelling of the Wheeler--De Witt wave function in
minisuperspace or, in a third-quantization language, as the production of pairs
of universes out of the vacuum.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 16:37:34 GMT""}]","2019-08-17"
"hep-th/9701147","Kenji Mohri","Kenji Mohri (KEK)","F theory Vacua in Four Dimensions and Toric Threefolds","37 pages, 6 eps Figures","Int.J.Mod.Phys. A14 (1999) 845-874","10.1142/S0217751X99000415",,"hep-th",,"  We investigate D=4, N=1 F theory models realized by type IIB string
compactification on toric threefolds. Massless spectra, gauge symmetries, phase
transitions associated with divisor contractions and flops, and
non-perturbative superpotentials are analyzed using elementary toric methods.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 16:48:58 GMT""}]","2009-10-30"
"hep-th/9701148","Andrei Matytsin","A. Matytsin and P. Zaugg","The Two-Dimensional O(2) Model on a Random Planar Lattice at Strong
  Coupling","30 pages, 7 postscript figures","Nucl.Phys. B497 (1997) 699-724","10.1016/S0550-3213(97)00299-X","MIT-CTP-2603; ENSLAPP-A-638/97","hep-th",,"  The large spacing phase of the infinite random matrix chain, which represents
the strongly coupled two-dimensional O(2) model on a random planar lattice, is
explored. A class of solutions valid for large lattice spacings is constructed.
It is proved that these solutions exhibit the critical exponents characteristic
of pure two-dimensional gravity. The character expansion for the chain model is
developed and an order parameter governing the Kosterlitz--Thouless phase
transition is identified.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 18:32:16 GMT""}]","2009-10-30"
"hep-th/9701149",,"Igor Bandos, Kurt Lechner, Alexei Nurmagambetov, Paolo Pasti, Dmitri
  Sorokin and Mario Tonin","Covariant Action for the Super-Five-Brane of M-Theory","LaTeX file, 5 pages, misprints corrected, comments and references
  added","Phys.Rev.Lett. 78 (1997) 4332-4334","10.1103/PhysRevLett.78.4332","DFPD 97/TH/05","hep-th",,"  We propose a complete, d=6 covariant and kappa-symmetric, action for an
M-theory five-brane propagating in D=11 supergravity background.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 17:44:28 GMT""},{""version"":""v2"",""created"":""Wed, 5 Feb 1997 17:25:46 GMT""}]","2009-10-30"
"hep-th/9701150","Rafael Hernandez","Cesar Gomez and Rafael Hernandez (Instituto de Matematicas y Fisica
  Fundamental, CSIC)","M and F-Theory Instantons, N=1 Supersymmetry and Fractional Topological
  Charges","Latex file. 11 pages. Typos corrected. Section on QCD has been
  rewritten, clarifying some points, and a reference has been added. Final
  version to appear at Int. Jour. Mod. Phys. A","Int.J.Mod.Phys. A12 (1997) 5141-5150","10.1142/S0217751X97002747",,"hep-th",,"  We analize instanton generated superpotentials for three dimensional N=2
supersymmetric gauge theories obtained by compactifying on S^1 N=1 four
dimensional theories. In the N_f=1 case, we find that the vacua in the
decompactification limit is given by the singular points of the Coulomb branch
of the N=2 four dimensional theory (we also consider the massive case). The
decompactification limit of the superpotential for pure gauge theories without
chiral matter is interpreted in terms of `t Hooft's fractional instanton
amplitudes.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 19:03:01 GMT""},{""version"":""v2"",""created"":""Tue, 28 Jan 1997 11:07:56 GMT""},{""version"":""v3"",""created"":""Mon, 24 Mar 1997 13:04:06 GMT""}]","2009-10-30"
"hep-th/9701151","Yuri Makeenko","I. Chepelev, Y. Makeenko, K. Zarembo","Properties of D-Branes in Matrix Model of IIB Superstring","15pp., Latex, v2: a few typos corrected, v3: coefficient in Eq.(3.19)
  corrected","Phys.Lett. B400 (1997) 43-51","10.1016/S0370-2693(97)00323-7","ITEP-TH-07/97, NBI-HE-97-01","hep-th",,"  We discuss properties of D-brane configurations in the matrix model of type
IIB superstring recently proposed by Ishibashi, Kawai, Kitazawa and Tsuchiya.
We calculate central charges in supersymmetry algebra at infinite N and
associate them with one- and five-branes present in IIB superstring theory. We
consider classical solutions associated with static three- and five-branes and
calculate their interactions at one loop in the matrix model. We discuss some
aspects of the matrix-model formulation of IIB superstring.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 23:56:57 GMT""},{""version"":""v2"",""created"":""Wed, 29 Jan 1997 19:43:30 GMT""},{""version"":""v3"",""created"":""Mon, 17 Feb 1997 17:53:38 GMT""}]","2009-10-30"
"hep-th/9701152","Mirjam Cvetic","Mirjam Cvetic (University of Pennsylvania)","Properties of Black Holes in Toroidally Compactified String Theory","10 pages, Latex, uses espcrc2.sty; compilation of talks given at
  SUSY'96, CERN Workshop on Duality in String Theory II, Strings'96, and
  Buckow'96","Nucl.Phys.Proc.Suppl.56B:1-10,1997","10.1016/S0920-5632(97)00303-4","UPR-714-T","hep-th",,"  We review the macroscopic and microscopic properties of black holes of
toroidally compactified heterotic and Type II string theory in dimensions
4<=D<=9. General charged rotating black hole solutions are obtained by acting
on a generating solution with classical duality symmetries. In D=4, D=5 and
6<=D<=9, the generating solution for both toroidally compactified Type II and
heterotic strings is specified by the ADM mass, [(D-1)/2]-angular momentum
components and five, three and two charges, respectively. We give the
Bekenstein-Hawking entropy for these solutions, address the BPS-saturated limit
and compare the results to calculations of the microscopic entropy both in the
NS-NS sector and the R-R sector of the theory. We also interpret such black
hole solutions as dimensionally reduced intersecting p-branes of M-theory.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 00:49:18 GMT""}]","2009-10-30"
"hep-th/9701153","Shijong Ryang","Shijong Ryang","Thermal Action and Specific Heat of the Five-Dimensional Non-Extremal
  Black Hole","10 pages, latex, no figures","Phys.Lett. B402 (1997) 276-281","10.1016/S0370-2693(97)00436-X",,"hep-th",,"  We construct the Euclidean on-shell action for the five-dimensional
non-extremal black hole with multiple electric charges. We show that this
thermal action agrees with one half of the entropy. This agreement is argued to
be related to the generalized Smarr formula of the five-dimensional black hole
mass. Through the calculation of the specific heat far off extremality we
observe that a phase transition occurs.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 02:12:59 GMT""}]","2009-10-30"
"hep-th/9701154","Kalyan Rama","S. Kalyana Rama","Can String Theory Avoid Cosmological Singularities?","14 pages. Latex file","Phys.Lett. B408 (1997) 91-97","10.1016/S0370-2693(97)00795-8","MRI-PHY/97-2","hep-th",,"  We consider the effective action for strings and describe in detail the
evolution of a four dimensional homogeneous isotropic universe with matter
included. We find that the evolution, which is singular in general, becomes
singularity free if during certain Phase of the evolution, when the scale
factor increases and the effective string coupling becomes strong, the universe
is dominated by solitonic p-branes, p = 0 and/or - 1, or by `matter' for which
$(pressure) \le - \frac{1}{\sqrt{3}} (density)$. The mechanism in the case of
branes is reminiscent of the recently discovered field theory mechanism where
heavy states become light and resolve the moduli space singularities.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 07:32:10 GMT""}]","2009-10-30"
"hep-th/9701155","Tadakatsu Sakai","Tadakatsu Sakai","Duality in Supersymmetric SU(N) Gauge Theory with a Symmetric Tensor","LaTeX file, 10 page. a reference added","Mod.Phys.Lett. A12 (1997) 1025-1034","10.1142/S0217732397001047","TIT/HEP 385","hep-th",,"  Duality in supersymmetric SU(N) gauge theory with a symmetric tensor is
studied using the technique of deconfining and Seiberg's duality. By
construction the gauge group of the dual theory necessarily becomes a product
group. In order to check the duality, several nontrivial consistency conditions
are examined. In particular we find that by deforming along a flat direction,
the duality flows to the Seiberg's duality of SO(N) gauge theory.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 09:04:54 GMT""},{""version"":""v2"",""created"":""Mon, 3 Mar 1997 13:28:57 GMT""},{""version"":""v3"",""created"":""Wed, 23 Apr 1997 05:36:12 GMT""}]","2009-10-30"
"hep-th/9701156","Max Niedermaier","J. Balog, M. Niedermaier","A Scaling Hypothesis for the Spectral Densities in the O(3) Nonlinear
  Sigma-Model","9 Pages, Latex, 3 Postscript Figures","Phys. Rev. Lett. 78, 4151 (1997)","10.1103/PhysRevLett.78.4151","MPI-PhT/96-131","hep-th",,"  A scaling hypothesis for the n-particle spectral densities of the O(3)
nonlinear sigma-model is described. It states that for large particle numbers
the n-particle spectral densities are ``self-similar'' in being basically
rescaled copies of a universal shape function. This can be viewed as a
2-dimensional, but non-perturbative analogue of the KNO scaling in QCD.
Promoted to a working hypothesis, it allows one to compute the two point
functions at ``all'' energy or length scales. In addition, the values of two
non-perturbative constants (needed for a parameter-free matching of the
perturbative and the non-perturbative regime) are determined exactly.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 10:00:19 GMT""}]","2016-08-25"
"hep-th/9701158","Sergei Ketov","Sergei V. Ketov (ITP, University of Hannover)","The effective hyper-K""ahler potential in the N=2 supersymmetric QCD","12 pages, LaTeX, one figure and macros included","Phys.Lett. B399 (1997) 83-91","10.1016/S0370-2693(97)00264-5","DESY 97--007 and ITP-UH-03/97","hep-th",,"  The effective low-energy hyper-K""ahler potential for a massive N=2 matter in
the N=2 super-QCD is investigated. The N=2 extended supersymmetry severely
restricts that N=2 matter self-couplings so that their exact form can be fixed
by a few parameters, which is apparent in the N=2 harmonic superspace. In the
N=2 QED with a single matter hypermultiplet, the one-loop perturbative
calculations lead to the Taub-NUT hyper-K""ahler metric in the massive case, and
a free metric in the massless case. It is remarkable that the naive
non-renormalization `theorem' does not apply. There exists a manifestly N=2
supersymmetric duality transformation converting the low-energy effective
action for the N=2 QED hypermultiplet into a sum of the quadratic and the
improved (non-polynomial) actions for an N=2 tensor multiplet. The duality
transformation also gives a simple connection between the low-energy effective
action in the N=2 harmonic superspace and the component results.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 10:46:32 GMT""}]","2009-10-30"
"hep-th/9701159","Martin Land","M. C. Land","Particles and Events in Classical Off-Shell Electrodynamics","21 pages, Latex, 3 Postscript figures","Found.Phys. 27 (1997) 19-41","10.1007/BF02550153",,"hep-th",,"  Despite the many successes of the relativistic quantum theory developed by
Horwitz, et. al., certain difficulties persist in the associated covariant
classical mechanics. In this paper, we explore these difficulties through an
examination of the classical Coulomb problem in the framework of off-shell
electrodynamics. As the local gauge theory of a covariant quantum mechanics
with evolution parameter $\tau$, off-shell electrodynamics constitutes a
dynamical theory of spacetime events, interacting through five $\tau$-dependent
pre-Maxwell potentials. We present a straightforward solution of the classical
equations of motion, which is seen to be unsatisfactory, and reveals the
essential difficulties in the formalism at the classical level. We then offer a
new model of the particle current -- as a certain distribution of the event
currents on the worldline -- which eliminates these difficulties and permits
comparison of classical off-shell electrodynamics with the standard Maxwell
theory. In this model, the ``fixed'' event induces a Yukawa-type potential,
permitting a semi-classical identification of the pre-Maxwell time scale
$\lambda$ with the inverse mass of the intervening photon. Numerical solutions
to the equations of motion are compared with the standard Maxwell solutions,
and are seen to coincide when $\lambda \gtrsim 10^{-6}$ seconds, providing an
initial estimate of this parameter. It is also demonstrated that the proposed
model provides a natural interpretation for the photon mass cut-off required
for the renormalizability of the off-shell quantum electrodynamics.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 11:13:14 GMT""}]","2009-10-30"
"hep-th/9701160","Carlos Naon","M.V.Man\'ias, C.M. Na\'on and M.L.Trobo","Path-integral fermion-boson decoupling at finite temperature","12 pages, latex, no figures","Phys.Lett. B416 (1998) 157-162","10.1016/S0370-2693(97)01293-8","La Plata 97-01","hep-th",,"  We show how to extend the standard functional approach to bosonisation, based
on a decoupling change of path-integral variables, to the case in which a
finite temperature is considered. As examples, in order to both illustrate and
check the procedure, we derive the thermodynamical partition functions for the
Thirring and Schwinger models.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 15:04:49 GMT""}]","2016-08-15"
"hep-th/9701161","Giovanni Amelino-Camelia","G. Amelino-Camelia","KPZ Formulas for Weyl-Invariant Induced Gravity and Topologically
  Massive Gravity","4 pages, LaTex. (Contribution to the Proceedings of the 2nd Topical
  Meeting on Constrained Dynamics and Quantum Gravity.)","Nucl.Phys.Proc.Suppl. 57 (1997) 276-279","10.1016/S0920-5632(97)00403-9","OUTP-96-72P","hep-th",,"  I discuss the applicability in Weyl-invariant induced gravity and
topologically massive gravity of certain formulas originally derived by
Knizhnik, Polyakov, and Zamolodchikov in the context of
diffeomorphism-invariant induced gravity.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 15:32:11 GMT""}]","2009-10-30"
"math/9701202","Greg Hjorth","Greg Hjorth","A universal Polish G-space",,,,"Logic E-prints January 28, 1997","math.LO",,"  If G is a Polish group, then there is a Polish G-space X which is universal
among Polish G-spaces with respect to continuous G-embeddings.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 00:00:00 GMT""}]","2016-09-07"
"math/9701213",,"Stanislaw J. Szarek","Metric Entropy of Homogeneous Spaces",,,,"MSRI 1997-010","math.MG",,"  For a (compact) subset $K$ of a metric space and $\varepsilon > 0$, the {\em
covering number} $N(K , \varepsilon )$ is defined as the smallest number of
balls of radius $\varepsilon$ whose union covers $K$. Knowledge of the {\em
metric entropy}, i.e., the asymptotic behaviour of covering numbers for
(families of) metric spaces is important in many areas of mathematics
(geometry, functional analysis, probability, coding theory, to name a few). In
this paper we give asymptotically correct estimates for covering numbers for a
large class of homogeneous spaces of unitary (or orthogonal) groups with
respect to some natural metrics, most notably the one induced by the operator
norm. This generalizes earlier author's results concerning covering numbers of
Grassmann manifolds; the generalization is motivated by applications to
noncommutative probability and operator algebras. In the process we give a
characterization of geodesics in $U(n)$ (or $SO(m)$) for a class of
non-Riemannian metric structures.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 00:00:00 GMT""}]","2009-09-25"
"nucl-th/9701054","Claus Slotta","Ulrich Heinz","Particle Interferometry in Heavy-Ion Collisions","12 pages LaTex, 2 ps-figures; To appear in the proceedings of the
  25th International Hirschegg Workshop on Properties of Nuclei and Nuclear
  Excitations, Jan 13-18, 1997 ""QCD Phase Transitions""",,,,"nucl-th",,"  By measuring hadronic single-particle spectra and two-particle correlations
in heavy-ion collisions, the size and dynamical state of the collision fireball
at freeze-out can be reconstructed. I discuss the relevant theoretical methods
and their limitations. By applying the formalism to recent pion correlation
data from Pb+Pb collisions at CERN we demonstrate that the collision zone has
undergone strong transverse growth before freeze-out (by a factor 2-3 in each
direction), and that it expands both longitudinally and transversally. From the
thermal and flow energy density at freeze-out the energy density at the onset
of transverse expansion can be estimated from conservation laws. It comfortably
exceeds the critical value for the transition to color deconfined matter.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 16:15:17 GMT""}]","2007-05-23"
"nucl-th/9701055","Jorge G. Hirsch","Jorge G. Hirsch, Peter O. Hess and Osvaldo Civitarese","QRPA and its extensions in a solvable model","13 pages, plus 5 figures included in the Latex file. Proc. XX
  Symposium on Nuclear Physics, Oaxtepec, Mexico, 6-9 Jan 1997. Submitted to
  Revista Mexicana de Fisica",,,,"nucl-th",,"  An exactly solvable model is introduced, which is equivalent to the exact
shell-model treatment of protons and neutrons in a single j-shell for
Fermi-type excitations. Exact energies, quasiparticle numbers and double beta
decay Fermi amplitudes are computed and compared with the results of both the
standard quasiparticle random phase approximation (QRPA) and the renormalized
one (RQRPA), and also with those corresponding to the hamiltonian in the
quasiparticle basis (qp). A zero excitation energy state is found in the exact
case, occuring at a value of the residual particle-particle interaction at
which the QRPA collapse. The RQRPA and the qp solutions do not include this
zero-energy eigenvalue in their spectra, probably due to spurious correlations.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 17:23:19 GMT""}]","2007-05-23"
"nucl-th/9701056",,"M. Tanifuji (1), S. Ishikawa (1), Y. Iseri (2) ((1) Hosei University,
  (2) Chiba-Keizai College)","Polarization observables in dp backward elastic scattering at high and
  intermediate energies","10 pages, LaTeX, 3 Postscript figures","Phys.Rev.C57:2493-2501,1998","10.1103/PhysRevC.57.2493",,"nucl-th",,"  The tensor analyzing power $T_{20}$ and the polarization transfer
coefficients $\kappa_0 (= 3/2 K_y^y)$ and $K_{xz}^y$ are investigated for dp
backward elastic scattering by the invariant-amplitude method. Discrepancies
between the conventional calculations and the experimental data on $T_{20}$ and
$\kappa_0$ at high and intermediate energies are mostly dissolved by including
imaginary parts in the amplitudes. The quantity $K_{xz}^y$ is shown to be
useful in criticizing nuclear force assumptions.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 05:38:24 GMT""}]","2016-09-08"
"nucl-th/9701057","Stefan Teis","S. Teis, W. Cassing, M. Effenberger, A. Hombach, U. Mosel and Gy. Wolf","Probing nuclear expansion dynamics with $\pi^-/\pi^+$-spectra","21 pages, latex, figures included","Z.Phys. A359 (1997) 297-304","10.1007/s002180050405",,"nucl-th",,"  We study the dynamics of charged pions in the nuclear medium via the ratio of
differential $\pi^-$- and $\pi^+$-spectra in a coupled-channel BUU (CBUU)
approach. The relative energy shift of the charged pions is found to correlate
with the pion freeze-out time in nucleus-nucleus collisions as well as with the
impact parameter of the heavy-ion reaction. Furthermore, the long-range Coulomb
force provides a 'clock' for the expansion of the hot nuclear system. Detailed
comparisons with experimental data for $Au + Au$ at 1 GeV/A and $Ni + Ni$ at
2.0 GeV/A are presented.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 14:10:10 GMT""}]","2009-10-30"
"physics/9701026","Radford Neal","Radford M. Neal (Dept. of Statistics, University of Toronto)","Monte Carlo Implementation of Gaussian Process Models for Bayesian
  Regression and Classification",,,,"9702","physics.data-an",,"  Gaussian processes are a natural way of defining prior distributions over
functions of one or more input variables. In a simple nonparametric regression
problem, where such a function gives the mean of a Gaussian distribution for an
observed response, a Gaussian process model can easily be implemented using
matrix computations that are feasible for datasets of up to about a thousand
cases. Hyperparameters that define the covariance function of the Gaussian
process can be sampled using Markov chain methods. Regression models where the
noise has a t distribution and logistic or probit models for classification
applications can be implemented by sampling as well for latent values
underlying the observations. Software is now available that implements these
methods using covariance functions with hierarchical parameterizations. Models
defined in this way can discover high-level properties of the data, such as
which inputs are relevant to predicting the response.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 00:59:11 GMT""},{""version"":""v2"",""created"":""Tue, 28 Jan 1997 01:14:50 GMT""}]","2008-02-03"
"q-alg/9701027","Fis. Teorica. Valladolid.","Angel Ballesteros and Francisco J. Herranz","Harmonic Oscillator Lie Bialgebras and their Quantization","8 pages, LaTeX; communication presented in the XXI ICGTMP, Goslar
  (Germany) 1996","Quantum Group Symposium at Group21, Eds: H.D. Doebner, V.K.
  Dobrev, (Heron Press: Sofia), 1997, pp. 379-385",,"UBU-Dfis-96-11","q-alg math.QA",,"  All possible Lie bialgebra structures on the harmonic oscillator algebra are
explicitly derived and it is shown that all of them are of the coboundary type.
A non-standard quantum oscillator is introduced as a quantization of a
triangular Lie bialgebra, and a universal $R$-matrix linked to this new quantum
algebra is presented.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 19:12:16 GMT""}]","2017-04-17"
"q-alg/9701028","Fis. Teorica. Valladolid.","A. Ballesteros, F.J. Herranz, M.A. del Olmo and Mariano Santander","Null-plane Quantum Poincar\'e Algebras and their Universal $R$-matrices","8 pages, LaTeX; communication presented in the XXI ICGTMP, Goslar
  (Germany) 1996","Quantum Group Symposium at Group21, Eds: H.D. Doebner, V.K.
  Dobrev, (Heron Press: Sofia), 1997, pp. 373-378",,"UBU-Dfis-96-12","q-alg math.QA",,"  A non-standard quantum deformation of the Poincar\'e algebra is presented in
a null-plane framework for 1+1, 2+1 and 3+1 dimensions. Their corresponding
universal $R$-matrices are obtained in a factorized form by choosing suitable
bases related to the $T$-matrix formalism.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 19:13:49 GMT""}]","2017-04-17"
