"alg-geom/9701011","Viacheslav V. Nikulin","Viacheslav V. Nikulin","K3 surfaces with interesting groups of automorphisms","AMS-Tex, 23 pages, no figures. Significantly extended variant
  prepared for publication",,,,"alg-geom hep-th math.AG math.QA q-alg",,"  By the fundamental result of I.I. Piatetsky-Shapiro and I.R. Shafarevich
(1971), the automorphism group Aut(X) of a K3 surface X over C and its action
on the Picard lattice S_X are prescribed by the Picard lattice S_X. We use this
result and our method (1980) to show finiteness of the set of Picard lattices
S_X of rank $\ge 3$ such that the automorphism group Aut(X) of the K3 surface X
has a non-trivial invariant sublattice S_0 in S_X where the group Aut(X) acts
as a finite group. For hyperbolic and parabolic lattices S_0 it has been proved
by the author before (1980, 1995). Thus we extend this results to negative
sublattices S_0.
  We give several examples of Picard lattices S_X with parabolic and negative
S_0. We also formulate the corresponding finiteness result for reflective
hyperbolic lattices of hyperbolic type over purely real algebraic number
fields.
  These results are important for the theory of Lorentzian Kac--Moody algebras
and Mirror Symmetry.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 15:37:15 GMT""},{""version"":""v2"",""created"":""Fri, 21 Feb 1997 05:58:30 GMT""}]","2008-02-03"
"hep-ph/9701360","Richard Holman","D. Boyanovsky, H.J. de Vega, R. Holman, and S. Prem Kumar","Photoproduction Enhancement from Non Equilibrium Disoriented Chiral
  Condensates","33 pages, 11 figures, uses revtex and epsfig","Phys.Rev.D56:5233-5250,1997","10.1103/PhysRevD.56.5233","PITT-97-1; CMU-HEP-97-03; DOR-ER/40682-128","hep-ph nucl-th",,"  We study photoproduction during the non-equilibrium stages of the formation
of chiral condensates within the ``quench'' scenario of the chiral phase
transition. The dynamics is modeled with a gauged linear sigma model. A novel
quantum kinetic approach to the description of photoproduction far off
equilibrium is developed. We find that non-equilibrium spinodal instabilities
of long wavelength pion fluctuations are responsible for an enhanced
photoproduction rate for energies $\leq 80$ MeV at order $\alpha$. These
non-equilibrium effects lead to a larger contribution than the typical
processes in the medium, including that of the anomalous neutral pion decay
$\pi^0 \rightarrow 2 \gamma$ (which is of order $\alpha^2$). We follow the
evolution of the dynamics throughout the phase transition, which in this
scenario occurs on a time scale of about $2.5-3$ fm/c and integrate the photon
yield through its evolution. The spectrum of photons produced throughout the
phase transition is a non- equilibrium one. For thermal initial conditions at
the time of the quench it interpolates between a thermal distribution about 6%
above the initial temperature (at the time of the quench) for low energy $\leq
80$ MeV photons, and a high energy tail in thermal equilibrium at the initial
temperature, with a smooth crossover at 100 MeV. The rate displays a peak at
$\sim 35$ MeV which receives a larger enhancement the closer the initial
temperature at the time of the quench is to the critical temperature. It is
found that the enhancement of photoproduction at low energies is not an
artifact caused by the initial distribution of the photons, but is due to the
pionic instabilities. We suggest that these strong out of equilibrium effects
may provide experimental signatures for the formation and relaxation of DCC's
in heavy ion collisions.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 22:07:57 GMT""}]","2011-04-15"
"hep-ph/9701361","Qiao Cong Feng","Feng Yuan, Cong-Feng Qiao, and Kuang-Ta Chao(Peking University)","Determination of color-octet matrix elements from e^+e- process at low
  energies","13 page, RevTex, 2 figures in postscript. To appear in Phys. Rev. D","Phys.Rev. D56 (1997) 1663-1667","10.1103/PhysRevD.56.1663","PUTP-96-31","hep-ph",,"  We present an analysis of the preliminary experimental data of direct j/psi
production in e^e- process at low energies. We find that the color-octet
contributions are crucially important to the cross section at this energy
region, and their inclusion produces a good description of the data. By fitting
to the data, we extract the individual values of two color-octet matrix
elements: <{\cal O}_8^{\psi}(^1S_0)> \approx 1.1\times 10^{-2} GeV^3, <{\cal
O}_8^{\psi}(^3P_0)> m_c^2\approx 7.4\times 10^{-3}GeV^3. We discuss the allowed
range of the two matrix elements constrained by the theoretical uncertainties.
We find that <{\cal O}_8^{\psi}(^1S_0)> is poorly determined because it is
sensitive to the variation of the choice of m_c, \alpha_s and <{\cal
O}_1^{\psi}(^3S_1)>. However <{\cal O}_8^{\psi}(^3P_0)> m_c^2 is quite stable
(about (6-9)\times 10^{-3}GeV^3) when the parameters vary in reasonable ranges.
The uncertainties due to large experimental errors are also discussed.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 09:06:37 GMT""},{""version"":""v2"",""created"":""Thu, 20 Feb 1997 06:12:27 GMT""},{""version"":""v3"",""created"":""Tue, 6 May 1997 02:37:56 GMT""}]","2009-10-30"
"hep-ph/9701362","Yoriaki Shimada","Hisakazu Minakata and Yoriaki Shimada","Can Long-Baseline Neutrino Oscillation Experiments Tell Us about
  Neutrino Dark Matter?","13 pages, revtex, 5 postscript figures","Astropart.Phys.8:193-200,1998","10.1016/S0927-6505(97)00056-X","TMUP-HEL-9702","hep-ph",,"  We define the ratio R = (No. of observed electron events)/ (No. of expected
muon events - No. of observed muon events) as a measure for relative importance
of $\nu_\mu \to \nu_e$ and $\nu_\mu \to \nu_\tau$ oscillations which will be
measurable in coming long-baseline neutrino experiments. We then argue that if
neutrino oscillation is observed with 0.02 < R < 0.87 it implies the rejection
of the neutrino dark matter hypothesis. Our argument is valid if neutrinos come
with only three flavors without steriles and if they have a hierarchical mass
pattern.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 10:10:08 GMT""}]","2011-05-23"
"hep-ph/9701363",,"S. Loh, C. Greiner, U. Mosel and M. H. Thoma (Univ. Giessen)","Dynamical fragmentation of flux tubes in the Friedberg-Lee model","37 pages, 10 PostScript figures, Latex","Nucl.Phys. A619 (1997) 321-345","10.1016/S0375-9474(97)00142-5","UGI-97-03","hep-ph nucl-th",,"  We present two novel dynamical features of flux tubes in the Friedberg-Lee
model. First the fusion of two (anti-)parallel flux tubes, where we extract a
string-string interaction potential which has a qualitative similarity to the
nucleon-nucleon potential in the Friedberg-Lee model obtained by Koepf et al.
Furthermore we show the dynamical breakup of flux tubes via $q\bar{q}-$particle
production and the disintegration into mesons. We find, as a shortcoming of the
present realization of the model, that the full dynamical transport approach
presented in a previous publication fails to provide the disintegration
mechanism in the semiclassical limit. Therefore, in addition, we present here a
molecular dynamical approach for the motion of the quarks and show, as a first
application, the space-time development of the quarks and their mean-fields for
Lund-type string fragmentation processes.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 10:41:45 GMT""}]","2009-10-30"
"hep-ph/9701364","Stefan Kretzer","M. Gluck, S. Kretzer and E. Reya (Univ. Dortmund)","Detailed Next-to-Leading Order Analysis of Deep Inelastic Neutrino
  Induced Charm Production off Strange Sea Partons","15 pages, LaTeX, 4 figures, uses epsfig style, typo corrected in
  eq.(A9)","Phys.Lett. B398 (1997) 381-386; Erratum-ibid. B405 (1997) 392","10.1016/S0370-2693(97)00232-3","DO-TH 97/01","hep-ph",,"  Neutrino induced deep inelastic charm production off strange sea partons in
the nucleon is studied in the framework of the MSbar fixed flavor factorization
scheme. The momentum (z) distributions of the produced D mesons as calculated
in the next-to-leading order QCD analysis are presented and compared to their
leading order counterparts. Perturbative stability within this formalism is
demonstrated and the compatibility of recent next-to-leading order (NLO)
strange quark distributions with available dimuon data is investigated. Our NLO
(MSbar) results provide, for the first time, the tools required for a
consistent and complete NLO (MSbar) analysis of charged current dimuon data in
order to extract the strange sea density in NLO. It is furthermore shown that
the absolute predictions of radiatively (dynamically) generated strange sea
densities are in agreement with all present measurements.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 12:17:11 GMT""},{""version"":""v2"",""created"":""Tue, 28 Jan 1997 16:06:06 GMT""}]","2009-10-30"
"hep-ph/9701365","Yuichiro Kiyo","Yuichiro Kiyo, Jiro Kodaira and Hiroshi Tochimura","Does Leading ln x Resummation Predict the Rise of g_1 at Small x ?","19 pages,8 eps figures,LaTeX","Z.Phys. C74 (1997) 631-639",,"HUPD-9618","hep-ph",,"  We numerically analyse the evolution of the flavor non-singlet $g_{1}$
structure function taking into account the all-order resummation of $\alpha_{s}
ln^{2}x$ terms which is expected to have much stronger effects than the DGLAP
evolution in the small x region. We include a part of the next-to-leading
logarithmic corrections coming from the resummed ``coefficient function'' which
are not considered in the calculation of Bl\""umlein and Vogt to respect the
factorization scheme independence. It is pointed out that the resummed
coefficient function gives unexpectedly large suppression factor over the
experimentally accessible range of x and Q^{2}. This fact implies that the
next-to-leading logarithmic contributions are very important for the $g_{1}$
structure function.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 11:37:03 GMT""}]","2007-05-23"
"hep-ph/9701366","Thomas Teubner","A. D. Martin, M. G. Ryskin and T. Teubner (Centre for Particle Theory,
  Univ. of Durham)","Diffractive electroproduction of rho meson excitations","LaTeX, 8 pages, 3 PostScript figures (uses epsf). The complete paper,
  including figures, is also available via anonymous ftp at
  ftp://cpt1.dur.ac.uk/pub/preprints/dtp97/dtp9706/","Phys.Rev. D56 (1997) 3007-3010","10.1103/PhysRevD.56.3007","DTP/97/06","hep-ph",,"  We use perturbative QCD and parton-hadron duality to estimate the cross
sections for the diffractive electroproduction of rhoprime(1-) and rho(3-)
resonances which occur in the 1.3-1.8 GeV mass interval. We present the cross
sections and the ratios sigma_L/sigma_T as a function of Q^2. We compare the
predictions with those for the diffractive electroproduction of rho mesons. We
show how such diffractive electroproduction measurements at HERA can probe
features of the perturbative QCD 'Pomeron'.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 11:45:01 GMT""}]","2009-10-30"
"hep-ph/9701367","Institute for Theoretical Physics","Jin-Ping Li, Mu-Lin Yan and Rong-Hua Yu(UTSC)","Higher Order Perturbation Corrections of Rotating Excited States in the
  Standard SU(3) Skyrme Model to Baryon Mass Spectrum","LateX file, 21 pages, no figures","Int.J.Mod.Phys. A12 (1997) 873-890","10.1142/S0217751X97000669","NSC/USTC-17/96","hep-ph",,"  The higher order corrections of SU(3) rotating excited states to the
Gell-Mann-Okubo Relations (or GOR) are presented in the standard SU(3) Skyrme
model.The Improved GOR (or IGOR) are obtained. The results show the IGOR for
decuplet up to the third order and for octet up to the second order are much
compatible with the experimental data. But things becomes quite inadequate for
the octet to the third order. In order to overcome the inadequacy, a heuristic
discussion is presented. The properties of SU(3) rotating excited states
27-let(with spin 1/2 or 3/2),10$^*$-let (with spin 1/2) and 35-let (with spin
3/2) are also discussed.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 11:11:54 GMT""}]","2015-06-25"
"hep-ph/9701368","Genevieve Belanger","M. Baillargeon, G. B\'elanger, F. Boudjema","Semi-leptonic four-fermion final states in polarised \gamma\gamma
  reactions: Exact results vs an improved narrow width approximation","paper in LATEX, 19 pages, 3 figures. Complete psfile available via
  anonymous ftp at ftp://lapphp0.in2p3.fr/pub/preprints-theorie/enslapp635.uu
  or at http://lapphp0.in2p3.fr/preplapp/psth/enslapp635.ps.gz","Phys.Lett. B404 (1997) 124-136","10.1016/S0370-2693(97)00496-6","ENSLAPP-A-635/97, FISIST/2-97/CFIF","hep-ph",,"  We calculate the process $\gamma \gamma \rightarrow e^- \bar{\nu}_e u
\bar{d}$ with the full set of Feynman diagrams. We consider different
implementations of the $W$ width and different combinations of the photon
polarisations. The results of an improved narrow width approximation based on
$\gamma \gamma \rightarrow W^+ W^-$ with full spin-correlations that takes into
account different angular cuts as well as cuts on the invariant masses are
compared to those of the complete calculation.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 13:11:15 GMT""}]","2009-10-30"
"hep-ph/9701370","Nobuchika Okada","Noriaki Kitazawa and Nobuchika Okada","A Supersymmetric Composite Model with Dynamical Supersymmetry Breaking","30 pages, uses REVTEX macro, revised manuscript to appear in Phys.
  Rev. D","Phys.Rev. D56 (1997) 2842-2851","10.1103/PhysRevD.56.2842","TMUP-HEL-9701","hep-ph",,"  We present a supersymmetric composite model with dynamical supersymmetry
breaking. The model is based on the gauge group $SU(2)_S \times SU(2)_H \times
SU(3)_c \times SU(2)_L \times U(1)_Y$. Supersymmetry is dynamically broken by
the non-perturbative effect of the $SU(2)_S$ `supercolor' interaction. The
large top Yukawa coupling is naturally generated by the $SU(2)_H$ `hypercolor'
interaction as recently proposed by Nelson and Strassler. The supersymmetry
breaking is mediated to the standard model sector by a new mechanism. The
electroweak symmetry breaking is caused by the radiative correction due to the
large top Yukawa coupling with the supersymmetry breaking. This is the
`radiative breaking scenario', which originates from the dynamics of the
supercolor and hypercolor gauge interactions.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 14:06:17 GMT""},{""version"":""v2"",""created"":""Sat, 14 Jun 1997 11:06:30 GMT""}]","2009-10-30"
"hep-ph/9701371","Vladislav Korotkov","V.Korotkov, W.-D.Nowak","Summary of Physics Prospects for Polarized Nucleon-Nucleon Scattering at
  HERA-N","18 pages, Latex-2e, elsart.sty, epsfig.sty, rotating.sty, 12 .eps
  figures. Invited talk presented by W.-D. Nowak at the 2nd ELFE Workshop (St.
  Malo, September 1996)","Nucl.Phys. A622 (1997) 78c-94c","10.1016/S0375-9474(97)00334-5","DESY 97-004","hep-ph",,"  The physics scope of polarized nucleon-nucleon collisions originating from an
internal polarized target in the HERA proton beam is summarized. Based on 240
pb^{-1} integrated luminosity at 40 GeV c.m. energy, statistical sensitivities
are given over a wide (x_F, p_T)-range for a variety of inclusive and exclusive
final states. By measuring single spin asymmetries unique information can be
obtained on higher twist contributions and their p_T-dependence. From double
spin asymmetries in both photon and J/psi production it appears possible to
measure the polarized gluon distribution in the range 0.1 < x_{gluon} < 0.4
with a good statistical accuracy. Drell-Yan pair production asymmetries in
doubly longitudinal mode, measurable in the mass range 3-10 GeV, allow
discrimination between different parametrizations of the polarized light sea
quark distributions. In doubly transverse mode access to the quark transversity
distribution might become possible. Statistically significant results can be
expected in the elastic channel.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 14:51:10 GMT""}]","2016-09-06"
"hep-ph/9701372","Genevieve Belanger","M. Baillargeon, G. B\'elanger, F. Boudjema","Effects of Non-Standard Tri-linear Couplings in Photon-Photon
  Collisions: I. $\gamma \gamma \to W^+ W^-$","paper in LATEX, 36 pages, 11 figures. Complete psfile also available
  via anonymous ftp at
  ftp://lapphp0.in2p3.fr/pub/preprints-theorie/enslapp636.uu or at
  http://lapphp0.in2p3.fr/preplapp/psth/enslapp636.ps.gz","Nucl.Phys. B500 (1997) 224-254","10.1016/S0550-3213(97)00330-1","ENSLAPP-A-636/97, FISIST/3-97/CFIF","hep-ph",,"  The effect of anomalous couplings in $\gamma \gamma \to W^+ W^-$ is studied
for different energies of the $\gamma \gamma$ mode of the next linear collider.
The analysis based on the maximum likelihood method exploits the variables in
the four-fermion semi-leptonic final state. Polarised differential cross
sections based on the complete set of diagrams for these channels with the
inclusion of anomalous couplings are used and compared to an approximation
based on $\gamma \gamma \to W^+ W^-$ with full spin correlations. To critically
compare these results with those obtained in $e^+ e^-$ we perform an analysis
based on the complete calculation of the four-fermion semi-leptonic final
state. The anomalous couplings that we consider are derived from the
next-to-leading order operators in the non-linear realisation of symmetry
breaking.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 14:48:11 GMT""}]","2009-10-30"
"hep-ph/9701373","Haim Goldberg","Haim Goldberg","From Planck to GUT via Dimensional Transmutation","13 pages, 1 figure, uses Latex and epsf, reference added","Phys.Lett. B400 (1997) 301-306","10.1016/S0370-2693(97)00356-0","NUB-3154/97-Th","hep-ph",,"  Consider a gauge singlet superfield S coupled to a pair of adjoint fields in
a SUSY-GUT. If the tree-level vacuum is flat in S, the vev <S> which defines
the GUT scale will be determined via dimensional transmutation at a scale M
where the soft-breaking (mass)^2 vanishes as a result of running from $M_{Pl} =
(8 \pi G_N)^{-1/2}$. Because of the large number of adjoint fields $N_A$
coupled to S, one finds that M can be generically close to $M_{GUT} = 2 \times
10^{16} GeV$:
  $M \simeq M_{Pl} \exp[-16 \pi^2 \log(3/2) / (N_A+4) \lambda^2]$, where
$\lambda$ is a Yukawa $\sim$ 0.7. This work examines the symmetries and
dynamical constraints required in a SUSY-GUT in order that the desired flatness
in S is achieved, and that this flatness may survive in a supergravity
framework.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 15:34:43 GMT""},{""version"":""v2"",""created"":""Mon, 3 Feb 1997 20:12:03 GMT""}]","2016-09-06"
"hep-th/9701118","Gabor Takacs","Gabor Takacs","Quantum Affine Symmetry and Scattering Amplitudes of the Imaginary
  Coupled d_4(3) Affine Toda Field Theory","21 pages, LaTeX file. Discussion of results extended, some typos
  fixed","Nucl.Phys. B502 (1997) 629-648","10.1016/S0550-3213(97)00443-4","ITP Budapest Report No. 525","hep-th",,"  An exact S-matrix is conjectured for the imaginary coupled d_4(3) affine Toda
field theory, using the U_q(g_2(1)) symmetry. It is shown that this S-matrix is
consistent with the results for the case of real coupling using the
breather-particle correspondence. For q a root of unity it is argued that the
theory can be restricted to yield Phi(11|14) perturbations of WA_2 minimal
models and the restriction is performed for the (3,p') minimal models.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 19:03:00 GMT""},{""version"":""v2"",""created"":""Wed, 5 Feb 1997 19:07:39 GMT""},{""version"":""v3"",""created"":""Sat, 1 Mar 1997 14:47:11 GMT""}]","2009-10-30"
"hep-th/9701119","Jens Hoppe","J. Froehlich, J. Hoppe (ETH Zuerich)","On Zero-Mass Ground States in Super-Membrane Matrix Models","16 pp., LaTex",,"10.1007/s002200050280","ETH-TH/96-53","hep-th",,"  We recall a formulation of super-membrane theory in terms of certain matrix
models. These models are known to have a mass spectrum given by the positive
half-axis. We show that, for the simplest such matrix model, a normalizable
zero-mass ground state does not exist.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 16:15:03 GMT""}]","2009-10-30"
"hep-th/9701120","Dr Tsou Sheung Tsun","H. M. Chan (Rutherford Appleton Laboratory) and S. T. Tsou
  (Mathematical Institute, Oxford University)","Physical Consequences of Nonabelian Duality in the Standard Model","Latex, 42 pages, plus 4 figures sent on request","Phys.Rev. D57 (1998) 2507-2522","10.1103/PhysRevD.57.2507","RAL-TR-97-005","hep-th hep-ph",,"  Possible physical consequences of a recently discovered nonabelian dual
symmetry are explored in the standard model. It is found that both Higgs fields
and fermion generations can be assigned a natural place in the dual framework,
with Higgs fields appearing as frames (or `N-beins') in internal symmetry
space, and generations appearing as spontaneously broken dual colour. Fermions
then occur in exactly 3 generations and have a factorizable mass matrix which
gives automatically one generation much heavier than the other two. The CKM
matrix is the identity at zeroth order, but acquires mixing through higher loop
corrections. Preliminary considerations are given to calculating the CKM matrix
and lower generation masses. New vector and Higgs bosons are predicted.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 17:11:24 GMT""}]","2015-06-26"
"hep-th/9701121","Jose P. Sande Lemos","Jose' P. S. Lemos","A Profusion of Black Holes from Two to Ten Dimensions","review paper, 34 pages, Latex. Based on the seminar presented in the
  XVIIth Brazilian Meeting of Particle Physics and Fields (Encontro Nacional de
  Fisica de Particulas e Campos), in commemoration to the 30th anniversary of
  the Brasilian Physical Society (Sociedade Brasileira de Fisica SBF),
  September 1996, Serra Negra, SP, Brazil, to appear in the corresponding
  Proceedings, edited by Adilson J. da Silva et al",,,,"hep-th astro-ph gr-qc",,"  Black holes in several dimensions and in several theories are studied and
discussed. The theories are, general relativity, Kaluza-Klein, Brans-Dicke,
Lovelock gravity and string theory.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 20:22:47 GMT""}]","2007-05-23"
"hep-th/9701122","Marco Laucelli Meana","Marco Laucelli Meana, M.A.R. Osorio, and Jes\'us Puente Pe\~nalba
  (Universidad de Oviedo, Spain)","The String Density of States from The Convolution Theorem","15 pages, LaTeX, epsf.sty and a4.sty, 5 figures in PostScript","Phys.Lett. B400 (1997) 275-283","10.1016/S0370-2693(97)00333-X","FFUOV-97/01","hep-th",,"  We study the microcanonical density of states and the thermal properties of a
bosonic string gas starting from a calculation of the Helmholtz free energy in
the S-representation. By adding more and more strings to the single string
system, we induce that, for infinite volume, there is no negative specific heat
region but a transition at a finite value of the energy per string from the low
energy regime to a region of infinite specific heat at the Hagedorn
temperature. Forcing the description of this phase in terms of strings gives a
picture in which there is a very fat string in a sea of low energetic ones. We
argue that the necessary changing of this description should not change the
fact that perturbatively $T_H$ is a maximum temperature of the system.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 19:46:20 GMT""}]","2015-06-26"
"hep-th/9701123","Andrei Mironov","A. Marshakov, A. Mironov and A. Morozov","More Evidence for the WDVV Equations in N=2 SUSY Yang-Mills Theories","LaTeX, 40 pages, no figures","Int.J.Mod.Phys.A15:1157-1206,2000","10.1142/S0217751X00000537","FIAN/TD-15/96, ITEP/TH-46/96","hep-th",,"  We consider 4d and 5d N=2 supersymmetric theories and demonstrate that in
general their Seiberg-Witten prepotentials satisfy the
Witten-Dijkgraaf-Verlinde-Verlinde (WDVV) equations. General proof for the
Yang-Mills models (with matter in the first fundamental representation) makes
use of the hyperelliptic curves and underlying integrable systems. A wide class
of examples is discussed, it contains few understandable exceptions. In
particular, in perturbative regime of 5d theories in addition to naive field
theory expectations some extra terms appear, like it happens in heterotic
string models. We consider also the example of the Yang-Mills theory with
matter hypermultiplet in the adjoint representation (related to the elliptic
Calogero-Moser system) when the standard WDVV equations do not hold.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 20:54:02 GMT""}]","2014-11-18"
"hep-th/9701124","Uwe Mueller","Uwe M\""uller","Basis Invariants in Non--Abelian Gauge Theories","21 pages, 2 figures, 15 tables; LaTeX, uses epsfig; figure in Table 5
  and typo in Table 8 corrected",,,"DESY 96-154","hep-th",,"  A basis of Lorentz and gauge-invariant monomials in non--Abelian gauge
theories with matter is described, applicable for the inverse mass expansion of
effective actions. An algorithm to convert an arbitrarily given invariant
expression into a linear combination of the basis elements is presented. The
linear independence of the basis invariants is proven.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 21:41:50 GMT""},{""version"":""v2"",""created"":""Wed, 5 Feb 1997 23:08:58 GMT""}]","2008-02-03"
"hep-th/9701125",,"A.A. Tseytlin","On non-abelian generalisation of Born-Infeld action in string theory","13 pages, harvmac. Some confusion about instanton matrix model
  solutions corrected (string solution is interpreted as a D-string bound to a
  large number of D-instantons)","Nucl.Phys.B501:41-52,1997","10.1016/S0550-3213(97)00354-4","CERN-TH/97-09, Imperial/TP/96-97/19","hep-th",,"  We show that the part of the tree-level open string effective action for the
non-abelian vector field which depends on the field strength but not on its
covariant derivatives, is given by the symmetrised trace of the direct
non-abelian generalisation of the Born-Infeld invariant. We discuss
applications to D-brane dynamics.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 21:47:59 GMT""},{""version"":""v2"",""created"":""Sun, 26 Jan 1997 23:55:08 GMT""},{""version"":""v3"",""created"":""Wed, 29 Jan 1997 22:47:26 GMT""}]","2009-09-17"
"hep-th/9701126","Fermin Aldabe","Fermin Aldabe and Arne L. Larsen","Charged Open Membrane Solutions On A Manifold With Boundary","14 pages, Latex","Nucl.Phys. B499 (1997) 205-216","10.1016/S0550-3213(97)00317-9",,"hep-th gr-qc",,"  Explicit open single and multi-membrane solutions of the low energy limit of
M-theory on the orbifold $R^{10}\times S^1/Z_2$ are presented. This low energy
action is described by an 11-dimensional supergravity action coupled to two
$E_8$ super Yang-Mills fields, which propagate only on the 10-dimensional
boundaries of the target space. The membrane solutions we construct preserve
half the supersymmetries. They carry electric charge and current with respect
to the gauge fields, whose generators are in the Cartan subalgebra of the two
$E_8$ gauge groups present at the boundaries.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 22:55:28 GMT""}]","2009-10-30"
"hep-th/9701127",,"Igor Bandos, Dmitri Sorokin and Mario Tonin","Generalized Action Principle and Superfield Equations of Motion for d=10
  D-p-branes","LaTeX file, 22 pages","Nucl.Phys. B497 (1997) 275-296","10.1016/S0550-3213(97)00258-7","DFPD 97/TH/04","hep-th",,"  The action for the D=10 type II Dirichlet super-p-branes, which has been
obtained recently, is reconstructed in a more geometrical form involving
Lorentz harmonic variables. This new (Lorentz-harmonic) formulation possesses
kappa-symmetry in an irreducible form and is used as a basis for applying a
generalized action principle that provides the superfield equations of motion
and clarifies the geometrical nature of the kappa-symmetry of these models. The
case of a Dirichlet super-3-brane is considered in detail.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 08:24:00 GMT""}]","2009-10-30"
"hep-th/9701128",,"Marcos Marino","The Geometry of Supersymmetric Gauge Theories in Four Dimensions","Ph. D. Thesis, Latex file, 150 pages",,,,"hep-th alg-geom dg-ga math.AG math.DG",,"  We review the relations between (twisted) supersymmetric gauge theories in
four dimensions and moduli problems in four-dimensional topology, and we study
in detail the non-abelian monopole equations from this point of view. The
relevance of exact results in N=1 and N=2 supersymmetric gauge theories to the
computation of topological invariants is emphasized. Some background material
is provided, including an introduction to Donaldson theory, the twisting
procedure and the Mathai-Quillen formalism.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 01:57:38 GMT""}]","2008-02-03"
"hep-th/9701129","Nam SoonKeon","Changhyun Ahn and Soonkeon Nam","Compactifications of F-Theory on Calabi-Yau Threefolds at Constant
  Coupli ng","13 pages, Latex, no figures, 1 table, some error in the original
  version corrected","Phys.Lett.B419:132-138,1998","10.1016/S0370-2693(97)01477-9","SNUTP/96-72","hep-th",,"  Generalizing the work of Sen, we analyze special points in the moduli space
of the compactification of the F-theory on elliptically fibered Calabi-Yau
threefolds where the coupling remains constant. These contain points where they
can be realized as orbifolds of six torus $T^6$ by $Z_m \times Z_n (m, n=2, 3,
4, 6)$. At various types of intersection points of singularities, we find that
the enhancement of gauge symmetries arises from the intersection of two kinds
of singularities. We also argue that when we take the Hirzebruch surface as a
base for the Calabi- Yau threefold, the condition for constant coupling
corresponds to the case where the point like instantons coalesce, giving rise
to enhanced gauge group of $Sp(k)$.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 08:59:56 GMT""},{""version"":""v2"",""created"":""Mon, 3 Mar 1997 04:03:48 GMT""}]","2016-09-06"
"hep-th/9701130",,"S. Cacciatori, G. Preparata, S. Rovelli, I. Spagnolatti, She-Sheng Xue","On the Ground State of Quantum Gravity","10 pages, LaTex, the version to appear in Physics Letters B","Phys.Lett. B427 (1998) 254-260","10.1016/S0370-2693(98)00349-9",,"hep-th",,"  In order to gain insight into the possible Ground State of Quantized
Einstein's Gravity, we have devised a variational calculation of the energy of
the quantum gravitational field in an open space, as measured by an asymptotic
observer living in an asymptotically flat space-time. We find that for Quantum
Gravity (QG) it is energetically favourable to perform its quantum fluctuations
not upon flat space-time but around a ``gas'' of wormholes, whose size is the
Planck length $a_p$ ($a_p\simeq 10^{-33}$cm). As a result, assuming such
configuration to be a good approximation to the true Ground State of Quantum
Gravity, space-time, the arena of physical reality, turns out to be well
described by Wheeler's Quantum Foam and adequately modeled by a space-time
lattice with lattice constant $a_p$, the Planck lattice.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 11:05:03 GMT""},{""version"":""v2"",""created"":""Mon, 13 Apr 1998 16:08:00 GMT""}]","2009-10-30"
"hep-th/9701131","Leopoldo Pando","Leopoldo A. Pando Zayas (Department of Theoretical Physics at Moscow
  State University)","Cosmological Theories From $SO(2,2)/SO(2)\times SO(1,1)$","13 pages, Latex, no figure","Phys.Lett. B398 (1997) 274-276","10.1016/S0370-2693(97)00248-7","DTP-MSU/97-03","hep-th",,"  We herein set forth intrinsically four-dimensional string solutions and
analyze some of its properties. The solutions are constructed as gauged WZW
models of the coset $SO(2,2)/SO(2)\times SO(1,1)$. We recover backgrounds
having metric and antisymmetric tensors, dilaton fields and two electromagnetic
fields. The theories describe anisotropically expanding and static universes
for some time values.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 14:33:39 GMT""}]","2009-10-30"
