"alg-geom/9701009","Paul Bressler","P.Bressler, J.-L.Brylinski","On the singularities of the theta divisors on Jacobians","LaTeX Version 2.09",,,,"alg-geom math.AG",,"  We study the intersection cohomology of the theta divisors on Jacobians of
nonhyperelliptic curves.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 21:15:15 GMT""},{""version"":""v2"",""created"":""Wed, 19 Feb 1997 14:52:53 GMT""},{""version"":""v3"",""created"":""Wed, 19 Mar 1997 17:05:16 GMT""}]","2008-02-03"
"cond-mat/9701171","Arisato Kawabata","Arisato Kawabata (Dept. Phys. Gakushuin U.)","Interaction Effects on the Conductance in One-Dimensional Systems --
  Short-Range Interaction --","8 pages, 1 figure (EPSF), submitted to J. Phys. Soc. Jpn. (Letter)",,,"AKPR-1/97","cond-mat.mes-hall",,"  We investigate the effect of electron-electron interactions on the
conductance of quasi one-dimensional systems without potential scattering. For
a finite temperature or system length, the short-range interaction is not
renormalized to 0, and it gives rise to a finite correction to the conductance
if we calculate it using Kubo formula. We show that this correction can be
absorbed into the renormalization of the chemical potential and that the
properly defined conductance to be observed in the experiments is equal to that
of non-interacting electrons.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 03:19:34 GMT""}]","2009-09-25"
"cond-mat/9701172","Giulio Maspero","Giulio Casati, Italo Guarneri, Giulio Maspero","Landauer and Thouless Conductance: a Band Random Matrix Approach","11 latex preprint pages with 6 ps figures, to appear in Journal de
  Physique I, May (1997)",,"10.1051/jp1:1997187",,"cond-mat.mes-hall",,"  We numerically analyze the transmission through a thin disordered wire of
finite length attached to perfect leads, by making use of banded random
Hamiltonian matrices. We compare the Landauer and the Thouless conductances,
and find that they are proportional to each other in the diffusive regime,
while in the localized regime the Landauer conductance is approximately
proportional to the square of the Thouless one. Fluctuations of the Landauer
conductance were also numerically computed; they are shown to slowly approach
the theoretically predicted value.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 11:53:22 GMT""}]","2009-10-30"
"cond-mat/9701173","Thomas Devereaux","K. Hewitt, T. Devereaux, X. K. Chen, X.-Z. Wang, J. Naeini and J.C.
  Irwin","Comment on ""Superconducting gap anisotropy vs. doping level in high-T_c
  cuprates"" by C. Kendziora et al, PRL 77, 727 (1996)","1 page revtex plus 1 postscript figure","Phys. Rev. Lett. 78 (1997) 4891","10.1103/PhysRevLett.78.4891",,"cond-mat.supr-con",,"  In a recent paper Kendziora et al concluded that the superconducting gap in
overdoped Bi-2212 is isotropic. From data obtained from electronic Raman
scattering measurements, their conclusion was based on the observation that
pair breaking peaks occured at approximately the same frequency in different
scattering geometries and that the normalized scattering intensity at low
energies was strongly depleted. We discuss a different interpretation of the
raw data and present new data which is consistent with a strongly anisotropic
gap with nodes. The spectra can be successfully described by a model for Raman
scattering in a d_{x^{2}-y^{2}} superconductor with spin fluctuations and
impurity scattering included.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 12:58:52 GMT""}]","2009-10-30"
"cond-mat/9701174","Pascal Lederer","Pascal Lederer","The Quantum Hall Effect of Field Induced Spin Density Wave Phases: the
  Physics of the Ultra Quantum Crystal","17 pages, latex, 6 figures, available on request at
  pascal@solrt.lps.u-psud.fr","Jour Physique,vol6, p.1899, 1996","10.1051/jp1:1996196",,"cond-mat",,"  The Quantum Hall Effect of Field Induced Spin Density Wave Phases is
accounted for within a weak coupling theory which assumes that in the relevant
low temperature part of the phase diagram the quasi one dimensional conductor
is well described by Fermi liquid theory. Recent experimental results show that
sign inversion of the Hall Plateaux takes place all the way down from the
instability line of the normal state. The Quantum Nesting model, when it takes
into account small perturbations away from perfect nesting, describes well not
only the usual sequence of Hall plateaux, but also the anomalies connected with
sign inversion of the Hall Effect. Experimental observation of de-doubling of
sub-phase to sub-phase transition lines suggests that superposition of SDW
order parameters occurs in some parts of the phase diagram. The collective
excitations of the Ultra Quantum Crystal have a specific magneto-roton
structure. The SDW case exhibits,apart from the usual spin waves, topological
excitations which are either skyrmions or half skyrmions. It is suggested that
magneto-rotons may have been observed some years ago in specific heat
experiments.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 14:04:06 GMT""}]","2009-10-30"
"cond-mat/9701175","Lorenzo Bergomi","Lorenzo Bergomi, James J. Chen","Magnetic susceptibility of EuTe/PbTe Heisenberg superlattices:
  experimental and theoretical studies","30 pages, 8 ps figures, RevTex",,"10.1103/PhysRevB.56.3281","T97/004","cond-mat",,"  We report results on the temperature dependence of the susceptibilities of a
set of MBE-grown short-period EuTe/PbTe antiferromagnetic superlattices having
different EuTe layer thicknesses. In-plane and orthogonal susceptibilities have
been measured and display a strong anisotropy at low temperature, confirming
the occurrence of a magnetic phase transition in the thicker samples, as seen
also in neutron diffraction studies. We suggest that dipolar interactions
stabilize antiferromagnetic long-range order in an otherwise isotropic system
and we present numerical and analytical results for the low-temperature
orthogonal susceptibility.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 15:26:31 GMT""}]","2009-10-30"
"cond-mat/9701176","Georges Bouzerar","G. Bouzerar, A.P. Kampf, and F. Sch\""onfeld","Magnetic Excitations in the Spin-Peierls System $CuGeO_3$","The postscript files of the figures are included (5 figures).The
  paper is submitted to Phys. Rev. letters",,,,"cond-mat.str-el",,"  We have calculated the magnetic excitation spectrum in frustrated and
dimerized spin 1/2 Heisenberg chains for model parameters which describe the
thermodynamics and low frequency spin dynamics in the spin--Peierls system
$CuGeO_{3}$. As a test the chosen model is found to reproduce the lowest Raman
excitation energy near $30 cm^{-1}$ in the dimerized phase. We establish the
elementary triplet and singlet excitation branches below the continuum and
estimate the interchain coupling effects on the dimerization parameter.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 15:40:29 GMT""}]","2008-02-03"
"funct-an/9701009","Denis V. Juriev","Denis V.Juriev","On the infinite dimensional hidden symmetries. II. $q_R$-conformal
  modular functor","23pp, AMSTEX. Part I: funct-an/9612004",,,,"funct-an dg-ga math.DG math.OA math.QA q-alg",,"  The article is devoted to the $q_R$-conformal modular functors, which being
``deformations'' of the conformal modular functor (the projective
representation of the category $Train(Diff_+(S^1))$, the train of the group
$Diff_+(S^1)$ of all orientation preserving diffeomorphisms of a circle) in the
class of all projective modular functors (the projective representations of the
category $Train(PSL(2,R))$, the train of the projective group $PSL(2,R)$), may
be regarded as its ``Berezin quantizations''.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 05:19:44 GMT""}]","2008-02-03"
"gr-qc/9701050","Hideyuki Tagoshi","T.Tanaka, H.Tagoshi and M.Sasaki","Gravitational Waves by a Particle in Circular Orbits around a
  Schwarzschild black hole -5.5 Post-Newtonian Formula-","15 pages, ptptex, 2 figures","Prog.Theor.Phys.96:1087-1101,1996","10.1143/PTP.96.1087","OU-TAP 44, NAOJ-Th-Ap-1996-3","gr-qc",,"  Using the post-Newtonian (PN) expansion technique of the gravitational wave
perturbation around a Schwarzschild black hole, we calculate analytically the
energy flux of gravitational waves induced by a particle in circular orbits up
to the 5.5PN order, i.e. $O(v^{11})$ beyond Newtonian. By comparing the formula
with numerical data, we find that the error of the 5.5PN formula is about 4%
when the particle is on the last stable circular orbit. We also estimate the
error $\Delta N$ in the total cycle of gravitational waves from coalescing
compact binaries in a laser interferometer's band produced by using the
post-Newtonian approximations. We find that, as for the neutron star-black hole
binaries, the 4.5PN approximation gives $\Delta N\alt1$ for a black hole of
mass $M<40M_\odot$, while it gives $\Delta N\agt1$ for a black hole of mass
$M>40M_{\odot}$.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 11:43:37 GMT""}]","2009-10-09"
"gr-qc/9701051","Dorje C. Brody","Dorje C. Brody (ADMTP) and Lane P. Hughston (Merrill Lynch)","Statistical Geometry in Quantum Mechanics","32 pages, LaTex file, Extended version to include quantum measurement
  theory",,"10.1098/rspa.1998.0266",,"gr-qc",,"  A statistical model M is a family of probability distributions, characterised
by a set of continuous parameters known as the parameter space. This possesses
natural geometrical properties induced by the embedding of the family of
probability distributions into the Hilbert space H. By consideration of the
square-root density function we can regard M as a submanifold of the unit
sphere in H. Therefore, H embodies the `state space' of the probability
distributions, and the geometry of M can be described in terms of the embedding
of in H. The geometry in question is characterised by a natural Riemannian
metric (the Fisher-Rao metric), thus allowing us to formulate the principles of
classical statistical inference in a natural geometric setting. In particular,
we focus attention on the variance lower bounds for statistical estimation, and
establish generalisations of the classical Cramer-Rao and Bhattacharyya
inequalities. The statistical model M is then specialised to the case of a
submanifold of the state space of a quantum mechanical system. This is pursued
by introducing a compatible complex structure on the underlying real Hilbert
space, which allows the operations of ordinary quantum mechanics to be
reinterpreted in the language of real Hilbert space geometry. The application
of generalised variance bounds in the case of quantum statistical estimation
leads to a set of higher order corrections to the Heisenberg uncertainty
relations for canonically conjugate observables.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 15:01:43 GMT""},{""version"":""v2"",""created"":""Wed, 22 Oct 1997 16:12:18 GMT""}]","2009-10-30"
"hep-ex/9701011","Stefan Soldner-Rembold","M. Rogalla, Th. Eich, N. Evans, R. Geppert, R. Goeppert, R. Irsigler,
  J. Ludwig, K. Runge, Th. Schmid (Freiburg)","Radiation studies for GaAs in the ATLAS Inner Detector","11 pages, 6 Postscript figures, uses elsart.cls, submitted to Nucl.
  Inst. and Meth","Nucl.Instrum.Meth. A395 (1997) 45-48","10.1016/S0168-9002(97)00634-7","FREIBURG-EHEP-97-01","hep-ex",,"  We estimate the hardness factors and the equivalent 1 MeV neutron fluences
for hadrons fluences expected at the GaAs positions wheels in the ATLAS Inner
Detector. On this basis the degradation of the GaAs particle detectors made
from different substrates as a function of years LHC operation is predicted.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 16:34:36 GMT""}]","2009-10-30"
"hep-ex/9701012","Preprints Libr/pam","T. Coan, CLEO Collaboration","Tau Neutrino Helicity from $h^{\pm}$ Energy Correlations","11 pages, postscript file also available through
  http://w4.lns.cornell.edu/public/CLNS","Phys.Rev.D55:7291-7295,1997","10.1103/PhysRevD.55.7291","CLNS96/1450, CLEO 96-21","hep-ex",,"  We report a measurement of the magnitude of the tau neutrino helicity from
tau-pair events taken with the CLEO detector at the CESR electron-positron
storage ring. Events in which each tau undergoes the decay tau -> h nu, with h
a charged pion or kaon, are analyzed for energy correlations between the
daughter hadrons, yielding |xi| = 2*|h_nu| = 1.03 +/- 0.06 +/- 0.04, with the
first error statistical and the second systematic.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 20:16:36 GMT""}]","2010-04-08"
"hep-ex/9701013","Preprints Libr/pam","S. Anderson, et al. (CLEO Collaboration)","$\Lambda\bar{\Lambda}$ Production in Two-Photon Interactions at CLEO","10 pages, postscript file also available through
  http://w4.lns.cornell.edu/public/CLNS","Phys.Rev.D56:2485-2489,1997","10.1103/PhysRevD.56.R2485","CLNS 96/1448, CLEO 96-19","hep-ex",,"  Using the CLEO detector at the Cornell $e^+e^-$ storage ring, CESR, we study
the two-photon production of $\Lambda \bar{\Lambda}$, making the first
observation of $\gamma \gamma \to \Lambda \bar{\Lambda}$. We present the
cross-section for $ \gamma \gamma \to \Lambda \bar{\Lambda}$ as a function of
the $\gamma \gamma$ center of mass energy and compare it to that predicted by
the quark-diquark model.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 20:28:19 GMT""}]","2010-04-08"
"hep-ph/9701349","Andrea Romanino","Andrea Romanino","Unified theories of flavour with U(2) as horizontal group","9 pages, lxatex2e using amstex, epsfig, epic, 1 eps figure. Talk
  given at NATO Advanced Study Institute on Masses of Fundamental Particles,
  Cargese, France, 5-17 Aug 1996",,,"IFUP-TH 5/97","hep-ph",,"  An unified flavour model based on U(2) as flavour group is described. Besides
to explain the main characteristics of the fermion spectrum, the model is
predictive and agrees quantitatively with experimental data in flavour physics.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 17:30:53 GMT""},{""version"":""v2"",""created"":""Fri, 31 Jan 1997 15:38:12 GMT""}]","2008-02-03"
"hep-ph/9701350",,"Chong Sheng Li, Robert J. Oakes, Jin Min Yang, C.-P. Yuan","Supersymmetric Electroweak Parity Nonconservation in Top Quark Pair
  Production at the Fermilab Tevatron","revised version, some new numerical results added","Phys.Lett. B398 (1997) 298-304","10.1016/S0370-2693(97)00220-7","PKU-TP-97-05, NUHEP-TH-96-7, MSUHEP-61122","hep-ph",,"  We evaluate the supersymmetric (SUSY) electroweak corrections to the effect
of parity nonconservation in $q {\bar q} \to t {\bar t}$ production at the
Fermilab Tevatron predicted by the Minimal Supersymmetric Model (MSSM). We find
that the parity nonconserving asymmetry from the SUSY electroweak and SUSY
Yukawa loop corrections predicted by the minimal supergravity (mSUGRA) model
and the MSSM models with scenarios motivated by current data is about one
percent. It will be challenging to observe such a small asymmetry at the
Tevatron with 10 fb^{-1} of luminosity. It could however be observable if both
the top- and bottom-squarks are light and $\tan \beta$ is smaller than 1,
though theses parameters are not favored by mSUGRA.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 18:20:37 GMT""},{""version"":""v2"",""created"":""Mon, 24 Feb 1997 19:04:34 GMT""}]","2015-06-25"
"hep-ph/9701351","Sean Carroll","Andrew Sornborger, Sean M. Carroll, and Ted Pyne","The Collapse of Exotic Textures","28 pages plus 10 figures. Additional figures and mpeg movies
  accessible from http://itp.ucsb.edu/~carroll/textures.html","Phys.Rev. D55 (1997) 6454-6465","10.1103/PhysRevD.55.6454","DAMTP-R-97/04, NSF-ITP/97-013","hep-ph astro-ph hep-th",,"  The ordering of scalar fields after a phase transition in which a group $G$
of global symmetries is spontaneously broken to a subgroup $H$ provides a
possible explanation for the origin of structure in the universe, as well as
leading to observable effects in condensed matter systems. The field dynamics
can depend in principle on the geometry and topology of the vacuum manifold
G/H; for example, texture configurations which collapse and unwind will exist
if the third homotopy group $\pi_3(G/H)$ is nontrivial. We numerically simulate
the evolution of texture-like configurations in a number of different models,
in order to determine the extent to which the geometry and topology of the
vacuum manifold influences the field evolution. We find that the dynamics is
affected by whether or not the theory supports strings or monopoles
[characterized by $\pi_1(G/H)$ and $\pi_2(G/H)$, respectively]. In some of the
theories studied, configurations with initially spherically symmetric energy
densities are unstable to nonspherical collapse; these theories are also found
to nucleate defects during the collapse. Models that do not support monopoles
or strings behave similarly to each other, regardless of the specific vacuum
manifold.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 22:10:43 GMT""},{""version"":""v2"",""created"":""Thu, 23 Jan 1997 02:03:50 GMT""}]","2009-10-30"
"hep-ph/9701352","Tom D. Imbo","Tom D. Imbo","Simple Baryon-Meson Mass Relations For A Logarithmic Interquark
  Potential","13 pages, plain TeX, 1 eps figure, uses harvmac and epsf.sty","Phys.Lett. B398 (1997) 374-380","10.1016/S0370-2693(97)00217-7","UICHEP-TH/96-04","hep-ph",,"  I consider the quantity delta(m_1m_2m_3) = M_{q_1q_2q_3} - [M_{q_1q_2bar} +
M_{q_2q_3bar} + M_{q_1q_3bar}]/2, where the M's represent the ground state
spin-averaged hadron masses with the indicated quark content and the m's the
corresponding constituent quark masses. I assume a logarithmic interquark
potential, the validity of a nonrelativistic approach, and various standard
potential model inputs. Simple scaling arguments then imply that the quantity
R(x)=delta(mmm_3)/delta(m_0m_0m_0) depends only on the ratio x=m/m_3, and is
independent of m_0 as well as any parameters appearing in the potential. A
simple and accurate analytic determination of delta(mmm_3), and hence R(x), is
given using the 1/D expansion where D is the number of spatial dimensions. When
applicable, this estimate of R(x) compares very well to experiment -- even for
hadrons containing light quarks. A prediction of the above result which is
likely to be tested in the near future is M_{Sigma_b^*}/2 + [M_{Lambda_b} +
M_{Sigma_b}]/4 = 5774 +/- 4 MeV/c^2.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 00:04:28 GMT""}]","2016-09-06"
"hep-ph/9701353","Anton Kapustin","Martin Gremm, Anton Kapustin","Annihilation of S-wave quarkonia and the measurement of alpha_s","13 pages, revtex, one eps figure. A discussion of the subtraction
  scheme dependence of the NRQCD operators is added","Phys.Lett.B407:323-330,1997","10.1016/S0370-2693(97)00744-2",,"hep-ph",,"  We analyze the relativistic corrections to annihilation rates of S-wave
quarkonia within the framework of NRQCD. We show that order v^2 corrections can
be expressed in terms of the heavy quark pole mass and the quarkonium mass. The
ratio of hadronic to radiative annihilation rates for eta_b and eta_c can
therefore be predicted accurately. The contributions of color-octet operators
to the hadronic decay rates of spin-triplet quarkonia are shown to be
significant, even though they arise at order v^4 in the velocity expansion. We
provide a rough estimate of the color-octet contributions and extract the value
of alpha_s from the experimental data on Upsilon decays.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 05:31:56 GMT""},{""version"":""v2"",""created"":""Wed, 16 Apr 1997 21:36:29 GMT""}]","2010-11-19"
"hep-ph/9701354","Markus Thoma","M.H. Thoma and C.T. Traxler (Univ. Giessen)","Production of energetic dileptons with small invariant masses from the
  quark-gluon plasma","15 pages, 6 PostScript figures, REVTEX, minor numerical correction of
  the final result, to be published in Phys.Rev.D","Phys. Rev. D 56, 198 (1997)","10.1103/PhysRevD.56.198","UGI-97-02","hep-ph nucl-th",,"  The resummation technique of Braaten and Pisarski is used for a complete
calculation of the $\alpha^2 \alpha_s$-contribution to the production rate of
dileptons with energy E >> T and invariant mass M <~ T from a quark-gluon
plasma. In particular the cancellation of the infrared singularity by medium
effects is discussed in detail.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 10:43:24 GMT""},{""version"":""v2"",""created"":""Fri, 11 Apr 1997 11:13:01 GMT""}]","2016-08-24"
"hep-ph/9701355","Sandra Klevansky","S.P. Klevansky, P. Rehberg, A. Ogura and J. H""ufner","Developing Transport Theory to Systematically Include Mesons And
  Hadronization","Proceedings of the Hirschegg Conference, QCD Phase Transitions,
  January 1997",,,,"hep-ph",,"  Transport theory for the Nambu--Jona-Lasinio (NJL) model is examined. The
collision term is investigated in a first approach in a coupling strength
expansion. It can be demonstrated that this leads to a form easily recognized
from the Boltzmann equation if the quasiparticle approximation is used. It is
seen that enforcing a quasiparticle approximation suppresses the three body
creation and annihilation processes that would otherwise be present. Including
mesons and hadronization consistently in a $1/N_c$ expansion is discussed
briefly. Some comments on the numerical simulation of the Vlasov equation and
the relaxation time approximation to the collision term are made.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 11:22:06 GMT""}]","2007-05-23"
"hep-ph/9701356","Gian Paolo Vacca","Mikhail Braun, Gian Paolo Vacca","Jet production from the perturbative QCD pomeron with a running coupling
  constant",,"Phys.Lett. B406 (1997) 137-148","10.1016/S0370-2693(97)00624-2",,"hep-ph",,"  An analysis of minijet production from the hard pomeron with a running
coupling constant is performed. Two supercritical pomerons found in the
numerical study are taken into account. The calculated inclusive jet production
rate is finite at small $k_{\bot}$ and behaves like $1/k^{-4}_{\bot}$ at high
$k_{\bot}$ modulo factors coming from logarithmic terms. The average $k_{\bot}$
is found to be very large ($\sim 10-13 GeV/c$) and practically independent of
energy. This is interpreted as an indication that at present energies we are
still far from the asymptotics and that, apart from supercritical pomerons,
other states contribute significantly.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 11:28:32 GMT""},{""version"":""v2"",""created"":""Fri, 24 Jan 1997 11:03:31 GMT""}]","2009-10-30"
"hep-ph/9701357","Werner Bernreuther","Werner Bernreuther","CP vioation in weak decays and elsewhere","15 pages, Latex",,,"PITHA 97/3","hep-ph",,"  A brief overview is given on the status and prospects of searches for CP
nonconservation effects in weak decays of strange, charmed, and beauty hadrons,
on the search for permanent electric dipole moments of particles, and on
present and future high energy CP tests at colliders.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 13:20:59 GMT""}]","2007-05-23"
"hep-ph/9701358","Leszek Motyka","Marek Jezabek (Institute of Nuclear Physics, Cracow, Poland and
  Institute of Physics, Silesian University, Katowice, Poland) and Leszek
  Motyka (Institute of Physics, Jagellonian University, Cracow, Poland)","Tau lepton distributions in semileptonic B decays","20 pages, LaTeX (uses epsf.sty, fleqn macro), submitted to Nuclear
  Physics B. A Fortran version of the formulae given in this paper is available
  upon request from jezabek@hpjmiady.ifj.edu.pl or leszekm@thp1.if.uj.edu.pl","Nucl.Phys. B501 (1997) 207-223","10.1016/S0550-3213(97)00341-6","TP-USl/96/17","hep-ph",,"  Analytic formulae are given for order alpha_s perturbative QCD corrections to
the double differential distribution of the tau lepton energy and the invariant
mass of the tau + antineutrino system in semileptonic decays of the bottom
quark. The corresponding distribution for B meson decays are obtained by
combining these results and the nonperturbative QCD corrections calculated by
Falk et al. The moments of the energy distribution of the tau lepton are
calculated.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 14:59:01 GMT""}]","2009-10-30"
"hep-th/9701114","Andrea Lavagno","G. Kaniadakis, A. Lavagno and P. Quarati","Kinetic model for q-deformed bosons and fermions","revtex, 4 pages, to appear in Phys. Lett. A",,"10.1016/S0375-9601(97)00068-6",,"hep-th",,"  We have studied the kinetics of $q$-deformed bosons and fermions, within a
semiclassical approach. This investigation is realized by introducing a
generalized exclusion-inclusion principle, intrinsically connected with the
quantum $q$-algebra by means of the creation and annihilation operators matrix
elements. In this framework, we have derived a non-linear Fokker-Planck
equation for $q$-deformed bosons and fermions which can be seen as a time
evolution equation, appropriate to consider non-equilibrium or near-equilibrium
systems in a semiclassical approximation. The steady state of this equation
reproduces in a simple mode the $q$-oscillators equilibrium statistics.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 16:32:15 GMT""}]","2009-10-30"
"hep-th/9701115","Sudipta Mukherji","Jnanadeva Maharana, Sudipta Mukherji, Sudhakar Panda","Notes on Axion, Inflation and Graceful Exit in Stringy Cosmology","harvmac, 11 pages, no figure","Mod.Phys.Lett. A12 (1997) 447-456","10.1142/S0217732397000467","IP-BBSR/96-67","hep-th",,"  We study the classical equations of motion and the corresponding Wheeler-De
Witt equation for tree level string effective action with the dilaton and
axion. The graceful exit problem in certain cases is then analysed.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 03:33:16 GMT""}]","2009-10-30"
"hep-th/9701116","Hyung Won Lee","Jin Young Kim(Dongseo U.), H.W. Lee, Y.S. Myung(Inje U.)","Negative modes in the four-dimensional stringy wormholes","12 pages 2 figures, RevTeX","Phys.Rev.D56:6684-6687,1997","10.1103/PhysRevD.56.6684","INJE-TP-97-1","hep-th gr-qc",,"  We study the Giddings-Strominger wormholes in string theories. We found
negative modes among O(4)-symmetric fluctuations about the non-singular
wormhole background. Hence the stringy wormhole contribution to the euclidean
functional integral is purely imaginary. This means that the stringy wormhole
is a bounce (not an instanton) and describes the nucleation and growth of
wormholes in the Minkowski spacetime.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 04:33:26 GMT""},{""version"":""v2"",""created"":""Wed, 27 Aug 1997 07:42:33 GMT""}]","2014-11-18"
"hep-th/9701117","Supriya Kar","Supriya Kar","D-Branes and Twelve Dimensions","20 pages, LaTex, references added, version to appear in Nucl.Phys.B","Nucl.Phys. B497 (1997) 110-126","10.1016/S0550-3213(97)00247-2","UT-Komaba/97-3","hep-th",,"  We study the D-brane solutions to type IIB superstring in ten dimensions and
find interpretation in terms of compactification of a twelve dimensional
three-brane of (a specific) F-theory on a torus $T^2$. In this frame-work,
there also exist a two-brane which may be argued to be equivalent to the
three-brane by utilizing the electric-magnetic duality in eleven dimensions. In
this context, we propose for the existence of an isometry in one of the
transverse directions to the three-brane in F-theory. As a consequence the
two-brane may be identified with the three-brane in twelve dimensions itself.
The twelve dimensional picture of D-branes in type IIB theory suggests for the
reformulation of type IIB superstring in terms of three-brane of F-theory.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 10:08:36 GMT""},{""version"":""v2"",""created"":""Tue, 8 Apr 1997 04:55:17 GMT""}]","2009-10-30"
"math/9701206",,"Niels Jakob Laustsen","K-theory for algebras of operators on Banach spaces",,,,"Banach Archive 1/23/97","math.FA",,"  It is proved that, for each pair (m,n) of non-negative integers, there is a
Banach space X for which the group K_0(B(X)) is isomorphic to m copies of the
integers and the group K_1(B(X)) is isomorphic to n copies of the integers.
Along the way we compute the K-groups of all closed ideals of operators
contained in the ideal of strictly singular operators, and we derive some
results about the existence of splittings of certain short exact sequences.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 00:00:00 GMT""}]","2008-02-03"
"math/9701222","Robin Pemantle","Lincoln Chayes, Robin Pemantle, Yuval Peres","No directed fractal percolation in zero area",,,"10.1007/BF02732437","Wisconsin Math 97/RP-1a","math.PR",,"  We show that fractal (or ""Mandelbrot"") percolation in two dimensions produces
a set containing no directed paths, when the set produced has zero area. This
improves a similar result by the first author in the case of constant retention
probabilities to the case of retention probabilities approaching 1.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 00:00:00 GMT""}]","2015-06-26"
"math/9701223","Robin Pemantle","Robin Pemantle, Stanislav Volkov","Markov chains in a field of traps",,,,"Wisconsin Math 97/RP-1b","math.PR",,"  A general criterion is given for when a Markov chain trapped with probability
p(x) in state x will be almost surely trapped. The quenched (state x is a trap
forever with probability p(x)) and annealed (state x traps with probability
p(x) on each visit) problems are shown to be equivalent.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 00:00:00 GMT""}]","2016-09-07"
"math/9701224","Robin Pemantle","Robin Pemantle, Stanislav Volkov","Vertex-reinfoced random walk on Z visits finitely many states",,,,"Wisconsin Math 97/RP-1d","math.PR",,"  Vertex-reinforced random walk is defined in Pemantle's (1988) thesis; it is a
random walk that is biased to visit sites it has already visited a lot. We show
that this reinforcement scheme, in contrast to the scheme of
edge-reinforcement, causes random walk on a line to get trapped in a finite
set.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 00:00:00 GMT""}]","2016-09-07"
"math/9701225","Robin Pemantle","O. Adelman, Krzysztof Burdzy, Robin Pemantle","Sets avoided by Brownian motion",,,,"Wisconsin Math 97/RP-1f","math.PR",,"  Any fixed cylinder is hit almost surely by a 3-dimensional Brownian motion,
but is there a random cylinder that is in the complement? We answer this for
cylinders, and then replacing a cylinder with a more general set.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 00:00:00 GMT""}]","2008-02-03"
"math/9701226","Robin Pemantle","Olle Haggstrom, Robin Pemantle","First passage percolation and a model for competing spatial growth",,,,"Wisconsin Math 97/RP-1g","math.PR",,"  We generalize Richardson's model by starting with two sites of different
colors and giving each new site the color of the site that spawned it. We show
that co-existence is possible.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 00:00:00 GMT""}]","2009-09-25"
"math/9701227","Robin Pemantle","Itai Benjamini, Robin Pemantle, Yuval Peres","Paths with exponential intersection tails and oriented percolation",,,,"Wisconsin Math 97/RP-1h","math.PR",,"  We show that oriented percolation occurs whenever a condition is satisfied
called ""exponential intersection tails"". This condition says that a measure on
paths exists for which the probability of two independent paths intersecting in
more than k sites is exponentially small in k.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 00:00:00 GMT""}]","2016-09-07"
"math/9701228","Robin Pemantle","Robin Pemantle","The probability that Brownian motion almost covers a line",,,"10.1016/S0246-0203(97)80119-7","Wisconsin Math 97/RP-1i","math.PR",,"  Lower and upper estimates are given for the probability that the
epsilon-enlargement of planar Brownian motion to time 1 (the epsilon sausage)
contains a unit line segment. The estimates imply that Brownian motion to time
1 itself contains no line segment.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 00:00:00 GMT""}]","2015-06-26"
