"alg-geom/9703033","Wolfgang Eholzer","W. Eholzer, T. Ibukiyama","Rankin-Cohen Type Differential Operators for Siegel Modular Forms","19 pages LaTeX2e using amssym.def",,,"preprint MPI, DAMTP-97-26","alg-geom math.AG",,"  Let H_n be the Siegel upper half space and let F and G be automorphic forms
on H_n of weights k and l, respectively. We give explicit examples of
differential operators D acting on functions on H_n x H_n such that the
restriction of D(F(Z_1) G(Z_2)) to Z = Z_1 = Z_2 is again an automorphic form
of weight k+l+v on H_n. Since the elliptic case, i.e. n=1, has already been
studied some time ago by R. Rankin and H. Cohen we call such differential
operators Rankin-Cohen type operators. We also discuss a generalisation of
Rankin-Cohen type operators to vector valued differential operators.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 10:50:10 GMT""}]","2008-02-03"
"cond-mat/9703224","Toshiaki Iitaka","Toshiaki Iitaka, Shintaro Nomura, Hideki Hirayama, Xinwei Zhao,
  Yoshinobu Aoyagi, Takuo Sugano","Calculating the linear response functions of non-interacting electrons
  by the time-dependent Schroedinger equation","to be published in Phys.Rev.E56(1). 19 pages, 8 figures, more
  information at http://espero.riken.go.jp","Phys. Rev. E56 1222 (1997)","10.1103/PhysRevE.56.1222",,"cond-mat physics.comp-ph",,"  An O(N) algorithm is proposed for calculating linear response functions of
non-interacting electrons in arbitray potential. This algorithm is based on
numerical solution of the time-dependent Schroedinger equation discretized in
space, and suitable to parallel- and vector- computation. Since it avoids
O(N^3) computational effort of matrix diagonalization, it requires only O(N)
computational effort where N is the dimension of the statevector.
  This O(N) algorithm is very effective for systems consisting of thousands of
atoms, since otherwise we have to calculate large number of eigenstates, i.e.,
the occupied one-electron states up to the Fermi energy and the unoccupied
states with higher energy.
  The advantage of this method compared to the Chebyshev polynomial method
recently developed by Wang (L.W. Wang, Phys. Rev. B49, 10154 (1994);L.W. Wang,
Phys. Rev. Lett. 73, 1039 (1994)) is that our method can calculate linear
response functions without any storage of huge statevectors on external
storage. Therefore it can treat much larger systems.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 14:36:09 GMT""},{""version"":""v2"",""created"":""Mon, 5 May 1997 12:43:56 GMT""}]","2009-10-30"
"cond-mat/9703225","Daniel Stariolo","Daniel Stariolo","Spreading of Damage in the SK Spherical Spin Glass","12 pages, 2 .eps figures, contribution to the VI International
  Workshop on Disordered Systems, Andalo-Italy, march 1997, to appear in
  Phil.Mag",,"10.1080/13642819808204994",,"cond-mat.dis-nn",,"  By considering the Langevin dynamics of the SK spin glass with a spherical
constraint we calculate the asymptotic distance between two real replicas that
evolve with the same thermal noise from different initial conditions. Despite
the simplicity of the model its dynamics is known to be non trivial and
presents aging phenomena. We find that the asymptotic distance between two
replicas is maximal for a whole family of initial conditions that are
arbitrarily close at t=0 . The asymptotic distance presents a dynamical
transition at a temperature equal to the static phase transition one.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 14:48:11 GMT""}]","2017-02-08"
"dg-ga/9703019",,"Ennio Gozzi","Can We Look at The Quantisation Rules as Constraints?","4-pages, latex","Nucl.Phys.Proc.Suppl. B57 (1997) 223","10.1016/S0920-5632(97)00383-6","UTS-DFT-96-03","dg-ga hep-th math.DG quant-ph",,"  In this paper we explore the idea of looking at the Dirac quantisation
conditions as $\hbar$-dependent constraints on the tangent bundle to
phase-space. Starting from the path-integral version of classical mechanics and
using the natural Poisson brackets structure present in the cotangent bundle to
the tangent bundle of phase- space, we handle the above constraints using the
standard theory of Dirac for constrained systems. The hope is to obtain, as
total Hamiltonian, the Moyal operator of time-evolution and as Dirac brackets
the Moyal ones. Unfortunately the program fails indicating that something is
missing. We put forward at the end some ideas for future work which may
overcome this failure.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 10:37:13 GMT""}]","2016-08-31"
"gr-qc/9703072","Frank Estabrook","Frank B. Estabrook, R. Steve Robinson and Hugo D. Wahlquist (JPL,
  Pasadena)","Hyperbolic Equations for Vacuum Gravity Using Special Orthonormal Frames","14 pages, 3 figures, LaTeX, 13 macros. CQG 14 (1997) 1237-1247 has
  algebraic errors. +/- signs in Equations (2), (4) and (5) are here corrected,
  and factors of 2 added to Eqs. (18) and (19)","Class.Quant.Grav. 14 (1997) 1237-1247","10.1088/0264-9381/14/5/025",,"gr-qc",,"  By adopting Nester's higher dimensional special orthonormal frames (HSOF) the
tetrad equations for vacuum gravity are put into first order symmetric
hyperbolic (FOSH) form with constant coefficients, independent of any time
slicing or coordinate specialization.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 19:28:51 GMT""},{""version"":""v2"",""created"":""Tue, 10 Feb 2004 19:17:50 GMT""},{""version"":""v3"",""created"":""Wed, 29 Sep 2004 23:39:23 GMT""}]","2009-10-30"
"gr-qc/9703073","Milan Mijic","Milan Mijic","Vacuum Fluctuations as a Source of Adiabatic Perturbations in Power Law
  Inflationary Cosmology","6 pages, Latex. Accepted for Mod Phys Lett A","Mod.Phys.Lett. A12 (1997) 647-652","10.1142/S0217732397000674",,"gr-qc",,"  An analysis of the decoherence of quantum fluctuations shows that production
of classical adiabatic density perturbations may not take place in models of
power-law inflation with power 1< p < 3. Some consequences for models of
extended inflation are pointed out. In general, the condition for decoherence
places new constraint on inflationary models, which does not depend on often
complicated subsequent evolution.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 19:33:00 GMT""}]","2009-10-30"
"gr-qc/9703075","Sai Iyer","A. Gopakumar, Bala R. Iyer and Sai Iyer","Second post-Newtonian gravitational radiation reaction for two-body
  systems: Nonspinning bodies","38 pages, REVTeX, no figures, to appear in Phys. Rev. D","Phys.Rev.D55:6030-6053,1997; Erratum-ibid.D57:6562,1998","10.1103/PhysRevD.55.6030 10.1103/PhysRevD.57.6562",,"gr-qc",,"  Starting from the recently obtained 2PN accurate forms of the energy and
angular momentum fluxes from inspiralling compact binaries, we deduce the
gravitational radiation reaction to 2PN order beyond the quadrupole
approximation - 4.5PN terms in the equation of motion - using the refined
balance method proposed by Iyer and Will. We explore critically the features of
their construction and illustrate them by contrast to other possible variants.
The equations of motion are valid for general binary orbits and for a class of
coordinate gauges. The limiting cases of circular orbits and radial infall are
also discussed.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 04:47:03 GMT""}]","2014-11-17"
"gr-qc/9703077","Claus Laemmerzahl","Reinhard Meinel","The rigidly rotating disk of dust and its black hole limit","14 pages, LaTex, includes 1 figure, To appear in A.Garcia et al.
  (eds.): Recent Developments in Gravitation and Mathematical Physics,
  Proceedings of the 2nd Mexican School","A. Garcia et al. (eds.): Recent Developments in Gravitation and
  Mathematical Physics, Science Network Publishing, Konstanz 1998",,,"gr-qc",,"  The exact global solution of the Einstein equations [Neugebauer & Meinel,
Phys. Rev. Lett. 75 (1995) 3046] describing a rigidly rotating,
self-gravitating disk is discussed. The underlying matter model is a perfect
fluid in the limit of vanishing pressure. The solution represents the
general-relativistic analogue of the classical Maclaurin disk. It was derived
by applying solution techniques from soliton theory to the axisymmetric,
stationary vacuum Einstein equations. In contrast to the Newtonian solution,
there exists an upper limit for the total mass of the disk - if the angular
momentum is fixed. At this limit, a transition to a rotating black hole, i.e.,
to the Kerr solution occurs. Another limiting procedure leads to an interesting
cosmological solution. These results prove conjectures formulated by Bardeen
and Wagoner more than twenty-five years ago.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 12:24:56 GMT""}]","2007-05-23"
"hep-ex/9703013","Preprints Libr/pam","CLEO Collaboration, J. Bartelt, et al","Studies of the Cabbibo-Suppressed Decays $D^+ \to \pi^0 \ell^+ \nu$ and
  $D^+ \to \eta e^+ \nu_e$","10 page postscript file, postscript file also available through
  http://w4.lns.cornell.edu/public/CLNS","Phys.Lett.B405:373-378,1997","10.1016/S0370-2693(97)00649-7","CLNS 97/1460, CLEO 97-1","hep-ex",,"  Using 4.8 fb$^{-1}$ of data taken with the CLEO II detector, the branching
fraction for the Cabibbo-suppressed decay $D^+\to\pi^0\ell^+\nu$ measured
relative to the Cabibbo favored decay $D^+\to\bar{K^0}\ell^+\nu$ is found to be
$0.046\pm 0.014\pm 0.017$. Using $V_{cs}$ and $V_{cd}$ from unitarity
constraints, we determine $| f_+^{\pi}(0)/f_+^K(0)|^2=0.9\pm 0.3\pm 0.3$ We
also present a 90% confidence level upper limit for the branching ratio of the
decay $D^+ \to \eta e^+\nu_e$ relative to that for $D^+ \to \pi^0 e^+\nu_e$ of
1.5.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 18:40:29 GMT""}]","2010-04-08"
"hep-ex/9703014","Gerhard Mallot","Gerhard K. Mallot (Univ. Mainz, Germany)","Deep inelastic scattering from unpolarised targets","25 pages, LaTeX, Invited Talk given at the International School of
  Nucleon Structure, 1st Course: The Spin Structure of the Nucleon, Erice,
  Italy, 3--10 August 1995, to be published by World Scientific",,,,"hep-ex",,"  In this paper the experimental status of unpolarised structure functions is
reviewed. In particular the latest results from the NMC, E665, CCFR, and HERA
experiments are discussed. Emphasis is put on the fixed-target experiments,
which cover with high precision the x region relevant for the present polarised
DIS experiments.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 15:20:18 GMT""}]","2007-05-23"
"hep-ph/9703408","Yu-Ping Kuang","Shu-Quan Nie, Yu-Ping Kuang, Qing Wang, Yu-Ping Yi","Nonperturbative Explanation of the Enhancement Factors in QCD Sum Rule
  for the rho Meson","17 pages in RevTex with 5 figures","Phys. Rev. D 56, 1489 (1997)","10.1103/PhysRevD.56.1489","TUIMP-TH-97/80","hep-ph",,"  Taking the sum rule for the rho meson as an example, we study the possibility
of explaining the phenomenological enhamcement factors for certain terms in the
vacuum expectation value of the operator product expansion in the QCD sum rule.
We take a QCD motivated extended Nambu-Jona-Lasinio (ENJL) model as the low
energy effective Lagrangian for QCD with which we calculate the nonperturbative
contributions to the vacuum condensate expansion to obtain the enhancement
factors. Our result shows that such nonperturbative contributions can cause
large enough enhancement factors which can be consistent with the
phenomenological values.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 17:45:18 GMT""},{""version"":""v2"",""created"":""Thu, 27 Mar 1997 01:47:42 GMT""}]","2016-08-24"
"hep-ph/9703414","Hermann Schulz","Jens Reinbach, Hermann Schulz","Resummation of phi^4 free energy up to an arbitrary order","15 pages, latex, 3 figures using latex, more discussion below (4.14),
  3 Ref's added, slight changes in notation","Phys.Lett. B404 (1997) 291-301","10.1016/S0370-2693(97)00563-7","ITP-UH 08/97, DESY 97-059","hep-ph",,"  The consistency condition, which guarantees a well organized small-coupling
asymptotic expansion for the thermodynamics of massless $\phi^4$-theory, is
generalized to any desired order of the perturbative treatment. Based on a
strong conjecture about forbidden two-particle reducible diagrams, this
condition is derived in terms of functions of four-momentum in place of the
common toy mass in previous treatments. It has the form of a set of gap
equations and marks the position in the space of these functions at which the
free energy is extremal.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 19:02:33 GMT""},{""version"":""v2"",""created"":""Tue, 15 Jul 1997 11:30:08 GMT""}]","2009-10-30"
"hep-ph/9703415","Carlo Giunti","W.M. Alberico, M.B. Barbaro, S.M. Bilenky, J.A. Caballero, C. Giunti,
  C. Maieron, E. Moya de Guerra and J.M. Udias","Inelastic neutrino and antineutrino scattering on nuclei and
  ``strangeness'' of the nucleon","RevTeX file, 35 pages including 12 figures","Nucl.Phys. A623 (1997) 471-497","10.1016/S0375-9474(97)00416-8","DFTT 5/97","hep-ph nucl-th",,"  Possibilities to extract information on the strange form factors of the
nucleon from neutrino (antineutrino) inelastic scattering on nuclei, in an
energy range from 200 MeV to 1 GeV and more, are investigated in detail. All
calculations are performed within two relativistic independent particle models
(Fermi gas and shell model); the final state interactions of the ejected
nucleon are taken into account through relativistic optical model potentials.
We have shown that the values of the cross sections significantly depend on the
nuclear model (especially in the lower energy range). However the NC/CC
neutrino-antineutrino asymmetry in a medium--high energy range shows a rather
small dependence on the model and allows to disentangle different values of the
parameters that characterize the strange form factors. We have calculated also
the ratio of the cross sections for inelastic NC scattering of neutrinos on
nuclei, with the emission of a proton and of a neutron. Our calculations show
that this ratio depends rather weakly on the nuclear model and confirm previous
conclusions on the rather strong dependence of this ratio upon the axial
strange form factors.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 16:03:03 GMT""}]","2009-10-30"
"hep-ph/9703416","Stefan Groote","S. Groote, J.G. K\""orner and J.A. Leyva","Gluon Polarization in $e^+e^-\to t\bar tG$","9 pages, 2 postscript figures, shortened and revised version","Phys.Rev. D56 (1997) 6031-6034","10.1103/PhysRevD.56.6031","MZ-TH/96-34","hep-ph",,"  We calculate the linear polarization of gluons radiated off top quarks
produced in e^+e^- annihilations. For typical top pair production energies at
the Next-Linear-Collider (NLC) the degree of linear polarization remains close
to its soft gluon value of 100% over almost the whole energy spectrum of the
gluon. The massive quark results are compared with the corresponding results
for the massless quark case.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 17:39:18 GMT""},{""version"":""v2"",""created"":""Thu, 14 Aug 1997 15:46:29 GMT""}]","2009-10-30"
"hep-ph/9703417","Richard D. Ball","R.D. Ball and S. Forte","Asymptotically Free Partons at High Energy","16 pages, TeX with harvmac, 6 figures in encapsulated postscript,
  final version","Phys.Lett. B405 (1997) 317-326","10.1016/S0370-2693(97)00625-4","Edinburgh 97/2, DFTT 19/97","hep-ph hep-th",,"  We describe the application of renormalization group improved perturbative
QCD to inelastic lepton-hadron scattering at high center-of-mass energy but
comparatively low photon virtuality. We construct a high energy factorization
theorem which complements the mass factorization theorem used for processes
with high virtualities. From it we derive a renormalization group equation
which resums all large logarithms at high energy, thereby extending to this
regime asymptotic freedom and thus the full range of perturbative computational
techniques. We discuss the solution of this equation in various limits, and in
particular show that the high energy behaviour of physical cross-sections is
consistent with phenomenological expectations and unitarity bounds.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 18:37:54 GMT""},{""version"":""v2"",""created"":""Wed, 26 Mar 1997 19:08:22 GMT""},{""version"":""v3"",""created"":""Thu, 27 Mar 1997 16:01:21 GMT""},{""version"":""v4"",""created"":""Fri, 23 May 1997 09:47:55 GMT""}]","2009-10-30"
"hep-ph/9703418","Taekoon Lee","Taekoon Lee","Ultraviolet Renormalon at All Orders",,,,"PURD-TH-97-04","hep-ph",,"  This paper has been replaced by hep-ph/9908225.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 19:34:50 GMT""},{""version"":""v2"",""created"":""Tue, 3 Aug 1999 04:42:41 GMT""}]","2008-02-03"
"hep-ph/9703419","Claudio O. Dib","C. Dib, O. Espinosa, P. D. Morley, I. Schmidt","Number of Electrons per Collision as a Quark-Gluon Plasma Signal","12 pages, 3 figures, to appear in Physics Letters B","Phys.Lett. B400 (1997) 182-187","10.1016/S0370-2693(97)00301-8","USM-TH-66","hep-ph",,"  We investigate whether the total number of electrons per collision, as a
function of beam energy, is a potential quark-gluon-plasma (QGP) signature. At
high beam energies, we find that, after experimental removal of the noise
induced by Dalitz decays, the number of produced electrons is increased many
times fold from the existence of the QGP. The robustness of the potential
signal to differing theoretical assumptions makes it an attractive experimental
parameter.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 20:35:12 GMT""}]","2009-10-30"
"hep-ph/9703420","Christian Weiss","D.I. Diakonov, V.Yu. Petrov, P.V. Pobylitsa, M.V. Polyakov, and C.
  Weiss","Unpolarized and polarized quark distributions in the large-Nc limit","32 p., LaTeX, 6 figures included using epsf","Phys.Rev. D56 (1997) 4069-4083","10.1103/PhysRevD.56.4069","Bochum University preprint RUB-TPII-3/97, Nordita preprint
  NORDITA-97/24 P","hep-ph",,"  The isosinglet unpolarized and isovector polarized twist-2 quark
distributions of the nucleon at low normalization point are calculated in the
large-Nc limit. The nucleon is described as a soliton of the effective chiral
theory. We derive the expressions for the distribution functions in the
large-Nc limit starting from their definition as numbers of partons carrying
momentum fraction x in the infinite momentum frame. We develop a numerical
method for computation of the quark and antiquark distributions as sums over
the quark single-particle levels in the pion field of the soliton. The
contributions of the discrete bound-state level as well as the Dirac continuum
are taken into account. The quark- and antiquark distributions obtained
explicitly satisfy all general requirements. Results are in reasonable
agreement with parametrizations of the data at low normalization point.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 21:48:24 GMT""}]","2009-10-30"
"hep-ph/9703421","Hajime Aoki","H.Aoki, H.Kawai","String-Scale Baryogenesis","10 pages, Latex, uses epsf, 3 figures, revised version","Prog.Theor.Phys. 98 (1997) 449-456","10.1143/PTP.98.449","KEK-TH-515","hep-ph",,"  Baryogenesis scenarios at the string scale are considered. The observed
baryon to entropy ratio, $n_B /s \sim 10^{-10}$, can be explained in these
scenarios.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 23:09:22 GMT""},{""version"":""v2"",""created"":""Wed, 26 Mar 1997 21:19:47 GMT""}]","2009-10-30"
"hep-ph/9703422","S. Prem Kumar","D.Boyanovsky, H.J.de Vega, R.Holman, S.Prem Kumar","Non-Equilibrium Production of Photons via \pi^0\to 2\gamma in DCC's","36 pages, 14 figures, uses revtex","Phys.Rev.D56:3929-3942,1997","10.1103/PhysRevD.56.3929","CMU-HEP-97-07","hep-ph nucl-th",,"  We study production of photons via the non-equilibrium relaxation of a
Disoriented Chiral Condensate with the chiral order parameter having a large
initial amplitude along the \pi^0 direction. Assuming the validity of the low
energy coupling of the neutral pion to photons via the U_A(1) anomalous vertex,
we find that for large initial amplitudes along the \pi^0 direction, photon
production is enhanced by parametric amplification. These processes are
non-perturbative with a large contribution during the non-equilibrium stages of
the evolution and result in a distinct distribution of the produced photons and
a polarization asymmetry. For initial amplitudes of the \pi^0 component of the
order parameter between 200-400 MeV, corresponding to energy densities between
1-12 GeV/fm^3 we find a peak in the photon distribution at energies between
\approx 300 -600 MeV. We also find polarization asymmetries typically between
5-10%. We discuss the potential experimental impact of these results as well as
the problems associated with its detection.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 02:18:53 GMT""}]","2011-04-15"
"hep-ph/9703423","Fyodor V. Tkachov","Fyodor V. Tkachov","Landau equations and asymptotic operation","15p PS (GSview), IJMP-A (accepted)","Int.J.Mod.Phys. A14 (1999) 683-715","10.1142/S0217751X99000348",,"hep-ph hep-th",,"  The pinched/non-pinched classification of intersections of causal
singularities of propagators in Minkowski space is reconsidered in the context
of the theory of asymptotic operation as a first step towards extension of the
latter to non-Euclidean asymptotic regimes. A highly visual
distribution-theoretic technique of singular wave fronts is tailored to the
needs of the theory of Feynman diagrams. Besides a simple derivation of the
usual Landau equations in the case of the conventional singularities, the
technique naturally extends to other types of singularities e.g. due to linear
denominators in non-covariant gauges etc. As another application, the results
of Euclidean asymptotic operation are extended to a class of quasi-Euclidean
asymptotic regimes in Minkowski space.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 04:52:32 GMT""}]","2009-10-30"
"hep-ph/9703424","Fyodor V. Tkachov","Fyodor V. Tkachov","Towards systematic near-threshold calculations in perturbative QFT","8 PS; 04.06.97: added universal definition of the scaling exponent
  n_kappa + misprints corrected; 07.11.98: maintenance","Phys.Lett. B412 (1997) 350-358","10.1016/S0370-2693(97)01017-4","F5T-97/01","hep-ph hep-th math-ph math.MP",,"  For any near-threshold asymptotic regime and for any Feynman diagram
(involving loop and/or phase space integrals), a systematic prescription for
explicitly constructing all-logs, all-powers (all-twists) expansions in
perfectly factorized form with explicit integrals for coefficients, is
presented. The distribution-theoretic nature of the method of asymptotic
operation employed allows treatment of totally exclusive phase space in the
same manner as loop integrals.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 04:57:52 GMT""},{""version"":""v2"",""created"":""Wed, 4 Jun 1997 09:45:38 GMT""},{""version"":""v3"",""created"":""Sat, 7 Nov 1998 05:58:10 GMT""}]","2009-10-30"
"hep-ph/9703426",,"Z. Berezhiani","2/3 Splitting in SUSY GUT -- Higgs as Goldstone Boson","LATEX, 11 pages. Invited talk given at the Ringberg Workshop ""The
  Higgs Puzzle -- What can we learn from LEP2, LHC, NLC, and FMC?"", December
  8-13, 1996",,,"INFNFE 02-97","hep-ph",,"  We briefly review the GIFT (Goltstones instead of Fine Tuning) mechanism
which provides a promising solution to the doublet-triplet splitting problem
and some other puzzles of the supersymmetric grand unification as are the
$\mu$-problem, the fermion mass problem, etc. It can be naturally implemented
by extending the minimal SUSY SU(5) model to the gauge SU(6) theory.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 10:09:10 GMT""}]","2007-05-23"
"hep-ph/9703432","Andrei Belitsky","A.V. Belitsky (JINR)","Leading-order analysis of the twist-3 space- and time-like cut vertices
  in QCD","49 pages, LaTeX, 13 eps figures; Lecture given at the XXXI PNPI
  Winter School on Nuclear and Particle Physics, St. Petersburg, Repino,
  February 24 - March 2, 1997",,,,"hep-ph",,"  We review the recent theoretical progress in the construction and solution of
the evolution equations which govern the scale dependence for the twist-three
structure and fragmentation functions of the nucleon.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 15:54:26 GMT""}]","2007-05-23"
"hep-th/9703174","Lee Smolin","Lee Smolin","Chern-Simons theory in 11 dimensions as a non-perturbative phase of M
  theory","18 pages, Latex no figures, improved treatment of reduced sector",,,"CGPG-97/3-13","hep-th gr-qc",,"  A Chern-Simons theory in 11 dimensions, which is a piece of the 11
dimensional supergravity action, is considered as a quantum field theory in its
own right. We conjecture that it defines a non-perturbative phase of M theory
in which the metric and gravitino vanish. The theory is diffeomorphism
invariant but not topological in that there are local degrees of freedom.
Nevertheless, there are a countable number of momentum variables associated
with relative cobordism classes of embeddings of seven dimensional manifolds in
ten dimensional space. The canonical theory is developed in terms of an algebra
of gauge invariant observables. We find a sector of the theory corresponding to
a topological compactification in which the geometry of the compactified
directions is coded in an algebra of functions on the base manifold. The
diffeomorphism invariant quantum theory associated to this sector is
constructed, and is found to describe diffeomorphism classes of excitations of
three surfaces wrapping homology classes of the compactified dimensions.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 17:58:02 GMT""},{""version"":""v2"",""created"":""Tue, 6 Jan 1998 23:36:29 GMT""}]","2008-02-03"
"hep-th/9703175","Paul Federbush","Paul Federbush","Comments on 'Investigation of Anomalous Axial QED'","Change of conclusion",,,,"hep-th",,"  I now agree with conclusion of author that there is a problem with unitarity
in discussed models.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 19:30:30 GMT""},{""version"":""v2"",""created"":""Tue, 8 Apr 1997 14:13:42 GMT""},{""version"":""v3"",""created"":""Wed, 21 May 1997 15:44:12 GMT""}]","2008-02-03"
"hep-th/9703176",,"J. M. Isidro, A. Mukherjee, J. P. Nunes and H. J. Schnitzer","A Note on the Picard-Fuchs Equations for N=2 Seiberg-Witten Theories","25 pages, Latex; some new references added","Int.J.Mod.Phys. A13 (1998) 233-250","10.1142/S0217751X9800010X","BRX TH-407, BROWN-HET-1078, US-FT-10/97","hep-th",,"  A concise presentation of the PF equations for N=2 Seiberg-Witten theories
for the classical groups of rank r with N_f massless hypermultiplets in the
fundamental representation is provided. For N_f=0, all r PF equations can be
given in a generic form. For certain cases with N_f\neq zero, not all equations
are generic. However, in all cases there are at least r-2 generic PF equations.
For these cases the classical part of the equations is generic, while the
quantum part can be formulated using a method described in a previous paper by
the authors, which is well suited to symbolic computer calculations.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 19:36:00 GMT""},{""version"":""v2"",""created"":""Fri, 4 Apr 1997 17:52:06 GMT""}]","2009-10-30"
"hep-th/9703177","Kirill Krasnov","Alejandro Corichi and Kirill Krasnov (Penn State)","Loop Quantization of Maxwell Theory and Electric Charge Quantization","7 pages, Revtex, no figures, typos corrected and one reference added","Mod.Phys.Lett. A13 (1998) 1339-1346","10.1142/S0217732398001406","CGPG-97/3-12","hep-th gr-qc",,"  We consider the loop quantization of Maxwell theory. A quantization of this
type leads to a quantum theory in which the fundamental excitations are
loop-like rather than particle-like. Each such loop plays the role of a
quantized Faraday's line of electric flux. We find that the quantization
depends on an arbitrary choice of a parameter e that carries the dimension of
electric charge. For each value of e an electric charge that can be contained
inside a bounded spatial region is automatically quantized in units of
hbar/4*pi*e. The requirement of consistency with the quantization of electric
charge observed in our Universe fixes a value of the, so far arbitrary,
parameter e of the theory. Finally, we compare the ambiguity in the choice of
parameter e with the beta-ambiguity that, as pointed by Immirzi, arises in the
loop quantization of general relativity, and comment on a possible way this
ambiguity can be fixed.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 20:32:16 GMT""},{""version"":""v2"",""created"":""Sun, 30 Mar 1997 18:34:02 GMT""}]","2009-10-30"
"hep-th/9703178","Dmitri Fursaev","V.P. Frolov and D.V. Fursaev","Mechanism of Generation of Black Hole Entropy in Sakharov's Induced
  Gravity","28 pages, Latex file","Phys.Rev.D56:2212-2225,1997","10.1103/PhysRevD.56.2212","Alberta-Thy 07-97","hep-th",,"  The mechanism of generation of the Bekenstein-Hawking entropy $S^{BH}$ of a
black hole in the Sakharov's induced gravity is proposed. It is suggested that
the ""physical"" degrees of freedom, which explain the entropy $S^{BH}$, form
only a finite subset of the standard Rindler-like modes defined outside the
black hole horizon. The entropy $S_R$ of the Rindler modes, or entanglement
entropy, is always ultraviolet divergent, while the entropy of the ""physical""
modes is finite and it coincides in the induced gravity with $S^{BH}$. The two
entropies $S^{BH}$ and $S_R$ differ by a surface integral Q interpreted as a
Noether charge of non-minimally coupled scalar constituents of the model. We
demonstrate that energy E and Hamiltonian H of the fields localized in a part
of space-time, restricted by the Killing horizon $\Sigma$, differ by the
quantity $T_H Q$, where $T_H$ is the temperature of a black hole. The first law
of the black hole thermodynamics enables one to relate the probability
distribution of fluctuations of the black hole mass, caused by the quantum
fluctuations of the fields, to the probability distribution of ""physical"" modes
over energy E. The latter turns out to be different from the distribution of
the Rindler modes. We show that the probability distribution of the ""physical""
degrees of freedom has a sharp peak at E=0 with the width proportional to the
Planck mass. The logarithm of number of ""physical"" states at the peak coincides
exactly with the black hole entropy $S^{BH}$. It enables us to argue that the
energy distribution of the ""physical"" modes and distribution of the black hole
mass are equivalent in the induced gravity. Finally it is shown that the
Noether charge Q is related to the entropy of the low frequency modes
propagating in the vicinity of the bifurcation surface $\Sigma$ of the horizon.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 21:07:15 GMT""}]","2011-09-09"
"hep-th/9703179",,"Noureddine Hambli (IHES)","Comments on Dirichlet Branes at Angles","17 pages, Latex, no figures","Phys. Rev. D 56, 2369 (1997)","10.1103/PhysRevD.56.2369","IHES/P/97-03/24","hep-th",,"  This paper illustrates the derivation of the low-energy background field
solutions of D2-branes and D4-branes intersecting at non-trivial angles by
solving directly the bosonic equations of motion of II supergravity coupled to
a dilaton and antisymmetric fields. We also argue for how a similar analysis
can be performed for any similar Dp-branes oriented at angles. Finally, the
calculation presented here serves as a basis in the search for a systematic
derivation of the background fields of the more general configuration of a
p-brane `angled' with a q-brane ($p \neq q$).
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 21:51:56 GMT""}]","2016-08-24"
