"alg-geom/9708014","Leticia B. Paz","L. Brambila-Paz and H. Lange","A stratification of the moduli space of vector bundles on curves","Latex, Permanent e-mail L. Brambila-Paz: lebp@xanum.uam.mx
  Classification: 14D, 14F",,,,"alg-geom math.AG",,"  Let $E$ be a vector bundle of rank $r\geq 2$ on a smooth projective curve $C$
of genus $g \geq 2$ over an algebraically closed field $K$ of arbitrary
characteristic. For any integer with $1\le k\le r-1$ we define
$${\se}_k(E):=k\deg E-r\max\deg F.$$ where the maximum is taken over all
subbundles $F$ of rank $k$ of $E$. The ${s}_k$ gives a stratification of the
moduli space ${\cal M}(r,d)$ of stable vector bundles of rank $r$ and degree on
$d$ on $C$ into locally closed subsets ${\calM}(r,d,k,s)$ according to the
value of $s$ and $k$. There is a component ${\cal M}^0(r,d,k,s)$ of ${\cal
M}(r,d,k,s)$ distinguish by the fact that a general $E\in {\cal M}^0(r,d,k,s)$
admits a stable subbundle $F$ such that $E/F$ is also stable. We prove: {\it
For $g\ge \frac{r+1}{2}$ and $0<s\leq k(r-k)(g-1) +(r+1)$, $s\equiv kd \mod r,$
${\cal M}^0(r,d,k,s)$ is non-empty,and its component ${\cal M}^0(r,d,k,s)$ is
of dimension} $$\dim {\cal M}^0(r,d,k,s)=\left\{\begin{array}{lcl}
(r^2+k^2-rk)(g-1)+s-1& &s<k(r-k)(g-1) &{\rm if}& r^2(g-1)+1& & s\ge
k(r-k)(g-1)\end{array}\right.$$
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 07:52:26 GMT""}]","2016-08-30"
"hep-ph/9708389","Nora Brambilla","Nora Brambilla and Antonio Vairo (Heidelberg)","The $q \bar{q}$ semirelativistic interaction in the Wilson loop approach","5 pages, Latex (espcrc2.sty) To be published in the proceedings of
  High-Energy Physics International Euroconference on Quantum
  Chromodynamics:QCD97; 25th Anniversary of QCD, Montpellier, France, 3-9 July
  1997","Nucl.Phys.Proc.Suppl. 64 (1998) 418-422","10.1016/S0920-5632(97)01100-6","HD-THEP-97-45","hep-ph",,"  The complete $ q\bar{q}$ semirelativistic interaction is obtained as a
gauge-invariant function of the Wilson loop and its functional derivatives. The
approach is suitable for analytic evaluations as well as for lattice
calculations. Here we consider three different models for the Wilson loop
non-perturbative behaviour and discuss the related semirelativistic dynamics.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 13:05:10 GMT""}]","2009-10-30"
"hep-ph/9708390","Torbjorn Sjostrand","J. Andr\'e and T. Sj\""ostrand (Lund University)","A matching of matrix elements and parton showers","1+8 pages, LaTeX2e, 5 postscript figures included","Phys.Rev.D57:5767-5772,1998","10.1103/PhysRevD.57.5767","LU TP 97-18","hep-ph",,"  We propose a simple scheme to start a parton-shower evolution description
from a given jet configuration in $e^+ e^-$ annihilation events. This allows a
convenient combination of the full angular information content of matrix
elements with the detailed sub-jet structure of parton showers, and should give
a realistic overall description of event properties. Explicit studies with this
hybrid approach are presented for the four-jet case, as a simple testing ground
of the ideas.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 14:11:22 GMT""}]","2011-01-13"
"hep-ph/9708391","Jose F. Nieves","Juan Carlos D'Olivo and Jose F. Nieves","Nucleon contribution to the neutrino electromagnetic vertex in matter","LaTeX, 18 pages; to appear in PRD","Phys.Rev. D56 (1997) 5898-5906","10.1103/PhysRevD.56.5898",,"hep-ph",,"  We calculate the nucleon contribution to the electromagnetic vertex of a
neutrino in a background of particles, including the effect of the anomalous
magnetic moment of the nucleons. Explicit formulas for the form factors are
given in various physical limits of practical interest. Several applications of
the results are mentioned, including the effect of an external magnetic field
on the dispersion relation of a neutrino in matter.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 14:47:09 GMT""}]","2009-10-30"
"hep-ph/9708392","David A. Kosower","David A. Kosower","Extracting Parton Densities from Collider Data","One reference added, some text added, one equation corrected","Nucl.Phys. B520 (1998) 263-278","10.1016/S0550-3213(98)00082-0","Saclay-SPhT/T97-101","hep-ph",,"  Collider data can play an important role in determining the parton
distribution functions of the nucleon. I present a formalism which makes it
possible to use next-to-leading order calculations in such a determination,
while minimizing the amount of numerical computation required.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 15:42:35 GMT""},{""version"":""v2"",""created"":""Tue, 18 Nov 1997 13:38:38 GMT""}]","2009-10-30"
"hep-ph/9708393","Jim Cline","J. Cline, M. Joyce, K. Kainulainen","Supersymmetric Electroweak Baryogenesis in the WKB approximation","12 pages, 1 figure, corrected some criticisms of hep-ph/9702409; to
  appear in Phys. Lett. B","Phys.Lett. B417 (1998) 79-86; Erratum-ibid. B448 (1999) 321","10.1016/S0370-2693(97)01361-0","McGill 97-26, HIP-1997-44/TH","hep-ph astro-ph",,"  We calculate the baryon asymmetry generated at the electroweak phase
transition in the minimal supersymmetric standard model, treating the particles
in a WKB approximation in the bubble wall background. A set of diffusion
equations for the particle species relevant to baryon generation, including
source terms arising from the CP violation associated with the complex phase
$\delta$ of the $\mu$ parameter, are derived from Boltzmann equations, and
solved. The conclusion is that $\delta$ must be $\gsim 0.1$ to generate a
baryon asymmetry consistent with nucleosynthesis. We compare our results to
several other recent computations of the effect, arguing that some are
overestimates.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 15:55:15 GMT""},{""version"":""v2"",""created"":""Wed, 21 Jan 1998 14:01:58 GMT""}]","2009-10-30"
"hep-th/9708093","Julian Lee","Julian Lee","Hamiltonian formulation of the D-brane action and the light-cone
  Hamiltonian","Revtex,12 pages,no figures; A section on degrees of freedom added,
  discussions on supersymmetric case removed, some references added, with other
  minor corrections","Phys.Rev. D57 (1998) 5134-5140","10.1103/PhysRevD.57.5134","APCTP 97-14","hep-th",,"  We present the Hamiltonian formulation of the bosonic Dirichlet p-brane
action. We rewrite the recently proposed quadratic D-brane action in terms of
generalized shift vector and lapse function. The first class and the second
class constraints are explicitly separated for the bosonic case. We then impose
the gauge conditions in such a way that only time-independent gauge
transformations are left. In this gauge we obtain the light-cone Hamiltonian
which is quadratic in the field momenta of scalar and vector fields. The
constraints are explicitly solved to eliminate part of the canonical variables.
The Dirac brackets between the remaining variables are computed and shown to be
equal to simple Poisson brackets.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 08:12:29 GMT""},{""version"":""v2"",""created"":""Thu, 8 Jan 1998 06:06:55 GMT""}]","2009-10-30"
"hep-th/9708094",,"I. P. Ennes, A. V. Ramallo and J. M. Sanchez de Santos","osp(1|2) Conformal Field Theory","16 pages, 1 figure, LaTeX",,"10.1063/1.54688","US-FT-26/97","hep-th",,"  We review some results recently obtained for the conformal field theories
based on the affine Lie superalgebra osp(1|2). In particular, we study the
representation theory of the osp(1|2) current algebras and their character
formulas. By means of a free field representation of the conformal blocks, we
obtain the structure constants and the fusion rules of the model. (Lecture
delivered at the CERN-Santiago de Compostela-La Plata Meeting, ""Trends in
Theoretical Physics"", La Plata, Argentina, April-May 1997).
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 09:16:25 GMT""}]","2009-10-30"
"math/9708212","Franz-Viktor Kuhlmann","Franz-Viktor Kuhlmann (Fields Institute), Salma Kuhlmann","The exponential rank of non-Archimedean exponential fields",,"Proceedings of the Special Semester in Real Algebraic Geometry and
  Ordered Structures, Baton Rouge 1996, Contemporary Mathematics 253 (2000),
  181-201",,"FI-MT1997-012","math.AC math.RA",,"  Based on the work of Hahn, Baer, Ostrowski, Krull, Kaplansky and the
Artin-Schreier theory, and stimulated by a paper of S. Lang in 1953, the theory
of real places and convex valuations has witnessed a remarkable development and
has become a basic tool in the theory of ordered fields and real algebraic
geometry. In this paper, we take a further step by adding an exponential
function to the ordered field.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 00:00:00 GMT""}]","2013-04-02"
"nucl-th/9708030","Pew","F. Simkovic, J. Schwieger, G. Pantis, and Amand Faessler","A large Hilbert space QRPA and RQRPA calculation of neutrinoless double
  beta decay","19 pages, RevTex, 1 Postscript figure","Found.Phys. 27 (1997) 1275","10.1007/BF02551528",,"nucl-th",,"  A large Hilbert space is used for the calculation of the nuclear matrix
elements governing the light neutrino mass mediated mode of neutrinoless double
beta decay of Ge76, Mo100, Cd116, Te128 and Xe136 within the proton-neutron
quasiparticle random phase approximation (pn-QRPA) and the renormalized QRPA
with proton-neutron pairing (full-RQRPA) methods. We have found that the
nuclear matrix elements obtained with the standard pn-QRPA for several nuclear
transitions are extremely sensitive to the renormalization of the
particle-particle component of the residual interaction of the nuclear
hamiltonian. Therefore the standard pn-QRPA does not guarantee the necessary
accuracy to allow us to extract a reliable limit on the effective neutrino
mass. This behaviour, already known from the calculation of the two-neutrino
double beta decay matrix elements, manifests itself in the neutrinoless
double-beta decay but only if a large model space is used. The full-RQRPA,
which takes into account proton-neutron pairing and considers the Pauli
principle in an approximate way, offers a stable solution in the physically
acceptable region of the particle-particle strength. In this way more accurate
values on the effective neutrino mass have been deduced from the experimental
lower limits of the half-lifes of neutrinoless double beta decay.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 08:46:45 GMT""}]","2009-10-30"
"physics/9708018","Nikolay A. Zabotin","E.S.Kovalenko and N.A.Zabotin","Possibility of Microturbulence Diagnostics in a Magnetically Confined
  Plasma Using Multiple Scattering Effects","7 pages of TEX, 5 figures (pcx). Any comments and suggestions about
  the paper can be mailed to authors: zabotin@iphys.rnd.runnet.ru",,,,"physics.plasm-ph",,"  The idea of new diagnostics method for the small-scale irregular structures
of magnetically confined plasma is suggested in the present paper. The method
can be based on measurements of intensity attenuation of the normal sounding
waves. Anomalous attenuation arises due to multiple scattering effects
investigated earlier for ionospheric radio propagation. It has been shown that
multiple scattering regime can realize in a tokamak plasma. Calculations of
normal sounding wave anomalous attenuation in a tokamak plasma have been
carried out. This quantity is large enough to be registered experimentally.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 07:19:11 GMT""}]","2009-09-25"
"q-alg/9708016","Weiqiang Wang","Weiqiang Wang","Classification of irreducible modules of W_3 algebra with c = -2","Latex, 22 pages",,"10.1007/s002200050382",,"q-alg hep-th math.QA",,"  We construct irreducible modules V_{\alpha}, \alpha \in \C over W_3 algebra
with c = -2 in terms of a free bosonic field. We prove that these modules
exhaust all the irreducible modules of W_3 algebra with c = -2. Highest weights
of modules V_{\alpha}, \alpha \in \C with respect to the full (two-dimensional)
Cartan subalgebra of W_3 algebra are (\alpha(\alpha -1)/2, \alpha(\alpha
-1)(2\alpha -1)/6). They are parametrized by points (t, w) on a rational curve
w^2 - t^2 (8t + 1)/9 = 0. Irreducible modules of vertex algebra W_{1+\infty}
with c = -1 are also classified.
","[{""version"":""v1"",""created"":""Sun, 17 Aug 1997 18:57:59 GMT""}]","2009-10-30"
"q-alg/9708017","Gaetano Fiore","Gaetano Fiore","Drinfel'd Twist and q-Deforming Maps for Lie Group Covariant Heisenberg
  Algebras","latex file, 35 pages, no figures. Final version to appear in Rev.
  Math. Phys","Rev.Math.Phys.12:327-359,2000","10.1142/S0129055X00000125","LMU-TPW 97-07","q-alg math.QA",,"  Any deformation of a Weyl or Clifford algebra can be realized through a
change of generators in the undeformed algebra. q-Deformations of Weyl or
Clifford algebrae that were covariant under the action of a simple Lie algebra
g are characterized by their being covariant under the action of the quantum
group $U_q g$. We present a systematic procedure for determining all possible
corresponding changes of generators, together with the corresponding
realizations of the $U_q g$-action. The intriguing relation between
g-invariants and $U_q g$-invariants suggests that these changes of generators
might be employed to simplify the dynamics of some g-covariant quantum physical
systems.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 06:05:36 GMT""},{""version"":""v2"",""created"":""Wed, 7 Jan 1998 16:56:40 GMT""},{""version"":""v3"",""created"":""Thu, 24 Dec 1998 14:45:00 GMT""}]","2014-11-18"
"solv-int/9708007","E. Sklyanin","E. K. Sklyanin (Steklov Mathematical Institute at St.Petersburg,
  Russia)","Generating function of correlators in the sl_2 Gaudin model","16 pages, LaTex 209, macros included","Letters in Mathematical Physics 47 (1999) 275-292","10.1023/A:1007585716273",,"solv-int nlin.SI",,"  For the sl_2 Gaudin model (degenerated quantum integrable XXX spin chain) an
exponential generating function of correlators is calculated explicitely. The
calculation relies on the Gauss decomposition for the SL_2 loop group. From the
generating function a new explicit expression for the correlators is derived
from which the determinant formulas for the norms of Bethe eigenfunctions due
to Richardson and Gaudin are obtained.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 10:32:08 GMT""}]","2015-11-12"
