"adap-org/9708004","Henri Waelbroeck","J. Mora, C. Stephens and H. Waelbroeck","Symmetry Breaking and Adaptation: Evidence from a Toy Model of a Virus","TeX source, 10 p., please email hwael or stephens for figures",,,"ICN-UNAM-97-11","adap-org nlin.AO q-bio",,"  We argue that the phenomenon of symmetry breaking in genetics can enhance the
adaptability of a species to changes in the environment. In the case of a
virus, the claim is that the codon bias in the neutralization epitope improves
the virus' ability to generate mutants that evade the induced immune response.
We support our claim with a simple ``toy model'' of a viral epitope evolving in
competition with the immune system. The effective selective advantage of a
higher mutability leads to a dominance of codons that favour non-synonymous
mutations. The results in this paper suggest the possibility of emergence of an
algorithmic language in more complicated systems.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 16:00:09 GMT""}]","2008-02-03"
"cond-mat/9708060","Bourges","P. Bourges, H. Casalta, A.S. Ivanov, and D. Petitgrand","Superexchange coupling and spin susceptibility spectral weight in
  undoped monolayer cuprates","13 pages, 1 table, 3 figures","Phys. Rev. Lett. 79, 4906, (1997).","10.1103/PhysRevLett.79.4906",,"cond-mat.str-el cond-mat.supr-con",,"  A systematic inelastic neutron scattering study of the superexchange
interaction in three different undoped monolayer cuprates (La_2CuO_4, Nd_2CuO_4
and Pr_2CuO_4) has been performed using conventional triple axis technique. We
deduce the in-plane antiferromagnetic (AF) superexchange coupling $J$ which
actually presents no simple relation versus crystallographic parameters. The
absolute spectral weight of the spin susceptibility has been obtained and it is
found to be smaller than expected even when quantum corrections of the AF
ground state are taken into account.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 14:35:22 GMT""}]","2009-10-30"
"gr-qc/9708011","Warner A. Miller","Warner A. Miller","The Hilbert Action in Regge Calculus","6 pages, Plain TeX, no figures","Class.Quant.Grav.14:L199-L204,1997","10.1088/0264-9381/14/12/004","LA-UR-96-4916","gr-qc",,"  The Hilbert action is derived for a simplicial geometry. I recover the usual
Regge calculus action by way of a decomposition of the simplicial geometry into
4-dimensional cells defined by the simplicial (Delaunay) lattice as well as its
dual (Voronoi) lattice. Within the simplicial geometry, the Riemann scalar
curvature, the proper 4-volume, and hence, the Regge action is shown to be
exact, in the sense that the definition of the action does not require one to
introduce an averaging procedure, or a sequence of continuum metrics which were
common in all previous derivations. It appears that the unity of these two dual
lattice geometries is a salient feature of Regge calculus.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 16:36:46 GMT""}]","2010-04-06"
"gr-qc/9708012","Jorma Louko","Jorma Louko, Bernard F. Whiting, and John L. Friedman","Hamiltonian spacetime dynamics with a spherical null-dust shell","40 pages, REVTeX v3.1 with amsfonts and epsf, two eps figures. (Minor
  typos corrected; references updated.)","Phys. Rev. D 57, 2279 (1998)","10.1103/PhysRevD.57.2279","PP98-05, UF-RAP-97-19, WISC-MILW-97-TH-13","gr-qc",,"  We consider the Hamiltonian dynamics of spherically symmetric Einstein
gravity with a thin null-dust shell, under boundary conditions that fix the
evolution of the spatial hypersurfaces at the two asymptotically flat
infinities of a Kruskal-like manifold. The constraints are eliminated via a
Kuchar-type canonical transformation and Hamiltonian reduction. The reduced
phase space $\tilde\Gamma$ consists of two disconnected copies of $R^4$, each
associated with one direction of the shell motion. The right-moving and
left-moving test shell limits can be attached to the respective components of
$\tilde\Gamma$ as smooth boundaries with topology $R^3$. Choosing the
right-hand-side and left-hand-side masses as configuration variables provides a
global canonical chart on each component of $\tilde\Gamma$, and renders the
Hamiltonian simple, but encodes the shell dynamics in the momenta in a
convoluted way. Choosing the shell curvature radius and the ""interior"" mass as
configuration variables renders the shell dynamics transparent in an
arbitrarily specifiable stationary gauge ""exterior"" to the shell, but the
resulting local canonical charts do not cover the three-dimensional subset of
$\tilde\Gamma$ that corresponds to a horizon-straddling shell. When the
evolution at the infinities is freed by introducing parametrization clocks, we
find on the unreduced phase space a global canonical chart that completely
decouples the physical degrees of freedom from the pure gauge degrees of
freedom. Replacing one infinity by a flat interior leads to analogous results,
but with the reduced phase space $R^2 \cup R^2$. The utility of the results for
quantization is discussed.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 17:53:08 GMT""},{""version"":""v2"",""created"":""Thu, 12 Feb 1998 16:52:02 GMT""}]","2016-08-25"
"gr-qc/9708013",,"Reginald T. Cahill and Christopher M. Klinger (Flinders University)","Bootstrap Universe from Self-Referential Noise","10 pages, Latex","Prog.Phys. 2 (2005) 108-112",,,"gr-qc quant-ph",,"  We further deconstruct Heraclitean Quantum Systems giving a model for a
universe using pregeometric notions in which the end-game problem is overcome
by means of self-referential noise. The model displays self-organisation with
the emergence of 3-space and time. The time phenomenon is richer than the
present geometric modelling.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 01:15:47 GMT""}]","2007-05-23"
"gr-qc/9708014",,"Vladimir S. Mashkevich (Institute of Physics, Kiev)","Indeterministic Quantum Gravity and Cosmology VIII. Gravilon:
  Gravitational Autolocalization","7 pages, LATEX 2e, uses amssymb",,,"IP 11/97","gr-qc",,"  This paper is a sequel to the series of papers [gr-qc/9409010, gr-qc/9505034,
gr-qc/9603022, gr-qc/9609035, gr-qc/9609046, gr-qc/9704033, gr-qc/9704038].
Gravitational autolocalization of a body is considered. A self-consistent
problem is solved: A quantum state of the center of mass of the body gives rise
to a classical gravitational field, and the state, on the other hand, is an
eigenstate in the field. We call a resulting solution gravilon. Gravilons are
classified, and their properties are studied. Gravitational autolocalization is
predominantly a macroscopic effect. The motion of a gravilon as a whole is
classical.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 10:33:25 GMT""}]","2007-05-23"
"hep-lat/9708004","Alan Irving","Alan C. Irving, James C. Sexton and Eamonn Cahill","Approximate actions for dynamical fermions","3 pages, Latex, no figures, Contribution to Lattice 97, The XV
  International Symposium on Lattice Field Theory, Edinburgh 22-26 July 1997","Nucl.Phys.Proc.Suppl. 63 (1998) 967-969","10.1016/S0920-5632(97)00957-2","LTH403","hep-lat",,"  Recent developments and applications of approximate actions for full lattice
QCD are described. We present first results based on the stochastic estimation
of the fermion determinant on $12^3\times 24$ configurations at $\beta=5.2$.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 10:48:28 GMT""}]","2009-10-30"
"hep-ph/9708261","Gerhard Schuler","E. Laenen (Stony Brook) and G.A. Schuler (CERN)","Model-independent QED corrections to photon structure-function
  measurements","Latex, 8 pages, 3 figures, uses epsfig.sty, 12pt.sty",,,"CERN-TH/97-193, ITP-SB-97-48","hep-ph",,"  We present the first calculation of QED radiative corrections to
deep-inelastic electron-photon scattering in terms of those variables that are
reconstructed in measurements of the photon structure function in
electron-positron collisions. In order to cover the low-$Q^2$ region, we do not
invoke the QCD-improved parton model but rather express our results in terms of
the photon structure functions. Both analytical and numerical results are
given.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 16:33:54 GMT""}]","2007-05-23"
"hep-ph/9708263","Sandra Klevansky","S.P. Klevansky, A. Ogura and J. H\""ufner","Derivation of transport equations for a strongly interacting Lagrangian
  in powers of $\hbar$ and $1/N_c$",,"Annals Phys. 261 (1997) 37-73","10.1006/aphy.1997.5734","HD-TVP-97/02","hep-ph",,"  Transport theory for an interacting fermionic system is reviewed and applied
to the chiral Lagrangian of the Nambu-Jona-Lasinio model. Two expansions must
be applied: an expansion in the inverse number of colors, $1/N_c$, due to the
nature of the strong coupling theory, and a semiclassical expansion, in powers
of $\hbar$. The quasiparticle approximation is implemented at an early stage,
and spin effects are omitted. The self-energy is evaluated, self-consistently
only in the Hartree approximation, and semi-perturbatively in the collision
integral. In the Hartree approximation, $O((1/N_c)^0)$, the Vlasov equation is
recovered to $O(\hbar^1)$, together with an on-mass shell constraint equation,
that is automatically fulfilled by the quasiparticle ansatz. The expressions
for the self-energy to order $O((1/N_c))$ lead to the collision term. Here one
sees explicitly that particle-antiparticle creation and annihilation processes
are suppressed that would otherwise be present, should an off-shell energy
spectral function be admitted. A clear identification of the $s$, $t$ and $u$
channel scattering processes in connection with the self-energy graphs is made
and the origin of the mixed terms is made evident. Finally, after ordering
according to powers in $\hbar$, a Boltzmann-like form for the collision
integral is obtained.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 18:04:00 GMT""}]","2009-10-30"
"hep-ph/9708264","Ralf Hempfling","T. Han and R. Hempfling","Messenger sneutrinos as cold dark matter","12 pages, 2 figures, postscript file available via anonymous
  ftp://ucdhep.ucdavis.edu/han/dm/dm.ps","Phys.Lett. B415 (1997) 161-169","10.1016/S0370-2693(97)01205-7","UCD-97-16","hep-ph astro-ph",,"  In models where supersymmetry breaking is communicated into the visible
sector via gauge interactions the lightest supersymmetric particle is typically
the gravitino which is too light to account for cold dark matter. We point out
that the lightest messenger sneutrinos with mass in the range of one to three
TeV may serve as cold dark matter over most of the parameter space due to
one-loop electroweak radiative corrections. However, in the minimal model this
mass range has been excluded by the direct dark matter searches. We propose a
solution to this problem by introducing terms that explicitly violate the
messenger number. This results in low detection rate for both direct and
indirect searches and allows messenger sneutrinos to be a valid dark matter
candidate in a wide region of SUSY parameter space.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 20:18:31 GMT""}]","2009-10-30"
"hep-ph/9708265","Sinisa Veseli","F.E. Close, I. Dunietz, P.R. Page, S. Veseli, and H. Yamamoto","Gluonic Hadrons and Charmless B Decays","12 pages, latex","Phys.Rev.D57:5653-5657,1998","10.1103/PhysRevD.57.5653","RAL-97-036, FERMILAB-PUB-97/232-T, HUTP97/A-040","hep-ph",,"  Hybrid charmonium with mass ~4 GeV could be produced via a c c.bar
color-octet component in b->c c.bar s. These states could be narrow and could
have a significant branching ratio to light hadrons, perhaps enhanced by
glueballs. Decays to gluonic hadrons could make a sizable contribution to B->no
charm decays. Experimental signatures and search strategies are discussed.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 22:44:47 GMT""}]","2011-01-25"
"hep-ph/9708266",,"L. Gamberg (Oklahoma U.), H. Reinhardt (Tuebingen U.) and H. Weigel
  (Tuebingen U.)","Nucleon Structure Functions within a Chiral Soliton Model","5 pages, 3 postscript figures, uses menu97.sty. Presented at the
  MENU97 Conference, Vancouver, Canada, July 28th - Aug. 2nd, 1997; to appear
  in proceedings","piN Newslett.13:342,1997",,"OKHEP-97-03, UNITU-THEP-10/1997","hep-ph",,"  We study nucleon structure functions within the bosonized
Nambu--Jona--Lasinio model where the nucleon emerges as a chiral soliton. We
discuss the model predictions on the Gottfried sum rule for electron--nucleon
scattering. A comparison with a low--scale parametrization shows that the model
reproduces the gross features of the empirical structure functions. We also
compute the leading twist contributions of the polarized structure functions
$g_{1}(x)$ and $g_{2}(x)$ in this model. We compare the model predictions on
these structure functions with data from the E143 experiment by GLAP evolving
them appropriately.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 01:05:00 GMT""}]","2014-11-17"
"hep-ph/9708267","Herbert Weigel","H. Weigel (Tuebingen U.), L. Gamberg (Oklahoma U.) and H. Reinhardt
  (Tuebingen U.)","Structure Functions from Chiral Soliton Models","6 pages, 3 postscript figures, uses aipproc.sty and aipproc.cls.
  Presented at the 6th Conference on Intersections between Nuclear and Particle
  Physics (CIPANP 97), Big Sky, Montana, May 27th - June 2nd, 1997; to appear
  in proceedings","AIP Conf Proc 412 (1997) 664","10.1063/1.54360","UNITU-THEP-16/1997","hep-ph",,"  We study nucleon structure functions within the bosonized Nambu-Jona-Lasinio
(NJL) model where the nucleon emerges as a chiral soliton. We discuss the model
predictions on the Gottfried sum rule for electron-nucleon scattering. A
comparison with a low-scale parametrization shows that the model reproduces the
gross features of the empirical structure functions. We also compute the
leading twist contributions of the polarized structure functions $g_{1}(x)$ and
$g_{2}(x)$ in this model. We compare the model predictions on these structure
functions with data from the E143 experiment by GLAP evolving them from the
scale characteristic for the NJL-model to the scale of the data.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 06:37:00 GMT""}]","2009-10-30"
"hep-ph/9708268","Ito Hitoshi","Hitoshi Ito","Two-Body Dirac Equation and Its Wave Function at the Origin","LaTeX, 12 pages",,"10.1063/1.56040","KNK 972","hep-ph",,"  A relativistic equation is deduced for the bound state of two particles, by
assuming a proper boundary condition for the propagation of the negative-energy
states. It reduces to the (one-body)Dirac equation in the infinite limit of one
of the constituent mass. It also has the symmetries to assure the existence of
the anti-bound-state with the same mass. The interaction
kernel(pseudo-potential) is systematically constructed by diagonalizing the
Hamiltonian of the background field theory, by which the retardation effects
are included in the interaction. Its wave function at the origin(WFO) behaves
properly in a manner suggested by the covariant field theory.
  The equation can well be applied in the heavy quark effective theory. It can
also be used as a starting equation for the unperturbed system in the rigorous
perturbation theory of QED.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 06:48:26 GMT""}]","2016-09-06"
"hep-ph/9708269","Istvan Montvay","I. Montvay","A non-chiral extension of the standard model with mirror fermions","latex, 6 pages, 1 figure with epsfig. Talk given at the workshop
  ""Beyond the Standard Model V"", Balholm, Norway, May 1997",,"10.1063/1.54463","DESY 97-153","hep-ph",,"  The difficulties of defining chiral gauge theories non-perturbatively suggest
a vector-like extension of the standard model with three mirror fermion
families. Some phenomenological implications of such an extension are
discussed.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 08:06:51 GMT""}]","2009-10-30"
"hep-ph/9708270","Roger Horsley","M. Goeckeler, R. Horsley, L. Mankiewicz, H. Perlt, P.Rakow, G.
  Schierholz and A. Schiller","A lattice determination of the second moment of the polarised valence
  quark distribution","10 pages, Latex2e, 2 figures, epsf and latexsym required","Phys.Lett.B414:340-346,1997","10.1016/S0370-2693(97)01201-X","DESY 97-117, TUM/T39-97-17, HUB-EP-97/33","hep-ph hep-lat",,"  We perform a Monte Carlo calculation of the second moment of the polarised
valence quark distributions in the nucleon, using quenched Wilson fermions. The
special feature of this moment is that it is directly accessible
experimentally. At a scale of $\mu \approx 2$GeV we find $\Delta^{(1)}u =
0.198(8)$, $\Delta^{(1)}d = -0.0477(33)$. We compare these numbers with recent
experimental results of the SMC collaboration.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 08:43:44 GMT""}]","2008-11-26"
"hep-ph/9708271","Andrei Shuvaev","Yu. M. Shabelski, A. G. Shuvaev (St.Petersburg Nuclear Physics
  Institute)","Heavy quark pair correlations in QCD","11 pages, LaTeX, 8 figures","Eur.Phys.J.C6:313-319,1999","10.1007/s100520050342",,"hep-ph",,"  The azimutal correlations of heavy quarks produced in the high energy $pp$
($p\bar{p}$) collisions are calculated in the framework of QCD without the
usual assumptions of the parton model. The virtual nature of the interacting
gluons as well as their transverse motion and different polarizations are taken
into account. We give some predictions for the azimutal correlations of charm
and beauty hadrons produced at Tevatron-collider and LHC.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 10:03:17 GMT""}]","2011-01-25"
"hep-ph/9708272","Jan Kalinowski","J. Kalinowski, R. Rueckl, H. Spiesberger and P.M. Zerwas","R-Parity Violating SUSY Signals in Lepton-Pair Production at the
  Tevatron","LaTeX file, 12 pages, 4 figures, uses epsfig, axodraw","Phys.Lett.B414:297-304,1997","10.1016/S0370-2693(97)01184-2","BI-TP 97/29, DESY 97-062, WUE-ITP-97-024","hep-ph",,"  In supersymmetric theories with R-parity breaking, sleptons can be produced
in quark-antiquark annihilation at the Tevatron through interactions in which
two quark fields are coupled to a slepton field. If at the same time trilinear
slepton-lepton-lepton couplings are present, the sleptons can be searched for
as resonances in $p\bar{p}\to \tilde{\nu} \to l^+l^-$ and $\tilde{\tau}\to l\nu
$ final states. Existing Tevatron data can be exploited to derive bounds on the
Yukawa couplings of sleptons to quark and lepton pairs. Similar bounds can also
be obtained from $e^+e^-$ annihilation to hadrons at LEP2.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 11:24:32 GMT""}]","2016-09-06"
"hep-ph/9708273","Martin McDermott","M.F. McDermott (DESY)","Are charm and high-$p_{\perp}$ jets the keys to understanding
  diffraction in DIS ?","12 pages, 4 figures. Talk given at the Ringberg workshop: `New trends
  in HERA physics', Ringberg Castle, Bavaria, May 1997",,,"DESY 96-155","hep-ph",,"  Following an introduction which explains some basic ideas about diffraction,
the semiclassical approach to diffraction in deep inelastic scattering (DIS) is
outlined. Some phenomenological tests of this picture, concerning the
$p_{\perp}$ and mass spectra of open charm and jet production are given.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 11:51:21 GMT""}]","2007-05-23"
"hep-ph/9708274","Maria Krawczyk","Maria Krawczyk, A. Zembrzuski (Institute of Theoretical Physics,
  University of Warsaw, Poland)","Probing the Structure of Virtual Photon in the Deep Inelastic Compton
  Process at HERA","Latex, 6 pages, 2 ps-figures, Contribution to PHOTON 97 Conference,
  Egmond aan Zee, The Netherlands","Phys.Rev.D57:10-12,1998","10.1103/PhysRevD.57.10","IFT 97/7","hep-ph",,"  The sensitivity of the Deep Inelastic Compton (DIC) scattering at HERA to the
structure of the virtual photon is discussed. It is demonstrated that the
gluonic content of the virtual photon can be pinned down by measuring the
photons with $p_T \sim 5 $ GeV in the proton direction.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 12:06:56 GMT""}]","2009-12-30"
"hep-ph/9708275","Evgene Levin","E.Gotsman(Tel Aviv Univ./DESY), E.M. Levin(Tel Aviv Univ./DESY) and U.
  Maor (Tel Aviv Univ.)","A unitarity bound and the components of photon - proton interactions","latex file with 8 figs. in eps files, small changes in text and in
  Fig.5","Eur.Phys.J.C5:303-315,1998","10.1007/s100520050273","TAUP 2443-97, DESY 97-154","hep-ph",,"  We show how and why the small distance (""hard"") interaction, calculable in
perturbative QCD, provides a mass cutoff in Gribov's formula for photon-proton
collisions. This enables us to find a new and more restrictive bound for this
process, $\sigma(\gamma^{*}p)\leq C(ln 1/x)^{5/2}$.A simple model the published
experimental data over a wide range of photon virtualities ($Q^2$) and energies
($W$), is developed. This model provides a quantitative way of evaluating the
relative rate of the small and large distance contributions, in the different
kinematic regions. The main results of the analysis are (i) that even at $Q^2
=0$ and high energies the short distance contribution is not small, and it
provides a possible explanation for the experimental rise of the
photoproduction cross section; and (ii) at large values of $Q^2$, the long
distance processes still contribute to the total cross section.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 12:29:39 GMT""},{""version"":""v2"",""created"":""Mon, 15 Dec 1997 15:08:37 GMT""}]","2011-09-13"
"hep-ph/9708276",,"J. O. Andersen","The Screening Mass Squared in Hot Scalar Theory to Order $g^5$ Using
  Effective Field Theory","14 pages, LATEX, 5 figures. Replaces incorrect version sent august 7","Phys.Rev. D57 (1998) 5004-5009","10.1103/PhysRevD.57.5004","OSLO-TP 9-97","hep-ph",,"  We study massless $g^2\Phi^4$-theory at high temperature and with zero
chemical potential. Using modern effective field theory methods,% recently
developed by Braaten and Nieto, we derive the screening mass squared to order
$g^5$. It is demonstrated that the result is renormalization group invariant to
this order in the coupling constant. Renormalization group methods are used to
sum up leading logarithms of $g$.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 13:03:42 GMT""},{""version"":""v2"",""created"":""Mon, 25 Aug 1997 13:43:06 GMT""}]","2009-10-30"
"hep-ph/9708277","Sasa Prelovsek","B. Bajc, S. Fajfer, R. J. Oakes and S. Prelov\v{s}ek","Semileptonic and nonleptonic two-body charmed meson decays in an
  effective model","14 pages, latex, no figures, Contributed paper for LEPTON - PHOTON
  INTERACTIONS, Hamburg, Germany, 28 July - 1 August 1997",,,"IJS-TP-97/11","hep-ph",,"  We analyze charm meson semileptonic $D \to V l \nu_l$ and $D\to P l \nu_l$
and nonleptonic $D \to P V$, $D \to PP$ and $D \to VV$ decays within a model
which combines the heavy quark effective Lagrangian and chiral perturbation
theory.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 13:10:31 GMT""}]","2007-05-23"
"hep-ph/9708278","Joao Pacheco ...","J. P. B. C de Melo (Instituto de Fisica da Universidade de Sao Paulo),
  T.Frederico (Departamento de Fisica,ITA, Centro Tecnico Aeroespacial), Lauro
  Tomio (Instituto de Fisica Teorica, UNESP) and A.E. Dorokhov (Bogoliubov
  Theoretical Laboratory, Joint Institute for Nuclear Research,Dubna)","Quark-antiquark correlation in the pion","18 pages,include 3 Postscript figures (melo-2.ps,melo-3.ps and
  melo-4.ps), use latex,epsf,elsart, e-mail: pacheco@axpfep1.if.usp.br,
  tobias@fis.ita.cta.br, tomio@ift.unesp.br and dorokhov@thsun1.jinr.dubna.su,
  correction name authors. Accepted in Nucl.Phys. A (1997)","Nucl.Phys.A623:456-470,1997","10.1016/S0375-9474(97)00397-7","preprint#IFT-P.028/96","hep-ph nucl-th",,"  The electromagnetic tensor for inclusive electron scattering off the pion,
($W^{\mu\nu}$), for momentum transfers such that $q^+=0$, ($q^+=q^0+q^3$) is
shown to obey a sum-rule for the component $W^{++}$. From this sum-rule, one
can define the quark-antiquark correlation function in the pion, which
characterizes the transverse distance distribution between the quark and
antiquark in the light-front pion wave-function. Within the realistic models of
the relativistic pion wave function (including instanton vacuum inspired wave
function) it is shown that the value of the two-quark correlation radius
($r_{q\bar q}$) is near twice the pion electromagnetic radius ($r_{\pi}$),
where $r_{\pi} \approx 2/3$ fm. We also define the correlation length
$l_{corr}$ where the two - particle correlation have an extremum. The
estimation of $l_{corr}\approx 0.3 - 0.5$ fm is very close to estimations from
instanton models of QCD vacuum. It is also shown that the above correlation is
very sensitive to the pion light-front wave-function models.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 14:23:59 GMT""},{""version"":""v2"",""created"":""Fri, 8 Aug 1997 08:00:10 GMT""}]","2009-07-28"
"hep-ph/9708279","Peter Stockinger","W. Grimus, P. Stockinger (Univ. of Vienna, Austria)","Effects of neutrino oscillations and neutrino magnetic moments on
  elastic neutrino-electron scattering","12 pages, REVTEX file, no figures, submitted to Phys.Rev. D","Phys.Rev. D57 (1998) 1762-1768","10.1103/PhysRevD.57.1762","UWThPh-1997-20","hep-ph",,"  We consider elastic antineutrino-electron scattering taking into account
possible effects of neutrino masses and mixing and of neutrino magnetic moments
and electric dipole moments. Having in mind antineutrinos produced in a nuclear
reactor we compute, in particular, the weak-electromagnetic interference terms
which are linear in the magnetic (electric dipole) moments and also in the
neutrino masses. We show that these terms are, however, suppressed compared to
the pure weak and electromagnetic cross section. We also comment upon the
possibility of using the electromagnetic cross section to investigate neutrino
oscillations.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 12:51:04 GMT""}]","2009-10-30"
"hep-ph/9708280","Christian Spieles","C. Spieles (1), H. Stoecker (1), C. Greiner (2) ((1) Frankfurt Univ.,
  (2) Giessen Univ.)","Phase transition of a finite quark-gluon plasma","24 pages, 7 figures, submitted to Phys. Rev. C","Phys.Rev.C57:908-915,1998","10.1103/PhysRevC.57.908",,"hep-ph nucl-th",,"  The deconfinement transition region between hadronic matter and quark-gluon
plasma is studied for finite volumes. Assuming simple model equations of state
and a first order phase transition, we find that fluctuations in finite volumes
hinder a sharp separation between the two phases around the critical
temperature, leading to a rounding of the phase transition. For reaction
volumes expected in heavy ion experiments, the softening of the equation of
state is reduced considerably. This is especially true when the requirement of
exact color-singletness is included in the QGP equation of state.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 14:39:33 GMT""}]","2008-11-26"
"hep-ph/9708281","Mark Hindmarsh","Mark Hindmarsh and Photis Moulatsiotis (Sussex)","Constraints on Variant Axion Models","21pp RevTeX, 1 eps fig, uses graphics style, typo corrected, and
  corrected file sent this time. To appear in Physical Review D","Phys. Rev. D 56, 8074 (1997)","10.1103/PhysRevD.56.8074","SUSX-TH-97-014","hep-ph astro-ph",,"  A particular class of variant axion models with two higgs doublets and a
singlet is studied. In these models the axion couples either to the $u$-quark
or $t$-quark or both, but not to $b$, $c$, $s$, or $d$. When the axion couples
to only one quark the models possess the desirable feature of having no domain
wall problem, which makes them viable candidates for a cosmological axion
string scenario. We calculate the axion couplings to leptons, photons and
nucleons, and the astrophysical constraints on the axion decay constant $v_a$
are investigated and compared to the DFSZ axion model. We find that the most
restrictive lower bound on $v_a$, that from SN1987a, is lowered by up to a
factor of about 30, depending on the model and also the ratio of the vacuum
expectation values of the higgs doublets. For scenarios with axionic strings,
the allowed window for $v_a$ in the $u$ quark model can be more than two orders
of magnitude. For inflationary scenarios, the cosmological upper bound on
$v_a/N$, where $N$ is the QCD anomaly factor, is unaffected: however, the
variant models have $N$ either 3 or 6 times smaller than the DFSZ model.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 15:49:01 GMT""},{""version"":""v2"",""created"":""Mon, 8 Dec 1997 17:26:11 GMT""},{""version"":""v3"",""created"":""Wed, 10 Dec 1997 17:22:39 GMT""}]","2016-08-25"
"hep-th/9708034","Paul Townsend","P.K. Townsend","M(embrane) theory on $T^9$","A few further remarks and references added. Minor corrections to
  accommodate two additional refs. 6 pp. Latex. To appear in proceedings of
  STRINGS97","Nucl.Phys.Proc.Suppl.68:11-16,1998","10.1016/S0920-5632(98)00136-4",,"hep-th",,"  An `algebraic' approach to M-theory is briefly reviewed, and a proposal is
made for a similar algebraic structure underlying the $T^9$ compactification of
`M(embrane) theory', i.e. the M(atrix) model with area-preserving
diffeomorphism gauge group.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 16:39:47 GMT""},{""version"":""v2"",""created"":""Wed, 13 Aug 1997 14:05:53 GMT""},{""version"":""v3"",""created"":""Fri, 15 Aug 1997 15:01:37 GMT""}]","2010-11-19"
"hep-th/9708036","Michael P. Mattis","N. Dorey (Swansea), V.V. Khoze (Durham), M.P. Mattis (Los Alamos)","Supersymmetry and the Multi-Instanton Measure","31 pp, uses harvmac. Reference added","Nucl.Phys. B513 (1998) 681-708","10.1016/S0550-3213(97)00747-5",,"hep-th",,"  We propose explicit formulae for the integration measure on the moduli space
of charge-n ADHM multi-instantons in N=1 and N=2 supersymmetric gauge theories.
The form of this measure is fixed by its (super)symmetries as well as the
physical requirement of clustering in the limit of large spacetime separation
between instantons. We test our proposals against known expressions for n < 3.
Knowledge of the measure for all n allows us to revisit, and strengthen,
earlier N=2 results, chiefly: (1) For any number of flavors N_F, we provide a
closed formula for F_n, the n-instanton contribution to the Seiberg-Witten
prepotential, as a finite-dimensional collective coordinate integral. This
amounts to a solution, in quadratures, of the Seiberg-Witten models, without
appeal to electric-magnetic duality. (2) In the conformal case N_F=4, this
means reducing to quadratures the previously unknown finite renormalization
that relates the microscopic and effective coupling constants, \tau_{micro} and
\tau_{eff}. (3) Similar expressions are given for the 4-derivative/8-fermion
term in the gradient expansion of N=2 supersymmetric QCD.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 20:44:11 GMT""},{""version"":""v2"",""created"":""Fri, 8 Aug 1997 20:32:37 GMT""}]","2009-10-30"
"hep-th/9708037","Amihay Hanany","Amihay Hanany and Gilad Lifschytz","M(atrix) Theory on $T^6$ and a m(atrix) Theory Description of KK
  Monopoles","We clarify the role of the adjoint mass parameter, and make
  connection with a membrane description. 20 pages, latex","Nucl.Phys.B519:195-213,1998","10.1016/S0550-3213(98)00050-9","IASSNS-HEP-97/93, PUPT-1717","hep-th",,"  We discuss M(atrix) theory compactification on T^6. This theory is described
by the large N limit of the world volume theory, of N Kaluza-Klein monopoles in
eleven dimensions. We discuss the BPS states, and their arrangement in E_6
multiplets. We then propose the formulation of the world volume theory of KK
monopoles in eleven dimensions that decouples from the bulk. This is given by a
large N_1 m(atrix) theory with eight supercharges, corresponding to the quantum
mechanics theory of N_1 zero-branes inside the Type IIA Kaluza-Klein monopole.
Various limits of the construction are considered.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 22:11:14 GMT""},{""version"":""v2"",""created"":""Fri, 8 Aug 1997 22:12:06 GMT""}]","2014-11-18"
