"alg-geom/9708023","Wolfram Decker","Hirotachi Abo, Wolfram Decker, Nobuo Sasakura","An elliptic conic bundle in P^4 arising from a stable rank-3 vector
  bundle","13 pages, AmS-TeX v. 2.1",,,,"alg-geom math.AG",,"  In this note we show the existence of a family of elliptic conic bundles in
P^4 of degree 8. This family has been overlooked and in fact falsely ruled out
in a series of classification papers. Our surfaces provide a counterexample to
a conjecture of Ellingsrud and Peskine. According to this conjecture there
should be no irregular m-ruled surface in P^4 for m at least 2.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 07:51:03 GMT""}]","2009-09-25"
"hep-lat/9708025","Jonathan Flynn","UKQCD Collaboration, L Del Debbio, J M Flynn, L Lellouch and J Nieves","Lattice-Constrained Parametrizations of Form Factors for Semileptonic
  and Rare Radiative B Decays","3 pages, latex, 2 eps files, uses epsf.sty and espcrc2.sty, poster
  presented at Lattice 97, Edinburgh, 22-26 July 1997","Nucl.Phys.Proc.Suppl. 63 (1998) 383-385","10.1016/S0920-5632(97)00777-9","SHEP-97/17","hep-lat",,"  We describe the form factors for semileptonic B to rho l nu and radiative B
to K* gamma decays with just two parameters and the two form factors for
semileptonic B to pi l nu decays with three parameters. The parametrizations
are constrained by lattice results and are consistent with heavy quark
symmetry, kinematic constraints and light cone sum rule scaling relations.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 10:40:31 GMT""}]","2015-06-25"
"hep-ph/9708476","David London","David London","New Physics and the Unitarity Triangle","8 pages, Latex, requires aipproc.sty (included), 1 PS figure
  (included)",,"10.1063/1.55105","UdeM-GPP-TH-97-44","hep-ph",,"  After reviewing the present experimental constraints on the unitarity
triangle, I discuss the various ways in which new physics can manifest itself
in measurements of the parameters of the unitarity triangle. Apart from one
exception, which I describe, new physics enters principally through new
contributions to B0-B0(bar) mixing. Different models of new physics can be
partially distinguished by looking at their effects on rare, flavour-changing
$B$ penguin decays. (Invited talk given at the Symposium Twenty Beautiful Years
of Bottom Physics, Chicago, IL, USA, June 29 -- July 2, 1997.)
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 16:12:25 GMT""}]","2009-10-30"
"hep-ph/9708477","Erhan Iltan","G. Hiller (DESY, Hamburg) and E. O. Iltan (METU, Ankara)","Estimate of the long-distance contribution through b --> s \psi to the
  B_{s} --> \gamma\gamma decay rate","10 pages, 1 figure (require epsf.sty)","Mod.Phys.Lett.A12:2837-2846,1997","10.1142/S021773239700296X",,"hep-ph",,"  The B_{s} --> \phi\psi decay is modeled through the inclusive b --> s\psi
decay. Using the Vector Meson Dominance model, the amplitude for the chain
process B_{s} --> \phi\psi --> \phi\gamma --> \gamma\gamma is estimated and it
is found to be at most 4 % of the corresponding amplitude from the O_7 type LD
contribution. The intermediate amplitude for the process B_{s} --> \phi\gamma
is compared with the corresponding one obtained by a different approach based
on the interaction of the virtual charm quark loop with soft gluons
\cite{Ruckl}. Both amplitudes are found to agree within 10 %. Further the
influence on the branching ratio B(B_{s} --> \gamma\gamma)_{SD+LD_{O7}} from
inclusive b --> s \psi is estimated as less than 1 %.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 16:05:14 GMT""}]","2011-07-19"
"hep-ph/9708478","Mike Seymour","Susan Cartwright, Michael H Seymour (conveners), Klaus Affholderbach,
  Frank Close, Glen Cowan, Alex Finch, Jan Lauber, Mark Lehto, Alison Wright","Two Photon Physics at LEP2","23 pages, 27 figures. Report of the working group on two photon
  physics at Phenomenology Workshop on LEP2 Physics, Oxford, 14-18 April 1997","J.Phys.G24:457-481,1998","10.1088/0954-3899/24/2/013","RAL-97-042","hep-ph",,"  The working group on two photon physics concentrated on three main subtopics:
modelling the hadronic final state of deep inelastic scattering on a photon;
unfolding the deep inelastic scattering data to obtain the photon structure
function; and resonant production of exclusive final states, particularly of
glueball candidates. In all three areas, new results were presented.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 17:26:19 GMT""}]","2008-11-26"
"hep-ph/9708479","Prakash Mathews","Sourendu Gupta and Prakash Mathews (TIFR)","Polarised and Unpolarised Charmonium Production at Higher Orders in v","4 pages, 1 Postscript figure, LaTeX, Presented at the QCD97
  Euroconference, Montpellier, July 3-9, 1997, to appear in Nuclear Physics B
  Proceedings Supplement","Nucl.Phys.Proc.Suppl. 64 (1998) 446-449","10.1016/S0920-5632(97)01105-5","TIFR/TH/97-46","hep-ph",,"  We study the unpolarised and polarised hadro-production of charmonium in
non-relativistic QCD (NRQCD) at low transverse momentum, including sufficiently
higher orders in the relative velocity, $v$, so as to study the ratio of
$\chi_{c1}$ and $\chi_{c2}$ production rates.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 12:14:42 GMT""}]","2009-10-30"
"hep-ph/9708480","Dmitrij Shirkov","D.V. Shirkov","On the Analytic ""Causal"" Model for the QCD Running Coupling","4 pages, LaTex with psfig.sty, 2 PostScript figures","Nucl.Phys.Proc.Suppl. 64 (1998) 106-109","10.1016/S0920-5632(97)01044-X",,"hep-ph",,"  We discuss the model $\bar{\alpha}_{an}(Q^2)$ recently proposed for the QCD
running coupling $\bar{\alpha}_s(Q^2)$ in the Euclidean domain on the basis of
the ""asymptotic-freedom"" expression and on causality condition in the form of
the $Q^2$-analyticity. The model contains no adjustable parameters and obeys
the important features: (i) Finite ghost-free behavior in the ""low $Q^2$""
region and correspondence with the standard RG-summed UV expressions;%\item~ %
(ii) The universal limiting value $\bar{\alpha}_{an}(0)$ expressed only via
group symmetry factors. This value as well as the $\bar{\alpha}_{an}$ behavior
in the whole IR region $Q^2 \leq \Lambda^2$ turns out to be stable with respect
to higher loop corrections; %\item~ (iii) Coherence between observed
$\bar{\alpha}_s(M_{\tau}^2)$ value and integral information on the IR
$\bar{\alpha}_s(Q^2)$ behavior extracted from jet physics.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 08:09:28 GMT""}]","2009-10-30"
"hep-ph/9708481","Gudrid Moortgat-Pick","G. Moortgat-Pick, H. Fraas","Spin Correlations in Production and Subsequent Decay of Neutralinos","14 pages and 14 ps-figures, revtex; version to appear in Phys.Rev.D;
  scenarios updated, discussion of numerical results for sqrt{s}=193 GeV and
  sqrt{s}=500 GeV, plots updated","Phys. Rev. D 59, 015016 (1998)","10.1103/PhysRevD.59.015016","WUE-ITP-97.026, UWThPh-1997-26","hep-ph",,"  We study the process e^{-} e^{+} -> chi^0_1 chi^0_2 with the subsequent decay
chi^0_2 -> chi^0_1 l^{+} l^{-} taking into account the complete spin
correlations. We give the analytical formulae for the differential cross
section and present numerical results for the lepton angular distribution and
the distribution of the opening angle between the outgoing leptons for the LEP2
energy of sqrt{s}=193 GeV and for sqrt{s}=500 GeV. We examine three
representative mixing scenarios in the MSSM and also study the influence of the
common scalar mass parameter m_0 on the shape of the distributions. For the
lepton angular distribution the effect of the spin correlations amounts to up
to 20% for lower energies. We find that the opening angle distribution is
suitable for distinguishing between higgsino-like and gaugino-like neutralinos.
The shape of the lepton angular distribution is very sensitive to the mixing in
the gaugino sector and to the value of m_0. For higher energies it is also
suitable for distinguishing between higgsino-like and gaugino-like neutralino.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 15:15:18 GMT""},{""version"":""v2"",""created"":""Sun, 29 Nov 1998 18:27:49 GMT""}]","2016-08-25"
"hep-th/9708146","Norberto N. Scoccola","N.N. Scoccola and D.R. Bes","Baby skyrmions on the sphere","9 pages (cover and figs. included), Latex, 2 EPS-figs. included","JHEP 9809:012,1998","10.1088/1126-6708/1998/09/012","TAN-FNT-97-05","hep-th cond-mat.mes-hall hep-ph",,"  We study a model for two-dimensional skyrmions on a sphere of radius L. Such
model simulates a skyrmion lattice of density W/(2 \pi L^2), where W is the
skyrmion winding number. We show that, to a very good approximation, physical
results depend only on the product \alpha L^4, where \alpha is the strength of
potential term. In the range \alpha L^4 approx. or less than 3 the order
parameter vanishes, there is a uniform distribution of the density over the
whole surface and the energy of the W=2 sector lies above twice the energy of
the W=1 sector. If \alpha L^4 approx. or greater than 6 the order parameter
approaches unity and the density concentrates near one of the poles. Moreover
the disoliton is always bound. We also present a variational solution to the
field equations for which the pure \alpha L^4-dependence is exact. Finally,
some consequences of our results for the Quantum Hall Effect are discussed.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 21:45:22 GMT""}]","2010-02-03"
"hep-th/9708147","Juan Maldacena","Curtis G. Callan, Jr. and Juan M. Maldacena","Brane Dynamics From the Born-Infeld Action","16 pages, 3 figures. Minor typos fixed","Nucl.Phys. B513 (1998) 198-212","10.1016/S0550-3213(97)00700-1","PUPT-1718 RU-97-68","hep-th",,"  We use the abelian Born-Infeld action for the worldvolume gauge field and
transverse displacement scalars to explore new aspects of D-brane structure and
dynamics. We study several classic gauge field configurations, including point
charges in any worldvolume dimension and vortices in two worldvolume
dimensions, and show that, with an appropriate excitation of the transverse
coordinate field, they are BPS-saturated solutions. The Coulomb point charge
solutions turn out to represent, with considerable fidelity, fundamental
strings attached to the brane (their magnetic counterparts describe D1-branes
attached to D3-branes). We also show that S-matrix for small excitations
propagating on the point charge solution is consistent with (and gives further
illuminating information about) Polchinski's effective open string boundary
condition.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 22:39:25 GMT""},{""version"":""v2"",""created"":""Sat, 30 Aug 1997 05:04:35 GMT""},{""version"":""v3"",""created"":""Tue, 2 Mar 2004 15:59:54 GMT""}]","2012-08-27"
"hep-th/9708148","Quano Yas-hiro","Yas-Hiro Quano","Form factors of the XXZ model and the affine quantum group symmetry","11 pages, latex; Some explanation is added","J.Phys.A31:1791-1800,1998","10.1088/0305-4470/31/7/013","RIMS preprint RIMS-1160","hep-th",,"  We present new expressions of form factors of the XXZ model which satisfy
Smirnov's three axioms. These new form factors are obtained by acting the
affine quantum group $U_q (\hat{\frak s \frak l_2})$ to the known ones obtained
in our previous works. We also find the relations among all the new and known
form factors, i.e., all other form factors can be expressed as kind of
descendents of a special one.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 04:51:53 GMT""},{""version"":""v2"",""created"":""Sat, 13 Sep 1997 08:33:33 GMT""}]","2016-09-06"
"hep-th/9708149","Dongsu Bak","Dongsu Bak, Choonkyu Lee and Kimyeong Lee","Dynamics of BPS Dyons: Effective Field Theory Approach","48 pages, uses revtex","Phys.Rev. D57 (1998) 5239-5259","10.1103/PhysRevD.57.5239","SCU-TP-97-1004, SNUTP-97-107, CU-TP-854","hep-th",,"  Based on a detailed analysis of nonlinear field equations of the SU(2)
Yang-Mills-Higgs system, we obtain the effective field theory describing
low-energy interaction of BPS dyons and massless particles (i.e., photons and
Higgs particles). Our effective theory manifests electromagnetic duality and
spontaneously broken scale symmetry, and reproduces the multimonopole moduli
space dynamics of Manton in a suitable limit. Also given is a generalization of
our approach to the case of BPS dyons in a gauge theory with an arbitrary gauge
group that is maximally broken.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 09:08:51 GMT""}]","2009-10-30"
"hep-th/9708150","Sergey Klishevich","S. M. Klishevich, Yu. M. Zinoviev","On electromagnetic interaction of massive spin-2 particle","18 pages, Latex, no figures","Phys.Atom.Nucl. 61 (1998) 1527-1537; Yad.Fiz. 61 (1998) 1638-1648",,"IHEP 97-41","hep-th",,"  In this work we construct a gauge invariant description of free massive
particle with an arbitrary integer spin. Such description allows one to
investigate the problem of consistent interactions for massive high spin
particles using the requirement that the whole interaction Lagrangian must be
gauge invariant. As a first example of such approach, we consider the case of
electromagnetic interaction of massive spin-2 particle: a linear approximation
in a case of the arbitrary field and a full theory for the homogeneous
electromagnetic field in the space-time of any dimensionality.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 13:29:21 GMT""}]","2007-05-23"
"hep-th/9708151","Sergey Klishevich","S. M. Klishevich","On redefinitions of variables in gauge field theory","13 pages, Latex, no figures","Teor.Mat.Fiz. 116 (1998) 248-264",,"IHEP 97-40","hep-th",,"  In this paper, for massive fields of spins 2 and 3 with non-canonical
Lagrangians, we build Hamiltonians and full systems of constraints and show
that the use of derivatives in a redefinition of fields can give rise to a
change of number of physical degrees of freedom.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 13:28:45 GMT""}]","2007-05-23"
"hep-th/9708152","Anton van de Ven","Anton E. M. van de Ven","Index-free Heat Kernel Coefficients","38 pages, LaTeX","Class.Quant.Grav.15:2311-2344,1998","10.1088/0264-9381/15/8/014","DESY-97-126","hep-th",,"  Using index-free notation, we present the diagonal values of the first five
heat kernel coefficients associated with a general Laplace-type operator on a
compact Riemannian space without boundary. The fifth coefficient appears here
for the first time. For a flat space with a gauge connection, the sixth
coefficient is given too. Also provided are the leading terms for any
coefficient, both in ascending and descending powers of the Yang-Mills and
Riemann curvatures, to the same order as required for the fourth coefficient.
These results are obtained by directly solving the relevant recursion
relations, working in Fock-Schwinger gauge and Riemann normal coordinates. Our
procedure is thus noncovariant, but we show that for any coefficient the
`gauged' respectively `curved' version is found from the corresponding
`non-gauged' respectively `flat' coefficient by making some simple covariant
substitutions. These substitutions being understood, the coefficients retain
their `flat' form and size. In this sense the fifth and sixth coefficient have
only 26 and 75 terms respectively, allowing us to write them down. Using
index-free notation also clarifies the general structure of the heat kernel
coefficients. In particular, in flat space we find that from the fifth
coefficient onward, certain scalars are absent. This may be relevant for the
anomalies of quantum field theories in ten or more dimensions.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 10:55:41 GMT""}]","2014-11-18"
"hep-th/9708153","David Wands","E. J. Copeland, James E. Lidsey and David Wands","Symmetries for generating string cosmologies","Substantially extended version with new sections on further
  symmetries and anisotropic cosmological solutions. New title. To appear in
  Physical Review D. 13 pages, LaTeX, no figures",,"10.1103/PhysRevD.58.043503","PU-RCG-97/11, SUSX-TH-97/013","hep-th",,"  We discuss the symmetry properties of the low-energy effective action of the
type IIB superstring that may be employed to derive four-dimensional solutions.
A truncated effective action, compactified on a six-torus, but including both
Neveu/Schwarz-Neveu/Schwarz and Ramond-Ramond field strengths, can be expressed
as a non-linear sigma model which is invariant under global SL(3,R)
transformations. This group contains as a sub-group the SL(2,R) symmetry of the
ten-dimensional theory and a discrete Z2 reflection symmetry which leads to a
further SL(2,R) sub-group. The symmetries are employed to analyse a general
class of spatially homogeneous cosmological solutions with non-trivial
Ramond-Ramond fields.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 12:47:00 GMT""},{""version"":""v2"",""created"":""Fri, 5 Jun 1998 13:08:56 GMT""}]","2009-10-30"
"hep-th/9708154","David Wands","E. J. Copeland, James E. Lidsey and David Wands","Cosmology of the type IIB superstring","5 pages, including 3 figures, uses Revtex and epsf","Phys.Rev.D57:625-629,1998","10.1103/PhysRevD.57.625","PU-RCG-97/15, SUSX-TH-97/16","hep-th gr-qc",,"  The continuous and discrete symmetries of a dimensionally reduced type IIB
superstring action are employed to generate four-dimensional cosmological
solutions with non-trivial Neveu-Schwarz/Neveu-Schwarz and Ramond-Ramond
form-fields from the dilaton-moduli-vacuum solutions.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 12:23:48 GMT""}]","2010-01-06"
"hep-th/9708155","Zhi Gang Yu","Guang-jiong Ni and Su-qing Chen","Effective Potential of $\lambda\phi^{4}_{1+3}$ at Zero and Finite
  Temperature","16 pages, no figures",,,,"hep-th",,"  The effective potential of $\lambda\phi^4_{1+3}$ model with both sign of
parameter $m^2$ is evaluated at T=0 by means of a simple but effective method
for regularization and renormalization. Then at $T\ne 0$, the effective
potential is evaluated in imaginary time Green Function approach, using the
Plana formula. A critical temperature for restoration of symmetry breaking in
the standard model of particle physics is estimated to be $T_c\simeq 510$ GeV.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 15:16:24 GMT""}]","2007-05-23"
"hep-th/9708156","Zhi Gang Yu","Guang-Jiong Ni","Relativistic Stationary Schrodinger Equation for Many Particle System
  and Its Applications","9 pages, no figure",,,,"hep-th",,"  Basing on the fundamental symmetry that the space-time inversion is
equivalent to particle-antiparticle transformation, a relativistic modification
on the stationary Schrodinger equation for many-particle system is made. The
eigenvalue in the center of mass system is no longer equal to the negative of
binding energy simply. The possible applications in various fields (e.g. the
model of quarkonium) are discussed.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 15:19:10 GMT""}]","2007-05-23"
"math/9708205","Haskell P. Rosenthal","Haskell P. Rosenthal","On an inequality of A.~Grothendieck concerning operators on $L^1$",,,,"Banach Archive 8/28/97","math.FA",,"  In 1955, A.~Grothendieck proved a basic inequality which shows that any
bounded linear operator between $L^1(\mu)$-spaces maps (Lebesgue-) dominated
sequences to dominated sequences. An elementary proof of this inequality is
obtained via a new decomposition principle for the lattice of measurable
functions. An exposition is also given of the M.~L\'evy extension theorem for
operators defined on subspaces of $L^1(\mu)$-spaces.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 00:00:00 GMT""}]","2008-02-03"
"math/9708209","Akihiko Yukie","Akihiko Yukie","A remark on the regularity of prehomogeneous vector spaces",,,,"OSU Math 1997-7","math.RT",,"  In this note, we prove that if $(G,V)$ is a prehomogeneous vector space over
any field $k$ such that the stabilizer of a generic point is reductive, the set
of semi-stable points is a single orbit over the separable closure of $k$.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 00:00:00 GMT""}]","2016-09-07"
"nucl-th/9708048","Simon Capstick","Simon Capstick (Florida State), W. Roberts (Old Dominion University
  and JLAB)","New Baryons in the Delta eta and Delta omega Channels","10 pages, RevTeX","Phys.Rev. D57 (1998) 4301-4309","10.1103/PhysRevD.57.4301","FSU-SCRI-97-95, JLAB-TH-97-38","nucl-th hep-ph",,"  The decays of excited nonstrange baryons into the final states Delta eta and
Delta omega are examined in a relativized quark pair creation model. The
wavefunctions and parameters of the model are fixed by previous calculations of
N pi and N pi pi, etc., decays through various quasi-two body channels
including N eta and N omega. Our results show that the combination of
thresholds just below the region of interest and the isospin selectivity of
these channels should allow the discovery of several new baryons in such
experiments.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 22:24:24 GMT""}]","2009-10-30"
"nucl-th/9708049","Martin Savage","Martin J. Savage and Roxanne P. Springer","The Weak $\Lambda \Lambda K^0$ Interaction","13 pages, 5 figures, latex","Phys.Rev.C57:1478-1484,1998","10.1103/PhysRevC.57.1478","DUKE-97-152, DOE/ER/41014-28-N97","nucl-th",,"  We calculate the leading contribution to the weak $\Lambda \Lambda K$
coupling in heavy baryon chiral perturbation theory, including the SU(3)
breaking terms arising at one-loop. This coupling gives the leading one-boson
exchange amplitude for the process $\Lambda\Lambda\to\Lambda n$ and is an
important component in understanding the decay of $\Lambda\Lambda$-hypernuclei.
We find the S-wave and P-wave amplitudes to be stable under one-loop
corrections, but the associated errors become large. We discuss the theoretical
errors and potential effects of higher order terms.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 23:14:11 GMT""}]","2008-11-26"
"nucl-th/9708050",,"G. K\""albermann (Faculty of Agriculture and Racah Institute of
  Physics, Hebrew University, Jerusalem, Israel)","The Skyrmion in the nucleus","Latex source",,,,"nucl-th hep-ph",,"  The energy levels of a skyrmion in nucleus are calculated in a field theory
of skyrmions coupled to the dilaton field and the $\omega$ meson . The central
potential fits well with expectations. The nucleon spin-orbit interaction
derived from the omega meson in a rotating frame gives the correct level
splittings. The same interaction originating from the Thomas precession effect
is negligible. Energy levels are calculated for closed shell nuclei. The meson
fields are obtained from a Thomas-Fermi mean field approximation to the
nucleus.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 09:22:00 GMT""}]","2007-05-23"
"nucl-th/9708051","Thomas Feuster","T. Feuster and U. Mosel","A unitary model for meson-nucleon scattering","Revised version. 60 pages, 17 figures. Two figures and a short
  discussion (\pi N \to \eta N, K \Lambda amplitudes) added, typos and minor
  errors in the citations corrected","Phys.Rev.C58:457-488,1998","10.1103/PhysRevC.58.457","UGI-97-13","nucl-th",,"  In an effective Lagrangian model employing the K-matrix approximation we
extract nucleon resonance parameters. To this end we analyze simultaneously all
available data for reactions involving the final states $\pi N$, $\pi\pi N$,
$\eta N$ and $K \Lambda$ in the energy range $m_N + m_{\pi} \le \sqrt s \le
1.9$ GeV. The background contributions are generated consistently from the
relevant Feynman amplitudes, thus significantly reducing the number of free
parameters.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 12:15:02 GMT""},{""version"":""v2"",""created"":""Fri, 12 Dec 1997 09:10:00 GMT""},{""version"":""v3"",""created"":""Fri, 23 Jan 1998 10:34:29 GMT""}]","2008-11-26"
"nucl-th/9708052","Roelof Bijker","R. Bijker (ICN-UNAM) and A. Leviatan (Hebrew University)","Spectrum generating algebra of the symmetric top","5 pages, talk at `15th International Conference on Few-Body Problems
  in Physics', Groningen, July 22-26, 1997","Nucl.Phys. A631 (1998) 727c-731c","10.1016/S0375-9474(98)00100-6",,"nucl-th physics.chem-ph",,"  We consider an algebraic treatment of a three-body system. We develop the
formalism for a system of three identical objects and show that it provides a
simultaneous description of the vibrational and rotational excitations of an
oblate symmetric top.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 15:34:50 GMT""}]","2009-10-30"
"physics/9708032","Nick Brook HEP Glasgow","R.L. Bates, C. Da'Via, V. O'Shea, C. Raine, K.M. Smith, R. Adams","Characterisation of low pressure VPE GaAs diodes before and after 24
  GeV/c proton irradiation","9 pages. 14 postscript figures + 1 postscript preprint logo + 1 LaTeX
  file + 1 style file. Also available at
  http://ppewww.ph.gla.ac.uk/preprints/97/03/","Nucl.Instrum.Meth. A410 (1998) 46-53","10.1016/S0168-9002(98)00141-7","GLAS-PPE-97-03","physics.ins-det",,"  GaAs Schottky diode detectors have been fabricated upon Low Pressure Vapour
Phase Epitaxial GaAs. The devices were characterised before and after a $1.25
\times 10^{14}$~cm$^{-2}$ 24GeV/c proton fluence. The as fabricated Ti-GaAs
barrier height was measured, via two electrical methods, to be $0.81\pm0.005$
and $0.85\pm0.01$~eV and a space charge density of $2.8 \pm 0.2 \times
10^{14}$~cm$^{-3}$ was determined. The current was greater than that expected
for an ideal barrier with the excess attributed to generation current from the
bulk. The charge collection efficiency, determined from front alpha
illumination and 60 keV gamma irradiation, was inexcess of 95% at 50V reverse
bias. After irradiation the reverse current, measured for a bias of 200V at
20$^{o}$~C, increased from 90~nA to 1500~nA due to radiation induced generation
centres. Deep levels were showed to be present using capacitance techniques.
The charge collection of the device determined from front alpha illumination
fell to $32\pm5$% at a reverse bias of 200V.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 11:10:17 GMT""}]","2009-10-30"
"physics/9708033","Nick Brook HEP Glasgow","R.L. Bates, C. Da'Via, S. D'Auria, V. O'Shea, C. Raine, K.M. Smith","The effects of radiation on Gallium Arsenide radiation detectors","12 pages. 10 postscript figures + 1 postscript preprint logo + 1
  LaTeX file + 1 style file. Also available at
  http://ppewww.ph.gla.ac.uk/preprints/97/04/","Nucl.Instrum.Meth. A395 (1997) 54-59","10.1016/S0168-9002(97)00628-1","GLAS-PPE-97-04","physics.ins-det",,"  Semi-insulating, undoped, Liquid Encapsulated Czochralski (SI-U LEC) GaAs
detectors have been irradiated with 1MeV neutrons, 24GeV/c protons, and
300MeV/c pions. The maximum fluences used were 6, 3, and 1.8~10$^{14}$
particles/cm$^{2}$ respectively. For all three types of irradiation the charge
collection efficiencies (cce) of the detector are reduced due to the reduction
in the electron and hole mean free paths. Pion and proton irradiations produce
a greater reduction in cce than neutron irradiation with the pions having the
greatest effect. The effect of annealing the detectors at room temperature, at
200$^{o}$C and at 450$^{o}$C with a flash lamp have been shown to reduce the
leakage current and increase the cce of the irradiated detectors. The
flash-lamp anneal produced the greatest increase in the cce from 26% to 70% by
increasing the mean free path of the electrons. Two indium-doped samples were
irradiated with 24GeV/c protons and demonstrated no improvement over SI U GaAs
with respect to post-irradiation cce.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 11:40:15 GMT""}]","2009-10-30"
"physics/9708034","Nick Brook HEP Glasgow","R.L. Bates, M. Campbell, C. Da'Via, S. D'Auria, V. O'Shea, C. Raine,
  K.M. Smith","Recent results on GaAs detectors - 137","7 pages. 4 postscript figures + 1 postscript preprint logo + 1 LaTeX
  file + 1 style file. Also available at
  http://ppewww.ph.gla.ac.uk/preprints/97/05/","Nucl.Instrum.Meth. A392 (1997) 269-273","10.1016/S0168-9002(97)00286-6","GLAS-PPE-97-05","physics.ins-det",,"  The present understanding of the charge collection in GaAs detectors with
respect to the materials used and its processing are discussed. The radiation
induced degradation of the charge collection efficiency and the leakage current
of the detectors are summarised. The status of strip and pixel detectors for
the ATLAS experiment are reported along with the latest results from GaAs X-ray
detectors for non-high energy physics applications.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 12:02:15 GMT""}]","2009-10-30"
"quant-ph/9708049","Richard MacKenzie","S. Chaturvedi, R. MacKenzie, P.K. Panigrahi, V. Srinivasan","Equivalence of the grand canonical partition functions of particles with
  different statistics","4 pages","Mod.Phys.Lett. A12 (1997) 1095-1099","10.1142/S0217732397001114","UdeM-GPP-TH-39a","quant-ph",,"  It is shown that the grand partition function of an ideal Bose system with
single particle spectrum $\epsilon_i = (2n+k+3/2)\hbar\omega$ is identical to
that of a system of particles with single particle energy $\epsilon_i
=(n+1/2)\hbar\omega$ and obeying a particular kind of statistics based on the
permutation group.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 16:27:13 GMT""}]","2015-06-26"
"quant-ph/9708050","Daniel F. V. James","R. J. Hughes, D. F. V. James, J. J. Gomez, M. S. Gulley, M. H.
  Holzscheiter, P. G. Kwiat, S. K. Lamoreaux, C. G. Peterson, V. D. Sandberg,
  M. M. Schauer, C. M. Simmons, C. E. Thorburn, D. Tupa, P. Z. Wang, A. G.
  White","The Los Alamos Trapped Ion Quantum Computer Experiment","41 pages, 16 figures, submitted to Fortschritte der Physik","Fortschritte der Physik 46, 329-362 (1998)","10.1002/(SICI)1521-3978(199806)46:4/5<329::AID-PROP329>3.0.CO;2-X","LA-UR-97-3301","quant-ph",,"  The development and theory of an experiment to investigate quantum
computation with trapped calcium ions is described. The ion trap, laser and ion
requirements are determined, and the parameters required for quantum logic
operations as well as simple quantum factoring are described.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 23:45:15 GMT""}]","2015-06-26"
"quant-ph/9708051","Vipin Bhatnagar","Ramandeep S. Johal","Is the Deformation Parameter in q-Rotor Model Really Phenomenological ?","Latex, 7 pages, one table",,,,"quant-ph math.QA q-alg",,"  We cast the $q$-rotor in the framework of Barnett-Pegg theory for rotation
angle, whose underlying algebra is $SU_q(2)$. A new method to fix the
deformation parameter from the theory is suggested. We test our ideas by
fitting rotational spectra in deformed even-even and superdeformed nuclei. The
results are in good agreement with the previous phenomenological applications
of $q$-rotor model.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 04:50:29 GMT""}]","2008-02-03"
