"alg-geom/9707018","James M. Turner","James M. Turner","On Simplicial Commutative Rings with Vanishing Andr\'e-Quillen Homology","14 pages, LaTeX2e",,,,"alg-geom math.AC math.AG q-alg",,"  We propose a generalization of a conjecture of D. Quillen, on the vanishing
of Andr\'e-Quillen homology, to simplicial commutative rings. This conjecture
characterizes a notion of local complete intersection, extended to the
simplicial setting, under a suitable hypothesis on the local characteristic.
Further, under the condition of finite-type homology, we then prove the
conjecture in the case of a simplicial commutative algebra augmented over a
field of non-zero characteristic. As a consequence, we obtain a proof of
Quillen's conjecture for a Noetherian commutative algebra - again augmented
over a field of non-zero characteristic.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 17:38:39 GMT""},{""version"":""v2"",""created"":""Mon, 11 Aug 1997 17:46:38 GMT""}]","2008-02-03"
"cond-mat/9708006","Vladislav","H.-W. Lee (CTP-Snu), V. Popkov (CTP-Snu, Ftint) and D. Kim (SNU)","Two-way traffic flow: exactly solvable model of traffic jam","17 pages, Latex, ioplppt.sty, 11 ps figures","J.Phys.A30:8497,1997","10.1088/0305-4470/30/24/014",,"cond-mat.stat-mech",,"  We study completely asymmetric 2-channel exclusion processes in 1 dimension.
It describes a two-way traffic flow with cars moving in opposite directions.
The interchannel interaction makes cars slow down in the vicinity of
approaching cars in other lane. Particularly, we consider in detail the system
with a finite density of cars on one lane and a single car on the other one.
  When the interchannel interaction reaches a critical value, traffic jam
occurs, which turns out to be of first order phase transition. We derive exact
expressions for the average velocities, the current, the density profile and
the $k$- point density correlation functions. We also obtain the exact
probability of two cars in one lane being distance $R$ apart, provided there is
a finite density of cars on the other lane, and show the two cars form a weakly
bound state in the jammed phase.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 08:07:52 GMT""}]","2008-11-26"
"cond-mat/9708007","Peter Horsch","Peter Horsch, Janez Jaklic, and Frank Mack (MPI-FKF Stuttgart)","Double exchange magnets: Spin-dynamics in the paramagnetic phase","Revtex, 4 pages with 5 postscript figures included","Phys. Rev. B 59, 14149 (1999).","10.1103/PhysRevB.59.R14149",,"cond-mat.str-el",,"  The electronic structure of perovskite manganese oxides is investigated in
terms of a Kondo lattice model with ferromagnetic Hund coupling and
antiferromagnetic exchange between $t_{2g}$-spins using a finite temperature
diagonalization technique. Results for the dynamic structure factor are
consistent with recent neutron scattering experiments for the bilayer manganite
La$_{1.2}$Sr$_{1.8}$Mn$_2$O$_7$ . The susceptibility shows Curie-Weiss
behaviour and is used to derive a phase diagram. In the paramagnetic phase
carriers are characterized as ferromagnetic polarons in an antiferromagnetic
spin liquid.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 14:54:02 GMT""}]","2009-10-30"
"cond-mat/9708008","Erwin Frey","E. Frey, F. Schwabl, S. Henneberger, O. Hartmann, R. Waeppling, A.
  Kratzer, G.M. Kalvius","Determination of the universality class of Gadolinium","5 pages, 3 figures, REVTeX, also available at
  http://WWW.Physik.TU-Muenchen.DE:81/~frey/","Phys. Rev. Lett. 79, 5142 (1997)","10.1103/PhysRevLett.79.5142",,"cond-mat.mtrl-sci cond-mat.stat-mech",,"  We resolve a longstanding puzzle for the static and dynamic critical behavior
of Gadolinium by a combined theoretical and experimental investigation. It is
shown that the spin dynamics of a three dimensional ferromagnet with hcp
lattice structure and a spin-spin interaction given by both exchange and
dipole-dipole interaction belongs to a new dynamic universality class, model
J$^*$. Comparing results from mode coupling theory with results from three
different hyperfine interaction probes we find quantitative agreement. The
crossover scenario for the wavevector dependence of the hyperfine relaxation
rate is determined by a subtle interplay between three length scales: the
correlation length, the dipolar and the uniaxial wave vector.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 14:36:22 GMT""}]","2009-10-30"
"cond-mat/9708009","Dr. Adolfo Avella","A. Avella (1), F. Mancini (1), D. Villani (1), L. Siurakshina (2),
  V.Yu. Yushankhai (2) ((1) Universita' di Salerno, (2) Joint Institute for
  Nuclear Research)","The Hubbard model in the two-pole approximation","12 pages, 8 embedded Postscript figures, RevTeX, submitted to Int.
  Jou. Mod. Phys. B","Int. J. Mod. Phys. B 12, 81 (1998)","10.1142/S0217979298000065","AMV+97","cond-mat.str-el",,"  The two-dimensional Hubbard model is analyzed in the framework of the
two-pole expansion. It is demonstrated that several theoretical approaches,
when considered at their lowest level, are all equivalent and share the
property of satisfying the conservation of the first four spectral momenta. It
emerges that the various methods differ only in the way of fixing the internal
parameters and that it exists a unique way to preserve simultaneously the Pauli
principle and the particle-hole symmetry. A comprehensive comparison with
respect to some general symmetry properties and the data from quantum Monte
Carlo analysis shows the relevance of imposing the Pauli principle.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 15:01:52 GMT""},{""version"":""v2"",""created"":""Tue, 5 Aug 1997 12:03:39 GMT""}]","2008-02-03"
"cond-mat/9708010","Claude Godreche","J-M Drouffe, C Godreche and F Camia","A simple stochastic model for the dynamics of condensation","8 pages, plain tex, 2 figures","J. Phys. A 31, L19 (1998)","10.1088/0305-4470/31/1/003",,"cond-mat",,"  We consider the dynamics of a model introduced recently by Bialas, Burda and
Johnston. At equilibrium the model exhibits a transition between a fluid and a
condensed phase. For long evolution times the dynamics of condensation
possesses a scaling regime that we study by analytical and numerical means. We
determine the scaling form of the occupation number probabilities. The
behaviour of the two-time correlations of the energy demonstrates that aging
takes place in the condensed phase, while it does not in the fluid phase.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 14:11:10 GMT""}]","2009-10-30"
"dg-ga/9707026","Berceanu Stef","S. Berceanu","Coherent states, transition amplitudes and embeddings","8 pages, Latex2e, ams fonts, to appear in ""Quantization, Coherent
  States and Poisson Structures"", Wydawnictwo Naukowe PWN (Warshaw), Edited by
  A. Strasburger, S. Twareque Ali, J.-P. Antoine and A. Odzijewicz, Proceedings
  of the XIV Workshop on Geometric Methods in Physics, Bia\l owie\.{z}a,
  Poland, 9-15 july 1995.",,,,"dg-ga math.DG",,"  The transition amplitudes between coherent states on a coherent state
manifold are expressed in terms of the embedding of the coherent state manifold
into a projective Hilbert space. Consequences for the dimension of projective
Hilbert space and a simple geometric interpretation of Calabi's diastasis
follows.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 16:51:58 GMT""}]","2008-02-03"
"dg-ga/9708001","Berceanu Stef","S. Berceanu","Geometry via coherent states","5 pages, Latex2e, ams fonts, to appear in ``GROUP21: Physical
  Applications and Mathematical Aspects of Geometry, Groups and Algebras"", V.
  1, Editors: H.-D. Doebner, W Scherer and P. Nattermann, Word Scientific,
  Singapore, pp. 228-232 (1997), Proceedings of the XXI International
  Colloquium on Group Theoretical Methods in Physics, 15-20 July 1996, Goslar,
  Germany",,,,"dg-ga math.DG",,"  It is shown how the coherent states permit to find different geometrical
objects as the geodesics, the conjugate locus, the cut locus, the Calabi's
diastasis and its domain of definition, the Euler-Poincar\'e characteristic,
the number of Borel-Morse cells, the Kodaira embedding theorem.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 11:13:17 GMT""}]","2008-02-03"
"gr-qc/9708001","Christos Charmousis","C. Charmousis, B. Boisseau, B. Linet","Dynamics of a global string with large Higgs boson mass","23 pages, LaTeX, one figure, to be published in Phys.Rev.D 15th of
  March issue","Phys.Rev. D57 (1998) 5150-5157","10.1103/PhysRevD.57.5150",,"gr-qc",,"  We consider a self-gravitating string generated by a global vortex solution
in general relativity. We investigate the Einstein and field equations of a
global vortex in the region of its central line and at a distance from the
centre of the order of the inverse of its Higgs boson mass. By combining the
two we establish by a limiting process of large Higgs mass the dynamics of a
self-gravitating global string. Under our assumptions the presence of
gravitation restricts the world sheet of the global string to be totally
geodesic.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 11:43:14 GMT""},{""version"":""v2"",""created"":""Fri, 21 Nov 1997 09:46:55 GMT""},{""version"":""v3"",""created"":""Mon, 12 Jan 1998 09:29:49 GMT""}]","2009-10-30"
"gr-qc/9708002","Robert Marsa","R. Gomez, R. L. Marsa, J. Winicour","Black hole excision with matching","11 pages, LaTeX, 6 figures, to appear in Phys. Rev. D","Phys.Rev. D56 (1997) 6310-6319","10.1103/PhysRevD.56.6310",,"gr-qc",,"  We present a new method for treating the inner Cauchy boundary of a black
hole spacetime by matching to a characteristic evolution. We discuss the
advantages and disadvantages of such a scheme relative to Cauchy-only
approaches. A prototype code, for the spherically symmetric collapse of a
self-gravitating scalar field, shows that matching performs at least as well as
other approaches to handling the inner boundary.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 15:20:52 GMT""}]","2009-10-30"
"hep-ex/9708001","Greg Heath","G.P. Heath","Charm Production at HERA","5 pages, 6 figures, LaTeX, uses .cls file for Elsevier Science
  Publications camera-ready copy","Nucl.Phys.Proc.Suppl. 65 (1998) 225-229","10.1016/S0920-5632(97)01006-2","BR-HEP-97-02","hep-ex",,"  Measurements of open charm production at HERA are reviewed. The paper covers
both photoproduction and Deep Inelastic Scattering measurements from the ZEUS
and H1 collaborations.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 08:51:49 GMT""}]","2009-10-30"
"hep-ex/9708002","J. A. Lauber","D.J. Miller (University College London)","An Experimenter's Highlights","15 pages including 5 figures. Invited review talk given at Photon'97,
  Egmond aan Zee, the Netherlands, 10-15 May 1997",,,"UCL/HEP 97-05","hep-ex",,"  This selection concentrates more on $\gamma \gamma$ results, with some
reference to the related HERA photoproduction data. Progress has been made on a
wide range of topics, from $F_{2}^{\gamma}$ to the ``stickiness'' of glueball
candidates, but many channels still need better statistics and/or a real photon
target before they can match the comparable $ep$ studies.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 13:33:05 GMT""}]","2007-05-23"
"hep-ex/9708003","Ian G. Knowles","Cinzia Talamonti (Edinburgh)","Status report of the NA48 experiment at the CERN SPS","To appear in the procs of the 6th Conf. on the Intersection of
  Particle and Nuclear Physics, Big Sky, Montana (CIPANP97); 7 pages including
  3 figures","AIP Conf.Proc.412:779-785,1997","10.1063/1.54369","Edinburgh-PPE/97-02","hep-ex",,"  The aim of the NA48 experiment at the CERN SPS is to measure direct CP
violation in neutral kaon decays thus determining the parameter
$\epsilon'/\epsilon$ with an accuracy of $2\times 10^{-4}$. The advantages of
NA48 with respect to previous experiments are high statistics and reduced
systematic effects. The principle of the experiment and the performance of the
detector components are presented.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 15:19:04 GMT""}]","2009-02-24"
"hep-lat/9707035","R. Narayanan","Rajamani Narayanan","Chiral Gauge Theories in the Overlap Formalism","18 pages, Latex file with six postscript figures incorporated. Talk
  given at the ""APCTP-ICTP Joint International Conference '97 (AIJIC 97) on
  Recent Developments in Non-perturbative Method"" held between May 26-30 at
  Seoul, Korea",,,"FSU-SCRI-97-84","hep-lat hep-th",,"  The overlap formula for the chiral determinant is presented and the
realization of gauge anomalies and gauge field toplogy in this context is
discussed. The ability of the overlap formalism to deal with supersymmetric
theories and Majorana-Weyl fermions is outlined. Two applications of the
overlap formalism are discussed in some detail. One application is the
computation of a fermion number violating process in a two dimensional U(1)
chiral gauge theory. The second application is a measurement of the probability
ditribution of the index of the chiral Dirac operator in four dimensional pure
SU(2) lattice gauge theory.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 17:39:06 GMT""}]","2009-09-25"
"hep-lat/9708001","Joachim Hein","J. Hein (University of Glasgow)","Simulations of the electroweak plasma at finite temperature","6 pages, LaTeX, 4 figures, uses: epsfig and sprocl.sty, Talk given at
  the conference ``Strong and Electroweak Matter '97'', 21-25 May 1997, Eger,
  Hungary",,,"GUTPA/97/8/1","hep-lat",,"  We investigate the SU(2) Higgs model at a Higgs Boson mass of \simeq 34 GeV
for temperatures at the electroweak scale. We discuss in detail the critical
temperature, the scalar field vacuum expectation value and the latent heat. We
also consider for which temperatures the plasma can be regarded as radiation
dominated.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 12:12:41 GMT""}]","2007-05-23"
"hep-lat/9708002","Isabel Campos Plasencia","I. Campos","The Phase Transition in SU(2)-Higgs","Contribution to Lattice 97, The XV International Symposium on Lattice
  Field Theory, Edinburgh 22-26 July 1997","Nucl.Phys.Proc.Suppl. 63 (1998) 676-678","10.1016/S0920-5632(97)00869-4","DFTUZ-97/20","hep-lat",,"  We investigate the properties of the Confinement-Higgs phase transition in
the SU(2)-Higgs model. The system is shown to exhibit a transient behavior up
to L=24 along which, the order of the phase transition cannot be discerned. In
order to get a global vision on the problem, we have introduced a second
(next-to-nearest neighbors) gauge-Higgs coupling (k2). On this extended
parameter space we find a line of phase transitions becoming increasely weak as
the standard case is approached (k2 = 0). From the global behavior on this
parameter space we conclude that the transition is also first order in the
standard case.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 12:02:38 GMT""}]","2009-10-30"
"hep-ph/9707535","Jaume Guasch","Jaume Guasch, Joan Sola","Implications on the Supersymmetric Higgs sector from Top quark decays at
  the Tevatron","10 pages, LaTeX, 4 figures included using epsfig. Minor changes.
  Misprint corrected.Version to appear in Phys. Lett. B","Phys.Lett. B416 (1998) 353-360","10.1016/S0370-2693(97)01247-1","UAB-FT-422","hep-ph",,"  From the tau-lepton analysis of the charged Higgs decay of the top quark at
the Tevatron, t -> H+ b -> tau+ nu_{tau} b, it is possible to set rather
stringent bounds on the (tan(beta),M_{H+})-plane, if one assumes that H+ is a
charged member of a generic two-Higgs-doublet model. However, if we consider
the possibility that H+ is supersymmetric, then we find that the allowed region
in the (tan(beta),M_{H+})-plane can be significantly modified by the MSSM
quantum corrections. Throughout our analysis we correlate the top quark results
with the limits imposed by radiative and semileptonic B-meson decays.
Remarkably, one can envision situations in the MSSM parameter space where H+
completely eludes those bounds, i.e. a charged Higgs with a mass below the top
quark mass could coexist with essentially any value of tan(beta).
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 16:33:15 GMT""},{""version"":""v2"",""created"":""Wed, 1 Oct 1997 18:05:12 GMT""},{""version"":""v3"",""created"":""Tue, 7 Oct 1997 07:56:59 GMT""}]","2009-10-30"
"hep-ph/9707536","Ramon Toldra. Ifae","J.A. Grifols, E. Masso, R. Toldra","Gravitinos from Gravitational Collapse","6 pages, latex, no figures. Numerical typo corrected","Phys.Rev. D57 (1998) 614-616","10.1103/PhysRevD.57.614","UAB-FT-421","hep-ph",,"  We reanalyse the limits on the gravitino mass $m_{3/2}$ in superlight
gravitino scenarios derived from arguments on energy-loss during gravitational
collapse. We conclude that the mass range $10^{-6}eV\leq
m_{3/2}\leq2.3\times10^{-5}eV$ is excluded by SN1987A data. In terms of the
scale of supersymmetry breaking $\Lambda$, the range $70GeV\leq\Lambda \leq
300GeV$ is not allowed.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 16:35:29 GMT""},{""version"":""v2"",""created"":""Mon, 4 Aug 1997 12:55:06 GMT""}]","2009-10-30"
"hep-ph/9707537","Georgi Dvali","Savas Dimopoulos, Gia Dvali, Riccardo Rattazzi","A Simple Complete Model of Gauge-Mediated SUSY-Breaking and Dynamical
  Relaxation Mechanism for Solving the mu-Problem","Latex, 12 pages; typos corrected and discussion expanded; conclusions
  unchanged","Phys.Lett. B413 (1997) 336-341","10.1016/S0370-2693(97)01131-3","CERN-TH/97-186","hep-ph",,"  In this paper two things are done. First, we propose a simple model of
dynamical gauge-mediated SUSY breaking. This model incorporates a dynamical
relaxation mechanism which solves the \mu-problem with no light fields beyond
those of the MSSM. In the second part of the paper we show how this mechanism
is generalized and give two more examples in which it is incorporated.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 16:26:07 GMT""},{""version"":""v2"",""created"":""Tue, 2 Sep 1997 09:42:20 GMT""}]","2009-10-30"
"hep-ph/9707538","Anton Rebhan","A. Rebhan","Improved hard-thermal-loop effective actions","14 pages, 5 figures, Latex using sprocl.sty and epsfig.sty. Invited
  talk given at SEWM '97, May 22--25, 1997, Eger, Hungary",,,"TUW 97-14","hep-ph",,"  Hard thermal loop effective actions furnish the building blocks of resummed
thermal perturbation theory, which is expected to work as long as the
quantities under consideration are not sensitive to the nonperturbative
(chromo-)magnetostatic sector. A different breakdown of perturbation theory
occurs whenever external momenta are light-like, because the hard thermal loops
themselves develop collinear singularities. By additionally resumming
asymptotic thermal masses for hard modes these singularities are removed while
leaving the gauge invariance of the effective action intact.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 16:23:36 GMT""}]","2007-05-23"
"hep-ph/9707539","Adam","T.S. Evans, H.F. Jones, and A. Ritz","An Analytical Approach to Lattice Gauge-Higgs Models","5 pages, 2 eps figures. To appear in the Proceedings of the Eotvos
  Conference in Science: Strong and Electroweak Matter (SEWM 97), Eger,
  Hungary, 21-25 May 1997",,,,"hep-ph",,"  We describe an application of the linear $\de$-expansion to the calculation
of correlation functions in SU(2)-Higgs lattice gauge theory. A significant
advantage of the technique is that an infinite volume lattice may be used,
allowing the non-analyticity in certain observables at a phase transition to be
observed directly. We illustrate the approach with a preliminary application to
the 3D SU(2)-Higgs model, as the dimensionally reduced effective theory for the
electroweak standard model at high temperature, and calculate certain gauge
invariant observables near the phase boundaries.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 17:57:41 GMT""}]","2007-05-23"
"hep-ph/9707540","Eric R. Westphal","Hooman Davoudiasl, Krishna Rajagopal and Eric Westphal","Electroweak Baryogenesis Using Baryon Number Carrying Scalars","41 pages, 7 postscript figures, in revtex. Version to appear in
  Nuclear Physics B. Several small changes; results improved by recent work of
  Hu, Moore, and Mueller","Nucl.Phys. B515 (1998) 384-412","10.1016/S0550-3213(97)00809-2","CALT-68-2127","hep-ph astro-ph",,"  We describe a new mechanism for the generation of the baryon asymmetry of the
universe during a first order electroweak phase transition. The mechanism
requires the existence of two (or more) baryon number carrying scalar fields
with masses and CP violating mixing which vary with the Higgs field expectation
value. This mechanism can be implemented using squarks in supersymmetric
theories or using leptoquarks. Our central observation is that reflection of
these scalars from a bubble wall can yield a significant net baryon number flux
into the symmetric phase, balanced by a flux of opposite sign into the broken
phase. For generic parameter choices, scalars with incident energies in a
specific, but not narrow, range yield order one reflection asymmetries (between
the probability of reflection of the scalars and of their antiparticles). The
interesting energies are those for which there are two propagating scalars in
the symmetric phase but only one in the broken phase. Electroweak sphaleron
processes drive the baryon number in the symmetric phase toward zero, but do
not act in the broken phase. Our estimate of the resulting baryon asymmetry is
consistent with cosmological observations for a range of mass parameters and CP
violating phases in a supersymmetric implementation, as long as the bubble
walls are not too fast and not too thick.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 19:39:52 GMT""},{""version"":""v2"",""created"":""Sat, 16 Aug 1997 04:02:36 GMT""},{""version"":""v3"",""created"":""Sat, 13 Dec 1997 02:36:32 GMT""}]","2009-10-30"
"hep-ph/9707541","Jose Ramon Espinosa","Jose R. Espinosa (Upenn)","Z' Gauge Models from Strings","10 pages + 2 eps figures","Nucl.Phys.Proc.Suppl. 62 (1998) 187-196","10.1016/S0920-5632(97)00656-7","UPR-0768-T, IEM-FT-162/97","hep-ph",,"  Potentially realistic string models often contain additional abelian gauge
factors besides the standard model group. The consequences of such extended
gauge structure are manifold both for theory and phenomenology as I show
focussing in the simplest case of just one additional non-anomalous U(1)'.
First, I discuss the possible symmetry breaking patterns according to the scale
at which the U(1)' symmetry gets broken: in the first case, that scale must be
below ~ 1 TeV to avoid fine-tuning; in the second case, the breaking can take
place along a flat direction at an intermediate scale between the string scale
and the electroweak scale. In both cases, I present a number of the generic
implications expected, e.g. for the mu problem, Z' and Higgs physics, dark
matter and fermion masses.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 21:06:30 GMT""}]","2009-10-30"
"hep-ph/9707542","Cliff Burgess","P. Bamert, C.P. Burgess and D. Michaud","Neutrino Propagation Through Helioseismic Waves","27 pages, plain TeX, 10 figures","Nucl.Phys.B513:319-342,1998","10.1016/S0550-3213(97)00672-X","McGill-97/13","hep-ph astro-ph",,"  Motivated by earlier calculations showing large effects when neutrinos
propagate through fluctuating media, we perform here a detailed analysis of how
density fluctuations in the sun in the form of helioseismic waves can modify
the MSW solution to the solar neutrino problem. We find negligible effects for
the MSW spectrum, even under extreme circumstances. There are two main reasons
why our conclusions differ from earlier analyses. First, most helioseismic
waves do not affect neutrino propagation because their amplitude is too small
in the MSW resonance region, which is the only region to whose fluctuations
neutrinos are sensitive. There is one class of waves which may be subject to an
instability, however, and so can have significantly larger amplitudes. But the
wavelength for these waves is so long that it invalidates the previous methods
of calculation. Our more complete calculation significantly reduces the
prediction for their influence on neutrino propagation.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 21:45:08 GMT""}]","2011-08-17"
"hep-ph/9707543",,"Stanley J. Brodsky and Patrick Huet","Aspects of SU(N_c) Gauge Theories in the Limit of Small Number of Colors","Contract number added, LaTex, 16 pages","Phys.Lett.B417:145-153,1998","10.1016/S0370-2693(97)01209-4","SLAC-PUB-7603","hep-ph hep-th",,"  We investigate properties of the color space of $SU(N_c)$ gauge theories in
the limit of small number of colors $(N_c \to 0)$ and large number of flavors.
More generally, we introduce a rescaling of $\alpha_s$ and $n_f$ which assigns
a finite limit to colored quantities as $N_c \to 0$, which reproduces their
known large-$N_c$ limit, and which expresses them as an analytic function of
$N_c^2$ for arbitrary value of $N_c$. The vanishing-$N_c$ limit has an Abelian
character and is also the small-$N_c$ limit of $[U(1)]^{N_c-1}$. This limit
does not have an obvious quantum field theory interpretation; however, it
provides practical consistency checks on QCD perturbative quantities by
comparing them to their QED counterparts. Our analysis also describes the
two-dimensional topological structure involved in the interpretation of the
small $N_c$-limit in color space.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 22:27:50 GMT""},{""version"":""v2"",""created"":""Mon, 11 Aug 1997 23:47:49 GMT""}]","2009-09-11"
"hep-ph/9707544","Chung Kao","Vernon Barger, Chung Kao (University of Wisconsin) and Ashok Das
  (University of Rochester)","The Muon Electric Dipole Moment","LaTeX, 6 pages, 1 eps figure and 2 ps figures, sprocl.sty and
  psfig.sty included. Talk presented by C. Kao at the 2nd International
  Conference on B Physics and CP Violation, Honolulu, Hawaii, USA, March 1997",,"10.1142/9789814503952_0047","MADPH--97--1009","hep-ph",,"  The electric dipole moment of the muon ($d_\mu$) is evaluated in a two Higgs
doublet model with a softly broken discrete symmetry. For $\tan\beta \equiv
|v_2|/|v_1| \sim 1$, contributions from two loop diagrams involving the $t$
quark and the $W$ boson dominate; while for $\tan\beta \gsim 10$, contributions
from two loop diagrams involving the $b$ quark and the $\tau$ lepton are
dominant. For $8 \gsim \tan\beta \gsim 4$, significant cancellation occurs
among the contributions from two loop diagrams and the one loop contribution
dominates for $\tan\beta \sim 7$. For $\tan\beta \gsim 15$, the calculated
$d_\mu$ can be close to the reach of a recently proposed experiment at the
Brookhaven National Laboratory.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 22:46:50 GMT""}]","2016-11-03"
"hep-ph/9707545",,"Gerhard Buchalla (SLAC)","CP Violation in K and B Decays","15 pages, LaTeX, 5 eps-figures included",,"10.1063/1.54282","SLAC-PUB-7613","hep-ph",,"  We review basic aspects of the phenomenology of CP violation in the decays of
$K$ and $B$ mesons. In particular we discuss the commonly used classification
of CP violation -- CP violation in the mass matrix, in the interference of
mixing with decay, and in the decay amplitude itself -- and the related notions
of direct and indirect CP violation. These concepts are illustrated with
explicit examples. We also emphasize the highlights of this field including the
clean observables $B(K_L\to\pi^0\nu\bar\nu)$ and ${\cal A}_{CP}(B\to J/\Psi
K_S)$. The latter quantity serves to demonstrate the general features of large,
mixing induced CP violation in $B$ decays.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 23:12:52 GMT""}]","2009-10-30"
"hep-ph/9707546","Uri Sarid","Emidio Gabrielli and Uri Sarid","Low-Energy Signals for a Minimal Gauge-Mediated Model","LaTeX, 9 pages, including 1 (color) figure embedded using epsf
  macros; minor change to text and figure, added 1 reference","Phys.Rev.Lett. 79 (1997) 4752-4755","10.1103/PhysRevLett.79.4752","UND-HEP-97-US02","hep-ph",,"  The inclusive branching ratio $B \to X_s\gamma$ and the anomalous magnetic
moment $g_\mu-2$ of the muon are accurately calculated within a minimal
gauge-mediated SUSY-breaking model which naturally generates a large
$\tan\beta$. The predictions are in somewhat better agreement with current
experiments, and new data will soon critically test these predictions.
Predictions for $B \to X_s\ell^+\ell^-$ branching ratios and asymmetries, to be
tested at future colliders, are also presented.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 23:43:32 GMT""},{""version"":""v2"",""created"":""Fri, 1 Aug 1997 16:21:26 GMT""}]","2009-10-30"
"hep-ph/9708201","Wu Yue-liang","K.C. Chou and Yue-Liang Wu","Predictive SUSY SO(10) X Delta (48) X U(1) Model for CP Violation,
  Neutrino Oscillation, Fermion Masses and Mixings with Small tan(beta)","65 pages, Revtex",,,"AS-ITP-97-21","hep-ph astro-ph",,"  CP violation, fermion masses and mixing angles including that of neutrinos
are studied in an SUSY SO(10)$\times \Delta (48)\times$ U(1) model with small
$\tan \beta$. The family symmetry $\Delta(48)$ associated with a simple scheme
of U(1) charge assignment on various fields concerned in superpotential leads
to unique Yukawa coupling matrices with zero textures. Thirteen parameters
involving masses and mixing angles in the quark and charged lepton sector are
successfully predicted by only four parameters. The masses and mixing angles
for the neutrino sector can also be predicted without involving new parameters.
It is found that the atmospheric neutrino deficit, the mass limit put by hot
dark matter and the LSND $\bar{\nu}_{\mu} \to \bar{\nu}_{e}$ events can be
naturally explained. Solar neutrino puzzle can be solved only by introducing a
sterile neutrino. An additional parameter is added to obtain the mass and
mixing of the sterile neutrino. The hadronic parameters $B_{K}$ and
$f_{B}\sqrt{B}$ are extracted from the observed $K^{0}$-$\bar{K}^{0}$ and
$B^{0}$-$\bar{B}^{0}$ mixings respectively. The direct CP violation
($\epsilon'/\epsilon$) in kaon decays and the three angles $\alpha$, $\beta$
and $\gamma$ of the unitarity triangle in the CKM matrix are also presented.
More precise measurements of $\alpha_{s}(M_{Z})$, $|V_{cb}|$,
$|V_{ub}/V_{cb}|$, $m_{t}$, as well as various CP violation and neutrino
oscillation experiments will provide an important test for the present model
and guide us to a more fundamental theory.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 03:44:53 GMT""}]","2007-05-23"
"hep-ph/9708202","Randall Espinoza","Guy F. de Teramond, Randall Espinoza and Manuel Ortega-Rodriguez","Proton-Proton Spin Correlations at Charm Threshold and Quarkonium Bound
  to Nuclei","11 pages, Latex, 1 Postscript figure; introductory paragraphs
  modified, new paragraph included, new references added","Phys. Rev. D 58, 034012 (1998)","10.1103/PhysRevD.58.034012",,"hep-ph",,"  The anomalous behavior of the spin-spin correlation at large momentum
transfer in pp elastic scattering is described in terms of the degrees of
freedom associated with the onset of the charm threshold. A non-perturbative
analysis based on the symmetries of QCD is used to extract the relevant
dynamics of the charmonium-proton interaction. The enhancement to pp amplitudes
and their phase follow from analyticity and unitarity, giving a plausible
explanation of the spin anomaly. The interaction between charmonium and light
quarks in nuclei may form a distinct kind of nuclear matter, nuclear bound
quarkonium.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 04:18:49 GMT""},{""version"":""v2"",""created"":""Wed, 24 Dec 1997 23:40:14 GMT""}]","2016-08-25"
